419,Capacity Building for Housing Microfinance,ADB,HUDCC,,1.90,1.90,1.37,02/18/2004-1/31/2010,18-Feb-04,31-Jan-10,Infrastructure Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Metro Manila UrbanServices for the Poor,ADB,HUDCC,,1.20,1.20,1.09,09/09/2005-6/30/2010,09-Sep-05,30-Jun-10,Infrastructure Development,NCR,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Support for Health Sector,ADB,DOH,,1.00,1.00,0.86,10/18/2005-12/31/2008,18-Oct-05,31-Mar-09,Social Reform and Community Development,Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Rural Electricity Cooperative Development,ADB,NEA,,0.55,0.55,0.32,01/22/2008-12/07/2008,22-Jan-08,30-Mar-09,Infrastructure Development,Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Philippine Basic Urban Services Sector,ADB,DILG,,0.65,0.65,0.61,03/07/2008-1/16/09,07-Mar-08,28-Feb-09,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Strengthening Provincial and Local Planning and Expenditure Management Phase 2,ADB,NEDA,,0.65,0.65,0.12,4/30/08-03/31/2010,04-Apr-08,31-Mar-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Road Sector Improvement,ADB,DPWH,,0.66,0.66,0.48,7/29/08-3/30/2010,29-Jul-08,30-Mar-10,Infrastructure Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Pasuquin East Wind Farm Development,ADB,Others,"Energy Logics Phils., Inc.",0.20,0.20,0.00,-7/31/09,,31-Jul-09,Infrastructure Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Integrated Natural Resources and Environmental Management Sector Development Program,ADB,DENR,,1.14,1.14,0.80,9/10/2008-4/30/2010,10-Sep-08,30-Apr-10,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Harmonization and Development Effectiveness,ADB,NEDA,,0.90,0.90,0.01,12/31/2011,05-Jan-09,31-Dec-11,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Irrigation System Operation Efficiency,ADB,NIA,-,1.00,1.00,0.65,11/6/2008-4/30/2010,06-Nov-08,30-Apr-10,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Supporting Governance in Justice Sector Reform in the Philippines,ADB,SC,-,2.00,2.00,0.39,1/10/2009-10/31/2011,10-Jan-09,31-Oct-11,Governance and Institutions Development,Unspecified,,new,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Improving Public Expenditure Management,ADB,DBM,,0.80,0.80,0.02,,18-Dec-08,31-Mar-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Water District Development Sector,ADB,LWUA,,1.20,1.20,0.77,,09-Oct-08,30-Apr-10,Infrastructure Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Strengthening the Philippine Government Electronic Procurement System,ADB,GPPB,,0.60,0.60,0.07,,26-Mar-09,31-Jul-11,Governance and Institutions Development,Unspecified,,new,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Public-Private Partnership in Health,ADB,DBP,,1.00,1.00,0.00,,14-May-09,31-Dec-10,Social Reform and Community Development,Unspecified,,new,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Agusan River Basin Integrated Water Resources Management,ADB,DENR,,1.18,1.18,0.11,,19-Jun-09,30-Nov-10,"Agriculture, Environment and Agrarian Reform",Unspecified,,new,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Pasig River Catchment Sewerage,ADB,Manila Water Company Inc.,,0.30,0.30,0.00,12/15/2009-6/30/2010,15-Dec-09,30-Jun-10,Infrastructure Development,NCR,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Land Admnistration and Management Project II,AusAID,DENR,,31.50,21.13,12.91,10/05-12/10,31-Oct-05,31-Dec-10,"Agriculture, Environment and Agrarian Reform",VIII,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Partnership for Economic Governance Reform,AusAID,NEDA,,30.00,28.50,14.97,03/05-03/10,31-Mar-05,31-Mar-10,Governance and Institutions Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Philippine-Australia Community Assistance Program (PACAP),AusAID,Others,AusAID,76.98,51.64,43.34,04-09,31-Dec-04,31-Dec-10,Social Reform and Community Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Philippine-Australia Human Resource Development Facility (PAHRDF),AusAID,NEDA,,59.60,40.39,17.79,08/04-08/09,20-Aug-04,19-Aug-09,Social Reform and Community Development,Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Philippine-Australia Local Sustainability (PALS) Program Phase II,AusAID,LGU,Misamis Occidental Province,34.30,23.01,15.85,05/04-01/09,31-May-04,31-Jan-09,Governance and Institutions Development,X,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Strengthening the Implementation of Basic Education in the Visayas (STRIVE II),AusAID,DepEd,,20.28,13.61,7.50,08/07-07/10,31-Aug-07,30-Jul-10,Social Reform and Community Development,Multi-Regional,"VI,VII,VIII",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E-Governance for Efficiency and Effectiveness,CIDA,Others,CICT,10.00,8.57,4.11,06-11,31-Jan-06,31-Dec-11,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Judicial Reform Initiatives Support Project,CIDA,SC,,7.00,6.00,5.72,06/18/02-09/08,18-Jun-02,30-Jun-10,Governance and Institutions Development,NCR,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Local Government Support Program (LGSP) -Local Economic Development,CIDA,DILG,CUI/ACCC,18.00,15.43,14.18,07-15,31-Jan-07,31-Dec-15,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gender Responsive Economic Actions for the Transformation (GREAT) of Women,CIDA,Others,NCRFW,7.00,6.00,1.76,11/08/06-10/11,08-Nov-06,31-Dec-12,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Philippine Knowledge Based Initiative II,CIDA,Various Agencies,,0.50,0.43,0.26,-2010,,31-Dec-10,"Industry, Trade and Tourism",Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Private Enterprise Accelerated Resource Linkages Project (PEARL II),CIDA,DTI,BOI,10.00,8.57,7.76,01/29/02-11/08,29-Jan-02,31-Mar-09,"Industry, Trade and Tourism",Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Promoting Rural Enterprise Planning/PRIME Project,CIDA,Others,PDAP Phils. Inc.,4.95,4.24,3.40,07/05-12/31/10,30-Jul-05,31-Dec-10,"Industry, Trade and Tourism",Multi-Regional,"IV-A, VI, XIII",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Philippines-Canada Cooperation Office III,CIDA,Others,Coffey Phils. Inc,4.00,3.43,2.09,10/03-09/08,31-Oct-03,30-Sep-09,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Local Government Support Program (LGSP) Phase II,CIDA,DILG,LGUs,13.28,11.39,11.13,-02/08,,30-Sep-09,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Local Government Support Program (LGSP) for ARMM,CIDA,ARMM,,17.75,15.22,12.54,05-10,31-Jan-05,28-Feb-10,Governance and Institutions Development,ARMM,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Peace Links,CIDA,Others,Salvation Army/AF,1.85,1.83,0.10,07-09,31-Jan-07,31-Dec-09,Governance and Institutions Development,Unspecified,,closed,,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Electoral Assistance in ARMM,CIDA,Others,-,0.50,0.43,0.39,2008-7/31/09,31-Jan-08,31-Jul-09,Governance and Institutions Development,Unspecified,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Canada Fund  (FY 09/10),CIDA,Various Agencies,,0.37,0.32,0.00,4/1/2009-3/31/2010,01-Apr-09,31-Mar-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WB Dialog Fund,CIDA,WB,,1.00,1.13,0.32,,01-Mar-09,2010,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mindanao Trust Fund,CIDA,WB,,1.00,1.13,1.13,,,01-Dec-10,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private Enterprise Partnership (PEP),CIDA,IFC,,5.00,5.68,5.68,,01-Mar-06,01-Jun-10,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Measures Ensuring Reliable and Sustainable Drinking Water Supply for Metro Manila After Damages Caused by Catastrophic Typhoon Project,Czech Republic,MWSS,,39.20,52.39,0.66,08/06-10,31-Aug-06,31-Dec-10,Infrastructure Development,Multi-Regional,"III, IV-A",ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Alliance Program Social Dialogue on the Health Sector Project,Denmark,DOH,,0.00,0.00,0.00,,01-Jan-08,31-Dec-11,Social Reform and Community Development,Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Access to Justice for the Poor,EC,DSWD,,1.85,2.26,2.14,08/04-11/09,31-Aug-04,10-Nov-09,Governance and Institutions Development,Multi-Regional,"IV-B, V, VI, X, XII",closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Improving Governance to Reduce Poverty:Corruption Prevention,EC,Office of theOmbudsman,,2.91,3.55,2.35,08/04-12/09,31-Aug-04,31-Dec-09,Governance and Institutions Development,Unspecified,,closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Health Sector Policy Support Programme,EC,DOH,,33.00,42.33,14.26,05/06-10/10,31-May-06,31-Dec-12,Social Reform and Community Development,Multi-Regional,"I, II, IV, VI, VII, VIII, X, XII, CARAGA, CAR",ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Mindanao Health Sector Policy Support Programme,EC,DOH,,12.00,16.43,4.45,01/08-12/12,31-Jan-08,31-Dec-12,Social Reform and Community Development,ARMM,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Philippine Border Management Project,EC,Various Agencies,"BOI, NICA, BOC, PCTC, DFA",4.90,5.88,3.93,06/05-09/08,30-Jun-05,01-Mar-09,Governance and Institutions Development,Multi-Regional,"NCR, I, VII, IX, XI",closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Trade-related Technical Assistance Programme II,EC,Others,-,7.48,0.00,0.00,9/15/2008,Aug-08,Aug-13,"Industry, Trade and Tourism",Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Strategic Project Facility Programme,EC,Others,-,0.00,0.00,0.00,,Sep-08,Sep-13,Governance and Institutions Development,Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Reducing the Impact of Tropical Shrimp Trawling Fisheries on Living Marine Resources through the Adoption of Environmentally Friendly Techniques and Practices,FAO,DA,-,0.00,0.00,0.00,,,,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Support to Flood-Affected Farming Communities in the Provinces of Eastern Samar and Leyte,FAO,DA,,0.00,0.00,0.00,,,,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Strengthening Philippines’ Capacity to Adapt Climate Change,FAO,DA,,0.00,0.00,0.00,,01-Jan-08,31-Dec-10,"Agriculture, Environment and Agrarian Reform",Nationwide,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Trade Related Technical Assistance II (TRTA II),FAO,DA,,0.00,0.00,0.00,,01-Jan-08,31-Dec-12,"Agriculture, Environment and Agrarian Reform",Nationwide,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Advancing the Application on ANR for Effective Low-Cost Forest Restoration,FAO,DENR,,0.00,0.00,0.00,,30-Jun-06,30-Jun-09,"Agriculture, Environment and Agrarian Reform",Multi-Regional,"III, VII, XI",closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Globally Important Agricultural Heritage,FAO,DENR,,0.00,0.00,0.00,,01-Jun-08,30-Apr-13,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Strengthening Laboratory and Field Surveillance for an Effective AI Protection Program (AI),FAO,DA,,0.00,0.00,0.00,,01-Jan-08,31-Dec-09,"Agriculture, Environment and Agrarian Reform",Nationwide,,closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Increasing Rice Supply in Regions VIII and X by Improving Farmers’ Capability through TA Trainings and Demonstration of Rice Production Technologies cum Small-Scale Irrigation Facilities,FAO,DA,,0.00,0.00,0.00,,01-Jan-08,31-Dec-10,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Decentralization Program Phase ,GTZ,NEDA,DILG,4.31,8.44,5.72,10/05-10/15,31-Oct-05,30-Sep-09,Governance and Institutions Development,Multi-Regional,"NCR, Visayas Region",closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Eco-Industrial Development Approach,GTZ,PEZA,,1.00,1.34,1.32,07/05-06/09,30-Jul-05,30-Jul-09,"Industry, Trade and Tourism",VII,,closed,ongoing,6/30/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Peacebuilding and Conflict Transformation in Mindanao,GTZ,MEDCO,,3.19,4.26,4.14,01/05-06/09,31-Jan-05,31-Jul-09,Governance and Institutions Development,Multi-Regional,Mindanao-wide,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Unified Support to the Philippine Health Sector Reform Agenda Phase 2 (Health Program),GTZ,DOH,"Philhealth, LGU",7.82,10.45,9.01,01-12/09,01-Oct-04,31-Dec-09,Social Reform and Community Development,VIII,,closed,ongoing,6/30/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Promotion of Economic Cooperation in BIMP-EAGA Region,GTZ,Others,-,4.00,5.35,4.08,10/04-,31-Oct-04,30-Jun-11,Governance and Institutions Development,Nationwide,"Brunei, Indonesia,Malaysia and Philippines",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Small and Medium Enterprise Development for Sustainable Employment Project Phase II,KFW,DTI,-,6.50,8.69,6.08,08/06-,31-Aug-06,31-Dec-09,"Industry, Trade and Tourism",Multi-Regional,"NCR, Visayas Region",closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Essential Drug Supply through Social Franchising Health Plus,KFW,DOH,NPF,3.07,4.07,0.00,6/16/2005-12/30/2009,16-Jun-05,30-Dec-09,Social Reform and Community Development,Unspecified,,closed,ongoing,12/31/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,City Development Initiatives in Asia (CDIA),GTZ,Others,-,2.50,3.34,3.38,06/07-,30-Jun-07,31-Dec-09,Governance and Institutions Development,Nationwide,"Manila, Asian Region",closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Environment and Rural Development Program (ENRD),GTZ,DENR,,9.35,12.50,12.42,,01-May-05,30-Sep-09,"Agriculture, Environment and Agrarian Reform",Multi-Regional,"VI, VIII",closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Adaptation to Climate Change and Conservation of the Biodiversity in the Philippines,GTZ,DENR,,2.43,3.25,1.87,,01-Dec-08,30-Jan-11,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Rural Water and Sanitation Project IV,GTZ,,,3.00,4.01,3.20,,01-Jan-07,30-Jun-10,Infrastructure Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Integrated Solid Waste Management II,GTZ,,,2.00,2.67,1.88,,01-Jan-07,31-Dec-10,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Micro Insurance Innovation Program,GTZ,,,3.00,4.01,0.72,,01-Jan-07,31-Oct-11,"Industry, Trade and Tourism",Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Study and Expert Fund,GTZ,,,4.67,6.23,4.39,,01-Jan-94,31-Dec-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Private Sector Development Program II,GTZ,,,5.50,0.00,1.33,2007-2009,,,"Industry, Trade and Tourism",Unspecified,,closed,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,City Development Initiative for Asia Phase II,GTZ,,,2.50,0.00,0.87,2007-2009,,,"Industry, Trade and Tourism",Unspecified,,closed,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Sustainable Management of Resources Phase II,GTZ,,,10.95,0.00,1.62,2009-2012,07-Jan-09,30-Jun-12,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,ASEAN Biodiversity,GTZ,,,2.00,0.00,0.01,2009-2011,10-Jan-09,30-Sep-11,"Agriculture, Environment and Agrarian Reform",Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Decentralization Program Phase II,GTZ,,,4.00,0.00,0.54,2009-2012,10-Jan-09,30-Sep-12,Governance and Institutions Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Private Sector Development Program Phase III,GTZ,,,2.75,0.00,0.01,,15-Dec-09,31-Aug-12,"Industry, Trade and Tourism",Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Interim CARAGA Project,GTZ,,,1.75,0.00,0.66,,09-Jan-09,31-Dec-10,Governance and Institutions Development,Unspecified,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,REDD Project,GTZ,,,2.70,0.00,0.02,,11-Jan-09,30-Nov-11,"Agriculture, Environment and Agrarian Reform",,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,"Developing Systems, Tools and Capacities to Improve Recovery and Reintegration Services to Victims of Trafficking",ILO,DSWD,,0.00,0.05,0.00,,01-Aug-07,31-Mar-09,Social Reform and Community Development,Multi-Regional,"I, III, IV-A, IX, NCR",closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Adoption and Implementation of Forestry Information System,ITTO,DENR,,0.00,0.00,0.00,,01-Jul-07,30-Jun-09,"Agriculture, Environment and Agrarian Reform",Unspecified,,closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Capacity Building for Philippine Standards and Conformity Assessment Program,JICA,DTI,BPS,0.00,0.01,0.01,10/13/05-10/12/08,13-Oct-05,31-Mar-09,"Industry, Trade and Tourism",NCR,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Capacity Development Project for Water Quality Management,JICA,DENR,DENR-EMB,0.00,0.00,0.00,09/2005-09/2010,30-Sep-05,30-Sep-10,"Agriculture, Environment and Agrarian Reform",Multi-Regional,"III, NCR, VI, XII",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Comprehensive Outreach and Fish Breeding Project,JICA,DA,BFAR-NIFTDC,0.00,0.71,0.71,11/01/06-04/10,01-Nov-06,30-Apr-10,"Agriculture, Environment and Agrarian Reform",Multi-Regional,"I, III, IV-B",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Development and Promotion of Location-Specific Integrated High-Yielding Rice and Rice-Based Technologies,JICA,DA,PhilRice,0.00,0.63,0.63,11/15/04-11/14/09,15-Nov-04,14-Nov-09,"Agriculture, Environment and Agrarian Reform",Multi-Regional,"I, III",closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Enhancement of Community-Based Forest Management (E-CBFM) Program,JICA,DENR,DENR-FMB,0.00,0.53,0.53,08/15/04-06/04/09,15-Jun-04,14-Jun-09,"Agriculture, Environment and Agrarian Reform",Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
