sequence,city,trade_or_business_name,printer_name,registered_address,permanent_accreditation_number,date_of accreditation,email_address,contact_number
RDO 3,"San Fernando, La Union",RCCP Corpuz Printing Press and Gen. MDSE,Purificacion Flores Corpuz,"Payocpoc Norte-Oeste Bauang, La Union",003MP20130000000003,12/19/2013,corl_ventura87@yahoo.com,(072) 705-2586
RDO 4,"San Miguel, Calasiao, Pangasinan",Alpha Printing Press,Dionisio B. Espiritu,130 Guiling St. Dagupan City,004MP20130000000007,7/30/2013,diony.espiritu@gmail.com,(075)  522-2595
RDO 4,"San Miguel, Calasiao, Pangasinan",Barabara Maminta Printing Press,Barbara C. Maminta,"Maronong, Sta. Barbara, Pangasinan",004MP20140000000038,4/30/2014,barbara_maminta@yahoo.com,(075) 653-4903
RDO 4,"San Miguel, Calasiao, Pangasinan","CMN Printing Co., Inc.","CMN Pprinting Co., Inc.","Mc Arthur Highway, Nalsian, Calasiao, Pangasinan",004MP20130000000001,7/30/2013,cmnprintingco@yahoo.com,(075)  522-0114
RDO 4,"San Miguel, Calasiao, Pangasinan",De Vera Printing Press,Faustino M. De Vera,"33 Beverly Hills, Bonuan Gueset, Dagupan City",004MP20130000000006,7/30/2013,rodmdevera@yahoo.com,(075)  522-1205
RDO 4,"San Miguel, Calasiao, Pangasinan",Delroman Printing Press,Elizabeth M. Manaot,"476 Anolid, Mangaldan, Pangasinan",004MP20130000000025,7/30/2013,elizabethmanaoat@yahoo.com,0939-1126650
RDO 4,"San Miguel, Calasiao, Pangasinan",Delsa Printing Press,Hazel V. Baldove,"392 Galvez St. Rizal Ext. San Carlos City, Pangasinan",004MP20130000000017,7/30/2013,delsapress@yahoo.com,0921-5661370
RDO 4,"San Miguel, Calasiao, Pangasinan",Denmar Printing Press and Gen. MDSE.,Jennifer T. Valdez,"A. B. Fernandez East, Dagupan City",004MP20130000000002,7/30/2013,denmarpress@yahoo.com.ph,(075) 514-2619
RDO 4,"San Miguel, Calasiao, Pangasinan",DJL Printers,Dominador B. De Guzman,"114 Naguilayan, San Carlos City, Pangasinan",004MP20130000000033,8/19/2013,djl_printers@yahoo.com,0918-7771771
RDO 4,"San Miguel, Calasiao, Pangasinan",EandR Printing Press,Remedios P. Soriano,"Malacanang, San Carlos City, Pang.",004MP20130000000027,7/30/2013,emelanie.soriano@yahoo.com,0928-3054615
RDO 4,"San Miguel, Calasiao, Pangasinan",EDG Printing Press,Diana Jeane D. Gutierrez,"Bued, Calasiao, Pangasinan",004MP20130000000009,7/30/2013,ediongutierrez@yahoo.com,(075) 517-3077
RDO 4,"San Miguel, Calasiao, Pangasinan",EJ Printing Press,Joel O. Songcuan,"Claveria Road, Lucao DiSt. Dagupan City, Pangasinan",004MP20140000000037,3/14/2014,jan_mikeman_16@yahoo.com,0905-2204419
RDO 4,"San Miguel, Calasiao, Pangasinan",ERSUA Printing Press,Arlene E. Alcantara,Caranglaan Dist. Dagupan City,004MP20130000000003,7/30/2013,urdz_iluv@yahoo.com,(075) 523-0637
RDO 4,"San Miguel, Calasiao, Pangasinan",Fedmar Printers,Roderick L. Calaguio,"San Miguel, Calasiao, Pangasinan",004MP20130000000034,8/19/2013,fedmarprinter@yahoo.com.ph,0927-7339277
RDO 4,"San Miguel, Calasiao, Pangasinan",Filipinas Printing Press,Leonardo Q. Ferrer,"070 Malabago, Calasiao, Pangasinan",004MP20130000000026,7/30/2013,fil_press@yahoo.com,(075) 529-0195
RDO 4,"San Miguel, Calasiao, Pangasinan",Gold Man Printers,Peter G. Lim,Zarate Subd. Arellano St. Dag. City,004MP20130000000010,7/30/2013,goldmanprinters@yahoo.com.ph,(075) 522-0888
RDO 4,"San Miguel, Calasiao, Pangasinan",Icor Enterprises,Ireneo dl. ico,"Zone 2, Tuliao, Sta. Barbara, Pangasinan",004MP20130000000028,7/30/2013,reneico71@gmail.com,(075) 615-0134
RDO 4,"San Miguel, Calasiao, Pangasinan",Imprenta Infistan,arabella M. Castro,"Tuliao, Sta. Barbara, Pangasinan",004MP20130000000024,7/30/2013,imprentainfistan@yahoo.com,0923-2487380
RDO 4,"San Miguel, Calasiao, Pangasinan",Laoac Printing Press,Darwin Fortunato G. Ramos,"283 Lazaro St.Llaoac, Pangasinan",004MP20130000000014,7/30/2013,laoacprintingpress@yahoo.com,0921-8459524
RDO 4,"San Miguel, Calasiao, Pangasinan",MandU Printing Press,Ressurrecion U. Mapanao,75 Guilig St. Dagupan City,004MP20130000000011,7/30/2013,ehmanyu@yahoo.com,(075) 522-0922
RDO 4,"San Miguel, Calasiao, Pangasinan",Marman Printing Press Co.,Marman Printing Press Co.,"Bonuan Boquig, Dagupan City, Pangasinan",004MP20130000000035,11/29/2013,marman_press@yahoo.com,(075) 653-2172
RDO 4,"San Miguel, Calasiao, Pangasinan",Mega Star Printers Enterprises and Services,Alfonso Z. Sy,"964 Anolid, Mangaldan, Pangasinan",004MP20130000000031,7/30/2013,leliachuasy@ymail.com,(075) 653-8870
RDO 4,"San Miguel, Calasiao, Pangasinan",Metro Print Asia and Gen. Merchandise,Manuel John l. Sia,01 Fernadez St. Dagupan City,004MP20130000000018,7/30/2013,metroprintasia@yahoo.com.ph,(075) 523-3638
RDO 4,"San Miguel, Calasiao, Pangasinan",Mjre Printery and Gen. Merchandize,Gervacio T. Poquiz,"Guilig, Mangaldan, Pangasinan",004MP20130000000032,7/30/2013,mjreprintery_2003@yahoo.com.ph,(075) 542-3902
RDO 4,"San Miguel, Calasiao, Pangasinan",ML Manabat Printers,Marilyn DL. Manabat,"Poblacion Norte, Sta. Barbara, Pangasinan",004MP20130000000030,7/30/2013,marilynmanabat_74@yahoo.com,0908-9256873
RDO 4,"San Miguel, Calasiao, Pangasinan",Muyon Printing Press,Milagros M. Munoz,"A.B. Fernandez East, Dagupan City",004MP20130000000020,7/30/2013,muyonpress2004@yahoo.com,(075) 529-2170
RDO 4,"San Miguel, Calasiao, Pangasinan",Nationwide Printers,Christian C. Estrada,"Guibel, San Jacinto, Pangasinan",004MP20130000000005,7/30/2013,nationwide_printer@hotmail.com,0917-5082372
RDO 4,"San Miguel, Calasiao, Pangasinan",New Aster Printing Hauz,Jacinto T. Molano,"15 Ambuetel, Calasiao, Pangasinan",004MP20130000000016,7/30/2013,jestmolano@yahoo.com,0932-7072788
RDO 4,"San Miguel, Calasiao, Pangasinan",Pen Point Printing Press,Joseral C. Inacay,"San Miguel, Calasiao, Pangasinan",004MP20130000000029,7/30/2013,job_penpoint@yahoo.com,(075) 517-2691
RDO 4,"San Miguel, Calasiao, Pangasinan",Perry Memorial Printing Press,Porferio C. Torio,"Bonuan Gueset, Dagupan city",004MP20130000000022,7/30/2013,percitorio@gmail.com,(075) 515-6565
RDO 4,"San Miguel, Calasiao, Pangasinan",Poquiz Printing Press,Salvador C. Poquiz,"Viado, Malasiqui, Pangasinan",004MP20130000000021,7/30/2013,salvadorcuisonpoquiz@yahoo.com,0907-2245105
RDO 4,"San Miguel, Calasiao, Pangasinan",Pprint.com Printing Press and Gen. Merchandise,Hedelin T. de Vera,"Malued Dist., Dagupan City",004MP20130000000019,7/30/2013,hedsvera72@yahoo.com,(075) 523-7512
RDO 4,"San Miguel, Calasiao, Pangasinan",Renzo Printing Press,Froilan M. Fernandez,"Ungson St. Poblacion, Sta. Barbara, Pangasinan",004MP20130000000008,7/30/2013,renzo818@yahoo.com,(075) 541-2335
RDO 4,"San Miguel, Calasiao, Pangasinan",RG Paras Printing Press,Roderick S. Paras,"Bonuan Boquig, Dagupan city",004MP20130000000004,7/30/2013,roderickparas61279@yahoo.com,0922-8164919
RDO 4,"San Miguel, Calasiao, Pangasinan",Roper Printing Press,Roper O. Calaunan,"Caranglaan Dist., Dagupan City, Pangasinan",004MP20140000000036,1/29/2014,roperprintingpress@yahoo.com,(075) 522-7134
RDO 4,"San Miguel, Calasiao, Pangasinan",Sanchez Printing Press,Enriqueta C. Sanchez,"Quezon Blvd. San Carlos City, Pangasinan",004MP20130000000015,7/30/2013,stesan55@yahoo.com,(075) 532-2422
RDO 4,"San Miguel, Calasiao, Pangasinan",Sunlight Printing Press,Violeta M. Luna,"325 Sitio Mamalang, Malacanang, San Carlos City,Pangasinan",004MP20130000000013,7/30/2013,alegadorebializ@yahoo.com,0921-3124875
RDO 4,"San Miguel, Calasiao, Pangasinan",Verco Printing Press,Ambrosio A. Ubando,"94 Sta. Maria St. Bonuan Boquig, Dagupan City",004MP20130000000023,7/30/2013,valerie_ubando08@yahoo.com,(075) 529-6160
RDO 4,"San Miguel, Calasiao, Pangasinan",A and D Printing Press,Wilfredo S. Daduya,"Lucao Dist., Dagupan City",004MP20130000000012,7/30/2013,noahdaduya@yahoo.com,(075) 529-5437
RDO 5,"Alaminos City, Pangasinan",Cafea Printing Press Copy Center,Maribel D. de Guzman,"PDP Bldg, Marcos Ave, Palamis, Alaminos City",005MP20130000000002,8/15/2013,cafea_capitol@yahoo.com,(075) 654-0018
RDO 5,"Alaminos City, Pangasinan",Crisayet Printing,Henrietta Maria O. de Vera,"#12 M. Rabago St. Poblacion, Alaminos City",005MP20130000000003,8/15/2013,crisayetprinting@yahoo.com,(075) 654-0031
RDO 5,"Alaminos City, Pangasinan",Ellipsis Printing Press,Jerrol Sam E. Rosete,"Sadsaran, Alaminos City",005MP20130000000004,8/15/2013,ellipsisprintingpress@yahoo.com,(075) 552-7030
RDO 5,"Alaminos City, Pangasinan",Gazelem Printing or Copy Center,Lilia M. Ines,"Montemayor St. Poblacion, Alaminos City",005MP20130000000001,8/15/2013,gazelem88@yahoo.com,0908-8819359
RDO 5,"Alaminos City, Pangasinan",Cazam Printing Press,Nelson M. Catalan,"Baay Center, Lingayen, Pangasinan",005MP20130000000006,8/20/2013,hzambale@yahoo.com,0921-2992601
RDO 5,"Alaminos City, Pangasinan",Jolly Printing Press and Gen Enterprises,Miguel G. Estrada,"Tonton, Lingayen, Pangasinan",005MP20140000000009,1/29/2014,jollyprintingpress@yahoo.com,(075) 529-6005
RDO 5,"Alaminos City, Pangasinan",Ro-Cel Printing Press,Rolando P. Poyaoan,"Naguilayan, Binmaley, Pangasinan",005MP20130000000007,8/20/2013,"rocelpoyaoanprintingpress@gmail.com",0910-7047903
RDO 5,"Alaminos City, Pangasinan",Rod-Angel Print Haus,Angel C. Valdez,"80 Artacho St. Poblacion, Alaminos City, Pangasinan",005MP20130000000005,8/20/2013,edwinmoralesvaldez@yahoo.com,(075) 529-1929
RDO 5,"Alaminos City, Pangasinan",Santa Chiara Trading and Printing Press,Ernest B. Cabudoy,"Bonsay St. Poblacion, Burgos, Pangasinan",005MP20130000000008,8/20/2013,ernesto_cabudoy@yahoo.com,0932-8460901/0918-5912930
RDO 6,"Urdaneta City, Pangasinan",A.I. Agsalud Printing Press,Aries Ivan Ibasitas Agsalud,"20 2nd St. Gracia Vill., Urdaneta City, Pangasinan",006MP20130000000002,12/27/2013,agsaludprintingpress@yahoo.com,(075) 531-1504
RDO 6,"Urdaneta City, Pangasinan",Del Castillo Printing Press,Julius del Castillo Soriano,"05 del Prado, Poblacion, Urdaneta City, Pangasinan",006MP20130000000006,12/27/2013,delcastillopress@gmail.com,0917-4048158
RDO 6,"Urdaneta City, Pangasinan",Eulalio Prinitng Press,Anita Soriano Eulalio,"Dilan-Paurido, Urdaneta City, Pangasinan",006MP20130000000008,12/27/2013,printingpress.eulalio@yahoo.com,0923-4140393
RDO 6,"Urdaneta City, Pangasinan",Guzman Printing Press,Alicia Salinas Basaen,"Mc Kinley St. Poblacion, Binalonan, Pangasinan",006MP20130000000007,12/27/2013,jvbasaen@yahoo.com,0908-9776526
RDO 6,"Urdaneta City, Pangasinan",Kaki Printers and General Merchandize,Enrique Mejia Villanueva,"Poblacion, Pozorrubio, Pangasinan",006MP20130000000004,12/27/2013,aykv@yahoo.com,0917-5084564
RDO 6,"Urdaneta City, Pangasinan",RFM Printing Design and Metal Engraving,Rolly Flores Megote,"Nancamaliran, Urdaneta City, Pangasinan",006MP20130000000010,12/27/2013,tiger.print@yahoo.com.ph,(075) 568-7576
RDO 6,"Urdaneta City, Pangasinan",Solis Printing Press,Leonardo Oraza Solis,"Zone 4, Catablan, Urdaneta City, Pangasinan",006MP20130000000001,12/27/2013,mabellasolis@yahoo.com,0906-8644655
RDO 6,"Urdaneta City, Pangasinan",Tandoc Printing Press,Aurora Boquiren Tandoc,"639 Zaragoza Poblacion, Tayug, Pangasinan",006MP20130000000009,12/27/2013,tandocprinting@yahoo.com,"(075) 572-3350"
RDO 7,"Bangued, Abra",Bangued Printing Press,Virgilio B. Regero,"Ubbog, Bangued, Abra",007MP20140000000001,3/5/2014,to follow,0927-7807546
RDO 8 ,Baguio City,Baguio Allied Printers,Danny l. Chan,3 Urbano St. Baguio City,008MP20140000000002,1/15/2014,baguioalliedprinters849@yahoo.com,"(074) 443-4092"
RDO 8 ,Baguio City,Bensa Publishing House,Evangel Sales and Services Inc.,"UC Bldg. Harrison Road, Baguio City",008MP20140000000007,1/15/2014,evangel95@rocketmail.com,"(074) 442-8217"
RDO 8,Baguio City,Computerized Clean Print Inc.,Computerized Clean Print Inc.,"02 Camp 8, Kennon Road, Baguio City",008MP20140000000011,1/15/2014,ccprint_camp8@yahoo.com,"(074) 424-1156"
RDO 8,Baguio City,Crystal Printers and Gen Merchandise,Dexter B. Caytap,Room. 300 3/f Dangwa Station,008MP20140000000017,1/22/2014,crystal_printers@yahoo.com,"(074) 244-0642"
RDO 8,Baguio City,Cyber Printing Press,Elisa F. Gonzales,"68 Naguilian Road, Baguio City",008MP20140000000010,1/15/2014,cyberprintingpress@gmail.com,0928-9513842
RDO 8,Baguio City,Dacanay Printshop,Dominador P. Dacanay,"19B Hamada Subd. Queen of Peace, Baguio City",008MP20140000000012,1/15/2014,dacanayprintshop@yahoo.com,0909-2014663
RDO 8,Baguio City,Interprint Printing Press and Publishing Haus,Reinnel A. Paragas,"66 San Roque Vill., Baguio City",008MP20140000000014,1/15/2014,interprint2008@yahoo.com,0929-6765333
RDO 8,Baguio City,Jodence Printing Press,Charles U. Sta. Maria,"13 Roman Ayson Road, Baguio City",008MP20140000000009,1/15/2014,prudence.santamaria@yahoo.com,"(074) 442-4727"
RDO 8,Baguio City,LSK Printing Services,Wilfredo D. Fernando,"Justice Vill., Marcos Highway, Baguio City",008MP20140000000003,1/15/2014,sarahjay_f@yahoo.com,"(074) 444-9316"
RDO 8,Baguio City,Maximize Printing Services,Alicia G. Barawid,100 Abanao St. Baguio City,008MP20140000000020,6/3/2014,maximizeprint@gmail.com,"(074) 244-0642"
RDO 8,Baguio City,Mega-Vision Printing Press,Josephine I. Quibin,"Bakakeng old site, Baguio City",008MP20140000000008,1/15/2014,megavisionprintingpress@yahoo.com,"(074) 444-4762"
RDO 8,Baguio City,Micro Printing Services,Carmelita Z. Alconis,"118 Camp 8, Baguio City",008MP20140000000005,1/15/2014,jeanzalconis@yahoo.com,0921-6038066
RDO 9,Baguio City,Naguilian Printing Press,Leonila E. Baldemor,"69 Prk 18, Irisan, Baguio City",008MP20140000000013,1/15/2014,naguilianprintingpress@yahoo.com,0919-8770053
RDO 10,Baguio City,Pinlac Printing Press,Ruben Q. Pinlac,"43 Lower Cabinet hill, Baguio City",008MP20140000000004,1/15/2014,pinlacpress@yahoo.com,"(074) 444-5551"
RDO 11,Baguio City,Printers and Publishers MPC,Printers and Publishers MPC,"Bokawkan Road, Cresencia Villgae, Baguio City",008MP20140000000019,2/10/2014,printerspublishers@yahoo.com,"(074) 444-2805"
RDO 12,Baguio City,Rianella Printing Press,Romeo T. Ong,"Upper Ferguson Road, Baguio City",008MP20140000000006,1/15/2014,rianella09@gmail.com,"(074) 424-2473"
RDO 13,Baguio City,Saint Louis University Inc.,Saint Louis University Inc.,A. Bonifacio St. Baguio City,008MP20140000000016,1/17/2014,anncapegsan@yahoo.com.ph,"(074) 442-3043"
RDO 14,Baguio City,Son's and daughter Printing Press,Arsenia S. Poyaoan,"7 Sto. Nino Bengao Road, Baguio City",008MP20140000000018,2/10/2014,jong_poyaoan@yahoo.com,"(074) 424-8433"
RDO 15,Baguio City,Super Nine Printing Press,Lilia B. Sanchez,Cor. P. Burgos Magsaysay Ave. Baguio City,008MP20140000000001,1/15/2014,superninepp@yahoo.com,"(074) 423-5158"
RDO 16,Baguio City,Unique Printing Press,Nida M. Cheng,"Legarda Road, Baguio City",008MP20140000000021,6/30/2014,unique press@gmail.com,"(074) 442-4209"
RDO 17,Baguio City,V. Mendoza Printing Press,Ma. Teresita P. Mendoza,10 Upper Mabini St. Baguio City,008MP20140000000015,1/15/2014,nmtm1323@yahoo.com,0927-7046201
RDO 9 ,"La Trinidad, Benguet",AC Solid Offset Press,Anthony H. Chan,"JC-148 Pico Road km. 5, La Trinidad, Benguet",009MP20140000000003,1/24/2014,flamezenith@yahoo.com,"(074) 422-1057/309-3603"
RDO 9,"La Trinidad, Benguet",Gochamayta Print Shop,Haji G. Tangib,"FA-284 km. 4, Balili, La Trinidad, Benguet",009MP20140000000006,1/24/2014,gochamayta@gmail.com,"(074) 422-5587"
RDO 9,"La Trinidad, Benguet",ICS Printing Press,Angela P. Ocden,"A-10 Poblacion, La Trinidad, Benguet",009MP20140000000005,1/24/2014,ics_printingpress@yahoo.com,"(074) 422-1307/424-7679"
RDO 9,"La Trinidad, Benguet",Morrisons Print Haus,Corinne Mae S. Camsol,"ID-44 Abalos Cmpd. Strawberry farm, km. 6, Betag, La Trinidad, Benguet",009MP20140000000002,1/24/2014,morrisonsprinthouse@yahoo.com,"(074) 0921-7883458"
RDO 9,"La Trinidad, Benguet",MS Printing Press and Copy Center,Stanley Accos Camhit,"FA-129 Balili, km. 5, La Trinidad, Benguet",009MP20140000000001,1/24/2014,msprintingpress@yahoo.com,"(074) 422-3677"
RDO 9,"La Trinidad, Benguet",Right Mark Printing Press,Marietta T. Eladjoe,"FA-289 km. 4, Balili, La Trinidad, Benguet",009MP20140000000004,1/24/2014,rm_rightmark@yahoo.com,"(074) 422-1734"
RDO 12 ,"Lagawe, Ifugao",MCO Printhaus and General Merchandise,Sherdillah B. Olnanigon,"JDT Bldg. Poblacion East Lagawe, Ifugao",012MP20140000000001,1/3/2014,solnanigon@yahoo.com,0935-8192638
RDO 13 ,"Tuguegarao, Cagayan",C.V. Rapadas Printing Press,Constante V. Rapadas,"33 Tabora St. Punta, Aparri, Cagayan",013MP20130000000012,4/15/2014,cvrapadas@yahoo.com,to follow
RDO 13 ,"Tuguegarao, Cagayan",Diwa Printing Press,Rolando T. Diwa,College Ave. Tuguegarao City,013MP20130000000007,12/27/2013,diwapress@gmail.com,"(078) 844-9927"
RDO 13,"Tuguegarao, Cagayan",FL Gonzaga Printing Services,Fatima l. gonzaga,"Ugac Norte, Tugegarao City",013MP20130000000005,12/27/2013,flgonzaga@yahoo.com,0917-5635142
RDO 13,"Tuguegarao, Cagayan",FRGJ Printing Press,James A. Pelovello,"Pengue-Ruyu, Tuguegarao City",013MP20130000000008,12/27/2013,jamesApelovello@yahoo.com,0927-7720939
RDO 13,"Tuguegarao, Cagayan",Golden Press,Ma. Belen B. Lim,Rizal St. Tuguegarao City,013MP20130000000001,12/27/2013,mabelenlim@yahoo.com,"(078) 844-1597"
RDO 13,"Tuguegarao, Cagayan",Liberty Printing Press,Julie M. Baniel,"C-4, Aparri, Cagayan",013MP20130000000006,12/27/2013,banieljulie@yahoo.com,0915-2102323
RDO 13,"Tuguegarao, Cagayan",M.S. Ibay Printing Services,Macrina de Leon Ibay,"13 Lakandula St. San Gabriel Vill., Tuguegarao City",013MP20130000000011,2/12/2014,celo_ibay@yahoo.com,to follow
RDO 13,"Tuguegarao, Cagayan",MDAC Trading and Compuserve,Florescita A. Cruz,"San Antonio, Basco, Batanes",013MP20130000000010,12/27/2013,mdac_diptan@yahoo.com,0939-9104006
RDO 13,"Tuguegarao, Cagayan",Northpoint Printing,Anastacio C. Arana,"Centro 8, Tuguegarao City",013MP20130000000004,12/27/2013,acaprints@yahoo.com,"(078) 844-1495"
RDO 13,"Tuguegarao, Cagayan",People's Printing Press,Johhny G. Romero,"Maura, Aparri, Cagayan",013MP21300000000002,12/27/2013,jgromero72@yahoo.com,0927-8881602
RDO 13,"Tuguegarao, Cagayan",R.P. Lao TO Printing Press,Ronald P. Lao To,"Ugac Norte, Tuguegarao City",013MP20130000000003,12/27/2013,Irene.laoto@yahoo.com,"(078) 844-8859"
RDO 13,"Tuguegarao, Cagayan",Red Jewel Publishing,Leih P. Tamargo,"Pengue-Ruyu, Tuguegarao City",013MP20130000000009,12/27/2013,redjewelpublishing@yahoo.com,"(078) 396-9890"
RDO 14,"Bayombong, Nueva Vizcaya",Alpa Printshop and Computer Works,Lucena C. Pascual,"Calaocan, Bambang, Nueva Vizcaya",014MP20130000000007,12/26/2013,alphaprintshop@yahoo.com,0906-3307300
RDO 14,"Bayombong, Nueva Vizcaya",Bagabag Printhauz,Cecilia T. Tabago,"San Pedro, Bagabag, Nueva Vizcaya",014MP20130000000001,12/26/2013,macbenn2007@yahoo.com,(078) 321-2375
RDO 14,"Bayombong, Nueva Vizcaya",CLM Marquez Printing Press,Conrado A. Marquez,"Murong, Bagabag, Nueva Vizcaya",014MP20130000000002,12/26/2013,earle_marquez@yahoo.com,0910-6371189
RDO 14,"Bayombong, Nueva Vizcaya",Sadangsal Printshop,Joefel S. Sadangsal,"Bambang, Nueva Vizcaya",014MP20130000000006,12/26/2013,joefel8884@yahoo.com,0905-5435204
RDO 14,"Bayombong, Nueva Vizcaya",SB Prints and Graphics,Sonia  S. Benasa,"Plaridel St. Quezon, Solano, Nueva Vizcaya",014MP20130000000005,12/26/2013,asc_sonbenasa@yahoo.com,(078) 326-6718
RDO 14,"Bayombong, Nueva Vizcaya","Solano Pioneer Press, Inc.","Solano Pioneer Press, Inc.","Yogad St. Poblacion South, Solano, Nueva Vizcaya",014MP20130000000003,12/26/2013,solano_pioneer.press@yahoo.com,(078) 326-5841
RDO 14,"Bayombong, Nueva Vizcaya",Valley Journal Publishing,Conrado A. Domingo,"Zamora St. Buag, Bambang, Nueva Vizcaya",014MP20130000000008,12/26/2013,conrado.domingo@yahoo.com,0935-5931466
RDO 14,"Bayombong, Nueva Vizcaya",Vizcaya Printing Press,Regina Salome G. Danguilan,"Bintawan Road, Osmena, Solano, Nueva vizcaya",014MP20130000000004,12/26/2013,gigi_dang@yahoo.com,(078) 326-7273
RDO 15 ,"Naguilan, Isabela",A.S.M. Enterprises Inc.,A.S.M. Enterprises Inc.,"Purok 2, Brgy. Minante I, Cauayan City, Isabela",015MP20130000000018,12/19/2013,asm_enterprisesinc@yahoo.com,"(078) 652-2487"
RDO 15 ,"Naguilan, Isabela",Bankers Printing Press,Ronald Melchor D. Silverio,"Ramos East, San Isidro, Isabela",015MP20130000000006,12/19/2013,bankerspress@yahoo.com.ph,to follow
RDO 15,"Naguilan, Isabela",Carreon Printing Press,Virgilio R. Carreon,"13 Diamond St. Plaridel Heights Subd., Santiago City, Isabela",015MP20130000000004,12/19/2013,jpcarreon0707@yahoo.com,"(078) 305-3121"
RDO 15,"Naguilan, Isabela",CAS Printing Press,Celso A. Silverio,"11 c.m. Recto St. Centro west, Santiago City, Isabela",015MP20130000000008,12/19/2013,ca_silverio@yahoo.com,"(078) 305-0902"
RDO 15,"Naguilan, Isabela","FCT Publishing, Inc.","FCT Publishing, Inc.","FCT Bldg. Maharlika Road, Malvar Santiago City, Isabela",015MP20130000000007,12/19/2013,cstar_fct@yahoo.com,"(078) 305-0208"
RDO 15,"Naguilan, Isabela",Five Star Printing Press,Andres R. Cabuyadao,"City Road, Centro East, Santiago City, Isabela",015MP20130000000021,12/19/2013,ar_cabuyadao@yahoo.com.ph,"(078) 305-9966"
