region,province_or_city_or_municipality,date_of_conviction,number_of_conviction,number_of_persons_convicted,acts_commited,number_of_years_of_imprisonment,amount_of_fines,,
National Capital Region,Quezon City,"November 23, 2010",1,3,Qualified Trafficking,Life imprisonment,P 2 Million each ,,
National Capital Region,Manila,"December 22, 2010",1,1,Trafficking in persons,10 years of imprisonment,-,,
Region 11,Davao City,"February 10, 2010",1,1,Plea of guilty,6 years,P 20000,,
Region 11,Tagum City,"April 23, 2010",1,1,Acts that Promote Trafficking Sec. (5) of RA 9208,Fifteen (15) years of imprisonment,P 500000,,
National Capital Region,Pasay City,"May 24, 2011",1,2,Trafficking in persons,6- years of imprisonment (Plea Bargain),-,,
Region 9,Zamboanga City,"July 29, 2011",1,1,Qualified Trafficking,Life imprisonment,P 2 Million ,,
Region 7,Cebu City,"August 10, 2011",1,1,Qualified Trafficking,21 years of imprisonment,P 1 Million ,,
National Capital Region,Makati City,"August 10, 2010",1,1,Qualified Trafficking,Life imprisonment,P 2 Million,,
Region 7,Cebu City,"September 3, 2010",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Pasig City,"September 23, 2011",1,2,Trafficking in Persons,Life Imprisonment and 15 years of Imprisonment ,P 2 Million and P 500001,,
Region 10,Cagayan de Oro City,"September 24, 2010",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 7,Cebu City,"October 29, 2011",2,1,Trafficking in Persons (TIP)  and Qualified TIP,21 years of imprisonment and life imprisonment,P 2 Million and P 3 Million,,
National Capital Region,Las Pi?as City ,"November 17, 2011",1,1,Qualified Trafficking,Life imprisonment,P 2 Million ,,
National Capital Region,Caloocan City,"November 26, 2011",5,2,5-counts of Qualified Trafficking,Life Imprisonment for each count,P 2 Million fines for each count,,
Region 12,Sultan Kudarat,"December 28, 2011",1,1,Qualified Trafficking,Life Imprisonment ,P 2 Million,,
Region 7,Cebu City,"January 10, 2012",1,2,Trafficking in Persons,21 years of Imprisonment,P 1 Million each,,
National Capital Region,Taguig City,"January 11, 2012",1,4,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
National Capital Region,Paranaque City,"January 18, 2012",1,1,Trafficking in Persons,21 years of Imprisonment,P 1 Million,,
National Capital Region,Taguig City,"January 25, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Las Pinas City,"January 28, 2011",1,1,Qualified Trafficking,Life Imprisonment,P 3 Million,,
National Capital Region,Makati City,"January 31, 2011",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 9,Zamboanga City,"February 8, 2012",1,1,Trafficking in Persons and Illegal Recruitment,21 years of Imprisonment for TIP and 8 years for IR,"P 1 Million (TIP) and P250,000 (IR) fine",,
Region 4,"San Mateo, Rizal","March 2, 2011",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
National Capital Region,Manila,"March 11, 2011",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Pasay City,"March 22, 2011",4,1,Acts that Promote Trafficking,15 years of Imprisonment,P 2 Million (P 500000 x 4 counts),,
National Capital Region,Pasig City,"March 30, 2011",1,1,Trafficking in Persons,20 years of Imprisonment,P1 Million,,
Region 10,Cagayan De Oro City,"May 6, 2011",1,5,Qualified Trafficking (2pax) and Trafficking in Persons (3pax),Life Imprisonment (2pax) and 20 years of Imprisonment,P 2 Million each (2 Pax) and P 1 Million each (3 Pax),,
National Capital Region,Makati City,"June 1, 2011",2,1,2 counts of Use of Trafficked Person,1 year Imprisonment,P 100000,,
Region 11,Davao City,"June 18, 2011",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
National Capital Region,Taguig City,"June 25, 2011",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 9,Zamboanga City,"June 30, 2011",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 6,Bacolod City,"July 28, 2011",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Quezon City,"October 18, 2011",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 11,Davao City,"November 22, 2011",1,1,Violation of Confidentiality RA 9208 Sec. (7),Six (6) years of imprisonment,P 500000,,
Region 7,Cebu City,"November 28, 2011",1,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
National Capital Region,Quezon City,"December 2, 2011",1,3,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
National Capital Region,Taguig City,"February 29, 2012",1,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 13,Butuan City,"February 27, 2012",1,6,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 11,Digos City,"February 27, 2012",1,1,Use of Trafficked Person (Sec.11 of RA 9208),6 months Community Service,P 50000,,
Region 5,Naga City,"March 26, 2012",2,1,Trafficking in Persons,20 years of imprisonment,P 1 Million,,
Region 7,Cebu City,"March 12, 2012",1,2,Trafficking in Persons,20 years of Imprisonment,P 1 Million each,,
Region 7,LapuLapu City,"March 23, 2012",1,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 4,Lipa City,"April 10, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Manila,"May 15, 2012",1,1,Trafficking in Persons,20 years of Imprisonment,P1 Million,,
Region 5,Iriga City,"May 21, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 7,Cebu City,"May 21, 2012",5,1,Qualified Trafficking,12 to 14 years and 8 months of Imprisonment,P 2 Million,,
Region 7,Toledo City,"July 10, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 5 Million,,
National Capital Region,Manila,"August 1, 2012",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
Region 7,Cebu City,"July 30, 2012",1,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 1,Laoag City,"August 17, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 4,"Infanta, Quezon","August 24, 2012",1,3,Qualified Trafficking,17 years imprisonment,P 2 Million each,,
Region 5,Naga City,"September 6, 2012",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
National Capital Region,Makati City,"September 24, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Paranaque City,"October 2, 2012",3,2,Qualified Trafficking ,Life Imprisonment,P 3 Million each,,
Region 10,Cagayan De Oro City,"October 8, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 13,Butuan City,"December 9, 2012",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 7,Lapu-Lapu City,"January 09, 2013",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Quezon City,"January 15, 2013",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
Region 2,"Roxas, Isabela","January 16, 2013",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 3,San Jose City,Feb-13,1,1,Qualified Trafficking,Life Imprisonment,P 4 Million,,
National Capital Region,Manila,"March 5, 2013",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Quezon City,"March 11, 2013",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Muntinlupa City,Mar-13,1,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
National Capital Region,Makati City ,"April 24, 2013",2,1,3rdcount of Use of Trafficked Person and violation of RA 7610 in relation to RA 9208,Aggregate of 10 year and 8 months Imprisonment,P 1 Million,,
Region 7,Cebu City,"April 22, 2013",1,2,Trafficking in Persons,8 to 10 Years Imprisonment,P500000,,
National Capital Region,Quezon City,"May 28, 2013",1,3,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
National Capital Region,Muntinlupa City,"May 30, 2013",1,1,Qualified Trafficking,10 years and 1 day to 16 years ,P 1 Million,,
Region 7,Mandaue City,"June 4, 2013",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Manila City,"June 11, 2013",1,4,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
National Capital Region,Quezon City,"June 24, 2013",1,6,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 7,Cebu City,"July 3, 2013",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
Region 11,Cagayan De Oro,"July 23, 2013",1,1,Qualified Trafficking ,Life Imprisonment,P 2 Million,,
National Capital Region,Manila City,"September 24, 2013",1,1,Qualified Trafficking,Life Imprisonment,--,,
Region 3,Angeles City,"October 1, 2013",1,1,Qualified Persons,Life Imprisonment,P 2 Million,,
Region 7,Cebu City,"October 30, 2013",1,2,Qualified trafficking,Life Imprisonment,P 2 Million each,,
Region 3,Angeles City,"November 8, 2013",4,2,Trafficking in Persons,Life Imprisonment and20 years of Imprisonment,P 6 Million,,
Region 11,Davao City,"November 25, 2013",1,1,Trafficking in Persons,15 years of Imprisonment,P 500000,,
National Capital Region,Manila City,"November 25, 2013",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
National Capital Region,Manila City,"December 9, 2013",1,1,Qualified Trafficking,Life Imprisonment,--,,
Region 7,Lapu-Lapu City,"January 13, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 3 Million,,
Region 11,Digos City,"January 13, 2014",1,1,Use of Trafficked Person,Six (6) Months Community Service,P 150000,,
National Capital Region,Makati City,"February 7, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Manila City,"February 10, 2014",1,1,Trafficking in Persons,6 to 8 years of Imprisonment,--,,
National Capital Region,Manila City,"March 4, 2014",1,1,Trafficking in Persons,4 to 6 years of Imprisonment,--,,
National Capital Region,Pasay City,"March 6, 2014",1,1,Qualified Trafficking,30 years of Imprisonment,P 375000,,
National Capital Region,Manila City,"March 17, 2014",2,1,Qualified Trafficking,12 to 14 years of Imprisonment,P 1 Million,,
Region 11,Davao City,"April 24, 2014",1,1,Attempted Trafficking,15 years of Imprisonment,P 500000,,
National Capital Region,Manila City,"May 19, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 3,Angeles City,"May 19, 2014",1,1,Trafficking in Persons,15 years of Imprisonment,P 500000,,
National Capital Region,Paranaque,"May 27, 2014",3,5,Qualified Trafficking,Life Imprisonment,P 6 Million each,,
Region 7,Cebu City,"May 30, 2014",1,1,Qualified Trafficking,12 to 14 years of Imprisonment,P 2 Million,,
Region 5,Iriga City,"June 2, 2014",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
Region 7,Mandaue City,"June 4, 2014",1,1,Trafficking in Persons,20 years of Imprisonment,P 1 Million,,
National Capital Region,Manila City,"June 17, 2014",1,1,Trafficking in Persons,10 to 12 years of Imprisonment,--,,
Region 7,Cebu City,"June 17, 2014",1,1,Attempted Trafficking,15 years of Imprisonment,P 500000,,
Region 8,Cebu City,"June 11, 2014",1,1,Attempted Trafficking,15 years of Imprisonment,P 1 Million,,
Region 9,Cebu City,"July 7, 2014",1,1,Attempted Trafficking,15 years of Imprisonment,P 1 Million,,
Region 10,Cebu City,"July 7, 2014",1,1,Attempted Trafficking,15 years of Imprisonment,P 1 Million,,
Region 11,Cebu City,"July 7, 2014",1,1,Attempted Trafficking,15 years of Imprisonment,P 1 Million,,
National Capital Region,Quezon City,"August 6, 2014",1,2,Qualified Trafficking,Life Imprisonment and 15 years of Imprisonment,P 2 Million and P 500000,,
National Capital Region,Manila City,"August 20, 2014",1,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 3,Angeles City,"August 27, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 1,Laoag City,"August 29, 2014",2,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 3,Angeles City,"September 10, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 1,La Union,"September 22, 2014",4,2,Qualified Trafficking,Life Imprisonment,P 8 Million and P 700000,,
Region 1,"La Trinidad, Benguet","September 23, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Marikina City,"September 24, 2014",2,1,Qualified Trafficking,Life Imprisonment,P 4 Million,,
Region 7,Lapu-Lapu City,"September 25, 2014",1,1,Attempted Trafficking,15 years of Imprisonment,P 500000,,
Region 7,Lapu-Lapu City,"October 27, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Quezon City,"October 30, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million (TIP) and P 500000 (IR) fine,,
Region 2,Isabela ,"November 4, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
National Capital Region,Muntinlupa City,"November 5, 2014",1,1,Qualified Trafficking,Life Imprisonment,P3 Million,,
Region 7,Cebu City,"November 10, 2014",2,3,Qualified Trafficking,Life Imprisonment,P 2 Million and P 500000,,
Region 7,Lapu-Lapu City,"November 10, 2014",1,2,Trafficking in Persons and Attempted Trafficking,20 Years and 15 Years Imprisonment,P 1 Million and P 500000,,
Region 7,Lapu-Lapu City,"November 18, 2014",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
National Capital Region,Manila City,"November 20, 2014",2,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
Region 11,Davao City,"November 25, 2014",1,2,Use of Trafficking in Persons,9 to 10 Years Imprisonment,P 100000,,
Region 7,Cebu City,"November 26, 2014",1,1,Trafficking in Persons,20 Years Imprisonment,P1 Million,,
Region 7,Cebu City,"November 26, 2014",1,1,Trafficking in Persons,15 Years Imprisonment,P 500000,,
Region 3,Angeles City,"November 19, 2014",1,2,Trafficking in Persons,20 Years Imprisonment,P1 Million,,
Region 3,Angeles City,"December 9, 2014",3,1,Qualified Trafficking,Life Imprisonment (3 counts),P 2 Million (3 counts),,
Region 2,Tuguegarao City,"December 11, 2014",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 11,Tagum City,"January 20, 2015",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 5,Naga City,"February 4, 2015",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 7,Lapu-Lapu City,"February 5, 2015",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
National Capital Region,Quezon City,"February 12, 2015",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 7,Lapu-Lapu City,"February 26, 2015",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
,Lapu-Lapu City,"March 16, 2015",1,5,Simple Trafficking,15 and 20 Years Imprisonment,P 1 Million and P 500000,,
National Capital Region,Pasay City,"April 13, 2015",1,2,Acts that Promote Trafficking,15 Years Imprisonment,P 500000,,
National Capital Region,Cebu City,"April 13, 2015",2,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
National Capital Region,Cebu City,"April 17, 2016",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
Region 3,Bulacan,"February 18, 2015",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
Region 10,Iligan City,"April 30, 2015",2,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
,Lapu-Lapu City,"May 21, 2015",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
,Cebu City,"May 26, 2015",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
,Cebu City,"May 27, 2015",1,2,Attempted Trafficking,15 Years Imprisonment,P 500000,,
National Capital Region,Manila City,"May 25, 2015",1,1,Qualified Trafficking,8 – 10 Years Imprisonment,-,,
Region 4,Laguna,"May 26, 2015",1,1,Qualified Trafficking,20 – 22 Years Imprisoment,P 2 Million,,
National Capital Region,Manila City,"June 02, 2015",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
,Angeles City,"June 04, 2015",4,2,Qualified Trafficking,Life Imprisonment,P 2 Million,,
,Ilocos Sur,"June 15, 2015",1,2,Qualified Trafficking,Life Imprisonment,P 2 Million,,
,Cebu City,"June 26, 2015",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
,Mandaue City,"August 05, 2015",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
,Muntinlupa City,"August 14, 2015",3,1,Qualified Trafficking, 3 Life Imprisonment,P 2 Million Per count,,
,Bogo City,"September 03, 2015",3,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
,Cebu City,"September 22, 2015",1,3,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
,Cebu City,"September 24, 2015",1,2,Qualified Trafficking,Life Imprisonment,P 2 Million each,,
,Valenzuela City,"May 04, 2015",1,1,Qualified Trafficking,Life Imprisonment,P 2 Million,,
,Valenzuela City,"May 22, 2015",1,1,Attempted Trafficking,15 Years Imprisonment,P 500000,,
,Makati City,"October 01, 2015",1,1,Simple Trafficking,20 Years Imprisonment,P1 Million,,
,Marikina City,"October 26, 2015",1,1,Acts that Promote Trafficking,Life Imprisonment,P 2 Million,,
,Nueva Vizcaya,"November 10, 2015",1,1,Acts that Promote Trafficking,15 Years Imprisonment,P 500000,,
,Quezon City,"November 16, 2015",1,1,Simple Trafficking,20 Years Imprisonment,P1 Million,,
,Laoag City,"October 29, 2015",1,1,Simple Trafficking,20 Years Imprisonment,P1 Million,,
,"Binan City, Laguna","October 23, 2015",4,2,Qualified Trafficking,Life Imprisonment,P 2 Million (4 counts),,
