quarter,particulars_1,particulars_2,costs,,,,,,,,
q1,Other Supplies,"10 pcs foldong beds, pillows w/ case & blankets",39000,,,,,,,,
q1,Other Supplies,10 units fireextinguishers refill,12000,,,,,,,,
q1,Other Supplies,Total,123456,,,,,,,,
q3,Other Supplies,Balloons for Kick of Ceremony for fire prevention month,900,,,,,,,,
q3,Other Supplies,12 units fireextinguishers refill,14400,,,,,,,,
q3,Other Supplies,kitchen supplies/utensils for Disaster Operation,9999.4,,,,,,,,
q3,Other Supplies,22 pcs swimming goggles,20900,,,,,,,,
q3,Other Supplies,5 units rechargeable lanterns big,13750,,,,,,,,
q3,Other Supplies,40 pcs. Life vests,46000,,,,,,,,
q3,Other Supplies,"coax cable,GI wire (14/2)",9015,,,,,,,,
q3,Other Supplies,12 units fireextinguishers refill,14400,,,,,,,,
q3,Other Supplies,"sharpening of bolos & axes, purchase of clear books,masking tape",639.7,,,,,,,,
q3,Other Supplies,22 pcs compression mock shirt,99000,,,,,,,,
q3,Other Supplies,video cam batteries,11400,,,,,,,,
q3,Other Supplies,22 pcs life vest,49500,,,,,,,,
q3,Other Supplies,20 pcs thick blanket/10 rolls duct tape,16000,,,,,,,,
q3,Other Supplies,Total,305904.1,,,,,,,,
q1-q3,Training and Seminars,Global Warming(food and honorarium),115500,,,,,,,,
q1-q3,Training and Seminars,"Gasoline, Diesel, Gas Refill for Vigilance training",1359,,,,,,,,
q1-q3,Training and Seminars,Honorarium of Speakers (10 batches),276992.5,,,,,,,,
q1-q3,Training and Seminars,Accommodation of Speakers (10 batches),23700,,,,,,,,
q1-q3,Training and Seminars,Meals for Vigilance,948730,,,,,,,,
q1-q3,Training and Seminars,Cooking Gas Refill and Brand New Tank,6500,,,,,,,,
q1-q3,Training and Seminars,Chairs Renals for Global Warming Seminar (100 pcs),700,,,,,,,,
q1-q3,Training and Seminars,"Seminar Kits, Materials and Supplies",14307.45,,,,,,,,
q1-q3,Training and Seminars,Withdrawals of Supplies/RIS,59142.75,,,,,,,,
q1-q3,Training and Seminars,knitted gloves for vigilance,8400,,,,,,,,
q1-q3,Training and Seminars,16 pcs Ink/2 USB for Training,20500,,,,,,,,
q1-q3,Training and Seminars,"Foods, Cornstarch, Nescafe, Bottled Water",18335,,,,,,,,
q1-q3,Training and Seminars,"Wood Saw, Sand Paper Plywood for Vigilance",1550,,,,,,,,
q1-q3,Training and Seminars,Total  Vigilance,1380216.7,,,,,,,,
q1-q3,Training and Seminars,"Food, Accommodation and Transportation of Barangay Officials on Disaster Seminar",2117271.95,,,,,,,,
q1-q3,Training and Seminars,Relief Goods for Habagt and Gener Disaster Operation,50814.05,,,,,,,,
q1-q3,Training and Seminars,Food Supplies for Disaster Operation,27631.8,,,,,,,,
q1-q3,Training and Seminars,Total,2195717.8,,,,,,,,
q3-q4,Training and Seminars,2 pcs Tarpaulin for Wassar,1728,,,,,,,,
q3-q4,Training and Seminars,Resort Rentals for Wassar,64640,,,,,,,,
q3-q4,Training and Seminars,Honorariuim of Speakers (4 batches),208000,,,,,,,,
q3-q4,Training and Seminars,Accommodation of Speakers,15975,,,,,,,,
q3-q4,Training and Seminars,Foods ,673549,,,,,,,,
q3-q4,Training and Seminars,Jeep Rentals,73700,,,,,,,,
q3-q4,Training and Seminars,Reimbursements for Vigilance and Wassar,7857,,,,,,,,
q3-q4,Training and Seminars,Boat Rentals 32 pcs. Garland/Center Piece,7650,,,,,,,,
q3-q4,Training and Seminars,Total,1053099,,,,,,,,
q3-q4,Training and Seminars,Tarpaulin for Stress Management Seminar,2916,,,,,,,,
q3-q4,Training and Seminars,Seminar Kits (4 batches),6409.5,,,,,,,,
q3-q4,Training and Seminars,Honorarium for Speakers,66700,,,,,,,,
q3-q4,Training and Seminars,Foods,90480,,,,,,,,
q3-q4,Training and Seminars,Chair Rentals,8000,,,,,,,,
q3-q4,Training and Seminars,Tokens,2250,,,,,,,,
q3-q4,Training and Seminars,Gatorade,1680,,,,,,,,
q3-q4,Training and Seminars,Maintenance/Repair of Rubber Boat,15200,,,,,,,,
q3-q4,Training and Seminars,Total,193635.5,,,,,,,,
q3-q4,Training and Seminars,2 Sphygmomanometer/2 Stethoscope,5500,,,,,,,,
q3-q4,Training and Seminars,3 Medical Kits,4500,,,,,,,,
q3-q4,Training and Seminars,Medical Supplies,34127.5,,,,,,,,
q3-q4,Training and Seminars,Total,44127.5,,,,,,,,
q1-q4,Expenditure Funds,Capital Outlay,1614131,,,,,,,,
q1-q4,Expenditure Funds,Other Supplies,429360.1,,,,,,,,
q1-q4,Expenditure Funds,Global Warming(food and honorarium),115500,,,,,,,,
q1-q4,Expenditure Funds,Total Vigilance,1380216.7,,,,,,,,
q1-q4,Expenditure Funds,Total Relief,2195717.8,,,,,,,,
q1-q4,Expenditure Funds,Toal Wassar/Maintenance of Rubber Boat,1053099,,,,,,,,
q1-q4,Expenditure Funds,Total Stress Management/Maintenance of Rubber Boat,193635.5,,,,,,,,
q1-q4,Expenditure Funds,Total Medical Supplies,44127.5,,,,,,,,
q1-q4,Grand Total,Grand Total,7025787.6,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
