Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
2515-PHI,Credit for Better Health Care Project,ADB,Project,DBP,Social Reform and Community Development,Nationwide except NCR,0.04,0.00,0.04,4.41,4.49,2.00,2.00,2.00,2.00,8.00,0.00,0.00,0.00,0.00,0,55.15,55.15,56.13%,5.56,26.35,52.69,52.69,21.10%,20.79,0,8.14%,4/27/09,8/19/15,,8/19/09,6.00,3.37,-2.63,56.14%,10.55%,47.14,45.59%,Ongoing
2662-PHI,Social Protection Support Project,ADB,Program,DSWD,Social Reform and Community Development,,0.74,4.73,13.27,76.49,95.23,15.00,60.00,60.00,75.00,210.00,0.00,0.00,0.00,0.00,0,329.12,329.12,45.35%,166.11,108.00,400.00,400.00,153.80%,-58.11,0,28.93%,9/14/10,3/31/16,,1/12/11,5.22,1.97,-3.25,37.74%,41.53%,233.90,-3.79%,Ongoing
2836-PHI,Road Improvement and Institution Development Project,ADB,Project,DPWH,Infrastructure,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,62.00,62.00,0.00%,0.00,7.06,62.00,62.00,0.00%,7.06,0,0.00%,3/12/12,6/30/16,,7/20/12,3.95,0.45,-3.50,11.38%,0.00%,62.00,11.38%,Ongoing
2840-PHI,Governance in Justice Sector Reform Program-Subprogram 2,ADB,Program,DOF,Governance and Institutions Development,,0.00,0.00,0.00,300.00,300.00,0.00,0.00,0.00,300.00,300.00,0.00,0.00,0.00,0.00,0,300.00,300.00,100.00%,300.00,300.00,300.00,300.00,100.00%,0.00,0,100.00%,1/13/12,3/31/12,,2/15/12,0.12,0.88,0.75,711.11%,100.00%,0.00,611.11%,Closed
2872-PHI,Increasing Competitiveness for Inclusive Growth Program -Sub1,ADB,Program,DOF,Social Reform and Community Development,,0.00,0.00,0.00,350.00,350.00,0.00,0.00,0.00,350.00,350.00,0.00,0.00,0.00,0.00,0,350.00,350.00,100.00%,350.00,350.00,350.00,350.00,100.00%,0.00,0,100.00%,7/4/12,10/31/12,12/7/12,8/16/12,0.31,0.38,0.07,121.24%,100.00%,0.00,21.24%,Closed
749-PH,Second Cordillera Highland Agricultural Resource Management Project,IFAD,Project,DA,"Agriculture, Natural Resources and Agrarian Reform",CAR,0.00,0.75,0.00,0.65,1.40,0.00,1.93,4.44,4.08,10.45,0.00,0.00,0.00,0.00,0,23.82,23.82,13.42%,4.65,12.41,26.60,26.60,37.50%,7.76,0,5.89%,6/4/08,6/30/16,,11/14/08,7.63,4.13,-3.50,54.15%,17.50%,21.95,36.65%,Ongoing
767-PH,Rapid Food Production Enhancement Programme,IFAD,Program,DA,"Agriculture, Natural Resources and Agrarian Reform","V,VI,VIII,X",0.00,0.00,0.07,0.21,0.28,0.00,0.05,0.02,0.11,0.18,0.00,0.00,0.00,0.00,0,0.86,0.86,156.11%,15.02,15.20,15.90,15.90,98.82%,0.18,0,32.67%,9/2/09,6/30/17,,11/9/09,7.64,3.15,-4.50,41.15%,94.47%,0.88,-53.32%,Ongoing
8162-PH,Metro Manila Wastewater Management Project,WB,Project,LBP,Infrastructure,Metro Manila,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,275.00,275.00,0.00%,0.00,0.00,275.00,275.00,,0.00,0,0.00%,5/31/12,6/30/17,,10/19/12,4.70,0.20,-4.50,4.26%,0.00%,275.00,4.26%,Newly Effective
A-200665109,Health Sector Reform Project,Germany,Project,DOH,Social Reform and Community Development,,0.08,0.00,0.00,2.66,2.74,0.00,0.00,0.00,8.35,8.35,0.00,0.00,0.00,0.00,0,11.75,11.75,32.81%,5.04,10.63,12.96,12.96,47.41%,5.59,0,23.32%,12/20/07,12/31/11,12/31/14,6/27/08,6.52,4.52,-2.00,69.30%,38.89%,7.92,30.41%,Ongoing
AI-2001 65 951,Credit Line for Energy Efficiency and Climate Protection in the Philippines (CLEECP),Germany,Project,LBP,Infrastructure,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,27.72,27.72,0.00%,0.00,25.93,25.93,25.93,0.00%,25.93,0,0.00%,12/24/08,12/31/12,12/31/13,11/23/09,4.11,3.11,-1.00,75.65%,0.00%,25.93,75.65%,Ongoing
Austria-7,Bureau of Fire Protection Capability Building Program for Selected Priority Cities Project,Austria,Project,DILG,Governance and Institutions Development,All Regions,0.00,0.00,0.00,7.45,7.45,0.00,0.00,0.00,7.45,7.45,0.00,0.00,0.00,0.00,0,26.32,26.32,100.00%,7.45,7.45,26.57,26.57,100.00%,0.00,0,28.31%,1/12/12,4/5/14,,4/5/12,2.00,0.74,-1.26,36.99%,28.04%,19.12,8.95%,Ongoing
BLA-04055,NorthRail Project Phase 1 Section 1,China,Project,NLRC,Infrastructure,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.21,219.21,219.21,0.00,0.00%,180.79,180.79,400.00,180.79,100.00%,0.00,219.21,,2/26/04,9/13/09,12/31/12,9/13/04,8.30,8.30,0.00,100.00%,100.00%,0.00,0.00%,Closed
CHI-5,"Northrail Project Phase I, Section II",China,Project,NLRC,Infrastructure,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,500,500.00,0.00,0.00%,0.00,0.00,500.00,0.00,,0.00,500,,1/15/07,,,,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,Closed
CHI-6,Agno River Integrated Irrigation Project,China,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",I,6.47,1.13,0.00,0.00,7.60,10.46,5.88,0.00,0.00,16.34,0.00,0.00,0.00,0.00,0,43.24,43.24,46.50%,53.51,73.99,89.15,89.15,72.32%,20.48,0,17.57%,11/9/09,12/31/13,,2/1/10,3.92,2.92,-1.00,74.46%,60.02%,35.64,14.44%,Ongoing
CHI-7,Angat Water Utilization and Aqueduct Improvement Project (AWUAIP)-Phase II,CHINA,Project,MWSS,Infrastructure,,14.08,14.55,28.45,16.73,73.81,14.00,11.75,28.84,13.49,68.08,0.00,0.00,0.00,0.00,0,64.92,64.92,108.42%,105.99,80.45,116.60,116.60,131.75%,-25.54,0,113.70%,1/7/10,5/7/14,,5/7/10,4.00,2.66,-1.35,66.32%,90.90%,10.61,-24.58%,Ongoing
FRANCE-1,Mega Bridges for Urban and Rural Development,France,Project,DPWH,Infrastructure,,10.65,9.80,0.62,0.14,21.21,16.49,16.49,15.95,15.48,64.41,0.00,0.00,0.00,0.00,0,18.72,18.72,32.93%,209.19,241.93,340.56,340.56,86.47%,32.74,0,113.30%,9/4/08,9/29/12,9/29/13,10/29/08,4.92,4.18,-0.75,84.86%,61.43%,131.37,23.43%,Ongoing
FRANCE-2,Tulay ng Pangulo Para sa Kaunlarang Pang-agraryo Project,FRANCE,Project,DAR,Infrastructure,Nationwide,10.16,9.84,0.00,0.00,20.00,26.64,25.17,0.00,0.00,51.81,0.00,0.00,0.00,0.00,0,141.92,141.92,38.60%,181.19,457.89,498.13,498.13,39.57%,276.70,0,14.09%,12/24/08,12/31/12,3/19/14,3/19/09,5.00,3.79,-1.21,75.74%,36.37%,316.94,39.37%,Ongoing
FRANCE-3,Greater Modular Access (GMA) RoRo Ports,France,Project,DOTC,Infrastructure,,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,165.10,165.10,0.00%,85.70,342.70,342.70,342.70,25.01%,256.99,0,0.04%,8/26/09,11/23/12,,11/1/09,3.06,3.17,0.10,103.40%,25.01%,256.99,78.39%,Ongoing
IFAD-661-PH,Rural Micro-Enterprise Promotion Programme,IFAD,Project,DTI,"Industry, Trade and Tourism",Nationwide,0.79,0.75,2.83,1.18,5.55,0.86,0.98,2.29,1.71,5.83,0.00,0.00,0.00,0.00,0,6.37,6.37,95.15%,15.33,16.51,18.64,18.64,92.87%,1.18,0,87.07%,11/11/05,6/30/14,,10/31/06,7.67,6.17,-1.50,80.49%,82.26%,3.31,-1.77%,Ongoing
Italy-1,Italian Assistance to the Agrarian Reform Community Development Support Program (IARCDSP),Italy,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,33.68,33.68,0.00%,0.00,0.00,33.68,33.68,,0.00,0,0.00%,11/4/11,4/11/19,,12/28/12,6.29,0.01,-6.28,0.13%,0.00%,33.68,0.13%,Newly Effective
KfW-02,Community Based Forest and Mangrove Management Project,Germany,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","VI, VII",0.00,0.00,0.00,0.94,0.94,0.16,0.36,0.43,0.28,1.23,0.00,0.00,0.00,0.00,0,3.04,3.04,76.42%,3.15,1.92,5.19,5.19,164.06%,-1.23,0,30.92%,12/24/08,1/13/16,,1/12/10,6.01,2.97,-3.04,49.45%,60.69%,2.04,-11.24%,Ongoing
PH20030908,Development of Sub-specialty Capabilities for Heart-Lung-Kidney Diseases in Selected Regional Hospitals,Netherlands,Project,DOH,Social Reform and Community Development,"NCR, V, VII, X, XI",3.66,0.00,0.00,0.00,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5.16,5.16,0.00%,19.48,19.48,19.48,19.48,100.00%,0.00,0,70.94%,1/20/05,12/31/10,3/1/12,4/25/05,6.86,7.69,0.84,112.19%,100.00%,0.00,12.19%,Closed
PH-4833,Support for Strategic Local Development and Investment Project,WB,Project,LBP,Infrastructure,Nationwide,3.18,3.63,4.34,4.38,15.53,4.50,6.75,6.62,6.26,24.13,0.00,0.00,0.00,0.00,0,15.58,15.58,64.36%,96.32,98.61,130.00,130.00,97.68%,2.29,0,99.69%,10/3/06,6/30/12,2/28/14,2/28/07,7.01,5.84,-1.16,83.42%,74.09%,33.68,9.33%,Ongoing
PH-7191,Judicial Reform Support Project,WB,Project,SC,Governance and Institutions Development,Nationwide,1.10,1.84,0.96,0.30,4.20,1.71,3.40,0.96,0.00,6.07,0.00,0.00,0.00,0.50,0.5,5.08,4.58,69.22%,20.43,21.40,21.90,21.40,95.44%,0.98,0.5,91.76%,10/2/03,12/31/09,6/30/12,12/4/03,8.58,9.08,0.50,105.88%,95.44%,0.98,10.44%,Closed
PH-7290,Second Women's Health and Safe Motherhood Project,WB,Project,DOH,Social Reform and Community Development,"II, V, VIII, CARAGA",0.37,0.61,0.40,0.26,1.64,0.85,0.85,0.85,0.85,3.38,0.00,0.00,0.00,0.00,0,3.50,3.50,48.52%,8.37,13.99,16.00,16.00,59.83%,5.62,0,46.91%,6/30/05,6/30/12,6/30/13,12/28/05,7.51,7.01,-0.50,93.40%,52.31%,7.63,41.09%,Ongoing
PH-7298,Land Administration & Management Project Phase II,WB,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","VIII, VII",0.10,0.06,0.00,0.00,0.17,0.62,0.41,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0,0.17,0.17,16.12%,15.36,15.36,15.36,15.36,100.00%,0.00,0,99.40%,6/30/05,3/31/11,3/30/14,10/11/05,8.47,7.23,-1.24,85.32%,100.00%,0.00,-14.68%,Ongoing
PH-7311,Manila Third Sewerage Project,WB,Project,LBP,Infrastructure,NCR,0.00,0.00,1.41,0.00,1.41,0.00,0.00,1.41,0.00,1.41,0.00,0.00,0.00,29.01,29.009,30.42,1.41,100.00%,34.99,34.99,64.00,34.99,100.00%,0.00,29.009,100.00%,7/22/05,6/30/10,6/30/12,3/6/06,6.32,6.83,0.50,107.97%,100.00%,0.00,7.97%,Closed
PH-7393,National Support for Basic Education,WB,Program,DepEd,Social Reform and Community Development,Nationwide,0.79,4.26,1.80,4.19,11.03,1.74,7.27,2.97,0.00,11.98,0.00,0.00,0.00,0.00,0,13.57,13.57,92.10%,197.46,200.00,200.00,200.00,98.73%,2.54,0,81.28%,10/3/06,12/31/11,12/31/12,1/1/07,6.00,6.00,0.00,100.00%,98.73%,2.54,1.27%,Closed
PH-7395,National Sector Support for Health Reform,WB,Program,DOH,Social Reform and Community Development,Nationwide,0.00,34.02,0.00,4.38,38.40,39.82,0.00,0.00,0.00,39.82,0.00,0.00,5.28,0.00,5.28199433,39.82,34.54,96.43%,104.72,104.72,110.00,104.72,100.00%,0.00,5.28199433,111.18%,10/3/06,6/30/11,3/30/12,3/27/07,5.01,5.77,0.76,115.08%,100.00%,0.00,15.08%,Closed
PH-7431,National Program Support for Tax Administration,WB,Program,BIR,Governance and Institutions Development,Nationwide,0.19,0.20,0.76,0.23,1.38,0.51,1.08,2.76,0.00,4.35,0.00,0.00,0.00,0.00,0,7.65,7.65,31.82%,4.72,7.18,11.00,11.00,65.77%,2.46,0,18.09%,3/30/07,12/31/11,6/30/13,6/25/07,6.02,5.52,-0.50,91.76%,42.90%,6.28,48.86%,Ongoing
PH-7440,Mindanao Rural Development Project-Phase 2,WB,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","XI, XII, CARAGA, ARMM",4.34,5.47,3.96,0.00,13.76,3.32,5.16,5.20,0.00,13.68,0.00,0.00,0.00,0.00,0,59.87,59.87,100.61%,43.09,72.00,83.75,83.75,59.84%,28.91,0,22.99%,5/3/07,12/31/12,12/31/14,7/3/07,7.50,5.50,-2.00,73.34%,51.45%,40.66,21.89%,Ongoing
PH-7470,National Program Support for Environment and Natural Resources Management Project,WB,Program,DENR,"Agriculture, Natural Resources and Agrarian Reform",,2.55,1.35,8.97,6.48,19.34,2.68,4.45,9.05,12.35,28.53,0.00,0.00,0.00,0.00,0,29.09,29.09,67.80%,41.25,46.30,50.00,50.00,89.10%,5.05,0,66.50%,8/29/07,12/31/12,12/31/13,11/27/07,6.10,5.10,-1.00,83.60%,82.50%,8.75,1.10%,Ongoing
PH-75520,National Road Improvement Management Project Phase II,WB,Project,DPWH,Infrastructure,Nationwide,3.41,4.05,9.23,7.69,24.38,9.40,18.38,16.67,16.37,60.82,0.00,0.00,0.00,0.00,0,211.93,211.93,40.08%,46.58,232.00,232.00,232.00,20.08%,185.43,0,11.50%,10/24/08,12/31/12,12/31/14,4/16/09,5.71,3.71,-2.00,64.99%,20.08%,185.43,44.91%,Ongoing
PH-76730,Rural Power Project (Additional Financing),WB,Project,DBP,Infrastructure,,1.90,0.00,0.19,0.14,2.24,2.33,1.28,2.01,1.98,7.60,0.00,0.00,0.00,0.00,0,27.59,27.59,29.45%,14.65,37.50,40.00,40.00,39.06%,22.85,0,8.11%,5/25/09,12/31/12,,9/25/09,3.27,3.27,0.00,100.00%,36.62%,25.35,63.38%,Closed
PH-7709,Participatory Irrigation Development Project,WB,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform","CAR,II,IV,V,IX,XI",0.67,0.44,0.91,2.74,4.76,6.20,6.48,5.94,4.40,23.01,0.00,0.00,0.00,0.00,0,54.64,54.64,20.68%,18.48,36.00,70.36,70.36,51.33%,17.52,0,8.71%,8/7/09,3/31/15,,11/3/09,5.41,3.16,-2.25,58.46%,26.26%,51.88,32.20%,Ongoing
PH-7805,Social Welfare and Development Reform,WB,Program,DSWD,Social Reform and Community Development,,12.92,34.42,12.24,37.61,97.19,12.00,50.00,75.00,50.00,187.00,0.00,0.00,0.00,0.00,0,262.44,262.44,51.97%,251.29,258.71,405.00,405.00,97.13%,7.42,0,37.03%,1/7/10,6/30/14,,2/19/10,4.36,2.87,-1.50,65.70%,62.05%,153.71,3.65%,Ongoing
PH-79120,ARMM Social Fund (Additional Financing),WB,Project,ARG,Social Reform and Community Development,,2.29,4.29,4.99,2.24,13.81,1.77,5.29,9.00,3.35,19.41,0.00,0.00,0.00,0.00,0,24.62,24.62,71.14%,18.69,22.74,30.00,30.00,82.17%,4.06,0,56.07%,5/25/10,5/31/13,5/31/14,11/5/10,3.57,2.16,-1.41,60.40%,62.30%,11.31,-1.90%,Ongoing
PH-7959,KALAHI-CIDSS Project (Additional Financing),WB,Project,DSWD,Social Reform and Community Development,"CAR. IV, V, VI, VII, VIII, IX, X, XI, XII, XIII",9.85,8.61,0.00,6.68,25.14,7.00,10.00,0.00,5.00,22.00,0.00,0.00,0.00,0.00,0,47.39,47.39,114.29%,43.29,52.80,59.12,59.12,81.99%,9.51,0,53.05%,12/3/10,5/14/14,,2/24/11,3.22,1.85,-1.37,57.53%,73.23%,15.83,-15.70%,Ongoing
PH-8035,Laguna de Bay Institutional Strengthening and Community Participation Project (LISCOP) -  Additional Financing,WB,Project,LLDA,"Agriculture, Natural Resources and Agrarian Reform",,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.60,1.87,2.47,0.00,0.00,0.00,0.00,0,9.98,9.98,40.44%,1.03,2.20,10.00,10.00,46.59%,1.18,0,10.03%,5/12/11,4/30/14,,7/27/11,2.76,1.43,-1.33,51.88%,10.25%,8.98,41.63%,Ongoing
PH-8119,Regional Infrastructure for Growth Project,WB,Project,DBP,Infrastructure,,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,50.00,50.00,0.00%,0.12,12.50,50.00,50.00,0.94%,12.38,0,0.24%,2/2/12,11/30/16,,10/11/12,4.14,0.22,-3.92,5.36%,0.24%,49.88,5.12%,Newly Effective
PH-C24,Development Policy Support Program-Investment Climate,GOJ-JICA,Program,DOF,"Industry, Trade and Tourism",,0.00,0.00,0.00,96.41,96.41,0.00,0.00,0.00,96.41,96.41,0.00,0.00,0.00,0.00,0,96.41,96.41,100.00%,96.41,96.41,96.41,96.41,100.00%,0.00,0,100.00%,10/10/12,12/17/15,,12/17/12,3.00,0.04,-2.96,1.28%,100.00%,0.00,-98.72%,Ongoing
PHL-10,"Gapan-San Fernando-Olongapo Road Project, Phase II",Korea,Project,DPWH,Infrastructure,,0.09,0.29,0.78,0.67,1.83,1.06,1.29,2.54,1.87,6.76,0.00,0.00,0.00,0.00,0,28.35,28.35,27.04%,5.16,21.78,28.35,28.35,23.67%,16.63,0,6.45%,7/13/09,4/20/14,,10/20/09,4.50,3.20,-1.30,71.09%,18.19%,23.19,52.90%,Ongoing
PHL-11,Puerto Princesa Airport Development Project,Korea,Project,DOTC,Infrastructure,,0.00,0.00,0.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,71.61,71.61,0.00%,0.60,0.00,71.61,71.61,,-0.60,0,0.84%,8/23/12,6/21/17,,12/21/12,4.50,0.03,-4.47,0.61%,0.84%,71.01,-0.23%,Newly Effective
PHL-13,Laguindingan Airport Air-Navigation System and Support Facilities Supply Project,Korea,Project,DOTC,Infrastructure,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,13.29,13.29,0.00%,0.00,1.60,13.29,13.29,0.00%,1.60,0,0.00%,10/13/11,7/10/14,,2/10/12,2.41,0.89,-1.52,36.89%,0.00%,13.29,36.89%,Ongoing
PHL-15,"Jalaur River Multipurpose Irrigation Project, Phase II",Korea,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,207.88,207.88,0.00%,0.00,0.20,207.88,207.88,0.00%,0.20,0,0.00%,8/9/12,5/28/18,,11/28/12,5.50,0.09,-5.41,1.64%,0.00%,207.88,1.64%,Newly Effective
PHL-5,Laguindingan Airport Development Project,Korea,Project,DOTC,Infrastructure,X,0.88,1.19,1.52,8.02,11.60,13.53,0.00,0.00,0.00,13.53,0.00,0.00,0.00,2.75,2.748,14.97,12.22,85.71%,82.14,82.52,92.20,89.45,99.54%,0.38,2.748,94.88%,2/24/98,6/19/02,10/25/14,6/19/98,16.36,14.55,-1.82,88.90%,91.83%,7.31,-2.93%,Ongoing
PHL-8,Widening of Gapan-San Fernando-Olongapo,Korea,Project,DPWH,Infrastructure,III,0.00,0.00,3.34,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.413,3.75,3.34,0.00%,21.89,21.89,22.30,21.89,100.00%,0.00,0.413,100.03%,8/24/05,3/27/12,7/27/12,3/27/06,6.34,6.77,0.43,106.78%,100.00%,0.00,6.78%,Closed
PHL-9,Bacolod-Silay Airport Access Road Project,Korea,Project,DPWH,Infrastructure,,0.09,0.17,1.23,1.90,3.40,1.97,1.10,2.63,3.59,9.29,0.00,0.00,0.00,0.00,0,13.06,13.06,36.54%,5.37,12.78,13.06,13.06,42.02%,7.41,0,25.99%,7/13/09,6/20/13,3/31/14,10/20/09,4.45,3.20,-1.25,71.97%,41.11%,7.69,30.86%,Ongoing
PH-P220,Rural Road Network Development Project III,GOJ-JICA,Project,DPWH,Infrastructure,"I, II, III, IV, V, VI, CARAGA",2.79,0.00,0.00,0.00,2.79,1.89,0.00,0.00,0.00,1.89,21.03,0.00,0.00,0.00,21.032,23.82,2.79,147.62%,57.36,57.36,78.39,57.36,100.00%,0.00,21.032,100.00%,5/30/01,9/25/09,3/25/12,9/25/01,10.50,11.27,0.77,107.33%,100.00%,0.00,7.33%,Closed
PH-P221,Help for Catubig Agricultural Advancement Project Stage I,GOJ-JICA,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",VIII,1.41,0.42,1.24,0.99,4.06,3.26,5.02,3.58,2.07,13.93,0.00,0.00,0.00,0.00,0,21.72,21.72,29.15%,46.88,63.98,64.60,64.60,73.27%,17.10,0,18.69%,5/30/01,1/23/11,1/23/13,1/23/02,11.01,10.95,-0.06,99.43%,72.57%,17.72,26.86%,Ongoing
