particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
          Philippine High School for the Arts,"1,488",392,"7,050",5,"13,807",213,0,0,"4,238","1,647",110,0,612,0,"15,856",238,55,88,0,50,0,15,0,0,"45,864"
,,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"160,105","95,695","245,035","15,903","878,545","12,253","26,806","27,529","647,919","240,019","35,178",0,"48,551",0,"445,599","23,360","6,132","43,616",0,"19,773",221,"11,251","1,306","1,880","2,986,676"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"19,813","37,609","42,900",427,"350,935","5,899","26,786","5,480","260,242","56,544","13,641",0,"15,695",0,"117,983","8,659",808,"12,713",0,"2,443",0,808,0,0,"979,385"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,566,"1,000","1,435",0,"7,237",0,0,0,"8,343","1,778",110,0,200,0,355,125,75,0,0,70,0,75,0,0,"21,369"
               Marikina Polytechnic College,40,100,100,0,443,0,0,0,"1,906",100,110,0,0,0,"2,894",0,0,0,0,0,0,0,0,0,"5,693"
               Philippine Normal University,"1,921","2,472","2,252",0,"7,418",85,0,0,"14,290","3,228",419,0,"1,700",0,"14,915",95,130,0,0,204,0,100,0,0,"49,229"
               Philippine State College of Aeronautics,350,503,200,0,"2,337",826,0,0,"2,008",500,94,0,"1,040",0,150,0,150,585,0,5,0,0,0,0,"8,748"
               Polytechnic University of the Philippines,"1,225","6,314","1,780",50,"15,964",0,0,0,"48,171","1,000",162,0,"2,103",0,"25,606",0,0,"3,539",0,0,0,266,0,0,"106,180"
               Rizal Technological University,912,354,540,0,"4,314",0,0,5,"8,961",300,110,0,500,0,"8,612",50,20,588,0,0,0,0,0,0,"25,266"
               Technological University of the Philippines,"1,990","1,520","2,850",0,"9,885",0,0,"1,800","21,373","1,850",590,0,840,0,"17,709",0,0,"4,050",0,0,0,0,0,0,"64,457"
               University of the Philippines System,"12,809","25,346","33,743",377,"303,337","4,988","26,786","3,675","155,190","47,788","12,046",0,"9,312",0,"47,742","8,389",433,"3,951",0,"2,164",0,367,0,0,"698,443"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"9,509","4,887","21,008",191,"45,156",229,0,"1,956","34,842","6,575","1,128",0,"1,245",0,"20,017","1,633",273,"4,570",0,"1,725",0,597,229,150,"155,920"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,168","1,868","3,442",0,"15,144",0,0,0,"9,805","2,136",538,0,225,0,325,298,0,"1,336",0,343,0,0,0,0,"36,628"
               Ilocos Sur Polytechnic State College,"1,064",115,751,0,"6,094",0,0,35,741,178,86,0,25,0,990,0,0,0,0,0,0,0,0,0,"10,079"
               Mariano Marcos State University,"2,263",825,"6,684",136,"7,129",150,0,"1,277","9,251","1,730",162,0,550,0,"11,059",259,100,"1,976",0,460,0,230,150,150,"44,541"
               North Luzon Philippines State College,50,70,150,0,"1,050",0,0,0,900,20,20,0,30,0,90,50,0,30,0,40,0,40,0,0,"2,540"
               Pangasinan State University,"3,389","1,248","6,932",45,"6,242",43,0,644,"6,600","1,937",160,0,114,0,"6,478",500,100,760,0,400,0,100,79,0,"35,771"
               University of Northern Philippines,"1,575",761,"3,049",10,"9,497",36,0,0,"7,545",574,162,0,301,0,"1,075",526,73,468,0,482,0,227,0,0,"26,361"
,,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"6,121","2,163","10,170",850,"24,791",610,0,100,"8,973","7,991",680,0,338,0,"16,717","2,096",167,470,0,328,40,"1,527",0,0,"84,132"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"1,022",225,646,0,"2,240",0,0,0,742,904,110,0,161,0,"1,072",433,94,110,0,105,0,120,0,0,"7,984"
               Apayao State College,378,196,223,86,"1,200",236,0,0,323,250,110,0,153,0,197,195,10,116,0,66,40,83,0,0,"3,862"
               Benguet State University,"1,388",699,"5,854",47,"7,377",196,0,0,"4,905","4,255",162,0,0,0,"7,873","1,300",50,0,0,0,0,860,0,0,"34,966"
               Ifugao State University,"1,263",633,"1,869",189,"5,456",168,0,100,"1,210",764,68,0,0,0,"1,604",0,0,0,0,139,0,179,0,0,"13,642"
               Kalinga-Apayao State College,570,225,410,228,"2,450",10,0,0,773,"1,146",120,0,24,0,"1,267",168,13,244,0,18,0,285,0,0,"7,951"
               Mountain Province State Polytechnic College,"1,500",185,"1,168",300,"6,068",0,0,0,"1,020",672,110,0,0,0,"4,704",0,0,0,0,0,0,0,0,0,"15,727"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"9,359","5,480","10,357","1,146","29,710",431,0,182,"16,785","20,549",905,0,"1,519",0,"19,380","1,093",321,"4,712",0,894,50,601,1,0,"123,475"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),297,15,368,3,708,0,0,2,93,0,251,0,8,0,403,56,0,15,0,3,0,17,0,0,"2,239"
               Cagayan State University,"2,741","2,070","5,686",0,"15,344",202,0,180,"5,376","7,176",162,0,450,0,"6,250",362,222,"2,540",0,0,50,222,0,0,"49,033"
               Isabela State University,"3,899","1,871","2,902",65,"8,172",153,0,0,"6,688","10,544",268,0,557,0,"9,959",577,31,"1,042",0,891,0,90,1,0,"47,710"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"2,096","1,354","1,180","1,078","3,868",0,0,0,"4,103","1,888",122,0,427,0,"2,250",50,42,"1,078",0,0,0,130,0,0,"19,666"
               Quirino State College,326,170,221,0,"1,618",76,0,0,525,941,102,0,77,0,518,48,26,37,0,0,0,142,0,0,"4,827"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"10,982","5,830","17,018",999,"80,473","1,117",0,219,"76,436","10,370","4,140",0,"4,196",0,"30,402","1,313",910,"1,917",0,971,20,"1,905",0,600,"249,818"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,720,300,200,24,"1,374",200,0,50,"1,000",170,76,0,250,0,765,115,100,293,0,75,0,300,0,0,"6,012"
               Bataan Peninsula State University,"1,925",731,"3,434",809,"9,017",230,0,0,"6,105","2,026",142,0,65,0,"1,282",0,23,0,0,57,0,0,0,0,"25,846"
               Central Luzon State University,"1,300",798,"1,512",0,"15,147",103,0,0,"12,727","1,280",0,0,0,0,220,120,0,115,0,0,0,68,0,0,"33,390"
               Bulacan State University,"1,345","1,520",891,0,"7,395",0,0,0,"22,782","1,225","3,000",0,"1,010",0,"10,235",80,25,0,0,232,20,70,0,600,"50,430"
               Bulacan Agricultural State College,150,199,375,51,519,0,0,0,"2,093",524,100,0,62,0,130,41,60,547,0,60,0,69,0,0,"4,980"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),"1,017",230,"1,647",0,"3,763",0,0,169,"2,563","1,249",80,0,68,0,"1,928",0,0,0,0,80,0,0,0,0,"12,794"
               Nueva Ecija University of Science and Technology,959,281,"3,097",30,"7,184",425,0,0,"8,279","1,387",122,0,721,0,"2,433",191,423,25,0,0,0,519,0,0,"26,076"
               Pampanga Agricultural College,200,252,"1,200",35,"2,325",0,0,0,"2,600",300,122,0,976,0,"1,220",200,65,220,0,50,0,90,0,0,"9,855"
               Philippine Merchant Marine Academy,835,500,800,10,"23,315",0,0,0,"6,888",229,110,0,600,0,"4,706",115,75,75,0,165,0,150,0,0,"38,573"
               Ramon Magsaysay Technological University,870,320,"2,275",40,"4,242",150,0,0,"1,855",460,180,0,120,0,"2,402",100,87,275,0,80,0,435,0,0,"13,891"
               Tarlac College of Agriculture,645,170,"1,377",0,"3,238",0,0,0,"2,012",456,98,0,69,0,280,80,35,145,0,88,0,80,0,0,"8,773"
               Tarlac State University,"1,016",529,210,0,"2,954",9,0,0,"7,532","1,064",110,0,255,0,"4,801",271,17,222,0,84,0,124,0,0,"19,198"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"7,850","4,136","21,494",623,"44,735",181,0,"2,150","36,101","27,577",573,0,"2,852",0,"24,912","1,605",258,220,0,"1,183",0,109,21,0,"176,580"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,000","1,500","6,600",50,"9,900",50,0,170,"12,985","6,600",122,0,"1,200",0,"9,450",500,100,200,0,700,0,0,0,0,"51,127"
               Cavite State University,"1,649",27,"6,569",230,"7,209",100,0,0,"9,545","6,580",80,0,147,0,"3,114",325,0,0,0,150,0,0,0,0,"35,725"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"1,372","1,270","2,114",175,"5,282",0,0,0,"3,341","4,858",110,0,851,0,"4,784",69,21,20,0,109,0,109,21,0,"24,506"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"2,056",473,"4,413",25,"12,540",31,0,"1,076","3,550","2,553",139,0,372,0,"5,036",657,83,0,0,175,0,0,0,0,"33,179"
               University of Rizal System,"1,773",866,"1,798",143,"9,804",0,0,904,"6,680","6,986",122,0,282,0,"2,528",54,54,0,0,49,0,0,0,0,"32,043"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"8,584","3,300","11,409",340,"16,423",500,0,63,"15,016","9,719","1,362",0,"2,251",0,"6,818",906,320,400,0,955,25,853,20,0,"79,264"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"1,000",500,500,75,"1,300",0,0,0,"2,300",900,94,0,400,0,"2,454",255,115,100,0,225,25,250,20,0,"10,513"
               Mindoro State College of Agriculture and Technology,549,277,"1,382",0,"2,007",146,0,0,"1,596",524,68,0,128,0,160,51,5,0,0,30,0,103,0,0,"7,026"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),687,240,685,40,"1,654",100,0,0,"1,000","3,940",82,0,150,0,"1,090",0,0,0,0,0,0,0,0,0,"9,668"
               Palawan State University,"3,225","1,416","6,000",80,"6,235",50,0,63,"6,994","2,300",500,0,"1,000",0,600,600,200,300,0,700,0,125,0,0,"30,388"
               Romblon State University (Romblon State College),"1,516",537,"1,384",145,"1,400",0,0,0,"1,300",865,538,0,191,0,"1,147",0,0,0,0,0,0,375,0,0,"9,398"
               Western Philippines University,"1,607",330,"1,458",0,"3,827",204,0,0,"1,826","1,190",80,0,382,0,"1,367",0,0,0,0,0,0,0,0,0,"12,271"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"12,932","4,278","12,343","1,949","40,746",563,0,"1,047","27,917","15,005","1,177",0,"3,073",0,"52,947","1,438",447,"2,790",0,"1,957",10,600,0,25,"181,244"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"4,636","2,321","3,320","1,236","16,148",70,0,109,"10,574","7,440",175,0,"1,563",0,"23,458",635,190,"1,236",0,"1,370",0,280,0,0,"74,761"
               Camarines Norte State College,"1,339",277,0,0,"2,010",0,0,0,"2,458",621,244,0,100,0,"2,300",218,40,0,0,10,0,30,0,25,"9,672"
               Camarines Sur Polytechnic Colleges,"1,000",306,"3,493",25,"5,701",200,0,0,"4,120","3,844",110,0,277,0,"8,357",50,20,150,0,60,0,50,0,0,"27,763"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"2,079",301,"2,147",420,"4,099",0,0,115,"3,108","1,023",122,0,242,0,"1,996",147,128,420,0,117,0,45,0,0,"16,509"
               Catanduanes State Colleges,"1,080",170,800,50,"6,350",100,0,0,"1,340",870,74,0,110,0,"9,836",140,0,80,0,335,0,110,0,0,"21,445"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"1,000",332,852,90,"1,127",65,0,0,900,203,110,0,120,0,144,149,59,13,0,0,0,58,0,0,"5,222"
               Partido State University,720,340,611,0,"2,202",8,0,0,"1,956",455,122,0,286,0,"3,217",99,10,311,0,35,10,27,0,0,"10,409"
               Sorsogon State College,"1,078",231,"1,120",128,"3,109",120,0,823,"3,461",549,220,0,375,0,"3,639",0,0,580,0,30,0,0,0,0,"15,463"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"11,781","6,269","23,118","4,914","58,894",68,0,0,"28,151","11,737","2,098",0,"3,457",0,"31,122","1,679",810,952,0,"1,128",0,475,375,40,"187,068"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"1,977",864,952,54,"3,294",33,0,0,"1,969",598,110,0,435,0,"5,166",114,79,0,0,63,0,74,0,20,"15,802"
               Capiz State University,"1,404",493,"1,172",314,"6,017",0,0,0,"3,050","3,746",80,0,285,0,"5,710",185,125,0,0,135,0,0,0,0,"22,716"
               Carlos C. Hilado Memorial State College,"1,280",540,"1,905",0,"5,188",0,0,0,"2,550",780,120,0,460,0,"1,712",0,120,0,0,222,0,60,0,0,"14,937"
               Guimaras State College,200,146,310,68,346,0,0,0,430,145,80,0,349,0,290,0,22,92,0,0,0,37,0,0,"2,515"
               Iloilo State College of Fisheries,945,274,"1,438",0,"1,885",0,0,0,"1,767",587,128,0,139,0,"2,303",112,10,69,0,8,0,89,0,0,"9,754"
               Negros State College of Agriculture,460,335,"1,024",128,"2,864",15,0,0,796,939,378,0,122,0,545,61,80,310,0,3,0,90,0,0,"8,150"
               Northern Iloilo Polytechnic State College,"2,015",690,"3,036",0,"3,855",0,0,0,"2,270",688,210,0,130,0,"1,986",482,249,261,0,0,0,0,300,0,"16,172"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"1,120",499,750,75,570,0,0,0,400,230,650,0,0,0,0,20,0,20,0,24,0,0,0,0,"4,358"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"1,182",281,"2,514",182,"4,735",0,0,0,"1,974",878,122,0,250,0,"1,472",130,0,200,0,0,0,0,0,0,"13,920"
               Western Visayas College of Science and Technology,"1,198",395,"5,125",430,"6,886",0,0,0,"4,997",353,110,0,115,0,"7,342",0,0,0,0,0,0,0,0,0,"26,951"
               West Visayas State University,0,"1,752","4,892","3,663","23,254",20,0,0,"7,948","2,793",110,0,"1,172",0,"4,596",575,125,0,0,673,0,125,75,20,"51,793"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"15,093","2,449","7,705",743,"36,535",7,0,240,"17,272","32,113",713,0,993,0,"21,440",537,478,"2,682",0,"1,005",0,455,100,100,"140,660"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,200,320,200,0,"8,295",0,0,200,"4,700","15,987",122,0,360,0,"4,999",20,15,0,0,164,0,50,0,0,"35,632"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"11,247",423,509,65,"13,090",0,0,0,"1,054","7,460",180,0,150,0,"1,145",50,0,"1,587",0,0,0,150,100,100,"37,310"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"2,348","1,259","2,580",401,"7,879",0,0,0,"5,284",701,229,0,255,0,"1,384",452,435,618,0,676,0,105,0,0,"24,606"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"1,076",302,"3,966",112,"5,871",7,0,0,"5,431","7,690",100,0,133,0,"13,772",15,28,252,0,60,0,80,0,0,"38,895"
               Siquijor State College,222,145,450,165,"1,400",0,0,40,803,275,82,0,95,0,140,0,0,225,0,105,0,70,0,0,"4,217"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"11,833","6,397","21,488","1,014","38,750",536,0,"1,163","28,171","9,586","1,697",0,"3,770",0,"29,472",451,263,"5,272",0,"4,377",0,"1,016",0,0,"165,256"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,160","1,205","1,182",0,"3,208",45,0,0,"1,405",885,122,0,295,0,"2,032",145,60,155,0,267,0,335,0,0,"12,501"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,188",679,"4,511",12,"5,974",0,0,0,"4,316","2,288",120,0,600,0,"4,371",0,0,"1,429",0,53,0,137,0,0,"26,678"
               Leyte Normal University,484,900,950,0,"5,277",0,0,0,"4,228",430,122,0,449,0,"5,432",0,0,0,0,0,0,0,0,0,"18,272"
               Visayas State University (Leyte State University),"2,106","1,299","3,097",143,"5,376",0,0,0,"8,416","1,085",162,0,416,0,"5,975",8,8,145,0,530,0,70,0,0,"28,836"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"1,121",30,"1,244",110,"2,735",60,0,300,303,"1,005",525,0,120,0,"3,087",0,0,600,0,"1,230",0,0,0,0,"12,470"
