particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
               Philippine State College of Aeronautics,421,407,197,0,379,244,0,0,"4,313",222,60,0,135,0,"4,475",32,36,263,0,3,0,5,0,0,"11,192"
               Polytechnic University of the Philippines,"1,225","6,314","1,780",50,"15,964",266,0,0,"37,605","2,750",162,0,"2,103",0,"25,606",0,0,"3,539",0,0,0,0,0,0,"97,364"
               Rizal Technological University,706,626,469,0,"1,768",88,0,0,"7,047",591,159,0,658,0,"10,006",23,56,648,0,74,0,26,0,0,"22,945"
               Technological University of the Philippines,"1,757",753,"1,067",0,"9,552",0,0,"1,500","19,905","1,121",99,0,653,0,"31,197",0,0,"2,096",0,0,0,0,0,0,"69,700"
               University of the Philippines System,"13,518","17,469","23,914",399,"292,278","4,318","26,776","78,821","267,858","58,807","44,750",0,"6,354",0,"83,209","5,977",519,"3,466",0,"2,159",0,593,0,0,"931,185"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"7,952","3,761","25,668","2,370","57,577",65,0,555,"33,431","3,781",722,0,"1,879",0,"49,089",835,117,"3,316",0,578,0,392,540,0,"192,628"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"2,680","1,342","12,487","1,515","20,261",0,0,0,"10,636","1,597",0,0,0,0,"10,081",0,0,0,0,0,0,0,0,0,"60,599"
               Ilocos Sur Polytechnic State College,462,205,"1,046",780,"2,038",0,0,0,684,393,544,0,153,0,"2,601",0,0,0,0,0,0,0,0,0,"8,906"
               Mariano Marcos State University,654,550,"4,476",2,"11,294",15,0,555,"7,120",529,68,0,591,0,"29,765",137,21,"1,017",0,66,0,15,105,0,"56,980"
               North Luzon Philippines State College,89,55,261,0,"1,610",0,0,0,"1,393",15,0,0,43,0,142,53,0,47,0,7,0,6,65,0,"3,786"
               Pangasinan State University,"2,603","1,121","4,875",67,"11,299",5,0,0,"7,220","1,068",0,0,846,0,"5,516",122,23,"1,806",0,104,0,183,10,0,"36,868"
               University of Northern Philippines,"1,464",488,"2,523",6,"11,075",45,0,0,"6,378",179,110,0,246,0,984,523,73,446,0,401,0,188,360,0,"25,489"
,,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"5,391","2,437","9,969",346,"23,063",440,0,130,"10,088","11,669",579,0,252,0,"23,403","1,658",104,542,0,442,523,"1,402",0,0,"92,438"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,879,242,588,0,"1,782",0,0,0,859,205,46,0,44,0,"2,695",195,15,0,0,0,0,166,0,0,"7,716"
               Apayao State College,242,210,228,70,"1,282",35,0,30,483,438,67,0,44,0,506,95,0,81,0,34,523,52,0,0,"4,420"
               Benguet State University,"1,388",699,"5,854",47,"6,731",196,0,0,"4,905","5,070",122,0,0,0,"9,032","1,300",50,0,0,0,0,860,0,0,"36,254"
               Ifugao State University,"1,013",633,"2,119",189,"5,712",168,0,100,"1,352","3,114",68,0,0,0,"2,142",0,0,0,0,389,0,79,0,0,"17,078"
               Kalinga-Apayao State College,388,101,436,40,"2,128",41,0,0,"1,059",536,126,0,6,0,"2,426",68,31,461,0,19,0,123,0,0,"7,989"
               Mountain Province State Polytechnic College,"1,481",552,744,0,"5,428",0,0,0,"1,430","2,306",150,0,158,0,"6,602",0,8,0,0,0,0,122,0,0,"18,981"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"6,534","4,519","5,803","1,248","34,641",171,0,103,"14,945","26,769",821,0,"1,375",0,"37,212",504,405,"3,141",0,399,0,486,5,0,"139,081"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),297,15,368,3,708,0,0,2,93,0,251,0,8,0,29,56,0,15,0,3,0,17,0,0,"1,865"
               Cagayan State University,"2,749","1,159","2,689",66,"23,254",38,0,101,"4,037","5,990",171,0,236,0,"12,625",254,248,"1,279",0,0,0,145,0,0,"55,041"
               Isabela State University,"1,845","2,158","2,079",113,"4,451",133,0,0,"4,603","18,951",263,0,686,0,"17,413",192,93,735,0,289,0,161,5,0,"54,170"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"1,385","1,092",575,"1,066","5,005",0,0,0,"5,098","1,757",122,0,390,0,"5,475",0,58,"1,112",0,104,0,118,0,0,"23,357"
               Quirino State College,258,95,92,0,"1,223",0,0,0,"1,114",71,14,0,55,0,"1,670",2,6,0,0,3,0,45,0,0,"4,648"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"10,197","5,111","19,023",70,"69,643",929,0,196,"84,264","55,358","8,941",0,"5,685",0,"35,032",802,288,"1,262",0,766,0,"1,776","1,407",0,"300,750"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,686,255,318,0,"1,327",170,0,21,"1,139","2,397",223,0,47,0,290,54,11,213,0,71,0,189,0,0,"7,411"
               Bataan Peninsula State University,"1,867",794,"3,598",12,"10,817",115,0,0,"5,498","4,920",125,0,164,0,362,0,10,0,0,42,0,0,0,0,"28,324"
               Central Luzon State University,597,188,240,0,"4,544",76,0,0,"17,698","6,112","1,596",0,245,0,"9,200",31,30,0,0,0,0,91,0,0,"40,648"
               Bulacan State University,"1,805","1,137","2,414",0,"7,152",0,0,0,"22,236","12,881","3,195",0,204,0,"9,575",0,39,0,0,0,0,84,37,0,"60,759"
               Bulacan Agricultural State College,149,198,977,0,443,0,0,0,"1,651",624,436,0,71,0,53,0,12,21,0,20,0,41,0,0,"4,696"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),651,374,333,0,"4,228",0,0,164,"1,409","3,910",113,0,104,0,"2,797",0,0,0,0,94,0,0,0,0,"14,177"
               Nueva Ecija University of Science and Technology,916,352,"3,098",30,"6,778",448,0,0,"7,961","5,407",100,0,"2,997",0,847,60,93,25,0,0,0,774,"1,370",0,"31,256"
               Pampanga Agricultural College,518,292,216,13,"2,088",0,0,0,"2,429","1,304",125,0,128,0,"1,653",178,4,339,0,150,0,134,0,0,"9,571"
               Philippine Merchant Marine Academy,917,412,"4,804",12,"24,525",0,0,0,"8,977",198,82,0,666,0,"5,449",51,20,54,0,156,0,49,0,0,"46,372"
               Ramon Magsaysay Technological University,583,355,"2,383",0,"4,588",109,0,0,"2,270","16,107",165,0,160,0,"2,490",89,31,412,0,1,0,244,0,0,"29,987"
               Tarlac College of Agriculture,395,180,271,0,"1,859",0,0,6,"3,084",186,453,0,188,0,43,0,22,32,0,122,0,120,0,0,"6,961"
               Tarlac State University,"1,113",574,371,3,"1,294",11,0,5,"9,912","1,312","2,328",0,711,0,"2,273",339,16,166,0,110,0,50,0,0,"20,588"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"9,518","7,251","21,326",485,"52,927",922,111,92,"42,684","32,406",924,0,"2,218",0,"53,392","1,796",113,746,0,752,0,857,0,0,"228,520"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,180","2,399","4,248",2,"9,000",310,0,79,"18,260","16,584",122,0,446,0,"13,888",67,21,74,0,278,0,0,0,0,"66,958"
               Cavite State University,"3,612",890,"3,996",471,"12,528",594,0,0,"5,708","7,657",210,0,908,0,"21,811",757,26,0,0,61,0,489,0,0,"59,718"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),889,"1,012","2,303",0,"6,003",1,0,0,"3,832",503,110,0,285,0,"5,997",368,7,13,0,290,0,212,0,0,"21,825"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"2,170","1,102","5,974",11,"11,184",17,111,13,"4,013","4,124",360,0,530,0,"9,741",599,36,659,0,67,0,156,0,0,"40,867"
               University of Rizal System,"1,667","1,848","4,805",1,"14,212",0,0,0,"10,871","3,538",122,0,49,0,"1,955",5,23,0,0,56,0,0,0,0,"39,152"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"7,138","3,442","20,272",139,"16,740",635,0,134,"15,390","16,396",635,0,"1,141",0,"10,231",452,358,983,0,73,0,"1,322",0,0,"95,481"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"1,086",499,53,0,"2,015",71,0,134,"2,249","4,499",7,0,124,0,"2,106",166,51,46,0,0,0,440,0,0,"13,546"
               Mindoro State College of Agriculture and Technology,879,364,314,21,"1,234",145,0,0,"2,063",229,4,0,161,0,198,19,31,147,0,6,0,38,0,0,"5,853"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),439,120,369,20,"2,713",110,0,0,"1,003",783,101,0,35,0,"5,186",0,0,0,0,0,0,161,0,0,"11,040"
               Palawan State University,"2,041","1,462","15,393",64,"6,030",42,0,0,"6,973","1,383",431,0,400,0,629,110,101,201,0,10,0,125,0,0,"35,395"
               Romblon State University (Romblon State College),"1,276",621,"2,389",34,"2,274",63,0,0,"1,276","2,977",38,0,69,0,634,157,175,589,0,57,0,558,0,0,"13,187"
               Western Philippines University,"1,417",376,"1,754",0,"2,474",204,0,0,"1,826","6,525",54,0,352,0,"1,478",0,0,0,0,0,0,0,0,0,"16,460"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"10,298","2,884","7,029","2,207","40,619",526,0,"15,509","30,016","41,147","12,532",0,"2,987",0,"41,330","1,262",119,"3,366",0,839,25,393,0,0,"213,088"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"3,030","1,078",450,"1,231","14,566",194,0,"14,642","8,804","16,011",650,0,"1,308",0,"21,056",617,50,"1,231",0,280,0,59,0,0,"85,257"
               Camarines Norte State College,"1,300",452,0,475,"2,416",0,0,0,"2,000","4,506",300,0,250,0,"1,785",280,50,475,0,10,25,125,0,0,"14,449"
               Camarines Sur Polytechnic Colleges,841,224,"2,209",0,"5,197",133,0,0,"4,398","1,350","2,607",0,224,0,"6,749",0,0,0,0,0,0,0,0,0,"23,932"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"1,382",373,"1,304",422,"5,774",0,0,35,"5,190","6,070","2,292",0,191,0,"5,845",17,18,539,0,113,0,59,0,0,"29,624"
               Catanduanes State Colleges,924,221,208,0,"5,912",0,0,0,"3,293","8,673","4,882",0,196,0,"1,382",290,0,139,0,362,0,87,0,0,"26,569"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,808,118,"1,342",25,"1,712",59,0,0,781,380,107,0,80,0,133,20,0,10,0,59,0,53,0,0,"5,687"
               Partido State University,748,214,290,0,"1,347",14,0,0,"2,112",299,"1,385",0,15,0,"2,464",38,1,266,0,15,0,10,0,0,"9,218"
               Sorsogon State College,"1,265",204,"1,226",54,"3,695",126,0,832,"3,438","3,858",309,0,723,0,"1,916",0,0,706,0,0,0,0,0,0,"18,352"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"13,725","5,839","17,011","1,638","53,234",9,0,"9,990","30,061","22,759","2,290",0,"2,233",0,"57,030",412,356,"1,665",0,335,0,371,"3,042",0,"222,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"2,092",844,556,764,"3,499",0,0,0,"2,221",468,101,0,256,0,"4,430",57,106,609,0,87,0,59,0,0,"16,149"
               Capiz State University,"2,374",612,"3,039",165,"8,950",0,0,0,"2,167","2,865",80,0,82,0,"4,273",80,59,0,0,1,0,81,0,0,"24,828"
               Carlos C. Hilado Memorial State College,"1,076",366,"1,568",86,"4,231",0,0,0,"3,132",949,162,0,155,0,"1,093",0,67,0,0,122,0,36,0,0,"13,043"
               Guimaras State College,251,9,171,3,568,0,0,0,296,258,90,0,253,0,788,0,0,28,0,0,0,21,0,0,"2,736"
               Iloilo State College of Fisheries,728,263,"1,390",5,"2,700",8,0,0,"2,340",735,349,0,136,0,"9,072",250,27,510,0,63,0,82,0,0,"18,658"
               Negros State College of Agriculture,649,312,"2,978",92,"2,829",0,0,0,485,"9,434",387,0,46,0,761,11,27,217,0,0,0,88,52,0,"18,368"
               Northern Iloilo Polytechnic State College,"2,360",887,793,0,"4,960",0,0,0,"2,641",244,325,0,137,0,"2,101",13,11,0,0,0,0,0,"2,990",0,"17,462"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,737,380,535,24,519,0,0,0,174,0,405,0,500,0,0,0,0,0,0,0,0,0,0,0,"3,274"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),894,89,"1,056",219,"4,291",0,0,0,"1,722","6,330",122,0,158,0,"2,359",0,55,301,0,22,0,0,0,0,"17,618"
               Western Visayas College of Science and Technology,"1,149",402,"4,491",279,"6,350",0,0,0,"6,573",862,107,0,156,0,"3,917",0,0,0,0,0,0,0,0,0,"24,286"
               West Visayas State University,"1,415","1,675",434,1,"14,337",1,0,"9,990","8,310",614,162,0,354,0,"28,236",1,4,0,0,40,0,4,0,0,"65,578"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"8,502","1,512","6,860",696,"22,156",8,0,"2,507","14,496","19,264","1,513",0,"1,110",0,"35,102",343,229,"1,910",0,643,0,569,0,0,"117,420"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,212,320,163,0,"4,245",0,0,0,"4,663","1,350",122,0,299,0,"5,818",0,0,0,0,80,0,42,0,0,"17,314"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"5,465",97,"3,554",1,"6,152",1,0,0,"1,906","3,167",162,0,444,0,"9,904",6,10,"1,074",0,0,0,223,0,0,"32,166"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"1,547",771,"1,236",423,"5,398",0,0,0,"2,885",674,215,0,150,0,"8,773",289,191,513,0,457,0,135,0,0,"23,657"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"1,076",269,"1,636",112,"5,371",7,0,"2,507","4,431","13,925",932,0,130,0,"10,472",48,28,216,0,60,0,80,0,0,"41,300"
               Siquijor State College,202,55,271,160,990,0,0,0,611,148,82,0,87,0,135,0,0,107,0,46,0,89,0,0,"2,983"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"13,033","5,681","12,733",700,"32,714",342,0,594,"24,941","14,480","1,183",0,"2,539",0,"46,147",185,59,"5,016",6,"1,633",0,822,0,0,"162,808"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,678",736,795,0,"3,469",66,0,0,"1,507","5,580",122,0,250,0,"1,692",0,8,73,0,10,0,256,0,0,"16,242"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,143",889,"1,021",0,"4,203",0,0,0,"3,684","1,413",120,0,187,0,"10,758",0,0,"1,389",0,27,0,129,0,0,"25,963"
               Leyte Normal University,"1,253",702,"2,658",0,"5,377",0,0,0,"3,694","1,601",122,0,417,0,"4,741",0,0,0,0,0,0,0,0,0,"20,565"
               Visayas State University (Leyte State University),"1,830","1,315","1,443",0,"5,061",0,0,0,"7,292","1,051",135,0,388,0,"12,245",52,2,0,0,103,0,46,0,0,"30,963"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"1,896",173,649,12,535,10,0,43,211,114,147,0,21,0,"5,215",0,16,635,6,34,0,18,0,0,"9,735"
               Palompon Institute of Technology,814,441,"1,578",391,"1,364",7,0,0,"1,075",222,72,0,148,0,"1,412",114,17,416,0,77,0,63,0,0,"8,211"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,,
