particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
               University of Northern Philippines,"1,562",756,"3,037",6,"11,946",36,0,0,"7,501",574,110,0,301,0,"1,067",526,73,465,0,479,0,227,0,0,"28,666"
,,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"5,374","2,130","9,336",570,"25,608",607,0,"8,911","9,006","6,497",748,0,337,0,"15,106","1,753",73,490,0,603,40,"1,387",0,0,"88,576"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,700,192,780,0,"2,600",0,0,862,825,832,110,0,160,0,"1,100",140,0,110,0,130,0,80,0,0,"8,621"
               Apayao State College,378,196,223,86,"1,100",236,0,417,323,250,110,0,153,0,238,145,10,116,0,66,40,83,0,0,"4,170"
               Benguet State University,"1,388",699,"5,206",47,"7,377",196,0,"3,608","4,905","3,255",162,0,0,0,"7,032","1,300",50,0,0,0,0,860,0,0,"36,085"
               Ifugao State University,"1,013",633,"1,492",189,"5,706",168,0,"1,573","1,360",464,122,0,0,0,"1,542",0,0,0,0,389,0,79,0,0,"14,730"
               Kalinga-Apayao State College,570,225,618,248,"2,319",7,0,753,573,"1,046",122,0,24,0,736,168,13,264,0,18,0,285,0,0,"7,989"
               Mountain Province State Polytechnic College,"1,325",185,"1,017",0,"6,506",0,0,"1,698","1,020",650,122,0,0,0,"4,458",0,0,0,0,0,0,0,0,0,"16,981"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"8,905","5,169","11,392","1,081","23,790",375,0,"3,979","15,311","24,256","1,544",0,"1,029",0,"17,187","1,533",395,"4,711",0,462,50,840,30,0,"122,039"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),225,63,333,16,328,0,0,0,208,172,90,0,11,0,146,30,0,33,0,0,0,180,30,0,"1,865"
               Cagayan State University,"3,042","2,061","5,546",0,"11,799",207,0,"1,391","5,437","10,397",123,0,350,0,"6,708",372,252,"2,660",0,0,50,273,0,0,"50,668"
               Isabela State University,"3,196","1,388","4,023",41,"7,069",96,0,0,"5,743","11,089","1,115",0,218,0,"6,989","1,036",77,959,0,462,0,122,0,0,"43,623"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"2,132","1,497","1,280","1,024","3,318",0,0,"2,123","3,423","1,902",122,0,377,0,"2,791",50,42,"1,024",0,0,0,130,0,0,"21,235"
               Quirino State College,310,160,210,0,"1,276",72,0,465,500,696,94,0,73,0,553,45,24,35,0,0,0,135,0,0,"4,648"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"10,117","5,511","17,214","1,299","71,413",931,0,"6,859","69,628","12,557","3,866",0,"3,693",0,"26,532","1,353",848,"1,892",0,986,15,"1,737",600,0,"237,051"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,500,150,100,24,"1,318",171,0,551,700,170,76,0,250,0,264,115,100,224,0,75,0,220,0,0,"5,008"
               Bataan Peninsula State University,"1,925",731,"3,665","1,161","4,333",92,0,"2,129","4,293","4,676",142,0,65,0,"1,282",0,23,0,0,57,0,0,0,0,"24,574"
               Central Luzon State University,"1,300",798,"1,512",0,"17,883",103,0,0,"12,727","1,280",0,0,0,0,220,120,0,42,0,0,0,68,0,0,"36,053"
               Bulacan State University,"1,175","1,516","1,200",0,"6,634",0,0,0,"19,784",906,"2,750",0,"1,100",0,"5,964",75,20,0,0,207,15,63,600,0,"42,009"
               Bulacan Agricultural State College,150,199,375,51,519,0,0,291,970,524,100,0,62,0,130,41,60,547,0,60,0,69,0,0,"4,148"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),929,168,"1,505",0,"2,649",0,0,89,"2,214","1,143",130,0,62,0,"1,696",0,0,0,0,73,0,0,0,0,"10,658"
               Nueva Ecija University of Science and Technology,929,272,"3,532",30,"5,757",410,0,0,"8,215","1,344",97,0,695,0,"2,588",185,415,25,0,0,0,500,0,0,"24,994"
               Pampanga Agricultural College,126,107,830,23,"2,138",0,0,54,"2,558",159,71,0,409,0,"1,465",232,23,134,0,55,0,72,0,0,"8,456"
               Philippine Merchant Marine Academy,835,500,800,10,"22,315",0,0,"1,419","5,984",229,110,0,600,0,"4,287",115,75,75,0,165,0,150,0,0,"37,669"
               Ramon Magsaysay Technological University,"1,070",320,"1,675",0,"3,981",150,0,"1,466","1,855",460,180,0,120,0,"2,402",100,87,275,0,80,0,435,0,0,"14,656"
               Tarlac College of Agriculture,448,170,"1,530",0,"1,940",0,0,850,"2,550",276,100,0,100,0,166,100,20,120,0,89,0,40,0,0,"8,499"
               Tarlac State University,730,580,490,0,"1,946",5,0,10,"7,778","1,390",110,0,230,0,"6,068",270,25,450,0,125,0,120,0,0,"20,327"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"8,410","4,850","18,383",643,"44,486",181,0,"15,755","31,158","25,288",556,0,"2,829",0,"23,523","1,352",267,210,0,"1,158",0,109,21,0,"179,179"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,000","1,500","5,600",50,"9,900",50,0,"5,638","12,074","6,600",122,0,"1,200",0,"9,450",500,100,200,0,700,0,0,0,0,"54,684"
               Cavite State University,"1,649",607,"4,206",230,"7,259",100,0,0,"5,795","6,655",85,0,227,0,"3,019",350,30,0,0,160,0,0,0,0,"30,372"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"1,172","1,270","2,114",175,"4,814",0,0,"1,981","3,141","4,087",110,0,551,0,"4,584",69,21,10,0,109,0,109,21,0,"24,338"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"2,816",607,"4,665",45,"12,709",31,0,"4,676","3,468",960,117,0,569,0,"3,942",379,62,0,0,140,0,0,0,0,"35,186"
               University of Rizal System,"1,773",866,"1,798",143,"9,804",0,0,"3,460","6,680","6,986",122,0,282,0,"2,528",54,54,0,0,49,0,0,0,0,"34,599"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"7,614","3,007","8,024",260,"15,760",450,0,"2,216","12,702","8,857",612,0,"2,334",0,"9,028","1,241",780,290,0,783,25,853,10,0,"74,846"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,775,450,400,75,"1,100",0,0,743,"1,575","1,075",44,0,242,0,"2,220",255,115,50,0,225,25,225,10,0,"9,604"
               Mindoro State College of Agriculture and Technology,453,262,606,0,"1,600",146,0,0,"1,365",439,68,0,92,0,633,51,5,0,0,30,0,103,0,0,"5,853"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),687,240,685,40,"1,654",100,0,0,"1,000","3,324",82,0,150,0,"2,096",0,0,0,0,0,0,0,0,0,"10,058"
               Palawan State University,"3,000","1,200","4,009",0,"7,500",0,0,"1,473","6,000","2,300",300,0,"1,277",0,500,935,660,240,0,528,0,250,0,0,"30,172"
               Romblon State University (Romblon State College),"1,300",565,870,145,"1,229",0,0,0,"1,300",830,38,0,191,0,"2,194",0,0,0,0,0,0,275,0,0,"8,937"
               Western Philippines University,"1,399",290,"1,454",0,"2,677",204,0,0,"1,462",889,80,0,382,0,"1,385",0,0,0,0,0,0,0,0,0,"10,222"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"11,330","3,459","9,114","1,798","36,846",581,0,"12,578","26,681","13,538","1,012",0,"2,377",0,"39,464","1,123",349,"2,486",0,"1,654",25,426,0,0,"164,841"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"3,110","1,589","1,605",918,"14,607",182,0,"9,748","9,422","5,000",175,0,874,0,"16,126",579,112,918,0,"1,046",0,154,0,0,"66,165"
               Camarines Norte State College,"1,001",363,350,151,"1,976",0,0,0,"2,924","1,460",70,0,200,0,"1,257",100,25,151,0,4,25,35,0,0,"10,092"
               Camarines Sur Polytechnic Colleges,"1,000",306,"2,500",25,"4,585",200,0,0,"2,350","3,988",110,0,277,0,"7,436",50,20,170,0,60,0,50,0,0,"23,127"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"2,112",301,"2,147",420,"4,475",0,0,115,"3,108","1,023",98,0,242,0,"1,996",147,128,420,0,117,0,45,0,0,"16,894"
               Catanduanes State Colleges,"1,715",199,450,65,"5,545",0,0,"1,892","2,830",875,118,0,145,0,"4,580",45,0,0,0,383,0,75,0,0,"18,917"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,901,232,852,90,"1,127",65,0,0,700,378,99,0,71,0,693,149,59,13,0,0,0,58,0,0,"5,487"
               Partido State University,583,238,290,1,"1,422",14,0,0,"2,008",265,122,0,193,0,"3,737",53,5,234,0,44,0,9,0,0,"9,218"
               Sorsogon State College,908,231,920,128,"3,109",120,0,823,"3,339",549,220,0,375,0,"3,639",0,0,580,0,0,0,0,0,0,"14,941"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"14,460","5,758","24,057","1,536","62,858",103,0,0,"28,820","11,856","1,563",0,"3,379",0,"25,572","1,893",876,603,0,"1,392",0,659,75,102,"185,562"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"2,146",844,916,70,"4,597",75,0,0,"1,698","1,416",110,0,593,0,"2,875",386,113,0,0,148,0,80,0,82,"16,149"
               Capiz State University,"1,404",493,"1,172",314,"7,017",0,0,0,"3,050","3,746",80,0,285,0,"6,522",185,125,0,0,135,0,0,0,0,"24,528"
               Carlos C. Hilado Memorial State College,"1,000",400,"1,350",0,"4,716",0,0,0,"2,140",530,100,0,250,0,"1,622",0,90,0,0,195,0,50,0,0,"12,443"
               Guimaras State College,200,146,310,68,346,0,0,0,430,145,80,0,349,0,290,0,22,92,0,0,0,37,0,0,"2,515"
               Iloilo State College of Fisheries,664,256,"1,034",144,"1,817",0,0,0,"1,536",559,123,0,128,0,"2,481",106,10,66,0,8,0,82,0,0,"9,014"
               Negros State College of Agriculture,580,315,"1,110",128,"3,058",8,0,0,"1,176",929,278,0,107,0,480,66,68,220,0,3,0,80,0,0,"8,606"
               Northern Iloilo Polytechnic State College,"2,015",600,"4,730",180,"4,300",0,0,0,"2,260",668,250,0,180,0,771,525,323,225,0,230,0,205,0,0,"17,462"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,515,415,878,0,440,0,0,0,680,0,200,0,0,0,502,0,0,0,0,0,0,0,0,0,"3,630"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"1,082",142,"1,592",182,"4,420",0,0,0,"1,974",717,122,0,200,0,"1,442",50,0,0,0,0,0,0,0,0,"11,923"
               Western Visayas College of Science and Technology,"1,198",395,"5,812",430,"6,386",0,0,0,"4,928",353,110,0,115,0,"4,011",0,0,0,0,0,0,0,0,0,"23,738"
               West Visayas State University,"3,656","1,752","5,153",20,"25,761",20,0,0,"8,948","2,793",110,0,"1,172",0,"4,576",575,125,0,0,673,0,125,75,20,"55,554"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"14,830","2,128","4,903",662,"30,635",7,0,"2,747","15,879","37,429",704,0,983,0,"18,760",528,462,"2,268",0,894,0,451,100,100,"134,470"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,200,320,200,0,"8,295",0,0,200,"4,700","18,264",122,0,360,0,"4,999",20,15,0,0,164,0,50,0,0,"37,909"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"11,247",423,509,65,"6,860",0,0,0,"1,054","7,460",180,0,150,0,"1,145",50,0,"1,587",0,0,0,150,100,100,"31,080"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"2,188","1,066","2,315",320,"8,739",0,0,0,"4,925",629,220,0,245,0,"1,211",410,419,315,0,565,0,101,0,0,"23,668"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"1,077",269,"1,636",112,"5,370",7,0,"2,507","4,431","10,925",100,0,133,0,"11,265",48,28,252,0,60,0,80,0,0,"38,300"
               Siquijor State College,118,50,243,165,"1,371",0,0,40,769,151,82,0,95,0,140,0,0,114,0,105,0,70,0,0,"3,513"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"12,042","6,380","15,947",975,"40,169",539,0,"1,158","27,637","9,664","1,870",0,"3,628",0,"26,997",318,193,"4,138",0,"3,045",0,716,0,0,"155,416"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,165",965,"1,120",0,"2,699",50,0,0,"1,340",755,432,0,374,0,"2,428",145,60,355,0,180,0,190,0,0,"12,258"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,188",679,"2,511",12,"5,878",0,0,0,"4,085","2,488",120,0,600,0,"4,171",0,0,"1,525",0,53,0,137,0,0,"24,447"
               Leyte Normal University,440,845,800,0,"7,070",0,0,0,"4,043",430,122,0,449,0,"5,479",0,0,0,0,0,0,0,0,0,"19,678"
               Visayas State University (Leyte State University),"2,106","1,299","3,097",143,"5,376",0,0,50,"8,666","1,085",162,0,416,0,"5,995",8,8,145,0,530,0,0,0,0,"29,086"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"1,021",303,"1,244",55,"2,735",60,0,250,"1,230","1,005",400,0,120,0,"1,965",0,0,0,0,0,0,0,0,0,"10,388"
               Palompon Institute of Technology,913,305,"1,454",200,"2,039",37,0,145,"1,218",262,122,0,384,0,755,30,85,251,0,50,0,0,0,0,"8,250"
