roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
,"               036  Office Equipment, Furniture and Fixtures",6001223,6719412,6735049,7522147,,
,               037  Work Animals Outlay,347633,0,0,29,,
,               038  Transportation Equipment,1286881,1611905,1611905,11146977,,
,               040  Machineries and Equipment,8970938,10194536,10166946,13021600,,
,               041  Public Infrastructures,156564227,126838852,130837719,186722241,,
,               042  Reforestation Projects,896109,1439753,1439753,1522291,1,
,,,,,,,
,TOTAL CAPITAL OUTLAYS,193165222,192625919,192719539,257289888,1,
,,,,,,,
III.,NET LENDING,,,,,,
,,,,,,,
,               960  Net Lending,9258000,15000000,15000000,23000000,1,
,,,,,,,
,TOTAL NET LENDING,9258000,15000000,15000000,23000000,1,
,,,,,,,
,TOTAL OBLIGATIONS OF THE NATIONAL GOVERNMENT,1472977429,1645591127,1645000000,1816000000,1,
