13,Agrobiotechnology,JICA,,GOP,,,,0.02,,0.02,1.00,0.00,15-Mar-10,7-Aug-10,2.01,1.01,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
14,Agusan River Basin Integrated Water Resources Management,ADB,,GOP,DENR,DENR,1.18,1.18,1.18,0.66,0.56,0.52,19-Jun-09,30-May-11,0.79,0.23,"Agriculture, Agrarian Reform and Natural Resources",Region-specific,,,Mixed,
15,Airport Development Planning for Considering  Environment,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,2-Sep-10,12-Oct-10,2.98,1.98,Infrastructure Development,Unspecified,,,TCP,
16,"Alliance for Mindanao Off Grid Renewable Energy II, AMORE II",USAID,,GOP,DOE,DOE,10.40,10.40,,10.40,1.00,0.00,1-Oct-04,30-Nov-09,1.21,0.21,Social Reform and Community Development,Multi-Regional,,,TA,
17,"Alliance for Mindanao Off Grid Renewable Energy III, AMORE III",USAID,,GOP,DOE,DOE,2.80,2.80,,1.50,0.54,1.30,27-Oct-09,30-Sep-13,0.30,-0.24,Social Reform and Community Development,Multi-Regional,,,TA,
18,An Analytical Study of the Non-Investment Incentive Laws of the Philipines (Phase I),JICA,,GOP,DOF,DOF,,0.05,,0.05,1.00,0.00,26-Mar-10,31-Jan-11,0.90,-0.10,Governance and Institutions Development,Nationwide,nationwide,,TCP,
19,"Analysis, Interpretation and Use of Official Statistics",JICA,,GOP,,,,0.01,,0.01,1.00,0.00,13-Jul-10,18-Sep-10,2.58,1.58,Governance and Institutions Development,Unspecified,,,TCP,
20,ARMM Human Capacity Development Project,JICA,,GOP,ARMM,ARMM,,3.43,,3.43,1.00,0.00,1-May-08,31-Mar-11,0.91,-0.09,Governance and Institutions Development,Region-Specific,ARMM,,TCP,
21,ARMM Regional Development Senior Advisor,JICA,,GOP,ARMM,ARMM,,0.34,,0.34,1.00,0.00,5-Aug-08,4-Aug-10,1.20,0.20,Governance and Institutions Development,Region-Specific,ARMM,,TCP,
22,ASEAN Biodiversity,GIZ,German Government /BMZ,GOP,ASEAN ,ASEAN ,2.00,2.79,0.12,0.16,0.06,2.63,1-Oct-09,31-Aug-15,0.21,0.16,"Agriculture, Agrarian Reform and Natural Resources",Multi-Regional,,,TCP,
23,Assessment of the Implementation of the Philippine Plan for Gender Responsive Development (PPGD)  towards Enhanced Sectoral and National Implementation ,UN Women,,GOP,PCW (formerly NCRFW),PCW (formerly NCRFW),,0.03,,0.02,1.00,0.00,1-Jan-09,31-Dec-10,1.00,0.00,Social Reform and Community Development,Multi-Regional,,Reg. IV-A & B (Calabarzon & Mimaropa); Bicol Region; Reg VI & VII; Mindanao-(Zamboanga Pen. & Northern Mindanao),TA,
24,Assistance for formulation on Route Rationalization and Stabilization Measurement,JICA,,GOP,MARINA,MARINA,,0.16,,0.16,1.00,0.00,1-Jul-08,30-Jun-10,1.25,0.25,Infrastructure Development,Region-Specific,NCR,,TCP,
25,Assistance on Diagnosis and Management of porcine reproductive and respiratory syndrome (PPRS) and other swine diseases to improve swine health status in selected countries  ,FAO,,GOP,DA-BAI,DA-BAI,0.45,0.45,,0.19,0.42,0.26,1-Jan-10,30-Jun-11,0.67,0.25,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
26,"Assistance to IDPs, Returnees and other Food-insecure Households in Conflict affected Areas of Central Mindanao and Strengthening National Capacity on Natural Disaster Preparedness and Response",WFP,,GOP,DSWD,DSWD,,12.32,,12.32,1.00,0.00,1-Jul-10,31-Dec-11,0.33,-0.67,Social Reform and Community Development,Multi-Regional,ARMM and Region XI ,"Maguindanao, Lanao del Sur, Lanao del Norte",TA,
27,Assisting countries in Southeast Asia towards achieving pesticide regulatory harmonization,FAO,,GOP,DA-FPA,DA-FPA,0.46,0.46,,0.08,0.18,0.37,1-Dec-09,31-May-11,0.72,0.54,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
28,Australia WB Philippine Development Trust Fund,AusAID,,GOP,,,,45.87,,6.61,0.14,39.27,1-Jun-09,30-Jun-13,0.39,0.24,Unspecified,Nationwide,,,Others,
29,Barangay Justice for Peace Project,USAID,,Mixture,Various Agencies,"LGUs, DILG, MEDCO, Civil Society Organizations",1.70,1.70,,1.10,0.65,0.60,1-Oct-09,30-Sep-11,0.63,-0.02,Governance and Institutions Development,Multi-Regional,,,TA,
30,Basic Education Assistance for ARMM (BEAM-ARMM),AusAID,,GOP,,,,5.93,,4.61,0.78,1.32,1-Sep-09,29-Jun-12,0.47,-0.31,Social Reform and Community Development,Region-Specific,,,Mixed,
31,Basic Education Assistance for Mindanao ,AusAID,,GOP,,,,49.00,,0.06,0.00,48.94,21-Apr-99,30-Oct-09,1.11,1.11,Social Reform and Community Development,Multi-Regional,,,Mixed,
32,Basic Education Sector Reform (SPHERE),AusAID,,GOP,,,,102.22,,1.50,0.01,100.72,5-Jan-07,30-Jun-11,0.89,0.87,Social Reform and Community Development,Nationwide,,,Mixed,
33,BCF - Philippines: Laguna De Bay Community Waste Management,WB,,GOP,LLDA,LLDA,,0.12,,0.00,0.00,0.12,30-Jun-06,31-Aug-18,0.37,0.37,Infrastructure Development,Region-specific,,,Others,
34,Bioagricultural Sciences (Master's or Doctor's Degree: Agriculture),JICA,,GOP,,,,0.03,,0.03,1.00,0.00,17-Mar-10,31-Mar-12,0.39,-0.61,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
35,Blg. Community Resilience & LGU in DRR,CIDA,CIDA,GOP,UNDP - United Nations Development Programme,UNDP - United Nations Development Programme,0.97,0.86,,0.68,0.79,0.18,19-Jun-06,31-Jul-11,0.89,0.09,Social Reform and Community Development,Multi-Regional,,,Others,
36,Bond Market Development in ASEAN Countries,JICA,,GOP,,,,0.00,,0.00,1.00,0.00,28-Nov-10,11-Dec-10,2.54,1.54,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
37,Building Codes and Control Systems (Building Safety and Social/Environmental Consideration),JICA,,GOP,,,,0.01,,0.01,1.00,0.00,16-May-10,25-Jun-10,5.77,4.77,Infrastructure Development,Unspecified,,,TCP,
38,Building Integrity in the System of Governance,UNDP,,GOP,Civil Service Commission,Civil Service Commission,,0.60,,0.42,0.70,0.18,1-Jan-05,31-Dec-11,0.86,0.16,Governance and Institutions Development,Region-Specific,NCR,,Others,
39,Camiguin Coastal Resource Management Programme/DENR Region 10 & Camiguin Province Local Government,New Zealand,,GOP,DENR,DENR,,2.05,,0.49,0.24,1.56,30-Nov-07,31-Mar-11,0.93,0.68,"Agriculture, Agrarian Reform and Natural Resources",Region-specific,Camiguin ,,Others,
40,Canada Fund-Philippines 2010,CIDA,CIDA,GOP,Embassy of Canada to the Philippines,Embassy of Canada to the Philippines,1.42,1.25,,1.20,0.96,0.05,1-May-06,30-Jun-11,0.90,-0.06,"Industry, Trade and Tourism",Unspecified,,,Others,
41,Capacity Building and Regional Collaboration for Enhancing the Conservation and Sustainable Use of Plant Genetic Resources in Asia  ,FAO,,GOP,DA-BPI,DA-BPI,1.37,1.37,,0.80,0.58,0.57,1-Nov-08,31-Jan-12,0.67,0.08,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TA,
42,Capacity Building for Housing Microfinance,ADB,,GOP,HUDCC,HUDCC,1.90,1.90,1.90,1.90,1.00,0.00,18-Feb-04,17-Nov-10,1.02,0.02,Infrastructure Development,Nationwide,,,TA,
43,Capacity Building to Remove Barriers for Renewable Energy Development (CBRED),UNDP,,GOP,Department of Energy,Department of Energy,,6.14,,5.75,0.94,0.39,1-Jan-02,31-Dec-11,0.90,-0.04,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,NCR,,Others,
44,"Capacity Development for DTI-SME Counselors (Project on SME ""Shindan"" for Philippine SME Counselors)",JICA,,GOP,DTI-BMSMED,DTI-BMSMED,,2.09,,2.09,1.00,0.00,31-Jan-07,30-Jan-10,1.31,0.31,"Industry, Trade and Tourism",Multi-Regional,"Albay, Leyte",,TCP,
45,Capacity Development of Policy Making in Climate Change Adaptation (CCA) in Water Sector,JICA,,GOP,,,,0.00,,0.00,1.00,0.00,5-Dec-10,15-Dec-10,2.60,1.60,Governance and Institutions Development,Unspecified,,,TCP,
46,Capacity Development on Tourism Statistics in Local Government Units (LGUs),JICA,,GOP,DOT,DOT,,1.06,,1.06,1.00,0.00,11-Mar-09,11-Feb-12,0.62,-0.38,Governance and Institutions Development,Multi-Regional,"NCR, Regions 4-B, 6, 7",,TCP,
47,Capacity Enhancement for Drug Law Enhancement,JICA,,GOP,PDEA,PDEA,,0.21,,0.21,1.00,0.00,1-Apr-09,31-Mar-10,1.75,0.75,Governance and Institutions Development,Region-specific,Manila,,TCP,
48,Capacity Enhancement of Customs Functions,JICA,,GOP,BOC,BOC,,0.16,,0.16,1.00,0.00,1-Aug-08,31-Jul-11,0.81,-0.19,Governance and Institutions Development,Region-specific,Manila,,TCP,
49,Capacity Enhancement on Energy Policy and Planning for Philipppine Energy Plan (C/P Training),JICA,,GOP,,,,0.06,,0.06,1.00,0.00,1-Oct-09,30-Nov-09,7.63,6.63,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
50,CDCF - Philippines: Laguna De Bay Community Waste Management,WB,,GOP,LLDA,LLDA,0.30,0.30,,0.00,0.00,0.30,1-Jul-07,30-Jun-18,0.32,0.32,Social Reform and Community Development,Unspecified,,,Others,
51,Chief Information Officer (CIO) for E-Government Promotion (B),JICA,,GOP,,,,0.01,,0.01,1.00,0.00,12-Jan-10,22-Apr-10,3.49,2.49,Infrastructure Development,Unspecified,,,TCP,
52,Child Protection,UNICEF,,GOP,,,,1.26,,1.26,1.00,0.00,1-Jan-10,31-Dec-10,1.00,0.00,Social Reform and Community Development,Unspecified,,,Others,
53,Cleaner Production through Productive Maintenance (A),JICA,,GOP,,,,0.02,,0.02,1.00,0.00,2-Aug-10,26-Nov-10,1.31,0.31,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
54,Climate Change and Biodiversity,GIZ,German Government /BMU,GOP,DENR,DENR,2.47,3.61,2.09,2.78,0.77,0.84,1-Dec-08,30-Nov-11,0.70,-0.07,"Agriculture, Agrarian Reform and Natural Resources",Multi-Regional,,,TCP,Trust Fund
55,Climate Change and Clean Energy Project,USAID,,GOP,Various Agencies,"DOE, ERC",1.80,1.80,,0.50,0.28,1.30,10-May-10,31-Mar-11,0.72,0.44,Social Reform and Community Development,Multi-Regional,,,TA,
56,"Climate Change, Energy and the Environment",JICA,,GOP,,,,0.01,,0.01,1.00,0.00,18-Jan-10,29-Jan-10,31.18,30.18,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
57,Clinical Medicine and Research for Tropical Doctors,JICA,,GOP,,,,0.03,,0.03,1.00,0.00,29-Mar-10,27-Mar-11,0.76,-0.24,Social Reform and Community Development,Unspecified,,,TCP,
58,Coast Guard Administration,JICA,,GOP,PCG,PCG,,0.22,,0.22,1.00,0.00,5-Dec-06,4-Dec-09,1.36,0.36,Governance and Institutions Development,Region-specific,NCR,,TCP,
59,Coast Guard Administration,JICA,,GOP,PCG,PCG,,0.11,,0.11,1.00,0.00,2-Dec-09,1-Dec-11,0.54,-0.46,Infrastructure Development,Region-specific,NCR,,TCP,
60,Coastal Fishing Technique for Sustainable Resource Use,JICA,,GOP,,,,0.03,,0.03,1.00,0.00,24-Feb-10,13-Jun-10,2.82,1.82,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
61,Collaborative Sub-regional Environmental Animal Health Management Initiative for Enhanced Smallholder Production in South-East Asia (SEAHMI) ,FAO,,GOP,DA-BAI,DA-BAI,1.40,1.40,,0.79,0.56,0.61,1-Jan-09,31-May-11,0.83,0.27,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TA,
62,Colloquium on Urban Public Transport,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,14-Jan-10,27-Feb-10,8.07,7.07,Infrastructure Development,Unspecified,,,TCP,
63,Communication,UNICEF,,GOP,,,,0.10,,0.10,1.00,0.00,1-Jan-10,31-Dec-10,1.00,0.00,Social Reform and Community Development,Unspecified,,,Others,
64,Community-based Forest Management Visayas,KfW,,GOP,DENR,DENR,3.00,4.18,0.39,0.51,0.12,3.67,1-Jan-09,31-Dec-15,0.29,0.16,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,,,TCP,
65,Community-Based Treatment of Offenders through the Holistic Approach to Volunteer Resource Development,JICA,,GOP,PPA,PPA,,0.44,,0.44,1.00,0.00,8-Oct-08,7-Oct-10,1.12,0.12,Governance and Institutions Development,nationwide,nationwide,,TCP,
66,Comprehensive Disaster Risk Management,JICA,,GOP,,,,0.02,,0.02,1.00,0.00,13-Jan-10,25-Feb-10,8.29,7.29,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,
67,Comprehensive Etiological and Epidemiological Study on Acute Respiratory Infections in Children,JICA,,GOP,RITM,RITM,,0.04,,0.04,1.00,0.00,1-Apr-10,31-Mar-15,0.15,-0.85,Social Reform and Community Development,Unspecified,nationwide,,TCP,
68,Comprehensive Management of River and Dam,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,2-Sep-10,30-Nov-10,1.35,0.35,Infrastructure Development,Unspecified,,,TCP,
69,Comprehensive Outreach and Fish Breeding Project,JICA,,GOP,BFAR-NIFTDC,BFAR-NIFTDC,,3.38,,3.38,1.00,0.00,1-Nov-06,30-Apr-10,1.19,0.19,"Agriculture, Agrarian Reform and Natural Resources",Multi-Regional,"Pangasinan, Pampanga, Mindoro Oriental",,TCP,
70,"Comprehensive Pilot Intervention Plan Against Gender Violence in CARAGA, Phase 2",Spain,,GOP,DSWD,DSWD,0.30,0.41,,0.00,0.00,0.41,1-Mar-09,1-Aug-10,1.29,1.29,Social Reform and Community Development,Region-specific,XIII,,Others,
71,"Comprehensive Pilot Intervention Plan Against Gender Violence in Caraga, Philippines Phase 3",Spain,,GOP,DSWD,DSWD,0.30,0.40,,0.00,0.00,0.40,1-Dec-10,1-Jun-11,0.17,0.17,Social Reform and Community Development,Region-specific,XIII,,Others,
72,Comprehensive Strategy for Recovery from Natural Disasters for Middle East and Asian countries -Lessons Learned from the Great Hanshin-Awaji Earthquake Case,JICA,,GOP,,,,0.00,,0.00,1.00,0.00,13-Jan-10,6-Mar-10,6.57,5.57,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,Capital Grant
73,Computer Access Mentorship Program - A Public-Private Partnership for Enhanching Education Quality,ADB,,GOP,Others,Others,0.50,0.50,0.50,0.18,0.35,0.33,11-Aug-10,30-Apr-13,0.14,-0.21,Social Reform and Community Development,Nationwide,,,TA,Capital Grant
74,Conflict Management in the Philippines,USAID,,Mixture,Various Agencies,Various Agencies,3.80,3.80,,3.70,0.97,0.10,30-Sep-03,31-Dec-10,1.00,0.03,Governance and Institutions Development,Multi-Regional,,,TA,Capital Grant
75,Conflict Prevention and Peace,UNDP,,GOP,OPAPP,OPAPP,,2.88,,2.28,0.79,0.60,1-Jan-05,31-Dec-11,0.86,0.06,Social Reform and Community Development,Nationwide,,,Others,Capital Grant
76,Conservation and Adaptive  Management of Globally Important Agricultural Heritage Systems (GIAHS) – Full-Sized Project  ,FAO,,GOP,DENR,DENR,3.50,3.50,,1.02,0.29,2.48,1-Jul-08,30-Jun-13,0.50,0.21,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TA,Capital Grant
77,Conservation and Wise Use of Wetland in the Context of Implementing Ramsar Convention and CBD,JICA,,GOP,,,,0.02,,0.02,1.00,0.00,12-May-10,29-Jun-10,4.87,3.87,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,TA/TC
78,Construction Equipment and Mechanized Construction Management,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,31-Aug-10,26-Nov-10,1.40,0.40,Infrastructure Development,Unspecified,,,TCP,TA/TC/Capital Grant
79,Construction Technology Introduced and/or Applied to Developing Countries,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,10-May-10,25-Jun-10,5.13,4.13,Infrastructure Development,Unspecified,,,TCP,TC/Capital Grant
80,Contrib-ACDI/CIDA Contributions,CIDA,CIDA,GOP,Terre sans Frontières,Terre sans Frontières,0.20,0.19,,0.18,0.98,0.00,26-Nov-07,30-Nov-10,1.03,0.05,Infrastructure Development,Unspecified,,,Others,Capital Grant
81,Coordinator Training for Tertiary Education-Industry-Government (T-I-G) Link to Develop Local Industry Sector,JICA,,GOP,,,,0.02,,0.02,1.00,0.00,4-Oct-10,12-Nov-10,2.29,1.29,Social Reform and Community Development,Unspecified,,,TCP,GCP
82,Copyright Systems Development,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,13-Jun-10,6-Jul-10,8.61,7.61,"Industry, Trade and Tourism",Unspecified,,,TCP,GCP
83,Coral Triangle Initiative (regional program),USAID,,Mixture,Various Agencies,Various Agencies,3.30,3.30,,2.10,0.64,1.20,30-Sep-08,29-Sep-13,0.45,-0.19,"Agriculture, Agrarian Reform and Natural Resources",Multi-Regional,,,TA,GCP
84,COSERAM,GIZ,German Government /BMZ,GOP,"DILG, NEDA, DENR, OPAPP, NCIP,","DILG, NEDA, DENR, OPAPP, NCIP,",6.75,8.96,0.04,0.06,0.01,8.90,1-Jan-11,31-Dec-14,0.00,-0.01,Governance and Institutions Development,Multi-Regional,,,TCP,GCP
85,Counter Terrorism Initiative,AusAID,,GOP,,,,9.17,,0.00,0.00,9.17,29-Aug-03,30-Jun-10,1.07,1.07,Social Reform and Community Development,Multi-Regional,,,Mixed,GCP
86,Countermeasure against Automobile Pollution in Urban Area,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,21-Sep-10,12-Nov-10,1.96,0.96,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,GCP
87,Counterpart Training on Nationwide Master Plan on High Standard Highway Network Development,JICA,,GOP,,,,0.05,,0.05,1.00,0.00,21-Nov-09,11-Dec-09,20.00,19.00,Infrastructure Development,Unspecified,,,TCP,GCP
88,Counterpart Training Program on Criminal Identification,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,1-Sep-10,30-Sep-11,0.31,-0.69,Governance and Institutions Development,Unspecified,,,TCP,GCP
89,Counterpart Training Program on Initial Investigation,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,8-Sep-10,18-Sep-10,11.30,10.30,Governance and Institutions Development,Unspecified,,,TCP,GCP
90,"Country-Focused Training Course: Seminar for Local Officials and Local Functionaries of Clustered LGUs on ""One Village, One Product Movement""",JICA,,GOP,,,,0.10,,0.10,1.00,0.00,30-Nov-09,31-Mar-10,3.25,2.25,Governance and Institutions Development,Multi-Regional,,,TCP,GCP
91,Creation of Non-handicapping Environment for Filipinos with Disabilities in the Rural Areas.,JICA,,GOP,NCDA,NCDA,,1.00,,1.00,1.00,0.00,1-Oct-08,30-Sep-12,0.56,-0.44,Social Reform and Community Development,Multi-Regional,"New Lucena, Iloilo and Opol, Mis.Occ.",,TCP,GCP
92,Creation of Recycling Society based on Hazardous Waste Management and Appropriate Disposal in Asia,JICA,,GOP,,,,0.01,,0.01,1.00,0.00,2-Nov-10,14-Dec-10,1.40,0.40,"Agriculture, Agrarian Reform and Natural Resources",Unspecified,,,TCP,GCP
93,Credit Union Empowerment and Strengthening III (CUES III),USAID,,GOP,MEDCO,MEDCO,2.10,2.10,,1.90,0.90,0.20,30-Sep-05,31-Mar-10,1.17,0.26,"Industry, Trade and Tourism",Multi-Regional,,,TA,GCP
94,Crime Prevention (Senior Seminar),JICA,,GOP,,,,0.02,,0.02,1.00,0.00,7-Jan-10,13-Feb-10,9.83,8.83,Governance and Institutions Development,Unspecified,,,TCP,GCP
95,Cross-sectoral (M&E),UNICEF,,GOP,,,,0.07,,0.07,1.00,0.00,1-Jan-10,31-Dec-10,1.00,0.00,Social Reform and Community Development,Unspecified,,,Others,GCP
96,CUI- Good Urban Governance 2006-2009,CIDA,CIDA,GOP,Canadian Urban Institute,Canadian Urban Institute,0.95,0.89,,0.68,0.77,0.20,26-Mar-07,30-Jun-17,0.37,-0.40,Social Reform and Community Development,Nationwide,,,Others,GCP
97,Customs Administration,JICA,,GOP,,,,0.00,,0.00,1.00,0.00,3-Nov-10,9-Dec-10,1.61,0.61,Governance and Institutions Development,Unspecified,,,TCP,GCP
98,Dairy Industry Strategic Review and Design,New Zealand,,GOP,,,,0.29,,0.10,0.34,0.19,1-Jul-10,31-Dec-11,0.33,0.00,"Agriculture, Agrarian Reform and Natural Resources",Multi-Regional,Luzon and Mindanao,,Others,GCP
99,Database Management for E-Government Promotion,JICA,,GOP,,,,0.03,,0.03,1.00,0.00,19-Jan-10,17-Jun-10,2.31,1.31,Infrastructure Development,Unspecified,,,TCP,JP
100,Database Specialist for E-Government Promotion,JICA,,GOP,,,,0.02,,0.02,1.00,0.00,6-Jul-10,4-Dec-10,1.18,0.18,Infrastructure Development,Unspecified,,,TCP,JP
101,Davao Industry Cluster Capacity Enhancement Project,JICA,,GOP,DTI RegionXI,DTI RegionXI,,2.14,,2.14,1.00,0.00,15-Oct-07,30-Jun-10,1.19,0.19,"Industry, Trade and Tourism",Region-specific,RegionXI,,TCP,JP
102,Decentralization Program Phase 2,GIZ,German Government /BMZ,GOP,NEDA,NEDA,4.00,5.57,1.51,2.01,0.36,3.57,1-Oct-09,30-Sep-12,0.42,0.06,Governance and Institutions Development,Multi-Regional,,,TCP,TCP
103,Decentralized Framework for Sustainable Natural Resources and Rural Infrastructure Management,ADB,,GOP,To be verified,To be verified,1.30,1.30,1.30,0.00,0.00,1.30,17-Dec-10,30-Jun-13,0.02,0.02,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,,,TA,TCP
104,DemGov: Strengthening HR Infra,UNDP,,GOP,Commission on Human Rights,Commission on Human Rights,,1.43,,0.99,0.69,0.44,1-Jan-05,31-Dec-11,0.86,0.16,Governance and Institutions Development,Region-specific,NCR,,Others,TCP
105,Demonstration of BAT & BEP in Fossil Fuel-Fired Utilities & Industrial Boilers in Response to the Stockholm Convention on POPs,UNIDO,,GOP,EMB-DENR,EMB-DENR,,4.00,,0.00,0.00,4.00,1-May-10,30-Jun-14,0.16,0.16,"Agriculture, Agrarian Reform and Natural Resources",Region-Specific,IV-A,Quezon Province,TCP,TCP
106,Development and Promotion of Small and Medium Enterprises for Asia: Case Study of Space Technology Development by Cooperative Association of SMEs in Osaka,JICA,,GOP,,,,0.02,,0.02,1.00,0.00,12-Jan-10,6-Feb-10,14.54,13.54,"Industry, Trade and Tourism",Unspecified,,,TCP,TCP
107,"Development of ""National Implementation Plan"" under the ""ASESAN-Japan Action Plan on Environment Improvement in the Transport Sector""",JICA,,GOP,,,,0.00,,0.00,1.00,0.00,3-Oct-10,30-Oct-10,3.26,2.26,Infrastructure Development,Unspecified,,,TCP,TCP
108,Development of Human Resources in the BIR,JICA,,GOP,BIR,BIR,,0.90,,0.90,1.00,0.00,1-Jul-08,31-Mar-11,0.91,-0.09,Governance and Institutions Development,Region-Specific,NCR,,TCP,TCP
109,Development of the Lung Center of the Philippines as the National Referral Center for Multidrug Resistant Tuberculosis,KOICA,KOICA,GOP,Lung Center of the Philippines,Lung Center of the Philippines,,2.90,,2.21,0.76,0.69,1-Jan-08,31-Dec-10,1.00,0.24,Social Reform and Community Development,Region-specific,,,TCP,TA (Study)
110,Development of the Master Plan and Pilot System of a National Public Key Infrastructure (PKI) in the Philippines ,KOICA,KOICA,GOP,DTI and NCC,DTI and NCC,,2.30,,0.83,0.36,1.47,1-Jan-08,31-Jul-10,1.16,0.80,Governance and Institutions Development,Region-specific,,,Mixed,TCP
111,Development Study on Promotion of Local Industry in ARMM,JICA,,GOP,ARMM,ARMM,,1.27,,1.27,1.00,0.00,15-Mar-10,31-Aug-11,0.54,-0.46,"Industry, Trade and Tourism",Region-specific,ARMM,,TCP,TCP
