seq_number,discipline,takers_2008,passers_2008,percent_pass_2008,takers_2009,passers_2009,percent_pass_2009,takers_2010,passers_2010,percent_pass_2010,takers_2011,passers_2011,percent_pass_2011,takers_2012,passers_2012,percent_pass_2012,yr5_ave_takers,yr5_ave_passers,yr5_ave_percent_pass
31,Midwifery,7113,3741,52.59,9527,5004,52.52,7328,3365,45.92,6421,2809,43.75,5688,2717,47.77,36077,17636,48.88
32,Mining Engineering,85,62,72.94,18,11,61.11,39,22,56.41,45,32,71.11,67,57,85.07,254,184,72.44
33,Naval Architecture and Marine Engineering,16,5,31.25,41,8,19.51,58,27,46.55,52,24,46.15,81,46,56.79,248,110,44.35
34,Nursing,152505,67006,43.94,171832,69933,40.7,174957,67257,38.44,144447,59859,41.44,109159,44351,40.63,752900,308406,40.96
35,Nutrition and Dietetics,523,273,52.2,636,429,67.45,676,476,70.41,757,507,66.97,896,601,67.08,3488,2286,65.54
36,Occupational Therapy,168,81,48.21,167,87,52.1,135,56,41.48,180,78,43.33,184,76,41.3,834,378,45.32
37,Optometry,544,321,59.01,262,157,59.92,58,50,86.21,63,54,85.71,348,248,71.26,1275,830,65.1
38,Pharmacy,2066,1122,54.31,2351,1361,57.89,2352,1350,57.4,2469,1290,52.25,2879,1693,58.81,12117,6816,56.25
39,Physical Therapy,1573,680,43.23,1347,638,47.36,1345,608,45.2,1430,738,51.61,1492,777,52.08,7187,3441,47.88
40,Radiologic Technology,1504,720,47.87,1547,731,47.25,1690,772,45.68,1776,954,53.72,2088,947,45.35,8605,4124,47.93
41,Sanitary Engineering,115,58,50.43,110,41,37.27,99,49,49.49,105,57,54.29,105,53,50.48,534,258,48.31
42,Social Work,1153,615,53.34,1256,679,54.06,1321,770,58.29,1254,804,64.11,1424,892,62.64,6408,3760,58.68
43,Veterinary Medicine,683,224,32.8,682,187,27.42,696,216,31.03,566,204,36.01,702,230,32.76,3329,1061,31.87
-,Grand Total,386233,149809,38.79,410322,148515,36.19,414985,140706,33.91,396807,142549,35.92,381616,162617,42.61,1989963,744196,37.4
