region,higher_education_institution,number_of_faculty,number_of_students,faculty_student_ratio
II (Cagayan Valley),University of La Salette,5716,220,1 is to 26
II (Cagayan Valley),Lyceum of Aparri,1514,66,1 is to 23
II (Cagayan Valley),Lyceum of Tuao,269,31,1 is to 9
II (Cagayan Valley),Medical Colleges of Northern Philippines,1620,31,1 is to 52
II (Cagayan Valley),Northeastern College,3504,76,1 is to 46
II (Cagayan Valley),Northern Cagayan Colleges Foundation,73,15,1 is to 5
II (Cagayan Valley),Our Lady of the Pillar College-Cauayan,1940,89,1 is to 22
II (Cagayan Valley),Patria Sable Corpus College,1160,50,1 is to 23
II (Cagayan Valley),PLT College,2537,88,1 is to 29
II (Cagayan Valley),Quezon Colleges of the North,53,10,1 is to 5
II (Cagayan Valley),Saint Anthony's College,294,20,1 is to 15
II (Cagayan Valley),Saint Dominic College of Batanes,476,32,1 is to 15
II (Cagayan Valley),St. Ferdinand College-Ilagan,1524,89,1 is to 17
II (Cagayan Valley),Saint Joseph's College of Baggao,200,21,1 is to 10
II (Cagayan Valley),University of Saint Louis-Tuguegarao,5936,230,1 is to 26
II (Cagayan Valley),Saint Mary's University of Bayombong ,6583,245,1 is to 27
II (Cagayan Valley),Saint Paul University Philippines,3510,180,1 is to 20
II (Cagayan Valley),Mallig Plains Colleges,766,41,1 is to 19
II (Cagayan Valley),FL Vargas College-Tuguegarao,1264,76,1 is to 17
II (Cagayan Valley),Philippine Law Enforcement College,62,12,1 is to 5
II (Cagayan Valley),Cagayan Valley Colleges of Quirino,36,12,1 is to 3
II (Cagayan Valley),International School of Asia and the Pacific,1761,59,1 is to 30
II (Cagayan Valley),Isabela College of Arts and Technology,996,32,1 is to 31
II (Cagayan Valley),AMA Computer College-Santiago City,340,15,1 is to 23
II (Cagayan Valley),Cagayan Valley Computer and Information Technology College,493,32,1 is to 15
II (Cagayan Valley),John Wesley College,40,16,1 is to 3
II (Cagayan Valley),AMA Computer College-Tuguegarao City,155,9,1 is to 17
II (Cagayan Valley),SISTECH College of Santiago City,116,12,1 is to 10
II (Cagayan Valley),Santiago City Colleges,96,19,1 is to 5
II (Cagayan Valley),Saint Ferdinand College ,174,17,1 is to 10
II (Cagayan Valley),MCN College,64,7,1 is to 9
II (Cagayan Valley),Central College of the North,89,12,1 is to 7
II (Cagayan Valley),FL Vargas College-Abulug,281,38,1 is to 7
II (Cagayan Valley),Metropolitan School of Science and Technology,63,9,1 is to 7
II (Cagayan Valley),STI College-Tuguegarao,134,9,1 is to 15
II (Cagayan Valley),Sierra College,334,12,1 is to 28
II (Cagayan Valley),University of Perpetual Help System,860,50,1 is to 17
II (Cagayan Valley),Eastern Luzon Colleges,886,48,1 is to 18
II (Cagayan Valley),STI College-Santiago City,226,12,1 is to 19
II (Cagayan Valley),HG Baquiran College,307,21,1 is to 15
II (Cagayan Valley),Infant Jesus Montessori School-College Department,81,14,1 is to 6
II (Cagayan Valley),Maila Rosario Colleges,62,22,1 is to 3
II (Cagayan Valley),Our Lady of the Pillar College-Cauayan San Manuel Branch,363,24,1 is to 15
II (Cagayan Valley),Northeast Luzon Adventist College,17,9,1 is to 2
III (Central Luzon),Angeles University Foundation,6930,425,1 is to 16
III (Central Luzon),Sto. Rosario Sapang Palay College,552,40,1 is to 14
III (Central Luzon),Baliuag University,3865,176,1 is to 22
III (Central Luzon),Baliuag Maritime Foundation,594,23,1 is to 26
III (Central Luzon),Saint Patrick College,47,14,1 is to 3
III (Central Luzon),Bataan Heroes Memorial College,590,29,1 is to 20
III (Central Luzon),Camiling Colleges,266,14,1 is to 19
III (Central Luzon),CIT Colleges of Paniqui Foundation,962,38,1 is to 25
III (Central Luzon),Central Luzon Doctors' Hospital Educational Institution,1456,88,1 is to 17
III (Central Luzon),Central Luzon College of Technology-Olongapo,720,37,1 is to 19
III (Central Luzon),Centro Escolar University,2352,89,1 is to 26
III (Central Luzon),Colegio De San Pascual Baylon,105,27,1 is to 4
III (Central Luzon),College of the Holy Spirit of Tarlac,435,36,1 is to 12
III (Central Luzon),College of the Immaculate Conception,2122,99,1 is to 21
III (Central Luzon),CORE Gateway College,912,31,1 is to 29
III (Central Luzon),Columban College-Olongapo City,3216,181,1 is to 18
III (Central Luzon),College for Research and Technology-Cabanatuan City,498,30,1 is to 17
III (Central Luzon),World Citi Colleges-Guimba Campus,271,18,1 is to 15
III (Central Luzon),Divina Pastora College,246,12,1 is to 21
III (Central Luzon),Dominican College of Tarlac,650,12,1 is to 54
III (Central Luzon),Dr. Gloria D. Lacson Foundation Colleges-Nueva Ecija,807,34,1 is to 24
III (Central Luzon),Dr. Yanga's Colleges,2696,116,1 is to 23
III (Central Luzon),East Central Colleges,314,41,1 is to 8
III (Central Luzon),Ednor Colleges,52,7,1 is to 7
III (Central Luzon),General De Jesus College,1060,48,1 is to 22
III (Central Luzon),The Good Samaritan Colleges,760,63,1 is to 12
III (Central Luzon),Guagua National Colleges,1049,64,1 is to 16
III (Central Luzon),Harvardian Colleges,1805,ND,ND
III (Central Luzon),Holy Angel University,13494,483,1 is to 28
III (Central Luzon),Holy Cross College-Nueva Ecija,168,19,1 is to 9
III (Central Luzon),Holy Cross College-Pampanga,342,43,1 is to 8
III (Central Luzon),Immaculate Conception Major Seminary,131,23,1 is to 6
III (Central Luzon),Interworld College of Technology Foundation-Tarlac,639,29,1 is to 22
III (Central Luzon),Jesus Is Lord Colleges Foundation,86,25,1 is to 3
III (Central Luzon),Jose C. Feliciano College,606,37,1 is to 16
III (Central Luzon),Lourdes College of Bulacan,103,13,1 is to 8
III (Central Luzon),Magsaysay Memorial College,464,17,1 is to 27
III (Central Luzon),Manuel V. Gallego Foundation Colleges,474,49,1 is to 10
III (Central Luzon),Maria Assumpta Seminary,33,15,1 is to 2
III (Central Luzon),Megabyte College of Science and Technology-Guagua,82,7,1 is to 12
III (Central Luzon),Metro Subic Colleges,302,28,1 is to 11
III (Central Luzon),Meycauayan College,1317,66,1 is to 20
III (Central Luzon),Shepherds College,38,11,1 is to 3
III (Central Luzon),Microcity Computer Colleges Foundation,144,17,1 is to 8
III (Central Luzon),Midway Maritime Foundation,2853,56,1 is to 51
III (Central Luzon),Mondriaan Aura College,668,35,1 is to 19
III (Central Luzon),Mother of Good Counsel Seminary,82,27,1 is to 3
III (Central Luzon),Mt. Carmel College,168,24,1 is to 7
III (Central Luzon),Nazarenus College and Hospital Foundation,232,29,1 is to 8
III (Central Luzon),Nueva Ecija Colleges,458,31,1 is to 15
III (Central Luzon),Carthel Science Educational Foundation,661,36,1 is to 18
III (Central Luzon),Osias Colleges,262,34,1 is to 8
III (Central Luzon),Our Lady of Peace College Seminary,18,29,1 is to 1
III (Central Luzon),Pamantasan ng Araullo,5286,151,1 is to 35
III (Central Luzon),Pampanga Colleges,398,26,1 is to 15
III (Central Luzon),La Consolacion University Philippines,2877,99,1 is to 29
III (Central Luzon),Republic Central Colleges,767,52,1 is to 15
III (Central Luzon),Saint Anthony College of Technology,157,20,1 is to 8
III (Central Luzon),Saint Mary's College of Meycauayan,476,38,1 is to 13
III (Central Luzon),St. Paul University at San Miguel,323,19,1 is to 17
III (Central Luzon),San Jose Christian Colleges,1043,22,1 is to 47
III (Central Luzon),Somascan Fathers Seminary,42,13,1 is to 3
III (Central Luzon),STI College-Balanga,107,20,1 is to 5
III (Central Luzon),STI College-City of Tarlac,587,18,1 is to 33
III (Central Luzon),Systems Plus Computer College Foundation,1989,110,1 is to 18
III (Central Luzon),Tomas Del Rosario College,640,44,1 is to 15
III (Central Luzon),University of the Assumption,4093,103,1 is to 40
III (Central Luzon),Virgen De Los Remedios College-Olongapo City,348,30,1 is to 12
III (Central Luzon),Wesleyan University Philippines-Cabanatuan,5676,245,1 is to 23
III (Central Luzon),Interworld Colleges Foundation-Paniqui,396,28,1 is to 14
III (Central Luzon),La Fortuna College,692,38,1 is to 18
III (Central Luzon),STI College-City of San Fernando,1398,43,1 is to 33
III (Central Luzon),STI College-Angeles City,277,19,1 is to 15
III (Central Luzon),STI College-Meycauayan,755,21,1 is to 36
III (Central Luzon),STI College-Malolos,339,19,1 is to 18
III (Central Luzon),United School of Science and Technology Colleges,911,45,1 is to 20
III (Central Luzon),Concepcion Holy Cross College,451,25,1 is to 18
III (Central Luzon),Northern Zambales College,400,25,1 is to 16
III (Central Luzon),"Columban College-Sta. Cruz, Zambales",119,16,1 is to 7
III (Central Luzon),College of St. Lawrence,497,31,1 is to 16
III (Central Luzon),Sact Mutien College,14,ND,ND
III (Central Luzon),Fernandez College of Arts and Technology,1539,73,1 is to 21
III (Central Luzon),Micro Asia College of Science and Technology,368,20,1 is to 18
III (Central Luzon),Sienna College of San Jose,246,33,1 is to 7
III (Central Luzon),AMA Computer College-Cabanatuan City,487,23,1 is to 21
III (Central Luzon),Comteq Computer and Business College,146,22,1 is to 7
III (Central Luzon),Eastwoods Professional College of Science and Technology,420,31,1 is to 14
III (Central Luzon),AMA Computer College-Malolos,435,15,1 is to 29
III (Central Luzon),"AMA Computer College-San Fernando, Pampanga",257,22,1 is to 12
III (Central Luzon),Dee Hwa Liong College Foundation,400,51,1 is to 8
III (Central Luzon),Maritime Academy of Asia and the Pacific,1806,71,1 is to 25
III (Central Luzon),Saint Joseph College of Bulacan,428,40,1 is to 11
III (Central Luzon),Trinitas College,63,17,1 is to 4
III (Central Luzon),AMA Computer College-Tarlac City,664,25,1 is to 27
III (Central Luzon),Fundamental Baptist College for Asians,262,17,1 is to 15
III (Central Luzon),Saint Paul College of Technology,152,16,1 is to 10
III (Central Luzon),ABE International College of Business and Economics,378,3,1 is to 126
III (Central Luzon),AMA Computer College-Angeles City,433,18,1 is to 24
III (Central Luzon),Asia Pacific College of Advanced Studies,810,50,1 is to 16
III (Central Luzon),"College of Mary Immaculate of Pandi, Bulacan",557,15,1 is to 37
III (Central Luzon),Saint Mary's College of Baliuag,291,7,1 is to 42
III (Central Luzon),Saint Augustine Colleges Foundation,132,17,1 is to 8
III (Central Luzon),Saint Rose College Educational Foundation,198,9,1 is to 22
III (Central Luzon),ABE International College of Business College,746,23,1 is to 32
III (Central Luzon),AMA Computer College-Olongapo City,732,30,1 is to 24
III (Central Luzon),La Concepcion College,543,31,1 is to 18
III (Central Luzon),Colegio De San Gabriel Arcangel,2199,58,1 is to 38
III (Central Luzon),Mary the Queen College-Pampanga,395,67,1 is to 6
III (Central Luzon),Ecumenical Christian College,108,21,1 is to 5
III (Central Luzon),Mount Carmel College of Casiguran,75,ND,ND
III (Central Luzon),STI College-Sta. Maria,856,31,1 is to 28
III (Central Luzon),STI College-Balagtas,452,32,1 is to 14
III (Central Luzon),Lyceum of Subic Bay,931,63,1 is to 15
III (Central Luzon),Santa Clara De Montefalco College,5,7,1 is to 1
III (Central Luzon),First City Providential College,362,44,1 is to 8
III (Central Luzon),College of the Most Holy Trinity,32,17,1 is to 2
III (Central Luzon),Academia de San Lorenzo Dema Ala,185,26,1 is to 7
III (Central Luzon),George Dewey Medical College,33,18,1 is to 2
III (Central Luzon),St. Mary's Angel College of Pampanga,422,34,1 is to 12
III (Central Luzon),St. Nicholas College of Business and Technology,1596,62,1 is to 26
III (Central Luzon),Dr. Gloria D. Lacson Foundation Colleges-Cabanatuan City,34,16,1 is to 2
III (Central Luzon),College of Our Lady of Mt. Carmel-Pampanga,152,12,1 is to 13
III (Central Luzon),"Central Luzon College of Science and Technology-City of San Fernando, Pampanga",922,24,1 is to 38
III (Central Luzon),Colegio de San Juan de Letran ,455,44,1 is to 10
III (Central Luzon),College of Subic Montessori,0,9,1 is to 0
III (Central Luzon),STI College-Baliuag,452,32,1 is to 14
III (Central Luzon),ACLC College of Meycauayan,782,15,1 is to 52
III (Central Luzon),Colegio De Calumpit,98,13,1 is to 8
III (Central Luzon),Gerona Junior College,108,21,1 is to 5
III (Central Luzon),Holy Rosary Colleges Foundation of Calaba San Isidro Nueva Ecija,15,16,1 is to 1
III (Central Luzon),Our Lady of Manaoag Montessori College,91,13,1 is to 7
III (Central Luzon),Philippine Rehabilitation Institute Foundation,155,16,1 is to 10
III (Central Luzon),St. Joseph's College of Balanga City,7,7,1 is to 1
III (Central Luzon),Subic Bay College,ND,28,ND
III (Central Luzon),Mater Redemptoris College of San Jose City,390,32,1 is to 12
III (Central Luzon),Megabyte College of Science and Technology-Florida,265,10,1 is to 27
III (Central Luzon),Philippine Women's University Career Development and Continuing Education Center-Bataan,154,30,1 is to 5
III (Central Luzon),Centro Colegio De Tarlac,51,17,1 is to 3
III (Central Luzon),Philippine Women's University Career Development and Continuing Education Center-Tarlac,334,23,1 is to 15
III (Central Luzon),La Verdad Christian College,161,14,1 is to 12
III (Central Luzon),St. Benilde Center for Global Competence,103,18,1 is to 6
III (Central Luzon),Marian College of Baliuag,151,19,1 is to 8
III (Central Luzon),ACLC College of Balanga,469,16,1 is to 29
III (Central Luzon),ACLC College of Baliuag,104,11,1 is to 9
III (Central Luzon),Liceo de Pulilan Colleges,123,29,1 is to 4
III (Central Luzon),ACLC College of Gapan,455,26,1 is to 18
III (Central Luzon),Our Lady of Sacred Heart College of Guimba,242,16,1 is to 15
III (Central Luzon),ACLC College of Apalit,570,23,1 is to 25
III (Central Luzon),Tarlac Christian College,119,16,1 is to 7
III (Central Luzon),St. Linus Online Institute-St. Linus University,14,21,1 is to 1
III (Central Luzon),New Era University,173,17,1 is to 10
III (Central Luzon),Santa Rita College of Pampanga,67,17,1 is to 4
III (Central Luzon),Aurora Polytechnic College,21,ND,ND
III (Central Luzon),STI College San Jose,51,19,1 is to 3
III (Central Luzon),RCC Colegio de San Rafael,0,ND,ND
III (Central Luzon),Colegio de Sebastian,102,26,1 is to 4
III (Central Luzon),Clark College of Science and Technology,4,30,1 is to 0
III (Central Luzon),ACLC College of Mabalacat,93,7,1 is to 13
III (Central Luzon),College of the Our Lady of Mercy of Pulilan,190,26,1 is to 7
III (Central Luzon),Immaculate Conception International College of Arts and Technology,299,36,1 is to 8
III (Central Luzon),Mount Carmel College-Baler,1194,61,1 is to 20
III (Central Luzon),Wesleyan University Philippines-Aurora,607,39,1 is to 16
IV-A (CALABARZON),ACTS Computer College,642,19,1 is to 34
IV-A (CALABARZON),Asia Pacific Nazarene Theological Seminary,103,15,1 is to 7
IV-A (CALABARZON),Calauag Central College,483,26,1 is to 19
IV-A (CALABARZON),Canossa College,291,44,1 is to 7
IV-A (CALABARZON),Colegio de Los Banos,218,21,1 is to 10
IV-A (CALABARZON),Colegio De San Juan De Letran-Calamba,4159,220,1 is to 19
IV-A (CALABARZON),Colegio de Sto. Nino de Cabuyao,61,8,1 is to 8
IV-A (CALABARZON),De La Salle-Lipa,6168,288,1 is to 21
IV-A (CALABARZON),Deaf Evangelistic Alliance Foundation,141,8,1 is to 18
IV-A (CALABARZON),Divine Word Seminary,147,24,1 is to 6
IV-A (CALABARZON),De La Salle University-Dasmarinas,13452,791,1 is to 17
IV-A (CALABARZON),De La Salle Health Sciences Institute,2915,356,1 is to 8
IV-A (CALABARZON),Don Bosco College-Canlubang,355,42,1 is to 8
IV-A (CALABARZON),Eastern Laguna Colleges,177,16,1 is to 11
IV-A (CALABARZON),Eastern Quezon College,955,44,1 is to 22
IV-A (CALABARZON),Eastern Tayabas College,14,6,1 is to 2
IV-A (CALABARZON),Golden Gate Colleges,859,61,1 is to 14
IV-A (CALABARZON),Harris Memorial College,181,32,1 is to 6
IV-A (CALABARZON),Immaculada Concepcion Colleges-Soldier's Hills,31,18,1 is to 2
IV-A (CALABARZON),Immaculate Conception College-Balayan,530,28,1 is to 19
IV-A (CALABARZON),Imus Institute,678,49,1 is to 14
IV-A (CALABARZON),ICCT Colleges,18668,194,1 is to 96
IV-A (CALABARZON),Dr. Francisco L. Calingasan Memorial Colleges Foundation,402,25,1 is to 16
IV-A (CALABARZON),Laguna College,1778,83,1 is to 21
IV-A (CALABARZON),Laguna College of Business and Arts,2069,104,1 is to 20
IV-A (CALABARZON),Laguna Northwestern College,718,32,1 is to 22
IV-A (CALABARZON),Leon Guinto Memorial College,322,33,1 is to 10
IV-A (CALABARZON),Lipa City Colleges,2771,115,1 is to 24
IV-A (CALABARZON),Lyceum of the Philippines University-Batangas,9244,320,1 is to 29
IV-A (CALABARZON),Mabini Junior College,50,9,1 is to 6
IV-A (CALABARZON),Manuel S. Enverga University Foundation-Lucena,6808,221,1 is to 31
IV-A (CALABARZON),Marcelino Fule Memorial College,223,28,1 is to 8
IV-A (CALABARZON),Calayan Educational Foundation,960,75,1 is to 13
IV-A (CALABARZON),Manuel S. Enverga University Foundation-Candelaria,1251,64,1 is to 20
IV-A (CALABARZON),Manuel S. Enverga University Foundation-Catanauan,452,25,1 is to 18
IV-A (CALABARZON),National College of Business and Arts-Taytay,967,33,1 is to 29
IV-A (CALABARZON),Northern Quezon College,1564,59,1 is to 27
IV-A (CALABARZON),Our Lady of Lourdes Seminary,23,20,1 is to 1
IV-A (CALABARZON),University of Perpetual Help System-Laguna,5276,187,1 is to 28
IV-A (CALABARZON),University of Perpetual Help-Dr. Jose G. Tamayo Medical University,2659,246,1 is to 11
IV-A (CALABARZON),Adventist University of the Philippines,3899,246,1 is to 16
IV-A (CALABARZON),Presbyterian Theological Seminary,61,30,1 is to 2
IV-A (CALABARZON),Quezonian Educational College,320,29,1 is to 11
IV-A (CALABARZON),Rizal College of Taal,1453,43,1 is to 34
IV-A (CALABARZON),Rizal College of Laguna,261,22,1 is to 12
IV-A (CALABARZON),Roosevelt College Cainta,334,66,1 is to 5
IV-A (CALABARZON),Sacred Heart College ,1928,110,1 is to 18
IV-A (CALABARZON),Saint Anne College of Lucena,1430,118,1 is to 12
IV-A (CALABARZON),Saint Bridget College,515,37,1 is to 14
IV-A (CALABARZON),Saint Francis de Sales Major Seminary,76,17,1 is to 4
IV-A (CALABARZON),St. Joseph College-Cavite City,536,33,1 is to 16
IV-A (CALABARZON),Saint Louis Anne Colleges,611,26,1 is to 24
IV-A (CALABARZON),Saint Michael's College of Laguna,1050,68,1 is to 15
IV-A (CALABARZON),Saint Paul Seminary Foundation,72,10,1 is to 7
IV-A (CALABARZON),Saint Peter's College Seminary,72,26,1 is to 3
IV-A (CALABARZON),San Antonio De Padua College,87,9,1 is to 10
IV-A (CALABARZON),San Ildefonso College,167,16,1 is to 10
IV-A (CALABARZON),San Pablo Colleges,1281,82,1 is to 16
IV-A (CALABARZON),San Pedro College of Business Administration,4303,76,1 is to 57
IV-A (CALABARZON),San Sebastian College-Recoletos de Cavite,2364,120,1 is to 20
IV-A (CALABARZON),Siena College of Taytay,1086,78,1 is to 14
IV-A (CALABARZON),Southeast Asia Interdisciplinary Development Institute,38,47,1 is to 1
IV-A (CALABARZON),Tanauan Institute,1664,23,1 is to 72
IV-A (CALABARZON),Tayabas Western Academy,330,26,1 is to 13
IV-A (CALABARZON),Tomas Claudio Memorial College,2303,81,1 is to 28
IV-A (CALABARZON),Unciano Colleges ,198,24,1 is to 8
IV-A (CALABARZON),Union College of Laguna,584,57,1 is to 10
IV-A (CALABARZON),Western Colleges,537,25,1 is to 21
IV-A (CALABARZON),University of Batangas,5379,47,1 is to 114
IV-A (CALABARZON),STI College-Lucena,453,26,1 is to 17
IV-A (CALABARZON),University of Perpetual Help-Rizal Molino Campus,1925,86,1 is to 22
IV-A (CALABARZON),STI College-San Pablo,442,20,1 is to 22
IV-A (CALABARZON),STI Colleges of Luzon-Calamba Campus,738,38,1 is to 19
IV-A (CALABARZON),Dominican College Sta. Rosa,39,20,1 is to 2
IV-A (CALABARZON),Saints John and Paul Colleges,111,31,1 is to 4
IV-A (CALABARZON),Sta. Teresa College,579,52,1 is to 11
IV-A (CALABARZON),Southern Luzon College,219,11,1 is to 20
IV-A (CALABARZON),STI College-Bacoor,792,28,1 is to 28
IV-A (CALABARZON),STI College-Batangas,174,12,1 is to 15
IV-A (CALABARZON),STI College-Sta. Cruz,427,27,1 is to 16
IV-A (CALABARZON),STI College-Lipa,415,14,1 is to 30
IV-A (CALABARZON),Trace College,301,16,1 is to 19
IV-A (CALABARZON),STI eCollege Southwoods,690,37,1 is to 19
IV-A (CALABARZON),AMA Computer College-Binan,609,21,1 is to 29
IV-A (CALABARZON),Colegio De San Pedro,510,12,1 is to 43
IV-A (CALABARZON),La Consolacion College-Binan,408,33,1 is to 12
IV-A (CALABARZON),Laguna Science and Technology College,245,9,1 is to 27
IV-A (CALABARZON),Mt. St. Aloysius Seminary,30,12,1 is to 3
IV-A (CALABARZON),Cainta Catholic College,700,57,1 is to 12
IV-A (CALABARZON),STI College Ortigas-Cainta,1184,44,1 is to 27
IV-A (CALABARZON),Maryhill College,222,33,1 is to 7
IV-A (CALABARZON),University of Perpetual Help System-GMA Campus,1285,69,1 is to 19
IV-A (CALABARZON),Philippine Missionary Institute,105,24,1 is to 4
IV-A (CALABARZON),Lemery Colleges,1160,43,1 is to 27
IV-A (CALABARZON),AMA Computer College-Sta.Cruz,550,25,1 is to 22
IV-A (CALABARZON),Laguna Santiago Educational Foundation,6,13,1 is to 0
IV-A (CALABARZON),Colegio San Agustin-Binan,149,21,1 is to 7
IV-A (CALABARZON),AMA Computer College-East Rizal,1458,30,1 is to 49
IV-A (CALABARZON),Oblates of Saint Joseph College of Philosophy,59,25,1 is to 2
IV-A (CALABARZON),Inter-Global College Foundation ,1031,22,1 is to 47
IV-A (CALABARZON),University of Perpetual Help System-Dalta-Calamba,1829,86,1 is to 21
IV-A (CALABARZON),La Salle College-Antipolo,1373,52,1 is to 26
IV-A (CALABARZON),St. Alphonsus School of Theology,13,8,1 is to 2
IV-A (CALABARZON),IETI College of Science and Technology,218,10,1 is to 22
IV-A (CALABARZON),Adventist International Institute of Advanced Studies,204,40,1 is to 5
IV-A (CALABARZON),Binangonan Catholic College,118,29,1 is to 4
