indicator_level_1,indicator_level_2,indicator_level_3,indicator_level_4,indicator_level_5,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,Maritime,Maritime,12487,12020,8801,11121,10429,11768,14433,13937,19515,17623
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,Medicine and Health Related,Medicine and Health Related,41688,61916,86373,110312,121401,128057,115466,102782,80487,109812
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,Engineering and Technology,Engineering and Technology,48507,47003,48951,49617,48464,48448,49705,58637,56760,59219
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,"Agriculture, Agricultural Engineering, Forestry, Veterinary Medicine","Agriculture, Agricultural Engineering, Forestry, Veterinary Medicine",13154,12803,13040,12528,11181,9842,10107,9650,11575,9511
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,Teacher Education,Teacher Education,71882,70837,66362,70711,63682,56777,56209,62834,69821,63817
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,IT Related,IT Related,33613,38567,38435,35901,38665,45830,49913,54113,67727,63730
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,Mathematics,Mathematics,1754,2042,2204,1787,2115,2105,1995,1874,2024,2048
Autonomous/Deregulated Private HEIs,Graduates,Priority Disciplines,Architectural and Town Planning,Architectural and Town Planning,3462,2762,2663,2401,2277,2286,2217,2263,2278,2251
Autonomous/Deregulated Private HEIs,Performance (Percent Passing) in licensure examination ,Across all disciplines,Across all disciplines,Across all disciplines,31.26,32.94,35.56,37.97,38.34,38.79,26.19,33.91,35.92,42.61
Autonomous/Deregulated Private HEIs,Performance (Percent Passing) in licensure examination ,Priority Disciplines,Sciences,Sciences,44.57,46.74,49.03,51,53.14,49.16,54.31,56.02,53.53,47.25
Autonomous/Deregulated Private HEIs,Performance (Percent Passing) in licensure examination ,Priority Disciplines,Maritime,Maritime,62.02,42.27,45.53,48.48,47.63,51.48,50.36,51.41,50.09,58.18
Autonomous/Deregulated Private HEIs,Performance (Percent Passing) in licensure examination ,Priority Disciplines,Medicine and Health Related,Medicine and Health Related,45.06,43.47,47.64,48.47,51.45,53.14,54.84,52.73,55.91,59.06
Autonomous/Deregulated Private HEIs,Performance (Percent Passing) in licensure examination ,Priority Disciplines,Engineering and Technology,Engineering and Technology,39.29,38.64,39.16,41.16,38.62,39.17,36.6,37.37,44.36,49.46
Autonomous/Deregulated Private HEIs,Performance (Percent Passing) in licensure examination ,Priority Disciplines,"Agriculture, Agricultural Engineering, Forestry, Veterinary Medicine","Agriculture, Agricultural Engineering, Forestry, Veterinary Medicine",27.14,28.64,31.77,33.7,35.35,34.18,35.07,35.5,36.7,36.37
Autonomous/Deregulated Private HEIs,Performance (Percent Passing) in licensure examination ,Priority Disciplines,Teacher Education,Teacher Education,26.27,27.24,26.99,30.99,28.5,31.43,25.5,21.21,24.38,41.87
Autonomous/Deregulated Private HEIs,Faculty Qualification,Faculty Qualification,Percent with MA/MS,Percent with MA/MS,30.06,30.64,34.48,33.09,31.32,34.75,35.04,38.87,41.44,38.75
Autonomous/Deregulated Private HEIs,Faculty Qualification,Faculty Qualification,Percent with PhD,Percent with PhD,9.24,9.09,10.09,9.67,9,9.75,9.69,11.09,12.66,11.45
Autonomous/Deregulated Private HEIs,Accreditation,Number of HEIs with Accredited Programs,Number of HEIs with Accredited Programs,Number of HEIs with Accredited Programs,-,297,303,386,390,407,428,447,484,515
Autonomous/Deregulated Private HEIs,Accreditation,Percent of HEIs with Accredited Programs,Percent of HEIs with Accredited Programs,Percent of HEIs with Accredited Programs,-,18,16,19,19.1,19.62,19.59,19.89,21.54,22.4
Autonomous/Deregulated Private HEIs,Accreditation,Percent of HEIs with Accredited Programs,Number of Accredited Programs by Level,Candidate Status,-,51,62,534,547,525,626,655,838,984
Autonomous/Deregulated Private HEIs,Accreditation,Percent of HEIs with Accredited Programs,Number of Accredited Programs by Level,Level I,-,317,322,313,416,506,621,704,842,1173
Autonomous/Deregulated Private HEIs,Accreditation,Percent of HEIs with Accredited Programs,Number of Accredited Programs by Level,Level II,-,1057,1054,1155,1052,1000,1086,1038,1174,1343
Autonomous/Deregulated Private HEIs,Accreditation,Percent of HEIs with Accredited Programs,Number of Accredited Programs by Level,Level III,-,186,180,290,375,441,604,702,734,725
Autonomous/Deregulated Private HEIs,Accreditation,Percent of HEIs with Accredited Programs,Number of Accredited Programs by Level,Level IV,-,-,-,-,-,-,-,10,35,110
Autonomous/Deregulated Private HEIs,Accreditation,Percent of HEIs with Accredited Programs,Number of Accredited Programs by Level,Total (Excluding Candidate Status),-,1560,1556,1758,1843,1947,2311,2454,2785,3351
Total Number of Beneficiaries,Total Number of Beneficiaries,Total Number of Beneficiaries,Total Number of Beneficiaries,Total Number of Beneficiaries,799974,835099,802425,836962,863685,998015,999643,1101330,1188519,1280876
Total Number of Beneficiaries,Total Number of Beneficiaries,Scholarship and Other Financial Assistance,Scholarship and Other Financial Assistance,Scholarship and Other Financial Assistance,57866,47004,47863,49016,40692,72775,57566,60471,63346,46751
Total Number of Beneficiaries,Total Number of Beneficiaries,Scholarship and Other Financial Assistance,Other Scholarship Programs,Other Scholarship Programs,-,43344,-,15867,30850,71960,-,-,-,-
Total Number of Beneficiaries,Total Number of Beneficiaries,Partial Subsidy thru SUCs Enrollment,Partial Subsidy thru SUCs Enrollment,Partial Subsidy thru SUCs Enrollment,742108,744751,754562,772079,792143,853280,942077,1040859,1125173,1234125
ETEEAP,ETEEAP,Number of Graduates,Number of Graduates,Number of Graduates,404,501,656,1012,892,1814,919,1100,1351,-
