Project Title,Project Description,Implementing Agency,"Total Project Cost
 (in PhP M)",Funding Source,Sector,ICC-TB Dates,ICC-CC Dates,NEDA Board Dates,Implementation Period,"Regions/
 Provinces",Project Status,Status of Compliance with NEDA Board/ICC Conditions,Updates/Implementation Status
Road Improvement and Institutional Development Project (formerly Road Sector Institutional Development and Investment Program),"DPWH Proposal:

- Change in scope which involves the deletion of six sub-components under Institutional Capacity Development (ICD) and inclusion of the reconstruction/replacement of typhoon-damaged Macasoy Bridge along Dipolog-Oroquieta Road in Zamboanga del Norte; and
- Increase in cost by PhP798.705 million or 12.8 percent.

As approved by the NEDA Board in May 2011, the project was resubmitted by DPWH for ICC processing due to changes in the projectÕs scope and the increase in cost of the AP Component (from PhP4,499.408 Million to PhP4,551.500 Million or 1.158% increase) and the DED Component for Projects to be Implemented under Tranche 2 (PhP501.027 Million to PhP504.646 Million or 0.722% increase) arising from the results of the mission conducted by the ADB in February 2010.
 
 Tranch 1
 - Civil Works for Asset Preservation (AP) of 11 national roads located nationwide with a total length of about 340.245 km
 - Construction Supervision for Asset Preservation of 11 national road sections and Detailed Engineering Design of Dumaguete North Road with a total length of 85.238 km and 16.421 km of Butuan-Cagayan de Oro-Iligan Road, Agusan del Norte 
 - Detailed Engineering for AP of about 366 km of national roads located nationwide and Detailed Engineering for Road Rehabilitation/Improvement (RI) of about 482 km of national roads located nationwide to be implemented under Tranche 2
 - Institutional Capacity Development (ICD), Phase 1
 
 Tranch 2
 - Detailed Engineering of roads both for AP and RI components to be implemented under Tranche 3
 - Implementation of about 848 km priority roads for AP (366 km) and RH/RI (482 km)
 - ICD
 
 Tranch 3
 - Implementation of AP and RI of all roads covering about 1,200 km of priority roads nationwide
 - ICD",Department of Public Works and Highways,"6,241.07",ADB,Infrastructure,"> 15 Jul 2014 (change in scope, and increase in cost)
> 15 Dec 2010","> 05 Aug 2014 (change in scope, and increase in cost)
> 31 Mar 2011
> 08 Feb 2011",> 17 May 2011,2012-2015,Nationwide,For NEDA Board presentation of the ICC approval of the project's change in scope and increase in cost.,,"For NEDA Board presentation of the ICC approval of the project's change in scope and increase in cost.
 
 The loan agreement for the RIIDP was signed last 12 March 2012 and became effective 20 July 2012.
 
 As of Dec 2013, 5 contracts awardedÐtwo for ICD, to wit delivery and installation of ITfacilities; and delivery and installation of communication network; and 3 for civil works (1) Bauang-Baguio Rd; (2) Iloilo-Capiz Road; and and (3) Olongapo ÐBugallon Road. 
 
 The project management office has proposed reconfiguration of the project cost for ICC approval due to change in scope with cost overrun attributable to change of pavement design and extension of the ADB loan for 1 year. The DPWH Secretary instructed PMO to further review the cost increase of the Project with the aim of reducing such.
 
  There are five contracts awardedÐtwo for ICD: to wit (1) delivery and installation of IT facilities; and (2) delivery and installation of communication network; and three for civil works for to include (1) Bauang-Baguio Rd; (2) Iloilo-Capiz Road; and (3) Olongapo ÐBugallon Road. The project management office has proposed reconfiguration of the project cost for ICC approval due to change in scope with cost overrun attributable to change of pavement design and extension of the ADB loan for 1 year. The DPWH Secretary instructed the Project to further review the cost increase of the Project with the aim of reducing such. The contractor for Bauang-Baguio Road requested for the temporary suspension of work until the variation order is finalized and approved as a result of the As-Staked survey. UPMO facilitated processing of the suspension order and the approval of the As-Stakes plans and the cost for the new items of work to be used in the preparation of the variation order."
DPWH Bridge Construction Acceleration Project for Calamity-Stricken Areas Phase II,"DPWH Proposal approved during the 29 May 2014 NB: 
 Increase in cost by PhP170.92 million.
 
 - Involves the construction/ replacement of 66 temporary and weakened bridges with steel structures, covering an estimated total length of 4,845 lm;
  - Involves both the replacement of existing bridges in very bad condition and construction of new bridges where there are no existing structures;
 - Includes bridges with span lengths ranging from 35 lm to 60 lm, which locations were identified to be oftentimes hit by typhoons and other adverse weather phenomena.",Department of Public Works and Highways,"6,286.43",Austria,Infrastructure,> 03 Apr 2012,> 11 May 2012,"> 29 May 2014 (approval of change in cost)
 > 04 Sept 2012 (approval)
 > 30 May 2012",Forty-eight (48) months,"Regions - CAR, I, II, III, IV-A, IV-B, V, VI, VII, VIII, IX, X, XI, XII, Caraga, ARMM",For loan agreement signing subject to conclusion of the MOU between the Government of Austria and the Government of the Philippines on the construction of the bridges under the project.,"In compliance to the ICC-CC instruction last 21 January 2014 for DPWH to submit a report to the Office of the President on projects' developments, including change in project costs and validation of the economic viability of the projets, DPWH issued a Memorandum to the President dated 12 February 2014 confirming the viability of the project despite the increase in cost of PhP170.92 million (2.79% increase) as noted by the ICC.",For loan agreement signing subject to conclusion of the MOU between the Government of Austria and the Government of the Philippines on the construction of the bridges under the project.
"Arterial Road Bypass Project (Plaridel Bypass Road), Phase II","Specifically, it aims to:
 
 i) Enhance the economic and physical integration of Metro Manila and the provinces of Bulacan, Nueva Ecija, to include the Province of Aurora, and to certain extent, the Cagayan Valley road by improving the level of service (LOS) of the Pan-Philippine Highway;
 
 ii) Provide fast, cheap, safe, comfortable, and reliable means of transportation;
 
 iii) Improve the level of service (LOS) of the congested Plaridel section of PPH through the construction of a bypass road that would reduce travel time for about 50 minutes and generate fuel cost savings of about Php96.00/car; 
 
 iv) Encourage local and international tourism by improving the Northeastern Luzon route of the Central Luzon Òhub-and-spokeÓ tourism route.",Department of Public Works and Highways,"3,341.00",JICA,Infrastructure,"> 16 Feb 2012 (reconfirm changes to ICC approval)
 > 22 Jun 2011","> 16 Feb 2012 (reconfirm changes to ICC approval)
 > 28 Oct 2011",> 08 Nov 2011 (ad referendum),2012-2017,"Region III
 Bulacan","Delayed.
 
The Project is still in pre-construction stage. Procurement of civil works contractor is under implementation.","The NB confirmed ad referendum the ICC approval of the project, subject to DPWH submission of the Department of Budget and Management-certified budget strategy.
 
 14 February 2012 letter of Department of Budget and Management to DPWH confirms the funding strategy for the project.","Delayed.
 
The Project is still in pre-construction stage. Procurement of civil works contractor is under implementation.
 
The progress of the consultant for the procurement of civil works is on schedule based on revised schedule. . However, the overall delay in procurement of civil works has reached six months (target for the issuance of Notice-to-Proceed of the contractors was June 2013 and July 2013 for CP III and CP IV, respectively) due to high bids. 
 
 Financial status as of September 2013: Availment Rate = 8.43% 
 Disbursement Rate= 9.12% 
 Utilization rate= 0.93%"
Central Luzon Link Expressway (CLLex) Phase I,The project involves the construction of a 30.7 km four-lane expressway from Tarlac City to Cabanatuan City. The project will be implemented in two phases: (i) Tarlac City to Cabanatuan City section; and (ii) Cabanatuan City to San Jose City section.,Department of Public Works and Highways,"14,937.00",JICA,Infrastructure,"> 16 Feb 2012 (reconfirm changes to ICC approval) 
 > 15 Dec 2010","> 28 Oct 2012
> 16 Feb 2012 (reconfirm changes to ICC approval) 
> 28 Oct 2011",> 08 Nov 2011 (ad referendum),2012-2017,"Region III
 Tarlac and Nueva Ecija","Under Implementation.
 
Detailed engineering design and tendering assistance is on schedule at 33 percent accomplishment. Parcellary survey and inventory is to be conducted from March 2014 to March 2015 to identify the affected structures, properties and families.","The NB confirmed ad referendum the ICC approval of the project, subject to DPWH submission of the Department of Budget and Management-certified budget strategy.
 
ICC/NB requirements fully complied.
 
-The Department of Budget and Management, thru its letter dated 14 February 2012, confirmed/certified the budget strategy of the project and issued the FOA for the project.","Detailed engineering design and tendering assistance is on schedule at 33 percent accomplishment. Parcellary survey and inventory is to be conducted from March 2014 to March 2015 to identify the affected structures, properties and families.
 
 Financial status as of December 2013: Availment Rate = 2.16% 
 Disbursement Rate= 24.12%
 Utilization rate= 0.24%"
"Flood Risk Management Project in Cagayan River, Tagoloan River and Imus River","Specifically, each subproject aims to:
 
 a. Lower Cagayan River System
 - Minimize vulnerability of Tuguegarao City and the Municipality of Enrile to flood-related disasters;
 - Attain safety levels for a 25-year flood;
 - Increase the flood flow capacity of the river channel;
 - Control the flood runoff discharge from the river basin;
 - Protect areas from serious bank erosion and scouring; and 
 - Reduce damages from floods that would exceed the design capacity of the structural measures.
 
 b. Tagoloan River System
 - Minimize vulnerability of the Municipality of Tagoloan and the PHIVIDEC industrial/economic zone to flood damage;
 - Attain safety levels for a 25-year flood;
 - Reduce perennial inundation from storm rainfall and high tide as well as occasional river overflow;
 - Complete and improve the existing dike system built along the right bank of the river;
 - Improve the operations and maintenance (O&M) capacities of the local government units (LGUs); and
 - Reduce damages from floods that would exceed the design capacity of the structural measures.
 
 c. Imus River System
 - Minimize vulnerability of Imus, Cavite to flood-related disasters;
 - Reduce peak flow discharge along the river channel; and
 - Reduce river overflow and extensive flood inundation along the lower reaches of the river and its tributaries.",Department of Public Works and Highways,"5,369.06",JICA,Infrastructure,"> 16 Feb 2012 (changes to ICC approval)
 > 07 Sept 2011
 > 15 Dec 2010","> 16 Feb 2012 (changes to ICC approval)
 > 20 Sept 2011
 > 08 Feb 2011",> 08 Nov 2011 (ad referendum),2012-2017,"Regions - II (Cagayan), IV-A (Cavite), X (Misamis Oriental)","Under Implementation.

Procurement of Consulting Services for Construction Supervision, ROW acquisition (for Imus) are ongoing.","The NB confirmed ad referendum the ICC approval of the project, subject to DPWH submission of:
 (a) Provincial Development Council endorsement for the Imus subproject. - Complied
 (b) ECC for Cagayan subproject - Complied
 (c) ECC for Imus subproject - DPWH will forward to DENR its request for reconsideration for the release of the subproject's ECC. DPWH will also attach in its submission the approved MOA with the provincial government of Cavite, since release of the ECC is likewise requested by JICA.
 
Additionally, DENR requires DPWH to submit a Deed of Absolute Sale and Deed of Donation prior to releasing an ECC. So far, DPWH has not yet complied with these requirements since the Project is still in the process of procuring for Detailed Engineering Design (DED) services. DPWH will be able to submit the Deed of Absolute Sale and Deed of Donation after procurement of the DED is complete. DPWH will only be able to determine the actual size and scope of land/property (which will be reflected in the Deed of Absolute Sale and Deed of Donation) to be affected by the Project after the conduct of the DED.","Under Implementation..
 
Procurement of consultants still Under Implementation.. Detailed Eng'g. To be finished by Oct. 2014. Procurement for Contractor will be done in October 2014.

Specifically for Imus-Anabu retarding basin, the Consultant has started survey works except tagging. All field surveys and public consultations were already completed for the preparation of RAP. While FMC for Tuguegarao and Enrile in Cagayan and Tagoloan in Misamis Oriental have been established."
"Increase in Cost for Pinatubo Hazard Urgent Mitigation Project, Phase III",Involves (a) dredging and excavation of Porac-Gumain River; (b) diversion and channel training works along lower (downstream) Porac-Gumain in the municipality of Lubao; (c) raising of roads and bridges including the construction of new bridges; and (d) dredging of Pasac-Guagua and Dalan Bapor rivers.,Department of Public Works and Highways,"5,749.26",JICA,Infrastructure,"> 03 Jun 2013
>14 Nov 2011","> 05 Aug 2013
> 11 May 2012",> 29 May 2014,To be completed by April 2015,Region III,"Under implementation.

NB confirmed/noted the DPWH-requested project modifications.",NB confirmed/noted the DPWH-requested project modifications.,
JICA-Assisted Road Upgrading and Asset Preservation Project,"The project will involve upgrading/improvement, road asset preservation and preventive maintenance and institutional capacity development.",Department of Public Works and Highways,"34,156.62",JICA,Infrastructure,> 23 Mar 2010,> 13 Apr 2010,> 20 Dec 2010,2011-2020,#NAME?,"Under Implementation.
 
 The project is on schedule with overall weighted physical accomplishment of 7.44 percent against a target of 7.62 percent, with slight negative slippage of 0.18 percent as of December 2013.","ICC/NB requirements fully complied.
 
 Update:
 -For the Road Upgrading/Improvement Component, ECCs were issued for all four road sections, however, it is still being verified whether the ECCs remain in force in view of DENR DAO 03-30, which states that ECCs expire if the project is not implemented within 5 years from date of issuance.
 
 -For the Asset Preservation Component, CNCs were secured for all four road sections.
 
 -For the Preventive Maintenance Component, no ECC/CNC was secured for the three road sections.
 
 -At least six out of the eleven road sections covered by the project were verified to be supported by an RDC endorsement.","The project is on schedule with overall weighted physical accomplishment of 7.44 percent against a target of 7.62 percent, with slight negative slippage of 0.18 percent as of December 2013. 
 
 For the Road Upgrading/Improvement component, two of the nine contract packages are ongoing, namely the Sablayan-Sta. Cruz Road Section (CP IV) under the Mindoro West Coast Road subproject, and the Viga-Bagamanok Road Section (CP II/CP III-a) under the Catanduanes Circumferential Road subproject. 
 
 Meanwhile, for the Road Asset Preservation component, eight of the 22 civil works contracts due were already ongoing, all of which are under the 1st Year Annual Work Program of Preventive Maintenance outside LTPBME (HDM4-selected road sections). 
 
 The Institutional Capacity Development component, on the other hand, is progressing ahead of schedule at 88 percent actual accomplishment. All but two sub-components were completed, namely, ICD-1 (Installation of additional weighbridge stations including improved operation and strict enforcement of load limits) and ICD-6 (Provision of IRI Measurement of FWD Equipment)."
"Pasig-Marikina River Channel Improvement Project, Phase II","DPWH requested project modifications:
 - Additional works and design modification of river wall improvement works along the Presidential Security Group (PSG) Linear Park. Additional works and modifications are in consideration of PSGÕs security concerns;
 - Additional cost of PhP932.83 million;
 - Reallocation of loan proceeds amounting JP´234,379,617 from the Consulting Service and Contingency Components to the Civil Works Component.",Department of Public Works and Highways,"5,541.51",JICA,Infrastructure,"> 19 Feb 2013
 > 21 Nov 2012",> 19 Feb 2013,> 26 Jun 2013,2007-2013,NCR/ Pasig City and Marikina City,"Completed.

The DPWH shall continue to coordinate with concerned LGUs (Mandaluyong and Makati Cities) on the signing of MOU relative to the protection and preservation of the completed structures.

The project is 100% completed by end May 2013.","The NB confirmed ad referendum the ICC approval of the project subject to DPWH submission of:
 a) MMDA Council Endorsement - Complied (Endorsed by the RDC on 18 October 2011)
 b)Department of Budget and Management-certified budget strategy - Complied (14 February 2012 letter of Department of Budget and Management to DPWH confirms the funding strategy for the project)","Completed.
 
The DPWH shall continue to coordinate with concerned LGUs (Mandaluyong and Makati Cities) on the signing of MOU relative to the protection and preservation of the completed structures.
The project is 100% completed by end May 2013.
 
The remaining construction works at the Malaca–ang PSG Linear Park covered under Variation Orders 2 and 3 of Contract Package 1-A (CPA-A) were completed in 30 May 2013 as scheduled, while all works under Contract Package 1-B were 100 percent physically completed in June 2012.
 
 DPWH requests for additional scope and cost increase amounting to PhP932.83 million were approved by ICC-CC and confirmed by the NEDA Board on 19 February 2013 and 26 June 2013, respectively. On 28 June 2013, NEDA endorsed to DoF-IFG, the DPWH request for reallocation of loan proceeds for this project.
 
 Financial Status as of December 2013: 
 Availment Rate: 99.75%
 Disbursement Rate: 57.08%
 Utilization Rate: 99.75%"
"Pasig-Marikina River Channel Improvement Project, Phase III","- involves the construction and improvement of revetment, parapet wall and appuretenant drainage improvement works along the Pasig River, from Delpan Bridge up to the immediate vicinity of the Napindan Hydraulic Control Structure (NHCS). 
  -Non-infrastru",Department of Public Works and Highways,"7,545.16",JICA,Infrastructure,"> 16 Feb 2012 (reconfirm changes to ICC approval)
> 31 Jan 2012
> 07 Sept 2011","> 16 Feb 2012 (reconfirm changes to ICC approval)
 > 20 Sept 2011",> 08 Nov 2011 (ad referendum),2012-2016,NCR,"Under Implementation.
 
On schedule.
 
Contract for consultancy services awarded to CTI Consultants . Proj. consultants were engaged beginning 10 April 2013. Procurement of Contractor has just been completed as of March 2014. CP 1 was awarded to Toyo Construction Co. last 18 March 2014. CP 2 was also awarded last March 2014. Proposed work programs of Contractors are now being reviewed by Project Consultants.","The NB confirmed ad referendum the ICC approval of the project subject to DPWH submission of:
 a) MMDA Council Endorsement - Complied (Endorsed by the RDC on 18 October 2011)
 b)Department of Budget and Management-certified budget strategy - Complied (14 February 2012 letter of Department of Budget and Management to DPWH confirms the funding strategy for the project)","Under Implementation.
 
On schedule.
 
Contract for consultancy services awarded to CTI Consultants . Proj. consultants were engaged beginning 10 April 2013. Procurement of Contractor has just been completed as of March 2014. CP 1 was awarded to Toyo Construction Co. last 18 March 2014. CP 2 was also awarded last March 2014. Proposed work programs of Contractors are now being reviewed by Project Consultants.
 
 Financial Status as of December 2013: 
 Availment Rate: 14.42%
 Disbursement Rate: -% (no target disb.)
 Utilization Rate: 1.59%"
Proposed Change in Scope of the Post-Ondoy and Pepeng Short-Term Infrastructure Rehabilitation Project (POPSTIRP),"The project is composed of two components:
  -Rehabilitation of Flood Control Facilities. For the flood control, repair works consist of restoration of embankments, slope protectio, bank protection, and other drainage facilities; and
  -Rehabilitation of National Roads and Bridges. For the roads and bridges, repair and rehabilitation of worls consist of immediate restoration of cut road sections, clearing of landslides, asphalt overlay of damaged carriageways, restororation of damages bridge structures and approaches, and installation of road signs and markers",Department of Public Works and Highways,"6,479.00",JICA,Infrastructure,"> 19 Feb 2013
 > 21 Nov 2012",> 19 Feb 2013,> 26 Jun 2013,Within the loan closing date of September 2013,"NCR, CAR, I, II, III, IV-A and IV-B","Under Implementation.
 
 The loan for the project closed on 21 Sept 2013. The original scope of works was completed prior to loan closing but additional sub-projects were included due to savings. From the additional works, 9 contract packages (CPs) for roads and bridges and 15 CPs for flood control sub-projects were still ongoing at loan closing. Said works were shouldered by local funds.","The NEDA Board confirmed the ICC-CC's approval of the proposed change in the scope of the POPSTIRP, with the understanding that the DPWH will provide NEDA a copy of the Regional Development Council's endorsement of the additional roads and bridges subprojects and DPWH will submit details of the contract packages that were cancelled including the reason/s for its cancellation.
 
 DPWH has already submitted a copy of the Regional Development Council's endorsement of the additional roads and bridges subprojects on 19 April 2013 (RDC II) and 22 July 2013 (RDC III). 
 
 The Department, however, has yet to comply with the condition on the submission of details of the contract packages that were cancelled including the reason/s for their cancellation.","Under Implementation.
 
 The loan for the project closed on 21 Sept 2013. The original scope of works was completed prior to loan closing but additional sub-projects were included due to savings. From the additional works, 9 contract packages (CPs) for roads and bridges and 15 CPs for flood control sub-projects were still ongoing at loan closing. Said works were shouldered by local funds."
NLEX-SLEX Connector Road Project,"Involves the design, financing, construction, operation and maintenance of a 13.53-kilometer, elevated four (4)-lane (2 lanes per direction) expressway using mostly PNR ROW3 and the median of Quirino Avenue and Osmena Highway. The northern tip of the alignment will Connect with NLEX via the tail-end of NLEX Segment 104 at C-3 Road, while its southern tip will connect with Skyway Stage 1 at Sen. Gil Puyat Avenue (Buendia), Makati City. The other major components of the project are as follows:
 
 a. Construction of four (4) interchanges in C-3 Road, Espana, Quirino and Buendia;
 b. Installation of toll collection, traffic and communication systems capable of inter-operability with NLEX, Skyway and SLEX;
 c. Provision of traffic safety monitoring facilities; and
 d. Construction of administrative and control buildings, depot, and other structures necessary for toll operation and maintenance.",Department of Public Works and Highways,"25,555.99",Joint Venture,Infrastructure,"> 07 Nov 2012
> 03 Oct 2012",> 07 November 2012,"> 11 Sept 2013 (ad referendum approval of change in 18 January 2013 NEDA Board approval)
> 18 Jan 2013 (confirmation of ICC approval)
> 29 Nov 2012","2013-2016
 (implementation period)
 2017-2051 (concession/ operation period)",NCR,"Through its 22 August 2014 letter, DPWH provided NEDA a copy of DPWH Memorandum for the President requesting for re-aaproval of the NEDA Board to proceed with the project under the same terms and conditions as contained in the original approval.

The DPWH proposal is to be presented to the NEDA Board.","The amendment to the 18 January 2013 NEDA Board approval of the project was approved via ad referendum by the NEDA Board on 11 September 2013.
 
 The NEDA Board confirmed the ICC-CC's approval of the project with instructions to DOF to submit a brief on weighted average cost of capital.","Through its 22 August 2014 letter, DPWH provided NEDA a copy of DPWH Memorandum for the President requesting for re-aaproval of the NEDA Board to proceed with the project under the same terms and conditions as contained in the original approval.

Status from the PPP Center Website accessed on 4 September 2014:
 
 Approved as a Joint Venture Project under PD 1894"
Baler-Casiguran Road Improvement Project,"The project will complete the remaining 50.95 kilometers unpaved sections of the 116-kilometer Baler-Casiguran road. It involves the following: a) Construction of a two-lane PCC-paved road ( 50.95 km); b) Earthworks (cutting, filling, embanking); c) Construction of road drainage structures; d) Bridge construction (Aggregate length of about 3,135 meters); e) Land acquisition and compensation.",Department of Public Works and Highways,"1,664.20",Korea-EDCF,Infrastructure,> 31 Jan 2012,> 16 Feb 2012,> 22 Mar 2012,2012-2014,Region III - Aurora,"Awaiting the DPWH's response on the ICC Letter dated 01 September 2014 confirming the DPWH's withdrawal of the Project from the ICC Project Appraisal Monitor, following DPWH decision to use local funds for the project.","The NB confirmed the ICC approval of the project, subject to DPWH submission of the following:
 a. Updated cost breakdown estimates with total physical and price contingencies not more than 10% of total direct cost;
 b. ROWARAP, prior to project implementation;
 c. Department of Budget and Management-certified budget strategy.
 
 The DPWH submitted to OP-PMS its compliance to the above conditions on 02 May 2012.","DPWH in its 17 June 2014 letter conveyed to EDCF the Department's decision not to pursue Korean loan financing for the implementation of the Project and use local funds instead considering that the BCRIP has been substantially completed due to annual budget allocations.

The ICC in its letter dated 01 September 2014 instructed DPWH to issue a letter confirming the project's withdrawal from the IPAM."
Samar Pacific Coastal Road (Resubmission Due to Change in Cost and Scope of Works),"The project involves the improvement of the 27.75 km. unpaved section of the 109.30 km Samar Pacific Coastal Road, and the construction of the following three (3) bridges: a) Simora Bridge (140 lm); b) Jangtud Bridge (30 lm) and c) Pinaculan Bridge (50 lm).",Department of Public Works and Highways,"1,031.92",Korea-EDCF,Infrastructure,"> 03 Jun 2013 (change in scope)
 > 31 Jan 2012",> 16 Feb 2012,> 22 Mar 2012,2012-2015,Region VIII - Samar,"Project loan has been made effective on 17 January 2014.
 
As of date, DPWH is awaiting KEDCF's approval of the Request for Proposal (RfP) for consultancy services for the project's detailed engineering design (DED) and construction supervision (CS).","The NEDA Board confirmed the ICC approval of the project.
 
 ICC-CC approved the project ad referendum, with the understanding that DPWH will commit to resolve the remaining issues outlined in the 21 May 2012 PER.
 
 On the ICC requisite documents
 (i) Department of Budget and Management certified budget strategy
 (ii) Updated PIP/CIIP reflecting the revised cost;
 (iii) MMDA/RDC-NCR endorsement; 
 (iv) ECC;
 (v) Information on job creation;
 (vi) Decision matrix
 
 The updated cost of the project is reflected in the Working Draft PIP as of May 2012.","Project loan has been made effective on 17 January 2014.
 
As of date, DPWH is awaiting KEDCF's approval of the Request for Proposal (RfP) for consultancy services for the project's detailed engineering design (DED) and construction supervision (CS)."
5 Billion Flood Control Projects,,Department of Public Works and Highways,"5,000.00",Local Financing,Infrastructure,> 15 Aug 2012,> 15 Aug 2012,> 04 Sept 2012,start 2012,"NCR, Bulacan",Under Implementation.,Approved by the NEDA Board with no conditions.,"Under Implementation.

In a letter to NEDA dated 7 February 2014, DPWH submitted for information the status of the P5.0 Billion Priority Flood Control Projects included under the Master Plan for Flood Management in Metro Manila and Surrounding Areas.
 
 DPWH provided a matrix with list of the projects containing detailed information on fund releases and status of project implementation as of December 25, 2013."
Albay West Coast Road Project,"- involves the full construction of 32km of road;
  - raising of sections located in the lower areas to prevent flooding; 
  - cutting of slope of sections in the mountainous areas to reduce the steep grades;
  - repairing/replacement of 5 bridges with an",Department of Public Works and Highways,"1,142.48",Local Financing,Infrastructure,"> 07 Nov 2012
> 10 Oct 2011",> 07 Nov 2012,> 29 Nov 2012,2014-2016,Region V - Albay,"Under Implementation.
 
 The DPWH, through letter dated 23 July 2013, informed DOF that the former has allocated PhP136.432 M and PhP116.554 M for FYs 2012 and 2013, respectively, under the Department's budget. DPWH confirmed that the Department will no longer opt to obtain Korea EDCF financing for the project.","The NEDA Board confirmed the ICC-CC's approval of the project with the following provision:
 a) There is indeed a 70%-80% grant element under the Korean EDC loan, as reported by the DOF Secretary; and
 b) DPWH to revise the rationale of the project to clearly link it to the desired outcomes of the project.
 
 DPWH has yet to submit a revised rationale of the project.","The DPWH, through letter dated 23 July 2013, informed DOF that the former has allocated PhP136.432 M and PhP116.554 M for FYs 2012 and 2013, respectively, under the Department's budget. DPWH confirmed that the Department will no longer opt to obtain Korea EDCF financing for the project."
Laoag City Bypass Link Road Project,"Construction of a Portland Cement Concrete Pavement (PCCP) two-lane road with ROW of 30-meters. It has two phases:
 
 Phase 1 Ð construction of a 3.11 kilometer PCCP road including a 735.0 lineal meter Steel Girder Type Bridge that crosses the Laoag-Padsan River, and end at the Gomburza Road intersection. 
 Phase 2 Ð involves construction of a 4.87 kilometer PCCP road (Alternative 2).",Department of Public Works and Highways,"1,188.94",Local Financing,Infrastructure,> 27 Nov 2013,> 16 Dec 2013,> 29 May 2014,Expected to be completed by the mid-2015,Region I (Ilocos Norte),"For implementation.

Per 5 September 2014 telecon with NRO I, DPWH Region 1 has submitted the design for the bridge component of the project to DPWH Central Office.","The implementation of the project's phase 2 will be in
consideration of the recommendations from the Local Government Unit and the
Regional Development Council to adopt Alternative 2, with the understanding
that the type of bridge to be constructed will depend on the results of the soil test
to be conducted in the project area.","Per 5 September 2014 telecon with NRO I, DPWH Region 1 has submitted the design for the bridge component of the project to DPWH Central Office."
Daang Hari SLEX Link Road Project,"The project involves the construction of a four-kilometer, four-lane Portland Cement Concrete Pavement (PCCP) toll road connecting Daang Hari in Bacoor, Cavite to SLEC near the Susana Heights Interchange, and passing through the New Bilibid Prison (NBP) Reservation.",Department of Public Works and Highways,"1,956.04",PPP-BTO,Infrastructure,"> 09 Jun 2011
 > 27 Apr 2011","> 29 Nov 2011 (changes to ICC approval)
 > 17 Jun 2011
 > 29 Apr 2011","> 18 Jul 2011 (ad referendum)
 > 17 May 2011",Concession Period: 30 years exclusive of 16 month construction period,Region IV-A,"Under Implementation..
 
 Status as of 25 June 2014 from PPP Center website :
 Overall Accomplishment: 41.81% complete.",The NB confirmed ad referendum the ICC approval of the project.,"Status as of 25 June 2014 from PPP Center website :
 Overall Accomplishment: 41.81% complete."
Cavite-Laguna Expressway (CALAX) Project,"Involves the financing, design and construction of a new 47.02 km, four (4) lane expressway from the end of CAVITEX in Kawit, Cavite to Mamplasan Interchange of SLEX in Bi–an, Laguna.",Department of Public Works and Highways,"35,425.84",Public-Private Partnership (PPP),Infrastructure,"> 05 Aug 2013
> 18 Jul 2013 (ICC TB noted that DPWH will implement the project under pure PPP scheme)
> 22 Nov 2012
> 12 Jul 2012
> 11 May 2012","> 05 Aug 2013 (ICC-CC approved the change in the mode of financing of the project to pure PPP)
> 22 Nov 2012
> 12 Jul 2012
> 11 May 2012","> 21 Nov 2013
> 26 Jun 2013 (confirmation of sole PPP financing)
> 18 Jan 2013 (confirmation of ICC approval)
> 29 Nov 2012 (deferred)",2013-2017,Region IV-A (Cavite - Laguna),"PPP Center Website: 4 September 2014:
 
Ongoing evaluation of bids","05 August 2013: ICC-CC approved the change in the mode of financing of the project to pure PPP.
 
 The NEDA Board, during its 26 June 2013 meeting, approved the proposed amendment from mixed ODA and PPP, to pure PPP financing, with the condition that existing specifications and requirements for the project are maintained. However, if the change in financing mode would result in an increase in project cost, the project would have to be resubmitted for ICC/NEDA Board re-evaluation and approval. 
 
 On the other hand, if it results in a reduction in cost, then the project is also deemed approved.
 
 The NEDA Board confirmed the ICC-CC's approval of the project with instructions to DOF to submit details of the project's financial internal rate of return.
 
 DPWH, in its 18 January 2013 presentation to the NEDA Board, provided information on the results of their review on the project cost, benefits, savings and comparative volume capacity ratio of existing roads. In its 29 November 2012 meeting, Department of Budget and Management was also instructed to review the legal requirements for the conversion of the irrigated rice lands. Moreover, in its 18 January 2013 meeting, the NEDA Board instructed the DOF to submit details of the project's financial internal rate of return.","PPP Center Website accessed on 4 September 2014:
 
Ongoing evaluation of bids"
Laguna Lakeshore Expressway Ð Dike Project,"Construction of a 47-kilometer (km), six-lane expressway-cum-flood control dike, on a mainly off-shore alignment about 500 meters from the western shoreline of the lake, including bridges, interchanges, access roads, pumping stations and floodgates. Rawland Reclamation and Horizontal Development (internal roads, drainage, water and related facilities) of approximately 700 hectares of foreshore and offshore areas in Laguna Lake, about 450 meters wide and 15.6 kms. long, along the western edge of the expressway-dike and separated from the shoreline by a waterway of about 100-150 meters, from Taguig to Muntinlupa.",Department of Public Works and Highways,"122,811.12",Public-Private Partnership (PPP),Infrastructure,N/A,> 21 April 2014,">19 Jun 2014
> 29 May 2014",Over a concession period of thirty-seven (37) years [seven (7) years for design and construction and thirty (30) years for operation and maintenance],Region IV-A,"Status from the PPP Center Website accessed on 5 September 2014:  

On-going pre-qualification of bidders.","The NEDA Board, in its 19 June 2014 meeting, approved the project, including DPWH to conduct a market sounding to ensure that project is appropriately configured.","Status from the PPP Center Website accessed on 5 September 2014:  

On-going pre-qualification of bidders."
