particulars,functions_programs_projects_1,functions_programs_projects_2,functions_programs_projects_3,code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Rehabilitation of Penafrancia Multi-Purpose Hall, Viga",300-4h,300000,-,-,300000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Improvement of Tibo Brgy. Multi-Purpose Hall, Panganiban",300-4i,200000,-,-,200000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Repair or Rehabilitation of Babaguan Multi-Purpose Hall, Phase I, Pang.",300-4j,300000,-,-,300000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Completion of Bagumbayan Multi-Purpose Hall, Pang.",300-4k,400000,-,-,400000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Multi-Purpose Hall, Poblacion, Caramoran",300-4L,500000,500000,-,500000,500000
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Improvement of Brgy. Plaza, Hawan Ilaya, Virac",300-4m,300000,300000,-,300000,300000
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Rehabilitation of Concepcion Multi-Purpose Hall, Phase II, Vrc",300-4v,100000,100000,-,100000,100000
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Batag Multi-Purpose Bldg., Virac",300-4p,300000,-,-,300000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Puraran Multi-Purpose Hall, Phase I, Baras",300-4q,300000,-,-,300000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Construction of Dororian Multi-Purpose Hall, Gigmoto",300-4r,500000,500000,160,499840,499840
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),"Repair of Magnesia del Norte Multi-Purpose Hall, Virac",300-4s,300000,300000,-,300000,300000
April 20 Percent Economic Development Fund 2013,Social Sector,Other Social Services (with counterpart),Rehabilitation Of Virac Crisis Center (shelter for abused women and Children),300-4t,500000,500000,-,500000,500000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,Rehabilitation of BatoPananaogan BR,300-5,500000,500000,9316.5,490683.5,490683.5
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,Concreting of Bato-Oguis-Aroyao Road,300-6,800000,800000,5693.34,794306.66,794306.66
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Upgrading of Calatagan Tibang PR, Vrc",300-7,300000,300000,-,300000,300000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of F. Tacorda St., Palnab del Sur BR",300-8,200000,200000,-,200000,200000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Road Widening, Calabnigan BR, Virac",300-9,400000,-,-,400000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Sogod-Simamla BR, Virac",300-10,800000,800000,793254.4,6745.6,6745.6
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Talisoy BR, Virac",300-11,400000,400000,-,400000,400000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,Rehabilitation or Regravelling of Sogod Tibgao BR Sto.Nino-Mislagan (Intermittent Section),300-53,1000000,1000000,4693,995307,995307
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,Concreting of Hawan Grande to F. Tacorda Vill. BR,300-13,300000,300000,-,300000,300000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,Concreting of Burgos St. Calatagan Proper BR,300-14,500000,500000,-,500000,500000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Buenavista BR, Phase II, Virac",300-15,200000,200000,-,200000,200000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of JMA Poniton BR, Virac",300-16,200000,200000,-,200000,200000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Palnab del Norte BR, Virac",300-17,200000,200000,-,200000,200000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Penafrancia St., Cavinitan BR, Virac",300-18,500000,500000,3000,497000,497000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Rehabilitation of Dugui Too-Pagsangahan Dugui Wala San Isidro, Phase II (widening and slope protection)",300-19,1000000,1000000,37687.37,962312.63,962312.63
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Lictin to Yocti PR, San Andres",300-20,400000,-,-,400000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Cabihian BR, Virac",300-21,200000,200000,-,200000,200000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Comagaycay BR, Phase II, SA",300-22,200000,200000,-,200000,200000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Agojo BR going to Fish Sanctuary, SA",300-23,400000,-,-,400000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of San Juan, District I BR, SM",300-24,500000,500000,8208.54,491791.46,491791.46
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Palta-Palawig PR, SA",300-25,400000,400000,-,400000,400000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting Of Manambrag PR, SA",300-26,400000,-,-,400000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of San Roque-Porot BR, Pandan",300-27,300000,-,-,300000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Regravelling of Tariwara to Sitio Layog Bunga, Pandan",300-29,500000,400000,-,500000,400000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Regravelling of Hinipaan-Sabang FTMR, Bagamanoc",300-30,500000,500000,486218.91,13781.09,13781.09
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Regravelling of San Rafael-Salvacion PR, Bagamanoc",300-31,500000,500000,485787.9,14212.1,14212.1
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Poblacion Rd, Viga",300-32,400000,400000,1500,398500,398500
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Talahid PR, San Pedro, Panganiban",300-33,1300000,1300000,13369.79,1286630.21,1286630.21
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,-,-,-,-,-,-,-
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Rehabilitation of Porot-San Isidro (Langob) PR, Pandan",300-34,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,Regravelling of JMA Poniton-Tubaon-Hicming FMR,300-35,1000000,1000000,27218.16,972781.84,972781.84
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Regravelling of Salvacion-Cabuyoan Rd, Panganiban",300-36,4500000,4500000,4405182.64,94817.36,94817.36
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Regravelling of District I-District III Road, San Miguel",300-37,1000000,1000000,11816.5,988183.5,988183.5
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,Regravelling of Pajo Baguio-F. Tacorda Vill. BR,300-38,1000000,1000000,32978.72,967021.28,967021.28
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Road Opening, Hiyop-Sitio Pinaglabawan, Baldoc, Pandan",300-39,1500000,1500000,1467353.01,32646.99,32646.99
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Rehab or Regravelling, Obi FMR, Caramoran",300-40,3500000,3500000,19824.47,3480175.53,3480175.53
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Rehabilitation of Antipolo FMR, Bagamanoc",300-41,2250000,2250000,2172692.63,77307.37,77307.37
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Concreting of Gasulo St., Cabcab BR, SA",300-54,500000,500000,-,500000,500000
April 20 Percent Economic Development Fund 2013,Social Sector,Local Roads,"Rehabilitation or Implementation of Paniquihan to Putsan Danao FMR, Baras",300-43,3000000,3000000,2933077.59,66922.41,66922.41
April 20 Percent Economic Development Fund 2013,Social Sector,Spillways and Culverts,"Construction of Cagraray Box Culvert, Bato",300-44,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Spillways and Culverts,"Construction of Iyao Box Culvert and Approach, Caramoran",300-45,1000000,1000000,17088.12,982911.88,982911.88
April 20 Percent Economic Development Fund 2013,Social Sector,Spillways and Culverts,"Construction of Box Culvert, Alinawan to Mculiw, Pang.",300-47,500000,500000,477986.23,22013.77,22013.77
April 20 Percent Economic Development Fund 2013,Social Sector,Spillways and Culverts,"Construction of Sitio Canluba Spillway, Rizal, Viga ",300-48,1000000,-,-,1000000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Agricultural Services,Small Water Impounding Project (countrerpart),300-49a,2000000,-,-,2000000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Agricultural Services,"Rehabilitation of Tramline, Sipi, Bato",200-49b,1000000,-,-,1000000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Agricultural Services,Purchase and Counterpart of Farm Equipment,300-49c,1000000,-,-,1000000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Agricultural Services,"Rehabilitation of Simamla Breeding Station, Virac",300-49d,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Others,"Improvement of Luyang Cave, San Andres",300-50a,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Others,"Improvement of Maribina Falls, Bato",300-50b,500000,-,-,500000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Others,Expansion of PEO Heavy Equipt Garage Bldg and other Fac.,300-50c,5000000,-,-,5000000,-
April 20 Percent Economic Development Fund 2013,Social Sector,Others,Debt Amortization,300-50d,25773637,6443709.25,3985734.2,21787902.8,2457975.05
April 20 Percent Economic Development Fund 2013,Environment Sector,Environment Sector,Urban Greening Project,300-51a,500000,250000,69946,430054,180054
April 20 Percent Economic Development Fund 2013,Environment Sector,Environment Sector,Establishment of Model Mats. Recovery Facility,300-51b,200000,100000,12078,187922,87922
April 20 Percent Economic Development Fund 2013,Environment Sector,Erosion and Flood Control,"Construction of Wagdas Drainage System, SA",300-52a,1000000,-,-,1000000,-
April 20 Percent Economic Development Fund 2013,Environment Sector,Erosion and Flood Control,Construction of SIV-Palnab del Sur Drainage System,300-52b,500000,500000,4300,495700,495700
April 20 Percent Economic Development Fund 2013,Environment Sector,Erosion and Flood Control,Construction of District III Slope Protection,300-52d,1300000,1300000,-,1300000,1300000
April 20 Percent Economic Development Fund 2013,Environment Sector,Erosion and Flood Control,"Construction of Mabini River Control, Caramoran",300-52c,1000000,1000000,8079.88,991920.12,991920.12
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"KALAHI CIDDS Counterpart- Rehabilitation of San Roque FMR, Viga",8919-300-3a,84849.53,84849.53,84849.53,-,-
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"KALAHI CIDDS Counterpart- Construction of Mabini River Control, Viga",300-3b,22710,22710,22710,-,-
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"KALAHI CIDDS Counterpart- Construction of Magsaysay Day Care Center, Viga",300-3c,22828,22828,22828,-,-
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"KALAHI CIDDS Counterpart- Construction of Quirino Day Care Center, Viga",300-3d,22988,22988,22988,-,-
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"KALAHI CIDDS Counterpart- Construction of Tinago Sea Wall, Viga",300-3e,63047,63047,63047,-,-
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"KALAHI CIDDS Counterpart- Construction of Batohonan River Control, Viga",300-3f,53863.94,53863.94,53863.94,-,-
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"Cabigian Water System, Phase II, Virac",300-55,300000,300000,-,300000,300000
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"Upgrading of Roads and Bridges, Provincewide",300-56,2000000,2000000,-,2000000,2000000
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"Rehabilitation of Banaga Bridge Approach, Bato",300-57,300000,300000,-,300000,300000
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"Equity PBGS, Provincewide",300-58,175000,175000,-,175000,175000
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"Youth Center Mall, Phase VI, Virac",300-59,100000,100000,-,100000,100000
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"Purchase of Hospital Beds, Virac",300-60,500000,500000,-,500000,500000
April 20 Percent Economic Development Fund 2013,Environment Sector,From CY 2012 Savings,"Concreting of Parongpong BR, Caramoran",300-61,400000,400000,-,400000,400000
April 20 Percent Economic Development Fund 2013,Total - April 2013,Total - April 2013,Total - April 2013,-,95245643.47,47615715.72,17764532.37,77481111.1,29851183.35
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Upgrading of Health Facilities,"Renovation of Technical Section, PHO Compd (Phase II)",8919-300-1b,5000,5000,-,5000,5000
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Water System,"Construction of District I Water Tank, San Miguel (Counterpart Fnd)",300-3a,20084.08,20084.08,2000,18084.08,18084.08
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Improvement of Porot Brgy Plaza, Pandan (Counterpart Fund)",300-4a,129500,129500,126540.75,2959.25,2959.25
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Completion of Guinobatan Evacuation Center, Bato (CF)",300-4b,500,500,-,500,500
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Completion of Taopon Multi-Purpose Hall, Panganiban (CF)",300-4c,118851.42,118851.42,-,118851.42,118851.42
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Bagumbayan Multi-Purpose Hall (Phase III), Panganiban (CF)",300-4d,7993.19,7993.19,1160,6833.19,6833.19
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Rehabilitation or Conversion of Bagsakan Center to convert to Day Care Center, Concepcion, Virac",300-4g,7086.99,7086.99,2000,5086.99,5086.99
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Completion of Valencia Public Duplex Toilet at Purok 1 and 4, Virac",300-4h,197086.9,197086.9,-,197086.9,197086.9
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Rehabilitation of Barangay Plaza, Palta, Virac (CF)",300-4L,1000,1000,1000,-,-
April 20 Percent Economic Development Fund 2012 Continuing,Social Sector,Others,"Rehabilitation of Cabcab Brgy Plaza, San Andres",300-4q,297399.55,297399.55,288390.4,9009.15,9009.15
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Construction of Taopon - Tamahoyan FTMR, Pang.",300-5,2000,2000,-,2000,2000
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Sipi Road Opening, Bato",300-7,198654.02,198654.02,191402.93,7251.09,7251.09
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Rehabilitation of Sta. Elena Patagan FTMR, San Mig.",300-9,25000,25000,-,25000,25000
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,Concreting of SIV to Palnab del Sur BR (Phase II),300-11,489369.05,489369.05,480779.4,8589.65,8589.65
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of San Juan to District 2 BR, San Miguel",300-12,18343.46,18343.46,4190,14153.46,14153.46
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Oguis - Tilis Road, Bato",300-13,7389.35,7389.35,2000,5389.35,5389.35
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Comagaycay Rd, SA",300-14,7954.6,7954.6,2080,5874.6,5874.6
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Pagsangahan BR, San Miguel",300-15,9734.66,9734.66,2000,7734.66,7734.66
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of BR P. Arcilla St., Rawis, Vrc",300-16,1500,1500,-,1500,1500
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of BR, JMA Poniton, Vrc",300-17,197029.35,197029.35,192494.6,4534.75,4534.75
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of BR, Sogod Simamla, Vrc",300-18,295462.66,295462.66,289928,5534.66,5534.66
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of BR, Gogon Centro, Vrc",300-19,479291.46,479291.46,477279.4,2012.06,2012.06
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Upgrading of BR, Palnab del Sur (Sabang), Vrc",300-20,6010.64,6010.64,-,6010.64,6010.64
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Ibong Sapa Pathway, Vrc",300-21,77344.88,77344.88,75943,1401.88,1401.88
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Rehabilitation of Batalay PR, Bato",300-22,495560.22,495560.22,482227.62,13332.6,13332.6
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Rehabilitation of Salvacion PR, Bagamanoc",300-23,1000,1000,-,1000,1000
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Pajo Baguio PR, Vrc",300-24,387719.97,387719.97,386713.9,1006.07,1006.07
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Pajo San Isidro PR, Vrc",300-25,385219.97,385219.97,384213.9,1006.07,1006.07
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Antipolo del Norte PR, Vrc",300-26,394965.12,394965.12,384213.9,10751.22,10751.22
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Antipolo del Sur PR, Vrc",300-27,391219.97,391219.97,387717.97,3502,3502
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Igang PR, Vrc",300-29g,20558.38,20558.38,3000,17558.38,17558.38
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Concreting of Talisoy PR, Vrc",300-29h,391520.97,391520.97,386713.9,4807.07,4807.07
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Upgrading of Roads and Bridges, Provincewide",300-29k,646482.46,646482.46,324474,322008.46,322008.46
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Rehabilitation of Bonifacio St., Sta. Teresa, Bagamanoc",300-29n,2000,2000,2000,-,-
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Construction and Rehabilitation of Roads and Local Roads,"Rehabilitation of Datag-Maui FTMR, Caramoran",300-29m,494552.61,494552.61,4000,490552.61,490552.61
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,"Bridges, Spillways & Culverts","Rehabilitation of Batalay Bridge Approach, Bato",300-30c,3666.82,3666.82,2000,1666.82,1666.82
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Erosion and Flood Control Projects,"Construction of Sto Nino-Bliss Drainage System, Virac",300-28j,4000,4000,4000,-,-
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Others,Rehabilitation of Virac Fountain (Historical Landmark),300-34,333,333,333,-,-
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Others,"Completion of Tramline-Access Transport Fac. for Farmers, Bato",300-29b,989367,989367,965291,24076,24076
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Others,"Construction of Provincial Multi-Purpose Bldg. (PAFC), Phase VI",300-29d,20172.04,20172.04,1000,19172.04,19172.04
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Others,Sustainable Environment Program - Improvement of Materials Recovery Facility (MRF),300-2.9,33259,33259,-,33259,33259
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Others,Sustainable Environment Program - Establishment of Community Nurseries,300-0.29,12020.42,12020.42,-,12020.42,12020.42
April 20 Percent Economic Development Fund 2012 Continuing,Economic Sector,Others,Environmental Sanitation Program,300-29q,32465,32465,-,32465,32465
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,"Embankment of Passenger Terminal Site, Viga (CF)",8919-300-31a,23894.77,23894.77,2120,21774.77,21774.77
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,"Construction of PanganibanTerminal, Phase II (Counterpart)",300-31b,500000,500000,492156.48,7843.52,7843.52
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Construction of Youth Center Mall (Phase IV),300-32,1500000,1500000,-,1500000,1500000
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Augmentation from 2011 Contg. - Farm Mechanization (15% Equity),300-36,73000,73000,-,73000,73000
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Augmentation from 2011 Contg. - Construction Mats. for Repair and Maint. of Various Govt Fac.,300-37,633957.35,633957.35,556779,77178.35,77178.35
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Augmentation from 2011 Contg. - Freshwater Mineral Resources Mgt and Regulation,300-16a,80000,80000,-,80000,80000
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Augmentation from 2011 Contg. - Establishing Of Provincial Carbon Sequestration Project (Forest Park),300-16b,18487,18487,-,18487,18487
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Augmentation from 2011 Contg. - Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),300-17a,9252.75,9252.75,-,9252.75,9252.75
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,"Augmentation from 2011 Contg. - Construction of Porot Stage (Kiosk), Pandan",300-21a,245043.7,245043.7,238909.76,6133.94,6133.94
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Augmentation from 2011 Contg. - Transformer - Capitol,300-30,240000,240000,-,240000,240000
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Augmentation from 2011 Contg. - Provincial Counterpart Fund for Health,300-34a,20408.75,20408.75,-,20408.75,20408.75
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Other Social Health Programs - Social Health Program,4919-200-2,16675,16675,-,16675,16675
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Other Social Health Programs - PIPH AOP 2010,300-6,20855,20855,-,20855,20855
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Provincial Capitol Compound Offices - Improvement of PPDO,8919-300-26a,6868.79,6868.79,-,6868.79,6868.79
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Provincial Capitol Compound Offices - Establishing Of Provincial Info. Tech Office,300-81,8693,8693,-,8693,8693
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Establishing of Social Amelioration Center - Establishing Of Productivity Enhancement Center,300-75,39176.48,39176.48,-,39176.48,39176.48
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Other Environmental Mgt. Programs and Projs. - Formulation of the Provincial Solid Waste Mgt. Plan,300-18a,5100,5100,-,5100,5100
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Other Environmental Mgt. Programs and Projs. - Advocacy on RA 9003,300-19a,7740,7740,-,7740,7740
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Tilapia Hatchery,8911-200-2c,3100,3100,-,3100,3100
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Purchase of Post Harvest Facilities,8919-300-92p,33660,33660,-,33660,33660
April 20 Percent Economic Development Fund 2012 Continuing,General Public Sector,General Public Sector,Provincial Housing Project,300-94b,793080.5,793080.5,100932.88,692147.62,692147.62
April 20 Percent Economic Development Fund 2012 Continuing,Total - April 2012 Continuing,Total - April 2012 Continuing,Total - April 2012 Continuing,-,11584662.3,11584662.3,7247985.79,4336676.51,4336676.51
May 20 Percent Economic Development Fund 2013,Social Sector,Health and Sanitation,Environmental Sanitation Project,8919-300-1,300000,-,-,300000,-
May 20 Percent Economic Development Fund 2013,Social Sector,Water System,"KALAHI CIDDS Counterpart (Construction of Water System), Gig.",300-2,500000,-,-,500000,-
