psgc_brgy,own_house_and_lot_or_owner_like_possession_of_house_and_lot,rented_house_or_room_including_lot,own_house_but_rented_lot,own_house_rent_free_ lot_with_consent_of_owner,own_house_rent_free_lot_without_consent_of_owner,rent_free_house_and_lot_with_consent_of_owner,rent_free_house_and_lot_without_consent_of_owner
72207028,32,2,0,49,0,0,0
72207029,172,1,0,32,2,1,0
72207030,183,7,3,54,8,17,1
72208001,1,0,0,1,0,0,0
72208002,100,37,10,211,3,35,2
72208003,219,34,21,330,17,50,5
72208004,1,0,0,0,0,0,0
72208005,65,0,1,321,6,18,3
72208006,368,207,58,484,20,70,2
72208007,39,2,3,107,0,2,0
72208008,33,0,0,50,1,4,0
72208009,19,12,2,162,2,29,0
72208010,58,0,1,139,2,6,0
72208011,67,6,5,72,1,10,1
72208012,21,15,13,180,5,18,0
72208013,31,0,0,56,2,3,0
72208014,146,2,1,230,2,17,1
72208015,49,1,0,75,2,4,0
72208016,27,1,3,155,3,7,1
72208017,1,0,0,2,0,0,0
72208018,45,0,1,152,1,6,0
72208019,53,1,0,175,3,4,0
72208021,215,21,37,465,12,29,1
72208022,449,140,61,358,6,53,0
72208023,3,0,0,13,0,0,0
72208024,73,2,0,134,2,14,0
72208026,73,3,0,112,0,5,1
72208027,136,72,20,514,3,67,2
72208028,0,2,3,6,0,2,0
72209001,411,0,3,117,1,6,0
72209002,142,1,4,197,1,12,0
72209003,102,8,182,236,14,10,0
72209004,57,10,17,113,3,4,0
72209005,75,2,71,397,2,13,0
72209006,317,23,126,175,5,25,1
72209007,231,6,28,201,0,23,0
72209008,7,12,336,39,1,9,0
72209009,110,4,131,150,4,12,2
72209010,244,6,28,111,1,2,0
72209011,80,3,32,77,2,5,0
72209012,304,1,3,111,2,2,0
72209013,299,2,21,217,9,28,0
72209014,80,6,9,152,2,14,0
72209016,217,1,3,108,3,22,0
72209017,169,3,5,123,5,27,0
72209018,226,27,413,259,8,41,0
72209019,193,2,5,74,1,7,0
72209020,175,2,118,406,12,20,1
72209021,336,14,42,197,9,13,0
72209022,103,13,97,62,1,26,0
72209023,154,5,119,431,1,16,0
72209024,242,1,2,74,8,5,0
72209025,232,42,250,167,0,14,0
72209026,165,28,63,163,14,52,3
72210001,99,1,0,209,2,1,0
72210002,81,0,0,66,0,1,0
72210003,149,4,34,202,1,1,0
72210004,223,0,32,109,7,4,2
72210005,103,0,0,132,5,1,0
72210006,58,0,0,106,0,1,0
72210007,156,0,0,92,0,1,0
72210008,70,4,5,116,11,10,0
72210009,126,2,11,83,1,2,0
72210010,135,3,0,97,2,0,0
72210011,156,3,7,128,6,5,1
72210012,186,5,2,101,5,2,0
72210013,133,6,4,222,28,15,0
72210014,86,1,0,59,2,4,0
72210015,284,3,47,352,5,7,0
72210016,110,5,5,107,2,15,0
72210017,91,1,3,96,0,3,0
72210018,77,0,14,91,1,1,0
72210020,201,2,4,116,0,1,0
72210021,28,4,34,67,1,0,0
72210022,81,0,4,24,0,0,0
72210023,57,1,11,93,0,2,0
72210024,103,1,1,79,1,0,0
72210025,158,1,4,169,4,4,1
72210026,116,1,2,81,0,0,0
72210027,38,7,30,106,4,14,0
72210028,130,0,6,224,1,2,0
72210029,81,1,0,149,2,0,0
72210030,238,1,5,171,0,8,0
72210031,57,0,2,61,0,4,0
72210032,95,0,1,90,2,0,0
72210034,87,0,26,107,0,0,0
72210035,106,0,3,63,1,0,0
72210036,158,0,0,42,0,5,0
72210037,113,1,1,164,1,1,0
72210038,42,5,18,139,25,28,0
72210039,88,1,5,142,10,1,0
72210040,29,0,4,120,14,13,0
72210041,134,0,0,54,2,7,0
72210042,154,2,2,102,0,1,0
72210043,134,2,4,103,2,2,0
72210044,141,0,0,139,0,1,0
72211001,124,10,2,111,5,14,1
72211002,91,1,18,128,1,5,0
72211003,38,0,10,62,0,2,0
72211004,270,1,3,111,7,11,2
72211005,153,1,22,232,4,19,0
72211006,120,10,52,121,22,11,0
72211007,0,0,0,3,0,0,0
72211008,520,10,31,177,8,17,0
72211009,309,10,2,184,9,17,0
72211010,238,8,12,129,3,11,0
72211011,612,92,141,172,24,34,2
72211012,265,3,12,115,1,19,0
72211013,288,7,10,156,1,7,0
72211014,68,17,4,47,1,7,0
72211015,310,9,4,139,2,16,0
72211016,0,0,0,1,0,0,0
72211017,100,4,15,135,5,7,0
72211018,136,2,5,35,1,6,0
72211019,514,16,38,188,18,28,0
72211020,270,2,3,74,1,5,0
72211021,58,12,15,119,9,10,0
72211022,325,14,28,115,5,11,1
72211023,71,50,79,37,3,11,2
72211024,1,0,3,17,2,3,0
72211025,69,16,6,28,2,4,0
72211026,118,24,18,36,3,10,0
72211027,67,0,5,88,0,1,0
72211028,223,23,58,193,5,13,0
72211029,53,11,12,21,2,4,0
72212001,72,3,6,20,1,9,0
72212002,390,4,9,63,1,24,0
72212003,145,2,0,24,4,18,2
72212004,172,1,1,34,8,25,3
72212005,415,16,14,74,9,54,0
72212006,137,0,3,77,4,20,0
72212007,227,4,2,63,0,19,1
72212008,129,1,2,43,2,13,0
72212009,106,1,1,48,0,16,1
72212010,116,0,2,32,1,1,0
72212011,198,3,0,18,5,13,1
72213001,74,0,5,46,0,2,0
72213002,53,0,0,34,8,4,0
72213003,151,0,0,73,3,5,0
72213004,170,2,3,100,10,3,0
72213005,59,0,0,45,1,2,0
72213006,73,0,3,268,5,1,1
72213007,262,4,3,237,2,10,0
72213008,169,1,0,148,1,10,0
72213009,357,3,1,105,0,9,0
72213010,27,1,1,184,5,4,0
72213011,71,21,275,214,5,9,0
72213012,138,1,11,101,2,4,0
72213013,32,1,1,315,0,21,0
72213014,63,1,28,140,4,3,0
72213015,308,17,18,363,2,12,0
72213016,37,1,7,132,1,1,0
72213017,84,0,3,45,0,2,0
72213018,145,7,5,183,14,15,1
72213019,114,0,0,63,1,6,0
72214001,814,41,264,595,40,106,6
72214002,436,3,2,58,3,5,1
72214003,206,1,1,192,86,17,0
72214004,448,3,31,501,8,27,0
72214005,479,16,86,600,34,88,2
72214006,225,3,8,338,8,39,2
72214007,329,4,63,416,18,44,0
72214008,222,20,161,515,11,83,1
72214009,865,37,67,448,22,75,2
72214010,255,0,29,317,5,12,0
72214011,576,13,24,441,16,57,2
72214012,402,34,190,275,22,159,1
72214013,304,5,8,54,15,16,0
72214014,284,14,99,341,26,44,1
72214015,493,1,3,148,2,11,3
72215001,428,37,13,141,2,13,1
72215002,16,0,0,10,1,3,0
72215003,155,19,22,59,1,4,0
72215005,137,6,0,55,1,7,0
72215006,277,1,0,130,3,14,0
72215007,4,0,0,0,0,1,0
72215008,196,11,1,61,0,1,0
72215009,189,20,8,76,5,9,1
72215010,197,0,0,86,4,8,0
72215011,194,0,1,66,0,4,0
72215012,80,0,1,40,0,0,0
72215013,78,0,1,59,1,4,0
72215014,138,0,2,44,2,1,0
72215015,75,23,12,58,14,85,1
72215016,31,3,5,18,14,19,0
72215017,187,26,6,87,7,11,0
72215018,143,7,0,24,0,0,1
72215019,1,0,0,7,0,3,0
72215020,548,5,2,65,0,5,0
72215021,6,3,0,3,1,1,0
72216001,113,2,1,57,0,3,0
72216002,39,0,0,3,0,1,0
72216003,19,0,0,18,0,1,0
72216004,118,0,2,19,1,5,0
72216005,60,0,0,5,0,0,0
72216006,197,0,1,43,1,10,2
72216007,178,4,3,30,14,10,0
72216008,184,1,0,50,2,14,0
72216009,171,2,1,8,1,1,0
72216010,52,0,0,27,6,8,0
72216011,302,18,9,81,23,30,1
72216012,97,0,3,43,3,3,0
72216013,125,0,2,41,0,0,0
72216014,273,16,17,62,7,36,0
72216015,323,7,7,66,3,27,1
72216016,126,0,0,66,5,0,0
72216017,124,3,0,39,0,1,0
72216018,260,34,60,82,8,40,2
72216019,160,17,68,46,10,11,0
72216020,221,24,24,158,3,22,0
72217001,57,4,32,210,3,15,1
72217002,4,0,1,54,1,12,0
72217003,4,7,14,58,26,19,2
72217004,27,3,1,139,4,6,0
72217005,78,77,97,234,128,12,3
72217006,1,0,0,5,5,0,0
72217007,14,29,1,57,43,3,0
72217008,97,49,30,121,79,9,4
72217010,1,0,2,15,9,3,0
72217011,14,3,15,204,18,15,1
72217013,1,0,0,6,2,3,0
72217014,20,2,7,14,4,2,0
72217015,44,50,65,158,71,13,0
72217016,4,2,3,39,1,8,0
72217017,85,9,17,191,83,7,1
72217018,0,23,35,25,15,15,2
72217019,295,4,16,125,0,21,1
72217020,0,0,0,0,1,0,0
72217021,60,185,13,444,430,65,18
72217022,0,0,0,2,0,0,0
72217023,0,0,0,2,0,0,1
72217024,1,6,4,53,45,1,0
72217025,1,10,5,21,7,4,1
72217027,1245,434,313,210,350,221,84
72217028,539,194,17,200,88,86,48
72217029,1,0,1,0,0,3,9
72217030,12,1,0,41,1,2,0
72217031,163,59,7,58,44,44,1
72217032,902,409,660,90,622,141,9
72217033,1,1,0,1,0,1,0
72217034,1349,186,81,220,257,108,19
72217035,0,0,0,0,0,1,0
72217036,73,76,31,241,96,14,0
72217037,19,16,9,58,40,5,16
72217038,1,1,2,1,0,0,0
72217040,60,138,91,319,65,79,4
72217041,32,71,5,179,102,24,37
72217042,107,84,46,101,78,129,12
72217043,6,0,0,38,0,0,0
72217044,201,65,28,283,139,15,0
72217045,6,0,0,20,0,1,0
72217046,121,97,13,216,148,63,21
72217048,14,1,2,42,5,3,1
72217049,1985,569,288,629,451,339,158
72217050,3,0,0,0,0,1,0
72217053,4,2,1,38,5,9,0
72217055,38,0,4,90,1,8,0
72217056,657,79,32,132,37,41,5
72217057,5,1,1,7,1,1,0
72217059,58,4,1,56,0,4,0
72217060,8,1,0,65,3,6,0
72217062,13,26,10,69,20,7,2
72217063,104,111,62,51,52,71,0
72217064,148,61,4,94,8,39,30
72217065,407,151,3,245,106,59,59
72217066,1,3,0,4,0,0,0
72217067,10,3,5,27,3,4,0
72217068,1,28,4,8,0,0,0
72217070,0,1,1,0,0,0,0
72217071,643,172,101,100,202,131,30
72217073,15,2,9,90,3,10,2
72217074,0,0,0,3,0,0,0
72217075,258,143,220,271,19,122,2
72217076,284,7,13,9,117,22,5
72217077,0,0,0,6,5,0,0
72217078,366,297,289,53,166,74,11
72217079,20,2,3,97,3,3,0
72217080,174,5,7,43,19,30,19
72217081,49,29,51,49,36,6,2
72217082,5,0,0,30,2,1,0
72217083,648,231,64,144,508,141,12
72217084,5,7,10,18,8,14,1
72217085,17,5,4,56,20,2,0
72217087,13,6,9,5,4,11,0
72217088,440,11,1,97,78,32,33
72218001,182,4,2,52,2,16,0
72218002,57,1,5,61,5,1,0
72218003,165,3,2,50,1,7,0
72218004,161,1,0,104,18,26,0
72218005,84,2,0,60,11,12,1
72218006,2,1,3,69,3,4,0
72218007,55,21,29,49,9,25,4
72218008,100,0,1,81,33,8,0
72218009,168,54,56,129,54,35,1
72218010,88,0,0,42,3,6,0
72218011,205,29,25,80,6,23,1
72218012,74,0,0,114,25,4,1
72218013,120,1,0,74,1,9,0
72218014,37,25,37,56,16,15,2
72218015,19,0,1,69,1,3,0
72218016,109,4,2,55,16,11,0
72218017,45,2,2,48,11,3,0
72219001,46,1,1,20,2,11,0
72219002,224,130,46,38,9,7,0
72219003,45,32,39,50,1,12,1
72219004,12,2,0,10,0,6,0
72219005,257,8,5,22,5,7,0
72219006,23,9,8,14,2,12,0
72219007,49,28,18,36,1,17,0
72219008,88,4,2,48,2,6,0
72219009,35,46,19,57,8,23,1
72219010,166,5,1,34,0,3,0
72219011,141,3,1,44,6,10,0
72219012,48,23,11,25,1,21,0
72219013,7,14,7,133,5,6,1
72219014,3,9,6,22,5,14,1
72219015,10,2,0,1,0,0,0
72219016,560,176,155,556,43,38,4
72219017,0,1,0,0,0,0,0
72219018,42,7,1,48,5,50,2
72219020,18,1,1,26,2,6,0
72219021,279,112,32,239,42,28,2
72220001,81,12,6,22,18,11,0
72220002,361,39,26,222,91,39,1
72220003,344,37,30,80,17,25,0
72220004,358,69,44,145,43,45,8
72220005,233,28,4,33,18,11,0
72220006,111,22,6,17,4,7,1
72220007,94,11,22,85,8,19,1
72220008,62,8,21,28,2,15,0
72220009,17,3,3,201,35,9,1
72220010,127,20,26,67,41,32,0
72220011,57,14,2,28,13,25,3
72220012,178,21,52,159,40,44,10
72220013,77,3,5,27,15,11,0
72221001,366,9,12,185,2,23,0
72221002,478,2,4,178,4,52,1
72221003,137,6,7,153,9,13,0
72221004,349,4,1,166,2,7,1
72221005,417,7,0,198,2,31,0
72221006,163,0,3,201,0,17,0
72221007,195,5,61,182,4,19,0
72221008,244,2,3,107,0,2,0
72221009,295,2,1,166,4,14,0
72221010,286,19,17,319,13,45,0
72221011,356,4,36,110,19,24,0
72221012,190,1,4,49,7,14,0
72221013,512,20,26,356,2,18,1
72221014,308,1,1,139,4,31,0
72221015,187,3,0,131,10,14,0
72221016,626,44,24,411,9,42,0
72221017,297,3,19,290,3,12,0
72221018,664,24,34,410,5,19,0
72221019,213,6,1,65,2,13,2
72221020,373,2,8,167,4,18,2
72222001,109,5,17,51,2,45,0
72222002,60,0,0,20,1,7,0
72222003,164,15,48,115,2,25,0
72222004,113,2,2,77,2,15,0
72222005,121,2,2,63,2,7,0
72222006,231,0,6,119,3,7,0
72222007,94,1,52,102,3,34,0
72222008,451,5,0,88,3,32,2
72222009,77,0,14,52,1,2,0
72222010,224,1,2,114,7,14,0
72222011,133,7,22,78,2,22,0
72222012,126,1,1,81,1,12,0
72222013,39,1,22,65,2,2,0
72222014,129,2,6,131,4,7,1
72222015,108,0,1,81,4,2,0
72222016,172,2,0,53,2,9,0
72222017,57,0,10,73,5,4,0
72222018,90,1,2,48,0,9,0
72222019,180,1,2,57,2,10,0
72222020,58,1,7,34,3,28,2
72222021,117,4,0,44,1,12,0
72222023,164,1,9,139,8,25,0
72222024,182,23,128,340,10,25,0
72222025,89,1,57,85,2,3,0
72222026,97,4,12,112,3,8,0
72222027,192,4,3,162,12,34,0
72222028,97,0,0,48,1,8,0
72222029,63,24,117,126,6,67,0
72222030,127,2,29,94,9,29,0
72222031,151,12,67,126,5,127,0
72222032,136,3,0,44,1,13,1
72222033,159,0,3,56,0,6,1
72222034,150,3,45,102,4,73,0
72223001,10,0,1,2,0,0,0
72223002,2,0,0,32,0,10,0
72223004,221,3,2,98,1,4,1
72223006,2,0,1,2,0,0,0
72223007,138,1,0,68,1,2,0
72223008,204,5,1,143,32,11,2
72223009,227,4,4,48,6,14,0
72223010,11,0,0,38,1,5,0
72223011,32,2,1,21,3,1,0
72223012,70,1,9,112,8,6,0
72223013,3,0,3,19,1,2,0
72223014,112,13,37,436,9,12,3
72223015,169,5,18,113,1,12,1
72223016,264,15,10,154,3,21,0
72223019,114,1,3,130,0,6,0
72223021,388,43,96,216,39,26,1
72223022,11,0,1,18,0,7,0
72223023,18,0,3,18,1,5,0
72223025,12,2,3,38,12,17,0
72223026,245,3,0,106,1,22,0
72223027,309,27,37,345,0,40,0
72223028,0,0,0,53,0,1,0
72223030,24,0,1,58,0,2,0
72223031,100,14,31,92,1,13,12
72223033,338,27,5,92,2,16,0
72223035,1,0,0,0,0,0,0
72223036,149,2,0,25,2,6,0
72223037,0,0,0,1,0,0,0
72223038,91,1,0,57,19,2,2
72223040,398,60,104,234,19,49,9
72223041,249,16,59,79,3,18,1
72223042,205,7,63,198,5,15,0
72223044,292,25,119,44,9,17,0
72224001,178,1,1,135,3,3,0
72224002,209,11,3,132,35,23,0
72224003,114,1,5,107,2,6,0
72224004,85,0,0,86,1,2,0
72224006,109,0,0,87,2,2,0
72224007,22,0,0,35,2,1,0
72224008,23,0,0,26,0,0,0
72224009,127,1,13,124,2,5,1
72224010,41,1,0,41,0,2,0
72224011,111,0,1,68,33,0,1
72224012,46,0,2,105,0,3,0
72224013,81,0,2,121,1,1,0
72224014,28,0,0,58,0,0,0
72224015,112,1,1,174,2,0,0
72224016,35,0,0,121,1,0,0
72224017,72,0,0,85,0,1,1
72224018,71,1,1,73,29,3,0
72224019,182,3,11,234,1,4,0
72224020,55,0,0,57,1,0,0
72224021,41,0,0,57,0,0,0
72224022,37,0,0,77,2,0,0
72224023,245,2,0,170,2,7,1
72224024,154,1,10,111,1,2,0
72224025,68,0,0,146,3,0,0
72224026,64,0,0,41,0,0,0
72224027,24,0,0,48,1,0,0
72224028,134,1,14,62,2,2,0
72224029,228,0,0,87,3,4,0
72224030,66,1,0,122,0,0,0
72224031,101,3,23,9,3,5,0
72224032,153,17,23,88,16,8,0
72224033,21,0,2,17,0,9,0
72224034,277,14,17,99,17,13,2
72224035,230,16,10,280,44,9,0
72224037,129,3,2,147,49,3,0
72224038,79,0,0,167,2,1,0
72224039,15,3,4,41,2,1,0
72225001,69,1,2,8,1,3,0
72225002,199,0,1,13,4,11,0
72225003,89,0,0,3,0,3,0
72225004,86,0,0,13,1,6,0
72225005,59,0,1,6,0,2,0
72225006,138,0,0,19,0,11,0
72225007,143,2,11,29,2,21,1
72225008,120,2,5,47,2,9,0
72225009,89,1,0,45,1,12,0
72225010,214,0,0,15,3,5,0
72225011,289,3,3,44,6,32,0
72225012,351,23,33,78,8,42,2
72225013,119,0,1,5,1,1,0
72225014,205,22,22,13,4,27,0
72226001,149,6,31,116,29,38,14
72226002,82,31,19,70,8,8,1
72226003,156,56,48,108,49,46,51
72226004,316,2,12,153,19,26,1
72226005,214,149,45,426,245,118,11
72226006,387,191,30,278,35,51,28
72226007,554,136,34,211,47,63,1
72226008,108,19,19,275,43,17,1
72226009,221,1,2,32,5,8,0
72226010,0,0,0,99,1,1,0
72226011,10,3,21,276,9,26,1
72226012,83,49,49,365,46,21,0
72226013,44,79,0,207,78,18,4
72226014,193,52,49,306,38,24,2
72226015,273,24,64,318,51,207,18
72226016,344,251,14,129,9,104,7
72226017,279,26,23,150,70,72,5
72226018,107,31,31,116,59,55,30
72226019,127,114,23,207,169,100,35
72226020,31,3,5,152,8,8,2
72226021,13,35,45,73,10,28,1
72226022,184,25,3,441,46,47,12
72226024,134,138,26,269,100,68,3
72226025,146,5,2,199,32,40,15
72226026,104,1,1,79,0,13,0
72226027,128,19,12,87,54,17,3
72226028,131,2,3,97,6,30,4
72226029,71,1,1,57,9,7,0
72226030,110,4,2,87,20,28,1
72226031,244,6,3,141,8,25,0
72227001,15,0,0,14,2,21,1
72227002,237,9,13,91,13,32,10
72227003,1004,185,161,196,10,77,9
72227004,40,10,7,64,8,21,6
72227005,634,134,129,173,22,113,7
72227006,118,1,1,23,2,19,3
72227007,130,3,1,36,3,12,0
72227008,26,35,66,34,7,55,3
72227009,217,5,1,46,4,34,0
72227010,40,24,30,20,2,29,0
72227011,202,2,4,41,3,27,1
72227012,208,5,1,58,8,27,0
72227013,41,4,10,14,2,17,2
72227014,81,68,93,84,8,53,10
72228001,152,13,33,149,4,17,0
72228002,122,1,2,20,1,1,0
72228003,384,2,14,100,1,13,0
72228004,236,1,5,77,6,15,0
72228005,180,3,29,109,16,18,2
72228006,251,2,35,118,9,15,0
72228007,280,42,281,159,4,33,0
72228008,282,2,2,102,6,24,2
72228009,185,38,186,131,6,24,3
72228010,344,2,0,26,2,7,0
72228011,182,17,65,81,1,6,3
72228012,151,23,263,136,12,33,6
72228013,113,2,123,137,3,11,1
72228014,175,3,23,66,0,24,0
72229001,144,0,0,1,2,16,0
72229004,150,0,1,91,7,7,0
72229005,183,2,0,100,3,7,0
72229006,93,0,1,47,0,1,0
72229007,137,2,8,33,1,7,0
72229008,140,0,1,120,5,6,0
72229009,78,0,1,29,0,0,0
72229010,82,0,0,17,0,1,0
72229011,424,6,2,49,4,35,1
72229012,102,0,1,49,0,0,0
72229013,306,5,21,87,3,23,0
72229014,99,1,4,47,1,8,0
72229015,205,15,13,57,3,23,0
72229016,151,1,5,24,6,29,0
72230001,9,12,3,20,14,4,0
72230002,132,102,87,10,3,7,0
72230003,10,23,3,26,3,4,1
72230004,3,2,1,13,0,2,0
72230005,33,59,28,39,7,18,1
72230006,170,82,71,239,54,38,0
72230007,292,151,167,156,29,20,1
72230008,6,0,0,19,3,3,0
72230009,7,164,63,160,3,8,0
72230010,23,8,2,34,20,12,2
72230011,17,22,43,18,4,8,1
72230012,5,10,4,277,25,6,15
72230013,22,25,61,59,5,10,6
72230014,33,37,100,38,5,15,12
72230015,15,5,8,77,17,23,15
72230016,17,101,105,505,8,48,1
72230017,12,74,59,112,3,17,0
72230018,46,77,74,633,36,27,1
72230019,472,163,193,196,112,21,1
72230020,78,41,142,197,19,23,10
72230021,3,24,5,16,1,13,0
72230022,11,178,31,515,102,29,0
72230023,164,230,201,87,66,20,0
72230024,23,14,0,14,0,17,0
72230025,10,14,4,13,6,2,0
72230026,20,96,42,301,31,19,0
72230027,3,15,31,40,13,3,0
72231001,224,0,8,411,4,11,0
72231002,136,2,0,196,2,17,0
72231003,237,4,1,309,4,18,0
72231004,102,0,3,81,2,0,0
72231005,126,1,0,147,4,16,0
72231006,12,1,28,270,5,2,0
72231007,119,2,1,227,1,4,0
72231008,89,0,4,395,4,12,0
72231009,108,4,10,197,1,5,0
72231010,446,31,16,419,13,40,1
72231011,204,13,0,213,1,4,0
72231012,36,8,1,200,0,27,0
72231013,209,2,0,167,2,7,3
72231014,392,30,10,289,3,24,2
72231015,290,5,6,126,3,11,0
72231016,75,0,0,124,1,0,0
72231017,240,0,0,118,2,9,1
72231018,96,0,2,121,1,5,0
72231019,202,13,37,199,5,8,0
72232001,103,1,1,109,2,22,1
72232002,221,55,42,405,69,21,1
72232003,95,1,8,136,17,13,6
72232004,42,0,10,99,7,5,0
72232005,151,1,3,90,1,6,1
72232006,180,7,12,97,15,22,1
72232007,95,15,19,151,1,29,0
72232008,83,0,0,151,17,5,1
72232009,4,0,0,19,7,11,0
72232010,8,1,1,36,0,2,0
72232011,68,7,0,52,0,11,0
72232012,7,3,2,34,5,13,0
72232013,31,10,2,52,7,19,2
72232014,6,0,0,26,0,3,0
72232015,231,41,13,331,9,30,1
72232016,440,31,76,236,19,40,5
72232017,18,5,0,105,3,14,0
72232018,44,2,0,68,4,18,5
72232019,7,8,0,85,3,17,2
72233001,102,0,0,121,3,3,0
72233002,99,0,0,68,0,1,0
72233003,110,0,0,45,0,4,0
72233004,106,2,3,90,0,1,0
72233005,145,0,0,62,0,3,0
72233006,193,1,1,85,0,2,0
72233007,58,0,0,85,1,0,0
72233008,181,1,0,67,1,3,0
72233009,221,1,0,50,1,0,0
72233010,169,4,1,30,1,7,0
72233011,352,7,3,57,1,9,0
72233012,347,2,0,77,2,2,1
72233013,188,1,0,80,2,4,0
72233014,298,2,0,59,1,2,0
72233015,294,1,0,71,0,9,0
72234001,69,0,3,128,7,1,0
72234002,81,4,1,43,0,0,0
72234003,209,5,6,168,5,40,0
72234004,32,0,3,14,1,3,0
72234005,329,2,1,134,4,13,0
72234006,18,3,0,13,0,9,0
72234007,190,0,2,95,6,7,2
72234008,76,17,2,98,10,9,0
72234009,1,1,0,3,0,1,0
72234010,93,3,13,54,9,9,1
72234011,62,2,19,72,0,7,0
72234012,186,3,1,89,1,2,0
72234013,162,1,6,110,0,1,0
72234014,27,4,31,62,5,10,0
72234015,387,3,6,173,3,9,0
72234016,160,4,5,281,4,28,0
72234017,52,0,1,109,0,0,0
72234018,260,0,5,79,3,8,0
72234019,117,34,1,141,22,20,1
72234020,215,6,16,245,7,17,2
72234021,66,0,1,135,5,1,0
72234022,102,34,17,207,5,12,2
72234023,187,5,5,137,2,8,0
72234024,376,17,4,78,13,25,3
72234025,62,18,29,168,19,27,0
72234027,431,7,2,212,5,14,1
72234028,293,8,47,304,5,14,1
72234029,278,26,33,162,6,15,1
72235001,216,5,1,15,1,6,0
72235002,161,2,0,41,4,3,0
72235003,155,2,4,57,5,16,0
72235004,134,0,0,10,0,6,0
72235005,90,0,9,17,1,2,0
72235006,86,0,3,49,0,1,0
72235007,50,1,5,19,3,0,0
72235009,58,0,4,16,1,8,0
72235010,205,5,2,26,2,8,0
72235011,233,2,0,22,0,15,0
72235012,97,0,0,4,2,5,0
72235014,296,11,3,47,10,11,0
72235015,112,2,0,66,0,6,0
72235016,169,1,0,11,1,10,1
72235017,159,2,1,30,2,12,0
72235018,67,0,1,11,1,2,0
72235019,34,0,1,9,0,7,0
72235020,582,29,25,75,6,40,0
72235021,183,2,0,16,3,10,0
72235023,147,3,5,12,1,4,0
72235024,161,0,0,7,1,1,0
72236001,62,0,0,35,0,3,0
72236002,180,3,0,119,5,7,0
72236003,100,1,1,41,0,2,0
72236004,83,1,6,38,1,16,0
72236005,26,0,0,22,0,4,0
72236006,74,4,1,75,4,5,0
72236007,174,0,3,54,5,15,0
72236008,130,3,0,87,5,10,0
72236011,63,0,0,36,10,8,0
72236012,118,1,0,41,3,6,0
72236013,80,1,1,53,1,4,0
72236014,122,1,0,77,0,9,1
72236015,65,0,0,28,0,11,0
72237001,121,0,0,97,0,28,0
72237002,135,2,0,312,1,16,0
72237003,79,0,1,210,1,6,0
72237004,191,0,0,114,0,4,0
72237005,89,0,1,77,0,6,0
72237006,164,0,0,108,0,15,0
72237007,83,2,0,55,1,7,0
72237008,110,0,1,62,1,15,0
72237009,33,0,0,176,3,3,0
72237010,92,0,7,157,0,7,0
72237011,330,7,10,383,8,46,0
72237012,104,0,1,195,1,16,0
72237013,90,2,17,147,0,15,0
72237014,56,0,12,53,2,1,0
72237015,160,0,0,242,1,34,0
72237016,74,2,6,376,9,65,1
72237017,48,0,0,166,0,2,0
72237018,199,1,0,110,0,1,0
72237019,130,0,0,126,2,6,0
72237020,54,0,1,134,2,11,0
72237021,109,0,0,212,1,4,0
72237022,372,12,7,332,11,63,4
72237023,65,0,0,59,0,0,0
72237024,153,1,0,62,3,4,0
72237025,51,1,2,103,0,14,0
72237026,144,0,1,153,3,17,0
72238001,229,2,0,85,1,2,0
72238002,39,0,0,42,0,7,0
72238003,328,0,1,167,6,14,1
72238004,58,0,0,29,0,0,0
72238005,155,0,1,57,0,2,0
72238006,25,0,0,21,1,7,0
72238007,168,2,1,171,4,9,0
72238008,18,0,0,10,5,9,0
72238010,88,1,0,85,1,2,0
72238011,301,1,1,119,1,14,0
72238012,100,0,0,11,2,4,0
72238013,168,1,0,48,1,7,0
72238014,119,0,0,55,1,7,0
72238015,196,1,0,38,2,3,0
72238016,94,0,0,65,1,2,0
72238018,195,2,0,71,1,10,0
72238019,123,2,0,61,2,10,0
72239001,45,1,1,49,2,17,0
72239002,95,2,0,66,5,1,0
72239003,29,4,1,14,3,27,0
72239004,83,2,0,43,4,4,0
72239005,199,1,0,85,21,14,0
72239006,107,3,7,133,16,2,0
72239007,83,1,0,75,5,2,0
72239008,63,0,1,40,0,3,0
72239009,136,2,1,66,6,3,0
72239010,199,9,1,63,19,11,0
72239011,154,7,2,58,16,8,0
72239012,350,6,3,123,24,8,0
72239013,51,0,0,48,7,3,0
72239014,80,1,1,64,0,4,0
72240001,156,2,0,15,0,1,0
72240002,99,0,0,11,0,1,5
72240003,145,0,1,18,2,2,0
72240004,191,0,0,14,2,1,3
72240005,141,0,0,12,2,0,15
72240006,127,1,0,15,2,3,1
72240007,150,0,1,7,0,7,0
72240008,216,0,0,3,1,3,8
72240009,268,0,0,20,0,1,0
72240010,124,2,0,4,0,0,1
72240011,429,16,12,92,9,21,12
72240012,213,7,3,43,0,15,7
72240013,210,3,1,46,2,10,0
72240014,220,3,0,8,1,10,0
72240015,140,1,0,2,1,4,2
72241002,194,15,14,111,84,4,0
72241003,144,0,2,157,31,2,1
72241005,49,0,4,85,0,4,1
72241007,115,0,0,46,5,5,0
72241008,137,2,3,92,23,6,0
72241009,28,2,2,19,9,3,0
72241010,126,1,3,86,36,6,0
72241011,47,0,0,62,30,1,0
72241012,14,0,0,20,1,4,0
72241013,297,42,1,129,94,8,4
72241014,28,7,4,45,3,10,0
