psgc_brgy,hearing,visual,speech,orthopedic,multiple_ disabilities,mental,other,no_ household_member_is_disabled
104317016,1,2,2,4,3,1,2,355
104317017,1,1,1,4,2,2,2,293
104317018,0,1,0,0,10,2,1,366
104317019,1,0,2,2,1,1,0,333
104317020,1,3,1,1,1,1,1,155
104317021,0,0,0,0,0,0,3,75
104317022,0,0,1,2,0,0,0,221
104317023,1,0,0,0,0,1,4,99
104317024,2,0,3,2,0,0,1,148
104317025,0,1,1,1,0,3,0,130
104318001,2,2,2,0,2,1,3,230
104318002,0,0,0,1,0,0,0,135
104318003,1,7,2,3,1,1,1,412
104318004,1,1,1,2,1,2,1,229
104318005,0,0,1,0,0,1,0,103
104318006,0,0,0,0,0,0,0,150
104318007,3,3,1,1,2,2,0,382
104318008,0,0,5,0,1,1,0,326
104318009,3,1,1,7,2,1,2,308
104318010,2,10,4,10,7,5,8,1206
104318011,0,10,2,11,7,2,6,815
104318012,2,5,1,5,6,3,4,579
104318013,0,0,0,2,1,0,1,153
104319001,3,1,0,1,1,1,3,151
104319002,2,2,1,2,3,1,5,249
104319003,1,7,2,3,6,1,8,471
104319004,1,2,0,3,1,1,0,111
104319005,2,2,1,4,4,2,1,215
104319006,1,1,1,0,0,1,5,92
104319007,4,13,5,9,3,7,13,577
104319008,2,3,2,2,4,2,0,209
104319009,0,4,2,3,1,2,4,136
104319011,4,5,4,8,5,5,23,537
104319012,5,5,0,0,3,0,4,189
104319013,0,2,4,5,4,2,4,269
104319014,3,1,2,1,0,0,4,142
104319015,1,0,0,2,4,1,0,186
104319016,1,2,0,1,3,3,2,94
104319017,1,2,4,4,4,1,3,147
104319018,2,5,6,3,7,8,19,387
104319019,1,1,2,1,3,1,5,216
104319020,7,6,2,9,2,4,7,288
104320001,0,0,0,1,0,0,0,201
104320002,0,0,1,1,7,1,0,498
104320003,0,2,0,0,6,1,0,196
104320004,1,0,1,2,1,2,2,359
104320005,0,2,1,0,1,0,1,458
104320006,1,1,1,0,10,0,0,344
104320007,0,1,1,3,7,0,0,226
104320008,0,2,0,4,7,1,5,542
104320009,0,0,1,0,3,2,0,331
104320010,0,0,0,0,1,2,0,175
104321001,7,4,2,2,0,4,1,326
104321002,0,1,3,3,5,3,0,503
104321003,2,2,2,8,10,2,5,730
104321004,0,3,3,4,2,3,8,449
104321005,0,0,0,0,1,1,0,109
104321006,7,12,0,8,4,0,6,911
104321007,0,1,0,6,0,0,1,40
104321008,3,1,1,6,3,2,3,580
104321009,3,3,1,6,3,0,1,472
104321011,2,2,2,3,0,0,2,115
104321013,1,2,4,8,8,2,2,532
104321014,3,3,2,4,7,5,0,317
104321015,0,4,2,3,6,3,2,458
104321016,1,1,2,3,4,0,0,395
104322001,1,7,2,2,6,0,0,202
104322002,2,2,0,4,5,4,0,205
104322003,3,1,1,1,1,0,0,85
104322004,0,0,1,1,1,2,1,99
104322005,1,6,1,2,3,2,0,167
104322006,0,2,3,2,2,1,1,216
104322007,1,5,1,3,12,2,0,419
104322008,7,15,1,4,14,2,2,376
104322009,1,7,1,1,1,1,0,76
104322010,2,7,2,2,2,0,2,166
104322011,8,11,2,6,7,3,1,574
104322012,2,1,1,1,1,2,0,112
104322014,2,16,0,2,4,2,0,277
104322015,0,6,1,1,5,3,1,227
104322016,2,9,0,2,4,2,1,226
104322017,1,2,3,2,5,2,0,218
104322018,2,7,0,2,3,0,0,131
104322019,1,8,2,4,7,3,1,402
104323001,4,10,1,0,12,2,1,128
104323002,0,6,2,1,6,2,0,123
104323003,0,5,1,1,0,0,0,97
104323004,0,3,1,1,0,1,0,84
104323005,1,1,1,0,2,1,1,119
104323006,3,1,2,4,2,6,1,296
104323007,0,1,0,1,1,0,0,90
104323008,0,16,1,5,11,5,3,422
104323009,0,0,1,0,1,1,0,62
104323010,2,3,1,1,0,0,1,111
104324001,0,1,3,7,3,7,2,1060
104324002,0,1,8,9,2,3,4,954
104324003,1,1,2,3,2,4,0,263
104324004,0,3,0,3,2,0,2,437
104324005,1,3,1,2,7,8,6,769
104324006,2,1,1,4,5,2,6,1060
104324007,0,4,0,2,0,0,1,152
104324008,3,7,0,8,6,1,2,929
104324009,3,6,5,2,7,4,6,1482
104324010,0,2,2,7,1,0,4,602
104325001,0,0,0,0,0,0,0,87
104325002,1,3,0,1,1,0,1,166
104325003,0,0,1,0,0,0,0,58
104325004,0,0,0,0,0,0,0,141
104325005,0,0,0,0,0,2,0,114
104325006,0,0,0,0,1,0,0,53
104325007,1,0,2,2,1,4,1,346
104325008,0,3,0,3,4,0,8,272
104325009,1,2,1,3,4,1,4,224
104325010,4,3,4,3,8,3,15,612
104325011,1,3,1,1,3,3,5,185
104325012,1,2,1,1,4,1,1,173
104325013,2,0,0,0,2,0,0,179
104325014,6,6,1,7,4,6,22,484
104325015,1,1,0,4,7,5,7,305
104325016,2,4,1,2,4,1,0,140
104325017,1,0,0,0,0,0,0,128
104325018,0,3,1,2,4,7,6,203
104326001,2,2,1,1,0,0,1,165
104326003,0,4,5,10,4,9,4,893
104326004,0,3,1,4,4,2,10,936
104326005,0,1,2,0,1,0,0,211
104326007,0,3,2,5,7,3,4,490
104326008,1,1,1,3,2,9,2,798
104326009,0,0,0,1,1,0,1,195
104326010,1,3,4,10,11,4,19,580
104326011,2,6,3,4,10,3,17,842
104326012,0,0,2,5,1,3,1,345
104326013,3,4,3,2,1,1,4,645
97201001,0,1,0,0,0,0,3,160
97201002,2,1,0,0,3,1,1,279
97201003,6,2,1,3,3,2,14,427
97201004,3,7,1,0,8,3,1,188
97201005,4,3,1,3,1,2,1,279
97201006,7,12,6,14,8,5,14,410
97201007,4,1,0,1,2,2,1,310
97201009,4,5,4,9,11,2,7,238
97201010,3,3,1,3,2,3,1,228
97201011,2,1,0,6,4,2,1,153
97201012,5,4,2,3,2,0,4,282
97201013,0,5,0,2,1,3,2,171
97201014,3,2,1,1,0,1,4,210
97201016,1,5,2,1,0,0,7,162
97201017,3,3,2,0,9,6,1,187
97201018,6,13,10,18,10,12,22,535
97201019,4,3,0,4,12,3,6,361
97201020,0,3,1,4,1,1,3,187
97201021,5,7,2,7,4,5,2,402
97201022,6,12,2,8,4,2,6,258
97201023,4,4,0,5,14,3,4,289
97201024,0,2,0,1,6,1,2,221
97201025,2,2,1,5,5,6,7,356
97201026,2,3,1,1,0,0,0,245
97201027,4,8,1,0,1,2,13,349
97201028,3,2,3,2,1,1,5,177
97201031,6,4,2,6,2,3,14,500
97201032,0,2,2,4,3,3,5,318
97201033,5,0,2,0,2,0,5,129
97201034,4,1,0,1,6,1,4,293
97201035,8,8,3,4,9,9,6,375
97201036,4,8,0,7,5,2,16,438
97201038,2,2,1,3,6,1,6,419
97201039,3,2,0,1,3,2,3,210
97201040,1,2,0,2,2,1,2,162
97201041,5,4,1,3,8,0,5,250
97201042,3,5,1,8,5,6,12,297
97201043,4,13,1,9,2,2,10,521
97201044,1,0,1,2,2,0,3,141
97201045,7,7,8,2,7,4,14,530
97201046,7,13,2,7,5,3,5,444
97201047,4,7,4,7,4,2,3,237
97201048,2,5,2,5,1,0,3,176
97201049,6,4,4,8,4,2,15,500
97201050,11,6,2,16,15,6,7,434
97201051,2,4,2,3,2,2,2,350
97201052,5,9,2,5,5,3,8,338
97201053,6,5,1,5,8,5,6,215
97201054,3,1,1,2,3,3,5,225
97201055,0,3,4,2,2,1,10,257
97202001,3,5,1,1,2,1,4,318
97202002,7,13,10,11,9,11,14,1326
97202003,9,12,7,9,9,5,11,735
97202004,8,22,9,20,28,19,38,2287
97202005,6,1,3,6,5,2,10,1056
97202006,1,6,2,1,4,2,12,505
97202007,0,15,5,12,6,6,23,1276
97202008,4,16,10,10,7,13,14,2159
97202009,3,11,3,5,1,6,15,1049
97202010,0,2,2,0,2,1,8,693
97202011,1,3,2,1,4,0,8,751
97202012,1,1,0,0,1,2,4,326
97202013,6,5,4,6,16,5,16,1730
97202014,1,5,0,3,4,5,11,518
97202015,5,2,2,5,2,4,14,222
97202016,0,8,3,4,2,3,8,344
97202017,5,5,5,6,17,3,9,1214
97202018,4,9,3,7,12,3,13,1213
97202019,0,4,1,4,3,2,10,454
97202020,8,8,6,6,13,4,31,1602
97202021,3,8,3,4,12,3,20,1177
97203001,0,0,0,0,0,0,0,0
97203002,0,0,0,0,0,0,0,0
97203003,0,0,0,0,0,0,0,0
97203004,0,0,0,0,0,0,0,0
97203005,0,0,0,0,0,0,0,0
97203006,0,0,0,0,0,0,0,0
97203007,0,0,0,0,0,0,0,0
97203008,0,0,0,0,0,0,0,0
97203009,0,0,0,0,0,0,0,0
97203010,0,0,0,0,0,0,0,0
97203011,0,0,0,0,0,0,0,0
97203012,0,0,0,0,0,0,0,0
97203013,0,0,0,0,0,0,0,0
97203014,0,0,0,0,0,0,0,0
97203016,0,0,0,0,0,0,0,0
97203017,0,0,0,0,0,0,0,0
97203018,0,0,0,0,0,0,0,0
97203019,0,0,0,0,0,0,0,0
97203020,0,0,0,0,0,0,0,0
97203021,0,0,0,0,0,0,0,0
97203022,0,0,0,0,0,0,0,0
97203023,0,0,0,0,0,0,0,0
97203024,0,0,0,0,0,0,0,0
97203025,0,0,0,0,0,0,0,0
97203026,0,0,0,0,0,0,0,0
97203027,0,0,0,0,0,0,0,0
97203028,0,0,0,0,0,0,0,0
97203029,0,0,0,0,0,0,0,0
97203030,0,0,0,0,0,0,0,0
97203031,0,0,0,0,0,0,0,0
97204001,2,7,1,2,3,2,2,188
97204002,0,0,1,2,0,0,0,168
97204003,0,0,1,1,0,0,2,86
97204004,1,2,1,5,0,0,0,234
97204005,2,7,2,3,1,1,1,116
97204006,0,0,1,0,2,0,3,69
97204007,1,4,2,2,2,0,2,38
97204008,0,2,1,8,2,0,1,108
97204009,9,11,5,17,6,1,1,303
97204010,0,1,1,2,1,2,0,92
97204011,0,1,0,2,2,0,0,62
97204012,1,4,0,4,4,1,5,97
97204013,1,3,3,2,3,0,0,176
97205001,6,5,1,3,5,8,10,974
97205002,1,0,5,3,4,2,3,426
97205005,0,2,0,1,3,0,2,269
97205009,0,5,0,4,3,4,1,424
97205011,0,0,1,2,1,1,1,275
97205013,2,3,2,1,3,2,2,140
97205015,2,5,4,4,12,9,8,608
97205017,3,2,1,3,4,1,1,404
97205019,7,3,0,2,0,0,3,345
97205020,1,1,2,2,4,5,1,371
97205021,1,2,0,2,4,0,2,300
97205022,0,1,1,4,7,5,2,586
97205024,1,3,1,2,4,5,5,749
97205026,2,1,1,1,1,1,1,232
97205027,2,2,5,5,5,2,13,875
97205030,4,0,2,4,3,5,2,554
97205033,0,0,0,1,2,2,3,107
97205035,4,1,4,4,9,4,7,420
97205036,0,2,1,6,11,6,6,529
97205037,4,1,2,3,2,4,12,508
97206001,1,2,2,1,2,2,2,262
97206002,6,2,6,8,9,2,6,1071
97206003,0,0,0,0,0,0,1,117
97206006,3,2,0,1,0,2,3,249
97206007,1,1,1,0,0,1,3,240
97206008,0,2,4,2,3,4,9,393
97206009,3,1,0,4,0,1,0,244
97206010,1,2,2,1,4,0,4,667
97206012,0,0,1,3,0,2,1,180
97206013,2,1,1,0,2,0,0,198
97206014,0,5,0,6,3,0,0,390
97206015,1,3,0,3,1,4,2,344
97206017,1,0,1,0,0,2,0,101
97206020,6,2,0,3,0,1,4,100
97206021,0,4,1,3,2,2,0,168
97206022,1,1,0,0,0,1,6,226
97206023,1,2,1,1,1,2,1,142
97206024,1,1,1,1,1,2,1,246
97206025,5,4,1,3,2,0,6,197
97206026,1,0,0,3,0,0,2,200
97206027,1,1,1,0,1,1,2,98
97206028,3,1,1,1,0,1,0,212
97206031,1,1,0,0,0,0,1,164
97206032,2,1,2,0,1,1,1,225
97206033,0,0,0,1,0,0,0,331
97206034,0,0,2,1,0,1,0,191
97206035,0,1,3,1,1,1,0,201
97206036,0,0,1,0,1,1,0,59
97206037,1,0,1,0,0,2,5,169
97206038,1,4,0,2,1,2,5,166
97206039,1,0,1,0,1,0,1,131
97206040,0,2,3,1,1,1,1,138
97206041,1,1,2,0,0,1,0,124
97206042,2,3,3,2,0,1,1,214
97206043,1,0,0,1,0,1,1,113
97206044,0,3,2,1,2,1,1,311
97206045,1,0,0,2,0,0,0,106
97207002,0,0,0,0,0,0,0,0
97207003,0,0,0,0,0,0,0,0
97207004,0,0,0,0,0,0,0,0
97207005,0,0,0,0,0,0,0,0
97207006,0,0,0,0,0,0,0,0
97207007,0,0,0,0,0,0,0,0
97207010,0,0,0,0,0,0,0,0
97207011,0,0,0,0,0,0,0,0
97207013,0,0,0,0,0,0,0,0
97207014,0,0,0,0,0,0,0,2
97207018,0,0,0,0,0,0,0,2
97207019,0,0,0,0,0,0,0,1
97207020,0,0,0,0,0,0,0,0
97207021,0,0,0,0,0,0,0,0
97207022,0,0,0,0,0,0,0,0
97207023,0,0,0,0,0,0,0,0
97207024,0,0,0,0,0,0,0,0
97207025,0,0,0,0,0,0,0,0
97207026,0,0,0,0,0,0,0,0
97207027,0,0,0,0,0,0,0,0
97207028,0,0,0,0,0,0,0,0
97207029,0,0,0,0,0,0,0,0
97208001,2,2,1,0,2,3,0,195
97208002,5,12,1,6,4,4,4,222
97208003,1,1,0,3,1,0,0,91
97208004,3,1,0,1,0,0,1,73
97208005,2,5,0,5,1,0,0,79
97208006,0,0,2,0,0,0,1,26
97208007,1,0,2,2,0,1,2,161
97208008,1,7,1,3,1,1,0,176
97208009,3,3,1,1,3,1,1,73
97208010,4,5,3,8,7,1,6,360
97208011,0,2,0,2,0,1,0,88
97208012,0,7,3,2,1,1,0,127
97208013,2,2,0,1,1,1,1,78
97208014,5,4,1,2,0,2,2,103
97208015,4,3,2,1,0,0,2,127
97208016,4,7,2,3,2,0,4,364
97209001,1,1,0,3,4,1,0,100
97209002,0,2,0,7,3,1,2,214
97209003,1,2,0,1,2,0,1,72
97209004,1,3,3,3,3,2,5,277
97209005,2,0,0,3,0,1,1,125
97209006,5,6,0,2,8,3,4,262
97209007,9,6,1,12,3,0,1,222
97209008,2,1,0,5,3,0,2,126
97209009,1,4,1,5,1,0,1,111
97209010,2,2,1,3,5,1,2,229
97209011,7,6,1,2,8,3,5,161
97209012,2,2,1,6,5,1,7,128
97209013,1,4,3,10,2,2,2,617
97209015,2,4,0,1,1,2,1,86
97209016,0,3,0,3,3,0,1,129
97209017,3,1,1,7,2,1,3,134
97209018,5,4,1,5,7,2,6,133
97209019,7,8,0,4,1,2,5,191
97209020,3,1,3,7,1,0,15,132
97209022,0,1,0,2,8,0,0,88
97209023,0,0,1,3,3,0,1,128
97209024,5,5,0,11,17,5,10,378
97210001,1,3,1,2,2,1,8,274
97210002,3,5,1,4,2,1,1,327
97210003,1,1,2,1,1,0,1,143
97210004,0,2,1,4,2,0,0,95
97210005,2,2,0,0,0,0,1,257
97210006,0,3,0,4,3,1,3,229
97210007,0,2,2,0,0,1,4,438
97210008,2,4,1,4,2,3,5,317
97210009,6,5,1,3,4,0,4,303
97210010,2,3,1,6,0,2,0,201
97210011,1,5,5,1,4,1,5,237
97210012,2,0,1,1,8,3,2,127
97210013,6,11,2,3,1,4,7,591
97210014,2,4,1,0,2,1,0,140
97210015,3,2,1,4,1,0,2,230
97210016,0,2,0,1,1,0,0,77
97210017,2,3,2,3,10,1,0,166
97210018,1,3,0,0,3,0,3,133
97210019,6,2,0,6,1,0,2,184
97210020,3,3,1,3,6,3,7,563
97210021,5,3,0,1,4,0,2,178
97210022,4,2,3,3,2,2,4,396
97210023,1,4,2,1,6,3,1,349
97210024,0,2,0,2,0,1,1,156
97210025,3,10,3,4,4,5,7,268
97210026,3,2,4,1,2,1,4,287
97210027,1,4,2,2,8,3,2,423
97210028,4,5,2,3,2,3,3,223
97210029,1,2,0,4,1,3,0,289
97210030,4,2,3,4,1,2,4,338
97211001,0,0,0,0,0,0,0,0
97211002,0,0,0,0,0,0,0,0
97211003,0,0,0,0,0,0,0,0
97211004,0,0,0,0,0,0,0,0
97211005,0,0,0,0,0,0,0,0
97211006,0,0,0,0,0,0,0,7
97211007,0,0,0,0,0,0,0,0
97211008,0,0,0,0,0,0,0,0
97211009,0,0,0,0,0,0,0,0
97211010,0,0,0,0,1,0,0,10
97211011,0,0,0,0,0,0,0,0
97211012,0,0,0,0,0,0,0,0
97211013,0,0,0,0,0,0,0,0
97211014,0,0,0,0,0,0,0,0
97211015,0,0,0,0,0,0,0,0
97211017,0,0,0,0,0,0,0,0
97211018,0,0,0,0,0,0,0,0
97211019,0,0,0,0,0,0,0,0
97211020,0,0,0,0,0,0,0,0
97211021,0,0,0,0,0,0,0,0
97211022,0,0,0,0,0,0,0,0
97211023,0,0,0,0,0,0,0,0
97211024,0,0,0,0,0,0,0,0
97211025,0,0,0,0,0,0,0,0
97211026,0,0,0,0,0,0,0,0
97211027,0,0,0,0,0,0,0,0
97211028,0,0,0,0,0,0,0,0
97211029,0,0,0,0,0,0,0,0
97211030,0,0,0,0,0,0,0,0
97211031,0,0,0,0,0,0,0,0
97211032,0,0,0,0,0,0,0,0
97212001,0,0,1,1,1,1,0,58
97212002,1,3,1,1,1,5,1,151
97212003,0,1,3,5,2,2,1,137
97212004,1,4,2,3,3,1,0,117
97212005,0,1,1,2,3,2,0,111
97212006,7,15,2,8,5,1,3,178
97212007,1,1,0,1,0,1,3,123
97212008,0,1,1,0,1,5,2,180
97212009,2,3,1,2,1,0,4,132
97212010,2,7,0,0,7,1,0,84
97212011,2,10,6,2,9,1,2,176
97212012,1,2,0,5,0,1,3,179
97212013,2,2,0,1,1,0,0,85
97212014,0,2,1,5,1,3,1,149
97212015,0,0,1,2,1,2,0,110
97212016,0,1,1,1,1,5,0,114
97212017,5,22,0,2,16,3,1,130
97212018,1,19,0,1,9,1,4,144
97212019,1,0,1,6,2,2,0,124
97212020,0,1,0,2,0,0,1,131
97212021,3,15,1,0,9,1,1,219
97212022,1,7,0,0,0,5,0,126
97213001,8,4,4,9,5,3,5,306
97213002,2,1,0,9,1,5,5,224
97213004,4,6,2,6,3,1,1,429
97213006,1,0,2,3,1,0,1,181
97213007,3,3,4,6,4,0,2,297
97213008,4,8,2,2,5,2,3,652
97213009,3,7,3,2,8,0,2,132
97213010,3,1,2,2,7,4,0,209
97213011,3,5,1,2,1,0,1,187
97213013,0,2,0,3,2,1,0,148
97213015,2,2,2,2,1,4,1,270
97213017,2,6,3,5,2,1,0,294
97213019,2,2,2,4,3,3,0,396
97213020,7,5,4,11,7,6,3,709
97213021,0,11,2,8,4,0,7,348
97213027,4,1,2,2,3,3,8,229
97213028,10,14,3,5,5,3,2,146
97213031,1,2,1,1,2,0,1,178
97213032,2,3,1,4,3,2,5,196
97213035,0,2,1,2,1,2,1,203
97213036,1,5,1,0,3,0,0,225
97213037,4,2,0,4,0,0,2,190
97213038,1,4,6,13,6,6,4,769
97214001,0,0,0,0,0,0,0,0
97214002,0,0,0,0,0,0,0,4
97214003,0,0,0,0,0,0,0,0
97214004,0,0,0,0,0,0,0,0
97214005,0,0,0,0,0,0,0,42
97214006,0,0,0,0,0,0,0,0
97214007,0,0,0,0,0,0,0,25
97214008,0,2,0,0,0,0,0,17
97214009,0,0,0,0,0,0,0,3
97214010,0,1,0,0,2,0,0,36
97214011,0,0,0,0,0,0,0,14
97214012,0,0,0,0,0,0,0,0
97214013,0,0,0,0,0,0,0,0
97214014,0,0,0,0,0,0,0,21
97214015,0,0,0,0,0,0,0,0
97214016,0,0,0,0,0,0,0,0
97214017,0,0,0,0,0,0,0,0
97214018,0,0,0,1,0,1,0,6
97214019,0,0,0,0,0,0,0,0
97214020,0,0,0,0,0,0,0,0
97214021,0,0,0,0,0,0,0,0
97214022,0,0,0,0,0,0,0,0
97214023,0,0,0,1,0,0,1,35
97214024,0,0,1,0,0,0,0,14
97214026,0,0,0,0,0,0,0,0
97214027,0,0,0,0,0,0,0,0
97214028,0,0,0,0,0,0,0,0
97214029,0,0,0,0,0,0,0,28
97214030,0,0,0,0,0,0,0,0
97214031,0,0,0,0,0,0,0,2
97214032,0,0,0,0,0,0,0,0
97214033,0,0,1,0,0,0,0,24
97214034,2,2,1,0,2,0,0,46
97214035,0,0,0,0,0,0,0,0
97214036,0,0,0,0,0,0,0,0
97214037,0,0,0,0,0,0,0,18
97214038,0,0,0,0,0,0,0,0
97214039,0,0,1,0,0,1,0,40
97214040,0,0,0,0,0,0,0,20
97215001,0,0,0,0,0,0,0,0
97215003,0,0,0,0,0,0,0,0
97215004,0,0,0,0,0,0,0,0
97215005,0,0,0,0,0,0,0,0
97215006,0,0,0,0,0,0,0,0
97215007,0,0,0,0,0,0,0,0
97215008,0,0,0,0,0,0,0,0
97215010,0,0,0,0,0,0,0,0
97215011,0,0,0,0,0,0,0,0
97215012,0,0,0,0,0,0,0,0
97215013,0,0,0,0,0,0,0,0
97215014,0,0,0,0,0,0,0,0
97215015,0,0,0,0,0,0,0,0
97215016,0,0,0,0,0,0,0,0
97215017,0,0,0,0,0,0,0,0
97215019,0,0,0,0,0,0,0,0
97215020,0,0,0,0,0,0,0,0
97215021,0,0,0,0,0,0,0,0
97215022,0,0,0,0,0,0,0,0
97215023,0,0,0,0,0,0,0,0
97215024,0,0,0,0,0,0,0,0
97215025,0,0,0,0,0,0,0,0
97216001,0,0,0,0,0,0,0,0
97216002,0,0,0,0,0,0,0,0
97216003,0,0,0,0,0,0,0,0
97216004,0,0,0,0,0,0,0,0
97216005,0,0,0,0,0,0,0,0
97216006,0,0,0,0,0,0,0,0
97216007,0,0,0,0,0,0,0,0
97216008,0,0,0,0,0,0,0,0
97216009,0,0,0,0,0,0,0,0
97216010,0,0,0,0,0,0,0,0
97216011,0,0,0,0,0,0,0,0
97216013,0,0,0,0,0,0,0,0
97216014,0,0,0,0,0,0,0,0
97216015,0,0,0,0,0,0,0,0
97216016,0,0,0,0,0,0,0,0
97216017,0,0,0,0,0,0,0,0
97216018,0,0,0,0,0,0,0,0
97216019,0,0,0,0,0,0,0,0
97216020,0,0,0,0,0,0,0,0
97216021,0,0,0,0,0,0,0,0
97216022,0,0,0,0,0,0,0,0
97216023,0,0,0,0,0,0,0,0
97216024,0,0,0,0,0,0,0,0
97216025,0,0,0,0,0,0,0,0
97216026,0,0,0,0,0,0,0,0
97216027,0,0,0,0,0,0,0,0
97216028,0,0,0,0,0,0,0,0
97217001,1,2,1,3,2,0,1,190
97217002,0,0,0,1,0,0,4,121
97217003,1,1,1,2,2,0,3,225
97217004,1,2,2,6,1,0,0,222
97217005,1,2,1,2,3,1,1,164
97217006,2,5,1,2,1,2,2,400
97217007,3,5,3,3,0,0,9,288
97217008,2,1,1,2,3,0,0,232
97217009,0,2,0,1,3,1,7,154
97217010,0,0,1,0,1,0,1,151
97217011,0,0,0,6,3,1,0,84
97217012,6,6,3,6,9,3,15,735
97217013,4,3,4,2,8,3,3,334
97217014,0,7,2,3,2,1,4,135
97217015,4,1,1,0,1,0,6,96
97217016,2,3,2,2,2,0,7,298
97218003,0,0,0,0,0,0,0,1
97218004,0,0,0,0,0,0,0,2
97218005,0,0,0,0,0,0,0,0
97218007,0,0,1,0,0,0,0,5
97218009,0,0,0,0,0,0,0,0
97218010,0,0,0,0,0,0,0,1
97218011,0,0,0,0,0,0,0,2
97218012,0,0,0,0,0,0,0,0
97218013,0,0,0,0,0,0,0,0
97218014,0,0,0,0,0,0,0,0
97218015,0,0,0,0,0,0,0,2
97218018,0,0,0,0,0,0,0,0
97218019,0,0,0,0,0,0,0,0
97218020,0,0,0,0,0,0,0,0
97218021,0,0,0,0,0,0,0,0
97218022,0,0,0,0,0,0,0,0
97218023,0,0,0,0,0,0,0,0
97218024,0,0,0,0,0,0,0,1
97218025,0,0,0,0,0,0,0,6
97218026,0,0,0,0,0,0,0,3
97218028,0,0,0,0,0,0,0,0
97218029,0,0,0,0,0,0,0,0
97218030,0,0,0,0,0,0,0,0
97218031,0,0,0,0,0,0,0,0
97218032,0,0,0,0,0,0,0,0
97218033,0,0,0,0,0,0,0,0
97218034,0,0,0,0,0,0,0,0
97218035,0,0,0,0,0,0,0,0
97218036,0,0,0,0,0,0,0,2
97218037,0,0,0,0,0,0,0,0
97218038,0,0,0,0,0,0,0,0
97218039,0,0,0,0,0,0,0,2
97218040,0,0,0,0,0,0,0,0
97218041,0,0,0,0,0,0,0,0
97218042,0,0,0,0,0,0,0,0
97218043,0,0,0,0,0,0,0,0
97218044,0,0,0,0,0,0,0,0
97218045,0,0,0,0,0,0,0,0
97218050,0,0,0,0,0,0,0,0
97218051,0,0,0,0,0,0,0,0
97218054,0,0,0,0,0,0,0,2
97218055,0,0,0,0,0,0,0,0
97218056,0,0,0,0,0,0,0,2
97218057,0,0,0,0,0,0,0,1
97218058,0,0,0,0,0,0,0,2
97218059,0,0,0,0,0,1,0,3
97218060,0,0,0,0,0,0,0,1
97218061,0,0,0,0,0,0,0,0
97218062,0,0,0,0,0,0,0,1
97218063,0,0,0,0,0,0,0,3
97218064,0,0,0,0,0,0,0,0
97218065,0,0,0,0,0,0,1,1
97219002,1,3,2,0,4,3,1,298
97219004,1,3,2,1,3,0,3,235
97219005,4,4,1,4,4,3,11,499
97219006,2,2,1,0,3,1,1,159
97219008,3,1,0,0,0,0,4,198
97219009,4,6,3,6,8,2,1,447
97219011,2,6,3,1,8,1,6,380
97219012,0,11,1,1,0,0,3,345
97219013,3,5,0,4,2,0,2,186
97219014,0,1,0,2,1,0,1,158
97219016,3,3,2,5,5,3,3,306
97219018,1,2,1,1,5,1,3,316
97219019,9,22,5,4,10,3,22,940
97219021,4,3,1,7,3,2,15,523
97219022,7,8,0,0,3,3,1,410
97219023,3,3,2,2,0,1,4,214
97219024,0,0,0,0,0,2,0,169
97219025,1,1,0,0,1,1,2,102
97219026,3,2,0,3,7,1,8,326
97219027,2,0,0,0,0,0,3,167
97219028,0,4,2,1,3,1,6,224
97219029,5,5,0,1,1,1,3,210
97219030,0,1,1,3,2,1,2,171
97219031,1,6,1,2,0,3,4,281
97219032,7,6,1,6,6,1,3,619
97219033,0,0,0,0,1,0,1,91
97220001,0,0,0,0,5,0,5,119
97220002,2,1,0,2,0,0,0,95
97220003,0,0,1,0,1,0,0,47
97220004,0,0,0,0,0,0,1,106
97220005,0,1,1,1,0,0,3,193
97220007,0,1,0,0,2,0,0,142
97220009,1,0,0,0,0,0,0,207
97220010,0,3,0,0,5,0,8,65
97220011,0,0,0,1,2,1,1,136
97220013,2,3,1,1,2,2,6,764
97220014,0,0,0,0,0,0,0,68
97220015,0,0,0,0,1,0,2,132
97220016,2,0,0,1,2,0,2,225
97220017,0,0,1,0,0,0,2,35
97220018,5,0,2,4,4,0,0,45
97220019,0,0,0,0,1,0,0,95
97220020,1,0,0,1,2,0,0,104
97220021,1,1,0,0,9,1,1,133
97220022,2,0,0,1,2,4,14,177
97220024,1,0,0,0,1,0,0,80
97220025,0,0,0,0,1,0,2,90
97220026,0,2,0,0,3,1,4,133
97220028,0,1,0,1,1,1,1,147
97220029,1,1,2,0,2,0,5,269
97220030,0,2,2,1,3,0,6,202
97220031,1,4,1,0,3,0,7,60
97220032,1,0,0,2,2,1,1,108
97220033,0,0,0,0,0,0,0,83
97220035,0,1,2,1,2,1,1,161
97220036,1,3,1,1,2,1,3,90
97220037,0,0,0,2,0,0,2,220
97220038,10,3,3,1,6,2,8,570
97220039,0,0,1,0,5,1,2,29
97220040,0,0,0,0,0,0,2,133
97221001,4,3,2,1,1,2,2,141
97221002,2,3,5,2,3,3,2,378
97221003,4,2,3,3,5,2,3,303
97221004,2,3,0,3,3,2,4,274
97221005,2,3,1,3,2,1,0,248
97221006,3,3,2,3,2,2,5,323
97221007,5,5,2,10,7,6,17,843
97221008,0,0,2,0,3,1,3,190
97221009,0,3,2,3,4,1,2,207
97221010,0,0,1,2,4,0,2,191
