psgc_brgy,strong_materials_ tile_concrete_brick_stone_wood_plywood,light_ materials_cogon_nipa_anahaw_bamboo,salvaged_makeshift_materials,mixed_but_predominantly_strong_materials,mixed_but_predominantly_light_materials,mixed_but_predominantly_salvaged_materials
84806004,11,27,0,1,5,1
84806005,21,15,4,12,5,11
84806006,23,40,1,22,12,18
84806008,20,16,1,22,22,2
84806009,70,53,2,25,17,13
84806010,4,15,8,18,3,0
84806011,31,44,2,1,0,0
84806013,21,41,7,26,28,4
84806014,70,85,4,0,3,0
84806015,72,86,0,16,8,0
84806016,9,11,0,0,0,0
84806017,84,79,0,0,0,0
84806018,13,46,0,0,0,0
84806020,27,29,0,20,5,0
84806021,17,29,0,4,1,0
84806023,28,32,0,3,1,0
84806024,95,94,0,2,0,0
84806025,16,32,0,7,4,1
84806026,11,8,0,9,27,0
84806027,10,46,1,18,17,20
84806028,11,5,0,8,7,1
84806029,59,37,0,6,13,0
84806030,12,30,2,0,0,0
84806031,10,14,1,7,10,0
84806032,8,24,0,8,3,0
84806033,66,33,2,13,5,1
84806034,47,60,0,0,0,0
84806035,17,54,0,2,1,0
84806036,63,76,0,17,27,0
84806037,202,167,3,58,28,7
84806038,60,101,4,28,41,1
84806039,29,88,4,9,24,2
84806040,49,77,2,0,0,1
84806042,18,25,1,8,15,0
84806043,3,10,0,1,0,2
84806044,4,29,0,0,0,0
84806045,100,84,2,30,12,2
84806046,33,20,0,6,10,0
84806047,61,34,0,6,0,0
84806048,38,6,0,0,1,0
84806049,26,7,1,0,7,1
84806050,28,1,0,2,1,0
84806051,37,2,0,7,2,0
84806052,69,12,0,22,16,0
84807001,112,112,11,120,96,12
84807002,69,118,3,25,33,11
84807003,20,149,0,20,29,9
84807004,13,89,0,2,4,0
84807005,20,64,2,8,11,0
84807006,16,114,0,12,26,0
84807007,24,56,2,32,36,6
84807008,66,242,0,6,21,0
84807010,53,116,2,16,41,1
84807011,18,61,3,25,34,2
84807012,12,28,8,39,43,5
84807013,3,35,0,11,27,13
84807014,0,30,0,0,0,0
84807015,10,40,0,2,5,0
84807016,18,37,1,28,18,3
84807018,101,21,4,19,21,0
84807019,54,54,2,24,11,1
84807020,52,12,8,98,132,10
84807021,33,82,0,2,9,0
84807022,5,20,2,23,27,1
84807023,64,209,7,61,81,13
84807024,50,182,1,40,47,4
84807025,54,115,2,31,63,12
84807026,26,88,11,30,66,10
84807027,50,132,1,30,23,3
84807028,45,108,0,2,6,0
84808001,28,58,0,7,40,0
84808002,36,49,11,20,38,4
84808003,3,44,10,6,36,3
84808004,6,109,15,16,8,0
84808005,20,100,10,15,19,0
84808006,93,82,1,65,58,3
84808007,27,45,0,14,9,6
84808008,113,157,1,10,6,8
84808009,22,82,1,16,26,0
84808010,20,119,2,28,23,1
84808011,86,372,3,37,24,2
84808012,10,51,1,15,23,1
84808013,23,87,1,7,41,8
84808014,16,90,8,24,49,9
84808015,19,49,1,16,27,1
84808016,10,81,0,7,11,0
84808017,99,203,8,52,22,1
84808018,112,43,9,48,38,0
84808019,30,106,6,32,26,19
84808020,19,97,2,22,1,0
84808021,54,116,0,1,0,0
84808022,6,78,0,2,4,0
84808023,9,88,2,24,45,3
84808026,11,88,13,27,13,1
84808027,5,29,1,8,12,0
84808028,14,55,0,15,16,3
84808029,180,170,0,25,72,6
84808030,21,51,0,30,26,6
84808031,30,148,12,54,33,5
84808032,24,29,1,30,20,1
84808033,30,91,1,4,41,5
84808034,160,293,12,92,124,18
84808035,34,39,7,28,10,1
84808036,46,128,0,25,6,4
84808037,21,44,0,14,19,9
84808038,64,208,1,40,14,1
84808039,48,191,15,44,39,0
84808040,11,66,20,15,66,7
84808041,0,60,0,1,8,0
84808042,8,65,1,4,5,0
84808043,207,466,3,60,78,6
84808044,37,76,2,40,54,1
84808045,15,79,5,12,1,0
84808046,224,174,3,80,39,4
84808048,29,30,0,17,5,2
84808049,6,42,0,8,28,1
84808050,35,50,8,28,19,2
84808052,6,39,11,14,49,4
84808054,35,72,0,14,3,0
84808055,22,52,0,11,6,0
84808056,13,59,0,12,12,0
84808057,59,23,7,40,40,4
84808058,85,185,4,66,51,1
84808059,9,48,4,22,17,2
84808060,15,9,0,10,51,0
84808061,46,181,3,35,29,3
84809001,10,53,1,2,3,0
84809002,2,15,0,3,16,5
84809003,4,75,1,4,10,0
84809004,3,83,6,3,6,1
84809005,5,33,0,1,2,0
84809006,14,69,4,4,22,1
84809007,64,128,3,30,21,3
84809008,91,178,18,35,38,4
84809009,15,129,0,3,13,0
84809010,33,64,3,5,7,3
84809011,8,37,5,2,10,0
84809012,5,43,0,1,0,0
84809013,3,71,0,6,0,1
84809014,63,86,1,9,13,0
84809015,47,120,4,11,16,1
84810001,27,40,0,2,5,0
84810002,9,37,9,25,12,0
84810003,20,26,0,0,1,0
84810004,50,51,1,31,5,0
84810005,54,93,2,25,8,3
84810006,19,21,5,7,4,1
84810007,13,14,1,6,6,3
84810008,0,1,6,35,1,0
84810009,138,67,4,28,33,0
84810010,64,30,0,22,30,1
84810011,6,5,0,3,9,0
84810012,16,13,0,3,5,0
84810013,20,49,0,1,7,0
84810014,15,43,0,3,1,0
84810015,22,22,3,3,1,0
84810016,44,29,13,45,15,1
84810017,23,30,1,5,5,2
84810018,20,15,2,5,5,0
84810019,37,28,1,3,9,2
84810020,13,22,10,9,1,0
84810021,10,11,12,20,14,0
84810022,46,22,1,3,3,0
84810023,26,51,0,4,6,0
84810024,16,18,0,1,5,0
84810025,47,35,1,8,5,1
84810026,17,30,0,0,2,1
84810027,9,13,7,5,0,0
84810028,24,25,3,4,4,1
84810029,16,10,2,4,2,1
84810030,12,35,0,7,6,1
84810031,40,63,1,1,3,0
84810032,15,14,0,4,1,0
84810033,158,110,3,16,22,5
84810034,55,21,5,6,2,1
84810035,13,29,2,40,14,1
84810036,50,39,0,2,3,0
84810037,56,30,3,3,8,0
84810038,5,3,1,4,3,3
84810039,5,16,1,14,0,0
84810040,45,15,0,6,5,0
84810041,12,12,0,6,5,0
84810042,33,42,30,35,12,25
84810043,19,60,6,14,15,15
84810045,141,70,8,41,16,3
84810046,25,47,5,39,16,0
84810047,17,18,0,5,4,0
84810048,68,59,0,17,43,2
84810049,9,12,0,2,14,0
84810050,27,34,4,4,7,2
84810051,16,14,3,2,3,1
84810052,63,70,3,1,9,0
84810053,41,54,2,2,4,1
84810054,33,42,1,19,11,2
84811001,9,58,0,9,0,0
84811002,33,128,0,17,16,0
84811003,47,128,1,37,8,0
84811004,76,153,2,43,10,0
84811005,72,81,1,47,4,0
84811006,49,42,0,11,1,0
84811007,1,26,0,0,0,0
84811008,7,43,0,6,0,0
84811009,99,202,1,47,3,0
84811010,97,279,5,88,35,0
84811011,38,148,0,52,11,0
84811012,89,126,3,49,28,4
84811013,15,129,0,6,5,0
84811014,54,92,0,24,6,0
84811015,51,88,3,35,4,0
84811018,11,74,0,13,5,0
84811019,14,63,0,17,4,0
84811020,5,49,1,15,3,0
84811021,7,64,1,8,2,0
84811022,34,152,0,22,9,0
84811023,71,127,4,52,29,0
84811026,12,63,0,19,14,2
84811027,73,240,1,48,15,0
84811028,59,281,0,42,34,3
84811029,20,57,0,18,2,0
84811030,82,187,0,38,9,1
84812001,19,18,0,2,15,0
84812002,22,67,18,2,2,0
84812003,50,16,1,0,11,0
84812004,148,139,18,22,14,3
84812005,123,68,4,4,5,0
84812006,59,15,0,4,10,1
84812007,10,90,3,3,2,0
84812008,55,31,0,1,0,0
84812009,48,86,4,33,1,0
84812010,42,22,0,4,12,0
84812011,25,10,15,9,7,3
84812012,52,86,6,17,3,0
84812013,97,96,15,29,24,2
84813001,25,126,6,17,21,0
84813002,148,294,19,43,33,3
84813003,44,87,5,12,27,13
84813004,5,21,2,3,4,4
84813005,28,68,3,14,18,7
84813006,133,218,3,38,34,14
84813007,24,44,1,3,10,8
84813008,48,66,2,7,15,1
84813009,122,200,10,19,24,2
84813010,7,59,2,3,4,3
84813011,12,50,1,4,9,3
84813012,116,281,1,20,57,4
84813013,15,54,0,14,21,0
84813014,211,292,20,39,73,19
84813015,59,83,0,3,26,8
84813016,150,208,12,29,55,37
84813017,59,104,7,12,9,2
84813018,36,80,0,23,20,0
84813019,35,68,2,10,9,6
84813020,22,46,3,5,10,9
84813021,33,57,0,13,5,1
84813022,54,104,2,20,25,2
84813023,2,14,2,0,16,5
84813024,13,56,3,3,14,4
84814001,129,27,0,5,2,1
84814002,56,85,3,23,15,0
84814003,31,31,0,10,2,0
84814004,20,54,9,4,3,0
84814005,89,57,2,0,0,0
84814006,116,149,7,17,32,4
84814007,29,55,2,1,2,1
84814008,92,113,6,19,10,0
84814009,7,46,0,5,49,0
84814010,139,41,0,65,48,1
84814011,2,12,0,1,16,0
84814012,6,41,0,8,38,0
84814013,93,116,0,0,2,1
84814014,81,115,2,3,7,1
84814015,9,23,2,4,6,1
84814016,13,65,0,10,9,0
84814017,42,91,2,29,32,0
84814018,19,64,0,5,18,2
84814019,15,30,3,2,2,0
84814020,57,66,0,7,1,0
84814021,38,136,11,3,11,1
84814022,61,86,2,18,29,0
84814023,100,143,6,22,73,1
84814024,41,70,1,0,2,0
84814026,43,91,3,5,3,0
84814028,16,48,6,7,26,0
84814029,71,88,1,4,0,0
84814030,29,97,0,9,32,0
84814031,107,74,1,3,2,1
84814032,110,86,1,2,2,0
84814033,284,143,1,3,3,0
84814034,83,165,12,10,0,0
84815002,61,138,7,3,14,1
84815004,8,103,6,1,3,0
84815005,1,38,2,1,1,0
84815007,7,50,0,1,3,2
84815008,15,59,0,8,4,1
84815009,71,131,1,12,23,2
84815010,24,58,6,7,5,2
84815011,50,138,16,18,51,3
84815012,16,124,3,3,8,3
84815013,17,57,5,3,17,0
84815014,28,99,2,6,7,2
84815015,14,83,0,5,0,2
84815016,2,32,2,2,1,0
84815018,54,112,2,16,15,0
84815019,147,176,11,14,18,0
84815020,48,66,3,2,5,1
84815021,24,9,0,9,3,0
84815022,81,59,4,4,5,0
84815023,43,29,2,8,4,5
84815024,67,109,7,8,4,0
84815025,58,93,5,5,2,0
84815026,74,238,20,22,18,1
84815027,9,48,5,3,15,5
84815028,36,34,2,7,6,0
84815029,13,23,0,1,9,1
84815030,58,112,9,7,13,1
84816001,0,23,7,4,8,1
84816002,27,96,30,23,36,7
84816003,10,37,16,16,28,2
84816005,3,68,38,11,15,5
84816006,50,51,6,35,29,3
84816007,70,96,25,53,58,9
84816008,42,61,8,52,38,11
84816009,6,39,22,26,21,2
84816010,50,92,31,69,55,13
84816011,7,59,10,9,37,4
84816012,0,31,9,1,2,1
84817001,74,77,20,18,19,4
84817002,79,233,14,28,32,3
84817003,42,94,11,17,24,3
84817005,53,75,7,24,4,0
84817006,43,63,2,29,14,1
84817007,40,42,5,8,17,2
84817008,17,79,3,3,8,0
84817009,32,71,6,11,24,4
84817010,61,81,1,5,9,0
84817011,91,137,10,16,22,2
84818001,218,152,9,99,95,16
84818003,195,225,8,87,75,1
84818004,44,77,5,32,38,9
84818005,73,100,3,62,30,0
84818007,49,152,9,19,50,3
84818008,37,94,7,35,28,12
84818009,192,268,12,89,103,6
84818010,217,99,8,43,74,18
84818011,110,41,3,29,33,4
84818012,99,98,0,18,45,0
84818013,147,168,6,65,72,5
84818014,98,127,6,77,36,1
84818015,34,88,3,9,31,3
84818016,114,216,3,52,108,12
84819002,72,122,19,55,90,2
84819003,14,50,4,20,33,7
84819004,78,91,20,56,119,22
84819005,20,39,0,26,31,3
84819007,57,83,7,57,55,2
84819008,18,70,2,15,43,7
84819009,93,118,8,76,113,8
84819012,32,47,2,37,48,3
84819013,8,28,1,17,15,11
84819014,62,191,9,64,117,8
84819025,33,66,0,19,30,1
84819026,7,58,0,15,22,8
84819027,87,97,5,42,58,5
84819028,20,26,8,19,21,1
84819029,35,20,3,33,43,2
84819030,51,84,5,23,72,3
84820001,30,129,0,7,8,2
84820002,6,101,0,9,1,0
84820003,195,423,3,39,31,0
84820004,70,140,3,18,19,1
84820005,29,96,1,21,27,0
84820006,30,55,2,9,13,0
84820007,68,118,1,14,6,1
84820008,21,35,1,5,10,1
84820009,27,72,1,6,15,0
84820010,34,132,1,11,17,1
84820011,108,209,2,37,31,2
84820012,79,82,0,3,6,0
84820013,31,139,2,18,24,2
84820014,57,14,0,1,1,0
84820015,83,126,0,17,13,0
84820016,57,87,1,5,16,0
84821002,21,95,52,50,71,5
84821003,78,89,12,26,70,19
84821005,15,36,22,45,57,0
84821006,2,35,16,11,24,2
84821007,72,121,25,35,40,18
84821008,61,115,6,31,11,4
84821009,33,99,34,29,31,1
84822001,1,34,1,2,0,1
84822002,24,74,1,8,8,11
84822003,24,93,3,6,8,31
84822004,3,74,0,1,0,0
84822005,8,32,1,3,0,0
84822006,1,28,1,2,2,0
84822007,0,21,2,4,3,0
84822008,10,104,3,3,5,0
84822009,23,56,0,24,0,0
84822010,12,22,0,3,0,0
84822011,10,111,1,4,3,6
84822012,7,86,2,3,0,3
84822013,2,65,2,2,13,0
84822014,21,49,4,5,6,7
84822015,31,144,2,6,0,0
84822016,14,79,1,1,1,0
84822017,2,45,0,0,0,0
84822018,4,20,0,0,0,0
84822019,0,23,0,2,1,0
84822020,15,95,3,9,1,0
84822021,6,53,0,0,0,0
84822022,7,48,0,2,0,0
84822023,2,33,0,0,3,8
84822024,40,119,9,10,1,3
84822025,32,107,1,3,2,0
84822026,3,37,0,1,2,1
84823001,21,22,8,16,0,0
84823002,9,40,0,44,0,0
84823003,83,73,2,83,0,0
84823004,62,75,22,42,17,2
84823006,209,133,0,140,0,0
84823007,77,183,3,98,0,0
84823008,21,55,0,0,1,0
84823009,29,46,0,45,0,0
84823010,21,38,5,23,0,0
84823011,13,36,4,19,0,0
84823012,54,89,0,33,0,0
84823013,59,49,0,12,0,0
84823014,119,136,1,81,0,0
84823016,57,50,0,49,1,0
84823017,12,43,1,41,5,0
84823018,26,30,6,21,3,0
84824001,28,127,6,13,27,1
84824002,39,28,3,20,8,0
84824003,5,9,0,4,2,0
84824004,8,31,0,1,4,0
84824005,6,45,2,12,6,0
84824006,1,20,4,4,9,0
84824007,5,57,2,5,3,1
84824008,35,73,0,9,4,0
84824009,2,11,1,4,1,0
84824010,87,277,14,55,44,1
84824011,13,75,1,10,3,0
84824012,9,49,0,3,6,0
84824013,7,36,1,2,0,0
84824014,34,56,1,4,6,0
84824015,2,20,3,4,8,0
84824016,1,30,1,5,3,0
84824017,4,20,0,2,3,0
84824018,5,14,0,0,0,0
84824019,11,44,0,8,5,0
84824020,2,16,0,0,1,0
84824021,1,15,4,4,8,0
84824022,9,13,0,1,0,0
86001001,85,73,17,21,16,0
86001004,70,54,7,9,9,1
86001005,30,16,10,7,3,0
86001007,45,15,13,16,5,0
86001008,45,71,25,32,15,0
86001011,47,34,13,14,11,0
86001012,24,24,10,11,5,0
86001013,32,32,3,8,2,0
86001014,20,26,3,2,2,0
86001017,44,30,4,9,8,0
86001019,31,21,2,12,0,0
86001023,41,26,24,21,6,0
86001024,17,12,11,9,2,0
86001025,18,29,18,18,8,0
86001026,42,19,0,12,6,0
86001027,23,16,6,12,2,1
86001028,41,31,16,12,4,0
86001029,15,29,11,7,2,0
86001030,32,58,7,17,6,1
86001031,19,29,1,4,1,0
86001032,17,47,6,7,4,0
86001033,43,23,3,6,0,0
86001034,44,32,0,8,3,1
86002001,55,80,2,28,22,4
86002002,56,52,0,6,8,1
86002003,64,60,1,30,21,2
86002004,6,34,1,1,0,0
86002005,87,74,0,41,13,1
86002006,14,96,0,37,6,2
86002007,85,50,0,49,16,1
86002008,24,39,0,10,8,1
86002009,110,169,10,48,34,3
86002010,25,115,0,3,2,0
86002011,74,130,9,35,27,5
86002012,25,48,2,20,6,1
86002013,47,178,1,22,28,0
86002014,43,125,2,22,21,3
86002015,7,63,0,1,13,0
86002016,154,212,33,37,32,1
86002017,17,78,0,12,17,0
86002018,30,50,1,22,16,0
86002019,54,59,16,3,1,0
86002021,141,132,1,18,27,3
86002022,185,284,3,34,32,4
86002023,47,58,2,8,11,2
86002024,5,27,0,16,9,0
86002025,72,98,1,14,7,2
86002026,27,72,0,11,4,1
86002027,14,56,2,0,1,0
86002028,37,62,3,13,1,0
86002029,76,69,1,26,30,4
86002030,108,138,1,50,24,0
86002031,115,160,1,55,22,1
86002032,94,35,1,12,3,3
86002033,13,53,3,28,26,3
86002034,51,52,1,20,21,2
86002035,66,72,2,11,22,5
86002036,110,44,2,11,10,1
86002037,87,46,0,47,45,1
86002038,37,21,1,9,9,0
86002039,91,302,10,48,33,5
86002040,97,22,1,8,3,0
86002041,71,161,0,31,28,1
86002042,98,109,2,28,29,8
86002043,143,160,11,60,53,0
86002044,34,88,2,8,14,0
86002045,84,57,1,26,25,3
86002046,13,27,0,9,8,3
86002047,30,19,0,1,2,0
86002048,46,87,3,54,28,7
86002049,45,138,5,46,18,2
86002050,33,78,4,26,8,0
86002051,36,22,0,13,6,1
86002052,68,205,0,26,23,1
86003001,17,40,3,10,14,1
86003002,22,77,3,9,10,5
86003003,35,36,13,10,1,0
86003004,103,37,0,7,10,1
86003005,85,104,14,28,17,9
86003007,143,81,1,56,34,10
86003008,146,215,20,76,90,28
86003009,1,23,1,18,11,1
86003010,223,105,33,72,44,9
86003011,147,41,0,18,13,7
86003012,64,69,1,46,58,4
86003013,91,79,4,22,56,16
86003015,6,44,12,55,35,0
86003016,113,63,2,86,57,12
86003017,169,74,11,41,33,2
86003018,217,42,2,85,32,10
86003019,4,17,0,4,0,0
86003020,52,67,2,48,54,1
86003021,67,149,5,32,23,2
86003022,9,46,0,9,37,0
86003023,21,36,1,15,12,1
86003024,30,53,0,13,18,2
86003025,94,23,12,4,7,0
86003027,12,22,7,2,11,0
86003028,30,23,14,3,1,0
86003029,36,43,10,30,31,1
86003030,25,53,8,8,15,0
86003031,18,35,0,3,3,0
86003032,171,68,7,4,0,2
86003033,237,99,2,22,22,18
86003034,7,67,3,37,0,0
86003035,130,226,10,25,12,0
86003036,82,17,1,48,115,2
86003037,10,36,4,29,16,0
86003039,4,28,0,3,2,0
86003040,14,6,0,1,1,0
86003041,3,51,0,0,0,0
86003042,29,45,5,30,28,1
86003043,276,159,26,103,161,2
86003044,146,367,14,58,174,4
86003045,14,27,1,7,4,0
86003047,16,41,4,10,11,0
86003048,48,0,0,0,0,0
86003049,35,92,4,19,12,0
86003050,248,360,39,37,60,4
86003052,15,73,5,53,84,0
86003053,5,38,3,18,13,0
86003054,7,28,1,2,17,1
86003055,23,52,2,25,26,3
86003056,3,21,0,0,0,0
86003057,29,26,12,0,0,0
86003058,79,189,17,8,5,0
86003059,1,12,13,0,0,0
86003060,11,52,21,1,0,0
86003061,16,41,0,11,1,0
86003062,51,77,10,18,28,6
86003063,53,47,1,11,12,0
86003064,25,59,1,8,7,0
86003065,223,117,49,73,100,23
86003066,1,11,0,9,13,3
86003067,24,22,2,0,3,0
86003068,6,22,3,2,0,0
86003069,17,104,4,6,1,0
86003070,32,63,1,5,0,0
86003071,6,24,2,3,14,0
86003072,4,22,0,3,2,0
86003074,45,16,52,51,106,1
86003076,26,68,2,13,5,1
86003077,74,64,5,6,2,1
86003078,0,22,0,1,14,0
86003079,12,37,1,4,21,1
86003081,6,39,0,24,4,0
86003082,35,24,1,14,5,2
86003083,11,39,11,5,5,0
86003084,51,62,0,24,4,1
86003085,30,19,0,23,90,2
86003086,8,56,4,7,2,0
86003087,16,20,0,21,11,0
86003088,14,115,8,66,114,0
86003089,58,81,0,50,74,4
86003090,106,63,0,14,17,0
86003091,199,88,7,15,36,2
86003092,229,102,1,51,41,5
86003093,140,75,8,22,8,1
86003094,116,107,0,16,29,4
86003095,44,56,1,18,3,0
86003096,8,30,1,5,1,0
86003097,1,19,1,19,0,0
86003098,97,151,7,106,206,5
86003099,31,107,26,20,20,6
86003101,9,34,0,4,0,0
86003102,10,24,1,7,1,0
86003103,48,62,2,20,0,1
86003105,39,40,0,24,23,1
86003106,34,38,0,27,19,1
86003107,2,4,0,0,0,0
86003109,16,97,10,14,1,0
86003110,140,197,25,36,73,9
86003111,14,35,0,7,18,0
86003112,318,147,28,42,16,0
86003113,3,41,3,2,1,2
86003114,147,70,3,74,40,4
86003115,22,74,2,1,0,1
86003116,35,17,3,15,8,2
86003117,57,55,3,0,3,0
86003118,31,82,15,12,11,1
86003119,13,43,1,1,2,1
86003120,13,55,0,17,30,0
86003121,45,69,6,4,4,0
86003122,282,141,5,61,39,2
86003123,109,140,5,73,73,8
86003124,15,45,1,5,2,0
86003126,5,24,1,6,12,1
86003127,249,171,20,131,130,6
86003128,36,8,0,2,6,0
86003129,50,54,0,24,12,0
86003130,21,20,3,3,14,0
86003131,4,48,22,18,39,1
86003132,44,43,10,19,4,0
86003133,6,27,0,9,0,0
86003134,4,43,8,6,4,1
86003135,8,7,0,29,32,9
86003136,384,263,2,167,173,27
86003137,29,53,41,6,1,1
86003138,420,347,73,85,85,10
86003139,23,48,0,33,32,7
86003140,24,51,0,7,1,0
86003141,21,77,4,64,3,1
86003142,20,22,2,2,0,0
86003143,77,105,0,22,36,0
86003144,30,42,0,12,15,1
86003145,55,45,6,35,8,0
86003146,1,39,4,12,9,0
86003147,16,22,5,4,3,0
86003148,93,105,12,65,82,12
86003149,12,43,0,3,1,0
86003152,185,60,1,32,66,10
86003153,120,22,2,17,14,1
86003154,154,97,8,216,124,16
86003155,30,61,1,15,8,0
86003156,53,93,13,3,1,0
86003158,162,126,27,91,42,16
86003159,107,90,36,74,77,9
86003160,26,22,0,0,4,0
86003162,29,45,2,10,5,0
86003165,143,171,40,19,40,8
86003166,219,145,0,48,45,8
86003167,36,31,0,6,7,0
86003168,18,18,4,7,4,0
86003171,12,74,3,15,31,1
86003173,132,102,33,23,7,0
86003174,15,39,8,8,4,0
86003175,222,87,13,46,65,14
86003176,258,292,3,31,55,17
86003177,118,39,2,42,19,2
86003178,5,41,0,37,5,0
86004001,0,41,0,2,2,0
86004002,62,85,9,14,16,0
86004003,17,42,1,13,8,0
86004004,43,96,15,14,4,0
86004005,8,31,1,7,0,0
86004006,10,47,0,1,10,0
86004007,8,32,0,3,7,0
86004008,27,72,1,21,6,2
86004009,14,20,0,6,2,0
86004010,12,57,0,14,17,0
86004011,83,60,1,17,16,0
86004012,10,70,0,8,1,0
86004013,134,88,2,35,5,0
86004014,4,26,0,5,3,1
86004015,7,38,0,4,1,0
86004016,1,12,0,1,1,0
86004017,15,31,0,7,1,0
86004018,6,34,0,0,0,0
86004019,19,36,4,2,1,0
86004020,31,55,0,24,11,1
86004021,68,115,8,16,10,0
86004022,15,48,0,5,0,0
86004024,11,27,1,11,24,0
86004025,23,59,1,9,1,0
86004026,53,80,10,26,6,1
86004027,94,134,2,48,19,0
86004028,31,21,6,14,1,1
86004029,28,10,0,8,0,0
86004030,44,10,0,3,6,0
86004031,64,8,0,10,5,1
86004032,33,5,0,7,3,1
86004033,59,39,1,26,16,1
86004034,58,26,1,11,8,1
86004035,211,132,5,69,27,1
86004036,47,54,1,9,1,0
86004037,47,82,1,1,11,0
86004038,26,63,0,4,2,0
86004039,15,41,0,0,0,0
86004040,23,43,1,20,18,0
86004041,33,69,0,20,64,0
86004042,2,20,0,2,1,0
86005001,9,24,0,21,8,1
86005002,44,56,12,25,23,4
86005003,4,36,0,4,2,0
86005004,44,55,2,20,17,1
86005005,34,72,8,14,10,2
86005006,230,285,26,89,127,3
86005007,42,66,3,20,10,1
86005008,2,8,8,0,7,1
86005009,9,19,0,8,8,0
86005011,2,15,0,15,2,0
86005012,49,19,0,38,106,0
86005013,17,35,2,11,7,0
86005014,685,317,50,333,520,23
86005015,5,0,0,8,24,0
86005016,44,1,0,30,98,5
86005017,54,62,13,6,17,1
86005018,55,21,0,30,10,1
86005019,65,103,3,15,34,0
86005020,249,68,22,107,229,2
86005021,53,137,8,40,40,1
86005022,18,54,13,25,15,1
86005023,0,21,1,3,13,0
86005024,5,15,0,10,5,0
86005025,5,6,0,5,15,0
86005026,351,136,15,133,165,14
86005027,562,480,40,166,249,25
86005028,25,98,7,16,17,0
86005029,50,122,9,18,22,4
86005030,73,87,2,19,17,1
86005031,4,65,0,8,11,0
86005032,139,215,9,119,68,7
86005033,91,67,13,62,62,4
86005034,166,20,6,51,17,2
86005035,83,4,9,14,10,0
86005036,242,84,17,98,43,5
86005037,91,19,6,45,34,0
86005038,33,5,0,15,3,0
86005039,103,93,2,48,63,3
86005040,62,42,4,69,40,1
86005041,89,10,1,46,47,3
86005042,194,29,9,80,139,6
86005043,155,1,0,59,54,2
86005044,126,17,0,24,9,3
86005045,94,16,0,27,27,0
86005046,240,300,28,141,167,19
86005047,250,50,10,111,107,7
86005048,65,101,15,16,40,6
86005049,202,97,10,151,135,2
86005050,82,42,0,40,103,6
86005051,247,53,15,125,230,5
86005052,132,24,7,35,55,4
86005053,63,105,2,21,30,1
86005054,33,102,5,17,15,1
86005055,203,191,9,39,114,22
86005056,5,13,0,3,14,0
86005057,38,4,1,9,48,0
86005059,90,57,11,17,70,3
86006001,16,41,0,11,6,0
86006002,100,213,6,49,11,5
86006003,52,202,7,29,20,5
86006004,50,54,1,18,3,2
86006005,20,252,2,39,45,19
86006006,1,24,2,1,3,3
86006007,38,98,5,49,13,3
86006008,17,30,1,3,7,0
86006009,17,27,1,12,0,0
86006010,15,95,2,14,4,1
86006011,25,81,3,14,5,5
86006012,35,62,1,11,0,10
86006013,21,31,3,7,0,2
86006014,36,116,8,17,6,0
86006015,24,43,1,15,6,0
86006016,65,144,9,20,3,0
86006017,35,36,3,15,2,3
86006018,34,119,0,47,25,2
86006019,10,34,3,6,0,2
86006020,23,88,10,27,2,6
86006021,27,57,0,11,1,5
86006022,47,69,4,17,6,1
86006023,29,69,1,55,37,22
86006024,21,79,3,11,0,5
86006025,22,33,2,15,3,3
86006026,6,64,0,10,7,1
86006027,27,90,3,23,6,2
86006028,44,68,2,18,11,19
86006029,8,117,0,12,35,5
86006030,8,42,1,30,3,4
86006031,5,48,3,5,14,0
86006032,34,99,3,16,8,4
86006033,16,63,2,20,6,0
86006034,12,109,3,16,52,7
86006035,27,67,5,33,13,2
86006037,32,73,0,11,3,0
86006038,55,59,15,35,14,5
86006039,32,154,6,35,44,7
86006040,47,67,10,16,3,5
86006041,25,69,1,20,1,4
86006042,17,48,0,14,5,2
86006043,69,83,3,56,14,4
86006044,6,65,0,11,5,7
86006045,34,70,3,16,3,5
86006046,16,65,0,5,6,12
86006047,19,142,4,7,39,0
86006048,24,126,2,12,50,18
86006049,19,58,1,6,4,0
86006050,78,116,12,30,10,2
86006051,1,27,0,2,4,0
86006052,10,95,0,30,11,1
86006053,6,92,1,28,14,5
86006054,29,89,2,19,8,6
86006055,14,53,1,11,12,1
86006056,16,28,1,9,2,1
86006057,23,78,0,14,3,3
86006058,3,26,1,10,2,0
86006059,35,41,5,8,1,2
86007002,7,27,1,12,16,0
86007006,3,30,0,5,7,0
86007008,24,130,2,6,3,0
86007009,51,61,0,7,6,0
86007010,14,39,5,2,3,0
86007014,17,53,1,0,1,0
86007018,12,32,2,8,10,13
86007020,7,45,1,1,0,0
86007023,18,58,0,5,5,0
86007024,5,57,0,1,1,0
86007025,3,41,0,9,5,0
86007026,48,150,0,15,15,0
86007027,29,53,0,7,16,0
86007028,7,37,0,11,10,0
86007029,57,182,5,9,5,0
86007031,66,11,0,8,6,0
86007032,19,78,0,11,6,0
86007034,23,65,0,9,5,0
86007035,11,45,1,1,0,0
86007039,24,63,8,2,6,0
86007041,12,107,1,2,0,0
86007042,14,38,0,3,1,0
86007044,7,66,0,0,0,0
86007048,25,37,1,3,3,1
86007049,4,37,0,5,4,0
86007050,12,38,0,10,1,0
86007052,143,77,1,23,21,1
86007054,20,97,1,17,15,0
