psgc_brgy,single_house,duplex,apartment_or_condominiums_or_townhouses,commercial_or_industrial_or_agricultural_building_or_house,other_housing_cave_or_boat_or_under_a_bridge_etc.
174002006,484,3,0,0,0
174002007,320,0,0,2,0
174002011,294,4,0,1,1
174002012,177,3,0,0,0
174002013,489,7,0,3,0
174002014,591,7,0,2,0
174002015,131,7,0,1,0
174002016,19,1,0,1,0
174002017,34,2,0,0,0
174002018,78,2,0,1,0
174003001,107,0,0,0,0
174003003,235,3,0,0,0
174003004,251,1,0,2,0
174003005,238,2,1,0,0
174003006,380,7,0,1,0
174003007,93,3,0,0,0
174003008,105,0,0,1,0
174003009,280,31,0,0,0
174003010,49,0,0,0,0
174003011,138,2,0,0,0
174003012,394,10,0,1,0
174003013,146,14,0,0,0
174003014,156,2,0,1,0
174003015,88,2,0,0,0
174003016,61,0,0,0,0
174003017,264,0,0,0,0
174003018,336,2,0,0,0
174003019,179,3,0,3,2
174003020,436,8,0,2,1
174003021,254,3,0,0,0
174003022,288,2,0,0,0
174003023,652,11,0,0,0
174003024,60,1,0,1,0
174003025,33,1,0,0,1
174003026,138,4,0,0,0
174004001,163,11,0,0,0
174004002,289,11,1,1,1
174004003,330,7,0,1,1
174004004,25,0,0,0,0
174004005,226,4,0,0,2
174004006,56,0,0,0,0
174004007,66,0,0,0,0
174004008,66,3,1,0,0
174004009,174,10,0,1,0
174004010,199,2,0,1,0
174004011,41,11,0,0,0
174004012,9,4,2,0,0
174004013,303,10,0,0,1
174004014,78,0,0,0,0
174004015,69,0,0,0,0
174004016,172,5,0,0,0
174004017,269,12,0,1,0
174004018,106,5,0,0,0
174004019,168,2,0,0,0
174004020,265,6,0,0,0
174004021,72,0,0,0,0
174004022,111,3,0,0,1
174004023,57,1,0,0,0
174004024,57,2,0,0,0
174004025,57,2,0,1,1
174004026,43,1,0,0,1
174004027,157,4,0,1,0
174004028,84,8,0,0,0
174004029,232,10,2,0,1
174004030,226,6,0,0,0
174004032,114,6,1,1,0
174004033,43,0,0,0,0
174004034,119,2,0,2,0
174004035,180,5,1,0,0
174004036,284,26,0,1,0
174004037,123,2,0,0,0
174004038,21,0,2,0,0
174005001,287,0,0,3,0
174005002,230,2,0,1,1
174005003,266,2,0,1,1
174005004,51,3,0,2,0
174005005,47,0,0,0,0
174005006,177,0,0,1,0
174005007,34,0,0,0,0
174005008,142,12,0,0,0
174005009,119,1,0,0,0
174005010,83,0,0,0,0
174005011,99,0,0,1,0
174005012,226,0,0,0,0
174005013,256,5,1,0,1
174005014,95,0,0,0,0
174005015,138,2,0,1,0
174005016,64,4,0,0,0
174005017,107,0,0,0,0
174005018,118,1,0,0,1
174005019,503,16,1,0,1
174005020,64,0,0,0,0
174005021,65,0,1,0,0
174005022,125,0,0,0,0
174005023,175,0,0,0,0
174005024,252,0,0,1,1
174005025,251,3,1,2,0
174005026,87,1,0,0,1
174005027,126,1,0,0,0
174005028,194,1,0,1,0
174005029,330,11,1,2,0
174005030,207,15,2,3,0
174005031,86,0,0,1,1
174005032,309,8,0,1,0
174005033,194,0,0,1,0
174005034,8,0,0,0,0
174005035,115,2,1,0,0
174005036,331,4,3,1,1
174005037,191,1,0,0,0
174005038,321,1,1,0,1
174005039,137,1,0,0,0
174005040,107,0,0,0,0
174005041,329,5,0,0,1
174005042,73,0,0,0,0
174005043,378,1,0,0,1
174005044,110,4,0,1,0
174005045,106,1,0,0,0
174005047,201,0,0,0,0
174005048,212,0,0,1,1
174005049,220,1,0,1,0
174005050,283,4,0,0,0
174005051,110,0,0,0,0
174005052,270,1,0,0,0
174005053,67,0,0,0,0
174005054,167,0,0,0,0
174005055,343,2,0,0,0
174005056,310,1,0,1,0
174006001,73,26,0,0,0
174006002,71,6,0,0,0
174006003,101,9,0,0,0
174006004,270,2,1,1,0
174006005,416,30,0,1,0
174006006,351,31,0,2,0
174006007,121,2,0,0,0
174006008,191,9,0,0,1
174006009,115,13,0,0,0
174006010,107,4,0,0,0
174006011,243,13,0,1,0
174006012,540,39,0,0,1
174006013,139,6,0,0,0
174006014,330,11,0,0,0
174006015,320,9,0,2,0
174006016,170,4,0,1,0
174006017,232,20,0,1,0
174006018,102,5,0,1,0
174006019,164,11,0,0,1
174006020,394,12,6,2,1
174006021,158,6,0,0,1
174006022,316,27,0,1,0
174006023,321,16,0,0,0
174006024,94,8,0,0,0
174006025,513,25,0,0,0
175101001,0,0,0,0,0
175101002,0,0,0,0,0
175101003,0,0,0,0,0
175101004,0,0,0,0,0
175101005,0,0,0,0,0
175101006,0,0,0,0,0
175101007,0,0,0,0,0
175101008,0,0,0,0,0
175101009,0,0,0,0,0
175102001,560,9,0,20,0
175102002,705,6,0,5,1
175102003,313,4,0,0,0
175102004,885,33,0,2,1
175102005,1348,40,1,1,1
175102006,546,6,0,3,0
175102007,697,3,1,1,0
175103001,237,14,0,0,0
175103002,344,7,0,1,0
175103003,115,0,0,0,0
175103004,195,19,3,1,0
175103005,165,5,0,0,0
175103006,141,9,0,0,0
175103007,119,4,0,0,0
175103008,91,4,0,0,0
175103009,318,3,0,0,0
175104001,276,5,0,0,0
175104002,420,0,0,0,1
175104003,175,6,0,0,0
175104004,568,52,0,0,0
175104005,740,34,0,0,0
175104006,559,14,0,0,0
175104007,348,36,2,3,0
175104008,406,12,0,0,0
175104009,24,1,0,0,0
175104010,110,1,0,0,0
175104011,105,0,0,0,0
175104012,96,11,0,1,0
175104013,106,6,0,1,0
175104014,241,14,0,0,0
175104015,97,1,0,0,0
175104016,97,3,0,0,0
175105001,0,0,0,0,0
175105003,0,0,0,0,0
175105004,0,0,0,0,0
175105005,0,0,0,0,0
175105006,0,0,0,0,0
175105007,0,0,0,0,0
175105008,0,0,0,0,0
175105009,0,0,0,0,0
175105010,0,0,0,0,0
175105011,0,0,0,0,0
175105012,0,0,0,0,0
175105013,0,0,0,0,0
175106001,1262,53,1,4,0
175106002,345,4,1,3,0
175106003,1633,59,14,3,1
175106004,263,6,0,1,0
175106005,494,11,0,0,1
175106006,517,15,0,0,0
175106007,1231,44,5,6,4
175106008,80,5,1,2,0
175106009,432,7,0,0,0
175106010,42,12,1,0,0
175106011,113,7,1,1,0
175106012,84,2,1,0,0
175106013,110,13,2,0,0
175106014,345,22,1,1,0
175106015,212,9,1,0,1
175107001,0,0,0,0,0
175107002,0,0,0,0,0
175107003,0,0,0,0,0
175107004,0,0,0,0,0
175107005,0,0,0,0,0
175107006,0,0,0,0,0
175107007,0,0,0,0,0
175107008,0,0,0,0,0
175107009,0,0,0,0,0
175107010,0,0,0,0,0
175107011,0,0,0,0,0
175107012,0,0,0,0,0
175108001,632,40,1,11,2
175108002,486,28,1,10,1
175108003,491,22,1,17,1
175108004,833,26,0,6,0
175108005,423,24,2,8,1
175108006,464,21,1,7,0
175108007,736,16,0,14,1
175108008,446,4,2,8,0
175108009,401,29,1,5,0
175108010,634,45,1,6,0
175108012,855,35,0,6,1
175109001,841,24,0,9,0
175109002,1481,66,41,46,0
175109003,424,9,0,3,0
175109004,727,64,0,3,0
175109005,496,2,0,3,0
175109006,325,5,0,2,0
175109007,527,59,0,2,0
175109008,1073,30,1,19,0
175109009,1132,50,12,7,0
175109010,257,4,0,0,0
175109011,464,29,6,1,0
175109013,358,33,0,0,0
175109014,444,13,0,0,0
175109016,282,2,0,0,0
175109017,728,36,1,7,0
175109018,618,2,0,1,0
175109019,923,47,1,4,0
175109020,346,3,1,3,0
175109021,218,40,0,1,0
175109022,336,21,0,0,0
175109023,275,1,0,0,0
175109024,459,12,0,3,1
175110001,314,22,0,0,0
175110002,165,4,0,0,0
175110003,997,16,39,3,0
175110004,86,1,0,0,0
175110005,79,4,1,0,0
175110006,47,8,6,2,0
175110007,145,5,4,4,0
175110008,81,1,2,5,0
175110009,264,5,0,0,0
175110010,39,9,0,0,0
175110011,53,6,0,1,0
175110012,35,3,9,0,0
175110013,828,19,1,1,3
175110014,414,4,0,0,0
175110015,1349,26,7,2,2
175110016,90,0,0,0,0
175110017,303,3,0,0,0
175110018,1713,71,11,8,1
175110019,171,1,0,0,0
175110020,1663,60,0,0,1
175110021,331,9,0,1,0
175110022,96,1,0,0,0
175110023,86,9,0,0,0
175110024,608,13,0,1,6
175110025,423,20,0,1,0
175110026,1130,24,3,4,1
175110027,475,13,0,2,0
175110028,623,8,0,1,0
175110029,581,29,1,0,0
175110030,1219,16,0,6,0
175110031,1168,19,1,4,0
175110032,652,16,0,1,1
175110033,220,2,0,0,0
175110034,1569,78,64,2,1
175110035,401,8,0,0,0
175110037,906,9,0,1,0
175110038,283,4,0,1,0
175110039,2097,116,46,4,4
175111001,0,0,0,0,0
175111002,0,0,0,0,0
175111003,0,0,0,0,0
175111004,0,0,0,0,0
175111006,0,0,0,0,0
175111007,0,0,0,0,0
175111008,0,0,0,0,0
175111009,0,0,0,0,0
175111010,0,0,0,0,0
175111011,0,0,0,0,0
175111012,0,0,0,0,0
175201001,260,24,0,0,0
175201002,333,12,0,4,1
175201004,98,5,0,0,0
175201005,252,3,0,1,0
175201006,292,5,0,1,0
175201007,336,2,0,1,0
175201008,516,6,0,0,1
175201010,142,3,0,0,0
175201011,83,0,0,0,0
175201012,427,24,0,4,5
175201013,156,0,0,0,1
175201014,298,5,0,7,0
175201015,228,11,0,0,0
175201016,195,4,0,0,1
175201017,86,7,0,0,0
175201018,68,1,0,0,0
175201019,377,13,0,0,1
175201020,106,6,0,0,0
175201021,351,28,0,0,5
175201022,365,12,0,1,0
175201023,288,2,0,0,0
175201024,271,0,0,0,0
175201025,298,0,0,0,0
175201026,222,6,0,0,3
175201027,341,4,0,1,4
175201028,173,4,0,0,0
175201029,484,56,8,3,2
175202001,0,0,0,0,0
175202003,0,0,0,0,0
175202004,0,0,0,0,0
175202005,0,0,0,0,0
175202006,0,0,0,0,0
175202007,0,0,0,0,0
175202008,0,0,0,0,0
175202009,0,0,0,0,0
175202010,0,0,0,0,0
175202011,0,0,0,0,0
175202012,0,0,0,0,0
175202013,0,0,0,0,0
175202014,0,0,0,0,0
175203001,0,0,0,0,0
175203002,0,0,0,0,0
175203003,0,0,0,0,0
175203004,0,0,0,0,0
175203005,0,0,0,0,0
175203006,0,0,0,0,0
175203007,0,0,0,0,0
175203008,0,0,0,0,0
175203009,0,0,0,0,0
175203010,0,0,0,0,0
175203011,0,0,0,0,0
175203012,0,0,0,0,0
175203013,0,0,0,0,0
175203014,0,0,0,0,0
175203015,0,0,0,0,0
175203016,0,0,0,0,0
175203017,0,0,0,0,0
175203018,0,0,0,0,0
175203019,0,0,0,0,0
175203020,0,0,0,0,0
175203021,0,0,0,0,0
175203022,0,0,0,0,0
175203023,0,0,0,0,0
175203024,0,0,0,0,0
175203025,0,0,0,0,0
175203026,0,0,0,0,0
175203027,0,0,0,0,0
175203028,0,0,0,0,0
175203029,0,0,0,0,0
175203031,0,0,0,0,0
175203032,0,0,0,0,0
175203033,0,0,0,0,0
175203034,0,0,0,0,0
175203035,0,0,0,0,0
175203036,0,0,0,0,0
175203037,0,0,0,0,0
175204001,0,0,0,0,0
175204002,0,0,0,0,0
175204003,0,0,0,0,0
175204005,0,0,0,0,0
175204006,0,0,0,0,0
175204007,0,0,0,0,0
175204008,0,0,0,0,0
175204009,0,0,0,0,0
175204010,0,0,0,0,0
175204011,0,0,0,0,0
175204012,0,0,0,0,0
175204013,0,0,0,0,0
175204014,0,0,0,0,0
175204015,0,0,0,0,0
175204017,0,0,0,0,0
175205001,201,1,0,0,0
175205002,559,24,3,3,0
175205003,588,10,0,2,2
175205004,183,1,0,0,0
175205005,160,17,3,0,0
175205006,361,17,4,5,0
175205007,343,6,1,2,0
175205008,42,0,0,0,0
175205009,426,18,1,0,1
175205010,140,0,0,1,0
175205011,396,6,4,0,0
175205012,263,4,0,0,0
175205013,380,68,32,3,2
175205015,523,23,0,3,1
175205016,591,43,22,0,2
175205017,607,7,0,1,0
175205018,355,2,0,1,0
175205019,459,20,0,1,0
175205021,327,17,1,3,0
175205022,155,3,0,0,1
175205023,230,11,0,2,0
175205025,158,15,19,1,0
175205026,365,42,12,2,2
175205027,737,49,18,3,1
175205028,666,26,45,1,0
175205029,672,26,2,7,1
175205030,250,5,12,2,0
175205031,836,44,19,3,3
175205032,140,36,1,1,0
175205033,237,5,0,1,0
175205034,143,4,0,0,0
175205035,213,3,0,0,0
175205036,362,7,0,3,1
175205037,665,41,6,9,2
175205038,186,9,0,0,1
175205039,156,2,0,0,0
175205041,476,6,4,2,3
175205042,518,21,1,1,3
175205043,94,1,0,0,0
175205044,398,8,0,0,2
175205045,152,2,0,1,0
175205046,239,6,0,1,0
175205047,274,5,0,0,0
175205048,322,1,0,0,1
175205049,621,37,0,8,2
175205050,51,5,6,1,0
175205051,67,12,5,1,0
175205052,143,9,2,1,0
175205053,95,32,4,0,1
175205054,73,18,19,0,0
175205055,147,3,1,0,0
175205056,539,21,8,5,1
175205057,364,54,5,1,0
175205058,494,23,1,1,0
175205059,235,3,1,0,0
175205061,110,21,41,0,0
175205062,419,11,0,0,0
175205063,190,0,1,0,0
175205064,305,0,14,0,0
175205065,254,15,20,2,1
175205066,176,13,1,4,0
175205068,283,9,0,2,0
175206001,189,0,0,1,0
175206002,243,1,0,1,0
175206003,190,44,0,0,0
175206004,529,21,1,9,0
175206005,376,45,0,1,0
175206006,174,1,0,0,0
175206007,203,1,0,0,0
175206008,201,0,0,0,0
175206009,343,3,0,1,0
175206010,241,3,0,2,0
175206012,407,9,0,2,1
175206013,542,16,0,8,0
175206014,197,15,0,0,0
175206015,564,1,0,4,0
175206016,276,3,0,0,0
175206017,532,28,14,4,0
175206018,228,0,0,0,0
175206020,255,17,0,1,0
175206021,285,3,1,0,0
175206022,244,3,0,0,15
175206023,466,8,0,0,0
175206024,250,1,0,0,0
175206025,253,0,0,0,1
175206026,406,4,0,0,0
175206027,299,3,0,0,1
175206028,549,6,1,1,0
175206029,299,1,0,0,0
175207001,0,0,0,0,0
175207002,0,0,0,0,0
175207003,0,0,0,0,0
175207004,0,0,0,0,0
175207005,0,0,0,0,0
175207007,0,0,0,0,0
175207010,0,0,0,0,0
175207011,0,0,0,0,0
175207012,0,0,0,0,0
175207013,0,0,0,0,0
175207014,0,0,0,0,0
175207016,0,0,0,0,0
175207017,0,0,0,0,0
175207018,0,0,0,0,0
175207019,0,0,0,0,0
175207020,0,0,0,0,0
175207021,0,0,0,0,0
175208001,0,0,0,0,0
175208002,0,0,0,0,0
175208003,0,0,0,0,0
175208004,0,0,0,0,0
175208005,0,0,0,0,0
175208006,0,0,0,0,0
175208007,0,0,0,0,0
175208008,0,0,0,0,0
175208010,0,0,0,0,0
175208011,0,0,0,0,0
175208012,0,0,0,0,0
175208013,0,0,0,0,0
175208014,0,0,0,0,0
175208015,0,0,0,0,0
175208016,0,0,0,0,0
175208017,0,0,0,0,0
175208018,0,0,0,0,0
175208019,0,0,0,0,0
175208020,0,0,0,0,0
175208021,0,0,0,0,0
175208022,0,0,0,0,0
175208023,0,0,0,0,0
175208024,0,0,0,0,0
175208025,0,0,0,0,0
175208026,0,0,0,0,0
175208027,0,0,0,0,0
175208028,0,0,0,0,0
175208029,0,0,0,0,0
175208030,0,0,0,0,0
175208031,0,0,0,0,0
175208032,0,0,0,0,0
175208033,0,0,0,0,0
175208034,0,0,0,0,0
175208035,0,0,0,0,0
175208036,0,0,0,0,0
175208037,0,0,0,0,0
175208038,0,0,0,0,0
175208039,0,0,0,0,0
175208040,0,0,0,0,0
175208042,0,0,0,0,0
175208043,0,0,0,0,0
175208044,0,0,0,0,0
175208045,0,0,0,0,0
175208046,0,0,0,0,0
175208047,0,0,0,0,0
175208048,0,0,0,0,0
175208049,0,0,0,0,0
175208050,0,0,0,0,0
175208051,0,0,0,0,0
175208052,0,0,0,0,0
175208053,0,0,0,0,0
175208054,0,0,0,0,0
175208055,0,0,0,0,0
175208056,0,0,0,0,0
175208057,0,0,0,0,0
175208058,0,0,0,0,0
175208059,0,0,0,0,0
175208060,0,0,0,0,0
175208061,0,0,0,0,0
175208062,0,0,0,0,0
175208063,0,0,0,0,0
175208064,0,0,0,0,0
175208065,0,0,0,0,0
175208066,0,0,0,0,0
175208067,0,0,0,0,0
175208068,0,0,0,0,0
175208069,0,0,0,0,0
175208070,0,0,0,0,0
175208071,0,0,0,0,0
175208072,0,0,0,0,0
175209001,429,15,0,0,0
175209002,274,6,0,0,0
175209003,214,3,0,4,1
175209004,408,4,0,0,0
175209005,299,0,0,0,0
175209006,684,18,2,3,3
175209007,373,0,0,1,0
175209008,244,2,2,0,0
175209009,301,4,0,2,0
175209010,595,11,0,0,0
175209011,189,0,0,0,0
175209012,281,3,1,1,0
175209013,319,12,0,1,0
175209014,353,1,0,1,0
175209015,1148,1,18,2,0
175209016,585,1,1,0,1
175209017,274,3,0,2,0
175209018,427,4,0,2,1
175209019,395,8,0,1,0
175209020,192,8,0,1,0
175209021,525,22,2,3,2
175209022,1422,8,2,5,0
175209023,626,8,2,1,0
175209024,452,17,28,12,0
175209025,461,20,11,2,0
175209026,184,12,12,1,0
175209027,432,5,0,1,0
175209028,170,1,0,0,0
175209029,287,1,4,2,1
175209030,686,7,0,1,0
175209031,516,5,0,2,0
175209032,254,9,0,0,0
175209033,540,8,13,4,1
175209034,862,41,10,2,1
175209035,647,57,2,11,0
175209036,236,24,0,1,0
175209037,428,0,0,0,0
175210001,0,0,0,0,0
175210002,0,0,0,0,0
175210004,0,0,0,0,0
175210005,0,0,0,0,0
175210006,0,0,0,0,0
175210007,0,0,0,0,0
175210008,0,0,0,0,0
175210009,0,0,0,0,0
175210010,0,0,0,0,0
175210011,0,0,0,0,0
175210012,0,0,0,0,0
175210013,0,0,0,0,0
175210014,0,0,0,0,0
175210015,0,0,0,0,0
175210017,0,0,0,0,0
175210018,0,0,0,0,0
175210019,0,0,0,0,0
175210020,0,0,0,0,0
175210021,0,0,0,0,0
175210022,0,0,0,0,0
175210023,0,0,0,0,0
175210024,0,0,0,0,0
175210025,0,0,0,0,0
175211001,492,7,0,3,1
175211002,766,8,4,4,1
175211003,516,2,1,0,0
175211004,255,1,2,0,0
175211005,552,44,9,4,0
175211006,152,2,0,3,0
175211007,555,15,18,8,1
175211008,332,12,0,1,1
175211009,317,1,1,1,1
175211010,504,33,2,0,1
175211011,265,5,0,3,0
175211012,634,40,43,9,0
175211013,113,12,0,1,0
175212001,1193,69,36,12,3
175212002,566,12,0,2,0
175212003,825,35,0,6,2
175212004,281,2,1,1,0
175212005,361,17,0,0,0
175212006,433,16,0,1,0
175212007,271,4,0,3,0
175212008,127,3,0,0,2
175212009,700,16,1,4,1
175212010,930,28,0,4,0
175212011,674,43,19,2,0
175212012,421,4,0,4,3
175212013,601,5,0,2,0
175212014,844,20,1,2,0
175212015,268,7,0,1,1
175212016,252,4,0,0,0
175212017,671,8,0,1,0
175212018,195,2,0,0,0
175212019,408,7,0,0,1
175212020,194,2,0,2,0
175213001,369,4,0,0,2
175213002,442,6,1,1,2
175213003,453,15,0,6,0
175213004,319,6,0,5,1
175213005,545,11,0,2,2
175213006,399,3,0,1,0
175213007,346,35,3,2,0
175213008,382,3,0,0,1
175214001,351,44,0,2,0
175214002,126,0,0,0,0
175214003,538,6,0,2,0
175214005,326,4,0,0,0
175214006,452,2,0,1,0
175214007,155,0,0,0,0
175214008,582,0,0,6,8
175214009,167,6,0,1,0
175214010,238,0,0,1,0
175214012,386,2,0,1,0
175214013,397,12,2,0,0
175214014,231,4,1,1,1
175214015,148,0,0,0,0
175214016,631,4,0,2,1
175214017,164,1,0,0,0
175214018,167,0,0,0,0
175214019,212,0,0,2,0
175214020,200,12,4,4,0
175214021,102,9,0,2,0
175214022,203,6,9,2,0
175214023,409,6,34,15,0
175214024,410,0,0,1,0
175214025,492,22,0,3,0
175214027,159,0,0,0,0
175214028,354,6,0,3,0
175214029,86,1,0,0,2
175215001,665,9,1,5,8
175215002,330,18,1,1,0
175215003,254,0,0,1,0
175215004,215,6,0,0,1
175215005,273,4,0,0,0
175215006,193,2,0,1,0
175215007,178,7,0,0,0
175215008,184,3,0,1,0
175215009,241,3,1,0,0
175215010,317,11,1,1,9
175215011,219,2,1,2,1
175215012,619,13,0,2,0
175215013,397,1,0,1,2
175215015,95,5,0,0,2
175215016,331,1,2,0,0
175215017,508,5,1,2,0
175215018,537,8,86,44,0
175215019,203,4,1,0,1
175215020,667,50,38,7,5
175215021,344,1,13,2,0
175215027,212,2,0,1,0
175215028,237,0,0,1,0
175215029,270,9,0,0,0
175215030,72,1,0,0,2
175215031,344,5,1,1,0
175215032,206,4,0,0,0
175215033,337,0,0,2,1
175215034,286,2,1,0,0
175215035,544,7,0,0,5
175215036,319,4,2,4,2
175215037,153,12,1,1,0
175215038,204,9,0,0,0
175301001,236,8,0,0,0
175301002,251,8,0,0,0
175301003,612,1,2,1,0
175301004,192,3,2,0,0
175301005,380,1,0,0,0
175301006,110,0,0,1,0
175301007,409,9,0,1,1
175301008,439,6,4,0,1
175301009,276,4,0,1,0
175301010,191,2,3,3,0
175301011,279,3,0,0,1
175301012,609,7,0,2,2
175301014,520,6,0,0,0
175301015,268,0,1,0,1
175301016,635,12,3,2,0
175301017,214,3,0,0,0
175301018,341,2,1,0,0
175301019,433,2,1,5,0
175301020,253,1,0,0,0
175302002,974,21,4,2,2
175302003,688,10,3,7,0
175302004,255,4,0,1,0
175302005,58,2,0,0,0
175302006,73,0,0,0,0
175302007,100,3,0,0,0
175302008,45,4,0,0,0
175302009,81,3,0,0,0
175302010,136,2,0,0,0
175302011,196,18,0,0,0
175303001,145,1,0,0,1
175303004,169,1,0,0,0
175303005,107,0,0,0,0
175303006,135,1,0,1,0
175303007,158,1,0,0,2
175303008,184,0,0,0,0
175303009,186,2,0,0,1
175303010,133,0,0,0,0
175303011,114,0,0,0,0
175303012,122,1,0,0,0
175303013,377,2,0,1,0
175303014,491,2,0,2,0
175303015,536,3,0,6,0
175304001,127,2,1,0,0
175304002,101,1,0,1,0
175304003,1500,110,1,8,3
175304005,282,1,0,0,1
175304006,398,94,2,3,0
175304007,221,4,0,0,0
175304008,1370,66,2,5,3
175304009,258,1,0,0,0
175304011,160,10,0,0,0
175304012,39,0,0,0,0
175304019,99,1,0,0,0
175304020,335,5,0,0,0
175304021,477,8,0,0,1
175304022,217,21,0,0,0
175304024,68,7,1,1,0
175304025,94,7,0,0,0
175304026,67,21,0,0,0
175304027,97,14,0,0,1
175304028,118,14,0,0,0
175304029,244,21,0,0,0
175305001,519,17,1,1,1
175305002,326,4,1,1,0
175305003,300,4,0,1,1
175305004,678,16,0,0,1
175305005,246,1,0,1,0
175305006,583,4,0,1,0
175305007,372,14,2,0,0
175305008,396,6,0,0,6
175305009,193,2,0,0,0
175305010,1296,33,9,7,0
175305011,393,9,3,0,0
175305012,283,3,0,0,0
175305013,2036,369,146,25,9
175305014,448,11,1,2,2
175305015,338,8,4,0,0
175305016,335,3,0,0,0
175305017,621,23,5,0,2
175305018,200,6,0,1,0
175305019,256,6,0,0,1
175305020,170,5,0,0,0
175305021,305,3,0,1,0
175305022,800,4,0,1,1
175306001,315,1,0,2,5
175306002,711,8,1,2,1
175306003,753,6,3,3,0
175306004,568,14,0,1,0
175306005,474,3,0,1,1
175306006,1032,15,0,1,0
175306010,677,14,2,4,0
175306011,559,4,0,0,1
175306012,465,4,0,1,0
175306013,547,0,0,2,1
175306014,313,0,0,0,1
175306015,1231,28,9,5,1
175306017,606,25,7,3,0
175306018,370,27,8,0,0
175306023,619,8,0,1,0
175306024,467,13,0,3,0
175306025,458,8,0,1,1
175306026,201,1,0,0,0
175307001,85,104,0,0,0
175307002,485,22,0,0,2
175307004,361,68,0,2,1
175307005,262,3,0,4,0
175307006,219,13,0,0,2
175307007,276,5,0,0,1
175307008,164,13,0,1,0
175307009,593,13,1,3,3
175307010,134,6,0,0,0
175307011,241,1,0,0,0
175307012,605,18,1,3,1
175307013,177,1,0,0,0
175307014,134,3,0,1,0
175307015,236,11,0,0,0
175308001,71,2,0,0,0
175308002,30,1,0,0,0
175308003,56,1,0,0,0
175308004,31,4,0,0,0
175308005,23,1,0,0,0
175308006,246,2,0,1,0
175308007,101,5,0,0,0
175308008,68,15,0,0,0
175308009,195,3,0,0,0
175308010,54,2,0,0,0
175308011,200,6,0,0,0
175308012,47,1,0,0,0
175309001,139,0,0,0,1
175309002,395,22,5,1,1
175309003,551,2,0,0,1
175309004,196,2,0,0,0
175309005,556,7,1,2,2
175309006,393,3,1,0,0
175309008,201,57,0,0,1
175309009,312,2,2,1,0
175309010,418,50,0,2,0
175309011,185,168,0,1,1
175309012,162,0,1,0,0
175309013,276,0,0,0,0
175309016,727,15,3,4,0
175309017,123,53,2,1,0
175309018,138,10,17,12,0
175309019,127,8,2,0,0
175309020,468,16,34,2,0
175309022,318,4,1,0,0
175309023,465,6,0,0,0
175309024,1032,135,18,6,0
175309025,286,4,1,0,0
175309026,505,13,0,0,0
175309032,362,8,3,0,0
175310001,188,2,0,0,0
175310002,105,1,0,1,0
175310003,308,4,6,6,0
175310004,131,1,0,1,0
175310005,272,1,0,0,1
175310006,165,2,0,0,0
175310007,133,3,0,0,0
175310008,185,0,0,0,0
175310009,205,1,0,0,0
175310010,419,21,0,3,0
175310011,331,1,1,0,1
175310012,224,8,1,0,0
175310014,325,15,0,1,0
175310015,338,8,0,0,0
175310016,609,16,2,2,0
175310017,123,0,1,0,0
175310018,86,1,0,0,0
175311001,347,9,1,0,0
175311002,296,2,0,0,0
175311003,66,0,0,0,0
175311004,244,8,0,0,0
175311005,205,0,0,1,0
175311006,153,3,0,0,0
175311007,360,7,1,2,2
175311008,411,3,5,1,0
175311009,412,17,0,2,0
175311010,398,4,0,0,0
175311011,332,3,0,0,3
175311012,200,1,0,0,0
