Selected Accounts,Selected Accounts,Selected Accounts,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-13,Nov-09,Dec-09
Allowance for Losses - ROPA,Allowance for Credit Losses- Sales Contract Receivable,Allowance for Credit Losses- Sales Contract Receivable,0.027 ,0.027 ,0.055 ,0.056 ,0.057 ,0.058 ,0.060 ,0.060 ,0.064 ,0.064 ,0.079 ,0.091 
Allowance for Losses - ROPA,Allowance for Losses -Real and Other Properties Acquired,Allowance for Losses -Real and Other Properties Acquired,1.330 ,1.380 ,1.230 ,1.057 ,1.047 ,1.141 ,0.981 ,0.947 ,0.959 ,0.969 ,0.974 ,1.042 
Allowance for Losses - ROPA,Allowance for Credit Losses -Non Current Assets held for Sale,Allowance for Credit Losses -Non Current Assets held for Sale,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
"ROPA, Net of Allowance for Losses","ROPA, Net of Allowance for Losses","ROPA, Net of Allowance for Losses",28.174 ,27.901 ,25.348 ,25.056 ,24.953 ,25.251 ,25.222 ,25.097 ,25.174 ,25.599 ,25.700 ,26.640 
"Total Other Assets, Net","Total Other Assets, Net","Total Other Assets, Net",39.688 ,40.583 ,40.408 ,46.768 ,46.663 ,47.679 ,47.390 ,46.521 ,46.134 ,45.563 ,44.872 ,46.549 
"Total Other Assets, Net",Derivatives with Positive Fair Value Held for Hedging,Derivatives with Positive Fair Value Held for Hedging,0.016 ,0.019 ,0.019 ,0.015 ,0.005 ,0.000 ,0.000 ,0.012 ,0.007 ,0.017 ,0.014 ,0.000 
"Total Other Assets, Net",Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
"Total Other Assets, Net",Goodwill,Goodwill,0.563 ,0.563 ,0.561 ,0.802 ,0.800 ,0.798 ,0.797 ,0.828 ,0.826 ,0.824 ,0.823 ,0.821 
"Total Other Assets, Net",Goodwill, Allowance for Losses,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
"Total Other Assets, Net",Goodwill - Net,Goodwill - Net,0.563 ,0.563 ,0.561 ,0.802 ,0.800 ,0.798 ,0.797 ,0.828 ,0.826 ,0.824 ,0.823 ,0.821 
"Total Other Assets, Net",Accrued Interest Income from Financial Assets,Accrued Interest Income from Financial Assets,4.952 ,4.854 ,4.696 ,4.897 ,5.486 ,5.729 ,5.249 ,5.259 ,4.959 ,5.197 ,5.614 ,5.734 
"Total Other Assets, Net",Accrued Interest Income from Financial Assets,Allowance for Credit Losses,1.467 ,1.467 ,1.473 ,1.474 ,1.475 ,1.458 ,1.509 ,1.503 ,1.499 ,1.526 ,1.529 ,1.617 
"Total Other Assets, Net","Accrued Interest Income from Financial Assets, net","Accrued Interest Income from Financial Assets, net",3.485 ,3.387 ,3.223 ,3.423 ,4.011 ,4.272 ,3.740 ,3.757 ,3.460 ,3.671 ,4.085 ,4.118 
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment","Bank Premises, Furniture, Fixture and Equipment",17.621 ,17.826 ,18.031 ,17.918 ,18.075 ,17.962 ,18.118 ,18.060 ,17.869 ,18.020 ,17.929 ,17.785 
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment",Accumulated Depreciation,6.925 ,6.985 ,7.204 ,7.216 ,7.337 ,7.213 ,7.258 ,7.219 ,7.134 ,7.218 ,7.156 ,6.979 
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment",Allowance for Losses,0.030 ,0.030 ,0.062 ,0.062 ,0.066 ,0.066 ,0.066 ,0.066 ,0.066 ,0.066 ,0.062 ,0.055 
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment - Net","Bank Premises, Furniture, Fixture and Equipment - Net",10.666 ,10.811 ,10.765 ,10.640 ,10.672 ,10.683 ,10.795 ,10.775 ,10.670 ,10.737 ,10.711 ,10.752 
"Total Other Assets, Net",Other Intangible Assets,Other Intangible Assets,0.820 ,0.822 ,0.825 ,0.826 ,0.849 ,0.887 ,0.870 ,0.895 ,0.880 ,0.913 ,0.925 ,0.940 
"Total Other Assets, Net",Other Intangible Assets,Accumulated Amortization,0.282 ,0.285 ,0.290 ,0.294 ,0.299 ,0.307 ,0.309 ,0.314 ,0.319 ,0.316 ,0.325 ,0.332 
"Total Other Assets, Net",Other Intangible Assets,Allowance for Losses,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
"Total Other Assets, Net","Other Intangible Assets, net","Other Intangible Assets, net",0.538 ,0.537 ,0.535 ,0.531 ,0.549 ,0.580 ,0.561 ,0.580 ,0.560 ,0.597 ,0.600 ,0.607 
"Total Other Assets, Net",Deferred Tax Asset,Deferred Tax Asset,4.767 ,4.572 ,4.585 ,4.554 ,4.555 ,4.550 ,4.571 ,4.532 ,4.266 ,4.318 ,4.316 ,4.326 
"Total Other Assets, Net",Due from FCDU/RBU,Due from FCDU/RBU,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
"Total Other Assets, Net",Other Assets,Other Assets,21.025 ,21.984 ,22.025 ,28.107 ,27.394 ,28.127 ,28.271 ,27.395 ,27.655 ,26.838 ,25.796 ,27.376 
"Total Other Assets, Net",Other Assets,Allowance for Losses,1.375 ,1.291 ,1.304 ,1.303 ,1.324 ,1.332 ,1.345 ,1.358 ,1.311 ,1.438 ,1.474 ,1.450 
"Total Other Assets, Net",Other Assets - Net,Other Assets - Net,19.650 ,20.693 ,20.721 ,26.803 ,26.070 ,26.795 ,26.926 ,26.037 ,26.344 ,25.400 ,24.323 ,25.926 
LIABILITIES AND CAPITAL total,LIABILITIES AND CAPITAL total,LIABILITIES AND CAPITAL total,478.040 ,480.730 ,489.751 ,497.285 ,513.353 ,527.066 ,524.378 ,529.515 ,512.285 ,526.150 ,536.604 ,536.123 
Liability Accounts total,Liability Accounts total,Liability Accounts total,424.362 ,427.311 ,436.068 ,437.207 ,451.598 ,465.643 ,462.431 ,466.669 ,450.599 ,464.586 ,474.752 ,474.444 
Financial Liabilities Held for Trading,Financial Liabilities Held for Trading,Financial Liabilities Held for Trading,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Financial Liabilities Designated at Fair Value through Profit or Loss,Financial Liabilities Designated at Fair Value through Profit or Loss,Financial Liabilities Designated at Fair Value through Profit or Loss,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Deposit Liabilities,Deposit Liabilities,Deposit Liabilities,387.560 ,391.931 ,396.578 ,394.951 ,408.648 ,420.895 ,417.540 ,421.628 ,406.132 ,425.076 ,434.210 ,431.030 
Deposit Liabilities,Peso,Peso,336.225 ,339.162 ,343.306 ,341.031 ,353.684 ,364.512 ,362.173 ,364.467 ,352.221 ,370.147 ,380.384 ,378.616 
Deposit Liabilities,Demand & NOW,Demand & NOW,35.085 ,35.849 ,39.004 ,37.365 ,38.241 ,40.010 ,39.577 ,40.465 ,40.512 ,43.822 ,44.620 ,44.646 
Deposit Liabilities,Savings Deposits,Savings Deposits,115.139 ,114.579 ,114.302 ,112.221 ,115.669 ,118.629 ,121.735 ,121.953 ,118.873 ,122.321 ,127.383 ,128.996 
Deposit Liabilities,Time Certificate of Deposits ,Time Certificate of Deposits ,184.401 ,187.133 ,188.400 ,189.845 ,198.173 ,204.273 ,199.261 ,200.448 ,192.836 ,204.004 ,208.381 ,204.974 
Deposit Liabilities,LTNCD,LTNCD,1.601 ,1.601 ,1.601 ,1.600 ,1.600 ,1.600 ,1.600 ,1.600 ,0.000 ,0.000 ,0.000 ,0.000 
Deposit Liabilities,Foreign Currency,Foreign Currency,51.335 ,52.769 ,53.272 ,53.919 ,54.965 ,56.383 ,55.367 ,57.161 ,53.911 ,54.929 ,53.827 ,52.414 
Bills Payable,Bills Payable,Bills Payable,14.150 ,12.503 ,15.479 ,18.862 ,19.029 ,20.648 ,21.551 ,20.193 ,18.663 ,14.405 ,15.253 ,16.648 
Bills Payable,Deposit Substitutes ,Deposit Substitutes ,0.307 ,0.041 ,0.052 ,0.052 ,0.052 ,0.006 ,0.030 ,0.027 ,0.025 ,0.025 ,0.022 ,0.019 
Bills Payable,Others,Others,13.843 ,12.462 ,15.427 ,18.810 ,18.977 ,20.642 ,21.521 ,20.166 ,18.639 ,14.380 ,15.230 ,16.628 
Special Financing ,Special Financing ,Special Financing ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Special Financing ,Time Certificate of Deposits  - SF,Time Certificate of Deposits  - SF,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Special Financing ,Special Time Deposits,Special Time Deposits,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Unsecured Subordinated Debt,Unsecured Subordinated Debt,Unsecured Subordinated Debt,2.905 ,2.917 ,2.914 ,2.914 ,2.906 ,2.913 ,2.913 ,2.919 ,2.907 ,2.910 ,2.906 ,2.907 
Unsecured Subordinated Debt,Unsecured Subordinated Debt,Unamortized Debt Discount/Premium,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Unsecured Subordinated Debt - Net,Unsecured Subordinated Debt - Net,Unsecured Subordinated Debt - Net,2.905 ,2.917 ,2.914 ,2.914 ,2.906 ,2.913 ,2.913 ,2.919 ,2.907 ,2.910 ,2.906 ,2.907 
Redeemable Preferred Shares,Redeemable Preferred Shares,Redeemable Preferred Shares,0.029 ,0.029 ,0.024 ,0.075 ,0.078 ,0.078 ,0.081 ,0.081 ,0.081 ,0.080 ,0.080 ,0.081 
Total Other Liabilities,Total Other Liabilities,Total Other Liabilities,19.718 ,19.930 ,21.073 ,20.405 ,20.937 ,21.109 ,20.346 ,21.848 ,22.815 ,22.115 ,22.303 ,23.779 
Total Other Liabilities,Due to Other Banks,Due to Other Banks,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Bonds Payable,Bonds Payable,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Bonds Payable,Unamortized Bond Discount/Premium,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Bonds Payable - Net,Bonds Payable - Net,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Financial Liabilities Associated with Transferred Assets,Financial Liabilities Associated with Transferred Assets,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Derivatives with Negative Fair Value Held for Hedging,Derivatives with Negative Fair Value Held for Hedging,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.008 ,0.000 ,0.000 ,0.000 ,0.000 ,0.069 
Total Other Liabilities,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Accrued Interest Expense on Financial Liabilities,Accrued Interest Expense on Financial Liabilities,3.491 ,3.476 ,3.548 ,3.460 ,3.669 ,3.770 ,3.753 ,3.729 ,3.650 ,3.766 ,3.944 ,4.072 
Total Other Liabilities,Finance Lease Payment Payable,Finance Lease Payment Payable,0.001 ,0.001 ,0.001 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Due to Treasurer of the Philippines,Due to Treasurer of the Philippines,0.047 ,0.048 ,0.049 ,0.049 ,0.049 ,0.049 ,0.050 ,0.050 ,0.049 ,0.049 ,0.048 ,0.049 
Total Other Liabilities,Treasurer/Cashier/Manager's Checks,Treasurer/Cashier/Manager's Checks,2.288 ,1.945 ,2.199 ,2.166 ,2.277 ,2.123 ,2.072 ,2.116 ,1.875 ,2.018 ,2.091 ,2.233 
Total Other Liabilities,Payment Orders Payable,Payment Orders Payable,0.053 ,0.093 ,0.085 ,0.077 ,0.052 ,0.060 ,0.060 ,0.073 ,0.067 ,0.078 ,0.048 ,0.062 
Total Other Liabilities,Margin Deposits on LCs and Customers' Liability on Bills/Drafts under LCs and/or TRs,Margin Deposits on LCs and Customers' Liability on Bills/Drafts under LCs and/or TRs,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Cash Letters of Credit,Cash Letters of Credit,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Outstanding Acceptances Executed by or for Account of this Bank,Outstanding Acceptances Executed by or for Account of this Bank,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
