Selected Accounts,Selected Accounts,Selected Accounts,March-08 r/,Apr-08,May-08,Jun-08 r/,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,Held-to-Maturity (HTM) Financial Assets,18.312 ,20.384 ,20.545 ,21.310 ,20.626 ,20.705 ,23.101 ,26.217 ,28.535 ,28.270 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Held-to-Maturity (HTM) Financial Assets,Unamortized Discount/Premium,0.329 ,0.341 ,0.337 ,0.332 ,0.332 ,0.343 ,0.341 ,0.437 ,0.590 ,0.568 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",HTM Financial Assets - Net of Amortization,HTM Financial Assets - Net of Amortization,18.641 ,20.725 ,20.881 ,21.642 ,20.958 ,21.049 ,23.443 ,26.654 ,29.126 ,28.838 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,Unquoted Debt Securities Classified as Loans,7.446 ,7.376 ,7.217 ,7.215 ,7.235 ,7.242 ,7.255 ,7.415 ,7.448 ,7.464 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans,Unamortized Discount/Premium,(0.501),(0.412),(0.401),(0.463),(0.453),(0.443),(0.432),(0.422),(0.412),(0.398),,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Unquoted Debt Securities Classified as Loans -Net of Amortization,Unquoted Debt Securities Classified as Loans -Net of Amortization,6.945 ,6.964 ,6.816 ,6.752 ,6.781 ,6.799 ,6.824 ,6.993 ,7.036 ,7.066 ,,
"Financial Assets, Excl of  Equity Investments in Subs., Assoc. and Joint Vent (Net of Amortization)",Investment in Non-Markeatable Equity Securities (INMES),Investment in Non-Markeatable Equity Securities (INMES),0.248 ,0.162 ,0.204 ,0.205 ,0.201 ,0.211 ,0.201 ,0.201 ,0.203 ,0.201 ,,
Accumulated Market Gain (Losses) -Financial Assets,Accumulated Market Gain (Losses) -Financial Assets,Accumulated Market Gain (Losses) -Financial Assets,0.067 ,(0.502),(0.893),(1.556),(1.234),(0.674),(0.804),(2.811),(2.314),(0.613),,
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Financial Assets,0.321 ,0.435 ,0.432 ,0.354 ,0.354 ,0.357 ,0.358 ,0.358 ,0.366 ,0.401 ,,
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-AFS ,Allowance for Credit Losses-AFS ,0.123 ,0.124 ,0.078 ,0.078 ,0.078 ,0.078 ,0.078 ,0.079 ,0.079 ,0.079 ,,
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-HTM,Allowance for Credit Losses-HTM,0.022 ,0.022 ,0.022 ,0.023 ,0.023 ,0.027 ,0.026 ,0.026 ,0.026 ,0.025 ,,
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,Allowance for Credit Losses-Unquoted Debt Securities Classified as Loans,0.070 ,0.184 ,0.184 ,0.104 ,0.104 ,0.104 ,0.104 ,0.104 ,0.112 ,0.148 ,,
Allowance for Credit Losses-Financial Assets,Allowance for Credit Losses- INMES,Allowance for Credit Losses- INMES,0.105 ,0.105 ,0.149 ,0.149 ,0.149 ,0.149 ,0.149 ,0.149 ,0.149 ,0.149 ,,
Financial Assets -Net of Allowance for Credit Losses,Financial Assets -Net of Allowance for Credit Losses,Financial Assets -Net of Allowance for Credit Losses,65.450 ,67.302 ,68.452 ,70.408 ,71.116 ,70.887 ,72.106 ,74.319 ,78.276 ,80.433 ,,
"Equity Investments In Subsidiaries, Assoc. & Joint Vent.","Equity Investments In Subsidiaries, Assoc. & Joint Vent.","Equity Investments In Subsidiaries, Assoc. & Joint Vent.",0.706 ,0.721 ,0.810 ,0.720 ,0.731 ,0.731 ,0.737 ,0.733 ,0.736 ,0.750 ,,
"Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent","Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent","Allowance for Credit Losses-Equity Investment in Subsidiaries, Assoc. and Joint Vent",0.045 ,0.045 ,0.045 ,0.045 ,0.045 ,0.045 ,0.045 ,0.045 ,0.045 ,0.045 ,,
"Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)","Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)","Equity Investments In Subsidiaries, Assoc. & Joint Vent.(Net of Allow. For Credit Losses)",0.661 ,0.677 ,0.765 ,0.674 ,0.686 ,0.686 ,0.692 ,0.687 ,0.691 ,0.705 ,,
"Total Loan Portfolio, gross (net of amortization)","Total Loan Portfolio, gross (net of amortization)","Total Loan Portfolio, gross (net of amortization)",298.055 ,312.675 ,320.921 ,297.158 ,300.948 ,301.524 ,299.208 ,293.607 ,304.848 ,298.214 ,,
"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables, gross (net of amortization)","Loans and Receivables, gross (net of amortization)",282.930 ,298.532 ,308.961 ,282.344 ,290.104 ,292.594 ,290.925 ,286.928 ,289.949 ,291.259 ,,
"Total Loan Portfolio, gross (net of amortization)",    Loans to Bangko Sentral ng Pilipinas,    Loans to Bangko Sentral ng Pilipinas,4.550 ,5.710 ,7.115 ,5.694 ,6.802 ,6.641 ,7.974 ,3.626 ,5.864 ,2.465 ,,
"Total Loan Portfolio, gross (net of amortization)",    Interbank Loans Receivable ,    Interbank Loans Receivable ,37.965 ,48.073 ,52.685 ,21.322 ,24.414 ,18.849 ,13.251 ,19.138 ,15.919 ,17.195 ,,
"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables -Others,    Loans and Receivables -Others,246.421 ,250.860 ,255.383 ,261.670 ,265.351 ,273.606 ,276.348 ,270.865 ,275.138 ,278.538 ,,
"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables -Others,Unamortized Discount and Other Deferred Credits,6.006 ,6.112 ,6.222 ,6.342 ,6.462 ,6.502 ,6.649 ,6.701 ,6.971 ,6.939 ,,
"Total Loan Portfolio, gross (net of amortization)",    Loans and Receivables - Others - Net of Amortization,    Loans and Receivables - Others - Net of Amortization,240.416 ,244.749 ,249.161 ,255.328 ,258.889 ,267.104 ,269.699 ,264.163 ,268.167 ,271.599 ,,
"Total Loan Portfolio, gross (net of amortization)","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions","Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse, and Securities Lending and Borrowing Transactions",15.124 ,14.143 ,11.960 ,14.814 ,10.844 ,8.930 ,8.283 ,6.679 ,14.898 ,6.955 ,,
Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans,11.726 ,11.727 ,11.777 ,11.985 ,12.151 ,12.584 ,12.801 ,12.743 ,12.814 ,12.864 ,,
Allowance for Credit Losses-Loans,Allowance for Credit Losses-Interbank Loans Receivable,Allowance for Credit Losses-Interbank Loans Receivable,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Allowance for Credit Losses-Loans,Allowance for Credit Losses-Loans and Receivables -Other,Allowance for Credit Losses-Loans and Receivables -Other,8.909 ,8.893 ,9.155 ,9.243 ,9.367 ,9.631 ,10.245 ,10.143 ,10.232 ,10.273 ,,
Allowance for Credit Losses-Loans,Allowance for Credit Losses-LRARA,Allowance for Credit Losses-LRARA,0.000 ,0.000 ,0.000 ,0.000 ,0.006 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Allowance for Credit Losses-Loans,General Loan Loss Provision (GLLP),General Loan Loss Provision (GLLP),2.816 ,2.834 ,2.623 ,2.742 ,2.778 ,2.952 ,2.555 ,2.599 ,2.582 ,2.591 ,,
"Total Loan Portfolio, Net of Allowance for Credit Losses","Total Loan Portfolio, Net of Allowance for Credit Losses","Total Loan Portfolio, Net of Allowance for Credit Losses",286.329 ,300.949 ,309.143 ,285.174 ,288.797 ,288.940 ,286.407 ,280.864 ,292.034 ,285.350 ,,
Total ROPA,Total ROPA,Total ROPA,31.564 ,31.338 ,31.498 ,31.420 ,31.706 ,31.826 ,31.842 ,30.986 ,30.801 ,30.758 ,,
Total ROPA,Sales Contract Receivable,Sales Contract Receivable,5.281 ,5.234 ,5.341 ,5.296 ,5.259 ,5.077 ,5.023 ,4.924 ,4.865 ,5.126 ,,
Total ROPA,Non-Current Assets Held for Sale,Non-Current Assets Held for Sale,2.373 ,2.179 ,1.976 ,2.152 ,2.165 ,2.178 ,2.142 ,2.137 ,1.942 ,1.841 ,,
Total ROPA,Real and Other Properties Acquired,Real and Other Properties Acquired,23.911 ,23.925 ,24.181 ,23.972 ,24.281 ,24.571 ,24.677 ,23.925 ,23.994 ,23.791 ,,
Accumulated Depreciation,Accumulated Depreciation,Accumulated Depreciation,0.831 ,0.827 ,0.842 ,0.866 ,1.135 ,1.196 ,0.933 ,0.999 ,1.041 ,0.972 ,,
Unamortized Discount and Other Deferred Credits,Unamortized Discount and Other Deferred Credits,Unamortized Discount and Other Deferred Credits,0.076 ,0.076 ,0.098 ,0.098 ,0.109 ,0.110 ,0.109 ,0.110 ,0.110 ,0.110 ,,
Allowance for Losses - ROPA,Allowance for Losses - ROPA,Allowance for Losses - ROPA,2.008 ,2.094 ,2.124 ,2.063 ,1.907 ,1.923 ,2.281 ,1.919 ,1.782 ,1.501 ,,
Allowance for Losses - ROPA,Allowance for Credit Losses- Sales Contract Receivable,Allowance for Credit Losses- Sales Contract Receivable,0.028 ,0.028 ,0.024 ,0.024 ,0.024 ,0.024 ,0.024 ,0.024 ,0.024 ,0.027 ,,
Allowance for Losses - ROPA,Allowance for Losses -Real and Other Properties Acquired,Allowance for Losses -Real and Other Properties Acquired,1.980 ,2.066 ,2.100 ,2.039 ,1.884 ,1.899 ,2.257 ,1.895 ,1.758 ,1.475 ,,
Allowance for Losses - ROPA,Allowance for Credit Losses -Non Current Assets held for Sale,Allowance for Credit Losses -Non Current Assets held for Sale,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
"ROPA, Net of Allowance for Losses","ROPA, Net of Allowance for Losses","ROPA, Net of Allowance for Losses",28.650 ,28.341 ,28.434 ,28.393 ,28.554 ,28.596 ,28.519 ,27.958 ,27.869 ,28.174 ,,
"Total Other Assets, Net","Total Other Assets, Net","Total Other Assets, Net",39.605 ,40.226 ,39.910 ,40.084 ,39.542 ,39.943 ,39.648 ,39.497 ,39.832 ,40.203 ,,
"Total Other Assets, Net",Derivatives with Positive Fair Value Held for Hedging,Derivatives with Positive Fair Value Held for Hedging,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
"Total Other Assets, Net",Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,Revaluation of Hedged Assets in Portfolio Hedge of Interest Rate Risk,0.014 ,0.017 ,0.017 ,0.017 ,0.020 ,0.020 ,0.005 ,0.005 ,0.005 ,0.004 ,,
"Total Other Assets, Net",Goodwill,Goodwill,0.188 ,0.188 ,0.188 ,0.188 ,0.188 ,0.188 ,0.188 ,0.468 ,0.566 ,0.564 ,,
"Total Other Assets, Net",Goodwill, Allowance for Losses,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
"Total Other Assets, Net",Goodwill - Net,Goodwill - Net,0.188 ,0.188 ,0.188 ,0.188 ,0.188 ,0.188 ,0.188 ,0.468 ,0.566 ,0.564 ,,
"Total Other Assets, Net",Accrued Interest Income from Financial Assets,Accrued Interest Income from Financial Assets,4.368 ,4.504 ,4.732 ,4.885 ,4.709 ,4.720 ,4.430 ,4.509 ,4.970 ,5.388 ,,
"Total Other Assets, Net",Accrued Interest Income from Financial Assets,Allowance for Credit Losses,1.519 ,1.580 ,1.595 ,1.606 ,1.571 ,1.541 ,1.551 ,1.490 ,1.495 ,1.468 ,,
"Total Other Assets, Net","Accrued Interest Income from Financial Assets, net","Accrued Interest Income from Financial Assets, net",2.850 ,2.924 ,3.138 ,3.279 ,3.138 ,3.178 ,2.879 ,3.019 ,3.476 ,3.920 ,,
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment","Bank Premises, Furniture, Fixture and Equipment",17.653 ,17.691 ,17.759 ,17.858 ,17.817 ,17.825 ,17.889 ,17.479 ,17.608 ,17.689 ,,
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment",Accumulated Depreciation,7.033 ,7.017 ,7.038 ,7.109 ,7.199 ,7.156 ,7.206 ,6.886 ,6.994 ,7.042 ,,
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment",Allowance for Losses,0.032 ,0.044 ,0.044 ,0.044 ,0.044 ,0.044 ,0.044 ,0.044 ,0.030 ,0.030 ,,
"Total Other Assets, Net","Bank Premises, Furniture, Fixture and Equipment - Net","Bank Premises, Furniture, Fixture and Equipment - Net",10.588 ,10.630 ,10.677 ,10.705 ,10.574 ,10.625 ,10.639 ,10.549 ,10.585 ,10.617 ,,
"Total Other Assets, Net",Other Intangible Assets,Other Intangible Assets,0.361 ,0.364 ,0.396 ,0.464 ,0.508 ,0.512 ,0.507 ,0.519 ,0.842 ,0.841 ,,
"Total Other Assets, Net",Other Intangible Assets,Accumulated Amortization,0.022 ,0.019 ,0.021 ,0.030 ,0.032 ,0.034 ,0.036 ,0.038 ,0.292 ,0.298 ,,
"Total Other Assets, Net",Other Intangible Assets,Allowance for Losses,0.000 ,0.008 ,0.009 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
"Total Other Assets, Net","Other Intangible Assets, net","Other Intangible Assets, net",0.339 ,0.337 ,0.366 ,0.434 ,0.476 ,0.479 ,0.470 ,0.480 ,0.550 ,0.543 ,,
"Total Other Assets, Net",Deferred Tax Asset,Deferred Tax Asset,4.945 ,5.007 ,5.006 ,5.124 ,5.096 ,5.145 ,5.402 ,5.071 ,5.074 ,4.738 ,,
"Total Other Assets, Net",Due from FCDU/RBU,Due from FCDU/RBU,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
"Total Other Assets, Net",Other Assets,Other Assets,22.533 ,23.161 ,22.579 ,22.434 ,22.144 ,22.388 ,22.135 ,21.316 ,20.968 ,21.186 ,,
"Total Other Assets, Net",Other Assets,Allowance for Losses,1.852 ,2.038 ,2.061 ,2.098 ,2.092 ,2.079 ,2.070 ,1.411 ,1.391 ,1.370 ,,
"Total Other Assets, Net",Other Assets - Net,Other Assets - Net,20.682 ,21.123 ,20.519 ,20.336 ,20.052 ,20.308 ,20.065 ,19.904 ,19.577 ,19.816 ,,
LIABILITIES AND CAPITAL total,LIABILITIES AND CAPITAL total,LIABILITIES AND CAPITAL total,484.611 ,493.564 ,500.124 ,483.111 ,483.289 ,483.133 ,482.368 ,473.373 ,478.730 ,481.765 ,,
Liability Accounts total,Liability Accounts total,Liability Accounts total,425.037 ,434.472 ,442.228 ,426.010 ,426.225 ,424.551 ,423.899 ,422.017 ,427.265 ,428.310 ,,
Financial Liabilities Held for Trading,Financial Liabilities Held for Trading,Financial Liabilities Held for Trading,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Financial Liabilities Designated at Fair Value through Profit or Loss,Financial Liabilities Designated at Fair Value through Profit or Loss,Financial Liabilities Designated at Fair Value through Profit or Loss,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Deposit Liabilities,Deposit Liabilities,Deposit Liabilities,364.354 ,367.966 ,373.831 ,389.048 ,381.838 ,386.357 ,385.657 ,382.432 ,388.133 ,384.847 ,,
Deposit Liabilities,Peso,Peso,321.418 ,323.896 ,327.335 ,337.967 ,332.778 ,336.339 ,334.234 ,330.612 ,336.530 ,334.131 ,,
Deposit Liabilities,Demand & NOW,Demand & NOW,34.619 ,35.815 ,35.846 ,37.178 ,36.315 ,36.453 ,35.336 ,34.398 ,34.945 ,35.919 ,,
Deposit Liabilities,Savings Deposits,Savings Deposits,116.327 ,113.720 ,115.040 ,115.970 ,117.016 ,118.626 ,118.024 ,111.140 ,113.192 ,113.110 ,,
Deposit Liabilities,Time Certificate of Deposits ,Time Certificate of Deposits ,168.872 ,172.760 ,174.849 ,183.218 ,177.846 ,179.659 ,179.272 ,183.473 ,186.792 ,183.501 ,,
Deposit Liabilities,LTNCD,LTNCD,1.601 ,1.601 ,1.601 ,1.601 ,1.601 ,1.601 ,1.601 ,1.601 ,1.601 ,1.601 ,,
Deposit Liabilities,Foreign Currency,Foreign Currency,42.936 ,44.070 ,46.496 ,51.081 ,49.061 ,50.019 ,51.423 ,51.820 ,51.603 ,50.716 ,,
Bills Payable,Bills Payable,Bills Payable,37.374 ,43.290 ,44.486 ,12.844 ,20.787 ,14.711 ,13.914 ,15.807 ,15.511 ,19.327 ,,
Bills Payable,Deposit Substitutes ,Deposit Substitutes ,1.260 ,1.887 ,2.227 ,1.794 ,1.988 ,1.768 ,2.514 ,2.536 ,2.560 ,2.104 ,,
Bills Payable,Others,Others,36.114 ,41.403 ,42.259 ,11.050 ,18.799 ,12.942 ,11.400 ,13.271 ,12.951 ,17.223 ,,
Special Financing ,Special Financing ,Special Financing ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Special Financing ,Time Certificate of Deposits  - SF,Time Certificate of Deposits  - SF,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Special Financing ,Special Time Deposits,Special Time Deposits,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Unsecured Subordinated Debt,Unsecured Subordinated Debt,Unsecured Subordinated Debt,2.856 ,2.860 ,2.873 ,2.883 ,2.877 ,2.892 ,2.901 ,2.918 ,2.918 ,2.906 ,,
Unsecured Subordinated Debt,Unsecured Subordinated Debt,Unamortized Debt Discount/Premium,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Unsecured Subordinated Debt - Net,Unsecured Subordinated Debt - Net,Unsecured Subordinated Debt - Net,2.856 ,2.860 ,2.873 ,2.883 ,2.877 ,2.892 ,2.901 ,2.918 ,2.918 ,2.906 ,,
Redeemable Preferred Shares,Redeemable Preferred Shares,Redeemable Preferred Shares,0.038 ,0.034 ,0.034 ,0.033 ,0.033 ,0.033 ,0.033 ,0.033 ,0.032 ,0.031 ,,
Total Other Liabilities,Total Other Liabilities,Total Other Liabilities,20.415 ,20.322 ,21.004 ,21.202 ,20.689 ,20.558 ,21.394 ,20.828 ,20.671 ,21.199 ,,
Total Other Liabilities,Due to Other Banks,Due to Other Banks,0.042 ,0.000 ,0.004 ,0.011 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Bonds Payable,Bonds Payable,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Bonds Payable,Unamortized Bond Discount/Premium,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Bonds Payable - Net,Bonds Payable - Net,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Financial Liabilities Associated with Transferred Assets,Financial Liabilities Associated with Transferred Assets,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Derivatives with Negative Fair Value Held for Hedging,Derivatives with Negative Fair Value Held for Hedging,0.000 ,0.000 ,0.000 ,0.022 ,0.022 ,0.036 ,0.059 ,0.076 ,0.104 ,0.116 ,,
Total Other Liabilities,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,Revaluation of Hedged Liabilities in Portfolio Hedge of Interest Rate Risk,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Accrued Interest Expense on Financial Liabilities,Accrued Interest Expense on Financial Liabilities,3.509 ,3.557 ,3.766 ,3.895 ,3.948 ,3.998 ,4.100 ,3.380 ,3.471 ,3.683 ,,
Total Other Liabilities,Finance Lease Payment Payable,Finance Lease Payment Payable,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,,
Total Other Liabilities,Due to Treasurer of the Philippines,Due to Treasurer of the Philippines,0.038 ,0.039 ,0.038 ,0.039 ,0.039 ,0.040 ,0.041 ,0.039 ,0.038 ,0.039 ,,
Total Other Liabilities,Treasurer/Cashier/Manager's Checks,Treasurer/Cashier/Manager's Checks,2.243 ,2.335 ,2.313 ,2.765 ,2.614 ,2.517 ,2.482 ,2.124 ,2.431 ,2.431 ,,
Total Other Liabilities,Payment Orders Payable,Payment Orders Payable,0.206 ,0.145 ,0.065 ,0.073 ,0.079 ,0.084 ,0.065 ,0.072 ,0.066 ,0.084 ,,
Total Other Liabilities,Margin Deposits on LCs and Customers' Liability on Bills/Drafts under LCs and/or TRs,Margin Deposits on LCs and Customers' Liability on Bills/Drafts under LCs and/or TRs,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Cash Letters of Credit,Cash Letters of Credit,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Outstanding Acceptances Executed by or for Account of this Bank,Outstanding Acceptances Executed by or for Account of this Bank,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Due to Bangko Sentral ng Pilipinas,Due to Bangko Sentral ng Pilipinas,0.057 ,0.051 ,0.061 ,0.069 ,0.080 ,0.110 ,0.231 ,0.288 ,0.294 ,0.299 ,,
Total Other Liabilities,Due to Philippine Deposit Insurance Corporation,Due to Philippine Deposit Insurance Corporation,0.714 ,0.721 ,0.728 ,0.736 ,0.706 ,0.713 ,0.738 ,0.752 ,0.766 ,0.778 ,,
Total Other Liabilities,Due to Philippine Crop Insurance Corporation,Due to Philippine Crop Insurance Corporation,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Total Other Liabilities,Income Tax Payable,Income Tax Payable,0.329 ,0.298 ,0.306 ,0.369 ,0.382 ,0.338 ,0.356 ,0.393 ,0.396 ,0.238 ,,
Total Other Liabilities,Other Taxes and Licenses Payable,Other Taxes and Licenses Payable,0.264 ,0.249 ,0.253 ,0.249 ,0.227 ,0.228 ,0.244 ,0.230 ,0.233 ,0.265 ,,
Total Other Liabilities,Accrued Expenses,Accrued Expenses,2.843 ,2.811 ,2.775 ,2.852 ,2.797 ,2.975 ,2.987 ,3.030 ,2.872 ,2.654 ,,
Total Other Liabilities,Unearned Income ,Unearned Income ,0.824 ,0.867 ,0.671 ,0.655 ,0.623 ,0.801 ,0.848 ,0.829 ,0.617 ,0.654 ,,
Total Other Liabilities,Deferred Tax Liabilities,Deferred Tax Liabilities,0.159 ,0.161 ,0.162 ,0.181 ,0.191 ,0.191 ,0.181 ,0.184 ,0.163 ,0.160 ,,
Total Other Liabilities,Provisions,Provisions,0.004 ,0.009 ,0.010 ,0.011 ,0.014 ,0.015 ,0.016 ,0.017 ,0.017 ,0.027 ,,
Total Other Liabilities,Other Liabilities,Other Liabilities,9.180 ,9.077 ,9.850 ,9.272 ,8.966 ,8.510 ,9.045 ,9.413 ,9.202 ,9.769 ,,
Total Other Liabilities,Due to Head Office/Branches/Agencies (Philippine branch of a foreign bank),Due to Head Office/Branches/Agencies (Philippine branch of a foreign bank),0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
