operator,operator_address,date_established,families_served
Soccoro Empowered PeopleÍs Cooperative,"Brgy. Poblacion, Socorro, Siargao Island, Surigao del Norte",3/20/2010,2500
Manapa Marketing and ConsumersÍ Association (new operator),"Brgy. Manapa, BuenaviSto., Agusan del Norte",10/17/2008,105
General Luna First Community Development Organization,"Brgy. Poblacion 3, General Luna, Siargao Island, Surigao del Norte",4/15/2010,500
Bunga Samahang Nayon,"Brgy. Bunga, Lanuza, Surigao del Sur",3/27/2010,405
Esperanza FarmersÍ Credit Cooperative,"Brgy.Esperanza, Del Carmen, Siargao Island, Surigao del Norte",4/15/2010,210
Tangbo WomenÍs Association,"Brgy. Tangbo, Sto. Monica, Siargao Island, Surigao del Norte",5/4/2010,50
Brgy. Council,"Brgy. Consuelo, Bunawan, Agusan del Sur",4/27/2010,540
Burboanan ReforeSto.tion FarmersÍ Association,"Brgy. Burboanan, Bislig City, Surigao del Sur",4/23/2008,700
BLGU _ Brgy. Council,"Brgy. Bunga, Lanuza, Surigao del Sur",3/27/2010,405
BLGU _ Brgy. Council,"Mlang, North Cotabato",8/20/2010,2543
BLGU _ Brgy. Council,"President Quirino, Sultan Kudarat",4/13/2008,3492
BLGU _ Brgy. Council,"President Quirino, Sultan Kudarat",8/10/2010,2876
KALIPI WomenÍs Association,"Polomolok, South Cotabato",11/15/2010,2708
Sto. Teresita Bagong Sibul Association,"Sto. Nino, South Cotabato",7/8/2010,2371
Katipunan KALIPI WomenÍs Association,"Sto. Nino, South Cotabato",12/21/2010,3046
KALIPI WomenÍs Association,"Polomolok, South Cotabato",11/5/2007,2190
BLGU _ Brgy. Council,"Surallah, South Cotabato",10/1/2010,3710
BLGU _ Brgy. Council,"President Quirino, Sultan Kudarat",10/19/2009,2125
TIWA (Tapon Indigenous Women Association),"Glan, Sarangani Province",5/7/2009,2995
Nicaan Consortium of MRDP,"Libungan, North Cotabato",1/26/2009,1793
Landan Makabayan Magsasaka Cooperative,"Polomolok, South Cotabato",1/20/2010,4186
Muslim Lumad Christian Marketing Cooperative,"Aleosan, North Cotabato",10/20/2009,3295
Ulamian Vegetables Association,"Libungan, North Cotabato",10/9/2009,2678
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",7/21/2010,1882
"Dept. of Agriculture, Balindog Employees Association, DABEA","Kidapawan City, North Cotabato",7/8/2009,1500
BLGU _ Brgy. Council,"Midsayap, North Cotabato",9/28/2009,2968
Makilala Vegetables Farmers Multi-purpose Cooperative,"Makilala, North Cotabato",9/3/2010,2530
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",9/8/2010,7719
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",5/17/2009,4980
BLGU _ Brgy. Council,"Malapatan, Sarangani Province",10/2/2010,7875
BLGU _ Brgy. Council,"Maitum, Sarangani Provnce",5/5/2009,3526
RIC Tambilil,"Kiamba, Sarangani Provnce",5/6/2009,3018
Rural Improvement Club,"Kiamba, Sarangani Provnce",10/28/2010,5347
Katubao Tribal Community Multi-Purpose Cooperative,"Kiamba, Sarangani Provnce",9/23/2010,7361
BLGU _ Brgy. Council,"Kiamba, Sarangani Provnce",12/11/2009,3494
BLGU _ Brgy. Council,"Kiamba, Sarangani Province",12/8/2010,1500
BLGU _ Brgy. Council,"Glan, Sarangani Province",11/12/2009,2521
BLGU _ Brgy. Council,"Glan, Sarangani Province",11/11/2009,3000
BLGU _ Brgy. Council,General Santos City,4/12/2010,11812
Rosary Heights 8 KALIPI,"Notre Dame Village, Cotabato City",5/7/2011,4145
BLGU _ Brgy. Council,Cotabato City,12/13/2010,2433
Pansacala Vendors Association,Cotabato City,8/30/2008 (re-opened 2/26/2012),2300
BLGU _ Brgy. Council,"Malungon, Sarangani Province",12/14/2010,1550
Luhong Integrated Farmers Association,"Antipas, North Cotabato",11/6/2009,3100
BLGU _ Brgy. Council,"Malungon, Sarangani Province",12/14/2010,1550
BLGU _ Brgy. Council,"Antipas, North Cotabato",7/9/2010,1542
BLGU _ Brgy. Council,"Magpet, North Cotabato",7/31/2010,1747
City Food Terminal Multipurpose Cooperative (CCFTEMCO),"Bula, General Santos City",-,2708
FarmerÍs Association of Poblacion Mapet,"Magpet, North Cotabato",8/6/2008,3180
Advocate of Magpet for Transformation and Integrated Development Association,"Magpet, North Cotabato",11/13/2009,2055
BLGU _ Brgy. Council,"Pikit, North Cotabato",7/2/2010,2061
BLGU _ Brgy. Council,"Matalam, North Cotabato",10/20/2009,2705
BLGU _ Brgy. Council,Pikitm North Cotabato,9/24/2009,3384
BLGU _ Brgy. Council,"Mlang, North Cotabato",8/20/2010,2543
BLGU _ Brgy. Council,"Tacurong City, Sultan Kudarat",12/3/2009,2784
BLGU _ Brgy. Council,"Tacurong City, Sultan Kudarat",11/27/2009,2049
"Brgy. Dukay, RIC","Esperanza, Sultan Kudarat",4/11/2008,2888
OFW and Beneficiaries Association,"Isulan, Sultan Kudarat",9/9/2008,4987
BLGU _ Brgy. Council,"Lambayong, Sultan Kudarat",7/6/2010,2647
"KALIPI, Kalipunan ng Lipunang Pilipina","Isulan, Sultan Kudarat",7/20/2010,2531
BLGU _ Brgy. Council,"Bagumbayan, Sultan Kudarat",12/17/2008 (transferred location 6/12/2009),1808
 Tamugan WomenÍs RIC (TAWORIC),"Brgy. Tamugan, Marilog, Davao City",7/23/2010,235
B-LGU,"Brgy. Mabuhay, Bansalan, Davao del Sur",10/23/2008,400
San Isidro Multi-Purpose Cooperative,"Brgy. San Isidro, Magsaysay, Davao Del Sur",9/8/2008,310
 B-LGU,"Brgy. Manga, Matanao, Davao del Sur",9/23/2010,490
Conservation Farming  Villages Farmers Association,"Brgy.  Mabunao, Panabo City, Davao Del Norte",12/15/2009,335
BLGU,"Brgy. Malativas Panabo City, Davao Del Norte",12/9/2008,470
SEAK ( Self Employment AssiSto.nce Kaunlaran )Womens,"Brgy. Balagunan, Sto. Tomas, Davao Del Norte",12/8/2010,350
SinadÍbadan Kag Tugallan Sebulan Cityside Cooperative,"Brgy. Buda, Toril District, Davao City",12/8/2009,80
 Malawanit Farmers MPC,"Brgy. Malawanit, Magsaysay, Davao del Sur",9/19/2008,4002
 Catumbal Fisherfolk and Mudcrab Multi Purpose Coop.,"Purok Catumbal, Brgy. La Paz, Carmen, Davao Del Norte",7/20/2010,420
Panabo Vegetable Growers Association,"Brgy.  Sto. Nino Panabo City, Davao Del Norte",8/6/2010,1033
Pasig Agrarian Reform Beneficiaries and Upland Farmers MPC,"Brgy. Pasig, Kiblawan, Davao del Sur",5/26/2011,390
 Buda FarmerÍs Cooperative (BFC),"Brgy. Buda, Marilog District, Davao City",7/16/2009,64
Brgy. Panalum RIC (Women),"Brgy. Panalum, Paquibato District, Davao Oriental",3/9/2009,40
B-LGU,"Brgy. Kiba-o, Matanao, Davao del Sur",7/13/2010,270
Bacungan  Farmers MPC,"Brgy. Bacungan, Magsaysay, Davao del Sur",9/17/2008,670
San Roque FarmerÍs Multi-purpose Cooperative ,"Brgy. Baracatan, Toril District, Davao City",11/18/2009,280
San Isidro MPC,"Brgy. San Isidro, Malalag, Davao del Sur",8/6/2009,385
Kinuskusan MPC,"Brgy. Kinuskusan, Bansalan, Davao del Sur",7/30/2008,225
"Bolton Coconut Farmers, Multipurpose Cooperative","Brgy. Bolton, Malalag, Davao del Sur",12/16/2009,450
Mabini Agro-Forestry Farmers Development Cooperative,"Brgy. Mabini, Malalag, Davao del Sur",12/14/2009,270
New Baclayon MPC,"Brgy. New Baclayon, Malalag, Davao del Sur",8/6/2009,860
 St. Michael MPC,"Brgy. Kasuga, Magsaysay, Davao del Sur",10/6/2009,930
Sitio Alo Farmers MPC,"Sitio Alo, brgy. Darapuay, Bansalan, Davao del Sur",10/21/2008,1130
Brgy. Talaguton Food Terminal Association,"Brgy. Talaguton, Don Marcelion, Davao del Sur",2/26/2011,125
Tinungtungan MPC,"Brgy. Tinuntungan, Bansalan, Davao del Sur",11/27/2008,559
B-LGU,"Brgy. Upper Bala, Magsaysay, Davao del Sur",10/24/2008,500
Anagasi Farmers Multipurpose Cooperative ,"Sitio Anagasi Brgy. Casoon, Monkayo Compostela Valley",11/15/2011,442
B-LGU,"Brgy. Managa, Bansalan, Davao del Sur",10/30/2008,300
B-LGU,"Brgy. Managa, Bansalan, Davao del Sur",10/30/2008,300
Lower Marber Irrigators Cooperative,"Brgy. New Clarin, Bansalan, Davao del Sur",11/14/2008,-
Haguimitan Integrated Cooperative (HICO),"Purok 1 Haguimitan Monkayo, Compostela Valley",12/7/2010,993
Dynamic Vegetable Growers Association ,"Purok 4, Matina Biao, Davao City",3/4/2010,10000
Pasian Livelihood Ladies Cooperative ,"Purok 1A Pasian Monkayo, Compostela Valley",11/1/2011,10000
Nabok Development Cooperative,"Nabok, Monkayo, Compostela Valley",5/28/2011,1147
Rizal United Farmers Communal Irrigators Association,"Brgy. Rizal, Monkayo, Compostela Valley",5/28/2011,976
San Isidro Samahang Nayon PrimaryMultipurpose Cooperative,"San Isidro,Nabunturan, Compostela Valley",9/1/2010,250
B-LGU,"Brgy. Ban-ao,  Baganga Davao Oriental",7/27/2010,922
BFT Lamiawan FarmersÍ Vendors Association,"Brgy. Lamiawan, Caraga, Davao Oriental",3/5/2010,432
B-LGU,Brgy. San Jose Caraga Davao Oriental,9/1/2010,805
San Isidro Multi-Purpose Farmers Association,Brgy. San Isidro Baganga Davao Oriental,12/10/2009,2376
B-LGU,Brgy. Mahan-ub Baganga Davao Oriental,1/27/2010,942
Badian Resource Development MPC (BREVAMCO)  ,"Brgy. Banhigan, Badian, Cebu ",10/28/2011,2833
Brgy. LGU ,"Brgy. Rizal, Pilar, Bohol ",8/8/2010,1330
Alcantara Government Workers MPC ,"Brgy. Poblacion, Alcantara,Cebu ",7/28/2009,2464
Brgy. LGU ,"Brgy. San Isidro, San Fernando, Cebu ",2/21/2012,10987
Brgy. LGU ,"Brgy. Balud, San Fernando, Cebu  ",9/8/2011,5417
ALTAMCO (Alang sa Tanan MPC) ,"Brgy. Olo, Siquijor ",7/21/2009,4655
Cambinocot Multi-Purpose Cooperative ,"Brgy. Cambinocot, Cebu City ",10/10/2015,159762
MLGU thru MAO Rene Amores ,"Brgy. Poblacion, San Jose, Negros Oriental ",4/13/2011,3450
Cadena De Amor Rural Improvement Club ,"Brgy. Talisay, Daan Bantayan, Cebu City ",7/8/2009,14651
Catibes II Guba Farmers Association ,"Brgy. Mambaling, Cebu City ",8/26/2009,2500
Little Salvacion MPC ,"Brgy. Candaping, Maria, Siquijor ",3/9/2011,2595
Kalubihan Riverside MPC (KARIMCO) ,"Brgy. Sambag II, Cebu City ",12/7/2007,16543
MLGU ,"Brgy. Poblacion, Guindulman, Bohol ",3/25/2011,6471
BLGU ,"Brgy. Camangki, Enrique Villanueva, Siquijor ",11/12/2010,1176
Active Beginners Club ,"Brgy. North Poblaciong, Larena, Siquijor ",11/11/2011,1800
Mabuhay Small Fisherman Association  ,"Brgy. Mabuhay, Sto. Catalina, Negros Oriental ",12/10/2010,14526
BLGU ,"Brgy. Campalanas, Lazi, Siquijor ",3/10/2011,1300
KASANAG Credit Coop ,"Brgy. Poblacion, Guihulngan, Negros Oriental",12/8/2010,53771
Catulayan Community MPC ,"Brgy. Catulayan, San Juan, Siquijor ",11/11/2010,2636
Valencia Community Development Coop ,"Brgy. Cadiocan, Valencia, Negros Oriental ",11/19/2010,5587
Brgy. Council ,"Brgy. Tumalalod, Dumarao, Capiz ",5/12/2015,424
MLGU ,"Numancia Public Market,Numancia, Aklan ",4/14/2010,5514
MLGU ,"Trade Town Public Market, San Jose de Buena ViSto., Antique ",12/8/2008,9652
Brgy. Council ,"Brgy. San Pedro, San Jose de BuenaviSto., Antique ",10/15/2007,2340
MLGU ,"Sebaste Public Market, Antique ",4/12/2011,2232
Brgy. Council ,"Brgy. Poblacion,Moises Padilla ",11/1/2011,2882
Brgy. Council ,"Brgy. Tanza, E.B. Magalona, Negros Occ. ",2/12/2015,4200
Brgy. Council ,"Brgy. Talento, Tubungan, Iloilo ",9/1/2010,327
Brgy. Council ,"Brgy. Jolason, Tubungan, Iloilo ",9/1/2010,314
MLGU c/o MAO and Municipal Planning,"Brgy. Igmaya-an, Don Salvador Benedicto, Negros Occidental ",2/1/2012,4177
Brgy. Council ,"Brgy. Navillan, Tubungan, Iloilo ",9/10/2015,455
MLGU,"Dumangas , Iloilo ",11/11/2015,12433
MLGU,"Brgy. Poblacion, Bingawan, Iloilo ",6/11/2015,13000
Banao Farmers Association Inc.,"Del Rosario, Banao, Iriga City, Camarines Sur",3/1/2012,150
Brgy. LGU,"Brgy. Panaytayan, Ragay, Camarines Sur",7/1/2005,200
Libmanan Culantura Prod. Cooperative,"San Isidro, Libmanan, Camarines Sur",2/1/2012,500
BLGU _ Sto. Nino,"San Antonio, Iriga City, Camarines Sur",6/1/2008,1896
"Gawad-Kalinga Libmanan, Puna Village, Libmanan","Sitio Pagara, GK Bahay, Libmanan, Camarines Sur",6/1/2010,2826
Gawad-Kalinga Cabusao Multipurpose Cooperative,"San Rafael, GK Village, Castillo, Cabusao, Camarines Sur",11/1/2008,1605
BLGU _ San Jose,"San Jose, Nabua, Camarines Sur",7/1/2009,1878
Nabua Development Multipurpose Cooperative,"Paloyon Proper, Nabua, Camarines Sur",12/1/2010,1200
Sto. Justina Farmers Irrigators Association,"Brgy. Sto. Justina West, Buhi, Camarines Sur",3/1/2010,2579
BLGU _ San Antonio,"San Antonio, Iriga City, Camarines Sur",6/1/2011,3369
BLGU _ Malawag,"Malawag, Nabua, Camarines Sur",12/1/2009,2881
 La Purisima Nabua Neighborhood Association (LABUNAFANE),"La Purisima, Nabua, Camarines Sur",6/1/2010,1468
San Antonio Farmers Irrigators Association Multipurpose Cooperative,"Brgy. San Antonio, Buhi, Camarines Sur",7/1/2010,4243
Bantay-Dagat Development Cooperative,"Brgy. BuenaviSto., Tinambac, Camarines Sur",12/1/2009,1780
MAPADABBA Ca Producers Cooperative,"Cagliliog, Tinambac, Camarines Sur",3/1/2012,1000
Samahan ng Manggagawa at Mangingisda ng Banocboc,"Sitio Sogod, Banocboc, Calaguas Island, Vinzons, Camarines Norte",2/1/2012,2034
BLGU-Canapawan,"Canapawan, Labo, Camarines Norte",3/1/2009,2830
Municipal LGU   ,"San Vicente, Viga, Catanduanes  ",6/1/2011,175
Countryside Agrarian Reform Beneficiaries Multipurpose Coopertive,"Maulawin, Sto. Elena, Camarines Norte",2/1/2012,145
BLGU _ Nabungsoran,"Brgy. Nabungsuran, Aroroy, Masbate",1/1/2011,4045
BLGU _ Poblacion,"Brgy. Poblacion, Aroroy, Masbate",1/1/2009,1852
Mauswagan Credit Cooperative (MACRECO),"Brgy. Poblacion, Palanas, Masbate",3/1/2012,519
BLGU _ Sto. Lucia,"Sto. Lucia, Nabua, Camarines Sur",6/1/2008,1554
BLGU _ San Jacinto,"District 1, San Jacinto, Ticao, Masbate",11/1/2011,270
BLGU _ Batuan,"Poblacion, Batuan, Masbate",8/1/2011,2517
Municipal LGU     ,"District 3, San Miguel, Catanduanes   ",-,24
Spiritual and Material Integrated Farmers and Fisherfolk Association ," San Vicente, Pandan,  Catanduanes",7/1/2010,55
Brgy. LGU,"Brgy. Sto. Lutgarda, Cabusao, Camarines Sur",5/1/2010,320
"Diocese of Virac Social Action Foundation, Inc (DVSAFI)","Bigaa, Virac, Catanduanes",2/10/2011,377
Caramoran Employees Credit Cooperative  ,"Brgy. Baybay, Caramoran, Catanduanes  ",3/1/2012,90
Brgy. LGU    ,"Ilawod Poblacion, Bato, Catanduanes  ",7/1/2011,92
Brgy. LGU   ,"San Roque, Bato, Catanduanes ",2/1/2010,104
Municipal LGU  ,"District 2, Gigmoto,  Catanduanes",6/16/2001,533
Brgy. LGU,"Brgy. Mapanique, San Pascual, Masbate",7/1/2010,100
MLGU _ Calabanga,"Public Market, Calabanga, Camarines Sur",7/1/2011,-
Maliliit na Sambayanang Simbahan Diocesa MPC. (MSSD MPC),"Camambugan, Daet, Camarines Norte",2/1/2011,50
Bagamanok Municipal Employees Association (BAGMEA),"Brgy. Poblacion, Bagamanok, Catanduanes",2/1/2011,174
Brgy. LGU,"Brgy. Malaking Ilog, San Pascual, Masbate",2/1/2010,140
BFT _ Batobalani,"Batobalani, Paracale, Camarines Norte",2/1/2009,3635
BFT _ Pambuhan,"Pambuhan, Mercedes, Camarines Norte",5/1/2009,2565
Brgy. LGU,"Brgy. San Rafael, Castilla, Sorsogon",6/1/2011,800
Brgy. LGU,"Brgy. Otavi, Bulan Sorsogon",3/1/2011,30
Bulan LGU,"Bulan, Sorsogon",7/1/2011,-
Tabunan BLGU ,"Tabunan, Matnog, Sorsogon ",3/1/2012,250
LGU-Legaspi City,"Gogon, Legaspi City",1/1/2012,-
Brgy. LGU,"Brgy. Inarara, Bulan, Sorsogon",3/1/2010,41
Brgy. LGU,"Brgy. San Francisco, Bulan, Sorsogon",5/1/2010,30
Punong Brgy. Remedios R. Mar,"Muladbucad Pequeno, Guinobatan, Albay",3/1/2010,1973
BLGU _ Palapas,"Palapas, Piudaran, Albay",5/1/2010,1178
BFT _ Itaran,"Itaran, Polangi, Albay",4/1/2010,2826
Kababaihan ng Brgy. Poblacion 6,"Brgy. Poblacion 6, Coron, Palawan",4/26/2012,2975
DA-Palawan Agricultural Experiment Sto.tion MPC,"DA-PAES Compound, Brgy. Sto. Monica, Puerto Princesa City",-,47620
Municipal Market Administrator,"Brgy. Poblacion, Looc, Romblon",6/28/2010,3265
Municipal Market Administrator,"Brgy. Poblacion, Odiongan, Romblon ",7/29/2009,8628
Brgy. Council,"Brgy. Napo, Sto. Cruz, Marinduque",3/14/2011,2852
Brgy. Council,"Brgy. Caigangan, BuenaviSto., Marinduque",9/15/2011,1476
Brgy. Council,"Brgy. Taytay, Sto. Cruz, Marinduque",3/14/2011,1276
Municipal Agriculture Office (MAO),"Brgy. Bulao, Abra de Ilog, Occidental Mindoro",2/1/2012,978
Municipal LGU through the Municipal Agriculture Office (MAO),"Brgy. Malbog, BuenaviSto., Marinduque",9/15/2011,4489
Brgy. Council,"Brgy. Landy, Sto. Cruz, Marinduque",3/14/2011,2060
Municipal Agriculture Office (MAO),"Brgy. Poblacion, Abra de Ilog, Occidental Mindoro",2/1/2012,3480
Magsaysay Onion Growers MPC ,"Brgy. Poblacion, Magsaysay, Occidental Mindoro",6/28/2010,2582
Brgy. Council,"Brgy. Bayanan, Pola, Oriental Mindoro",9/7/2011,2265
Calumpit MPC,"Sitio Calumpit, Brgy. San Vicente, Sablayan, Occidental Mindoro",1/1/2012,383
Samahan ng Maliliit na Mangingisda ng Passi 2,"Brgy. Passi II, Socorro, Oriental Mindoro",3/25/2010,363
Brgy. Council,"Brgy. Balatero, Puerto Galera, Oriental Mindoro",4/1/2010,1795
Municipal Market Administrator,"Brgy. Poblacion, Pinamalayan, Oriental Mindoro",2/10/2011,15928
Murtha Sa Kaunlaran Free Farmers Cooperative,"Brgy. Murtha, San Jose, Occidental Mindoro",5/12/2011,2440
Aplaya WomenÍs Association,"Sitio Rizal, Brgy. Poblacion, Bulalacao, Oriental Mindoro",6/28/2010,1575
"Biyaheros, Biyaheras Upland Farmers Association","Brgy. Poblacion 3, Naujan, Oriental Mindoro",Jan-11 (re-opened),5106
Tabon Rural Agricultural Development Association,"Brgy. Tabon, Quezon, Palawan",3/1/2012,3532
Municipal Agriculture Fishery Council/Villa-Flor Vegetable Growers Assn,"Brgy. Poblacion, Puerto Galera, Oriental Mindoro",9/13/2011,3190
Fruit and Vegetable Growers Association of Gloria,"Brgy. Maligaya, Gloria, Oriental Mindoro",2/10/2010,2388
Brgy. Council,"Brgy. Malatgao, Narra, Palawan",2/21/2012,2644
BrookeÍs Point Vegetable Growers Association,"Brgy. Poblacion 2, BrookeÍs Point, Palawan",12/8/2010,2021
Brgy. Council,"Brgy. Barcenaga, Naujan, Oriental Mindoro",9/1/2011,2440
Brgy. Council,"Tabuan Center, Brgy. Abo-abo, Sofronio Espanola, Palawan",7/2/2005,7383
Agri-Producers Marketing Association of Puerto Princesa City,"Brgy. San Jose (Poblacion), Puerto Princesa City, Palawan",7/15/2010,44010
Brgy. Council,"Brgy. Inirawan, Puerto Princesa City, Palawan",1/1/2011,7443
Life Agri-Venture MPC,"Brgy. Santa Monica, Puerto Princesa City, Palawan",6/14/2008,2350
"Biyaheros, Biyaheras Upland Farmers Association","Brgy. Poblacion 3, Naujan, Oriental Mindoro",Jan-2012 (re-opened),5106
Samahang Maggugulay ng Sofronio Espanola Federation,"Brgy. Pulot Center, Sofronio Espanola, Palawan",12/16/2011,2348
Roxas Rice Seed Growers,Roxas Rice Seed Growers,5/11/2012,11103
Cagbo-aya RIC,"Brgy. Poblacion, San Agustin, Romblon",8/25/2010,316
Christian Farmers Multi-Purpose Cooperative,"Brgy. Catabayungan, Cabagan, Isabela",1/1/2008,409
Brgy. Council of Calamagui 1st,"Brgy. Calamagui 1st, Ilagan, Isabela",6/27/2008,811
Brgy. Council of Minante 1st,"Brgy. Minante 1, Cauayan, Isabela",6/25/2008,1381
Villa Luna Multi-Purpose Cooperative,"Brgy. Villa Luna, Cauayan, Isabela",5/19/2011,3160
Brgy. Council of Villa Luz,"Brgy. Villa Luz, Benito Soliven, Isabela",2/27/2009,1978
Isabela Green Ladies Organization,"Brgy. Yeban Norte, Benito Soliven, Isabela",4/16/2011,1600
Brgy. Council of Minanga,"Brgy. Minanga, San Mariano, Isabela",2/25/2009,8200
Brgy. Council of Maranao,"Brgy. Maranao, San Mariano, Isabela",11/26/2010,1470
"SAMAKABRAI(Samahan ng mga Kababaihan ng Rizal, Alicia, Isabela)","Brgy. Rizal, Alicia, Isabela",5/18/2011,2494
Brgy. Council of Bantug Petines,"Brgy. Bantug Petines, Alicia, Isabela",5/18/2010,980
Brgy. Council of Callao,"Brgy. Callao, Alicia, Isabela",3/10/2009,2955
Brgy. Council of Villa Marzo,"Brgy. Villa Marzo, Cordon, Isabela",6/9/2010,1663
Federation of Vegetable Growers,"Brgy. Ambalatungan, Santiago City, Isabela",4/21/2010,770
Federation of Vegetable Growers,"Brgy. Nabuan, Santiago City, Isabela",4/22/2010,3502
