Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
767-PH,Rapid Food Production Enhancement Programme,IFAD,Program,DA,"Agriculture, Natural Resources and Agrarian Reform","V,VI,VIII,X",0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.86,0.86,0.00%,15.04,15.14,15.90,15.90,99.34%,0.1,0.00,0.00%,9/2/09,6/30/17,,11/9/09,28.03%,94.59%,0.86,-66.56%,Ongoing
A-200565887,Local Government Units Investment Programme,Germany,Project,LBP,Infrastructure,Nationwide,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,1.82,0.00%,25.70,27.36,27.36,27.36,93.93%,1.66,0.00,10.32%,12/20/05,12/30/10,,9/5/06,123.21%,93.93%,1.66,29.28%,Closed
A-200665109,Health Sector Reform Project,Germany,Project,DOH,Social Reform and Community Development,,1.01,0.96,0.08,0.08,0.08,1.20,0.00,0.00,0.00,0.00,0.00,12.77,12.77,84.38%,2.11,13.86,13.86,13.86,15.22%,11.75,0.00,7.91%,12/20/07,12/31/11,12/31/14,6/27/08,53.91%,15.22%,11.75,38.69%,Ongoing
AI-2001 65 951,Credit Line for Energy Efficiency and Climate Protection in the Philippines (CLEECP),Germany,Project,LBP,Infrastructure,,0.00,0.00,0.00,0.00,6.85,6.85,0.00,0.00,0.00,0.00,0.00,27.72,27.72,0.00%,0.00,23.56,27.72,27.72,0.00%,23.56,0.00,0.00%,12/24/08,12/31/12,12/31/13,11/23/09,51.23%,0.00%,27.72,51.23%,Ongoing
Austria-6,DPWH Bridge Construction Acceleration Project for Calamity-Stricken Areas,Austria,Project,DPWH,Infrastructure,"Ilocos Sur, Cagayan, Nueva Ecija, Quezon, Palawan",2.50,1.53,1.55,0.00,0.00,3.07,0.00,0.00,0.00,0.73,0.73,5.16,4.43,81.42%,31.79,31.79,32.52,31.79,100.00%,0,0.73,56.48%,4/18/08,4/18/11,11/30/11,6/24/08,102.47%,100.00%,0.00,2.47%,Closed
Belgian-3,Laguna Lake Rehabilitation Project,Belgium,Project,RBCO,"Agriculture, Natural Resources and Agrarian Reform",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,396.31,0.00,0.00%,0,396.31,0.00%,4/30/10,,,,0.00%,0.00%,0.00,,Cancelled
BLA-04055,NorthRail Project Phase 1 Section 1,China,Project,NLRC,Infrastructure,NCR,16.69,127.73,48.23,47.51,47.51,270.98,0.00,0.00,0.00,0.00,0.00,228.79,228.79,6.16%,187.90,327.36,400.00,400.00,57.40%,139.46,0.00,7.29%,2/26/04,9/13/09,12/31/12,9/13/04,87.92%,46.98%,212.10,40.94%,Ongoing
CHI-1,Banaoang Pump Irrigation Project,China,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",I,0.84,0.84,0.60,0.78,0.00,2.22,0.00,0.00,0.00,0.00,0.00,4.15,4.15,37.84%,31.69,35.00,35.00,35.00,90.54%,3.31,0.00,20.23%,10/31/01,6/27/08,12/31/11,6/27/02,100.00%,90.54%,3.31,9.46%,Ongoing
CHI-5,"Northrail Project Phase I, Section II",China,Project,NLRC,Infrastructure,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,500.00,500.00,0.00%,0,0.00,0.00%,1/15/07,,,,0.00%,0.00%,500.00,0.00%,Newly Signed
CHI-6,Agno River Integrated Irrigation Project,China,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",I,25.58,11.64,11.62,10.86,11.06,45.18,0.00,0.00,0.00,0.00,0.00,68.82,68.82,56.61%,45.91,49.03,89.15,89.15,93.64%,3.12,0.00,37.17%,11/9/09,12/31/13,,2/1/10,48.85%,51.50%,43.24,-2.65%,Ongoing
CHI-7,Angat Water Utilization and Aqueduct Improvement Project (AWUAIP)-Phase II,CHINA,Project,MWSS,Infrastructure,,40.42,14.12,14.72,14.91,13.94,57.69,0.00,0.00,0.00,0.00,0.00,105.44,105.44,70.07%,51.68,46.46,116.60,116.60,111.24%,-5.22,0.00,38.33%,1/7/10,5/7/14,,5/7/10,41.27%,44.32%,64.92,-3.05%,Ongoing
FRANCE-1,Mega Bridges for Urban and Rural Development,France,Project,DPWH,Infrastructure,,62.22,0.00,0.00,40.69,20.02,60.71,0.00,0.00,0.00,0.00,0.00,80.94,80.94,102.49%,184.63,183.02,203.35,203.35,100.88%,-1.61,0.00,76.87%,9/4/08,9/29/12,9/29/13,10/29/08,64.48%,90.79%,18.72,-26.31%,Ongoing
FRANCE-2,Tulay ng Pangulo Para sa Kaunlarang Pang-agraryo Project,FRANCE,Project,DAR,Infrastructure,Nationwide,66.23,18.27,18.27,18.27,18.27,73.08,0.00,0.00,0.00,0.00,0.00,208.15,208.15,90.63%,171.35,260.01,313.27,313.27,65.90%,88.66,0.00,31.82%,12/24/08,12/31/12,3/19/14,3/19/09,55.70%,54.70%,141.92,1.00%,Ongoing
FRANCE-3,Greater Modular Access (GMA) RoRo Ports,France,Project,DOTC,Infrastructure,,39.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.90,204.90,0.00%,84.03,153.68,204.90,204.90,54.68%,69.649,0.00,19.42%,8/26/09,11/23/12,,11/1/09,70.66%,41.01%,120.87,29.65%,Ongoing
IFAD-661-PH,Rural Micro-Enterprise Promotion Programme,IFAD,Project,DTI,"Industry, Trade and Tourism",Nationwide,5.40,1.21,1.61,2.82,2.42,8.06,0.00,0.00,0.00,0.00,0.00,10.42,10.42,66.94%,16.36,13.05,18.64,18.64,125.39%,-3.313,0.00,51.78%,11/11/05,6/30/14,,10/31/06,67.42%,87.78%,2.28,-20.36%,Ongoing
KfW-02,Community Based Forest and Mangrove Management Project,Germany,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","VI, VII",1.30,0.23,0.07,0.21,0.33,0.84,0.00,0.00,0.00,0.00,0.00,4.33,4.33,154.46%,2.74,1.43,5.78,5.78,191.61%,-1.31,0.00,30.00%,12/24/08,1/13/16,,1/12/10,32.76%,47.40%,3.04,-14.64%,Ongoing
PH20030908,Development of Sub-specialty Capabilities for Heart-Lung-Kidney Diseases in Selected Regional Hospitals,Netherlands,Project,DOH,Social Reform and Community Development,"NCR, V, VII, X, XI",0.00,0.00,0.00,0.00,2.31,2.31,0.00,0.00,0.00,0.00,0.00,4.66,4.66,0.00%,15.49,20.65,20.65,20.65,75.03%,5.156,0.00,0.00%,1/20/05,12/31/10,3/1/12,4/25/05,97.56%,75.03%,5.16,22.53%,Ongoing
PH-4833,Support for Strategic Local Development and Investment Project,WB,Project,LBP,Infrastructure,Nationwide,18.23,4.49,9.68,4.88,4.84,23.89,0.00,0.00,0.00,0.00,0.00,33.81,33.81,76.31%,84.42,94.00,100.00,100.00,89.81%,9.578,0.00,53.93%,10/3/06,6/30/12,2/28/14,2/28/07,69.10%,84.42%,15.58,-15.32%,Ongoing
PH-7058,Metro Manila Urban Transport Integration Project,WB,Project,DPWH,Infrastructure,NCR,4.16,0.00,0.00,0.00,0.00,0.00,0.00,10.44,0.00,0.00,10.44,14.61,4.16,0.00%,49.56,49.56,60.00,49.56,100.00%,0,10.44,100.00%,8/8/01,3/31/07,3/31/10,12/6/01,121.07%,100.00%,0.00,21.07%,Closed
PH-7147,KALAHI-CIDSS Project,WB,Project,DSWD,Social Reform and Community Development,"CAR, IV, V, VI, VII, VIII, IX, X, XI, XII, XIII",6.54,5.38,5.38,0.00,0.00,10.76,0.00,0.00,2.58,0.00,2.58,8.67,6.10,60.76%,97.43,97.43,100.00,97.43,100.00%,0,2.58,107.23%,10/2/02,6/30/09,5/31/11,12/16/02,106.93%,100.00%,0.00,6.93%,Closed
PH-7152,Agrarian Reform Communities Development Project II,WB,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","II, III, IV, V, VII, IX, X",0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.22,0.06,-0.16,0.00%,49.78,49.78,50.00,49.78,100.00%,0,0.22,0.00%,1/22/03,12/31/07,6/30/10,6/4/03,121.25%,100.00%,0.00,21.25%,Closed
PH-7191,Judicial Reform Support Project,WB,Project,SC,Governance and Institutions Development,Nationwide,4.43,0.66,0.66,3.66,2.20,7.17,0.00,0.00,0.00,0.00,0.00,9.45,9.45,61.73%,16.82,17.80,21.90,21.90,94.49%,0.981,0.00,46.87%,10/2/03,12/31/09,6/30/12,12/4/03,94.19%,76.81%,5.08,17.38%,Ongoing
PH-7205,Laguna De Bay Institutional Strengthening and Community Participation (LISCOP) Project,WB,Project,LLDA,"Agriculture, Natural Resources and Agrarian Reform",IV-A,1.25,0.58,0.65,0.00,0.00,1.24,0.00,0.00,0.00,0.67,0.67,1.19,0.52,100.89%,4.33,4.33,5.00,4.33,100.00%,0,0.67,241.01%,1/26/04,1/31/09,1/31/11,4/2/04,113.39%,100.00%,0.00,13.39%,Closed
PH-7290,Second Women's Health and Safe Motherhood Project,WB,Project,DOH,Social Reform and Community Development,"II, V, VIII, CARAGA",2.64,0.85,0.85,0.85,0.85,3.38,0.00,0.00,0.00,0.00,0.00,12.06,12.06,78.11%,12.50,7.59,16.00,16.00,164.81%,-4.917,0.00,21.90%,6/30/05,6/30/12,6/30/13,12/28/05,80.04%,78.15%,3.50,1.89%,Ongoing
PH-7298,Land Administration & Management Project Phase II,WB,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","VIII, VII",2.48,1.28,0.83,0.60,0.61,3.32,3.63,0.00,0.00,0.00,3.63,6.24,2.60,74.67%,15.19,14.98,15.36,15.36,101.44%,-0.216,0.00,95.24%,6/30/05,3/31/11,3/30/14,10/11/05,73.48%,98.91%,0.17,-25.43%,Ongoing
PH-7311,Manila Third Sewerage Project,WB,Project,LBP,Infrastructure,NCR,6.39,2.36,4.35,8.03,6.74,21.48,0.00,0.00,0.00,0.00,0.00,26.58,26.58,29.75%,43.81,57.22,64.00,64.00,76.57%,13.409,0.00,24.05%,7/22/05,6/30/10,6/30/12,3/6/06,92.11%,68.46%,20.19,23.65%,Ongoing
PH-7393,National Support for Basic Education,WB,Program,DepEd,Social Reform and Community Development,Nationwide,31.88,5.50,11.99,8.39,19.57,45.45,0.00,0.00,0.00,0.00,0.00,45.45,45.45,70.14%,186.43,200.00,200.00,200.00,93.21%,13.574,0.00,70.14%,10/3/06,12/31/11,12/31/12,1/1/07,83.30%,93.21%,13.57,-9.91%,Ongoing
PH-7395,National Sector Support for Health Reform,WB,Program,DOH,Social Reform and Community Development,Nationwide,12.79,7.77,7.77,7.77,7.77,31.08,0.00,0.00,0.00,0.00,0.00,52.61,52.61,41.14%,70.18,94.44,110.00,110.00,74.31%,24.26,0.00,24.31%,10/3/06,6/30/11,3/30/12,3/27/07,95.08%,63.80%,39.82,31.28%,Ongoing
PH-7431,National Program Support for Tax Administration,WB,Program,BIR,Governance and Institutions Development,Nationwide,1.57,0.08,0.02,0.32,0.61,1.03,0.00,0.00,0.00,0.00,0.00,9.23,9.23,153.26%,3.35,11.00,11.00,11.00,30.45%,7.651,0.00,17.06%,3/30/07,12/31/11,6/30/13,6/25/07,75.10%,30.45%,7.65,44.65%,Ongoing
PH-7440,Mindanao Rural Development Project-Phase 2,WB,Project,DA,"Agriculture, Natural Resources and Agrarian Reform","XI, XII, CARAGA, ARMM",11.44,3.32,5.16,5.20,7.37,21.05,0.00,0.00,0.00,0.00,0.00,71.31,71.31,54.35%,23.88,54.00,83.75,83.75,44.23%,30.116,0.00,16.04%,5/3/07,12/31/12,12/31/14,7/3/07,59.97%,28.52%,59.87,31.45%,Ongoing
PH-7470,National Program Support for Environment and Natural Resources Management Project,WB,Program,DENR,"Agriculture, Natural Resources and Agrarian Reform",,4.14,2.34,2.69,3.22,4.03,12.28,0.00,0.00,0.00,0.00,0.00,32.24,32.24,33.73%,20.91,37.00,50.00,50.00,56.51%,16.09,0.00,12.85%,8/29/07,12/31/12,12/31/13,11/27/07,67.16%,41.82%,29.09,25.34%,Ongoing
PH-75520,National Road Improvement Management Project Phase II,WB,Project,DPWH,Infrastructure,Nationwide,14.47,8.11,10.45,11.05,15.45,45.06,0.00,0.00,0.00,0.00,0.00,226.40,226.40,32.12%,20.07,140.00,232.00,232.00,14.34%,119.931,0.00,6.39%,10/24/08,12/31/12,12/31/14,4/16/09,47.43%,8.65%,211.93,38.78%,Ongoing
PH-76730,Rural Power Project (Additional Financing),WB,Project,DBP,Infrastructure,,5.23,0.00,1.45,0.00,2.27,3.72,0.00,0.00,0.00,0.00,0.00,32.83,32.83,140.67%,12.41,31.17,40.00,40.00,39.82%,18.757,0.00,15.94%,5/25/09,12/31/12,,9/25/09,69.32%,31.03%,27.59,38.29%,Ongoing
PH-76890,Agrarian Reform Communities Development Project II (Additional Financing),WB,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","II, III, IV-A, IV-B, V, VII, IX, X, XI",2.25,1.17,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.00,0.00,2.34,2.34,192.22%,10.00,10.00,10.00,10.00,100.00%,0,0.00,96.11%,5/12/09,6/30/10,12/31/10,7/31/09,170.46%,100.00%,0.00,70.46%,Closed
PH-7709,Participatory Irrigation Development Project,WB,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform","CAR,II,IV,V,IX,XI",5.71,3.00,4.00,4.00,4.00,15.00,0.00,0.00,0.00,0.00,0.00,60.32,60.32,38.06%,15.73,21.00,70.36,70.36,74.88%,5.275,0.00,9.46%,8/7/09,3/31/15,,11/3/09,39.92%,22.35%,54.64,17.57%,Ongoing
PH-7805,Social Welfare and Development Reform,WB,Program,DSWD,Social Reform and Community Development,,72.54,35.39,30.05,38.08,38.32,141.84,0.00,0.00,0.00,0.00,0.00,334.97,334.97,51.14%,142.56,150.00,405.00,405.00,95.04%,7.44,0.00,21.65%,1/7/10,6/30/14,,2/19/10,42.71%,35.20%,262.44,7.51%,Ongoing
PH-79120,ARMM Social Fund (Additional Financing),WB,Project,ARG,Social Reform and Community Development,,4.30,0.42,1.17,2.49,4.86,8.94,0.00,0.00,0.00,0.00,0.00,28.93,28.93,48.13%,5.38,8.40,30.00,30.00,64.07%,3.017,0.00,14.87%,5/25/10,5/31/13,5/31/14,11/5/10,32.31%,17.93%,24.62,14.38%,Ongoing
PH-7959,KALAHI-CIDSS Project (Additional Financing),WB,Project,DSWD,Social Reform and Community Development,"CAR. IV, V, VI, VII, VIII, IX, X, XI, XII, XIII",11.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.12,59.12,0.00%,11.73,29.50,59.12,59.12,39.77%,17.768,0.00,19.85%,12/3/10,5/14/14,,2/24/11,26.38%,19.84%,47.39,6.54%,Ongoing
PH-8035,Laguna de Bay Institutional Strengthening and Community Participation Project (LISCOP) -  Additional Financing,WB,Project,LLDA,"Agriculture, Natural Resources and Agrarian Reform",,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00%,0.03,1.67,10.00,10.00,1.50%,1.642,0.00,0.25%,5/12/11,4/30/14,,7/27/11,15.58%,0.25%,9.98,15.33%,Ongoing
PH-8050,First Development Policy Loan to Foster More Inclusive Growth,WB,Program,DOF,Social Reform and Community Development,,250.00,0.00,0.00,250.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,250.00,250.00,100.00%,250.00,250.00,250.00,250.00,100.00%,0,0.00,100.00%,5/19/11,7/12/11,,6/15/11,737.04%,100.00%,0.00,637.04%,Closed
PH-8085,Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option (CAT-DDO),WB,Program,DOF,Social Reform and Community Development,,500.00,0.00,0.00,0.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,500.00,500.00,100.00%,500.00,500.00,500.00,500.00,100.00%,0,0.00,100.00%,9/23/11,10/31/14,,12/15/11,1.52%,100.00%,0.00,-98.48%,Newly Effective
PHL-10,"Gapan-San Fernando-Olongapo Road Project, Phase II",Korea,Project,DPWH,Infrastructure,,3.11,0.15,0.10,0.15,2.70,3.10,0.00,0.00,0.00,0.00,0.00,28.16,28.16,100.35%,3.30,11.62,28.35,28.35,28.40%,8.32,0.00,11.06%,7/13/09,4/20/14,,10/20/09,48.81%,11.64%,25.05,37.17%,Ongoing
PHL-13,Laguindingan Airport Air-Navigation System and Support Facilities Supply Project,Korea,Project,DOTC,Infrastructure,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,13.29,13.29,0.00%,0,0.00,0.00%,10/13/11,7/10/14,,2/10/12,-4.65%,0.00%,13.29,-4.65%,Newly Signed
PHL-5,Laguindingan Airport Development Project,Korea,Project,DOTC,Infrastructure,X,13.79,4.14,8.15,8.98,4.99,26.26,0.00,0.00,0.00,0.00,0.00,28.77,28.77,52.52%,77.23,91.28,92.20,92.20,84.61%,14.05,0.00,47.95%,2/24/98,6/19/02,10/25/14,6/19/98,82.77%,83.76%,14.97,-0.99%,Ongoing
PHL-7,Northrail-Southrail Linkage Project,Korea,Project,PNR,Infrastructure,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,50.42,50.42,50.42,50.42,100.00%,0,0.00,0.00%,5/7/04,3/16/07,12/29/10,3/16/05,117.36%,100.00%,0.00,17.36%,Closed
PHL-8,Widening of Gapan-San Fernando-Olongapo,Korea,Project,DPWH,Infrastructure,III,2.37,2.68,0.00,0.00,0.00,2.68,0.00,0.00,0.00,0.00,0.00,6.31,6.31,88.51%,18.55,21.85,22.30,22.30,84.87%,3.306,0.00,37.61%,8/24/05,3/27/12,7/27/12,3/27/06,90.97%,83.17%,3.75,7.80%,Ongoing
PHL-9,Bacolod-Silay Airport Access Road Project,Korea,Project,DPWH,Infrastructure,,1.90,0.25,0.12,0.31,2.08,2.76,0.00,0.00,0.00,0.00,0.00,13.06,13.06,68.75%,1.90,7.97,13.06,13.06,23.84%,6.07,0.00,14.54%,7/13/09,6/20/13,3/31/14,10/20/09,49.41%,14.55%,11.16,34.86%,Ongoing
PH-P220,Rural Road Network Development Project III,GOJ-JICA,Project,DPWH,Infrastructure,"I, II, III, IV, V, VI, CARAGA",10.27,3.45,2.15,4.21,2.77,12.58,0.00,0.00,0.00,0.00,0.00,34.98,34.98,81.64%,55.86,76.71,80.25,80.25,72.82%,20.848,0.00,29.36%,5/30/01,9/25/09,3/25/12,9/25/01,97.78%,69.61%,24.39,28.17%,Ongoing
PH-P221,Help for Catubig Agricultural Advancement Project Stage I,GOJ-JICA,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",VIII,3.07,6.13,5.12,0.00,0.00,11.25,0.00,0.00,0.00,0.00,0.00,25.82,25.82,27.29%,44.72,56.40,67.38,67.38,79.30%,11.677,0.00,11.89%,5/30/01,1/23/11,1/23/13,1/23/02,90.32%,66.37%,22.66,23.95%,Ongoing
PH-P228,"New Communications, Navigation and Surveillance/Air Traffic Management Systems Dev't",GOJ-JICA,Project,DOTC,Infrastructure,Nationwide,15.62,13.09,13.28,6.78,10.55,43.70,0.00,0.00,0.00,0.00,0.00,273.26,273.26,35.74%,28.47,231.77,285.16,285.16,12.28%,203.296,0.00,5.72%,3/28/02,2/21/10,5/21/17,2/21/03,62.18%,9.98%,256.69,52.20%,Ongoing
PH-P231,Urgent Bridges Construction Project for Rural Development,GOJ-JICA,Project,DPWH,Infrastructure,Nationwide,72.64,16.53,1.37,4.35,0.00,22.25,0.00,0.00,2.00,0.00,2.00,76.13,74.13,326.47%,235.82,235.82,237.83,235.82,100.00%,0,2.00,98.00%,3/28/02,9/24/09,9/24/11,9/24/02,102.98%,100.00%,0.00,2.98%,Closed
PH-P235,ARMM Social Fund for Peace and Development,GOJ-JICA,Project,ARG,Social Reform and Community Development,ARMM,2.47,0.61,0.63,0.96,1.43,3.63,0.00,0.00,0.00,0.00,0.00,6.76,6.76,68.04%,27.73,28.31,31.95,31.95,97.92%,0.589,0.00,36.54%,12/11/03,4/6/11,12/6/12,4/6/04,89.23%,86.79%,4.22,2.44%,Ongoing
PH-P236,Arterial road Bypass Project I (Plaridel and Cabanatuan),GOJ-JICA,Project,DPWH,Infrastructure,III,13.63,2.76,4.50,6.02,6.05,19.33,0.00,0.00,0.00,0.00,0.00,56.31,56.31,70.51%,38.10,80.48,80.48,80.48,47.34%,42.379,0.00,24.21%,3/30/03,7/29/12,,7/29/04,92.78%,47.34%,42.38,45.44%,Ongoing
PH-P237,Central Mindanao Road Project,GOJ-JICA,Project,DPWH,Infrastructure,"IX, X, XI, XII, CARAGA, ARMM",22.46,5.51,3.22,6.20,4.90,19.83,0.00,0.00,0.00,7.13,7.13,30.04,22.91,113.26%,40.94,40.94,48.07,40.94,100.00%,0,7.13,98.03%,12/16/03,4/30/11,12/31/11,4/30/04,100.00%,100.00%,0.00,0.00%,Closed
