category,functions_or_programs_or_projects_or_activities_1,functions_or_programs_or_projects_or_activities_2,code,appropriations,allotments,appropriations_balance_or_deficit,obligations,unobligated_balances
Government Buildings,Recapitulation,Personal Services,-,-,-,-,-,0
Government Buildings,Recapitulation,MOOE,-,-,-,-,-,0
Government Buildings,Recapitulation,Capital Outlay,-,3000000,1500000,1500000,-,1500000
Government Buildings,Recapitulation,Financial Expenses,-,-,-,-,-,0
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Loans Payable-domestic,444,36297703.68,36297703.68,-,12845611.38,23452092.3
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Interest Expenses,975,10359940.94,10359940.94,-,3992889.41,6367051.53
Public Debt-Loan Amortization-Domestic,Loan Amortization-Domestic,Financial Expenses-Other Financial Charges,979,33633.63,33633.63,-,14853186.39,18948.03
Public Debt-Loan Amortization-Domestic,Grand Total,Grand Total,-,46691278.25,46691278.25,-,16853186.39,29838091.86
Public Debt-Loan Amortization-Domestic,Recapitulation,Recapitulation,-,-,-,-,-,-
Public Debt-Loan Amortization-Domestic,Recapitulation,Personal Services,-,-,-,-,-,-
Public Debt-Loan Amortization-Domestic,Recapitulation,MOOE,-,-,-,-,-,-
Public Debt-Loan Amortization-Domestic,Recapitulation,Capital Outlay,-,-,-,-,-,-
Public Debt-Loan Amortization-Domestic,Recapitulation,Financial Expenses,-,46691278.25,46691278.25,-,16853186.39,29838091.86
