region,province,accredited_crops,area_sq.m.,business_address,date _of_accreditation,date_of_expiration,registered_business_name,contact_number
RFU IVA,Batangas,"Lanzones, Jackfruit and Mangosteen",7000,"Brgy. Caloocan, Talisay, Batangas",08/05/2011 - 21:15,"Sunday, August 4, 2013 - 21:15",D.M. Abello Enterprises,9194577007
RFU IVA,Batangas,Mango only,6000,"Brgy. Tumaway, Talisay, Batangas",03/26/2012 - 03:45,"Tuesday, March 25, 2014 - 03:45",D.M. Abello Enterprise,-
RFU IVA,Batangas,Coffee only,8000,"Tumaway, Talisay, Batangas",11/08/2011 - 22:30,"Thursday, November 7, 2013 - 22:30",MB Aguado Plant Nursery,"09214850078, 043-7730316"
CAR (Cordillera Administrative Region),Apayao,"Rambutan, Lanzones, Durian, Cacao and Coffee only",2000,"Karikitan, Conner, Apayao",10/14/2011 - 19:15,"Sunday, October 13, 2013 - 19:15",Ireneo M. Ortega Seedlings Producer,-
CAR (Cordillera Administrative Region),Apayao,"Rambutan, Lanzones, Durian and Cacao only",3000,"Karikitan, Conner, Apayao",10/14/2011 - 19:00,"Sunday, October 13, 2013 - 19:00",Karikitan Plant Nursery and Supplies,-
CAR (Cordillera Administrative Region),Benguet,Coffee Arabica only,5000,"Pinsao Proper, Baguio City/Tomay, La Trinidad",03/30/2012 - 03:00,"Saturday, March 29, 2014 - 03:00",Macnut Phils.,-
CAR (Cordillera Administrative Region),Benguet,Coffee Arabica only,5000,"Pinsao Proper, Baguio City/Tomay, La Trinidad",03/30/2012 - 03:00,"Saturday, March 29, 2014 - 03:00",Macnut Phils.,-
CAR (Cordillera Administrative Region),Benguet,Coffee only,-,"Bektey, Trinidad and Upper Tadyangan, Yagyagan Tuba, Benguet",08/23/2012 - 03:15,"Saturday, August 24, 2013 - 03:15","Rocky Mountain Arabica Coffee Company, Inc.",-
CAR (Cordillera Administrative Region),Mountain Province,Coffee only,3500,"Chupac, Barlig, Mt.Province",06/29/2011 - 19:00,"Friday, June 28, 2013 - 19:00",Ashkarlyn Enterprises,-
RFU I,Pangasinan,Mango only,-,"Matulong, Manaoag, Pangasinan",02/21/2011 - 19:15,"Wednesday, February 20, 2013 - 19:15",Extreme Multi-purpose Cooperative,-
RFU I,Pangasinan,Mango only,-,"Brgy. San Jose Leet, Urdaneta City Pangasinan",02/21/2011 - 19:15,"Wednesday, February 20, 2013 - 19:15",Pangasinan Organic Seed Growers and Nursery-MPC,-
RFU II,Nueva Vizcaya,Mango and Coffee only,1500,"Bugnay, Diadi, Nueva Vizcaya",05/15/2012 - 03:30,"Tuesday, May 14, 2013 - 03:30",Juanino's Plant Nursery,-
RFU IVA,Cavite,Coffee only,20000,"300 Aguinaldo Highway, Dasma. Cavite",09/01/2011 - 22:00,"Saturday, August 31, 2013 - 22:00",Greenworld Agri-Farm Center,-
RFU IVB,Occidental Mindoro,Cassava only,10000,"Sitio Kanturoy, Manoot, Rizal. Occidental Mindoro",11/14/2011 - 23:15,"Wednesday, November 13, 2013 - 23:15",Espano's Cassava Seed Production Farm,-
RFU IVB,Oriental Mindoro,"Coffee, Cacao, Sweet Tamarind, Durian and Santol Bangkok",12000,"Brgy. Little Tanauan, Roxas, Oriental Mindoro",05/08/2012 - 04:15,"Wednesday, May 7, 2014 - 04:15",JMD Nursery and Concrete Products,-
RFU IVB,Oriental Mindoro,"Mango, Lanzones, Rambutan only",7000,"Brgy. Little Tanauan, Roxas, Oriental Mindoro",06/06/2011 - 23:00,"Wednesday, June 5, 2013 - 23:00",JMD  Plant Nursery and Concrete Products,-
RFU IVB,Oriental Mindoro,"Lanzones, Mango, Rambutan and Durian only",15000,"Brgy. Little Tanauan, Roxas, Or.Mindoro",03/28/2011 - 23:00,"Wednesday, March 27, 2013 - 23:00",Corrine's Garden,-
RFU IVB,Oriental Mindoro,"Lanzones, Rambutan, Durian and Pili",10000,"Brgy. Pakyas, Victoria, Oriental Mindoro",04/20/2012 - 04:00,"Saturday, April 19, 2014 - 04:00",Flora Green Plant Nursery,-
RFU IVB,Palawan,Rubber only,10000,"Labog, Sofronio, Espanola, Palawan",08/31/2012 - 04:30,"Saturday, August 30, 2014 - 04:30",Andelen Rubber Farm,-
RFU VI,Aklan,Cacao only,-,"Sitio Guba, Brgy. Tagayon, Kalibo, Aklan",08/31/2012 - 04:45,"Saturday, August 30, 2014 - 04:45","Aklan Cacao Plantation, Inc.",-
RFU VI,Aklan,Cacao only,-,"Sitio Guba, Brgy. Tagayon, Kalibo, Aklan",08/31/2012 - 04:45,"Saturday, August 30, 2014 - 04:45","Aklan Cacao Plantation, Inc.",-
RFU VI,Guimaras,Mango only,1000,"Sitio Tacas, Aguilar, San Lorenzo, Guimaras",02/20/2012 - 04:30,"Wednesday, February 19, 2014 - 04:30",Talaban Plant Nursery,-
RFU VI,Guimaras,Mango only,10000,"Brgy. Aguilar, San Lorenzo, Guimaras",03/05/2012 - 04:30,"Tuesday, March 4, 2014 - 04:30",Gallentes Plant Nursery,-
RFU VI,IloIlo,Coffee only,35000,"Brgy. Rizal, Barotac Viejo, Iloilo City",03/07/2011 - 23:15,"Wednesday, March 6, 2013 - 23:15",Ulysses L. Valdez Farm,"09283636075, 09065556375"
RFU VIII,Leyte,Cassava only,10000,"Calbigaa, Pangasugan, VSU, Baybay, Leyte",01/27/2012 - 22:30,"Sunday, January 26, 2014 - 22:30",Philrootcrops,-
RFU IX,Zamboanga del Norte,Lanzones and Durian only,4000,"Bacuyong, Pinan, Zamboanga del Norte",03/05/2012 - 23:30,"Tuesday, March 4, 2014 - 23:30",J and P Fruit Nursery,-
RFU IX,Zamboanga del Norte,Lanzones and Durian only,3995,"Lingasad, Polanco, Zamboanga del Norte",03/05/2012 - 23:15,"Tuesday, March 4, 2014 - 23:15",Necesario High Value Fruits and Nursery,-
RFU IX,Zamboanga del Norte,Rubber and Coffee only,50000,"Sto. Nino, Tampilisan, Zamboanga del Norte",05/07/2012 - 23:30,"Tuesday, May 6, 2014 - 23:30",HVCC Plant Nursery,-
RFU IX,Zamboanga del Sur,"Durian, Rambutan and Lanzones only",-,"Danlugan, Pagadian City",05/23/2012 - 23:45,"Thursday, May 22, 2014 - 23:45",Glenbill Plant Propagators,-
RFU IX,Zamboanga Sibugay,Rubber only,-,"Veterans Village, Ipil, Zamboanga Sibugay",05/23/2012 - 00:00,"Thursday, May 22, 2014 - 00:00",PLGU-Zamboanga Sibugay Rubber Nursery,-
RFU IX,Zamboanga Sibugay,Rubber only,40000,"National Highway, Mirangan, Siay, Zamboanga, Sibugay",10/10/2012 - 00:30,"Thursday, October 9, 2014 - 00:30",Sibugay Management Resources Corporation,-
RFU X,Bukidnon,"Coffee, Lanzones, Durian, Rambutan and Cacao only",10000,"Purokl 3, Bol-ogan, Songco, Lantapan, Bukidnon",06/15/2011 - 00:00,"Friday, June 14, 2013 - 00:00",Binahon Agroforestry Farm (BAFF),-
RFU X,Bukidnon,"Cacao, Coffee, Rubber, Durian, Rambutan, Mango and Lanzones",-,"Purok 10, Sinaguyan, Don Carlos, Bukidnon",07/13/2012 - 00:45,"Saturday, July 12, 2014 - 00:45",La Suerta's Fruit Tree Nursery,-
RFU X,Bukidnon,Coffee only,1000,"Brgy. Poblacion, Sumilao, Bukidnon",10/03/2012 - 01:00,"Thursday, October 2, 2014 - 01:00",Rocky Mountain Arabica Coffee Company,9089894889
RFU X,Lanao del Norte,Rubber only,25000,"Brgy. Bel-is, Kapatagan, Lanao Del Norte",03/01/2012 - 00:30,"Friday, February 28, 2014 - 00:30",Municipal Rubber Budwood Garden and Nursery,-
RFU XI,Davao del Norte,"Durian, Rambutan and Lanzones only",1000,"2-A Tandang Sora, Canocotan, Tagum City, Davao del Norte",05/28/2012 - 01:45,"Tuesday, May 27, 2014 - 01:45",Feduco Tree Nursery and Agro-Forest Plantation,-
RFU XII,North Cotabato,Rubber only,27000,"Concepcion, Makilala, North Cotabato",01/06/2012 - 02:00,"Sunday, January 5, 2014 - 02:00",Mulato Nursery,-
RFU XII,North Cotabato,Rubber only,15000,"Sitio San Nicolas, San Vicente, Makilala, North Cotabato",12/17/2012 - 02:30,"Tuesday, December 16, 2014 - 02:30",Canaya Rubber Nursery,-
RFU XII,North Cotabato,Rubber only,50000,"San Nicolas, Makilala, North Cotabato",12/17/2012 - 02:30,"Tuesday, December 16, 2014 - 02:30",4M Nursery,-
RFU XII,North Cotabato,"Durian, Rambutan, Mango, Lanzones and Rubber only",-,"Balindog, Kidapawan City",07/13/2012 - 02:15,"Saturday, July 12, 2014 - 02:15",Kylle's Nursery and Garden,-
RFU XII,North Cotabato,"Mango, Rambutan, Lanzones and Durian",10300,"Paco 116, Kidapawan City",09/06/2011 - 03:00,"Thursday, September 5, 2013 - 03:00",Cayona-Talento Nursery and Agri-Supply,9108579675
RFU XII,North Cotabato,Rubber only,10500,"Malasila, Makilala, North Cotabato",08/16/2012 - 02:15,"Friday, August 15, 2014 - 02:15",Cordero Plant Nursery,-
RFU XII,North Cotabato,Rubber only,10300,"San Nicolas, Makilala, Cotabato",03/04/2011 - 02:45,"Sunday, March 3, 2013 - 02:45",Cayona-Talento Nursery and Agri-Supply,-
RFU XII,North Cotabato,Rubber only,10500,"Brgy. Balindog, Kidapawan City",04/16/2012 - 02:00,"Tuesday, April 15, 2014 - 02:00",Pelf Plant Nursery,-
RFU XII,North Cotabato,Rubber only,15000,"Lower Saguing, Makilala, North Cotabato",12/17/2012 - 02:15,"Tuesday, December 16, 2014 - 02:15",Chyb's Rubber Nursery,-
RFU XI,Davao City,Cacao only,1200,"Prk. 3 Cadalian, Baguio District, Davao City",05/07/2012 - 01:30,"Tuesday, May 6, 2014 - 01:30",Silva Cacao Nursery,-
RFU XI,Davao City,"Durian, Rambutan, Lanzones, Mango, Cacao, Coffee and Rubber",3400,"Catalunan, Pequeno, Talomo Dist. Davao City",08/13/2012 - 01:45,"Tuesday, August 12, 2014 - 01:45",Dayot Plant Nursery,-
RFU XI,Davao City,Cacao only,4942,"BMC Compound, Talandang, Tugbok Dist., Davao City",05/07/2012 - 01:00,"Tuesday, May 6, 2014 - 01:00","Cocoa Foundation of the Philippines, Inc.",-
RFU XI,Davao City,Cacao only,5000,"Purok 7 Bago-Oshiro, Tugbok district, Davao City",12/07/2011 - 00:00,"Friday, December 6, 2013 - 00:00","Providing Barangay-Based Livelihood Options, Inc.",-
RFU IVA,-,Cacao only,1700,"7th Street Cor. Gil Fernando Ave., Marikina City",01/31/2012 - 03:30,"Thursday, January 30, 2014 - 03:30",Sampio Plant Nursery,-
RFU IVA,-,Cacao only,1700,"7th Street Cor. Gil Fernando Ave., Marikina City",01/31/2012 - 03:30,"Thursday, January 30, 2014 - 03:30",Sampio Plant Nursery,-
RFU IVA,-,Lanzones and Rambutan only,100000,"Km. 87, San Vicente, San Pablo City",03/01/2011 - 20:45,"Thursday, February 28, 2013 - 20:45",Coronado's Farm Plant Nursery,"09182892559, 09053388358"
