parliculars_1,parliculars_2,parliculars_3,parliculars_4,reference_check_or_dv_no,date,expense_class,object_of_expenditures,amount
Less: Disbursements,Pre-Disaster Preparedness Programs,Sweet Tree Inc.,Sweet Tree Inc.,660285,7/31/2012,200,765,58145
Less: Disbursements,Pre-Disaster Preparedness Programs,Pioneer Buenas Commodities Corp.,Pioneer Buenas Commodities Corp.,660284,7/31/2012,200,758,110145
Less: Disbursements,Pre-Disaster Preparedness Programs,Nxtgens Technologies Inc.,Nxtgens Technologies Inc.,659470,7/4/2012,200,755,8400
Less: Disbursements,Pre-Disaster Preparedness Programs,Emcor Inc.,Emcor Inc.,661552,9/5/2012,200,-,68855
Less: Disbursements,Pre-Disaster Preparedness Programs,Alexia Capital Et al,Alexia Capital Et al,120611965,6/19/2012,200,705,25000
Less: Disbursements,Post-Disaster Programs,Rechanelling or Desilting of Manat River(Banagbanag Section),M and B Ceniza Petron Service Station,659386,6/29/2012,200,851,8593.2
Less: Disbursements,Post-Disaster Programs,Rechanelling or Desilting of Manat River(Banagbanag Section),Monkayo Petron Service Station,659960,7/18/2012,200,851,19440
Less: Disbursements,Post-Disaster Programs,Rechanelling or Desilting of Manat River(Banagbanag Section),M and B Ceniza Petron Service Station,659960,7/18/2012,200,851,13482
Less: Disbursements,Post-Disaster Programs,Re Chanelling or Bank Protection of Lawaan River (Lawaan Section),M and B Ceniza Petron Service Station,661472,9/5/2012,200,851,26194.64
Less: Disbursements,Post-Disaster Programs,Re Chanelling or Bank Protection of Lawaan River (Lawaan Section),M and B Ceniza Petron Service Station,662375,9/28/2012,200,851,23276
Less: Disbursements,Post-Disaster Programs,Re Chanelling or Bank Protection of Lawaan River (Lawaan Section),M and B Ceniza Petron Service Station,662376,9/28/2012,200,851,4048
Less: Disbursements,Post-Disaster Programs,Re Chanelling or Bank Protection of Lawaan River (Lawaan Section),M and B Ceniza Petron Service Station,662463,10/5/2012,200,851,80369.2
Less: Disbursements,Post-Disaster Programs,Improvement of P5 Pangutusan River Bank Protection,Holcim Phil Inc.,660288,-,200,857,135140
Less: Disbursements,Post-Disaster Programs,Improvement of P5 Pangutusan River Bank Protection,M and B Ceniza Petron Service Station,662460,10/5/2012,200,857,10066
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,M and B Ceniza Petron Service Station,660733,8/8/2012,200,857,7208
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,M and B Ceniza Petron Service Station,660564,8/2/2012,200,857,27250
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,"Abelong, Luis et al",120815563,8/14/2012,200,857,23275.94
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,M and B Ceniza Petron Service Station,661185,8/24/2012,200,857,10614.5
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,"Adigan, Herwin et al",120815685,8/16/2012,200,857,1116
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,"Algabre, Jeremias et al",120816127,8/24/2012,200,857,10000
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,M and B Ceniza Petron Service Station,661657,9/7/2012,200,857,31171.98
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,"Callora, Romeo et al",120917385,9/13/2012,200,857,5098.73
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,"Callora, Romeo et al",120917414,9/13/2012,200,857,20433.44
Less: Disbursements,Post-Disaster Programs,Rechaneling of Tabalaobao River,M and B Ceniza Petron Service Station,662104,9/21/2012,200,857,16833.39
Less: Disbursements,Post-Disaster Programs,"Rehab. Or Improvement of Canal Lining, New Astorias, Maco",Holcim Phil Inc.,660288,-,200,856,69900
Less: Disbursements,Post-Disaster Programs,"Rehab. Or Improvement of Canal Lining, New Astorias, Maco","Ayoran, Jonathan et al",-,9/21/2012,200,856,8653
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,M and B Ceniza Petron Service Station,662458,10/5/2012,200,851,10283.9
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,Monkayo Petron Service Station,662452,10/5/2012,200,851,43792
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,M and B Ceniza Petron Service Station,662454,10/5/2012,200,851,82236.04
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,M and B Ceniza Petron Service Station,659925,7/18/2012,200,851,30374.5
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Casas, Ernesto et al",120815955,8/23/2012,200,851,17119
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Batonghinog, Virgilio et al",120815954,8/23/2012,200,851,27227.5
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Aludo, Julito et al",120815953,8/23/2012,200,851,23436
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,Monkayo Petron Service Station,661645,9/7/2012,200,851,41738.4
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,Monkayo Petron Service Station,661680,9/11/2012,200,851,9311.64
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Casas, Ernesto et al",120916757,9/5/2012,200,851,14624.37
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Gamalo, Jonas et al",120917297,9/14/2012,200,851,7399
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Baquiran, Nelson et al",120917291,9/14/2012,200,851,7957
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,Monkayo Petron Service Station,661918,9/20/2012,200,851,44199
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Flandez, Rafael et al",120917651,9/18/2012,200,851,8039.42
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Batinghinog, Vigilio et al",120917785,9/19/2012,200,851,21960
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Pamor, Jacinto et al",120917789,9/19/2012,200,851,5301
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Batonghinog, Virgilio et al",120714459,7/31/2012,200,851,23302
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Batonghinog, Virgilio et al",120814921,8/7/2012,200,851,30489
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,"Baquiran, Nelson et al",120815035,8/8/2012,200,851,36386.06
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,M and B Ceniza Petron Service Station,661682,9/11/2012,200,851,784.55
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,M and B Ceniza Petron Service Station,661999,9/21/2012,200,851,38592
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,Monkayo Petron Service Station,662235,9/27/2012,200,851,15661.8
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,M and B Ceniza Petron Service Station,662127,9/24/2012,200,851,27820.2
Less: Disbursements,Post-Disaster Programs,Repair or Rehab of Naboc RCDG Bridge Approach and Rechanneling ,M and B Ceniza Petron Service Station,662263,9/27/2012,200,851,45540
Less: Disbursements,Post-Disaster Programs,Riprapping of Tausin - Tausin Bridge Approach,Holcim Phil Inc.,660286,-,200,851,93200
Less: Disbursements,Post-Disaster Programs,Riprapping of Tausin - Tausin Bridge Approach,"Capuyan, Ramon Jr. et al",662354,9/28/2012,200,851,10881
Less: Disbursements,Post-Disaster Programs,Riprapping of Tausin - Tausin Bridge Approach,"Babatuan, Martin et al",120917926,9/20/2012,200,851,22518
Less: Disbursements,Post-Disaster Programs,Riprapping of Tausin - Tausin Bridge Approach,"Buaya, Reynaldo et al",120917927,9/21/2012,200,851,12658
Less: Disbursements,Post-Disaster Programs,Riprapping of Tausin - Tausin Bridge Approach,"Alejandro, Francisco et al",120917925,9/20/2012,200,851,19951
Less: Disbursements,Post-Disaster Programs,Riprapping of Tagbarus Steel Bridge Approach,"Andres, Aulino et al",120917413,9/14/2012,200,851,38964.72
Less: Disbursements,Post-Disaster Programs,Riprapping of Tagbarus Steel Bridge Approach,"Arlenza, Noeberto et al",120917918,9/21/2012,200,851,22472
Less: Disbursements,Post-Disaster Programs,Riprapping of Tagbarus Steel Bridge Approach,"Amac, James et al",120917950,9/21/2012,200,851,14966
Less: Disbursements,Post-Disaster Programs,Riprapping of Tagbarus Steel Bridge Approach,"Diapolet, Renante et al",120917951,-,200,851,14399
Less: Disbursements,Post-Disaster Programs,Riprapping of Tagbarus Steel Bridge Approach,Ashlee Gen. Merchandise,662313,10/3/2012,200,851,924
Less: Disbursements,Post-Disaster Programs,Riprapping of Tagbarus Steel Bridge Approach,"Andres, Aulino et al",120917413,9/14/2012,200,851,35000
Less: Disbursements,Post-Disaster Programs,Riprapping of Tagbarus Steel Bridge Approach,"Aguinid, Benedicto et al",120917917,9/21/2012,200,851,20369.5
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,M and B Ceniza Petron Service Station,660726,8/8/2012,200,851,17800
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Abelong, Luis et al",120815563,8/14/2012,200,851,10000
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,M and B Ceniza Petron Service Station,66184,8/24/2012,200,851,35074
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Buladeco, Hepacio et al",120516099,8/24/2012,200,851,2861.12
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Algabre, Jeremias et al",120616127,8/24/2012,200,851,4753.56
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,M and B Ceniza Petron Service Station,661684,9/11/2012,200,851,105639.58
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,M and B Ceniza Petron Service Station,661659,9/7/2012,200,851,72040.88
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Babatuan, Martin et al",120916696,9/4/2012,200,851,164.53
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Dagante, Antonio et al",120916980,9/10/2012,200,851,10440
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Corpus, Marco et al",662291,9/28/2012,200,851,2338
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Buladeco, Hepacio et al",120917741,9/19/2012,200,851,1430.56
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,"Catapon, Rowel et al",120917743,9/19/2012,200,851,1312.89
Less: Disbursements,Post-Disaster Programs,Gravelling Along Ayan-Lawaan Road.,M and B Ceniza Petron Service Station,662380,9/26/2012,200,851,21252
Less: Disbursements,Post-Disaster Programs,Re-gravelling Along Paloc-Cambagang Section,M and B Ceniza Petron Service Station,660379,7/31/2012,200,851,26196.24
Less: Disbursements,Post-Disaster Programs,Re-gravelling Along Paloc-Cambagang Section,M and B Ceniza Petron Service Station,662457,10/5/2012,200,851,24288
Less: Disbursements,Post-Disaster Programs,Re-gravelling Along Paloc-Cambagang Section,M and B Ceniza Petron Service Station,662340,9/28/2012,200,851,108790
Less: Disbursements,Post-Disaster Programs,Re-Gravelling along El-Katipunan-El Papa Road,"Babatuan, Martin et al",120610936,6/6/2012,200,851,14100
Less: Disbursements,Post-Disaster Programs,Re-Gravelling along El-Katipunan-El Papa Road,M and B Ceniza Petron Service Station,658990,6/22/2012,200,851,86890.71
Less: Disbursements,Post-Disaster Programs,Re-Gravelling along El-Katipunan-El Papa Road,"Capuyan, Ramon Jr. et al",120610987,6/6/2012,200,851,15903
Less: Disbursements,Post-Disaster Programs,Re-Gravelling along El-Katipunan-El Papa Road,M and B Ceniza Petron Service Station,659364,6/27/2012,200,851,96575.52
Less: Disbursements,Post-Disaster Programs,Re-Gravelling along El-Katipunan-El Papa Road,M and B Ceniza Petron Service Station,659364,6/29/2012,200,851,73084.34
Less: Disbursements,Post-Disaster Programs,Re-Gravelling along El-Katipunan-El Papa Road,"Cotejo, Emillano et al",120612354,6/26/2012,200,851,5145.79
Less: Disbursements,Post-Disaster Programs,Re-Gravelling along El-Katipunan-El Papa Road,M and B Ceniza Petron Service Station,659786,7/13/2012,200,851,75474.03
Less: Disbursements,Post-Disaster Programs,Repair of Embankment Slip at Malinawon-Tan-uson Road(Malinawon Section),"Abucay, Rolando et al",120610975,6/8/2012,200,851,20166
Less: Disbursements,Post-Disaster Programs,Repair of Embankment Slip at Malinawon-Tan-uson Road(Malinawon Section),M and B Ceniza Petron Service Station,659236,6/27/2012,200,851,38481.73
Less: Disbursements,Post-Disaster Programs,Repair of Embankment Slip at Malinawon-Tan-uson Road(Malinawon Section),M and B Ceniza Petron Service Station,659226,6/27/2012,200,851,29679.56
Less: Disbursements,Post-Disaster Programs,Repair of Embankment Slip at Malinawon-Tan-uson Road(Malinawon Section),M and B Ceniza Petron Service Station,659390,6/29/2012,200,851,5189.33
Less: Disbursements,Post-Disaster Programs,Repair of Embankment Slip at Malinawon-Tan-uson Road(Malinawon Section),M and B Ceniza Petron Service Station,659611,7/11/2012,200,851,2407.94
Less: Disbursements,Post-Disaster Programs,Fabrication of Various RCPC Sizes,"Balison, Jr. Ruto et al",120916796,9/5/2012,200,765,17124.28
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. of Nabunturan Gabi-Compostela Road,M and B Ceniza Petron Service Station,659895,7/17/2012,200,851,3595.2
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. of Nabunturan Gabi-Compostela Road,M and B Ceniza Petron Service Station,659890,7/17/2012,200,851,66197.52
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. of Nabunturan Gabi-Compostela Road,M and B Ceniza Petron Service Station,660184,7/25/2012,200,851,86450.5
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. of Nabunturan Gabi-Compostela Road,M and B Ceniza Petron Service Station,660212,7/30/2012,200,851,53276.78
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. of Nabunturan Gabi-Compostela Road,"Abucayon, Edith et al",120916702,9/5/2012,200,851,20205
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. of Nabunturan Gabi-Compostela Road,"Abong, Anthony et al",120917788,9/19/2012,200,851,1863
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Compostela Tubo-tubo Monkayo Road,"Banual, Romel et al",120917294,9/14/2012,200,851,9054
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Compostela Tubo-tubo Monkayo Road,M and B Ceniza Petron Service Station,662002,9/21/2012,200,851,26880.4
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Compostela Tubo-tubo Monkayo Road,"Alendo, Leon Jr. et al",120917650,9/18/2012,200,851,8886.79
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Compostela Tubo-tubo Monkayo Road,M and B Ceniza Petron Service Station,662123,9/21/2012,200,851,7331.94
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of New Visayas Banag-banag Road.,M and B Ceniza Petron Service Station,6606163,7/25/2012,200,851,13317
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Araibo-Las Arenas Tagugpo Road,M and B Ceniza Petron Service Station,6613768,8/31/2012,200,851,41535
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Araibo-Las Arenas Tagugpo Road,M and B Ceniza Petron Service Station,661486,9/5/2012,200,851,67981.3
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Maragusan Parasanon-Paloc Road,M and B Ceniza Petron Service Station,659900,7/17/2012,200,851,101584.8
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Maragusan Parasanon-Paloc Road,M and B Ceniza Petron Service Station,659900,7/17/2012,200,851,124920.6
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Maragusan Parasanon-Paloc Road,M and B Ceniza Petron Service Station,659847,7/18/2012,200,851,86294.16
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Maragusan Parasanon-Paloc Road,M and B Ceniza Petron Service Station,660199,7/25/2012,200,851,48484.8
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Maragusan Parasanon-Paloc Road,"Juab, Erwin et al",120916979,9/7/2012,200,851,8133.45
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Maragusan Parasanon-Paloc Road,"Flandez, Rafael et al",120917090,9/10/2012,200,851,16098.84
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Maragusan Parasanon-Paloc Road,"Casas, Ernesto et al",120917783,9/19/2012,200,851,21178
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of San Roque San Vicente-Jct. Highly Road,"Hermo, Joseph et al",-,-,-,-,19291.14
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of San Roque San Vicente-Jct. Highly Road,M and B Ceniza Petron Service Station,659257,6/27/2012,200,851,1850.88
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of San Roque San Vicente-Jct. Highly Road,M and B Ceniza Petron Service Station,659391,6/29/2012,200,851,98768.66
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of San Roque San Vicente-Jct. Highly Road,M and B Ceniza Petron Service Station,659852,7/17/2012,200,851,102358.96
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of San Roque San Vicente-Jct. Highly Road,M and B Ceniza Petron Service Station,660007,7/23/2012,200,851,7525.56
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of San Roque San Vicente-Jct. Highly Road,"Estremotsa, Tommy et al",120916795,9/5/2012,200,851,8928
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of San Roque San Vicente-Jct. Highly Road,"Arajao, Danny et al",120917766,9/20/2012,200,851,10897.61
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,"Flandez, Rafael et al",120917090,9/10/2012,200,851,15000
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,"Abong, Anthony et al",120917788,9/19/2012,200,851,24000
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,"Flandez, Rafael et al",120911482,6/11/2012,200,851,31097.84
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,M and B Ceniza Petron Service Station,659523,7/6/2012,200,851,25648.32
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,M and B Ceniza Petron Service Station,659753,7/11/2012,200,851,48063.19
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,Monkayo Petron Service Station,659787,7/13/2012,200,851,153344.4
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,Monkayo Petron Service Station,659995,7/18/2012,200,851,38887.5
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,M and B Ceniza Petron Service Station,659892,7/17/2012,200,851,13482
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,Monkayo Petron Service Station,659990,7/18/2012,200,851,24854.5
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,M and B Ceniza Petron Service Station,660185,7/25/2012,200,851,28853.58
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,M and B Ceniza Petron Service Station,660214,7/30/2012,200,851,3436.8
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Monkayo Buao Road,Monkayo Petron Service Station,661167,8/24/2012,200,851,42740.96
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,M and B Ceniza Petron Service Station,660732,6/8/2012,200,851,82086
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,M and B Ceniza Petron Service Station,660934,8/14/2012,200,851,38292.5
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,M and B Ceniza Petron Service Station,661149,8/24/2012,200,851,91838.5
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,"Baquiran, Nelson et al",120816102,8/24/2012,200,851,12580
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,M and B Ceniza Petron Service Station,661658,9/7/2012,200,851,53578.8
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,M and B Ceniza Petron Service Station,661680,9/7/2012,200,851,99222.5
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,"Alando, Julito et al",120916895,9/5/2012,200,851,18414
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Panag Camanlangan Road,"Alando, Julito et al",120917787,9/20/2012,200,851,23994
Less: Disbursements,Post-Disaster Programs,Reapair or Rehab. Of Bukal Sitio Cabinuangan Road.,M and B Ceniza Petron Service Station,662125,9/21/2012,200,851,38456
Less: Disbursements,Post-Disaster Programs,Repair and Rehab. Of Mainit RCDG Bridge Approach,M and B Ceniza Petron Service Station,660008,7/23/2012,200,851,44940
Less: Disbursements,Post-Disaster Programs,Repair and Rehab. Of Mainit RCDG Bridge Approach,"Barabat, Ramon et al",120816103,8/24/2012,200,851,16430
Less: Disbursements,Post-Disaster Programs,Repair and Rehab. Of Mainit RCDG Bridge Approach,"Abucayon, Edito et al",120917780,9/19/2012,200,851,22437
Less: Disbursements,Post-Disaster Programs,Repair and Rehab. Of Mainit RCDG Bridge Approach,"Baquiran, Nelson et al",120917784,9/19/2012,200,851,27219.62
Less: Disbursements,Post-Disaster Programs,Repair and Rehab. Of Mainit RCDG Bridge Approach,"Anajao, Danny et al",120917786,9/20/2012,200,851,17000
Less: Disbursements,Post-Disaster Programs,Repair or Rehab. Of Fatima RCDG Bridge approach,Holcim Phil Inc.,661632,-,200,851,34251
Less: Disbursements,Post-Disaster Programs,Riprapping or Improvement of Tuburan E/S and H/s Mawab,Comval electrical Supply and Services,662538,10/2/2012,200,851,17304
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,Monkayo Petron Service Station,662499,10/5/2012,200,851,18032
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,"Alaba, Danilo et al",120816035,8/23/2012,200,851,7014
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,M and B Ceniza Petron Service Station,661482,9/5/2012,200,851,14908.8
