type_of_banking_system,Region,March_Total,March_Head Offices,March_Branches,June_Total,June_Head Offices,June_Branches,September_Total,September_Head Offices,September_Branches,December_Total,December_Head Offices,December_Branches,
THRIFT BANKS,Region IV-A,         261,             13,           248,           254,              13,                 241,            252,             13,          239,          251,            13,               238,
THRIFT BANKS,Region IV-B,           13,               1,             12,             13,                1,                   12,              25,               2,            23,            25,              2,                 23,
THRIFT BANKS,Region 5,           31,               2,             29,             31,                2,                   29,              31,               2,            29,            32,              2,                 30,
THRIFT BANKS,Region 6,           63,               6,             57,             63,                6,                   57,              52,               5,            47,            56,              5,                 51,
THRIFT BANKS,Region 7,         105,               7,             98,           103,                7,                   96,            103,               7,            96,          103,              7,                 96,
THRIFT BANKS,Region 8 ,           10,              -  ,             10,             10,               -  ,                   10,              11,             -  ,            11,            11,            -  ,                 11,
THRIFT BANKS,Region 9,             9,              -  ,               9,             10,               -  ,                   10,              10,             -  ,            10,            10,            -  ,                 10,
THRIFT BANKS,Region 10,           30,              -  ,             30,             30,               -  ,                   30,              30,             -  ,            30,            31,            -  ,                 31,
THRIFT BANKS,Region 11,           31,              -  ,             31,             28,               -  ,                   28,              28,             -  ,            28,            25,            -  ,                 25,
THRIFT BANKS,Region 12,             8,              -  ,               8,               8,               -  ,                     8,                8,             -  ,              8,              8,            -  ,                   8,
THRIFT BANKS,CAR,           11,               2,               9,             10,                1,                     9,                9,               1,              8,              9,              1,                   8,
THRIFT BANKS,ARMM,             1,              -  ,               1,               1,               -  ,                     1,                1,             -  ,              1,              1,            -  ,                   1,
THRIFT BANKS, CARAGA,             6,              -  ,               6,               6,               -  ,                     6,                6,             -  ,              6,              6,            -  ,                   6,
THRIFT BANKS,Nationwide,"      1,338",             84,"        1,254","        1,333",              83,"              1,250","         1,337",             82,"       1,255","       1,336",            82,"            1,254",
THRIFT BANKS,     Asia-Pacific,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
THRIFT BANKS,     Europe ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
THRIFT BANKS,     North America ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
THRIFT BANKS,     Africa ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
RURAL AND COOPERATIVE BANKS,Overseas,-,-,-,-,-,-,-,-,-,-,-,-,
RURAL AND COOPERATIVE BANKS,Overall Total,"      2,088",           738,"        1,350","        2,108",            737,"              1,371","         2,115",           732,"       1,383","       2,133",          727,"            1,406",
RURAL AND COOPERATIVE BANKS,NCR,           70,             28,             42,             70,              28,                   42,              69,             27,            42,            68,            26,                 42,
RURAL AND COOPERATIVE BANKS,Region 12,         192,             63,           129,           195,              62,                 133,            195,             62,          133,          192,            61,               131,
RURAL AND COOPERATIVE BANKS,Region 2,         151,             35,           116,           153,              35,                 118,            153,             35,          118,          155,            35,               120,
RURAL AND COOPERATIVE BANKS,Region 3,         335,           101,           234,           339,            101,                 238,            340,           101,          239,          345,            99,               246,
RURAL AND COOPERATIVE BANKS,Region IV-A,         456,           142,           314,           455,            141,                 314,            459,           140,          319,          463,          140,               323,
RURAL AND COOPERATIVE BANKS,Region IV-B,           47,             21,             26,             48,              21,                   27,              53,             23,            30,            54,            24,                 30,
RURAL AND COOPERATIVE BANKS,Region 5,           90,             45,             45,             93,              45,                   48,              95,             45,            50,            94,            43,                 51,
RURAL AND COOPERATIVE BANKS,Region 6,         139,             77,             62,           141,              77,                   64,            132,             73,            59,          135,            73,                 62,
RURAL AND COOPERATIVE BANKS,Region 7,         137,             54,             83,           140,              54,                   86,            141,             54,            87,          141,            54,                 87,
RURAL AND COOPERATIVE BANKS,Region 8 ,           52,             26,             26,             52,              26,                   26,              52,             26,            26,            52,            26,                 26,
RURAL AND COOPERATIVE BANKS,Region 9,           38,             16,             22,             39,              16,                   23,              40,             16,            24,            43,            16,                 27,
RURAL AND COOPERATIVE BANKS,Region 10,         106,             46,             60,           107,              47,                   60,            109,             47,            62,          110,            48,                 62,
RURAL AND COOPERATIVE BANKS,Region 11,           90,             21,             69,             90,              21,                   69,              90,             21,            69,            89,            20,                 69,
RURAL AND COOPERATIVE BANKS,Region 12,           67,             21,             46,             67,              21,                   46,              68,             21,            47,            69,            21,                 48,
RURAL AND COOPERATIVE BANKS,CAR,           44,             19,             25,             45,              20,                   25,              47,             20,            27,            49,            20,                 29,
RURAL AND COOPERATIVE BANKS,ARMM,             4,               4,              -  ,               3,                3,                    -  ,                2,               2,            -  ,              2,              2,                 -  ,
RURAL AND COOPERATIVE BANKS, CARAGA,           70,             19,             51,             71,              19,                   52,              70,             19,            51,            72,            19,                 53,
RURAL AND COOPERATIVE BANKS,Nationwide,"      2,088",           738,"        1,350","        2,108",            737,"              1,371","         2,115",           732,"       1,383","       2,133",          727,"            1,406",
RURAL AND COOPERATIVE BANKS,     Asia-Pacific,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
RURAL AND COOPERATIVE BANKS,     Europe ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
RURAL AND COOPERATIVE BANKS,     North America ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
RURAL AND COOPERATIVE BANKS,     Africa ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,
RURAL AND COOPERATIVE BANKS,Overseas,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Philippine Banking System: REGIONAL DISTRIBUTION OF BANKING OFFICES,,,,,,,,,,,,,,
As of End-of-Periods Indicated: 2007,,,,,,,,,,,,,,
Updated as of 1 April 2008,,,,,,,,,,,,,,
