department_office,item_number,description,unit_cost,quantity_1,quantity_2,total_cost,1st_quarter_amount,1st_quarter_quantity,2nd_quarter_quantity,1nd_quarter_amount,3rd_quarter_quantity,3rd_quarter_amount,4th_quarter_quantity,4th_quarter_amount
Sangguniang Panlalawigan Office,36,"Paper, bond, long, s-18",160,20,-,3200,-,-,-,-,20,160,-,-
Sangguniang Panlalawigan Office,37,"Paper, bond, short, s-18",130,20,-,2600,-,-,-,-,20,130,-,-
Sangguniang Panlalawigan Office,38,"Pen, engineering",600,2,-,1200,-,-,-,-,2,600,-,-
Sangguniang Panlalawigan Office,39,"RZ-EZ, black, INBK",3900,4,-,15600,-,-,-,-,4,3900,-,-
Sangguniang Panlalawigan Office,40,Catering  services for sesyon sa kalungsuran,150,360,-,54000,-,-,-,-,360,150,-,-
Sangguniang Panlalawigan Office,41,Catering services for consulattive approaches with sectors for appropriate legislations (VG-CASAL),50,1920,-,451000,-,-,-,-,1920,50,-,-
Sangguniang Panlalawigan Office,-,Total,-,-,-,545567.5,-,-,-,-,-,-,-,-
Provincial Budget Office,1,Toner for S1810 xerox copier,3500,1,-,3500,-,-,-,-,1,3500,-,-
Provincial Budget Office,2,"Paper, board, 180g, 8 1/2 x 13",5,1,-,-,-,-,-,-,1,5,-,-
Provincial Budget Office,3,"File box, porta, large, 144mmx229x267mm",275,1,-,-,-,-,-,-,1,275,-,-
Provincial Budget Office,4,"Airpot, 3.8 liters",1990,1,-,1990,-,-,-,-,1,1990,-,-
Provincial Budget Office,5,Fan capacitor for airconditioned,500,1,-,500,-,-,-,-,1,500,-,-
Provincial Budget Office,6,"Plywood, marine, 1/4",490,1,-,490,-,-,-,-,1,490,-,-
Provincial Budget Office,7,Plyboard,990,1,-,990,-,-,-,-,1,990,-,-
Provincial Budget Office,8,"Moulding, aluminum, 1/2",190,1,-,190,-,-,-,-,1,190,-,-
Provincial Budget Office,9,"Handle, door/pair",41,1,-,41,-,-,-,-,1,41,-,-
Provincial Budget Office,10,"Nail, finishing, # 2",100,1,-,100,-,-,-,-,1,100,-,-
Provincial Budget Office,11,"Paint, enamel, white, 2 quarts",360,1,-,360,-,-,-,-,1,360,-,-
Provincial Budget Office,12,"Paper, sand, # 180",22,1,-,22,-,-,-,-,1,22,-,-
Provincial Budget Office,13,"Calculator, mini printing type, 12 digit cap",990,1,-,990,-,-,-,-,1,990,-,-
Provincial Budget Office,14,"Lamp, flourescent compact CFL",100,4,-,400,-,-,-,-,4,400,-,-
Provincial Budget Office,15,Printer (unlimited ink),5500,1,-,5500,-,-,-,-,1,5500,-,-
Provincial Budget Office,16,"CPU, clone",17500,1,-,17500,-,-,-,-,1,17500,-,-
Provincial Budget Office,-,Total,-,-,-,32573,-,-,-,-,-,-,-,-
Provincial Agriculture's Office,1,Labor for construction of fresh water fish hatchery,75200,1,-,75200,-,-,-,-,1,75200,-,-
Provincial Agriculture's Office,2,Disinfectant (liquid),20,40,-,800,-,-,-,-,40,20,-,-
Provincial Agriculture's Office,3,"Vaccine, hog cholera, 10 dose",168,10,-,1680,-,-,-,-,10,168,-,-
Provincial Agriculture's Office,4,"Disk, flash, 4GB (USB)",250,11,-,2750,-,-,-,-,11,250,-,-
Provincial Agriculture's Office,-,Total,-,-,-,80430,-,-,-,-,-,-,-,-
Provincial Engineer's Office,1,Puncher,150,3,-,450,-,-,-,-,3,450,-,-
Provincial Engineer's Office,2,"Stapler, HD # 35",286,3,-,858,-,-,-,-,3,286,-,-
Provincial Engineer's Office,3,"Calculator, scientific",950,1,-,950,-,-,-,-,1,950,-,-
Provincial Engineer's Office,4,"Pen, technical, 0.2, 0.4, 0.6, 1.2",2800,1,-,2800,-,-,-,-,1,2800,-,-
Provincial Engineer's Office,5,"Borrow, wheel",2400,4,-,9600,-,-,-,-,4,2400,-,-
Provincial Engineer's Office,6,"Plate, steel, 4x8x3/8",9500,1,-,9500,-,-,-,-,1,9500,-,-
Provincial Engineer's Office,7,"Paint, reflectorized, yellow orange",1600,1,-,1600,-,-,-,-,1,1600,-,-
Provincial Engineer's Office,8,"Pipe, GI.2",210,4,-,840,-,-,-,-,4,210,-,-
Provincial Engineer's Office,9,"Paint, red oxide",880,1,-,880,-,-,-,-,1,880,-,-
Provincial Engineer's Office,10,"Refrigerator, 7cu.",11486,1,-,11486,-,-,-,-,1,11486,-,-
Provincial Engineer's Office,11,"Labor for proposed const. of two classroom sch. Bldg. , Bokbokon High School Annex, Las Nieves, Agusan del Norte",203790.99,1,-,203790.99,-,-,-,-,1,203790.99,-,-
Provincial Engineer's Office,12,"Plywood, ordinary, 1/4",353,5,-,1765,-,-,-,-,5,353,-,-
Provincial Engineer's Office,13,"Nails, CW, # 3",75,14,-,1050,-,-,-,-,14,75,-,-
Provincial Engineer's Office,14,"Nails, CW, # 2 1/2",75,23,-,1725,-,-,-,-,23,75,-,-
Provincial Engineer's Office,15,"Nails, CW, # 1",75,4,-,300,-,-,-,-,4,75,-,-
Provincial Engineer's Office,16,"Bar, deformed, 16mmx6.0mm (grade-600",615.55,79,-,48628.45,-,-,-,-,79,615.55,-,-
Provincial Engineer's Office,17,"Bar, deformed, 10mmx6.0mm (grade-600",240.5,110,-,26455,-,-,-,-,110,240.5,-,-
Provincial Engineer's Office,18,"Wire, tie, # 6",100,13,-,1300,-,-,-,-,13,100,-,-
Provincial Engineer's Office,19,"Blade, hacksaw",92,3,-,276,-,-,-,-,3,92,-,-
Provincial Engineer's Office,20,"Gravel, 3/4",900,16,-,14400,-,-,-,-,16,900,-,-
Provincial Engineer's Office,21,"Sand, fine",800,17,-,13600,-,-,-,-,17,800,-,-
Provincial Engineer's Office,22,"Cement, portland",245,229,-,56105,-,-,-,-,229,245,-,-
Provincial Engineer's Office,23,"Pail, rubber",180,5,-,900,-,-,-,-,5,180,-,-
Provincial Engineer's Office,24,"CHB, 4x8x16",10,819,-,8190,-,-,-,-,819,10,-,-
Provincial Engineer's Office,25,"Roofing, corr, GA 26",600,118,-,70800,-,-,-,-,118,600,-,-
Provincial Engineer's Office,26,"Ridge roll, ordinary, GA 24",232,8,-,1856,-,-,-,-,8,232,-,-
Provincial Engineer's Office,27,"Nails, umbrella",80,10,-,800,-,-,-,-,10,800,-,-
Provincial Engineer's Office,28,"Sealant, roof",450,1,-,450,-,-,-,-,1,450,-,-
Provincial Engineer's Office,29,"Bolt, machine w/ knot and washer, 1/2x5",35,250,-,8750,-,-,-,-,250,35,-,-
Provincial Engineer's Office,30,"bolt, machine w/ knot and washer, 1/2x7",55,210,-,11550,-,-,-,-,210,55,-,-
Provincial Engineer's Office,31,"Straps, post, 1/4x2x12",195,13,-,2535,-,-,-,-,13,195,-,-
Provincial Engineer's Office,-,Total,-,-,-,191512,-,-,-,-,-,-,-,-
Provincial Health Office,1,"Wire, staple, # 35",45,3,-,135,-,-,-,-,3,45,-,-
Provincial Health Office,2,"Book, record, 300pp",50,5,-,250,-,-,-,-,5,50,-,-
Provincial Health Office,3,Paste,30,1,-,30,-,-,-,-,1,30,-,-
Provincial Health Office,4,"Tape, transparent",25,12,-,300,-,-,-,-,12,25,-,-
Provincial Health Office,5,"Envelope, brown, long",2,200,-,400,-,-,-,-,200,2,-,-
Provincial Health Office,6,"Ballpen, black",5,24,-,120,-,-,-,-,24,5,-,-
Provincial Health Office,7,"Stapler w/ remover, heavy duty",285,2,-,570,-,-,-,-,2,285,-,-
Provincial Health Office,8,"Pen, correction",95,4,-,380,-,-,-,-,4,95,-,-
Provincial Health Office,9,"Tape, roller, correction",30,4,-,120,-,-,-,-,4,30,-,-
Provincial Health Office,10,"Ferrous sulfate tablet w/ folic acid, 100's",190,118,-,22420,-,-,-,-,118,190,-,-
Provincial Health Office,11,"Form, municipal No.103 (cert. of death)",305,20,-,6100,-,-,-,-,20,305,-,-
Provincial Health Office,12,"Form, municipal No.102 (cert. of live birth)",305,20,-,6100,-,-,-,-,20,305,-,-
Provincial Health Office,13,"Plaster, hypoallergenic, 12's",1400,25,-,35000,-,-,-,-,25,1400,-,-
Provincial Health Office,14,"Remover, stain, laundry, regular",190,30,-,5700,-,-,-,-,30,190,-,-
Provincial Health Office,15,"remover, stain, color safe, 900ml",95,10,-,950,-,-,-,-,10,95,-,-
Provincial Health Office,16,"Softener, fabric, sachet antibac, 28ml, 12's",90,20,-,1800,-,-,-,-,20,90,-,-
Provincial Health Office,17,"Diluent, 20L",6800,8,-,54400,-,-,-,-,8,6800,-,-
Provincial Health Office,18,"Lyse, LH, 500ml",11300,4,-,45200,-,-,-,-,4,11300,-,-
Provincial Health Office,19,"Lyse, LEO (1), 1000ml",15100,4,-,60400,-,-,-,-,4,15100,-,-
Provincial Health Office,20,"Lyse, LEO (2), 500ml",10900,2,-,21800,-,-,-,-,2,10900,-,-
Provincial Health Office,21,"Lyse, LBA, 1000ml",15100,4,-,60400,-,-,-,-,4,15100,-,-
Provincial Health Office,22,"Airconditioner, 2HP, split type",36000,1,-,36000,-,-,-,-,1,36000,-,-
Provincial Health Office,23,"Co-amoxiclav, 625mg, tablet",36,700,-,25200,-,-,-,-,700,36,-,-
Provincial Health Office,24,"Celecoxib, 400mg, tablet",35,300,-,10500,-,-,-,-,300,35,-,-
Provincial Health Office,25,"Cart, garbage w/ wheels, big, black/gray",5400,2,-,10800,-,-,-,-,2,5400,-,-
Provincial Health Office,26,"Shear, head (grass cutter), HD",690,1,-,690,-,-,-,-,1,690,-,-
Provincial Health Office,27,"Refrigerator, 7cu.ft,automatic, no frost",20033,1,-,20033,-,-,-,-,1,20033,-,-
Provincial Health Office,28,Lapel,3000,1,-,3000,-,-,-,-,1,3000,-,-
Provincial Health Office,29,"Printer, computer w/ continous ink, L110 ",7000,1,-,7000,-,-,-,-,1,7000,-,-
Provincial Health Office,30,"Fan, ceiling, 16""",3500,5,-,17500,-,-,-,-,5,3500,-,-
Provincial Health Office,31,"Tape, electrical, 18mmx16min",19.25,9,-,173.25,-,-,-,-,9,19.25,-,-
Provincial Health Office,-,Total,-,-,-,453471.25,-,-,-,-,-,-,-,-
PSWPNSO,1,"Paper, bond, long",-,5,-,-,-,-,-,-,5,-,-,-
PSWPNSO,2,"paper, bond, short",-,2,-,-,-,-,-,-,2,-,-,-
PSWPNSO,3,"Folder, long",-,50,-,-,-,-,-,-,50,-,-,-
PSWPNSO,4,Ballpen,-,1,-,-,-,-,-,-,1,-,-,-
PSWPNSO,5,Pencil,-,1,-,-,-,-,-,-,1,-,-,-
PSWPNSO,6,"Envelope, brown, long",-,50,-,-,-,-,-,-,50,-,-,-
PSWPNSO,7,"Calculator, MS205-12 digits, two way power",-,2,-,-,-,-,-,-,2,-,-,-
PSWPNSO,8,Catering (1 meal and 2 snacks for 1),-,40,-,-,-,-,-,-,40,-,-,-
PSWPNSO,9,"Notebooks, 50leaves-steno note",-,130,-,-,-,-,-,-,130,-,-,-
PSWPNSO,10,Ballpen,-,130,-,-,-,-,-,-,130,-,-,-
PSWPNSO,11,"Pouch, plastic, 17""",-,130,-,-,-,-,-,-,130,-,-,-
PSWPNSO,12,"Board, cannon, ivory, long",-,130,-,-,-,-,-,-,130,-,-,-
PSWPNSO,13,"Pen, permanent, black",-,25,-,-,-,-,-,-,25,-,-,-
PSWPNSO,14,"Paper, bond, long",-,2,-,-,-,-,-,-,2,-,-,-
PSWPNSO,15,"Paper, bond, short",-,2,-,-,-,-,-,-,2,-,-,-
PSWPNSO,16,"Glue, big",-,1,-,-,-,-,-,-,1,-,-,-
PSWPNSO,17,"Folder, filer, plastic",-,4,-,-,-,-,-,-,4,-,-,-
PSWPNSO,18,"Box, storage, plastic",-,1,-,-,-,-,-,-,1,-,-,-
PSWPNSO,19,Catering (1 meal and 2 snacks for 1),-,130,-,-,-,-,-,-,130,-,-,-
PSWPNSO,-,Total,-,-,-,0,-,-,-,-,-,-,-,-
PGO/PDRRMC,1,T-shirt with prints,350,100,-,35000,-,-,-,-,100,350,-,-
PGO/PDRRMC,-,Total,-,-,-,35000,-,-,-,-,-,-,-,-
Las Nieves Municipal Hospital,1,D5 LR 1L,80.5,120,-,9660,-,-,-,-,120,80.5,-,-
Las Nieves Municipal Hospital,2,"PNSS 0.9%, 1L",80.5,120,-,9660,-,-,-,-,120,80.5,-,-
Las Nieves Municipal Hospital,3,"PLR, 1L",80.5,120,-,9660,-,-,-,-,120,80.5,-,-
Las Nieves Municipal Hospital,4,"D5 Nm, 1L",80.5,120,-,9660,-,-,-,-,120,80.5,-,-
Las Nieves Municipal Hospital,5,"D5 IMB, euro-ion in D5 water, 500cc",80.5,48,-,3864,-,-,-,-,48,80.5,-,-
Las Nieves Municipal Hospital,6,"D5 0.3%, NaCl, 500cc",80.5,48,-,3864,-,-,-,-,48,80.5,-,-
Las Nieves Municipal Hospital,-,Total,-,-,-,46368,-,-,-,-,-,-,-,-
PGO/Warden,1,"CCTV Cam, 84.5, 56 IR LED at least 25 mtr.IR range",8700,1,-,8700,-,-,-,-,1,8700,-,-
PGO/Warden,2,"24"" LED monitor",6325,4,-,25300,-,-,-,-,4,6325,-,-
PGO/Warden,3,"Printer, computer, L120",5800,1,-,5800,-,-,-,-,1,5800,-,-
PGO/Warden,4,"Paint, flat, white",500,1,-,500,-,-,-,-,1,500,-,-
PGO/Warden,5,"Plywood, marine",700,1,-,500,-,-,-,-,1,500,-,-
PGO/Warden,6,"Paint, thinner",100,1,-,100,-,-,-,-,1,100,-,-
PGO/Warden,7,"Glue, wood",200,1,-,200,-,-,-,-,1,200,-,-
PGO/Warden,-,Total,-,-,-,41100,-,-,-,-,-,-,-,-
Jabonga District Hospital,1,"Airconditioner, 5HP",10000,6,-,60000,-,-,-,-,6,10000,-,-
Jabonga District Hospital,2,"Refrigerator, ",19000,1,-,19000,-,-,-,-,1,19000,-,-
Jabonga District Hospital,3,Laptop,35000,1,-,35000,-,-,-,-,1,35000,-,-
Jabonga District Hospital,4,"Table, dining w/ 6 chairs",20000,1,-,20000,-,-,-,-,1,20000,-,-
Jabonga District Hospital,5,"Stove, gas, 2 burners",2000,1,-,2000,-,-,-,-,1,2000,-,-
Jabonga District Hospital,6,"Table, office w/ chair",4500,2,-,9000,-,-,-,-,2,4500,-,-
Jabonga District Hospital,7,"Airconditioner, 1HP",18980,2,-,37960,-,-,-,-,2,18980,-,-
Jabonga District Hospital,8,"Bed, king size",18490,2,-,36980,-,-,-,-,2,18490,-,-
Jabonga District Hospital,9,"ATS, 1500IU",80,70,-,5600,-,-,-,-,70,80,-,-
Jabonga District Hospital,10,TT,60,50,-,3000,-,-,-,-,50,60,-,-
Jabonga District Hospital,11,"ATS, 5000IU",140,40,-,5600,-,-,-,-,40,140,-,-
Jabonga District Hospital,-,Total,-,-,-,234140,-,-,-,-,-,-,-,-
Provincial Accountants Office,1,"Printer, 3 in 1, L210",8300,1,-,8300,-,-,-,-,1,8300,-,-
Provincial Accountants Office,-,Total,-,-,-,8300,-,-,-,-,-,-,-,-
"RTC, Branch 33",1,"Paper, bond, long, s-20",170,14,-,2380,-,-,-,-,14,170,-,-
"RTC, Branch 34",2,"Ribbon, refill, epson",60,16,-,960,-,-,-,-,16,60,-,-
"RTC, Branch 35",3,"Folder, long, brown",4,250,-,1000,-,-,-,-,250,4,-,-
"RTC, Branch 36",4,"Paper, carbon",200,75,-,15000,-,-,-,-,75,200,-,-
"RTC, Branch 37",5,"Paper, bond, short, colored",150,1,-,150,-,-,-,-,1,150,-,-
"RTC, Branch 38",-,Total,-,-,-,19490,-,-,-,-,-,-,-,-
Cabadbaran District Hospital,1,New born screening kit,550,20,-,22000,-,-,-,-,20,550,-,-
Cabadbaran District Hospital,-,Total,-,-,-,22000,-,-,-,-,-,-,-,-
Provincial Governor's Office,1,"Stapler, HD",450,2,-,900,-,-,-,-,2,450,-,-
Provincial Governor's Office,2,"Paper, book, short, 70g",180,20,-,3600,-,-,-,-,20,180,-,-
Provincial Governor's Office,3,"Paper, bond, short, s-20",170,10,-,1700,-,-,-,-,10,170,-,-
Provincial Governor's Office,4,"Paper, bond, long, s-20",180,10,-,1800,-,-,-,-,10,180,-,-
Provincial Governor's Office,5,"Porta file, blue",210,10,-,2100,-,-,-,-,10,210,-,-
Provincial Governor's Office,6,"File box, plastic",120,10,-,1200,-,-,-,-,10,120,-,-
Provincial Governor's Office,7,"Clamp, big",30,30,-,240,-,-,-,-,30,30,-,-
Provincial Governor's Office,8,"Screw, chicago, 3""",30,20,-,600,-,-,-,-,20,30,-,-
Provincial Governor's Office,9,Flash Disk,500,1,-,500,-,-,-,-,1,500,-,-
Provincial Governor's Office,10,Mouse,300,1,-,300,-,-,-,-,1,300,-,-
Provincial Governor's Office,11,"Anti-virus, 2014",1000,1,-,1000,-,-,-,-,1,1000,-,-
Provincial Governor's Office,12,TP link TL-WN824 USB,1200,1,-,1200,-,-,-,-,1,1200,-,-
Provincial Governor's Office,13,"Toner, S1810",3210,2,-,6420,-,-,-,-,2,3210,-,-
Provincial Governor's Office,14,"Printer, cartridge, P1102 85A",3900,4,-,15600,-,-,-,-,4,3900,-,-
Provincial Governor's Office,15,"Hub, switch",1000,2,-,2000,-,-,-,-,2,1000,-,-
Provincial Governor's Office,16,CD-R blank,15,12,-,180,-,-,-,-,12,15,-,-
Provincial Governor's Office,17,Digital colorless phone,4200,1,-,4200,-,-,-,-,1,4200,-,-
Provincial Governor's Office,18,"Tire, tubeless, 31.10.5 R15",13500,2,-,27000,-,-,-,-,2,13500,-,-
Provincial Governor's Office,19,"Wire, concertina, 7m",-,2,-,-,-,-,-,-,2,-,-,-
Provincial Governor's Office,20,"Wire, concertina, 10m",-,16,-,-,-,-,-,-,16,-,-,-
Provincial Governor's Office,21,"Aircon, window type, 2HP w/ timer and remote",30000,1,-,30000,-,-,-,-,1,30000,-,-
Provincial Governor's Office,22,"Aircon, window type, 2HP w/ timer and remote including installation",28000,1,-,28000,-,-,-,-,1,28000,-,-
Provincial Governor's Office,23,"CHB, # 6",28,600,-,16800,-,-,-,-,600,28,-,-
Provincial Governor's Office,24,"RSB, 12mm",255,30,-,7650,-,-,-,-,30,255,-,-
Provincial Governor's Office,25,"RSB, 10mm",185,50,-,9250,-,-,-,-,50,185,-,-
Provincial Governor's Office,26,"Wire, tie, # 18",98,7,-,686,-,-,-,-,7,98,-,-
Provincial Governor's Office,27,"Cement, portland",285,85,-,24225,-,-,-,-,85,285,-,-
Provincial Governor's Office,28,"Sand, screened",800,13,-,10400,-,-,-,-,13,800,-,-
Provincial Governor's Office,29,"Gravel, 1/2",900,6,-,5400,-,-,-,-,6,900,-,-
Provincial Governor's Office,30,"Sheet, plain, 24 x 8",980,6,-,5880,-,-,-,-,6,980,-,-
Provincial Governor's Office,31,"Nails, CW, # 4",65,5,-,325,-,-,-,-,5,65,-,-
Provincial Governor's Office,32,"Nails, CW, # 2.5",68,2,-,136,-,-,-,-,2,68,-,-
Provincial Governor's Office,33,"Nails, CW, # 1",75,1.25,-,93.75,-,-,-,-,1.25,75,-,-
Provincial Governor's Office,34,"Nails, CW, # 2 ",68,2,-,136,-,-,-,-,2,68,-,-
Provincial Governor's Office,35,"N ails, umbrella, # 2",115,3,-,345,-,-,-,-,3,115,-,-
Provincial Governor's Office,36,"Plywood, marine, 1/4",640,12,-,7680,-,-,-,-,12,640,-,-
Provincial Governor's Office,37,"Plywood, ordinary, 1/2",950,8,-,7600,-,-,-,-,8,950,-,-
Provincial Governor's Office,38,"Blade, hacksaw",90,3,-,270,-,-,-,-,3,90,-,-
Provincial Governor's Office,39,"Sealant, roof",595,1,-,595,-,-,-,-,1,595,-,-
Provincial Governor's Office,40,"Paint, latex, flat, 1 white, 1 azure blue",765,2,-,1530,-,-,-,-,2,765,-,-
Provincial Governor's Office,41,"Paint, brush, # 2",48,1,-,48,-,-,-,-,1,48,-,-
Provincial Governor's Office,42,"Stick, gemelina, 1x2x8",470,5,-,2350,-,-,-,-,5,470,-,-
Provincial Governor's Office,43,"Stick, gemelina, 2x2x10",117,240,-,28080,-,-,-,-,240,117,-,-
Provincial Governor's Office,44,"Bowl, toilet, porcelain",1100,1,-,1100,-,-,-,-,1,1100,-,-
Provincial Governor's Office,45,"CHB, 4""",18,400,-,7200,-,-,-,-,400,18,-,-
Provincial Governor's Office,46,"Wire, tie, # 16",98,3,-,294,-,-,-,-,3,98,-,-
Provincial Governor's Office,47,"Nails, CW, # 3",65,0.75,-,48.75,-,-,-,-,0.75,48.75,-,-
Provincial Governor's Office,48,"Pipes, pvc, 4",380,6,-,2280,-,-,-,-,6,2280,-,-
Provincial Governor's Office,49,"Elbow, pvc, 4x90",55,3,-,165,-,-,-,-,3,55,-,-
Provincial Governor's Office,50,"Tee, pvc, 4x2",90,1,-,90,-,-,-,-,1,90,-,-
Provincial Governor's Office,51,"Pipe, pvc, 3",210,4,-,840,-,-,-,-,4,210,-,-
Provincial Governor's Office,52,"Pipe, pvc, 2",138,2,-,276,-,-,-,-,2,138,-,-
Provincial Governor's Office,53,"Wye, pvc, 4x3",98,1,-,98,-,-,-,-,1,98,-,-
Provincial Governor's Office,54,"Pipe, blue, moldex, 1/2",98,12,-,1176,-,-,-,-,12,98,-,-
Provincial Governor's Office,55,"Coupling, pvc, 1/2",12,7,-,84,-,-,-,-,7,12,-,-
Provincial Governor's Office,56,"Elbow, moldex, 1/2x90",24,3,-,72,-,-,-,-,3,24,-,-
Provincial Governor's Office,57,"Tee, moldex, 1/2",24,1,-,24,-,-,-,-,1,24,-,-
Provincial Governor's Office,58,"Elbow, moldex, threaded end, 1/2x90",24,2,-,48,-,-,-,-,2,24,-,-
Provincial Governor's Office,59,"Faucet, brass, 1/2",175,2,-,350,-,-,-,-,2,175,-,-
Provincial Governor's Office,60,"Drain, floor, 4x4",90,2,-,180,-,-,-,-,2,90,-,-
Provincial Governor's Office,61,Solvent,130,1,-,130,-,-,-,-,1,130,-,-
Provincial Governor's Office,62,"Wire, stranded,# 12",72,4,-,288,-,-,-,-,4,72,-,-
Provincial Governor's Office,63,"Receptacle, 4x4",72,4,-,288,-,-,-,-,4,72,-,-
Provincial Governor's Office,64,"Switch, flatwall, 1gang",118,1,-,118,-,-,-,-,1,118,-,-
Provincial Governor's Office,65,"Switch, flatwall, 2gang",170,1,-,170,-,-,-,-,1,170,-,-
Provincial Governor's Office,66,"Outlet, flatwall, 3",215,2,-,430,-,-,-,-,2,215,-,-
Provincial Governor's Office,67,"Box, utility, 2  x 4",45,6,-,270,-,-,-,-,6,45,-,-
Provincial Governor's Office,68,"Moulding, pvc, 3/4 x 8ft",115,8,-,920,-,-,-,-,8,115,-,-
Provincial Governor's Office,69,"Bulb, 3u, 25w",198,5,-,990,-,-,-,-,5,198,-,-
Provincial Governor's Office,70,"knob, split",25,14,-,350,-,-,-,-,14,25,-,-
Provincial Governor's Office,-,Total,-,-,-,276299.5,-,-,-,-,-,-,-,-
Provincial Health Office,1,Clothbag,60,77,Pcs,4620,-,-,-,-,77,-,-,-
Provincial Health Office,2,Binder Clip,7.5,2,Pcs,15,-,-,-,-,2,-,-,-
Provincial Health Office,3,Plaque,600,7,Pcs,4200,-,-,-,-,7,-,-,-
Provincial Health Office,4,Long Bond Paper (Sub-20),-,188,Reams,22560,-,-,-,-,188,-,-,-
Provincial Health Office,5,Transcend-16 GB MICRO,-,1,Pc,700,-,-,-,-,1,-,-,-
Provincial Health Office,6,Memory Card Reader,-,1,Pc,200,-,-,-,-,1,-,-,-
Provincial Health Office,7,Transcend USB Flash Drive 32 GB,-,1,Pc,1200,-,-,-,-,1,-,-,-
Provincial Health Office,8,E-Blue Vertical on air mouse,-,1,Pc,800,-,-,-,-,1,-,-,-
Provincial Health Office,9,RL 202 Cooling Fan,-,1,Pc,265,-,-,-,-,1,-,-,-
Provincial Health Office,10,Plaque,1000,22,Pcs,22000,-,-,-,-,22,-,-,-
