program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion,project_ status_ percent_ of_completion ,total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Environmental Management,Construction of Elevated Multi-purpose Covered Area,"Sta. Maria, Lubao",3592626.98,-,-,-,-,-,Awarded but not yet started
Environmental Management,"Construction of Multi-purpose Covered area with Reinforced Concrete Slab (12.0m x24.0m, 0.60m from NGL) San Jose H/S",San Jose High School Floridablanca,1861323.95,-,-,-,-,-,Awarded but not yet started
Environmental Management,Construction of elevated Multi-purpose Covered Area,"Baruya, Lubao",3881649.85,-,-,-,-,-,Awarded but not yet started
Environmental Management,"Construction of Multi-purpose Covered area with Reinforced Concrete Slab (12.0m x24.0m, 0.60m from NGL) ","Guillermo D, Mendoza High School, Sta.Filomena Guagua",1861323.95,-,-,-,-,-,Awarded but not yet started
Environmental Management,Construction of Covered Court with Reinforced concrete Slab (183 x 30m),Sta. Rita Lubao,3017201.94,-,-,-,-,-,Awarded but not yet started
Environmental Management,Construction of Multi-purpose Covered area with Reinforced Concrete Slab 16 x30 standard Elevation 0.20m ," Magsaysay, Guagua",2604374.94,-,-,-,-,-,Awarded but not yet started
Environmental Management,"Provision for Materials for the Improvement of Public Toilet, Pulmonary, Laundry, Three Toner Aircon and Birthing Station ",Dr. Andres Luciano District Hospital Magalang,91075.5,-,-,-,-,-,To be delivererd
Environmental Management,Provision for Materials for the Improvement of Multi-purpose Gym (2nd Floor) ,"San Nicolas, Lubao",421603.55,-,41800,100,416804.47,-,Paid
Environmental Management,Installation of One Unit (1) Deep Well,"Batang 2nd, Sasmuan",82400,-,41778,100,82400,-,Paid
Environmental Management,"Construction of Housing and Deep Well Installation Bahay Pare, Candaba","Bahay Pare, Candaba",201277.45,41786,41818,30,60383.24,-,Not yet paid
Environmental Management,Engineering Supervision for various Projects,-,420083.07,-,-,-,-,-,Funds obligated but not yet paid
Environmental Management,General Revision and Tax Mapping,-,1616573.29,-,41723,100,1154527.67,-,Paid
Environmental Management,"To supply labor, materials and necessary equipment for the Rehabilitation of Brgy Road","Gutad, Fblanca",7147047.79, - ,-, - ,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Upgrading/Improvement of Brgy Road with Line Canal and Cover","Sta. Cruz, Lubao",3877498.34, - ,-, - ,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary tools and equipment for the Concreting of San Miguel Betis Brgy Road","San Miguel, Betis  Guagua",1044130.39, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary tools  for the Concreting of Imelda Marcos Blvd. Brgy Road","San Joaquin,  Mabalacat City",2137935.56, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Improvement of Line Canal with cover ","San Basilio, Sta. Rita",3993476.23, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment  for the Concreting of Brgy. Rd, Dolores going to ","Sta. Maria Dolores, Magalang",367491.71, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Concreting of Brgy. Rd, M.I. Street and Marbea Street","Brgy San Nicolas II, Magalang",514675.48, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment  for the Concreting of Brgy road",Navalling Magalang,537333.52, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Concreting of Brgy. Rd. Mayon Street Corner Apo Street,","Talimundok, Dau Mabalacat City",400533.23, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary tools for the Concreting of Brgy. Rd. Sitio Balibago,","San Agustin, Magalang",529169.35,-,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Improvement/Upgrading of Pagurian Brgy Road","Purok 4-6, Pagurian Floridablanca",999386.95,-,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary tools and equipment for the Improvement of San Jose MAIn E/S covered court and stage","San Jose, San Luis",693763.71, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Rehabilitation and Repair of Brgy Health Center", Bical Mabalacat City,994118.01,-,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary tools, equipment for the Construction of Elevated Multi-Purposed Covered Court and Evacuation Center","Lanang, Candaba",1996226.63, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary Tools, equipment for the Construction of Medical and Diagnostic Bldg.","San Joaquin, Sta. Ana",2720187.27, - ,-, - ,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Construction of Multi-Purpose covered Court with concrete flooring of Colgante Elementary School","Colgante, Apalit",2418747.92, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Renovation/Const. of Stage and covered Court Extenxion for Bleachers","Pasig, Candaba",1193236.67, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Construction of Pipitik Multi-Purpose Covered Court Area with Concrete flooring","Dila-dila, Sta. Rita",2950696.91, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Construction of  Multi-Purpose Covered Court Area with Concrete flooring Roofing Extension and steel Bleachers","San Agustin, Betis, Guagua",3876051.85, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary tools and equipment for the Improvement of Duquit High School Perimeter Fence ","Duquit, Mabalacat City",486038.62, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary tools and equipment for the Contruction of Multi-Purposed Covered Court Area with Concrete Flooring","Macapagal Village, Mabalacat",3078278.35, - ,-,-,-,-,Funds obligated but not yet paid
Environmental Management,"To supply labor, materials and necessary equipment for the Contruction of Multi-Purposed Covered Court Area with Concrete Flooring, (Elev. 1m)",Paligue Apalit,3054768.04, - ,-,-,-,-,Funds obligated but not yet paid
