political_party_coalitions_or_sectoral_organizations,acronym,grand_total,percentage_of_total_votes_garnered
Ang National Coalition of Indigenous Peoples Action na,ANAC-IP,241505,-
"Agbiag! Timpuyog Ilocano, Inc.",AGBIAG!,240841,-
"Append, Inc.",APPEND,236353,-
Ang Laban ng Indiginong Filipino,ALIF,223857,-
Ating Guro,ATING GURO,214080,-
Puwersa ng Bayaning Atleta,PBA,212298,-
Aangat Tayo,AANGAT TAYO,207855,-
"Kasangga Sa Kaunlaran, Inc.",ANG KASANGGA,202456,-
Alliance for Nationalism and Democracy,ANAD,201050,-
Bagong Henerasyon,BH,190001,-
Binhi-Partido ng mga Magsasaka para sa mga Magsasaka,BINHI,185987,-
"Kapatiran ng mga Nakulong na Walang Sala, Inc.",KAKUSA,175096,-
"Piston Land Transport Coalition, Inc",PISTON,174976,-
Bayani Party-List,BAYANI,165906,-
Aksyon Magsasaka-Partido Tinig ng Masa,AKMA-PTM,165784,-
Agrarian Development Association,ADA,164702,-
Isang Alyansang Aalalay sa Pinoy Skilled Workers,1-AALALAY,162552,-
Abante Retirees Partylist Organization Party-List,ABANTE RETIREES,161915,-
Katribu Indigenous Peoples Sectoral Party,KATRIBU,153844,-
Association of Laborers and Employees,ALE,153616,-
"1 Joint Alliance of Marginalized Group, Inc",1JAMG,153072,-
"Action Brotherhood for Active Dreamers, Inc",ABROAD,150854,-
Veterans Freedom Party,VFP,148591,-
Association of Philippine Electric Cooperatives,APEC,146392,-
Pasang Masda Nationwide Inc.,PASANG MASDA,134944,-
Una ang Pamilya Party-List,1 ANG PAMILYA,131954,-
"Alyansa ng gga Grupong Haligi ng Agham at Teknolohiya Para Sa Mamamayan, Inc.",AGHAM,130694,-
Ang Prolife,ANG PROLIFE,129989,-
Pilipino Association for Country-Urban Poor Youth Advancement and Welfare,PACYAW,123791,-
1-United Transport Koalisyon,1-UTAK,123489,-
Isang Lapian ng Mangingisda at Bayan Tungo sa Kaunlaran,1-LAMBAT,119505,-
"Isang Pangarap ng Bahay sa Bagong Buhay ng Maralitang Kababayan, Inc.",1-PABAHAY,117516,-
"Akap Bata Sectoral Organization for Children, Inc",AKAP BATA INC.,116837,-
"The True Marcos Loyalist (for God, Country and People) Association of the Philippines, Inc.",BANTAY,113989,-
"Abante Katutubo, Inc.",ABANTE KA,111625,-
"Cocofed-Philippine Coconut Producers Federation, Inc.",COCOFED,103626,-
"Firm 24-K Association, Inc.",FIRM 24-K,103316,-
"Alyansang Bayanihan ng Mga Magsasaka, Manggagawang Bukid at Mangingisda",ABA,102021,-
Ang Ladlad LGBT Party,ANG LADLAD,100958,-
"Atong Paglaum, Inc.",ATONG PAGLAUM,95490,-
1st Kabalikat ng Bayan Ginhawang Sangkatauhan,1ST KABAGIS,94651,-
Ang Agrikultura natin Isulong,AANI,93581,-
"Kasosyo Producer-Consumer Exchange Association, Inc.",AA-KASOSYO,88603,-
"1 Bro-Philippine Guardians Brotherhood, Inc.",1 BRO-PGBI,87247,-
Pilipinos with Disabilities,PWD,86854,-
Sanlakas,SANLAKAS,86145,-
Social Movement for Active Reform and Transparency,SMART,84803,-
Abante Tribung Makabansa,ATM,81378,-
Ako Ayoko Sa Bawal Na Droga,AKO,80398,-
Adhikain ng mga Dakilang Anak Maharlika,ADAM,77206,-
Association for Righteousness Advocacy in Leadership,ARAL,76838,-
Katipunan ng mga Anak ng Bayan All Filipino Democratic Movement,KAAKBAY,71534,-
Sectoral Party ang Minero,ANG MINERO,67807,-
Action League of Indigenous Masses,ALIM,65119,-
"Ating Agapay Sentrong Samahan ng mga Obrero, Inc.",AASENSO,65095,-
"1-A Action Moral and Values Recovery Reform Philippines, Inc",1-AAMOVER,59844,-
Aagapay sa Matatanda,AMA,58886,-
"1 Guardians Nationalist of the Philippines, Inc",1GANAP/GUARDIANS,58406,-
Kaagapay ng Nagkaisang Agilang Pilipinong Magsasaka,KAP,57152,-
"Adhikain at Kilusan ng Ordinaryong Tao para sa Lupa, Pabahay, Hanapbuhay at Kaunlaran",AKO BAHAY,51806,-
Migrante Sectoral Party of Overseas Filipinos and their Families,MIGRANTE,51431,-
Alyansa ng OFW Party,ALYANSA NG OFW,51069,-
Ugnayan ng Maralita Laban sa Kahirapan,UMALAB KA,45492,-
Alliance for Rural Concerns,ARC,45120,-
Alliance of Bicolnon Party,ABP,44324,-
"Blessed Federation of Farmers and Fishermen International, Inc.",A BLESSED,43829,-
Alliance of Advocates in Mining Advancement for National Progress,AAMA,42853,-
Advance Community Development in New Generation,ADING,42819,-
"Alliance for Rural and Agrarian Reconstruction, Inc.",ARARO,41257,-
"United Movement Against Drug Foundation, Inc.",UNI-MAD,41023,-
"Association of Marine Officer and Ratings, Inc",AMOR SEAMAN,40955,-
Mamamayan Tungo sa Maunlad na Pilipinas,MTM PHILS,40218,-
Anti-War/Anti-Terror Mindanao Peace Movement,AWAT MINDANAO,39206,-
Green force for the Environment Sons and Daughters of Mother Earth,GREEN FORCE,30581,-
"Agila ng Katutubong Pilipino, Inc",AGILA,29739,-
"Agapay ng Indigenous Peoples Rights Alliance, Inc.",A-IPRA,28263,-
Alyansa ng Media at Showbiz,AMS,27883,-
Alagad,ALAGAD,27400,-
Alliance for Philippines Security Guards Cooperative,AFPSEGCO,24369,-
Kababaihang Lingkod Bayan sa Pilipinas,KLBP,21900,-
"1-Abilidad, Inc",1-ABILIDAD,19381,-
"Alyansa Lumad Mindanao, Inc",ALLUMAD,7642,-
Ang Galing Pinoy,AG,4259,-
