date,object_of_expenditure,account_code,authorized_appropriation,total_release,total_disbursement,balance,percent_utilized
"As of April 12, 2039",Medical Equipment and Social Infra Project-CDH-Hermatology Machine,4919-300-025,550000,-,-,-,0
"As of April 12, 2040",Medical Equipment and Social Infra Project-CDH-Dental Chair,4919-300-026,500000,-,-,-,0
"As of April 12, 2041",Medical Equipment and Social Infra Project-NDH-Hematology Analyzer,4919-300-027,800000,-,-,-,0
"As of April 12, 2042",Medical Equipment and Social Infra Project-NDH-Anaesthesia Machine,4919-300-028,1700000,-,-,-,0
"As of April 12, 2043",Medical Equipment and Social Infra Project-NDH-Electro Cautery Machine,4919-300-029,500000,-,-,-,0
"As of April 12, 2044",Medical Equipment and Social Infra Project-NDH-Instrument Tables,4919-300-030,150000,-,-,-,0
"As of April 12, 2045",Medical Equipment and Social Infra Project-NDH-Instrument Cabinets,4919-300-031,150000,-,-,-,0
"As of April 12, 2046",Medical Equipment and Social Infra Project-NDH-Ultrasound Machine,4919-300-032,1900000,-,-,-,0
"As of April 12, 2047",Medical Equipment and Social Infra Project-NDH-Fetal Monitor,4919-300-033,300000,-,-,-,0
"As of April 12, 2048",Medical Equipment and Social Infra Project-NDH-Construction of Covered Walk to OPD,4919-300-034,250000,-,-,-,0
"As of April 12, 2049",Medical Equipment and Social Infra Project-NDH-Construction of Cover of Line Canals,4919-300-035,250000,-,-,-,0
"As of April 12, 2050",Medical Equipment and Social Infra Project-PHO-Embankment of Hospital Site,4919-200-036,3000000,3000000,-,3000000,0
"As of April 12, 2051",Medical Equipment and Social Infra Project-PHO-Construction of Hospital Warehouse Building,4919-300-037,1000000,-,-,-,0
"As of April 12, 2052",Medical Equipment and Social Infra Project-PHO-Construction of Drainage System,8919-300-039,1000000,-,-,-,0
"As of April 12, 2053","Construction of MDC Day Care with CR Vinapor, Carmen",8919-300-040,300000,-,-,-,0
"As of April 12, 2054","Construction of MHRDPEC (day care center) Lingayao, Las Nieves",8919-300-041,250000,-,-,-,0
"As of April 12, 2055","Construction of MDC Day Care, Barangay E. Morgado, Santiago",8919-300-042,600000,-,-,-,0
"As of April 12, 2056","Construction of MDC Facilities (perimeter fence) Jagupit, Santiago",8919-300-043,300600,-,-,-,0
"As of April 12, 2057",Completion of MDC (capitol covered court side bleachers),8919-300-044,700000,700000,687062,12938,0.98
"As of April 12, 2058","Rehabilitation of MHRDPEC Barangay Office, Calibunan, Cabad City",8919-300-045,251000,251000,-,251000,0
"As of April 12, 2059","Completion of MHRDPEC (covered court, 2 span) San Gosoon, Carmen",8919-300-046,720000,720000,720000,-,1
"As of April 12, 2060","Rehabilitation of MHRDPEC (covered court roofing) San Agustin, Carmen",8919-200-047,110000,-,-,-,0
"As of April 12, 2061",Total,-,109955057.1,-,-,-,-
