Alert Status of Active ODA Loan-Assisted Projects as of June 2014,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
loan_ID,project_title,IA,FI,loan_effectivity,loan_closing_date,"max
closing_date",financial_indicator_1a_breached?,financial_indicator_1b_breached?,physical_indicator_2a_breached?,physical_indicator_2b_breached?,cost_overrun_indicator_3a_breached?,cost_overrun_indicator_3b_breached?,project_stage__indicator_4a_breached?,project_stage__indicator_4b_breached?,implementation_status,issue(s),remarks,actions_taken,alert_status,as_of_date
PHL-17,Integrated Disaster Risk Reduction and Climate Change Adaptation Measures in Low Lying Areas of Pampanga,DPWH,Korea,2/14/2014,6/1/2019,11/14/2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
2957-PHI,Integrated Natural Resources and Environmental Management Project,DENR,ADB,8/9/2013,12/31/2020,12/31/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
I-890-PH,Integrated Natural Resources and Environmental Management Project,DENR,IFAD,8/9/2013,12/31/2020,12/31/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
Italy-1,Italian Assistance to the Agrarian Reform Community Development Support Program (IARCDSP),DAR,Italy,12/28/2012,4/11/2019,4/11/2019,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-,-,"On preparatory stage, delayed finalization of project operation manual",Attended 1st Project Steering Committee to review and finalize operation manual ,Potential Problem Project,6/30/2014
PHL-15,"Jalaur River Multipurpose Irrigation Project, Phase II",NIA,Korea,11/28/2012,5/28/2018,5/28/2018,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,Delayed procurement of consultancy services,Delayed procurement of consultancy services,regular coordination with the agency.,Level II,6/30/2014
3100-PHI,KALAHI-CIDSS National Community Driven Development Program,DSWD,ADB,6/10/2014,6/30/2018,6/30/2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,On Schedule,-,Project is newly-effective as of June 2014,-,No Major Problem,6/30/2014
PH-7959,KALAHI-CIDSS Project (Additional Financing),DSWD,WB,2/24/2011,5/14/2014,5/31/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,On Schedule,-,Closed as of May 2014,-,Closed,6/30/2014
PHL-13,Laguindingan Airport Air-Navigation System and Support Facilities Supply Project,DOTC,South Korea,2/10/2012,7/10/2014,7/10/2014,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,On Schedule,"The PMO could not disburse fund,  pending the NEDA Board confirmation of ICC CC notation  of project changes.","60.84 % with +0.37% slippageOn 24 jun 2014, ICC approved 18 mos. Extension, downscaling due to disapproval of V. O No. 4 by Secretary of DOTC, reallocation of costs and 2 % decrease of costs from PhP7.853B to PhP7.700B.      ",MES called the  ICC core secretariat's attention on the needed NEDA Board action. ,Level I,6/30/2014
PHL-5,Laguindingan Airport Development Project,DOTC,KOREA,6/19/1998,6/28/2012,10/25/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Completed,-,on  operation on visual flight rule,-,No Major Problem,6/30/2014
PH-8035,Laguna de Bay Institutional Strengthening and Community Participation Project (LISCOP) -  Additional Financing,LLDA,WB,7/27/2011,4/30/2014,4/30/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,Closed in April 2014,-,Closed,6/30/2014
PH-7298,Land Administration & Management Project Phase II,DENR,WB,10/11/2005,3/31/2011,3/31/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,Closed,6/30/2014
8344-PH,"Learning, Equity, and Accountability Program Support (LEAPS)",DepEd,WB,6/24/2014,8/31/2018,8/31/2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
3111-PHI,Local Government Finance and Fiscal Decentralization Reform Program Subprogram 1,DOF,ADB,5/27/2014,12/31/2014,12/31/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,-,-,No Major Problem,6/30/2014
PH-P245,Logistics Infrastructure Development Project,DBP,JICA,12/24/2009,12/24/2016,12/24/2016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Behind Schedule,-,"While the project already released PhP5,929.22 million of the PhP8,807.42 million approved sub-loans (67%), the undrawn amount on the loan facility continued to increase due to slow rate of sub-loan releases.",-,Potential Problem Project,6/30/2014
PH-P257,Maritime Safety Capability Improvement Project for the Philippine Coast Guard,DOTC,JICA,4/9/2014,4/9/2022,4/9/2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,On Schedule,-,Newly effective oin April 2014,-,No Major Problem,6/30/2014
2964-PHI,Market Transformation Thru Introduction of Energy Efficient Electric Vehicles Project,DOE,ADB,12/13/2013,6/30/2018,6/30/2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
8261-PHI,Market Transformation Thru Introduction of Energy Efficient Electric Vehicles Project,DOE,ADB,12/13/2013,6/30/2018,6/30/2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
8162-PH,Metro Manila Wastewater Management Project,LBP,WB,10/19/2012,6/30/2017,6/30/2017,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,Issue on Right-of-Way and Land Acquisition,For Manila Water- detailed engineering for Ilugin STP is ongoing.   For Maynilad - awarded 5 contracts                                                                      ,Continuous coordination with the agency.,Level I,6/30/2014
SAUDI-1/433,Mindanao Roads Improvement Project,DPWH,Saudi Arabia,4/2/2006,12/31/2009,10/11/2014,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Behind Schedule,"DPWH is yet to submit the requisite ICC documents for the processing of its request to re-avail the loan for the rehabiliation of road sections continguous but outside the current scope of the project. It should be noted the ICC-CC, in its 3 July 2012 meeting, approved the DPWH request not to seek a further loan extension beyond 31 Dec 2012. The SFD, however, extended the loan until 11 Oct 2014 despite said ICC decision.","The ICC-CC, in its 3 July 2012 meeting approved the DPWH request not to seek a further loan extension beyond 31 Dec 2012, the SFD, however, extended the loan until 11 Oct 2014 despite said ICC decision.",NEDA informed DPWH that ICC notation/approval will be needed for their intention to re-avail SFD loan. ,Level I,6/30/2014
PH-7440,Mindanao Rural Development Project-Phase 2,DA,WB,7/3/2007,12/31/2012,12/31/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,On Schedule,-,"DA replied to our letter confirming that the project will close in December 2014, and with no request for extension.",-,No Major Problem,6/30/2014
PH-P251,Mindanao Sustainable Agrarian and Agriculture Development Project (MinSAAD),DAR,JICA,7/3/2012,7/3/2019,7/3/2019,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,-,Issue with the procurement of consulting services.,"Consultation meeting between NEDA and DAR on way to move forward conducted on May 20, 2014.",Potential Problem Project,6/30/2014
PH-P254,National Irrigation Sector Rehabilitation and Improvement Project (NISRIP),NIA,JICA,7/3/2012,7/3/2019,7/3/2019,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,Start-up delay; prolonged procurement of consultant,"Delayed start up due to delayed completion of detailed engineering design.

For procurement of civil works for 6 sub-projects by the last quarter of 2014.",regular coordination with the agency.,Level II,6/30/2014
PH-75520,National Road Improvement Management Project Phase II,DPWH,WB,4/16/2009,12/31/2012,12/31/2014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,DPWH requested a 2-year loan validity extension from Dec 2014 to Dec 2016 and reallocation of the loan for Yolanda-related sub-projects. This was endorsed by the DOF through its letter to WB dated 4 April 2014.,-,Potential Problem Project,6/30/2014
PH-P256,New Bohol Airport Construction and Sustainable Environment Protection Project,DOTC,JICA,7/24/2013,7/24/2020,7/24/2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,-,"Submission and opening of bids rescheduled 10 June 2014. consulting services [construction supervision] commenced in June 2014, preparatory works is 8.1% with +1.6% slippage, soaking yards is 61.34% with +1.09% slippage.",-,No Major Problem,6/30/2014
PH-P228,"New Communications, Navigation and Surveillance/Air Traffic Management Systems Dev't",DOTC,JICA,2/21/2003,5/21/2013,5/21/2017,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Behind Schedule,"Even if physical implementation is just slightly delayed (6% slippage), the project is flagged under the Alert Mechanism because time elapsed will significantly be greater than utilization, as the project has one of the oldest loans in the portfolio (effective since 2003) and because of delays in the past.",( OWPP)41.19% with -6.4% slippage,Requested the PMO to strictly  adhere to the revised disbursement schedule.,Level I,6/30/2014
PH-7709,Participatory Irrigation Development Project,NIA,WB,11/3/2009,3/31/2015,3/31/2015,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Behind Schedule,Poor performance of contractors,"Delayed implementation of 9 river irrigation systems due to poor performance of contractors.

With pending request on restructuring and three-year loan extension","Drafted reply letter to NIA instructing them to submit the necessary ICC requisite documents, pending clearance from DRMP",Level II,6/30/2014
PH-P239,Pasig Marikina River Channel Improvement Project (Phase II),DPWH,JICA,6/21/2007,6/21/2015,6/21/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Ahead of Schedule,-,The project was completed in May 2013.,-,No Major Problem,6/30/2014
PH-P252,Pasig-Marikina River Channel Improvement Project Phase III,DPWH,JICA,7/3/2012,7/3/2019,7/3/2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,On Schedule,-,Civil Works on Contract Package 2 has just started.,-,No Major Problem,6/30/2014
2507-PHI,Philippine Energy Efficiency Project,DOE,ADB,5/28/2009,10/31/2011,5/8/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-,-,Closed on 8 May 2014,-,No Major Problem,6/30/2014
PH-P241,Pinatubo Hazard Urgent Mitigation Project III,DPWH,JICA,4/15/2008,4/15/2015,4/15/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,On Schedule,-,Overall accomplishment is 94.30% against a target of 94.75%.  Civil Works is 94.92% (target is 95.32%) complete.,-,No Major Problem,6/30/2014
PH-SB1,Post Disaster Stand-by Loan,DOF,GOJ-JICA,3/26/2014,3/26/2017,3/26/2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
200665240,Provincial Towns Water Supply Programme III,LWUA,Germany,3/28/2011,12/31/2013,12/31/2015,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Behind Schedule,-,The project is in its first year of its 2-year extension period.,"Regular coordination meetings conducted w/ LWUA and KfW reps every 2 months.   Also scheduled occular inspections in November and Dec. 2014 in selected water districts in Victorias City, Mabitac, Infanta, and Orani.",Potential Problem Project,6/30/2014
PHL-11,Puerto Princesa Airport Development Project,DOTC,Korea,12/21/2012,6/21/2017,6/21/2017,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,Delayed/prolonged procurement of contractor.,"Procurement of contractor was delayed by 6 months. Cost remain at PhP4.461 at procurement stage, NTP for CW signed on 30 June 2014.","MES regularly inquiring the status of implementation with PMO. To date, procurement of consulting services is ongoing (20% ); civil  works, design-build contract is at start-up stage; engineering design  prepared on 1 August 2014 for DOTC approval.",Level I,6/30/2014
767-PH,Rapid Food Production Enhancement Programme,DA,IFAD,11/9/2009,6/30/2017,6/30/2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,On schedule,-,-,-,No Major Problem,6/30/2014
PH-8119,Regional Infrastructure for Growth Project,DBP,WB,10/11/2012,11/30/2016,11/30/2016,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,Uncompetitive relending facility; Start-up delay (delayed concurrence of WB on the sub-loan agreement to be used for the borrowers),With pending request for amendments to the loan angreement and operations manual ,Meeting with DBP was held on 8 August 2014. Processing of DBP request for ammendments to the loan agreement and the operations manual is ongoing.,Level I,6/30/2014
2836-PHI,Road Improvement and Institution Development Project,DPWH,ADB,7/20/2012,6/30/2016,6/30/2016,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Behind Schedule,"Need for the project to undergo the following changes: (a) change in scope; (b) increase in cost; and, (c) 24-month validity extension of ADB loan.","Failure to report oveall performance, only per component.","The DPWH's request for change in scope and increase in cost were approved by the ICC-TB and the ICC-CC in July and August 2014, respectively. Action on request for loan extension was deferred. ",Level II,6/30/2014
1446P,Road Improvement and Institution Development Project,DPWH,OFID,9/17/2012,6/30/2017,6/30/2017,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Behind Schedule,"Need for the project to undergo the following changes: (a) change in scope; (b) increase in cost; and, (c) 24-month validity extension of ADB loan.","Failure to report oveall performance, only per component.","The DPWH's request for change in scope and increase in cost were approved by the ICC-TB and the ICC-CC in July and August 2014, respectively. Action on request for loan extension was deferred. ",Level II,6/30/2014
PH-P247,Road Upgrading and Preservation Project,DPWH,JICA,7/21/2011,7/21/2023,7/21/2023,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Schedule,Prolonged procurement.,-,Continuous follows-up with DPWH. ,Level I,6/30/2014
IFAD-661-PH,Rural Micro-Enterprise Promotion Programme,DTI,IFAD,10/31/2006,6/30/2014,6/30/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,-,-,No Major Problem,6/30/2014
PHL-14,Samar Pacific Coastal Road Project,DPWH,KOREA,1/17/2014,1/17/2018,1/17/2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,On Schedule,-,Awaiting results of technical evaluation of KEDCF on the two shortlisted consultants.,-,No Major Problem,6/30/2014
1224P,Second Cordillera Highland Agricultural Resource Management Project,DA,OFID,2/17/2008,7/31/2013,7/31/2015,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Behind Schedule,NG-LGU Cost Sharing Issue; Budget and funds flow bottlenecks,"Delays were primarily due: (1) inability of LGUs to put up with the counterpart; and, (2) delayed availability of Counterpart Financing Assistance (CFA) from the agency. The agency's request for one year extension, from 31 December 2014 to 31 December 2015 was approved by OFID in May 2014.",Provided inputs to the PER prepared by NRO CAR.,Level II,6/30/2014
749-PH,Second Cordillera Highland Agricultural Resource Management Project,DA,IFAD,11/14/2008,6/30/2016,6/30/2016,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Behind Schedule,NG-LGU Cost Sharing Issue; Budget and funds flow bottlenecks,"Delays were primarily due: (1) inability of LGUs to put up with the counterpart; and, (2) delayed availability of Counterpart Financing Assistance (CFA) from the agency. The agency's request for one year extension, from 31 December 2014 to 31 December 2015 was approved by OFID in May 2014.",Provided inputs to the PER prepared by NRO CAR.,Level II,6/30/2014
8238-PH,Second Development Policy Loan to Foster More Inclusive Growth,DOF,WB,7/5/2013,12/31/2014,42004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,-,-,No Major Problem,6/30/2014
8328-PH,Second Development Policy Loan to Foster More Inclusive Growth: Supplemental Financing for Post Typhoon Recovery,DOF,WB,3/11/2014,12/31/2014,42004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,-,-,No Major Problem,6/30/2014
2662-PHI,Social Protection Support Project,DSWD,ADB,1/12/2011,3/31/2016,3/31/2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,On-Schedule,-,"Through the Project, DSWD has further increased the number of enrolleess under the Pantawid Pamiliyang Pilipino Program (4Ps)",-,No Major Problem,6/30/2014
PH-7805,Social Welfare and Development Reform,DSWD,WB,2/19/2010,12/31/2014,12/31/2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-,-,-,-,No Major Problem,6/30/2014
PH-8218,Social Welfare and Development Reform Project (Additional Financing),DSWD,WB,5/2/2013,12/31/2015,12/31/2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,-,-,No Major Problem,6/30/2014
PH-4833,Support for Strategic Local Development and Investment Project,LBP,WB,2/28/2007,2/28/2014,4/30/2016,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Behind Schedule,"Continuing delay in the implementation of two subprojects (the Ozamiz and General Santos sanitary landfill projects) due to (1) ECC requirement for a 15-meter buffer zone along the developed project site of the Ozamiz landfill, which the LGU requested to be reduced to 10 meters; and (2) pending approval of World Bank on the request of General Santos LGUs to downsize subproject implementation.",LBPs proposed amendments to the loan agreements was approved by WB on 30 April 2014.,None. LBP's proposed amendments to the loan agreements was already approved by WB on 30 April 2014.,Level I,6/30/2014
FRANCE-2,Tulay ng Pangulo Para sa Kaunlarang Pang-agraryo Project,DAR,FRANCE,3/19/2009,12/31/2012,3/19/2014,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-,-,"Closed February 19, 2014 with incomplete output. Only about 15 bridges out of 418 constructed and installed.","MOA between DAR, DPWH and Supplier signed for the implementation of the project after loan closing.",Closed,6/30/2014
