region,suc,discipline,passers_2010,passers_2011,passers_2012,passers_total,takers_2010,takers_2011,takers_2012,takers_total,percent_passing_2010,percent_passing_2011,percent_passing_2012,percent_passing_total
II (Cagayan Valley),Quirino State College,Nutrition and Dietetics,3,2,4,9,5,17,12,34,60,11.76,33.33,26.47
III (Central Luzon),Aurora State College of Technology,Agriculture,2,4,6,12,7,10,11,28,28.57,40,54.55,42.86
III (Central Luzon),Aurora State College of Technology,Civil Engineering,5,9,8,22,19,34,24,77,26.32,26.47,33.33,28.57
III (Central Luzon),Aurora State College of Technology,Electrical Engineering,4,3,2,9,8,8,11,27,50,37.5,18.18,33.33
III (Central Luzon),Aurora State College of Technology,Fisheries Technology,-,-,0,0,-,-,1,1,0,0,0,0
III (Central Luzon),Aurora State College of Technology,Forestry,2,7,1,10,4,14,6,24,50,50,16.67,41.67
III (Central Luzon),Aurora State College of Technology,Guidance Counseling,-,-,0,0,-,-,1,1,0,0,0,0
III (Central Luzon),Aurora State College of Technology,LET-Elementary,9,22,18,49,23,35,23,81,39.13,62.86,78.26,60.49
III (Central Luzon),Aurora State College of Technology,LET-Secondary,8,13,12,33,19,31,33,83,42.11,41.94,36.36,39.76
III (Central Luzon),Aurora State College of Technology,Mechanical Engineering,2,3,1,6,3,6,2,11,66.67,50,50,54.55
III (Central Luzon),Bataan Peninsula State University,Accountancy,29,25,27,81,65,95,103,263,44.62,26.32,26.21,30.8
III (Central Luzon),Bataan Peninsula State University,Agriculture,1,3,1,5,4,4,5,13,25,75,20,38.46
III (Central Luzon),Bataan Peninsula State University,Architecture,16,25,26,67,32,61,61,154,50,40.98,42.62,43.51
III (Central Luzon),Bataan Peninsula State University,Civil Engineering,20,24,25,69,60,64,70,194,33.33,37.5,35.71,35.57
III (Central Luzon),Bataan Peninsula State University,Electrical Engineering,11,35,26,72,34,60,50,144,32.35,58.33,52,50
III (Central Luzon),Bataan Peninsula State University,Electronics Engineering,9,29,31,69,26,80,86,192,34.62,36.25,36.05,35.94
III (Central Luzon),Bataan Peninsula State University,Guidance Counseling,0,0,1,1,1,1,2,4,0,0,50,25
III (Central Luzon),Bataan Peninsula State University,LET-Elementary,35,53,141,229,219,227,240,686,15.98,23.35,58.75,33.38
III (Central Luzon),Bataan Peninsula State University,LET-Secondary,99,136,172,407,347,421,386,1154,28.53,32.3,44.56,35.27
III (Central Luzon),Bataan Peninsula State University,Mechanical Engineering,21,46,53,120,49,62,75,186,42.86,74.19,70.67,64.52
III (Central Luzon),Bataan Peninsula State University,Midwifery,35,26,17,78,52,44,32,128,67.31,59.09,53.13,60.94
III (Central Luzon),Bataan Peninsula State University,Nursing,507,541,336,1384,1517,1431,863,3811,33.42,37.81,38.93,36.32
III (Central Luzon),Bulacan Agricultural State College,Accountancy,0,-,-,0,1,-,-,1,0,0,0,0
III (Central Luzon),Bulacan Agricultural State College,Agricultural Engineering,2,2,1,5,2,4,3,9,100,50,33.33,55.56
III (Central Luzon),Bulacan Agricultural State College,Agriculture,1,5,5,11,6,11,13,30,16.67,45.45,38.46,36.67
III (Central Luzon),Bulacan Agricultural State College,Geodetic Engineering,2,3,2,7,2,3,3,8,100,100,66.67,87.5
III (Central Luzon),Bulacan Agricultural State College,LET-Elementary,24,18,59,101,105,96,95,296,22.86,18.75,62.11,34.12
III (Central Luzon),Bulacan Agricultural State College,LET-Secondary,20,17,35,72,79,67,71,217,25.32,25.37,49.3,33.18
III (Central Luzon),Bulacan State University,Architecture,49,67,38,154,82,121,89,292,59.76,55.37,42.7,52.74
III (Central Luzon),Bulacan State University,Civil Engineering,65,69,75,209,136,158,167,461,47.79,43.67,44.91,45.34
III (Central Luzon),Bulacan State University,Criminology,-,12,36,48,-,16,52,68,0,75,69.23,70.59
III (Central Luzon),Bulacan State University,Electrical Engineering,17,39,46,102,93,68,89,250,18.28,57.35,51.69,40.8
III (Central Luzon),Bulacan State University,Electronics Engineering,63,98,121,282,236,225,237,698,26.69,43.56,51.05,40.4
III (Central Luzon),Bulacan State University,Environmental Planning,0,-,-,0,1,-,-,1,0,0,0,0
III (Central Luzon),Bulacan State University,Guidance Counseling,2,2,0,4,2,4,2,8,100,50,0,50
III (Central Luzon),Bulacan State University,LET-Elementary,116,118,306,540,516,485,493,1494,22.48,24.33,62.07,36.14
III (Central Luzon),Bulacan State University,LET-Secondary,266,313,346,925,868,954,875,2697,30.65,32.81,39.54,34.3
III (Central Luzon),Bulacan State University,Library Science,2,2,1,5,9,7,5,21,22.22,28.57,20,23.81
III (Central Luzon),Bulacan State University,Marine Engineering,1,-,-,1,1,-,-,1,100,0,0,100
III (Central Luzon),Bulacan State University,Mechanical Engineering,62,59,62,183,99,86,91,276,62.63,68.6,68.13,66.3
III (Central Luzon),Bulacan State University,Nursing,308,287,248,843,450,442,434,1326,68.44,64.93,57.14,63.57
III (Central Luzon),Central Luzon State University,Accountancy,51,22,35,108,79,41,50,170,64.56,53.66,70,63.53
III (Central Luzon),Central Luzon State University,Agricultural Engineering,6,5,11,22,12,8,14,34,50,62.5,78.57,64.71
III (Central Luzon),Central Luzon State University,Agriculture,67,61,64,192,120,134,132,386,55.83,45.52,48.48,49.74
III (Central Luzon),Central Luzon State University,Chemistry,10,8,6,24,25,16,14,55,40,50,42.86,43.64
III (Central Luzon),Central Luzon State University,Civil Engineering,24,26,44,94,59,43,91,193,40.68,60.47,48.35,48.7
III (Central Luzon),Central Luzon State University,Environmental Planning,-,-,0,0,-,-,1,1,0,0,0,0
III (Central Luzon),Central Luzon State University,Fisheries Technology,5,8,6,19,21,25,13,59,23.81,32,46.15,32.2
III (Central Luzon),Central Luzon State University,Guidance Counseling,1,0,3,4,2,1,5,8,50,0,60,50
III (Central Luzon),Central Luzon State University,LET-Elementary,69,84,116,269,152,171,154,477,45.39,49.12,75.32,56.39
III (Central Luzon),Central Luzon State University,LET-Secondary,69,109,176,354,302,342,381,1025,22.85,31.87,46.19,34.54
III (Central Luzon),Central Luzon State University,Veterinary Medicine,20,30,32,82,42,47,58,147,47.62,63.83,55.17,55.78
III (Central Luzon),Don Honorio Ventura Technological State University,Architecture,9,38,27,74,28,94,77,199,32.14,40.43,35.06,37.19
III (Central Luzon),Don Honorio Ventura Technological State University,Civil Engineering,36,32,40,108,79,75,87,241,45.57,42.67,45.98,44.81
III (Central Luzon),Don Honorio Ventura Technological State University,Electrical Engineering,12,18,13,43,41,41,45,127,29.27,43.9,28.89,33.86
III (Central Luzon),Don Honorio Ventura Technological State University,Electronics Engineering,11,24,40,75,34,50,60,144,32.35,48,66.67,52.08
III (Central Luzon),Don Honorio Ventura Technological State University,Environmental Planning,-,-,0,0,-,-,1,1,0,0,0,0
III (Central Luzon),Don Honorio Ventura Technological State University,LET-Elementary,25,45,103,173,74,121,145,340,33.78,37.19,71.03,50.88
III (Central Luzon),Don Honorio Ventura Technological State University,LET-Secondary,47,72,112,231,247,280,341,868,19.03,25.71,32.84,26.61
III (Central Luzon),Don Honorio Ventura Technological State University,Mechanical Engineering,32,32,38,102,53,59,73,185,60.38,54.24,52.05,55.14
III (Central Luzon),Nueva Ecija University of Science and Technology,Agriculture,-,2,0,2,-,11,11,22,0,18.18,0,9.09
III (Central Luzon),Nueva Ecija University of Science and Technology,Architecture,11,9,15,35,30,34,43,107,36.67,26.47,34.88,32.71
III (Central Luzon),Nueva Ecija University of Science and Technology,Chemistry,0,0,0,0,3,7,7,17,0,0,0,0
III (Central Luzon),Nueva Ecija University of Science and Technology,Civil Engineering,44,28,30,102,133,131,154,418,33.08,21.37,19.48,24.4
III (Central Luzon),Nueva Ecija University of Science and Technology,Criminology,-,-,21,21,-,-,26,26,0,0,80.77,80.77
III (Central Luzon),Nueva Ecija University of Science and Technology,Electrical Engineering,17,11,25,53,75,70,57,202,22.67,15.71,43.86,26.24
III (Central Luzon),Nueva Ecija University of Science and Technology,LET-Elementary,35,42,211,288,192,250,335,777,18.23,16.8,62.99,37.07
III (Central Luzon),Nueva Ecija University of Science and Technology,LET-Secondary,96,148,186,430,958,1065,894,2917,10.02,13.9,20.81,14.74
III (Central Luzon),Nueva Ecija University of Science and Technology,Mechanical Engineering,11,15,14,40,38,39,50,127,28.95,38.46,28,31.5
III (Central Luzon),Nueva Ecija University of Science and Technology,Midwifery,2,-,-,2,2,-,-,2,100,0,0,100
III (Central Luzon),Nueva Ecija University of Science and Technology,Nursing,295,305,207,807,761,809,576,2146,38.76,37.7,35.94,37.6
III (Central Luzon),Pampanga Agricultural College,Agricultural Engineering,7,2,2,11,13,4,7,24,53.85,50,28.57,45.83
III (Central Luzon),Pampanga Agricultural College,Agriculture,4,6,2,12,12,15,8,35,33.33,40,25,34.29
III (Central Luzon),Pampanga Agricultural College,Forestry,0,-,-,0,1,-,-,1,0,0,0,0
III (Central Luzon),Pampanga Agricultural College,LET-Elementary,36,60,125,221,127,159,182,468,28.35,37.74,68.68,47.22
III (Central Luzon),Pampanga Agricultural College,LET-Secondary,25,50,93,168,119,165,243,527,21.01,30.3,38.27,31.88
III (Central Luzon),Pampanga Agricultural College,Veterinary Medicine,2,5,5,12,9,9,9,27,22.22,55.56,55.56,44.44
III (Central Luzon),Philippine Merchant Marine Academy,Marine Engineering,30,68,72,170,37,71,83,191,81.08,95.77,86.75,89.01
III (Central Luzon),Philippine Merchant Marine Academy,Marine Transportation,26,11,61,98,42,16,77,135,61.9,68.75,79.22,72.59
III (Central Luzon),Ramon Magsaysay Technological University,Accountancy,2,5,10,17,11,13,21,45,18.18,38.46,47.62,37.78
III (Central Luzon),Ramon Magsaysay Technological University,Agricultural Engineering,-,0,0,0,-,1,1,2,0,0,0,0
III (Central Luzon),Ramon Magsaysay Technological University,Agriculture,2,2,0,4,7,4,4,15,28.57,50,0,26.67
III (Central Luzon),Ramon Magsaysay Technological University,Civil Engineering,7,8,9,24,11,14,17,42,63.64,57.14,52.94,57.14
III (Central Luzon),Ramon Magsaysay Technological University,Electrical Engineering,6,12,14,32,10,16,16,42,60,75,87.5,76.19
III (Central Luzon),Ramon Magsaysay Technological University,LET-Elementary,27,30,73,130,113,125,118,356,23.89,24,61.86,36.52
III (Central Luzon),Ramon Magsaysay Technological University,LET-Secondary,35,42,64,141,216,229,201,646,16.2,18.34,31.84,21.83
III (Central Luzon),Ramon Magsaysay Technological University,Mechanical Engineering,6,3,7,16,12,11,10,33,50,27.27,70,48.48
III (Central Luzon),Ramon Magsaysay Technological University,Nursing,64,85,45,194,258,232,160,650,24.81,36.64,28.13,29.85
III (Central Luzon),Tarlac College of Agriculture,Agricultural Engineering,4,1,1,6,10,6,5,21,40,16.67,20,28.57
III (Central Luzon),Tarlac College of Agriculture,Agriculture,1,4,6,11,8,12,16,36,12.5,33.33,37.5,30.56
III (Central Luzon),Tarlac College of Agriculture,Forestry,-,0,0,0,-,4,3,7,0,0,0,0
III (Central Luzon),Tarlac College of Agriculture,Geodetic Engineering,8,5,3,16,13,11,12,36,61.54,45.45,25,44.44
III (Central Luzon),Tarlac College of Agriculture,LET-Elementary,34,39,107,180,112,118,141,371,30.36,33.05,75.89,48.52
III (Central Luzon),Tarlac College of Agriculture,LET-Secondary,15,18,25,58,75,70,90,235,20,25.71,27.78,24.68
III (Central Luzon),Tarlac College of Agriculture,Veterinary Medicine,4,8,3,15,36,25,24,85,11.11,32,12.5,17.65
III (Central Luzon),Tarlac State University,Accountancy,47,17,43,107,78,42,81,201,60.26,40.48,53.09,53.23
III (Central Luzon),Tarlac State University,Architecture,8,16,17,41,29,41,62,132,27.59,39.02,27.42,31.06
III (Central Luzon),Tarlac State University,Chemistry,3,5,5,13,11,14,12,37,27.27,35.71,41.67,35.14
III (Central Luzon),Tarlac State University,Civil Engineering,20,23,20,63,59,66,48,173,33.9,34.85,41.67,36.42
III (Central Luzon),Tarlac State University,Electrical Engineering,3,27,28,58,50,54,49,153,6,50,57.14,37.91
III (Central Luzon),Tarlac State University,Electronics Engineering,10,16,21,47,59,57,42,158,16.95,28.07,50,29.75
III (Central Luzon),Tarlac State University,Guidance Counseling,3,5,3,11,3,10,8,21,100,50,37.5,52.38
III (Central Luzon),Tarlac State University,LET-Elementary,36,90,241,367,394,419,437,1250,9.14,21.48,55.15,29.36
III (Central Luzon),Tarlac State University,LET-Secondary,70,81,154,305,324,333,393,1050,21.6,24.32,39.19,29.05
III (Central Luzon),Tarlac State University,Mechanical Engineering,8,13,18,39,12,21,20,53,66.67,61.9,90,73.58
III (Central Luzon),Tarlac State University,Midwifery,1,-,-,1,1,-,-,1,100,0,0,100
III (Central Luzon),Tarlac State University,Nursing,146,165,104,415,278,258,176,712,52.52,63.95,59.09,58.29
IV (CALABARZON),Batangas State University,Accountancy,24,10,39,73,38,17,46,101,63.16,58.82,84.78,72.28
IV (CALABARZON),Batangas State University,Agriculture,4,6,3,13,5,8,8,21,80,75,37.5,61.9
IV (CALABARZON),Batangas State University,Architecture,24,17,24,65,46,37,42,125,52.17,45.95,57.14,52
