island_group,region,sugar_mills,rated_capacity_tc_d,metro_manila_address,metro_manila_contact_info,mill_site_address,mill_site_contact_info,president
Negros,Region VI,"Central Azucarera de la Carlota, Inc.","18,000","6/F Cacho Gonzales Bldg., 101 Aguirre St., Legaspi Vill., Makati City","Tel No. (02) 810-8901-06, Fax No. (02) 817-9247","Brgy. RSB, La Carlota City, Negros Occidental","Tel No. (034) 460-2825, Fax No. (034) 460-2825","Mr. Renato C. Valencia-President, Mr. Eduardo V. Concepcion-Vice President, Resident Manager"
Negros,Region VI,Lopez Sugar Corporation,"7,000","3/F Optima Bldg., 221 Salcedo St., Legaspi Vill. Makati City","Tel No. (02) 892-3548, Fax No. (02) 893-8490","Paraiso, Sagay City, Negros Occidental","Tel No. (034) 400-0022, Fax No. (034) 488-0021","Ms. Mary Ann C. Pernas -President, Mr. Paquito T. Frades-Vice President for Operations"
Negros,Region VII,URC-Ursumco,"8,000","Suite 2201, Robinsons Equitable Tower, # 4 ADB Ave., Corner Poveda St., Ortigas Center, Pasig City","Tel No. (02) 637-5398, (02) 637-5021, Fax No.(02) 395-2849","Alangilanan, Manjuyod, Negros Oriental",Tel/Fax No. (035)402-4081,"Mr. Rene P. Cabati-President, General Manager, Mr. Mario G. Palma-Operations Manager"
Negros,Region VI,Sagay Central Inc.,"4,200","Unit 707 G Bldg.,  150 Amorsolo St., Legaspi Village, Makati City","Tel No. (02) 810-8522, Fax No. (02) 810-8309","Brgy. Bato, Sagay City, Negros Occidental","Tel No. (034) 722-4824, Fax No. (034) 722-4863","Mr. Romie A. Cortez - President, Mr. Primitivo O. Rivera, Jr.-Resident Manager"
Negros,Region VI,URC-Sonedco,"10,000","Suite 2201, Robinsons Equitable Tower, # 4 ADB Ave., Corner Poveda St., Ortigas Center, Pasig City","Tel No. (02) 637-5398, Tel No. (02) 637-5021, Fax No. 637-3654","San Juan, Camugao, Kabankalan City, Negros Occidental",Tel No. 0922-809-5375,"Mr. Renato P. Cabati-President BU General Manager, Resident Manager"
Negros,Region VII,Universal Robina Corporation-Tolong,"3,000","Unit 1, G/F, 247 El Grande Ave., Int. Las Pinas City","Tel No. (02) 788-0170/71, Fax No. (02) 788-0172","Sicopong, Sta. Catalina, Negros Oriental","Tel No. (035) 531-0411, Fax No. (035) 531-0456","Mr. Rene P. Cabati-President,BU General Manager, Resident Manager"
Negros,Region VII,United Farmers Sugar Corporation (NO OPERATION),"2,000","29/F World Center, Bldg., 330 Gil Puyat Ave., Salcedo Vill., Makati City","Tel No. (02) 867-0012, Fax No. (02) 867-8250","Brgy. Tabugon, Kabankalan City, Negros Occidental",No Available Number,Mr. Roberto Y. De la Rosa-President
Negros,Region VI,"Victorias Milling Corporation, Inc.","15,000","c/o Tanduay Distillers Inc. 348 J. Nepomuceno St., San Miguel District, Manila","Tel No. (02) 733-8075, Fax No. (02)733-8070","VICMICO, Victorias City, Negros Occidental","Tel No. (034) 399-3380, Fax No. (034) 399-3675","Mr. Hubert D. Tubio -President, CEO, Mr. Arcadio S. Lozada, Jr.- Vice President Manufacturing"
Negros,Region VI,Organic Producers in the Island of Negros (OPTION-MPC),500,NONE,NONE,"Sitio Palanas, Poblacion 2, Sagay City, Negros Occidental","Tel No. (034) 476-5530, Fax No. (034) 488-0222","Mr. Francisco P. Gutierrez-President,Chairman, Mr. Hermenegildo M. Magbanua-Operations Manager"
Panay,Region VII,Capiz Sugar Central Incorporated,"4,500 (CY 2011-2012)","Lot 2 & 3, Blk. 1 B.V. Romero Blvd., Manila Harbor Center, RD 10 Road, Vitas, Tondo Manilla","Tel No. (02) 255-0096, (02) 252-2511, Fax No. (02)251-7324, (02) 252-2997","President Roxas, Capiz","Tel No. (036) 658-0487, Fax No. (036) 658-0488",Engr. Terence S. Uycongco-President
Panay,Region VII,Central Azucarera de San Antonio,"8,000","5/F Legaspi Tower, 200 Paseo de Roxas, Makati City","Tel No. 892-7471 to 75, Fax No. 893-8182","Brgy. Cadilang Passi City, Iloilo","Tel No. (033) 311-6081, Fax No. (033) 311-6081","Mr. Antonio Steven L. Chan-President, Engr. Ramon A. Dela Cruz-Factory Operation Manager"
Panay,Region VI,URC-Passi 1,"4,500","Suite 2201, Robinsons Equitable Tower, # 4 ADB Ave., Corner Poveda St., Ortigas Center, Pasig City","Tel No. (02)637-5398, (02) 637-5021, Fax No. (02) 637-3654/637-5021","Brgy. Imbang Pequeno, San Enrique, Iloilo",Tel/Fax No. (033) 311-5249,"Mr. Renato P. Cabati-President, BU General Manager, Mr. Rodolfo E. Devilles-Operation Manager, Resident Manager"
Eastern Visayas,Region VII,"Bogo-Medellin Milling Company, Inc.","2,000",No Available Data,No Available Data,"Luy-a, Medellin, Cebu","Tel No. (032) 436-2330, Fax No. (032) 436-2093","Mr. Alfred Y. Acopan -President, Mr. Joel P. Cayasan-General Manager"
Eastern Visayas,Region VII,"R.D. Durano III & Corporation, Inc. (No Operation)","2,000",No Available Data,No Available Data,"Dungo-an, Danao city, Cebu",Tel/Fax No. (032) 200-3821,Ms. Christy Mary H. Durano-President
Eastern Visayas,Region VIII,"Hideco Sugar Milling Corporation, Inc.","5,000","19/F Citibank Tower, Paseo de Roxas, Makati City","Tel No. (02) 848-1181 to 84, Fax No. (02) 848-1185","Montebello, Kananga, Leyte","Tel No. 861-5985, Fax No. 553-0038","Mr. Giogidi B. Aggabao- Vice President Administration, Mr. Ador M. Alcala-Resident Manager"
Mindanao,Region X,"Busco Sugar Milling Company, Inc.","18,000","4/F Corinthian Plaza Bldg., Paseo de Roxas, Makati City","Tel No. (02) 817-8403, Fax No. (02) 811-3219","Brgy. Butong, Quezon, Bukidnon","Tel No. (02) 817-8403, Fax No. (02) 817-8403",(Resident Manager)
Mindanao,Region XII,"Cotabato Sugar Central Company, Inc.","4,500","173 P. Gomez St., San Juan, Metro Manila","Tel No. (02) 727-0431, Fax No. (02) 724-0266","Brgy. Kilada, Matalam, Cotabato","Tel No. (082) 234-1350, Fax No. (082) 234-1350 loc. 111","Mr. Roman H. Ozaeta, Jr.-Chairman, Board of Directors,Operations Head, Mr. Democrito G. Oppus-Vice President for Operations, Resident Manager, Mr. Jonathan T. Gotianun-President,  Mr. Constancio B. Galinato-Acting-Resident Manager"
Mindanao,Region X,"Crystal Sugar Company, Inc.","10,000","10/F Telecoms Plaza, 316 Sen. Gil J. Puyat Ave., Makati City","Tel No. 818-1461, Fax No. 8170797","North Poblacion, Maramag Bukidnon","Tel No. (088) 853-5310, Fax No. 0918-932-3948","Mr. Pablo L. Lobregat-President, Mr. Javier T. Sagarbarria-Vice President Admin, Resident Manager"
Mindanao,Region XI,"Davao Sugar Central Company, Inc.","5,000","173 P. Gomez St., San Juan, Metro Manila","Tel No. (02) 727-0431, Fax No. (02) 724-0266","Guihing, Hagonoy, Davao Del Sur","Tel No. (082) 234-0796, Fax No. (082) 300-2447","Mr. Jonathan T. Gotianun-President, Mr. Constancio B. Galinato-Acting Resident Manager"
