classification,subclassification,region,project,2010,2011,2012,2013,2014
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement and Installation of Lighting Fixtures of Lighthouses in the 1st District of Northern Samar - San Jose, San Jose",0,0,2000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement and Installation of Lighting Fixtures of Lighthouses in the 1st District of Northern Samar - Pilar, San Antonio",0,0,2000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Improvement and Installation of Lighting Fixtures of Lighthouses in the 1st District of Northern Samar - Allen, Allen",0,0,2000,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Rehabilitation of Lighthouses in Eastern Samar - Bay-Bay, Borongan",0,0,3750,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Rehabilitation of Lighthouses in Eastern Samar - Divinubo Island, Divinubo",0,0,3750,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Rehabilitation of Lighthouses in Eastern Samar - Tugnug, Hernani",0,0,3750,0,0
Maritime,Lighthouses,VIII (Eastern Visayas),"Rehabilitation of Lighthouses in Eastern Samar - Guiuan, Guiuan",0,0,3750,0,0
Maritime,Lighthouses,XI (Davao Region),"Construction of Lighthouses: Davao: Peñaplata, Island Garden of Samal",0,1000,0,0,0
Maritime,Lighthouses,XIII (Caraga),"Construction of Lighthouse in Sta. Monica, Siargao",0,3000,0,0,0
Maritime,Lighthouses,XIII (Caraga),"Construction of Lighthouse in Barobo, Surigao del Sur",0,3000,0,0,0
Maritime,Lighthouses,XIII (Caraga),Completion of Construction of Lighthouses along Del Carmen Channel,0,0,5000,0,0
Maritime,Lighthouses,XIII (Caraga),"Installation of Lanterns and other Lighting Fixtures in the Lighthouse in Barobo, Surigao del Sur",0,0,1000,0,0
Maritime,Lighthouses,XIII (Caraga),"Installation of Lanterns and other Lighting Fixtures in the Lighthouse in Sta. Monica, Siargao",0,0,1000,0,0
Maritime,Lighthouses,Nationwide,Construction/Repair of Ports,205000,0,0,0,0
Maritime,Ports,I (Ilocos Region),"Construction of San Esteban Port (San Esteban, Ilocos Sur)",0,0,0,0,5000
Maritime,Ports,I (Ilocos Region),"Construction/Development of Salomague Port (Cabugao, Ilocos Sur)",0,0,10000,0,0
Maritime,Ports,I (Ilocos Region),"Pandan Port (Caoayan, Ilocos Sur)",0,0,5000,0,0
Maritime,Ports,II (Cagayn Valley),"Development of Nakanmuan Port (Sabtang, Batanes)",0,0,0,0,35000
Maritime,Ports,II (Cagayn Valley),"Improvement of San Vicente Port (Centro, Sabtang, Batanes)",0,0,0,0,20000
Maritime,Ports,II (Cagayn Valley),"Improvement/Rehabilitation of Sabtang (Centro) Port (Sabtang, Batanes)",0,0,10000,0,0
Maritime,Ports,II (Cagayn Valley),"Development of Duvek Bay Port (Summanga, Sabtang, Batanes)",0,0,0,0,60000
Maritime,Ports,II (Cagayn Valley),"Development of Paganaman Port (Itbayat, Batanes)",0,0,0,0,20000
Maritime,Ports,II (Cagayn Valley),"Port of Calayan (Nagsidel, Calayan, Cagayan)",0,0,0,0,20000
Maritime,Ports,II (Cagayn Valley),"Development/Rehabilitation of Ports in Valanga and Ah-Tak (Itbayat, Batanes)",0,0,30000,0,0
Maritime,Ports,II (Cagayn Valley),"Improvement/Rehabilitation of Mahatao Shelter Port (Mahatao, Batanes)",0,0,10000,0,0
Maritime,Ports,III (Central Luzon),"Pulilan, Plaridel River Port",0,0,0,0,6000
Maritime,Ports,IV-A (CALABARZON),"Improvement/Extension of Tingloy Port (Tingloy, Batangas)",0,0,3000,0,0
Maritime,Ports,IV-A (CALABARZON),"Continuation of rehabilitation of pierhead of Tingloy Port (Tingloy, Batangas)",0,0,0,0,10000
Maritime,Ports,IV-A (CALABARZON),"Construction of Gumaca Retaining Wall (Brgy. Tabing Dagat, Gumaca, Quezon)",0,0,5000,0,0
Maritime,Ports,IV-A (CALABARZON),"Rehabilitation of Mauban Port (Mauban, Quezon)",0,0,5000,0,0
Maritime,Ports,IV-A (CALABARZON),"Construction of Various Barangay Wharves in Cardona, Rizal: Brgy. Dalig; Sitio Maliya, Brgy. Sampad",0,0,5000,0,0
Maritime,Ports,IV-A (CALABARZON),Development of Quezon Port,0,0,0,0,40000
Maritime,Ports,IV-B (MIMAROPA),"Rehabilitation of Bansud Port (Bansud, Oriental Mindoro)",0,0,5000,0,0
Maritime,Ports,IV-B (MIMAROPA),"Development/Improvement of Alcantara Port (Alcantara, Romblon)",0,0,5000,0,0
Maritime,Ports,IV-B (MIMAROPA),"Calatrava Port (Calatrava, Romblon)",0,0,5000,0,0
Maritime,Ports,IV-B (MIMAROPA),"Construction of Ports in Palawan: Kalayaan Wharf/MARINA Project, Brgy. Pag-asa, Kalayaan; Brgy. Poblacion and Brgy. Teresita, Dumaran",0,0,5000,0,0
Maritime,Ports,IV-B (MIMAROPA),"Construction/Improvement of Vital and Critical Structure and Support Facilities for Lubang Port, Lubang, Occidental Mindoro",0,0,5000,0,0
Maritime,Ports,IV-B (MIMAROPA),"Extension of Sta. Fe Port Causeway (Sta. Fe, Romblon)",0,0,0,0,15000
Maritime,Ports,IV-B (MIMAROPA),"Gasan Port, Marinduque",0,0,0,0,25000
Maritime,Ports,IV-B (MIMAROPA),"Upgrading of Azagra Feeder Port (Azagra, San Fernando, Romblon)",0,0,0,15000,0
Maritime,Ports,V (Bicol Region),Development of Prieto Diaz Port (Sorsogon),0,0,0,0,10000
Maritime,Ports,V (Bicol Region),"Construction of Mini-Wharf Tarahid (San Pedro, Panganiban, Catanduanes)",0,0,0,0,10000
Maritime,Ports,V (Bicol Region),"Gaba Port (Rapu-Rapu, Albay)",0,0,0,0,20000
Maritime,Ports,V (Bicol Region),Construction of Mandaon Port (Masbate),0,0,0,0,90000
Maritime,Ports,V (Bicol Region),Rehabilitation/Development of Dimasalang Seaport Project (Masbate),0,0,0,0,30000
Maritime,Ports,V (Bicol Region),"New Construction of Vinzons Port (Calaguas Island, Camarines Norte)",0,0,0,50000,0
Maritime,Ports,V (Bicol Region),"Development of Mercedes Port (Mercedes, Camarines Norte)",0,0,0,7500,0
Maritime,Ports,V (Bicol Region),"Development of Sabang Port (Sabang, Camarines Sur)",0,0,0,15000,0
Maritime,Ports,V (Bicol Region),"Development of San Vicente Port (San Vicente, Caramoan, Camarines Sur)",0,0,0,15000,0
Maritime,Ports,V (Bicol Region),"San Vicente Port Extension of Causeway (Caramoan, Camarines Sur)",0,0,5000,0,0
Maritime,Ports,V (Bicol Region),"Development of Pilar Port (Pilar, Sorsogon)",0,0,0,15000,0
Maritime,Ports,V (Bicol Region),"Expansion/Improvement of Municipal Port (Pio Duran, Albay)",0,0,5000,0,0
Maritime,Ports,V (Bicol Region),"Rehabilitation of San Andres Port (San Andres, Catanduanes)",0,0,5000,0,0
Maritime,Ports,V (Bicol Region),"Rehabilitation of Virac Port (Virac, Catanduanes)",0,0,5000,0,0
Maritime,Ports,V (Bicol Region),"Construction of Shore Protection Ay Sitio Point, Brgy. Patitinan, Sagnay, Camarines Sur",0,0,2000,0,0
Maritime,Ports,V (Bicol Region),"Expansion of Castilla Port (Castilla, Sorsogon)",0,0,5000,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Salingogon, Minalabac",0,0,500,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Gñaran, San Fernando",0,0,500,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Dalupaon, Pasacao",0,0,500,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Patong, Pamplona",0,0,500,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Cagbibi, Pamplona",0,0,500,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Cagbunga, Pamplona",0,0,500,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Milaor",0,0,500,0,0
Maritime,Ports,V (Bicol Region),"Improvement of Ports for 1st District, Camarines Sur: Bahao, Libmanan",0,0,500,0,0
Maritime,Ports,VI (Western Visayas),Miagao Feeder Port Development (Iloilo),0,0,0,0,10000
Maritime,Ports,VI (Western Visayas),Extension of Old Sagay Port (Negros Occidental),0,0,0,0,10000
Maritime,Ports,VI (Western Visayas),Caticlan Jetty Port (APEC Hosting),0,0,0,0,207000
Maritime,Ports,VI (Western Visayas),"Development of Cagban Jetty Port (Cagban, Malay, Aklan)",0,0,0,25000,0
Maritime,Ports,VI (Western Visayas),Cagban Jetty Port (APEC Hosting),0,0,0,0,41500
Maritime,Ports,VI (Western Visayas),Estancia Port Development (Iloilo),0,0,0,0,10000
Maritime,Ports,VI (Western Visayas),"Extension/Construction of Roro Ramp of Guimbal Port (Guimbal, Iloilo)",0,0,2000,0,0
Maritime,Ports,VI (Western Visayas),"Construction of Balaring Port (Balaring, Ivisan, Capiz)",0,0,2000,0,0
Maritime,Ports,VI (Western Visayas),"Construction of Fisherman's Wharf in Brgy. 2 Pana-on, Mariculum Port, Sipalay, Negros Occidental",0,0,2000,0,0
Maritime,Ports,VII (Central Visayas),"Completion of the Tanjay City Public Port (Tanjay City, Negros Oriental)",0,0,2000,0,10000
Maritime,Ports,VII (Central Visayas),"Improvement of Duero Seaport (Madua Sur, Duero, Bohol)",0,0,0,0,10000
Maritime,Ports,VII (Central Visayas),"Completion of Pangangan Causeway (Calape, Bohol)",0,0,0,0,25000
Maritime,Ports,VII (Central Visayas),"Rehabilitation of Siaton Fishing Port (Siaton, Negros Oriental)",0,0,2000,0,0
Maritime,Ports,VII (Central Visayas),Continuation of the extension of Siaton Roro Port (Negros Oriental),0,0,0,0,20000
Maritime,Ports,VII (Central Visayas),"Development of Sta. Fe Port (Sta. Fe, Bantayan Island, Cebu)",0,0,0,20000,0
Maritime,Ports,VII (Central Visayas),"Rehabilitation of Cantupa Port (La Libertad, Negros Oriental)",0,0,2000,0,0
Maritime,Ports,VII (Central Visayas),"Rehabilitation of Guihulngan Port (Guihulngan, Negros Oriental)",0,0,2000,0,0
Maritime,Ports,VII (Central Visayas),"Improvement/Rehabilitation of Various Ports in Bohol (Package I) 1. Maribojoc Port, Maribojoc 2. Baclayon Port, Baclayon 3. Albuquerque Port, Albuquerque",0,0,6000,0,0
Maritime,Ports,VII (Central Visayas),"Improvement/Rehabilitation of Clarin Port (Clarin, Bohol)",0,0,5000,0,0
Maritime,Ports,VII (Central Visayas),"Expansion and Concreting of Bien Unido Port (Bien Unido, Bohol)",0,0,5000,0,0
Maritime,Ports,VII (Central Visayas),"Development of Dimiao Port (Dimiao, Bohol)",0,0,5000,0,0
Maritime,Ports,VII (Central Visayas),"Rehabilitation/Improvement of Lazi Port (Lazi, Siquijor)",0,0,5000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Cabucgayan Seaport Construction (Sitio Likay, Brgy. Bunga, Cabucgayan, Biliran)",0,0,0,0,10000
Maritime,Ports,VIII (Eastern Visayas),Development of San Isidro Port (Northern Samar),0,0,0,0,20000
Maritime,Ports,VIII (Eastern Visayas),"Development of Kawayan Seaport (Kawayan, Biliran)",0,0,0,0,10000
Maritime,Ports,VIII (Eastern Visayas),"Rehabilitation of Marabut Wharf (Brgy. Rono, Marabut, Samar)",0,0,0,0,5000
Maritime,Ports,VIII (Eastern Visayas),"Construction of Brgy. Canwarak Wharf (Zumarraga, Samar)",0,0,0,0,10000
Maritime,Ports,VIII (Eastern Visayas),"Construction of Brgy. Lumalantang Wharf (Zumarraga, Samar)",0,0,0,0,10000
Maritime,Ports,VIII (Eastern Visayas),"Construction of Brgy. Iquiran Wharf (Daram, Samar)",0,0,0,0,10000
Maritime,Ports,VIII (Eastern Visayas),"Construction of Brgy. Burgos Wharf (Daram, Samar)",0,0,0,0,10000
Maritime,Ports,VIII (Eastern Visayas),"Construction of Can-Avid Riverlanding (Can-Avid, Eastern Samar)",0,0,0,0,10000
Maritime,Ports,VIII (Eastern Visayas),"Development of Ormoc Port (Ormoc City, Leyte)",0,0,0,55000,0
Maritime,Ports,VIII (Eastern Visayas),"Construction of Brgy. Wharves, Borongan, Eastern Samar 1. Punta Maria Fishing Port, Brgy. Punta Maria 2. San Pablo Wharf/Causeway Brgy. San Pablo 3. Bato Multipurpose Pier",0,0,5000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Rehabilitation and Expansion of the Dolores Port (Dolores, Eastern Samar)",0,0,5000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Rehabilitation and Expansion of the Lawaan Port with Breakwater (Lawaan, Eastern Samar)",0,0,5000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Construction of Various River Landings with Waiting Shed Llorente, Eastern Samar: Brgy. Waso",0,0,2000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Construction of Various River Landings with Waiting Shed Llorente, Eastern Samar: Brgy. Barobo",0,0,2000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Construction of Various River Landings with Waiting Shed Maslog, Eastern Samar: Brgy. Bulawan",0,0,2000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Construction of Various River Landings with Waiting Shed Maslog, Eastern Samar: Brgy. Maputi",0,0,2000,0,0
