particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
     Office of the Vice-President,"3,308","2,669","3,294",0,"5,029","9,933",0,"5,402",659,160,327,"9,000",320,"9,327",0,0,"16,500",0,202,0,0,0,0,"66,130"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"331,014","71,966","105,817","3,404","383,471","136,307",40,"750,394","90,258","331,646","8,682",0,"164,681","943,883","34,248","57,385","35,686",3,"2,495","254,635",173,0,14,"3,706,202"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"319,825","67,995","104,590","2,723","375,478","126,017",40,"738,401","85,153","262,675","6,477",0,"164,256","929,764","33,755","57,385","34,461",3,"1,687","231,488",173,0,14,"3,542,360"
          National Commission on Indigenous Peoples,"11,189","3,971","1,227",681,"7,993","10,290",0,"11,993","5,105","68,971","2,205",0,425,"14,119",493,0,"1,225",0,808,"23,147",0,0,0,"163,842"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"102,783","45,345","31,993","3,664","118,724","31,127",206,"3,337","102,245","29,328","5,482",0,"13,812","188,445","2,884","1,476","4,162",3,"1,851",0,339,"1,228",210,"688,644"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"67,210","30,233","18,194","3,249","74,238","13,428",206,272,"78,044","20,426","3,318",0,"8,653","107,400",794,752,"2,534",1,"1,326",0,162,"1,216",0,"431,656"
          Agricultural Credit Policy Council,235,804,134,0,"1,186",920,0,0,"1,265",396,80,0,37,"1,106",84,0,84,0,2,0,0,0,0,"6,333"
          Bureau of Fisheries and Aquatic Resources,"20,763","7,677","7,569",116,"25,240","9,147",0,0,"8,908","6,731","1,044",0,"2,380","53,804",187,442,767,0,287,0,14,12,0,"145,088"
          Bureau of Post-Harvest Research and Extension,"2,385",515,969,2,"2,158",79,0,0,"2,529",213,78,0,446,"3,441",283,0,0,0,48,0,25,0,0,"13,171"
          Cotton Development Administration,967,420,578,12,"1,578",100,0,0,542,109,46,0,125,"1,855",40,0,123,0,7,0,28,0,0,"6,530"
          Fertilizer and Pesticide Authority,"2,378",842,"1,629",12,"3,393",0,0,0,"1,853",20,107,0,227,"3,104",454,16,34,0,39,0,0,0,0,"14,108"
          Fiber Industry Development Authority,"5,489","2,229","1,295",267,"6,197","7,236",0,0,"4,378","1,058",501,0,635,"5,885",626,122,548,0,78,0,103,0,0,"36,647"
          Livestock Development Council,45,79,132,0,180,0,0,0,19,23,81,0,107,882,0,0,2,0,0,0,0,0,0,"1,550"
          National Agricultural and Fishery Council,835,"1,331",388,0,"1,391",1,0,"3,065","3,126",124,48,0,822,"6,927",171,99,0,0,0,0,7,0,210,"18,545"
          National Meat Inspection Service,"2,124",597,548,6,"1,035",40,0,0,"1,219",153,114,0,154,"2,846",153,33,0,2,50,0,0,0,0,"9,074"
          Philippine Carabao Center,352,618,557,0,"2,128",176,0,0,362,75,65,0,226,"1,195",92,12,70,0,14,0,0,0,0,"5,942"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"9,982","8,132","9,850",97,"20,414","5,385",0,0,"22,123","3,456","4,107",0,"1,835","50,628","6,417","3,110","10,868",0,457,0,44,199,0,"157,104"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"9,982","8,132","9,850",97,"20,414","5,385",0,0,"22,123","3,456","4,107",0,"1,835","50,628","6,417","3,110","10,868",0,457,0,44,199,0,"157,104"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"700,830","133,170","1,228,048","12,409","6,815,037","8,640",0,"3,438,723","596,018","1,565,449","11,517",53,"46,934","1,950,716","513,433","3,175","16,228",145,"9,451",84,"45,038",683,253,"17,096,034"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"699,482","131,962","1,225,639","12,403","6,805,584","7,340",0,"3,438,723","593,573","1,563,399","11,318",53,"46,725","1,938,056","512,174","3,081","15,501",145,"9,365",84,"45,009",683,253,"17,060,552"
          National Book Development Board,169,801,698,0,795,876,0,0,937,102,97,0,48,"4,239",878,0,657,0,35,0,12,0,0,"10,344"
          National Council for Children's Television,2,0,0,4,14,0,0,0,0,676,57,0,23,105,1,0,0,0,0,0,0,0,0,882
          Philippine High School for the Arts,"1,177",407,"1,711",2,"8,644",424,0,0,"1,508","1,272",45,0,138,"8,316",380,94,70,0,51,0,17,0,0,"24,256"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"129,461","75,923","142,095","6,856","719,890","9,846",477,"40,591","529,556","184,740","125,617",191,"65,445","427,095","19,713","3,563","41,416",0,"11,609",10,"8,763",382,"1,824","2,545,063"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"25,507","31,730","27,549",475,"300,491","5,626",0,"3,057","226,099","62,512","107,983",0,"36,521","153,868","13,181",818,"10,478",0,"4,054",0,840,53,0,"1,010,842"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,239,711,"1,964",52,"5,622",0,0,0,"8,743",586,80,0,86,254,41,100,0,0,75,0,0,0,0,"18,553"
               Marikina Polytechnic College,58,530,"1,572",0,"2,262",0,0,0,"3,835",264,56,0,56,340,0,36,17,0,0,0,7,53,0,"9,086"
               Philippine Normal University,"1,411","1,380",658,6,"11,345",85,0,0,"7,821","4,145",285,0,150,"13,720",95,130,0,0,180,0,75,0,0,"41,486"
               Philippine State College of Aeronautics,379,200,498,0,"3,624","1,044",0,0,406,242,80,0,"1,429",390,0,0,0,0,0,0,0,0,0,"8,292"
               Polytechnic University of the Philippines,"1,225","4,314","1,780",50,"16,487",266,0,0,"31,952","3,600",115,0,"1,103","20,294",0,0,"3,298",0,0,0,0,0,0,"84,484"
               Rizal Technological University,679,653,720,0,"1,928",70,0,6,"9,725",310,187,0,426,"5,698",42,50,446,0,88,0,84,0,0,"21,112"
               Technological University of the Philippines,"1,304",899,"1,922",0,"9,336",156,0,876,"20,385",755,397,0,672,"21,653",18,4,"2,863",0,112,0,204,0,0,"61,556"
               University of the Philippines System,"20,212","23,043","18,435",367,"249,887","4,005",0,"2,175","143,232","52,610","106,783",0,"32,599","91,519","12,985",498,"3,854",0,"3,599",0,470,0,0,"766,273"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"5,944","4,463","15,869",17,"37,718",94,0,"1,199","30,505","3,503",465,0,"1,478","20,277",562,107,"3,929",0,686,0,448,20,0,"127,284"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,230","2,012","5,425",0,"13,907",0,0,0,"9,744",765,38,0,574,"8,078",0,0,957,0,30,0,0,0,0,"42,760"
               Ilocos Sur Polytechnic State College,817,138,628,0,"2,252",0,0,0,800,60,205,0,79,851,0,0,0,0,0,0,0,0,0,"5,830"
               Mariano Marcos State University,898,598,"2,387",11,"7,825",10,0,"1,199","6,693","1,442",30,0,277,"5,690",180,10,"1,781",0,138,0,65,0,0,"29,234"
               Pangasinan State University,"1,741","1,053","5,748",5,"5,634",9,0,0,"7,022",596,31,0,208,"4,589",3,10,621,0,107,0,101,20,0,"27,498"
               University of Northern Philippines,"1,258",662,"1,681",1,"8,100",75,0,0,"6,246",640,161,0,340,"1,069",379,87,570,0,411,0,282,0,0,"21,962"
,,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"4,790","1,496","4,055",235,"23,221",201,0,236,"6,995","9,663",414,0,"4,391","12,054","1,168",63,409,0,48,0,958,131,0,"70,528"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,814,297,701,0,"2,505",0,0,0,418,81,46,0,356,481,28,0,80,0,30,0,80,131,0,"6,048"
               Apayao State College,243,54,283,41,"1,642",0,0,0,364,245,62,0,99,"1,354",12,2,205,0,0,0,73,0,0,"4,679"
               Benguet State University,"1,188",699,"1,549",47,"6,300",196,0,0,"4,905","1,035",85,0,0,"8,921","1,000",50,0,0,0,0,710,0,0,"26,685"
               Ifugao State College of Agriculture and Forestry,901,295,532,0,"5,089",0,0,200,688,410,68,0,0,330,0,0,0,0,0,0,0,0,0,"8,513"
               Kalinga-Apayao State College,436,84,335,147,"2,548",5,0,0,375,570,82,0,"1,265",90,128,11,124,0,18,0,95,0,0,"6,313"
               Mountain Province State Polytechnic College,"1,208",67,655,0,"5,137",0,0,36,245,"7,322",71,0,"2,671",878,0,0,0,0,0,0,0,0,0,"18,290"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"6,427","3,845","4,922",86,"23,579",301,0,0,"12,652","3,473",614,0,"1,275","18,990",510,220,"2,825",0,329,0,717,45,0,"80,810"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),154,21,78,0,371,0,0,0,146,57,0,0,10,40,16,0,0,0,3,0,0,0,0,896
               Cagayan State University,"1,700",960,"2,883",75,"11,208",0,0,0,"3,335",971,115,0,195,"7,164",95,27,"1,167",0,103,0,138,0,0,"30,136"
               Isabela State University,"2,356","1,868",818,11,"4,421",179,0,0,"4,928","1,175",349,0,610,"7,207",103,83,782,0,213,0,413,45,0,"25,561"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"2,057",901,"1,057",0,"6,408",120,0,0,"3,193","1,216",87,0,366,"3,107",278,108,872,0,0,0,116,0,0,"19,886"
               Quirino State College,160,95,86,0,"1,171",2,0,0,"1,050",54,63,0,94,"1,472",18,2,4,0,10,0,50,0,0,"4,331"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"7,734","4,085","13,354",737,"68,051",481,0,266,"59,839","29,062","3,128",0,"2,469","27,473",997,610,"1,760",0,650,0,"1,253",61,2,"222,012"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,485,147,121,24,"1,071",152,0,0,767,"2,858",95,0,122,"1,094",54,9,189,0,68,0,162,0,2,"7,420"
               Bataan Peninsula State University,"1,175",631,"1,813",711,"5,104",92,0,0,"4,309","1,226",145,0,15,"1,121",0,20,0,0,137,0,0,0,0,"16,499"
               Bulacan Agricultural State College,149,107,425,0,618,0,0,0,806,183,101,0,41,539,10,42,583,0,0,0,16,0,0,"3,620"
               Bulacan State University,921,952,"1,024",0,"4,121",0,0,0,"15,625","5,422","2,045",0,118,"6,751",0,36,0,0,0,0,92,0,0,"37,107"
               Central Luzon State University,"1,332",478,"1,512",0,"18,998",103,0,0,"10,638","1,280",0,0,0,220,0,0,115,0,0,0,68,0,0,"34,744"
               Don Honorio Ventura College of Arts and Trades,455,179,873,0,"2,552",0,0,236,"1,439",302,98,0,110,"1,759",0,0,0,0,84,0,0,0,0,"8,087"
               Nueva Ecija University of Science and Technology,341,146,"3,128",0,"6,413",19,0,0,"4,316","1,629",92,0,367,"2,104",5,378,0,0,0,0,140,0,0,"19,078"
               Pampanga Agricultural College,137,123,933,0,"2,917",0,0,0,"2,603",177,79,0,509,808,299,25,50,0,0,0,80,61,0,"8,801"
               Philippine Merchant Marine Academy,"1,017",587,824,2,"17,334",0,0,0,"9,041",207,80,0,672,"5,523",198,45,96,0,165,0,113,0,0,"35,904"
               Ramon Magsaysay Technological University,475,141,926,0,"4,421",115,0,0,"1,098","14,172",180,0,72,553,9,9,95,0,0,0,336,0,0,"22,602"
               Tarlac College of Agriculture,363,190,"1,613",0,"2,717",0,0,30,"2,163",183,103,0,178,175,40,35,204,0,100,0,104,0,0,"8,198"
               Tarlac State University,884,404,162,0,"1,785",0,0,0,"7,034","1,423",110,0,265,"6,826",382,11,428,0,96,0,142,0,0,"19,952"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"6,590","4,495","8,377",134,"27,271",73,0,"4,150","19,662","4,400",624,0,971,"19,023",523,254,703,0,664,0,340,0,0,"98,254"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,862,"1,215","1,520",7,"8,623",4,0,"2,751","3,085",310,85,0,187,"8,644",15,20,48,0,276,0,30,0,0,"27,682"
               Cavite State University,"1,843",887,"1,279",38,"4,525",45,0,"1,232","4,598","2,179",113,0,161,"2,719",214,54,58,0,93,0,238,0,0,"20,276"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),965,943,"1,155",42,"3,702",0,0,0,"2,764",417,98,0,476,"2,986",63,29,103,0,184,0,72,0,0,"13,999"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"1,867",554,"2,015",41,"4,828",24,0,76,"2,765",614,243,0,65,"3,297",198,129,494,0,84,0,0,0,0,"17,294"
               University of Rizal System,"1,053",896,"2,408",6,"5,593",0,0,91,"6,450",880,85,0,82,"1,377",33,22,0,0,27,0,0,0,0,"19,003"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"5,960","2,388","4,845",169,"14,383",511,20,0,"11,164","11,195",396,0,"1,754","8,133",161,179,"1,067",0,78,0,463,0,0,"62,866"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,758,468,267,0,"1,751",78,0,0,"1,717",601,99,0,98,"1,060",50,4,160,0,39,0,163,0,0,"7,313"
               Mindoro State College of Agriculture and Technology,783,196,0,0,"1,713",0,0,0,"1,480",181,4,0,100,34,0,0,0,0,0,0,0,0,0,"4,491"
               Occidental Mindoro National College,628,70,741,33,"2,280",72,0,0,566,"5,914",32,0,173,"1,940",0,0,0,0,0,0,2,0,0,"12,451"
               Palawan State University,"1,160","1,073","1,040",66,"3,877",17,0,0,"4,926",40,133,0,932,"2,592",3,158,566,0,34,0,113,0,0,"16,730"
               Romblon State College,"1,454",262,"1,079",70,"1,412",140,20,0,952,"1,284",51,0,73,932,108,17,341,0,5,0,185,0,0,"8,385"
               Western Philippines University,"1,177",319,"1,718",0,"3,350",204,0,0,"1,523","3,175",77,0,378,"1,575",0,0,0,0,0,0,0,0,0,"13,496"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"7,892","2,606","3,792","1,792","30,103",265,0,"3,740","19,879","14,873","1,116",0,"1,578","25,588",562,130,"1,992",0,768,0,492,0,0,"117,168"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"1,827",881,576,"1,013","12,767",174,0,"3,409","6,981","1,317",347,0,736,"10,709",316,83,933,0,364,0,113,0,0,"42,546"
               Camarines Norte State College,"1,032",544,0,370,"2,160",0,0,0,"1,630",871,209,0,209,"2,137",136,8,370,0,1,0,82,0,0,"9,759"
               Camarines Sur Polytechnic Colleges,470,193,139,0,"3,862",18,0,0,"1,917",312,68,0,65,219,0,0,0,0,0,0,0,0,0,"7,263"
               Camarines Sur State Agricultural College,960,268,"1,435",351,"5,218",0,0,20,"3,409",981,100,0,204,"2,978",18,32,351,0,133,0,84,0,0,"16,542"
               Catanduanes State Colleges,"1,130",89,108,38,"1,259",0,0,0,"1,957","4,993",101,0,32,"2,064",34,0,62,0,232,0,67,0,0,"12,166"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"1,002",266,916,19,"1,513",21,0,0,"1,040",227,88,0,46,122,24,1,3,0,0,0,80,0,0,"5,368"
               Partido State University,802,193,298,1,"1,464",7,0,0,"1,949","5,889",92,0,166,"4,745",34,6,273,0,38,0,66,0,0,"16,023"
               Sorsogon State College,669,172,320,0,"1,860",45,0,311,996,283,111,0,120,"2,614",0,0,0,0,0,0,0,0,0,"7,501"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"10,972","4,117","17,740",842,"46,181",39,0,"8,264","26,251","4,003","1,609",0,"2,128","38,276",374,350,"1,358",0,214,0,381,52,"1,567","164,718"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"1,913",444,567,0,"2,761",22,0,0,"1,380",358,72,0,389,"1,917",76,49,607,0,0,0,91,0,0,"10,646"
               Capiz State University,"1,241",474,"2,543",22,"6,155",0,0,0,"2,473",38,80,0,89,"2,605",18,68,89,0,2,0,90,0,0,"15,987"
               Carlos C. Hilado Memorial State College,589,209,846,0,"3,248",0,0,0,"1,790",157,369,0,87,"1,101",0,21,0,0,127,0,37,0,"1,543","10,124"
               Guimaras State College,90,95,2,0,199,0,0,0,349,82,87,0,18,637,0,0,0,0,0,0,0,0,0,"1,559"
               Iloilo State College of Fisheries,923,252,829,4,"1,478",9,0,0,"1,630",247,333,0,182,"7,474",144,22,298,0,45,0,34,0,0,"13,904"
               Negros State College of Agriculture,813,305,606,1,"1,989",1,0,0,560,648,72,0,103,686,10,8,364,0,0,0,87,0,0,"6,253"
               Northern Iloilo Polytechnic State College,"1,978",468,"2,421",0,"3,383",0,0,0,"2,380",384,212,0,137,"2,313",0,137,0,0,0,0,0,0,0,"13,813"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,180,200,920,0,538,0,0,0,300,217,98,0,30,470,0,0,0,0,0,0,0,0,0,"2,953"
               Polytechnic State College of Antique,793,66,"2,111",396,"2,762",0,0,0,920,"1,212",98,0,178,501,86,24,0,0,19,0,0,0,0,"9,166"
               Western Visayas College of Science and Technology,"1,148",393,"5,420",415,"6,567",0,0,0,"3,185",296,98,0,115,"3,838",0,0,0,0,0,0,0,0,0,"21,475"
               West Visayas State University,"1,304","1,211","1,475",4,"17,101",7,0,"8,264","11,284",364,90,0,800,"16,734",40,21,0,0,21,0,42,52,24,"58,838"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"4,760","1,408","2,496",256,"16,962",5,386,"1,554","12,268","5,558",311,0,752,"3,535",315,169,"8,096",0,815,0,231,0,0,"59,877"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,49,198,35,0,499,0,0,0,"1,725",0,85,0,57,896,0,8,"7,331",0,49,0,16,0,0,"10,948"
               Cebu State College of Science and Technology,"2,788",513,344,9,"8,120",0,386,13,"2,786","4,123",50,0,314,0,7,0,457,0,78,0,76,0,0,"20,064"
               Central Visayas State College of,,,,,,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology",983,451,"1,024",160,"4,987",0,0,0,"2,194",270,68,0,95,671,175,160,165,0,255,0,35,0,0,"11,693"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),820,198,923,51,"2,469",5,0,"1,541","4,763","1,105",40,0,191,"1,888",133,1,107,0,0,0,48,0,0,"14,283"
               Siquijor State College,120,48,170,36,887,0,0,0,800,60,68,0,95,80,0,0,36,0,433,0,56,0,0,"2,889"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"11,115","5,178","10,826",507,"41,398",377,71,42,"18,056","4,921","1,098",0,"2,934","30,937",200,150,"3,556",0,"1,110",10,"1,261",0,0,"133,747"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,596",695,"1,346",0,"2,814",37,0,0,901,689,118,0,169,"1,559",77,27,43,0,25,0,268,0,0,"10,364"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,301",710,"1,841",0,"3,722",0,0,0,"2,620","1,055",90,0,632,"6,475",0,0,"1,221",0,56,0,133,0,0,"20,856"
               Leyte Normal University,595,384,543,0,"3,652",0,0,0,"2,965",337,110,0,503,"6,256",0,0,0,0,0,0,0,0,0,"15,345"
               Visayas State University (Leyte State University),"1,686","1,283","2,157",22,"12,982",3,0,0,"3,844","1,031",115,0,495,"5,336",1,18,388,0,190,0,40,0,0,"29,591"
               Naval Institute of Technology,768,166,509,1,"1,645",25,0,17,421,59,94,0,86,"2,696",0,0,151,0,0,0,0,0,0,"6,638"
               Palompon Institute of Technology,636,158,644,223,"1,850",178,0,0,508,216,110,0,179,553,9,26,266,0,11,10,76,0,0,"5,653"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,089",255,"1,117",42,"2,830",11,0,0,"1,722",353,79,0,377,"2,990",18,5,0,0,1,0,85,0,0,"10,974"
               Samar State College of Agriculture and Forestry,290,45,227,7,396,1,0,0,259,98,94,0,45,166,11,25,29,0,0,0,87,0,0,"1,780"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),576,331,"1,284",35,"3,742",43,71,0,"1,700",459,110,0,65,"1,881",2,11,0,0,163,0,84,0,0,"10,557"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,475,371,301,39,"3,443",20,0,25,"2,000",150,93,0,75,556,0,2,0,0,606,0,195,0,0,"8,351"
               University of Eastern Philippines,"1,103",780,857,138,"4,322",59,0,0,"1,116",474,85,0,308,"2,469",82,36,"1,458",0,58,0,293,0,0,"13,638"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,"9,262","2,659","5,266",189,"19,907",355,0,766,"15,918","9,028","1,088",0,"2,118","15,542",408,112,383,0,897,0,213,0,0,"84,111"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Basilan State College,766,203,338,0,"1,339",0,0,0,876,"5,312",78,0,135,715,0,0,0,0,0,0,0,0,0,"9,762"
               J. H. Cerilles State College,773,131,242,39,"1,407",0,0,0,258,340,30,0,47,338,46,21,209,0,11,0,51,0,0,"3,943"
               Jose Rizal Memorial State College,"1,153",273,882,40,"2,225",0,0,0,"2,550",278,414,0,275,292,8,14,78,0,0,0,76,0,0,"8,558"
               MSU-Tawi-Tawi College of Technology and Oceanography,"1,236",206,"1,917",0,"2,460",0,0,466,"1,722",150,85,0,100,"4,827",0,0,0,0,100,0,0,0,0,"13,269"
               Sulu State College,830,80,310,0,814,0,0,0,500,90,68,0,0,0,300,0,0,0,156,0,0,0,0,"3,148"
               Tawi-Tawi Regional Agricultural College,892,200,200,90,"1,661",68,0,300,400,237,68,0,22,0,0,0,0,0,472,0,0,0,0,"4,610"
