roman,particulars,amt_a,amt_b,amt_c,amt_d,sw1,sw_title
,               035  Buildings and Structures Outlay,8472219,18836097,19849728,21009900,,
,"               036  Office Equipment, Furniture and Fixtures",4944178,8878682,7755374,8713821,,
,               037  Work Animals Outlay,6047,1963,1963,175,,
,               038  Transportation Equipment,1380911,5356641,5358532,4755290,,
,               040  Machineries and Equipment,8084841,10237418,10361416,10828015,,
,               041  Public Infrastructures,99936131,105939479,105939479,130483029,,
,               042  Reforestation Projects,44218,0,102591,2002112,1,
,,,,,,,
,TOTAL CAPITAL OUTLAYS,147948455,160530113,160530113,191961763,1,
,,,,,,,
III.,NET LENDING,,,,,,
,,,,,,,
,               960  Net Lending,9750000,12000000,12000000,12157000,1,
,,,,,,,
,TOTAL NET LENDING,9750000,12000000,12000000,12157000,1,
,,,,,,,
,TOTAL OBLIGATIONS OF THE NATIONAL GOVERNMENT,1155508758,1226700000,1226700000,1415000000,1,
