particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"436,007","65,411","313,803","1,546","163,010","84,808",52,143,"105,118","9,914","18,340","650,000","71,881","298,883","4,200","7,222","69,613",103,"3,577",0,"1,597",0,0,"2,305,228"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"9,107","4,927","2,395",0,"6,299","11,200",0,"79,418",963,122,504,"6,000",429,"16,350",0,0,"9,600",0,375,0,0,0,0,"147,689"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"470,161","398,188","111,696","33,610","436,874","181,658",0,"4,147,175","452,288","101,164","14,748",0,"23,171","286,056","22,603","68,510","39,306",0,"3,506","145,381","32,701",0,0,"6,968,796"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"470,161","398,188","111,696","33,610","436,874","181,658",0,"4,147,175","452,288","101,164","14,748",0,"23,171","286,056","22,603","68,510","39,306",0,"3,506","145,381","32,701",0,0,"6,968,796"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"140,274","57,611","53,958","5,451","179,468","40,907","3,624","6,461","119,393","59,899","8,665",0,"19,562","186,003","12,224","10,440","13,882",74,"3,632",100,998,"3,006",71,"925,703"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"91,561","38,944","28,287","4,528","97,806","15,902","3,624","2,043","85,020","45,322","3,890",0,"9,699","98,017","8,193","8,866","10,518",74,"2,338",0,575,"2,770",71,"558,048"
          Agricultural Credit Policy Council,325,597,120,0,610,"2,640",0,0,"1,348",160,110,0,80,"1,065",84,0,86,0,50,0,0,0,0,"7,275"
          Bureau of Fisheries and Aquatic Resources,"15,575","8,462","10,910",175,"29,794","12,681",0,0,"11,997","7,548","3,344",0,"2,600","43,372",583,373,"1,437",0,443,0,15,236,0,"149,545"
          Bureau of Post-Harvest Research and Extension,"3,031","1,417","1,107",300,"14,733",756,0,38,"5,000","2,312",110,0,"2,000","9,578",361,15,10,0,150,100,30,0,0,"41,048"
          Cotton Development Administration,750,530,"1,500",40,"1,130",114,0,0,710,80,80,0,286,"1,210",50,0,80,0,30,0,40,0,0,"6,630"
          Fertilizer and Pesticide Authority,"3,775","1,141","1,488",27,"6,809",121,0,0,"2,339",416,110,0,615,"4,611",501,15,151,0,56,0,0,0,0,"22,175"
          Fiber Industry Development Authority,"18,355","2,925","1,427",291,"17,398","8,107",0,0,"4,508","2,048",768,0,937,"13,452","1,184",693,"1,078",0,100,0,130,0,0,"73,401"
          Livestock Development Council,684,563,476,0,"1,784",0,0,0,475,510,15,0,0,"3,884",218,5,190,0,10,0,198,0,0,"9,012"
          National Agricultural and Fishery Council,"3,707","1,372",693,0,"4,776",15,0,"4,380","3,119",700,40,0,861,"2,971",220,20,285,0,50,0,10,0,0,"23,219"
          National Meat Inspection Service,"1,600",610,"1,900",0,"2,500",300,0,0,"1,800",698,100,0,200,"4,600",350,50,0,0,80,0,0,0,0,"14,788"
          Philippine Carabao Center,911,"1,050","6,050",90,"2,128",271,0,0,"3,077",105,98,0,"2,284","3,243",480,403,47,0,325,0,0,0,0,"20,562"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"12,973","11,072","33,744",434,"27,701","5,958",0,0,"43,036","14,935","5,258",0,"2,443","92,471","8,414",614,"14,510",0,704,0,20,0,0,"274,287"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"12,973","11,072","33,744",434,"27,701","5,958",0,0,"43,036","14,935","5,258",0,"2,443","92,471","8,414",614,"14,510",0,704,0,20,0,0,"274,287"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"1,026,616","167,924","1,888,934","55,592","5,795,765","40,188",0,"6,253,887","1,311,612","2,910,615","20,960",0,"48,948","315,811","328,755","19,697","49,971",0,"28,833",0,35,"3,962",0,"20,268,105"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,020,777","164,776","1,879,184","55,572","5,777,121","38,233",0,"6,253,887","1,285,647","2,904,653","20,158",0,"48,285","277,376","326,389","19,147","48,267",0,"28,743",0,0,"3,962",0,"20,152,177"
          National Book Development Board,224,"1,307",500,0,875,"1,845",0,0,500,300,110,0,60,"3,915",900,150,"1,375",0,30,0,5,0,0,"12,096"
          National Council for Children's Television,"1,890",126,0,0,240,0,0,0,100,"3,485",500,0,0,"1,500",290,0,150,0,0,0,0,0,0,"8,281"
          National Museum,"2,500","1,215","6,200",0,"3,300",0,0,0,"23,285",450,98,0,135,"25,800",476,100,75,0,0,0,0,0,0,"63,634"
          Philippine High School for the Arts,"1,225",500,"3,050",20,"14,229",110,0,0,"2,080","1,727",94,0,468,"7,220",700,300,104,0,60,0,30,0,0,"31,917"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"154,269","90,059","225,131","10,468","757,962","11,424",0,"45,161","642,583","318,689","19,437",0,"46,710","438,306","25,531","5,861","33,053",22,"18,353",446,"9,854","1,183",220,"2,854,722"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"21,374","34,294","40,624",423,"276,510","5,188",0,"3,480","295,724","38,384","1,528",0,"14,487","148,884","12,528",698,"8,233",0,"3,844",0,650,0,0,"906,853"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,96,"1,000","3,000",0,"8,151",0,0,0,"9,671",778,98,0,200,367,100,50,0,0,70,0,75,0,0,"23,656"
               Marikina Polytechnic College,70,195,"2,025",0,"1,529",0,0,0,"2,082",48,82,0,71,204,0,0,20,0,0,0,0,0,0,"6,326"
               Philippine Normal University,"1,411","1,482","3,939",6,"13,021",85,0,0,"8,973","3,228",110,0,"1,700","14,929",95,130,0,0,180,0,75,0,0,"49,364"
               Philippine State College of Aeronautics,320,503,0,0,"3,942",826,0,0,450,500,98,0,"1,040",465,0,0,585,0,0,0,0,0,0,"8,729"
               Polytechnic University of the Philippines,"1,225","6,314","1,780",50,"19,746",266,0,0,"37,605","1,000",110,0,"4,103","23,658",0,0,"3,539",0,0,0,0,0,0,"99,396"
               Rizal Technological University,912,454,"1,450",0,"4,732",6,0,5,"6,060","1,000",110,0,600,"7,657",50,20,300,0,0,0,30,0,0,"23,386"
               Technological University of the Philippines,"1,990","1,520","2,550",0,"12,950",0,0,"1,800","24,373","1,520",110,0,750,"28,310",0,0,0,0,0,0,0,0,0,"75,873"
               University of the Philippines System,"15,350","22,826","25,880",367,"212,439","4,005",0,"1,675","206,510","30,310",810,0,"6,023","73,294","12,283",498,"3,789",0,"3,594",0,470,0,0,"620,123"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"7,816","5,149","20,890",187,"47,655",268,0,"1,933","33,547","5,613",560,0,"1,320","23,425","1,599",348,"4,651",0,"1,546",0,529,236,150,"157,422"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,350","2,251","4,253",0,"13,705",0,0,0,"9,126","1,572",98,0,305,"6,042",329,89,"1,519",0,333,0,0,0,0,"40,972"
               Ilocos Sur Polytechnic State College,900,150,684,0,"3,105",0,0,12,"1,638",435,60,0,120,925,0,0,0,0,0,0,0,0,0,"8,029"
               Mariano Marcos State University,"2,263",825,"7,232",136,"11,938",150,0,"1,277","9,251","1,730",162,0,550,"8,803",259,100,"1,976",0,460,0,230,150,150,"47,642"
               Pangasinan State University,"1,991","1,248","6,644",45,"7,594",43,0,644,"5,832","1,461",160,0,114,"6,478",500,100,760,0,400,0,100,86,0,"34,200"
               University of Northern Philippines,"1,312",675,"2,077",6,"11,313",75,0,0,"7,700",415,80,0,231,"1,177",511,59,396,0,353,0,199,0,0,"26,579"
,,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"6,112","1,816","10,495",817,"25,331",373,0,739,"9,108","8,683",599,0,294,"19,063","1,783",63,572,0,181,0,"1,070",0,0,"87,099"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,700,320,"1,020",0,"2,700",0,0,0,825,"1,594",110,0,160,"1,600",140,0,200,0,130,0,80,0,0,"9,579"
               Apayao State College,509,180,365,60,"1,242",170,0,200,365,250,68,0,110,772,245,0,67,0,30,0,0,0,0,"4,633"
               Benguet State University,"1,388",699,"6,049",47,"7,377",196,0,0,"4,905","4,255",122,0,0,"9,332","1,300",50,0,0,0,0,860,0,0,"36,580"
               Ifugao State College of Agriculture and Forestry,"1,497",331,764,378,"3,950",0,0,200,"1,216",410,68,0,0,852,0,0,0,0,0,0,0,0,0,"9,666"
               Kalinga-Apayao State College,518,101,985,332,"3,856",7,0,0,777,"1,274",121,0,24,315,98,13,305,0,21,0,130,0,0,"8,877"
               Mountain Province State Polytechnic College,"1,500",185,"1,312",0,"6,206",0,0,339,"1,020",900,110,0,0,"6,192",0,0,0,0,0,0,0,0,0,"17,764"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"7,993","5,061","10,442",46,"28,018",413,0,230,"15,087","30,680","1,587",0,"1,018","17,569","1,600",388,"4,640",0,462,50,722,0,20,"126,026"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),120,9,78,10,522,10,0,0,163,924,94,0,10,57,30,0,5,0,20,0,0,0,20,"2,072"
               Cagayan State University,"2,300","2,057","5,551",0,"11,850",125,0,230,"5,405","9,997",122,0,360,"7,250",370,250,"2,740",0,0,50,270,0,0,"48,927"
               Isabela State University,"3,046","1,338","3,223",36,"6,839",86,0,0,"5,499","17,630","1,115",0,198,"6,839","1,031",72,959,0,442,0,117,0,0,"48,470"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"2,217","1,497","1,380",0,"6,750",120,0,0,"3,520","1,233",162,0,377,"2,870",124,42,901,0,0,0,200,0,0,"21,393"
               Quirino State College,310,160,210,0,"2,057",72,0,0,500,896,94,0,73,553,45,24,35,0,0,0,135,0,0,"5,164"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"9,400","5,102","20,281",695,"72,306",931,0,180,"61,330","11,249","3,749",0,"3,905","29,590","1,395",875,"1,861",0,987,12,"1,835",661,0,"226,344"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,500,150,100,24,"1,318",171,0,50,700,170,76,0,250,"1,321",115,100,224,0,75,0,220,0,0,"5,564"
               Bataan Peninsula State University,"1,175",631,"3,839",515,"4,783",92,0,0,"4,250","3,026",142,0,15,"1,550",0,23,0,0,52,0,0,0,0,"20,093"
               Bulacan Agricultural State College,150,120,375,51,792,0,0,0,970,524,100,0,62,130,41,60,547,0,60,0,69,0,0,"4,051"
               Bulacan State University,964,985,"1,020",0,"5,934",0,0,0,"15,285",756,"2,659",0,"1,100","6,751",60,16,0,0,167,12,50,600,0,"36,359"
               Central Luzon State University,"1,300",798,"1,512",0,"16,703",103,0,0,"11,150","1,280",0,0,0,220,120,0,115,0,0,0,68,0,0,"33,369"
               Don Honorio Ventura College of Arts and Trades,500,150,"1,120",0,"3,000",0,0,120,"1,500","1,224",98,0,85,"1,590",0,0,0,0,95,0,0,0,0,"9,482"
               Nueva Ecija University of Science and Technology,929,272,"2,982",30,"6,782",410,0,0,"7,452","1,344",97,0,695,"2,363",185,415,25,0,0,0,500,0,0,"24,481"
               Pampanga Agricultural College,137,123,933,25,"2,917",0,0,0,"2,300",177,79,0,509,"1,615",299,25,50,0,18,0,80,61,0,"9,348"
               Philippine Merchant Marine Academy,835,740,"1,000",10,"21,091",0,0,0,"7,619",446,110,0,750,"4,468",115,75,75,0,185,0,150,0,0,"37,669"
               Ramon Magsaysay Technological University,"1,570",320,"3,475",40,"4,735",150,0,0,"1,855",460,180,0,120,"2,402",100,87,275,0,80,0,435,0,0,"16,284"
               Tarlac College of Agriculture,530,236,"3,370",0,"2,416",0,0,0,"1,610",372,98,0,69,280,80,49,100,0,120,0,113,0,0,"9,443"
               Tarlac State University,810,577,555,0,"1,835",5,0,10,"6,639","1,470",110,0,250,"6,900",280,25,450,0,135,0,150,0,0,"20,201"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"7,494","4,602","15,866",731,"34,514",407,0,"3,294","25,136","73,729",544,0,"1,498","18,881","1,070",227,0,0,"1,037",0,109,21,0,"189,160"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"1,080","1,270","3,250",138,"9,015",276,0,172,"6,542","29,038",110,0,295,"5,955",380,60,0,0,579,0,0,0,0,"58,160"
               Cavite State University,"1,499",607,"4,206",230,"7,438",100,0,0,"5,595","6,655",85,0,227,"3,169",350,30,0,0,160,0,0,0,0,"30,351"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"1,172","1,270","2,114",175,"4,814",0,0,0,"3,141","8,772",110,0,551,"4,584",79,21,0,0,109,0,109,21,0,"27,042"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"1,970",589,"4,498",45,"5,443",31,0,"1,122","3,178","14,974",117,0,143,"2,645",207,62,0,0,140,0,0,0,0,"35,164"
               University of Rizal System,"1,773",866,"1,798",143,"7,804",0,0,"2,000","6,680","14,290",122,0,282,"2,528",54,54,0,0,49,0,0,0,0,"38,443"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"7,389","2,799","10,754",214,"16,186",450,0,0,"12,862","11,218","1,072",0,"2,108","7,209","1,046",663,0,0,505,0,968,20,0,"75,463"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,810,500,383,0,"1,850",0,0,0,"1,000","1,375",88,0,400,"1,884",245,120,0,0,40,0,200,20,0,"8,915"
               Mindoro State College of Agriculture and Technology,453,262,"1,079",0,"1,600",146,0,0,"1,365","1,089",68,0,92,160,51,5,0,0,30,0,103,0,0,"6,503"
               Occidental Mindoro National College,687,240,685,40,"1,654",100,0,0,"1,000","5,448",82,0,150,"1,090",0,0,0,0,0,0,0,0,0,"11,176"
               Palawan State University,"2,411",960,"5,903",29,"5,899",0,0,0,"6,720","1,407",206,0,893,"1,240",750,538,0,0,435,0,190,0,0,"27,581"
               Romblon State College,"1,379",558,"1,250",145,"1,709",0,0,0,"1,315","1,010",548,0,191,"1,350",0,0,0,0,0,0,475,0,0,"9,930"
               Western Philippines University,"1,649",279,"1,454",0,"3,474",204,0,0,"1,462",889,80,0,382,"1,485",0,0,0,0,0,0,0,0,0,"11,358"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"11,775","3,640","8,150","2,117","33,935",657,0,"10,998","26,738","28,771","1,132",0,"2,665","34,993","1,277",362,"2,219",0,"1,471",0,570,0,25,"171,495"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"3,064","1,560","1,580",905,"13,000",180,0,"9,748","9,267","7,720",172,0,860,"14,560",570,110,905,0,"1,030",0,150,0,0,"65,381"
               Camarines Norte State College,"1,300",550,0,475,"2,170",0,0,0,"2,000",510,300,0,250,"2,100",280,50,475,0,10,0,125,0,25,"10,620"
               Camarines Sur Polytechnic Colleges,540,168,"1,182",25,"4,313",135,0,0,"2,395","11,189",110,0,224,"5,075",0,0,0,0,0,0,0,0,0,"25,356"
               Camarines Sur State Agricultural College,"1,808",334,"2,775",394,"4,883",0,0,115,"3,365",799,98,0,268,"2,946",162,131,394,0,81,0,50,0,0,"18,603"
               Catanduanes State Colleges,"2,025",230,396,70,"3,600",0,0,0,"2,740","5,024",122,0,150,"4,541",50,0,150,0,310,0,115,0,0,"19,523"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"1,223",371,947,100,"1,253",72,0,0,"1,000",420,110,0,133,159,165,65,15,0,0,0,64,0,0,"6,097"
               Partido State University,862,196,300,20,"1,250",150,0,0,"2,085","2,550",0,0,230,"2,157",50,6,280,0,40,0,66,0,0,"10,242"
               Sorsogon State College,953,231,970,128,"3,466",120,0,"1,135","3,886",559,220,0,550,"3,455",0,0,0,0,0,0,0,0,0,"15,673"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"13,061","5,728","23,358","1,806","58,924",20,0,75,"25,530","14,915","1,125",0,"2,270","26,903",856,550,769,0,"1,368",0,633,50,20,"177,961"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"2,150",848,"1,730",232,"4,518",0,0,0,"1,768","2,752",92,0,130,"2,450",120,196,232,0,222,0,259,0,0,"17,699"
               Capiz State University,"1,104",493,"3,425",314,"6,117",0,0,0,"2,950","5,996",80,0,285,"6,044",185,125,0,0,135,0,0,0,0,"27,253"
               Carlos C. Hilado Memorial State College,880,420,"1,250",0,"2,983",0,0,75,"2,830",430,100,0,295,"1,914",0,70,25,0,195,0,60,0,0,"11,527"
               Guimaras State College,120,115,196,51,292,0,0,0,305,90,80,0,35,700,31,20,60,0,51,0,72,0,0,"2,218"
               Iloilo State College of Fisheries,818,322,"1,414",75,"2,668",0,0,0,"1,649",602,80,0,145,"1,722",129,12,80,0,199,0,100,0,0,"10,015"
               Negros State College of Agriculture,884,347,721,2,"2,546",0,0,0,596,"1,206",110,0,108,637,16,7,372,0,0,0,92,0,0,"7,644"
               Northern Iloilo Polytechnic State College,"1,690",499,"2,695",0,"4,076",0,0,0,"1,685",604,178,0,33,"2,088",0,20,0,0,0,0,0,0,0,"13,568"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,350,300,"1,200",0,865,0,0,0,580,0,98,0,0,597,0,0,0,0,0,0,0,0,0,"3,990"
               Polytechnic State College of Antique,852,142,"1,792",182,"4,855",0,0,0,"1,974",924,112,0,200,"1,418",50,0,0,0,0,0,0,0,0,"12,501"
               Western Visayas College of Science and Technology,"1,520",550,"5,550",930,"7,125",0,0,0,"4,620",450,110,0,115,"5,057",0,0,0,0,0,0,0,0,0,"26,027"
               West Visayas State University,"2,693","1,692","3,385",20,"22,879",20,0,0,"6,573","1,861",85,0,924,"4,276",325,100,0,0,566,0,50,50,20,"45,519"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"15,303","2,223","4,040",697,"29,114",7,0,"5,359","16,567","51,319",692,0,970,"10,273",548,434,"2,674",0,"1,219",0,451,0,0,"141,890"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,200,320,200,0,"8,852",0,0,200,"4,200","19,142",110,0,360,"3,000",20,15,0,0,164,0,50,0,0,"36,833"
               Cebu State College of Science and Technology,"11,840",423,180,65,"7,442",0,0,100,"2,346","8,531",180,0,150,"1,227",50,0,"1,749",0,100,0,150,0,0,"34,533"
               Central Visayas State College of,,,,,,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology","2,258","1,211","2,481",385,"7,779",0,0,0,"5,081",874,220,0,245,"1,331",435,419,595,0,650,0,101,0,0,"24,065"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),887,219,936,82,"3,670",7,0,"4,829","4,171","22,621",100,0,120,"4,575",43,0,216,0,0,0,80,0,0,"42,556"
               Siquijor State College,118,50,243,165,"1,371",0,0,230,769,151,82,0,95,140,0,0,114,0,305,0,70,0,0,"3,903"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"13,402","6,348","14,087",744,"38,856",477,0,"1,013","20,656","13,958","1,494",0,"3,810","28,286",358,201,"1,804",0,"2,695",120,909,0,0,"149,218"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,390",945,"1,060",0,"3,100",30,0,0,"1,540",615,115,0,405,"1,525",175,90,64,0,0,120,59,0,0,"11,233"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,470",765,"2,750",12,"4,333",0,0,0,"3,100","2,500",110,0,654,"5,235",0,0,"1,236",0,60,0,155,0,0,"23,380"
               Leyte Normal University,920,555,630,0,"3,216",0,0,0,"3,922","4,605",122,0,449,"6,616",0,0,0,0,0,0,0,0,0,"21,035"
               Visayas State University (Leyte State University),"2,000","1,450","2,500",0,"7,896",10,0,0,"3,000","1,000",162,0,794,"5,272",50,50,318,0,200,0,70,0,0,"24,772"
               Naval Institute of Technology,"1,000",360,"1,250",25,"2,532",60,0,250,"1,250",980,400,0,130,"1,925",0,0,0,0,0,0,0,0,0,"10,162"
               Palompon Institute of Technology,800,214,755,199,"1,951",27,0,0,759,244,85,0,124,875,58,37,186,0,20,0,81,0,0,"6,415"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,870",507,"1,425",65,"3,110",30,0,0,"2,010","1,352",98,0,370,"2,153",30,24,0,0,426,0,154,0,0,"13,624"
               Samar State College of Agriculture and Forestry,320,180,275,125,410,50,0,0,223,106,80,0,20,120,35,0,0,0,0,0,80,0,0,"2,024"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),674,316,"1,866",100,"4,284",50,0,200,"1,034","1,357",110,0,384,"1,260",10,0,0,0,650,0,10,0,0,"12,305"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,600,485,550,48,"3,802",130,0,120,"2,450",355,122,0,80,800,0,0,0,0,760,0,0,0,0,"10,302"
               University of Eastern Philippines,"1,358",571,"1,026",170,"4,222",90,0,443,"1,368",844,90,0,400,"2,505",0,0,0,0,579,0,300,0,0,"13,966"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,"9,576","2,883","6,401",549,"21,856",591,0,"1,106","16,532","5,514",800,0,"2,492","17,174",210,346,650,2,"1,699",80,386,0,0,"88,847"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Basilan State College,750,150,210,100,950,50,0,290,700,452,82,0,195,700,0,175,400,0,100,0,70,0,0,"5,374"
               J. H. Cerilles State College,800,300,238,59,"1,193",0,0,0,240,150,68,0,91,"1,374",0,0,153,0,311,0,0,0,0,"4,977"
               Jose Rizal Memorial State College,"1,340",322,"1,756",79,"2,978",0,0,0,"4,150",577,110,0,402,"2,662",20,26,67,0,30,0,64,0,0,"14,583"
