particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
     Office of the Vice-President,"8,798","4,761","2,055",0,"6,086","11,200",0,"79,418",931,122,456,"6,000",414,"16,618",0,0,"9,600",0,362,0,0,0,0,"146,821"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"32,366","11,776","6,289","2,339","23,807","22,984",0,"35,755","13,475","148,864","5,532",0,"1,703","91,519","4,329","1,072","3,733",0,978,"12,636",10,0,0,"419,167"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"19,036","7,044","4,014","1,135","15,129","10,084",0,0,"8,227","30,967","2,380",0,"1,462","85,520","3,470","1,072",958,0,59,485,10,0,0,"191,052"
          National Commission on Indigenous Peoples,"13,330","4,732","2,275","1,204","8,678","12,900",0,"35,755","5,248","117,897","3,152",0,241,"5,999",859,0,"2,775",0,919,"12,151",0,0,0,"228,115"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"95,885","54,523","45,924","3,292","150,168","37,089",0,"4,706","110,090","50,724","6,192",0,"22,027","160,744","10,357","5,129","9,329",73,"3,898",20,646,"1,536",867,"773,219"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"66,102","37,018","27,253","2,694","98,405","12,284",0,694,"80,886","39,512","3,528",0,"13,092","93,315","7,554","4,053","6,981",73,"2,637",20,441,"1,300",867,"498,709"
          Agricultural Credit Policy Council,222,521,120,0,610,"2,640",0,0,"1,320",40,98,0,76,"1,015",84,0,84,0,50,0,0,0,0,"6,880"
          Bureau of Fisheries and Aquatic Resources,"14,706","8,641","11,381",192,"29,338","13,729",0,0,"12,638","8,638","1,246",0,"4,465","41,442",474,395,"1,582",0,436,0,5,236,0,"149,544"
          Bureau of Post-Harvest Research and Extension,"1,340","1,304",582,2,"1,356",154,0,0,"1,800",312,98,0,"1,400","3,555",11,330,10,0,135,0,25,0,0,"12,414"
          Cotton Development Administration,950,530,700,40,"1,730",114,0,0,710,80,80,0,286,"1,210",50,0,80,0,30,0,40,0,0,"6,630"
          Fertilizer and Pesticide Authority,"2,975","1,034","1,919",33,"5,239",20,0,0,"2,668",86,98,0,329,"3,851",343,30,52,0,45,0,0,0,0,"18,722"
          Fiber Industry Development Authority,"5,581","2,518","1,254",241,"5,472","7,622",0,0,"4,750","1,151",672,0,827,"6,706",641,33,308,0,80,0,130,0,0,"37,986"
          Livestock Development Council,54,86,34,0,225,0,0,0,125,0,98,0,160,784,0,15,0,0,10,0,0,0,0,"1,591"
          National Agricultural and Fishery Council,"1,894","1,381",672,0,"3,365",15,0,"4,012","3,075",200,78,0,908,"2,891",220,20,185,0,50,0,5,0,0,"18,971"
          National Meat Inspection Service,"1,400",540,"1,800",0,"2,300",240,0,0,"1,641",600,98,0,200,"4,382",500,50,0,0,100,0,0,0,0,"13,851"
          Philippine Carabao Center,661,950,209,90,"2,128",271,0,0,477,105,98,0,284,"1,593",480,203,47,0,325,0,0,0,0,"7,921"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"10,920","10,517","16,240",338,"25,964","5,421",18,0,"21,772","18,885","4,306",0,"2,171","74,759","8,245",551,"12,346",0,667,0,25,0,0,"213,145"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"10,920","10,517","16,240",338,"25,964","5,421",18,0,"21,772","18,885","4,306",0,"2,171","74,759","8,245",551,"12,346",0,667,0,25,0,0,"213,145"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"949,301","158,039","1,809,311","48,123","5,462,128","35,928",0,"7,701,225","1,222,139","2,983,114","30,502",0,"46,570","904,847","284,100","19,386","46,712",0,"26,874",0,35,"3,878",0,"21,732,212"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"942,107","155,608","1,797,135","48,103","5,445,520","33,739",0,"7,701,225","1,196,074","2,978,987","30,226",0,"45,907","875,818","282,464","18,916","45,217",0,"26,784",0,0,"3,878",0,"21,627,708"
          National Book Development Board,469,616,"1,498",0,605,"2,000",0,0,"1,100",250,80,0,60,"3,893",460,70,540,0,30,0,5,0,0,"11,676"
          National Council for Children's Television,500,100,0,0,981,79,0,0,80,0,0,0,0,80,0,0,780,0,0,0,0,0,0,"2,600"
          National Museum,"5,000","1,215","7,628",0,"4,433",0,0,0,"23,285","2,150",98,0,135,"17,836",476,100,75,0,0,0,0,0,0,"62,431"
          Philippine High School for the Arts,"1,225",500,"3,050",20,"10,589",110,0,0,"1,600","1,727",98,0,468,"7,220",700,300,100,0,60,0,30,0,0,"27,797"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"120,968","89,647","162,973","11,050","692,359","11,452","26,849","174,197","498,320","137,629","94,237",0,"38,924","715,522","14,954","4,478","26,447",13,"25,630",196,"7,709","1,118",50,"2,854,722"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"15,616","39,476","27,143",421,"212,853","6,015","26,849","111,209","223,423","33,111","81,493",0,"12,473","367,830","6,065",602,"7,929",11,"1,892",0,622,0,0,"1,175,033"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,96,750,"1,435",0,"5,754",0,0,"1,000","8,047",278,80,0,200,355,100,50,0,0,70,0,75,0,0,"18,290"
               Marikina Polytechnic College,70,120,"1,248",0,"1,349",0,0,0,"2,718",0,68,0,35,"3,108",15,0,20,0,0,0,0,0,0,"8,751"
               Philippine Normal University,"1,411","1,482","2,252",6,"11,767",85,0,0,"8,551","3,528",419,0,"1,700","13,929",95,130,0,0,180,0,75,0,0,"45,610"
               Philippine State College of Aeronautics,379,200,0,0,"3,795","1,044",0,0,338,242,68,0,"1,429","1,390",0,0,0,0,0,0,0,0,0,"8,885"
               Polytechnic University of the Philippines,"1,225","4,314","1,780",50,"16,746",266,0,0,"31,952",700,115,0,"1,103","20,294",0,0,"3,298",0,0,0,0,0,0,"81,843"
               Rizal Technological University,912,454,850,0,"3,144",6,0,305,"5,760","1,672",85,0,410,"13,498",50,20,394,0,0,0,0,0,0,"27,560"
               Technological University of the Philippines,"1,194","1,011","1,421",0,"9,263",0,0,"1,500","12,705",554,115,0,176,"14,519",0,0,0,0,0,0,0,0,0,"42,458"
               University of the Philippines System,"10,329","31,145","18,157",365,"161,035","4,614","26,849","108,404","153,352","26,137","80,543",0,"7,420","300,737","5,805",402,"4,217",11,"1,642",0,472,0,0,"941,636"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"6,877","4,999","15,400",141,"46,747",126,0,"1,037","28,488","4,201",508,0,"1,226","30,899","1,321",231,"2,092",0,"1,303",0,676,7,0,"146,279"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"1,543","2,587","3,612",0,"13,648",0,0,0,"8,097","1,572",98,0,521,"9,692",190,22,"1,116",0,215,0,370,0,0,"43,283"
               Ilocos Sur Polytechnic State College,942,60,447,0,"3,941",0,0,5,502,90,30,0,10,"1,679",0,0,0,0,0,0,0,0,0,"7,706"
               Mariano Marcos State University,"1,700",661,"3,900",90,"10,820",8,0,388,"7,069",863,150,0,350,"10,377",120,50,120,0,335,0,35,0,0,"37,036"
               Pangasinan State University,"1,380","1,016","5,364",45,"9,337",43,0,644,"5,120","1,261",150,0,114,"6,078",500,100,460,0,400,0,72,7,0,"32,091"
               University of Northern Philippines,"1,312",675,"2,077",6,"9,001",75,0,0,"7,700",415,80,0,231,"3,073",511,59,396,0,353,0,199,0,0,"26,163"
,,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"4,169","1,345","4,099",578,"25,477",251,0,"19,079","6,747","3,158",437,0,83,"22,342","1,082",61,259,0,18,0,766,0,0,"89,951"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,634,304,606,52,"2,629",0,0,"2,840",261,588,80,0,63,"1,408",0,0,0,0,0,0,0,0,0,"9,465"
               Apayao State College,275,79,365,28,"1,804",50,0,100,225,146,68,0,0,"2,493",0,0,0,0,0,0,0,0,0,"5,633"
               Benguet State University,"1,188",679,"1,549",47,"8,396",196,0,0,"4,905","1,055",85,0,0,"11,008","1,000",50,0,0,0,0,710,0,0,"30,868"
               Ifugao State College of Agriculture and Forestry,901,126,532,169,"4,243",0,0,"10,800",688,410,68,0,0,"1,485",0,0,0,0,0,0,0,0,0,"19,422"
               Kalinga-Apayao State College,436,84,335,282,"3,266",5,0,"5,000",468,570,68,0,20,"2,293",82,11,259,0,18,0,56,0,0,"13,253"
               Mountain Province State Polytechnic College,735,73,712,0,"5,139",0,0,339,200,389,68,0,0,"3,655",0,0,0,0,0,0,0,0,0,"11,310"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"6,662","4,350","9,302","1,595","26,497",413,0,230,"13,554","5,747",397,0,"1,018","15,863",761,388,"5,402",0,"1,074",50,702,0,20,"94,025"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),120,9,78,10,616,10,0,0,163,80,0,0,10,"1,057",30,0,5,0,20,0,0,0,20,"2,228"
               Cagayan State University,"2,300","1,367","4,411",723,"11,712",125,0,230,"4,705","2,600",110,0,360,"2,884",370,250,"3,598",0,290,50,270,0,0,"36,355"
               Isabela State University,"2,770","1,338","3,223",36,"6,216",86,0,0,"5,000","1,291",115,0,198,"7,216",131,72,959,0,442,0,117,0,0,"29,210"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"1,162","1,496","1,380",806,"6,300",120,0,0,"3,186","1,380",90,0,377,"3,153",185,42,805,0,250,0,180,0,0,"20,912"
               Quirino State College,310,140,210,20,"1,653",72,0,0,500,396,82,0,73,"1,553",45,24,35,0,72,0,135,0,0,"5,320"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"7,445","4,060","15,274",947,"69,859",843,0,156,"52,130","20,509","2,961",0,"2,937","44,062","1,424",715,"1,142",0,881,12,"1,290",661,0,"227,308"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,455,173,339,100,"1,098",133,0,50,554,165,68,0,100,"4,092",50,50,173,0,75,0,70,0,0,"7,745"
               Bataan Peninsula State University,"1,175",631,"2,339",711,"5,706",92,0,0,"1,809","3,026",142,0,15,"2,550",0,23,0,0,52,0,0,0,0,"18,271"
               Bulacan Agricultural State College,214,89,360,31,"1,505",0,0,0,625,279,80,0,62,"1,050",30,40,324,0,40,0,54,0,0,"4,783"
               Bulacan State University,880,857,850,0,"5,439",0,0,0,"14,785",645,"1,953",0,600,"7,440",60,16,0,0,167,12,50,600,0,"34,354"
               Central Luzon State University,"1,332",478,"1,512",0,"15,869",103,0,0,"10,638",0,0,0,0,"5,220",0,0,115,0,0,0,68,0,0,"35,335"
               Don Honorio Ventura College of Arts and Trades,243,99,"1,178",0,"3,830",0,0,96,639,674,98,0,78,"2,701",0,0,0,0,84,0,0,0,0,"9,720"
               Nueva Ecija University of Science and Technology,874,254,"2,442",30,"5,709",360,0,0,"5,868","5,470",85,0,550,"2,984",140,385,0,0,0,0,445,0,0,"25,596"
               Pampanga Agricultural College,137,123,933,25,"2,917",0,0,0,"2,300",177,79,0,509,"1,765",299,25,50,0,18,0,80,61,0,"9,498"
               Philippine Merchant Marine Academy,435,490,800,10,"19,053",0,0,0,"6,050",176,98,0,750,"5,255",115,75,75,0,150,0,150,0,0,"33,682"
               Ramon Magsaysay Technological University,570,230,805,40,"3,469",150,0,0,"1,005","8,460",150,0,120,"2,802",100,27,75,0,40,0,225,0,0,"18,268"
               Tarlac College of Agriculture,320,211,"3,451",0,"2,416",0,0,0,"1,405",267,98,0,69,"1,000",80,49,0,0,120,0,113,0,0,"9,599"
               Tarlac State University,810,425,265,0,"2,848",5,0,10,"6,452","1,170",110,0,84,"7,203",550,25,330,0,135,0,35,0,0,"20,457"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"6,606","3,835","10,246",689,"27,394",383,0,"1,430","21,030","7,622",416,0,"1,567","20,627",772,168,0,0,939,0,105,34,0,"103,863"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,940,"1,104","2,826",120,"7,839",240,0,150,"5,669",700,85,0,255,"5,843",25,50,0,0,501,0,0,14,0,"26,361"
               Cavite State University,999,607,"2,206",230,"4,470",100,0,0,"4,113","4,155",85,0,227,"4,229",350,30,0,0,155,0,0,0,0,"21,956"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"1,132","1,104","1,838",169,"4,186",0,0,230,"2,731",786,68,0,479,"4,552",76,20,0,0,105,0,105,20,0,"17,601"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"1,762",524,"2,477",27,"3,095",43,0,199,"2,604",954,68,0,324,"3,475",267,14,0,0,129,0,0,0,0,"15,962"
               University of Rizal System,"1,773",496,899,143,"7,804",0,0,851,"5,913","1,027",110,0,282,"2,528",54,54,0,0,49,0,0,0,0,"21,983"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"4,818","2,119","10,784",118,"14,465",450,0,0,"10,534","3,743",493,0,"1,588","14,332",181,510,15,0,249,0,423,10,0,"64,832"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,475,295,929,0,"1,637",0,0,0,913,490,80,0,275,"2,665",120,65,0,0,114,0,135,10,0,"8,203"
               Mindoro State College of Agriculture and Technology,431,252,960,0,"1,622",146,0,0,"1,233",461,68,0,92,"1,180",61,15,15,0,35,0,88,0,0,"6,659"
               Occidental Mindoro National College,687,240,685,40,"1,654",100,0,0,"1,000",550,82,0,150,"2,090",0,0,0,0,0,0,0,0,0,"7,278"
               Palawan State University,"1,534",746,"5,620",0,"3,878",0,0,0,"4,605",787,115,0,507,"1,112",0,430,0,0,100,0,100,0,0,"19,534"
               Romblon State College,778,307,"1,136",78,"2,126",0,0,0,"1,321",566,68,0,182,"4,800",0,0,0,0,0,0,100,0,0,"11,462"
               Western Philippines University,913,279,"1,454",0,"3,548",204,0,0,"1,462",889,80,0,382,"2,485",0,0,0,0,0,0,0,0,0,"11,696"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"9,444","2,709","7,356","1,751","35,340",332,0,"16,700","22,585","17,011",772,0,"2,025","33,415","1,102",325,"2,212",0,"1,267",50,326,0,0,"154,722"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"2,360","1,300","1,205","1,074","11,456",180,0,"15,600","8,115","7,370",150,0,850,"12,920",415,90,"1,074",0,720,0,65,0,0,"64,944"
               Camarines Norte State College,"1,000",226,0,71,"3,572",0,0,0,"2,200",450,82,0,250,"2,278",250,50,240,0,7,50,50,0,0,"10,776"
               Camarines Sur Polytechnic Colleges,470,147,"1,029",22,"3,858",58,0,0,"2,082",377,82,0,194,"3,512",0,0,0,0,0,0,0,0,0,"11,831"
               Camarines Sur State Agricultural College,"1,808",334,"2,775",394,"4,883",0,0,115,"3,521",799,98,0,268,"2,946",162,131,394,0,81,0,50,0,0,"18,759"
               Catanduanes State Colleges,"1,600",260,325,70,"3,407",0,0,0,"2,240",650,98,0,200,"3,925",225,50,150,0,405,0,120,0,0,"13,725"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,605,58,540,50,"2,330",0,0,0,830,60,82,0,0,"1,698",0,0,0,0,0,0,0,0,0,"6,253"
               Partido State University,779,235,642,6,"2,277",14,0,0,"1,711","6,889",98,0,113,"3,131",50,4,354,0,54,0,41,0,0,"16,398"
               Sorsogon State College,822,149,840,64,"3,557",80,0,985,"1,886",416,82,0,150,"3,005",0,0,0,0,0,0,0,0,0,"12,036"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"10,918","4,983","20,235","1,313","58,452",20,0,"2,095","21,175","4,586",890,0,"1,935","35,850",580,425,404,0,"1,093",0,500,50,20,"165,524"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"1,427",737,"1,503",232,"3,885",0,0,0,"1,518",371,80,0,113,"5,728",104,170,232,0,193,0,225,0,0,"16,518"
               Capiz State University,734,413,"2,160",174,"5,387",0,0,0,"1,174",70,80,0,36,"4,845",0,0,0,0,0,0,0,0,0,"15,073"
               Carlos C. Hilado Memorial State College,580,270,"1,165",27,"4,446",0,0,0,"2,110",200,80,0,165,"2,370",0,85,0,0,135,0,50,0,0,"11,683"
               Guimaras State College,200,60,195,0,896,0,0,0,200,243,80,0,15,"1,220",0,0,0,0,0,0,0,0,0,"3,109"
               Iloilo State College of Fisheries,818,322,"1,414",0,"2,668",0,0,0,"1,649",602,80,0,145,"1,953",129,12,80,0,199,0,100,0,0,"10,171"
               Negros State College of Agriculture,644,293,796,109,"1,917",0,0,95,579,405,80,0,104,"2,531",22,58,92,0,0,0,75,0,0,"7,800"
               Northern Iloilo Polytechnic State College,"1,539",603,"1,628",259,"3,767",0,0,0,"2,105",65,80,0,217,"2,835",0,0,0,0,0,0,0,0,0,"13,098"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,360,110,"1,212",0,955,0,0,0,293,0,80,0,0,"1,617",0,0,0,0,0,0,0,0,0,"4,627"
               Polytechnic State College of Antique,725,90,"1,207",42,"4,355",0,0,0,826,416,85,0,101,"2,418",0,0,0,0,0,0,0,0,0,"10,265"
               Western Visayas College of Science and Technology,"1,198",393,"5,570",450,"7,297",0,0,0,"4,148",353,80,0,115,"5,057",0,0,0,0,0,0,0,0,0,"24,661"
               West Visayas State University,"2,693","1,692","3,385",20,"22,879",20,0,"2,000","6,573","1,861",85,0,924,"5,276",325,100,0,0,566,0,50,50,20,"48,519"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"4,903","1,534","2,790",461,"26,193",12,0,"5,029","14,337","2,259",475,0,820,"13,871",248,180,475,0,"4,924",0,235,0,0,"78,746"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,200,320,200,0,"8,852",0,0,200,"4,200",0,110,0,360,"4,000",20,15,0,0,164,0,50,0,0,"18,691"
               Cebu State College of Science and Technology,"2,709",453,380,65,"7,139",5,0,0,"3,006","1,141",85,0,150,"1,557",0,0,0,0,"4,202",0,0,0,0,"20,892"
               Central Visayas State College of,,,,,,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology",993,496,"1,040",155,"5,214",0,0,0,"2,220",385,98,0,95,"1,611",185,165,145,0,255,0,35,0,0,"13,092"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),887,219,936,82,"3,670",7,0,"4,829","4,171",588,100,0,120,"5,575",43,0,216,0,0,0,80,0,0,"21,523"
               Siquijor State College,114,46,234,159,"1,318",0,0,0,740,145,82,0,95,"1,128",0,0,114,0,303,0,70,0,0,"4,548"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"12,835","5,553","11,147","1,492","38,977",408,0,"1,593","19,768","11,152","1,023",0,"3,577","30,663",93,40,"1,314",0,"8,461",0,237,0,0,"148,333"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,173",654,"1,512",945,"3,098",0,0,0,"1,085",712,80,0,210,"2,165",0,0,0,0,575,0,0,0,0,"12,209"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,040",697,"1,535",12,"6,472",0,0,0,"4,035","1,250",98,0,250,"3,530",0,0,"1,167",0,0,0,155,0,0,"21,241"
               Leyte Normal University,620,405,630,0,"3,360",0,0,0,"2,610",398,85,0,599,"5,229",0,0,0,0,"2,592",0,0,0,0,"16,528"
               Visayas State University (Leyte State University),"2,770","1,537","2,364",0,"7,498",0,0,600,"4,238","1,000",85,0,998,"7,675",0,0,0,0,755,0,0,0,0,"29,520"
               Naval Institute of Technology,950,265,405,5,"2,326",10,0,250,405,"5,658",80,0,400,"1,417",0,0,0,0,625,0,0,0,0,"12,796"
               Palompon Institute of Technology,"1,060",200,785,160,"1,739",27,0,0,626,209,110,0,127,"1,457",58,40,147,0,21,0,66,0,0,"6,832"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,511",344,"1,420",0,"2,484",61,0,0,"1,144",581,160,0,143,"1,967",0,0,0,0,"1,160",0,0,0,0,"10,975"
               Samar State College of Agriculture and Forestry,303,180,170,65,602,50,0,0,223,50,80,0,20,"1,230",35,0,0,0,0,0,16,0,0,"3,024"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),550,300,"1,000",100,"3,419",50,0,200,"1,349",300,80,0,150,"1,730",0,0,0,0,884,0,0,0,0,"10,112"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,500,400,300,35,"3,757",120,0,100,"2,685",150,80,0,75,"1,642",0,0,0,0,614,0,0,0,0,"10,458"
               University of Eastern Philippines,"1,358",571,"1,026",170,"4,222",90,0,443,"1,368",844,85,0,605,"2,621",0,0,0,0,"1,235",0,0,0,0,"14,638"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,"8,686","2,470","5,382",303,"25,050",560,0,"2,627","12,768","3,525",699,0,"2,095","19,959",222,160,495,2,"2,115",0,296,0,0,"87,414"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Basilan State College,700,100,350,80,961,47,0,100,550,350,82,0,120,"1,900",0,75,300,0,100,0,70,0,0,"5,885"
               J. H. Cerilles State College,800,300,238,59,"1,193",0,0,0,240,150,68,0,91,"1,530",0,0,153,0,311,0,0,0,0,"5,133"
               Jose Rizal Memorial State College,"1,307",239,367,52,"3,112",0,0,0,"2,070",430,82,0,309,"2,364",42,9,42,0,0,0,34,0,0,"10,459"
