psgc_prov,pov_prov_year,pov_prov_type_of_poverty,pov_prov_measure,pov_prov_universe,estimate,coefficient_of_variation,standard_error,lower_limit,upper_limit
60600000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
61900000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
67900000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
63000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
64500000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
71200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
72200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
74600000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
76100000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
87800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
82600000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
83700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
84800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
86400000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
86000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
97200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
97300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
98300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
99700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
101300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
101800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
103500000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
104200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
104300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
112300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
112400000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
112500000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
118200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
124700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
128000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
126300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
126500000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
129800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
160200000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
160300000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
166700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
166800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
150700000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
153600000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
153800000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
156600000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
157000000,1991,Poverty,Incidence,Among Families,-,-,-,-,-
130000000,2006,Poverty,Incidence,Among Families,2.93266,20.57634,0.60343,1.94001765,3.92530235
140100000,2006,Poverty,Incidence,Among Families,39.4206,10.79297,4.25465,32.42170075,46.41949925
148100000,2006,Poverty,Incidence,Among Families,42.12685,22.10083,9.31038,26.8112749,57.4424251
141100000,2006,Poverty,Incidence,Among Families,3.95431,24.55749,0.97108,2.3568834,5.5517366
142700000,2006,Poverty,Incidence,Among Families,20.92327,26.28654,5.5,11.87577,29.97077
143200000,2006,Poverty,Incidence,Among Families,40.59743,14.27316,5.79453,31.06542815,50.12943185
144400000,2006,Poverty,Incidence,Among Families,38.50269,26.48567,10.19769,21.72748995,55.27789005
12800000,2006,Poverty,Incidence,Among Families,13.6741,31.48027,4.30464,6.5929672,20.7552328
12900000,2006,Poverty,Incidence,Among Families,16.42733,23.11949,3.79791,10.17976805,22.67489195
13300000,2006,Poverty,Incidence,Among Families,20.84868,18.54361,3.8661,14.4889455,27.2084145
15500000,2006,Poverty,Incidence,Among Families,21.84666,9.290461,2.02966,18.5078693,25.1854507
20900000,2006,Poverty,Incidence,Among Families,14.28571,0,0,14.28571,14.28571
21500000,2006,Poverty,Incidence,Among Families,25.13683,11.72679,2.94774,20.2877977,29.9858623
23100000,2006,Poverty,Incidence,Among Families,23.81821,9.406419,2.24044,20.1326862,27.5037338
25000000,2006,Poverty,Incidence,Among Families,10.9922,29.36386,3.22773,5.68258415,16.30181585
25700000,2006,Poverty,Incidence,Among Families,9.66791,43.46556,4.20221,2.75527455,16.58054545
37700000,2006,Poverty,Incidence,Among Families,25.05797,40.1927,10.07148,8.4903854,41.6255546
30800000,2006,Poverty,Incidence,Among Families,6.19131,22.4938,1.39266,3.9003843,8.4822357
31400000,2006,Poverty,Incidence,Among Families,4.85683,15.45833,0.75078,3.6217969,6.0918631
34900000,2006,Poverty,Incidence,Among Families,21.5675,10.47387,2.25895,17.85152725,25.28347275
35400000,2006,Poverty,Incidence,Among Families,2.01436,27.71436,0.55827,1.09600585,2.93271415
36900000,2006,Poverty,Incidence,Among Families,14.12822,17.12769,2.41984,10.1475832,18.1088568
37100000,2006,Poverty,Incidence,Among Families,18.59711,21.07895,3.92007,12.14859485,25.04562515
41000000,2006,Poverty,Incidence,Among Families,10.9419,12.39992,1.35679,8.70998045,13.17381955
42100000,2006,Poverty,Incidence,Among Families,1.21699,38.56483,0.46933,0.44494215,1.98903785
43400000,2006,Poverty,Incidence,Among Families,4.25173,20.19225,0.85852,2.8394646,5.6639954
45600000,2006,Poverty,Incidence,Among Families,24.72294,10.23354,2.53003,20.56104065,28.88483935
45800000,2006,Poverty,Incidence,Among Families,2.4661,27.7673,0.68477,1.33965335,3.59254665
174000000,2006,Poverty,Incidence,Among Families,31.87031,15.94355,5.08126,23.5116373,40.2289827
175100000,2006,Poverty,Incidence,Among Families,33.4742,21.23683,7.10886,21.7801253,45.1682747
175200000,2006,Poverty,Incidence,Among Families,35.65663,10.42132,3.71589,29.54399095,41.76926905
175300000,2006,Poverty,Incidence,Among Families,28.22315,17.39004,4.90802,20.1494571,36.2968429
175900000,2006,Poverty,Incidence,Among Families,36.30286,7.900373,2.86806,31.5849013,41.0208187
50500000,2006,Poverty,Incidence,Among Families,28.65287,10.00378,2.86637,23.93769135,33.36804865
51600000,2006,Poverty,Incidence,Among Families,30.08009,16.42665,4.94115,21.95189825,38.20828175
51700000,2006,Poverty,Incidence,Among Families,39.4934,7.256175,2.86571,34.77930705,44.20749295
52000000,2006,Poverty,Incidence,Among Families,33.01878,24.54317,8.10385,19.68794675,46.34961325
54100000,2006,Poverty,Incidence,Among Families,44.64265,10.70256,4.77791,36.78298805,52.50231195
56200000,2006,Poverty,Incidence,Among Families,31.26814,10.35232,3.23698,25.9433079,36.5929721
60400000,2006,Poverty,Incidence,Among Families,32.23214,14.10044,4.54487,24.75582885,39.70845115
60600000,2006,Poverty,Incidence,Among Families,42.47327,14.28306,6.06648,32.4939104,52.4526296
61900000,2006,Poverty,Incidence,Among Families,23.47333,12.0558,2.8299,18.8181445,28.1285155
67900000,2006,Poverty,Incidence,Among Families,19.68284,33.64417,6.62213,8.78943615,30.57624385
63000000,2006,Poverty,Incidence,Among Families,16.70826,15.26201,2.55002,12.5134771,20.9030429
64500000,2006,Poverty,Incidence,Among Families,21.64202,9.67286,2.0934,18.198377,25.085663
71200000,2006,Poverty,Incidence,Among Families,40.25359,10.56329,4.2521,33.2588855,47.2482945
72200000,2006,Poverty,Incidence,Among Families,25.57892,7.997508,2.04568,22.2137764,28.9440636
74600000,2006,Poverty,Incidence,Among Families,38.17161,12.47275,4.76105,30.33968275,46.00353725
76100000,2006,Poverty,Incidence,Among Families,25.57802,30.04534,7.685,12.936195,38.219845
87800000,2006,Poverty,Incidence,Among Families,22.55989,28.58674,6.44914,11.9510547,33.1687253
82600000,2006,Poverty,Incidence,Among Families,41.31846,13.33072,5.50805,32.25771775,50.37920225
83700000,2006,Poverty,Incidence,Among Families,32.23709,8.019983,2.58541,27.98409055,36.49008945
84800000,2006,Poverty,Incidence,Among Families,44.58595,15.89534,7.08709,32.92768695,56.24421305
86400000,2006,Poverty,Incidence,Among Families,25.25123,13.03718,3.29205,19.83580775,30.66665225
86000000,2006,Poverty,Incidence,Among Families,32.28554,12.66011,4.08738,25.5617999,39.0092801
97200000,2006,Poverty,Incidence,Among Families,60.33114,8.098441,4.88588,52.2938674,68.3684126
97300000,2006,Poverty,Incidence,Among Families,27.36678,10.46604,2.86422,22.6551381,32.0784219
98300000,2006,Poverty,Incidence,Among Families,44.6008,13.85786,6.18071,34.43353205,54.76806795
99700000,2006,Poverty,Incidence,Among Families,33.89224,45.89121,15.55356,8.3066338,59.4778462
101300000,2006,Poverty,Incidence,Among Families,35.42456,13.16147,4.66239,27.75492845,43.09419155
101800000,2006,Poverty,Incidence,Among Families,31.40304,19.52644,6.13189,21.31608095,41.48999905
103500000,2006,Poverty,Incidence,Among Families,33.07423,12.45146,4.11822,26.2997581,39.8487019
104200000,2006,Poverty,Incidence,Among Families,37.06516,13.20553,4.89465,29.01346075,45.11685925
104300000,2006,Poverty,Incidence,Among Families,26.46945,9.737844,2.57755,22.22938025,30.70951975
112300000,2006,Poverty,Incidence,Among Families,26.21273,20.95449,5.49275,17.17715625,35.24830375
112400000,2006,Poverty,Incidence,Among Families,19.64043,12.93852,2.54118,15.4601889,23.8206711
112500000,2006,Poverty,Incidence,Among Families,42.74903,13.96809,5.97122,32.9263731,52.5716869
118200000,2006,Poverty,Incidence,Among Families,31.28394,13.59542,4.25318,24.2874589,38.2804211
124700000,2006,Poverty,Incidence,Among Families,25.6021,13.79038,3.53063,19.79421365,31.40998635
128000000,2006,Poverty,Incidence,Among Families,41.68944,10.27812,4.28489,34.64079595,48.73808405
126300000,2006,Poverty,Incidence,Among Families,26.06333,10.56779,2.75432,21.5324736,30.5941864
126500000,2006,Poverty,Incidence,Among Families,44.26659,11.51859,5.09888,35.8789324,52.6542476
129800000,2006,Poverty,Incidence,Among Families,27.47672,33.17416,9.11517,12.48226535,42.47117465
160200000,2006,Poverty,Incidence,Among Families,38.74538,10.75575,4.16735,31.89008925,45.60067075
160300000,2006,Poverty,Incidence,Among Families,46.14437,10.06823,4.64592,38.5018316,53.7869084
166700000,2006,Poverty,Incidence,Among Families,43.7345,8.440645,3.69147,37.66203185,49.80696815
166800000,2006,Poverty,Incidence,Among Families,37.95209,12.66503,4.80664,30.0451672,45.8590128
150700000,2006,Poverty,Incidence,Among Families,28.19275,36.10336,10.17853,11.44906815,44.93643185
153600000,2006,Poverty,Incidence,Among Families,38.62588,18.36642,7.09419,26.95593745,50.29582255
153800000,2006,Poverty,Incidence,Among Families,46.36445,9.728004,4.51034,38.9449407,53.7839593
156600000,2006,Poverty,Incidence,Among Families,35.16815,15.90594,5.59383,25.96629965,44.37000035
157000000,2006,Poverty,Incidence,Among Families,50.18056,15.64219,7.84934,37.2683957,63.0927243
130000000,2009,Poverty,Incidence,Among Families,2.36802,15.24734,0.36106,1.7740763,2.9619637
140100000,2009,Poverty,Incidence,Among Families,38.92637,20.99482,8.17252,25.4825746,52.3701654
148100000,2009,Poverty,Incidence,Among Families,39.92827,24.18327,9.65596,24.0442158,55.8123242
141100000,2009,Poverty,Incidence,Among Families,4.24352,30.31787,1.28654,2.1271617,6.3598783
142700000,2009,Poverty,Incidence,Among Families,23.88705,15.29646,3.65387,17.87643385,29.89766615
143200000,2009,Poverty,Incidence,Among Families,24.06428,16.8557,4.0562,17.391831,30.736729
144400000,2009,Poverty,Incidence,Among Families,39.27035,20.11884,7.90074,26.2736327,52.2670673
12800000,2009,Poverty,Incidence,Among Families,11.0875,21.43401,2.3765,7.1781575,14.9968425
12900000,2009,Poverty,Incidence,Among Families,13.43616,20.73085,2.78543,8.85412765,18.01819235
13300000,2009,Poverty,Incidence,Among Families,22.40179,19.84883,4.44649,15.08731395,29.71626605
15500000,2009,Poverty,Incidence,Among Families,17.24579,10.03611,1.73081,14.39860755,20.09297245
20900000,2009,Poverty,Incidence,Among Families,16.66667,-,0,16.66667,16.66667
21500000,2009,Poverty,Incidence,Among Families,22.48622,11.01534,2.47693,18.41167015,26.56076985
23100000,2009,Poverty,Incidence,Among Families,22.60722,10.04811,2.2716,18.870438,26.344002
25000000,2009,Poverty,Incidence,Among Families,9.9606,30.10822,2.99896,5.0273108,14.8938892
25700000,2009,Poverty,Incidence,Among Families,11.06779,33.84441,3.74583,4.90589965,17.22968035
37700000,2009,Poverty,Incidence,Among Families,14.70335,59.75356,8.78578,0.2507419,29.1559581
30800000,2009,Poverty,Incidence,Among Families,5.92178,22.24907,1.31754,3.7544267,8.0891333
31400000,2009,Poverty,Incidence,Among Families,4.58716,13.97247,0.64094,3.5328137,5.6415063
34900000,2009,Poverty,Incidence,Among Families,24.92331,9.022783,2.24878,21.2240669,28.6225531
35400000,2009,Poverty,Incidence,Among Families,4.86512,20.20461,0.98298,3.2481179,6.4821221
36900000,2009,Poverty,Incidence,Among Families,13.68382,16.43031,2.24829,9.98538295,17.38225705
37100000,2009,Poverty,Incidence,Among Families,11.92726,17.18511,2.04971,8.55548705,15.29903295
41000000,2009,Poverty,Incidence,Among Families,12.61237,19.0011,2.39649,8.67014395,16.55459605
42100000,2009,Poverty,Incidence,Among Families,2.24336,23.22137,0.52094,1.3864137,3.1003063
43400000,2009,Poverty,Incidence,Among Families,6.17745,20.0152,1.23643,4.14352265,8.21137735
45600000,2009,Poverty,Incidence,Among Families,22.09736,11.07115,2.44643,18.07298265,26.12173735
45800000,2009,Poverty,Incidence,Among Families,5.75723,20.23126,1.16476,3.8411998,7.6732602
174000000,2009,Poverty,Incidence,Among Families,27.41778,15.8271,4.33944,20.2794012,34.5561588
175100000,2009,Poverty,Incidence,Among Families,24.98368,17.97439,4.49066,17.5965443,32.3708157
175200000,2009,Poverty,Incidence,Among Families,28.77567,10.27323,2.95619,23.91273745,33.63860255
175300000,2009,Poverty,Incidence,Among Families,25.33704,22.30113,5.65045,16.04204975,34.63203025
175900000,2009,Poverty,Incidence,Among Families,32.5799,13.66811,4.45306,25.2546163,39.9051837
50500000,2009,Poverty,Incidence,Among Families,30.19677,11.73609,3.54392,24.3670216,36.0265184
51600000,2009,Poverty,Incidence,Among Families,31.92969,14.50715,4.63209,24.30990195,39.54947805
51700000,2009,Poverty,Incidence,Among Families,39.77354,7.525092,2.993,34.850055,44.697025
52000000,2009,Poverty,Incidence,Among Families,22.62209,33.56931,7.59408,10.1298284,35.1143516
54100000,2009,Poverty,Incidence,Among Families,44.36643,8.586716,3.80962,38.0996051,50.6332549
56200000,2009,Poverty,Incidence,Among Families,29.78002,9.416996,2.80438,25.1668149,34.3932251
60400000,2009,Poverty,Incidence,Among Families,36.65086,14.49123,5.31116,27.9140018,45.3877182
60600000,2009,Poverty,Incidence,Among Families,34.54363,15.87218,5.48283,25.52437465,43.56288535
61900000,2009,Poverty,Incidence,Among Families,22.86618,40.64328,9.29357,7.57825735,38.15410265
67900000,2009,Poverty,Incidence,Among Families,13.43974,39.47924,5.30591,4.71151805,22.16796195
63000000,2009,Poverty,Incidence,Among Families,19.66392,10.98857,2.16078,16.1094369,23.2184031
64500000,2009,Poverty,Incidence,Among Families,22.87457,9.165535,2.09658,19.4256959,26.3234441
71200000,2009,Poverty,Incidence,Among Families,36.55103,12.71975,4.6492,28.903096,44.198964
72200000,2009,Poverty,Incidence,Among Families,22.34362,9.64386,2.15479,18.79899045,25.88824955
74600000,2009,Poverty,Incidence,Among Families,27.95261,14.73913,4.11997,21.17525935,34.72996065
76100000,2009,Poverty,Incidence,Among Families,27.20312,23.4985,6.39232,16.6877536,37.7184864
87800000,2009,Poverty,Incidence,Among Families,31.79778,21.51939,6.84269,20.54155495,43.05400505
82600000,2009,Poverty,Incidence,Among Families,49.1513,11.83837,5.81871,39.57952205,58.72307795
83700000,2009,Poverty,Incidence,Among Families,29.79027,7.26472,2.16418,26.2301939,33.3503461
84800000,2009,Poverty,Incidence,Among Families,42.81796,12.25823,5.24873,34.18379915,51.45212085
86400000,2009,Poverty,Incidence,Among Families,30.06093,13.83335,4.15843,23.22031265,36.90154735
86000000,2009,Poverty,Incidence,Among Families,34.90517,12.53955,4.37695,27.70508725,42.10525275
97200000,2009,Poverty,Incidence,Among Families,60.32753,7.53058,4.54301,52.85427855,67.80078145
97300000,2009,Poverty,Incidence,Among Families,26.93468,10.58519,2.85109,22.24463695,31.62472305
98300000,2009,Poverty,Incidence,Among Families,45.95391,9.838906,4.52136,38.5162728,53.3915472
99700000,2009,Poverty,Incidence,Among Families,21.43724,36.95407,7.92193,8.40566515,34.46881485
101300000,2009,Poverty,Incidence,Among Families,36.95767,10.50234,3.88142,30.5727341,43.3426059
101800000,2009,Poverty,Incidence,Among Families,20.36945,11.75466,2.39436,16.4307278,24.3081722
103500000,2009,Poverty,Incidence,Among Families,39.69713,10.73647,4.26207,32.68602485,46.70823515
104200000,2009,Poverty,Incidence,Among Families,37.8642,12.10374,4.58299,30.32518145,45.40321855
104300000,2009,Poverty,Incidence,Among Families,25.03829,12.99386,3.25344,19.6863812,30.3901988
112300000,2009,Poverty,Incidence,Among Families,27.21347,25.18789,6.8545,15.9378175,38.4891225
112400000,2009,Poverty,Incidence,Among Families,19.30894,15.18017,2.93113,14.48723115,24.13064885
112500000,2009,Poverty,Incidence,Among Families,44.2827,10.49498,4.64746,36.6376283,51.9277717
118200000,2009,Poverty,Incidence,Among Families,31.0369,12.56415,3.89952,24.6221896,37.4516104
124700000,2009,Poverty,Incidence,Among Families,23.35018,14.89525,3.47807,17.62875485,29.07160515
128000000,2009,Poverty,Incidence,Among Families,47.51587,11.13881,5.2927,38.8093785,56.2223615
126300000,2009,Poverty,Incidence,Among Families,25.73023,13.67895,3.51962,19.9404551,31.5200049
126500000,2009,Poverty,Incidence,Among Families,41.64287,12.24548,5.09937,33.25440635,50.03133365
129800000,2009,Poverty,Incidence,Among Families,29.90543,19.98093,5.97538,20.0759299,39.7349301
160200000,2009,Poverty,Incidence,Among Families,37.33318,10.04457,3.74996,31.1644958,43.5018642
160300000,2009,Poverty,Incidence,Among Families,53.7892,8.342687,4.48746,46.4073283,61.1710717
166700000,2009,Poverty,Incidence,Among Families,48.90538,7.282845,3.5617,43.0463835,54.7643765
166800000,2009,Poverty,Incidence,Among Families,44.12506,7.619269,3.36201,38.59455355,49.65556645
150700000,2009,Poverty,Incidence,Among Families,28.82275,28.21155,8.13134,15.4466957,42.1988043
153600000,2009,Poverty,Incidence,Among Families,48.66069,15.51563,7.55001,36.24092355,61.08045645
153800000,2009,Poverty,Incidence,Among Families,43.32491,12.97936,5.6233,34.0745815,52.5752385
156600000,2009,Poverty,Incidence,Among Families,35.52131,11.85615,4.21146,28.5934583,42.4491617
157000000,2009,Poverty,Incidence,Among Families,29.37644,25.88412,7.60383,16.86813965,41.88474035
130000000,2012,Poverty,Incidence,Among Families,2.62344,12.13171,0.31827,2.09988585,3.14699415
140100000,2012,Poverty,Incidence,Among Families,27.19365,21.2154,5.76924,17.7032502,36.6840498
148100000,2012,Poverty,Incidence,Among Families,54.69357,15.96064,8.72944,40.3336412,69.0534988
141100000,2012,Poverty,Incidence,Among Families,2.80084,31.69538,0.88774,1.3405077,4.2611723
142700000,2012,Poverty,Incidence,Among Families,36.03031,16.43404,5.92124,26.2898702,45.7707498
143200000,2012,Poverty,Incidence,Among Families,20.86172,35.26269,7.3564,8.760442,32.962998
144400000,2012,Poverty,Incidence,Among Families,27.94769,28.12239,7.85956,15.0187138,40.8766662
12800000,2012,Poverty,Incidence,Among Families,8.3793,24.49256,2.05231,5.00325005,11.75534995
12900000,2012,Poverty,Incidence,Among Families,13.7304,34.07009,4.67796,6.0351558,21.4256442
13300000,2012,Poverty,Incidence,Among Families,15.33975,17.63125,2.70459,10.89069945,19.78880055
15500000,2012,Poverty,Incidence,Among Families,14.87597,10.32409,1.53581,12.34956255,17.40237745
20900000,2012,Poverty,Incidence,Among Families,18.18182,0.0260269,0.00473,18.17403915,18.18960085
21500000,2012,Poverty,Incidence,Among Families,15.15935,14.75009,2.23602,11.4810971,18.8376029
23100000,2012,Poverty,Incidence,Among Families,19.04398,10.45003,1.9901,15.7702655,22.3176945
25000000,2012,Poverty,Incidence,Among Families,15.0795,50.631,7.6349,2.5200895,27.6389105
25700000,2012,Poverty,Incidence,Among Families,15.46661,22.93099,3.54665,9.63237075,21.30084925
37700000,2012,Poverty,Incidence,Among Families,27.13254,37.01156,10.04218,10.6131539,43.6519261
30800000,2012,Poverty,Incidence,Among Families,4.46542,37.19937,1.66111,1.73289405,7.19794595
31400000,2012,Poverty,Incidence,Among Families,5.35976,22.44396,1.20294,3.3809237,7.3385963
34900000,2012,Poverty,Incidence,Among Families,19.64032,11.16688,2.19321,16.03248955,23.24815045
35400000,2012,Poverty,Incidence,Among Families,5.44347,21.80177,1.18677,3.49123335,7.39570665
36900000,2012,Poverty,Incidence,Among Families,13.54197,14.52618,1.96713,10.30604115,16.77789885
37100000,2012,Poverty,Incidence,Among Families,12.06655,28.40416,3.4274,6.428477,17.704623
41000000,2012,Poverty,Incidence,Among Families,14.74136,14.65543,2.16041,11.18748555,18.29523445
42100000,2012,Poverty,Incidence,Among Families,2.55369,32.4397,0.82841,1.19095555,3.91642445
43400000,2012,Poverty,Incidence,Among Families,4.62429,19.99133,0.92446,3.1035533,6.1450267
45600000,2012,Poverty,Incidence,Among Families,20.31569,10.82977,2.20014,16.6964597,23.9349203
45800000,2012,Poverty,Incidence,Among Families,5.03628,26.69697,1.34453,2.82452815,7.24803185
174000000,2012,Poverty,Incidence,Among Families,23.85761,18.63663,4.44626,16.5435123,31.1717077
175100000,2012,Poverty,Incidence,Among Families,29.77628,21.63633,6.4425,19.1783675,40.3741925
175200000,2012,Poverty,Incidence,Among Families,21.53085,17.16047,3.69479,15.45292045,27.60877955
175300000,2012,Poverty,Incidence,Among Families,20.47371,24.93479,5.10508,12.0758534,28.8715666
175900000,2012,Poverty,Incidence,Among Families,30.36073,15.51752,4.71123,22.61075665,38.11070335
50500000,2012,Poverty,Incidence,Among Families,33.91062,10.35753,3.5123,28.1328865,39.6883535
51600000,2012,Poverty,Incidence,Among Families,21.70643,20.06609,4.35563,14.54141865,28.87144135
51700000,2012,Poverty,Incidence,Among Families,31.72596,10.59755,3.36218,26.1951739,37.2567461
52000000,2012,Poverty,Incidence,Among Families,27.08495,29.42972,7.97103,13.97260565,40.19729435
54100000,2012,Poverty,Incidence,Among Families,40.5685,10.2923,4.17543,33.69991765,47.43708235
56200000,2012,Poverty,Incidence,Among Families,31.29167,14.1925,4.44107,23.98610985,38.59723015
60400000,2012,Poverty,Incidence,Among Families,20.44606,25.66189,5.24684,11.8150082,29.0771118
60600000,2012,Poverty,Incidence,Among Families,23.5611,21.5099,5.06797,15.22428935,31.89791065
61900000,2012,Poverty,Incidence,Among Families,22.31767,21.21415,4.7345,14.5294175,30.1059225
67900000,2012,Poverty,Incidence,Among Families,16.94163,29.75235,5.04053,8.64995815,25.23330185
63000000,2012,Poverty,Incidence,Among Families,20.83429,12.33435,2.56977,16.60701835,25.06156165
64500000,2012,Poverty,Incidence,Among Families,24.90811,9.418902,2.34607,21.04882485,28.76739515
71200000,2012,Poverty,Incidence,Among Families,30.57509,9.263597,2.83235,25.91587425,35.23430575
72200000,2012,Poverty,Incidence,Among Families,18.8734,8.492868,1.60289,16.23664595,21.51015405
74600000,2012,Poverty,Incidence,Among Families,43.94718,11.85743,5.21101,35.37506855,52.51929145
76100000,2012,Poverty,Incidence,Among Families,24.02308,47.13668,11.32368,5.3956264,42.6505336
87800000,2012,Poverty,Incidence,Among Families,20.88654,15.31258,3.19827,15.62538585,26.14769415
82600000,2012,Poverty,Incidence,Among Families,55.42831,9.724656,5.39021,46.56141455,64.29520545
83700000,2012,Poverty,Incidence,Among Families,31.40853,7.886638,2.47708,27.3337334,35.4833266
84800000,2012,Poverty,Incidence,Among Families,43.4986,12.0359,5.23545,34.88628475,52.11091525
86400000,2012,Poverty,Incidence,Among Families,34.04328,18.49354,6.29581,23.68667255,44.39988745
86000000,2012,Poverty,Incidence,Among Families,43.49463,11.49833,5.00116,35.2677218,51.7215382
97200000,2012,Poverty,Incidence,Among Families,47.96748,10.26991,4.92622,39.8638481,56.0711119
97300000,2012,Poverty,Incidence,Among Families,25.86444,11.06785,2.86264,21.1553972,30.5734828
98300000,2012,Poverty,Incidence,Among Families,37.01923,11.7219,4.33936,29.8809828,44.1574772
99700000,2012,Poverty,Incidence,Among Families,15.47324,11.68493,1.80804,12.4990142,18.4474658
101300000,2012,Poverty,Incidence,Among Families,41.48774,10.06108,4.17411,34.62132905,48.35415095
101800000,2012,Poverty,Incidence,Among Families,41.04105,5.77911,2.37181,37.13942255,44.94267745
103500000,2012,Poverty,Incidence,Among Families,41.43466,15.11269,6.26189,31.13385095,51.73546905
104200000,2012,Poverty,Incidence,Among Families,33.77107,13.21191,4.4618,26.431409,41.110731
104300000,2012,Poverty,Incidence,Among Families,19.08518,17.23297,3.28894,13.6748737,24.4954863
112300000,2012,Poverty,Incidence,Among Families,26.7289,21.45083,5.73357,17.29717735,36.16062265
