psgc_regn,pov_regn_year,pov_reign_sector,pov_regn_type_of_poverty,pov_regn_measure,pov_regn_universe,estimate,coefficient_of_variation,standard_error,lower_limit,upper_limit
10000000,2006,All,Poverty,Magnitude,Among Families,191325.5,-,14973.097,166694.7554,215956.2446
20000000,2006,All,Poverty,Magnitude,Among Families,142518.4,-,10357.7112,125479.9651,159556.8349
30000000,2006,All,Poverty,Magnitude,Among Families,206567.7,-,16081.63176,180113.4158,233021.9842
40000000,2006,All,Poverty,Magnitude,Among Families,189690.4,-,16985.54756,161749.1743,217631.6257
170000000,2006,All,Poverty,Magnitude,Among Families,176282.1,-,13124.5484,154692.2179,197871.9821
90000000,2006,All,Poverty,Magnitude,Among Families,361801.5,-,16498.17538,334662.0015,388940.9985
50000000,2006,All,Poverty,Magnitude,Among Families,316668.7,-,20006.66846,283757.7304,349579.6696
60000000,2006,All,Poverty,Magnitude,Among Families,411430.7,-,25166.49811,370031.8106,452829.5894
70000000,2006,All,Poverty,Magnitude,Among Families,271318.8,-,14862.68326,246869.686,295767.914
80000000,2006,All,Poverty,Magnitude,Among Families,260619,-,16821.68094,232947.3349,288290.6651
100000000,2006,All,Poverty,Magnitude,Among Families,263981.7,-,15543.26708,238413.0257,289550.3743
110000000,2006,All,Poverty,Magnitude,Among Families,229800.8,-,19055.94667,198453.7677,261147.8323
120000000,2006,All,Poverty,Magnitude,Among Families,250168.4,-,15209.73023,225148.3938,275188.4062
160000000,2006,All,Poverty,Magnitude,Among Families,191315.1,-,10244.64272,174462.6627,208167.5373
150000000,2006,All,Poverty,Magnitude,Among Families,205834.2,-,15592.95269,180183.7928,231484.6072
130000000,2009,All,Poverty,Magnitude,Among Families,63974.43,-,9754.418624,47928.41136,80020.44864
140000000,2009,All,Poverty,Magnitude,Among Families,66110.76,-,8046.356177,52874.50409,79347.01591
10000000,2009,All,Poverty,Magnitude,Among Families,172725.5,-,14045.7788,149620.1939,195830.8061
20000000,2009,All,Poverty,Magnitude,Among Families,143846.8,-,10634.87805,126352.4256,161341.1744
30000000,2009,All,Poverty,Magnitude,Among Families,232928,-,17473.47157,204184.1393,261671.8607
40000000,2009,All,Poverty,Magnitude,Among Families,241158.4,-,21493.19877,205802.088,276514.712
170000000,2009,All,Poverty,Magnitude,Among Families,160225.6,-,13951.01051,137276.1877,183175.0123
90000000,2009,All,Poverty,Magnitude,Among Families,385523.3,-,17969.72429,355963.1035,415083.4965
50000000,2009,All,Poverty,Magnitude,Among Families,353431,-,24074.62378,313828.2439,393033.7561
60000000,2009,All,Poverty,Magnitude,Among Families,378220.5,-,26490.57584,334643.5027,421797.4973
70000000,2009,All,Poverty,Magnitude,Among Families,293885.6,-,14342.30504,270292.5082,317478.6918
80000000,2009,All,Poverty,Magnitude,Among Families,280271.3,-,18115.47753,250471.3395,310071.2605
100000000,2009,All,Poverty,Magnitude,Among Families,298472.3,-,17698.89903,269357.6111,327586.9889
110000000,2009,All,Poverty,Magnitude,Among Families,252151.5,-,23538.21974,213431.1285,290871.8715
120000000,2009,All,Poverty,Magnitude,Among Families,274042.5,-,18695.19679,243288.9013,304796.0987
160000000,2009,All,Poverty,Magnitude,Among Families,227453,-,10256.1316,210581.6635,244324.3365
150000000,2009,All,Poverty,Magnitude,Among Families,212494.1,-,16793.58471,184868.6532,240119.5468
130000000,2012,All,Poverty,Magnitude,Among Families,76529.54,-,9284.410122,61256.68535,91802.39465
140000000,2012,All,Poverty,Magnitude,Among Families,65515.95,-,8221.680769,51991.28513,79040.61487
10000000,2012,All,Poverty,Magnitude,Among Families,154712.4,-,13453.05395,132582.1262,176842.6738
20000000,2012,All,Poverty,Magnitude,Among Families,130965,-,12310.93715,110713.5084,151216.4916
30000000,2012,All,Poverty,Magnitude,Among Families,240079.3,-,20375.55985,206561.5041,273597.0959
40000000,2012,All,Poverty,Magnitude,Among Families,256838.7,-,22524.56226,219785.7951,293891.6049
170000000,2012,All,Poverty,Magnitude,Among Families,150485.5,-,15865.37108,124386.9646,176584.0354
90000000,2012,All,Poverty,Magnitude,Among Families,375974.4,-,21025.63743,341387.2264,410561.5736
50000000,2012,All,Poverty,Magnitude,Among Families,365040,-,23475.07912,326423.4949,403656.5051
60000000,2012,All,Poverty,Magnitude,Among Families,405693.9,-,25688.98447,363435.5205,447952.2795
70000000,2012,All,Poverty,Magnitude,Among Families,337220.7,-,17247.14715,308849.1429,365592.2571
80000000,2012,All,Poverty,Magnitude,Among Families,259749.1,-,16383.94596,232797.5089,286700.6911
100000000,2012,All,Poverty,Magnitude,Among Families,320113.3,-,23546.90459,281378.6419,358847.9581
110000000,2012,All,Poverty,Magnitude,Among Families,268957.3,-,24642.94643,228419.6531,309494.9469
120000000,2012,All,Poverty,Magnitude,Among Families,366169,-,23694.96549,327190.7818,405147.2182
160000000,2012,All,Poverty,Magnitude,Among Families,169522,-,9823.617119,153362.1498,185681.8502
150000000,2012,All,Poverty,Magnitude,Among Families,271354.8,-,17671.79166,242284.7027,300424.8973
130000000,1991,All,Poverty,Incidence,Among Population,7.10113,8.736679,-,-,-
140000000,1991,All,Poverty,Incidence,Among Population,42.6917,14.41098,-,-,-
10000000,1991,All,Poverty,Incidence,Among Population,36.63259,6.753739,-,-,-
20000000,1991,All,Poverty,Incidence,Among Population,42.78482,7.625573,-,-,-
30000000,1991,All,Poverty,Incidence,Among Population,21.14338,7.505526,-,-,-
40000000,1991,All,Poverty,Incidence,Among Population,22.73936,6.988897,-,-,-
170000000,1991,All,Poverty,Incidence,Among Population,44.36899,7.924718,-,-,-
90000000,1991,All,Poverty,Incidence,Among Population,54.47918,5.037914,-,-,-
50000000,1991,All,Poverty,Incidence,Among Population,39.55503,4.709223,-,-,-
60000000,1991,All,Poverty,Incidence,Among Population,43.64526,6.257722,-,-,-
70000000,1991,All,Poverty,Incidence,Among Population,49.97332,5.513776,-,-,-
80000000,1991,All,Poverty,Incidence,Among Population,40.27374,11.52889,-,-,-
100000000,1991,All,Poverty,Incidence,Among Population,46.59507,8.722845,-,-,-
110000000,1991,All,Poverty,Incidence,Among Population,39.57391,8.738833,-,-,-
120000000,1991,All,Poverty,Incidence,Among Population,53.26728,6.471054,-,-,-
160000000,1991,All,Poverty,Incidence,Among Population,54.26355,7.579937,-,-,-
150000000,1991,All,Poverty,Incidence,Among Population,30.4762,12.55977,-,-,-
130000000,2006,All,Poverty,Incidence,Among Population,4.65816,23.88858,1.11277,2.82765335,6.48866665
140000000,2006,All,Poverty,Incidence,Among Population,25.95381,9.927116,2.57647,21.71551685,30.19210315
10000000,2006,All,Poverty,Incidence,Among Population,25.94516,6.845305,1.77603,23.02359065,28.86672935
20000000,2006,All,Poverty,Incidence,Among Population,26.837,6.745972,1.81042,23.8588591,29.8151409
30000000,2006,All,Poverty,Incidence,Among Population,13.07735,7.391019,0.96655,11.48737525,14.66732475
40000000,2006,All,Poverty,Incidence,Among Population,10.27424,8.980639,0.92269,8.75641495,11.79206505
170000000,2006,All,Poverty,Incidence,Among Population,40.60386,6.578595,2.67116,36.2098018,44.9979182
90000000,2006,All,Poverty,Incidence,Among Population,44.22975,4.097291,1.81222,41.2486481,47.2108519
50000000,2006,All,Poverty,Incidence,Among Population,29.0808,6.02047,1.7508,26.200734,31.960866
60000000,2006,All,Poverty,Incidence,Among Population,35.89851,5.746968,2.06308,32.5047434,39.2922766
70000000,2006,All,Poverty,Incidence,Among Population,41.51343,5.197329,2.15759,37.96419445,45.06266555
80000000,2006,All,Poverty,Incidence,Among Population,44.96358,6.2992,2.83235,40.30436425,49.62279575
100000000,2006,All,Poverty,Incidence,Among Population,39.00815,5.592307,2.18146,35.4196483,42.5966517
110000000,2006,All,Poverty,Incidence,Among Population,30.63676,7.844538,2.40331,26.68331505,34.59020495
120000000,2006,All,Poverty,Incidence,Among Population,37.89521,5.528422,2.09501,34.44891855,41.34150145
160000000,2006,All,Poverty,Incidence,Among Population,49.24247,4.952075,2.43852,45.2311046,53.2538354
150000000,2006,All,Poverty,Incidence,Among Population,47.13538,6.877747,3.24185,41.80253675,52.46822325
130000000,2009,All,Poverty,Incidence,Among Population,3.61563,15.65073,0.56587,2.68477385,4.54648615
140000000,2009,All,Poverty,Incidence,Among Population,25.07613,11.33255,2.84177,20.40141835,29.75084165
10000000,2009,All,Poverty,Incidence,Among Population,21.96907,7.42377,1.63093,19.28619015,24.65194985
20000000,2009,All,Poverty,Incidence,Among Population,25.50237,7.255885,1.85042,22.4584291,28.5463109
30000000,2009,All,Poverty,Incidence,Among Population,13.68875,7.015639,0.96035,12.10897425,15.26852575
40000000,2009,All,Poverty,Incidence,Among Population,11.91638,8.689479,1.03547,10.21303185,13.61972815
170000000,2009,All,Poverty,Incidence,Among Population,34.54446,7.277466,2.51396,30.4089958,38.6799242
90000000,2009,All,Poverty,Incidence,Among Population,44.2068,4.39115,1.94119,41.01354245,47.40005755
50000000,2009,All,Poverty,Incidence,Among Population,30.80037,5.874078,1.80924,27.8241702,33.7765698
60000000,2009,All,Poverty,Incidence,Among Population,31.00908,6.588089,2.04291,27.64849305,34.36966695
70000000,2009,All,Poverty,Incidence,Among Population,42.58016,4.482114,1.90849,39.44069395,45.71962605
80000000,2009,All,Poverty,Incidence,Among Population,45.7703,5.895985,2.69861,41.33108655,50.20951345
100000000,2009,All,Poverty,Incidence,Among Population,40.10589,5.577694,2.23698,36.4260579,43.7857221
110000000,2009,All,Poverty,Incidence,Among Population,31.38389,8.684564,2.72555,26.90036025,35.86741975
120000000,2009,All,Poverty,Incidence,Among Population,38.31267,6.074844,2.32744,34.4840312,42.1413088
160000000,2009,All,Poverty,Incidence,Among Population,54.35336,3.884987,2.11162,50.8797451,57.8269749
150000000,2009,All,Poverty,Incidence,Among Population,47.44632,7.10361,3.3704,41.902012,52.990628
130000000,2012,All,Poverty,Incidence,Among Population,3.90751,12.8947,0.50386,3.0786603,4.7363597
140000000,2012,All,Poverty,Incidence,Among Population,22.84143,11.81009,2.69759,18.40389445,27.27896555
10000000,2012,All,Poverty,Incidence,Among Population,18.46063,8.059804,1.48789,16.01305095,20.90820905
20000000,2012,All,Poverty,Incidence,Among Population,22.1353,8.963861,1.98418,18.8713239,25.3992761
30000000,2012,All,Poverty,Incidence,Among Population,12.94896,7.919447,1.02549,11.26202895,14.63589105
40000000,2012,All,Poverty,Incidence,Among Population,10.92033,8.875907,0.96928,9.3258644,12.5147956
170000000,2012,All,Poverty,Incidence,Among Population,31.01747,9.480724,2.94068,26.1800514,35.8548886
90000000,2012,All,Poverty,Incidence,Among Population,41.05572,5.558653,2.28214,37.3015997,44.8098403
50000000,2012,All,Poverty,Incidence,Among Population,29.13528,5.917222,1.724,26.2993,31.97126
60000000,2012,All,Poverty,Incidence,Among Population,30.21944,6.16081,1.86176,27.1568448,33.2820352
70000000,2012,All,Poverty,Incidence,Among Population,45.22896,4.59573,2.0786,41.809663,48.648257
80000000,2012,All,Poverty,Incidence,Among Population,40.10553,5.985635,2.38944,36.15659235,44.05446765
100000000,2012,All,Poverty,Incidence,Among Population,39.47115,6.942562,2.74031,34.96334005,43.97895995
110000000,2012,All,Poverty,Incidence,Among Population,30.7437,8.246402,2.53525,26.57321375,34.91418625
120000000,2012,All,Poverty,Incidence,Among Population,44.7442,5.842808,2.61432,40.4436436,49.0447564
160000000,2012,All,Poverty,Incidence,Among Population,40.32691,5.50309,2.21923,36.67627665,43.97754335
150000000,2012,All,Poverty,Incidence,Among Population,55.81916,5.783081,3.22807,50.50898485,61.12933515
130000000,1991,All,Poverty,Magnitude,Among Population,626484.4,-,-,-,-
140000000,1991,All,Poverty,Magnitude,Among Population,527373.1,-,-,-,-
10000000,1991,All,Poverty,Magnitude,Among Population,1298408,-,-,-,-
20000000,1991,All,Poverty,Magnitude,Among Population,1028542,-,-,-,-
30000000,1991,All,Poverty,Magnitude,Among Population,1381300,-,-,-,-
40000000,1991,All,Poverty,Magnitude,Among Population,1458036,-,-,-,-
170000000,1991,All,Poverty,Magnitude,Among Population,820158,-,-,-,-
90000000,1991,All,Poverty,Magnitude,Among Population,2450496,-,-,-,-
50000000,1991,All,Poverty,Magnitude,Among Population,2256410,-,-,-,-
60000000,1991,All,Poverty,Magnitude,Among Population,1965272,-,-,-,-
70000000,1991,All,Poverty,Magnitude,Among Population,1662289,-,-,-,-
80000000,1991,All,Poverty,Magnitude,Among Population,913814.5,-,-,-,-
100000000,1991,All,Poverty,Magnitude,Among Population,1403070,-,-,-,-
110000000,1991,All,Poverty,Magnitude,Among Population,1138325,-,-,-,-
120000000,1991,All,Poverty,Magnitude,Among Population,1216120,-,-,-,-
160000000,1991,All,Poverty,Magnitude,Among Population,972186.4,-,-,-,-
150000000,1991,All,Poverty,Magnitude,Among Population,631371.9,-,-,-,-
130000000,2006,All,Poverty,Magnitude,Among Population,499873.5,-,119066.39,304009.2885,695737.7116
140000000,2006,All,Poverty,Magnitude,Among Population,392116.9,-,38925.97864,328083.6651,456150.1349
10000000,2006,All,Poverty,Magnitude,Among Population,1165924,-,79811.27166,1034634.458,1297213.542
20000000,2006,All,Poverty,Magnitude,Among Population,814424.8,-,54940.97868,724046.8901,904802.7099
30000000,2006,All,Poverty,Magnitude,Among Population,1217921,-,90016.83126,1069843.313,1365998.687
40000000,2006,All,Poverty,Magnitude,Among Population,1140958,-,102418.59,972479.4195,1309436.581
170000000,2006,All,Poverty,Magnitude,Among Population,1047968,-,68941.51771,934559.2034,1161376.797
90000000,2006,All,Poverty,Magnitude,Among Population,2280000,-,93418.16502,2126327.119,2433672.881
50000000,2006,All,Poverty,Magnitude,Among Population,1942554,-,116950.8488,1750169.854,2134938.146
60000000,2006,All,Poverty,Magnitude,Among Population,2274400,-,130709.2598,2059383.268,2489416.732
70000000,2006,All,Poverty,Magnitude,Among Population,1627468,-,84584.88538,1488325.864,1766610.136
80000000,2006,All,Poverty,Magnitude,Among Population,1426807,-,89877.54638,1278958.436,1574655.564
100000000,2006,All,Poverty,Magnitude,Among Population,1550490,-,86708.32305,1407854.809,1693125.191
110000000,2006,All,Poverty,Magnitude,Among Population,1269291,-,99569.92639,1105498.471,1433083.529
120000000,2006,All,Poverty,Magnitude,Among Population,1410648,-,77986.6844,1282359.904,1538936.096
160000000,2006,All,Poverty,Magnitude,Among Population,1132669,-,56090.52003,1040400.095,1224937.905
150000000,2006,All,Poverty,Magnitude,Among Population,1450467,-,99759.40768,1286362.774,1614571.226
130000000,2009,All,Poverty,Magnitude,Among Population,403458.2,-,63143.87716,299586.5221,507329.8779
140000000,2009,All,Poverty,Magnitude,Among Population,390066,-,44204.49963,317349.5981,462782.4019
10000000,2009,All,Poverty,Magnitude,Among Population,1005574,-,74651.36831,882772.4991,1128375.501
20000000,2009,All,Poverty,Magnitude,Among Population,790985.2,-,57392.88578,696573.9029,885396.4971
30000000,2009,All,Poverty,Magnitude,Among Population,1329044,-,93240.62159,1175663.177,1482424.823
40000000,2009,All,Poverty,Magnitude,Among Population,1419975,-,123388.3241,1217001.207,1622948.793
170000000,2009,All,Poverty,Magnitude,Among Population,921622.3,-,67070.71817,811290.9686,1031953.631
90000000,2009,All,Poverty,Magnitude,Among Population,2338850,-,102702.5587,2169904.291,2507795.709
50000000,2009,All,Poverty,Magnitude,Among Population,2110806,-,123990.5462,1906841.551,2314770.449
60000000,2009,All,Poverty,Magnitude,Among Population,2042027,-,134530.8533,1820723.746,2263330.254
70000000,2009,All,Poverty,Magnitude,Among Population,1708941,-,76596.63543,1582939.535,1834942.465
80000000,2009,All,Poverty,Magnitude,Among Population,1510806,-,89076.90627,1364274.489,1657337.511
100000000,2009,All,Poverty,Magnitude,Among Population,1661208,-,92656.96431,1508787.294,1813628.706
110000000,2009,All,Poverty,Magnitude,Among Population,1356480,-,117804.24,1162692.025,1550267.975
120000000,2009,All,Poverty,Magnitude,Among Population,1511050,-,91794.11723,1360048.677,1662051.323
160000000,2009,All,Poverty,Magnitude,Among Population,1291683,-,50181.67795,1209134.14,1374231.86
150000000,2009,All,Poverty,Magnitude,Among Population,1507868,-,107113.0309,1331667.064,1684068.936
130000000,2012,All,Poverty,Magnitude,Among Population,460831.2,-,59455.48,363026.9354,558635.4646
140000000,2012,All,Poverty,Magnitude,Among Population,373740.1,-,44138.96569,301131.5014,446348.6986
10000000,2012,All,Poverty,Magnitude,Among Population,876649.7,-,70656.23589,760420.192,992879.208
20000000,2012,All,Poverty,Magnitude,Among Population,716754,-,64248.91907,611064.5281,822443.4719
30000000,2012,All,Poverty,Magnitude,Among Population,1340361,-,106650.96,1164920.171,1515801.829
40000000,2012,All,Poverty,Magnitude,Among Population,1425774,-,126975.68,1216899.006,1634648.994
170000000,2012,All,Poverty,Magnitude,Among Population,876237.9,-,83073.68068,739581.6953,1012894.105
90000000,2012,All,Poverty,Magnitude,Among Population,2276848,-,126561.8247,2068653.798,2485042.202
50000000,2012,All,Poverty,Magnitude,Among Population,2088471,-,123579.5611,1885182.622,2291759.378
60000000,2012,All,Poverty,Magnitude,Among Population,2094911,-,129063.3098,1882601.855,2307220.145
70000000,2012,All,Poverty,Magnitude,Among Population,1882934,-,86534.52918,1740584.7,2025283.3
80000000,2012,All,Poverty,Magnitude,Among Population,1409819,-,84386.56505,1271003.1,1548634.9
100000000,2012,All,Poverty,Magnitude,Among Population,1759570,-,122159.2656,1558618.008,1960521.992
110000000,2012,All,Poverty,Magnitude,Among Population,1411063,-,116361.9918,1219647.523,1602478.477
120000000,2012,All,Poverty,Magnitude,Among Population,1895820,-,110769.209,1713604.651,2078035.349
160000000,2012,All,Poverty,Magnitude,Among Population,1001923,-,55136.81373,911222.9414,1092623.059
150000000,2012,All,Poverty,Magnitude,Among Population,1854188,-,107229.2545,1677795.876,2030580.124
130000000,1991,All,Subsistence,Incidence,Among Families,1.06519,17.96367,-,-,-
140000000,1991,All,Subsistence,Incidence,Among Families,22.28152,24.99022,-,-,-
10000000,1991,All,Subsistence,Incidence,Among Families,14.20494,11.74789,-,-,-
20000000,1991,All,Subsistence,Incidence,Among Families,17.20348,12.63417,-,-,-
30000000,1991,All,Subsistence,Incidence,Among Families,6.74735,11.71592,-,-,-
40000000,1991,All,Subsistence,Incidence,Among Families,5.77192,12.12936,-,-,-
170000000,1991,All,Subsistence,Incidence,Among Families,18.46517,12.069,-,-,-
90000000,1991,All,Subsistence,Incidence,Among Families,25.99514,7.642529,-,-,-
50000000,1991,All,Subsistence,Incidence,Among Families,14.88018,8.49718,-,-,-
60000000,1991,All,Subsistence,Incidence,Among Families,20.9031,10.15471,-,-,-
70000000,1991,All,Subsistence,Incidence,Among Families,23.09137,8.45676,-,-,-
80000000,1991,All,Subsistence,Incidence,Among Families,19.09809,14.92944,-,-,-
100000000,1991,All,Subsistence,Incidence,Among Families,23.65949,10.65132,-,-,-
110000000,1991,All,Subsistence,Incidence,Among Families,16.50843,14.23718,-,-,-
120000000,1991,All,Subsistence,Incidence,Among Families,26.42709,10.76796,-,-,-
160000000,1991,All,Subsistence,Incidence,Among Families,28.25271,10.79712,-,-,-
150000000,1991,All,Subsistence,Incidence,Among Families,9.37876,18.72424,-,-,-
130000000,2006,All,Subsistence,Incidence,Among Families,0.53017,24.57381,0.13028,0.3158594,0.7444806
140000000,2006,All,Subsistence,Incidence,Among Families,10.18121,14.85794,1.51272,7.6927856,12.6696344
10000000,2006,All,Subsistence,Incidence,Among Families,6.97991,10.75679,0.75081,5.74482755,8.21499245
20000000,2006,All,Subsistence,Incidence,Among Families,6.99713,12.80571,0.89603,5.52316065,8.47109935
30000000,2006,All,Subsistence,Incidence,Among Families,2.76468,13.88112,0.38377,2.13337835,3.39598165
