psgc_regn,pov_sect_year,pov_sect_sector,pov_reign_measure,estimate,coefficient_of_variation,lower_limit,upper_limit
150000000,2012,Women,Incidence,55.03243,6.261797,49.3637271,60.7011329
130000000,2003,Youth,Incidence,2.24271,16.22514,1.644127,2.841293
140000000,2003,Youth,Incidence,15.65647,13.6509,12.14069,19.17225
10000000,2003,Youth,Incidence,16.62991,9.681401,13.98144,19.27838
20000000,2003,Youth,Incidence,14.02062,12.35456,11.17117,16.87007
30000000,2003,Youth,Incidence,8.92636,10.77205,7.34461,10.50811
40000000,2003,Youth,Incidence,9.20374,11.41443,7.475585,10.93189
170000000,2003,Youth,Incidence,28.18419,9.084705,23.97225,32.39613
50000000,2003,Youth,Incidence,35.68531,5.995759,32.16565,39.20497
60000000,2003,Youth,Incidence,24.87353,8.352043,21.45612,28.29094
70000000,2003,Youth,Incidence,28.51796,8.261502,24.64232,32.3936
80000000,2003,Youth,Incidence,28.83722,7.315772,25.36683,32.30761
90000000,2003,Youth,Incidence,39.69607,8.87554,33.90034,45.4918
100000000,2003,Youth,Incidence,32.07273,8.385234,27.64872,36.49674
110000000,2003,Youth,Incidence,24.57911,10.16608,20.4687,28.68952
120000000,2003,Youth,Incidence,28.85659,8.543059,24.80127,32.91191
160000000,2003,Youth,Incidence,29.34829,10.34037,24.35618,34.3404
150000000,2003,Youth,Incidence,36.49603,8.027534,31.67662,41.31544
130000000,2006,Youth,Incidence,3.09542,19.03344,2.12623535,4.06460465
140000000,2006,Youth,Incidence,25.03886,12.58178,19.85656715,30.22115285
10000000,2006,Youth,Incidence,21.40016,9.248733,18.1443102,24.6560098
20000000,2006,Youth,Incidence,23.5296,8.755779,20.140571,26.918629
30000000,2006,Youth,Incidence,10.22414,11.30347,8.3230464,12.1252336
40000000,2006,Youth,Incidence,6.87641,16.88178,4.9667953,8.7860247
170000000,2006,Youth,Incidence,34.48646,9.744181,28.9585691,40.0143509
50000000,2006,Youth,Incidence,37.41384,6.51869,33.40186595,41.42581405
60000000,2006,Youth,Incidence,23.26074,8.855883,19.8721387,26.6493413
70000000,2006,Youth,Incidence,27.72935,8.287469,23.9490413,31.5096587
80000000,2006,Youth,Incidence,32.95773,7.470411,28.9076084,37.0078516
90000000,2006,Youth,Incidence,37.84049,8.846677,32.33363865,43.34734135
100000000,2006,Youth,Incidence,31.77707,7.772573,27.7140845,35.8400555
110000000,2006,Youth,Incidence,23.42447,11.87633,18.84812935,28.00081065
120000000,2006,Youth,Incidence,33.36221,7.505608,29.2430642,37.4813558
160000000,2006,Youth,Incidence,44.12474,8.207725,38.1671422,50.0823378
150000000,2006,Youth,Incidence,40.27044,9.92622,33.69483215,46.84604785
130000000,2009,Youth,Incidence,2.71027,20.68736,1.7879514,3.6325886
140000000,2009,Youth,Incidence,21.50233,13.02718,16.89443825,26.11022175
10000000,2009,Youth,Incidence,18.25951,10.78835,15.0190245,21.4999955
20000000,2009,Youth,Incidence,22.38796,10.88685,18.3785357,26.3973843
30000000,2009,Youth,Incidence,10.74084,9.701101,9.0267829,12.4548971
40000000,2009,Youth,Incidence,9.65789,13.45238,7.5206731,11.7951069
170000000,2009,Youth,Incidence,26.41461,10.24215,21.96417765,30.86504235
50000000,2009,Youth,Incidence,37.67643,6.526325,33.63155595,41.72130405
60000000,2009,Youth,Incidence,25.57122,8.857248,21.84544305,29.29699695
70000000,2009,Youth,Incidence,24.0472,8.885975,20.53211465,27.56228535
80000000,2009,Youth,Incidence,38.02497,5.978364,34.28544085,41.76449915
90000000,2009,Youth,Incidence,38.92544,8.660336,33.38002985,44.47085015
100000000,2009,Youth,Incidence,35.8181,8.513344,30.8019686,40.8342314
110000000,2009,Youth,Incidence,24.69837,12.24842,19.7219818,29.6747582
120000000,2009,Youth,Incidence,32.90571,8.543376,28.2811873,37.5302327
160000000,2009,Youth,Incidence,47.25034,6.190207,42.43889595,52.06178405
150000000,2009,Youth,Incidence,40.38841,9.304167,34.206829,46.569991
130000000,2012,Youth,Incidence,2.29248,20.96916,1.50171205,3.08324795
140000000,2012,Youth,Incidence,20.98271,17.17582,15.05421225,26.91120775
10000000,2012,Youth,Incidence,15.10903,12.19381,12.07833135,18.13972865
20000000,2012,Youth,Incidence,19.57121,12.77433,15.45856195,23.68385805
30000000,2012,Youth,Incidence,10.7927,11.3919,8.77018895,12.81521105
40000000,2012,Youth,Incidence,7.7985,12.45081,6.2012379,9.3957621
170000000,2012,Youth,Incidence,28.51745,10.8293,23.4372952,33.5976048
50000000,2012,Youth,Incidence,36.20448,8.654403,31.0502344,41.3587256
60000000,2012,Youth,Incidence,23.78851,7.577325,20.82334815,26.75367185
70000000,2012,Youth,Incidence,25.80859,9.265999,21.8747041,29.7424759
80000000,2012,Youth,Incidence,41.62079,6.42301,37.22319505,46.01838495
90000000,2012,Youth,Incidence,33.03726,8.271102,28.54221525,37.53230475
100000000,2012,Youth,Incidence,34.99462,8.440147,30.135948,39.853292
110000000,2012,Youth,Incidence,26.59114,12.76228,21.00861865,32.17366135
120000000,2012,Youth,Incidence,37.86756,11.30924,30.82279815,44.91232185
160000000,2012,Youth,Incidence,35.48083,8.155428,30.72084155,40.24081845
150000000,2012,Youth,Incidence,48.76897,8.629336,41.8460862,55.6918538
130000000,2003,Children,Incidence,5.1624,12.60959,4.091571,6.233229
140000000,2003,Children,Incidence,28.14661,10.78855,23.15139,33.14183
10000000,2003,Children,Incidence,31.15062,6.969671,27.57916,34.72208
20000000,2003,Children,Incidence,25.96792,9.237607,22.02188,29.91396
30000000,2003,Children,Incidence,17.5395,8.160178,15.18509,19.89391
40000000,2003,Children,Incidence,17.474,8.900893,14.91547,20.03253
170000000,2003,Children,Incidence,44.44588,5.511328,40.41635,48.47541
50000000,2003,Children,Incidence,55.68312,4.01757,52.00307,59.36317
60000000,2003,Children,Incidence,40.55782,6.167273,36.44317,44.67247
70000000,2003,Children,Incidence,45.98478,6.28851,41.22783,50.74173
80000000,2003,Children,Incidence,46.72145,5.241493,42.69301,50.74989
90000000,2003,Children,Incidence,55.00448,6.045265,49.53458,60.47438
100000000,2003,Children,Incidence,46.83282,6.453684,41.86091,51.80473
110000000,2003,Children,Incidence,38.32051,7.999086,33.27811,43.36291
120000000,2003,Children,Incidence,41.54909,6.902349,36.83146,46.26672
160000000,2003,Children,Incidence,38.50669,9.519831,32.4765,44.53688
150000000,2003,Children,Incidence,51.39309,5.647344,46.61874,56.16744
130000000,2006,Children,Incidence,7.14543,21.26396,4.646017,9.644843
140000000,2006,Children,Incidence,35.24215,10.8818,28.9336079,41.5506921
10000000,2006,Children,Incidence,34.4388,7.263521,30.32388185,38.55371815
20000000,2006,Children,Incidence,34.39344,7.322987,30.25029365,38.53658635
30000000,2006,Children,Incidence,17.53269,9.083426,14.91291235,20.15246765
40000000,2006,Children,Incidence,15.37887,11.15333,12.5572673,18.2004727
170000000,2006,Children,Incidence,50.55045,6.409616,45.22050195,55.88039805
50000000,2006,Children,Incidence,53.4824,4.103322,49.87236525,57.09243475
60000000,2006,Children,Incidence,39.37218,6.081209,35.4335565,43.3108035
70000000,2006,Children,Incidence,45.63532,6.284124,40.9178219,50.3528181
80000000,2006,Children,Incidence,50.95983,5.701664,46.1801838,55.7394762
90000000,2006,Children,Incidence,55.0492,6.712801,48.9703657,61.1280343
100000000,2006,Children,Incidence,47.51221,5.472496,43.2350455,51.7893745
110000000,2006,Children,Incidence,39.91601,8.819898,34.12470525,45.70731475
120000000,2006,Children,Incidence,45.40446,5.515671,41.2847878,49.5241322
160000000,2006,Children,Incidence,58.32115,5.13784,53.39198975,63.25031025
150000000,2006,Children,Incidence,52.60244,6.906571,46.6261221,58.5787579
130000000,2009,Children,Incidence,6.12334,16.20213,4.49131905,7.75536095
140000000,2009,Children,Incidence,33.37523,12.36984,26.5839133,40.1665467
10000000,2009,Children,Incidence,29.52601,8.333383,25.4784546,33.5735654
20000000,2009,Children,Incidence,32.88652,8.870527,28.08770955,37.68533045
30000000,2009,Children,Incidence,19.55203,8.392276,16.8528153,22.2512447
40000000,2009,Children,Incidence,17.64746,9.535832,14.87920465,20.41571535
170000000,2009,Children,Incidence,44.36275,6.823997,39.38282505,49.34267495
50000000,2009,Children,Incidence,53.41774,4.298483,49.64057325,57.19490675
60000000,2009,Children,Incidence,40.99637,6.054638,36.9131839,45.0795561
70000000,2009,Children,Incidence,40.19403,7.247995,35.4017173,44.9863427
80000000,2009,Children,Incidence,52.57472,5.185808,48.0897591,57.0596809
90000000,2009,Children,Incidence,54.60429,6.12396,49.1035087,60.1050713
100000000,2009,Children,Incidence,49.2904,5.538661,44.79950065,53.78129935
110000000,2009,Children,Incidence,40.80707,10.65409,33.6552351,47.9589049
120000000,2009,Children,Incidence,46.74823,6.246337,41.94474775,51.55171225
160000000,2009,Children,Incidence,63.37425,3.775724,59.4380282,67.3104718
150000000,2009,Children,Incidence,56.11709,7.699113,49.0098346,63.2243454
130000000,2012,Children,Incidence,7.06741,15.32066,5.28625335,8.84856665
140000000,2012,Children,Incidence,30.99989,13.10774,24.31561345,37.68416655
10000000,2012,Children,Incidence,26.59757,9.349858,22.5067182,30.6884218
20000000,2012,Children,Incidence,29.32993,9.190061,24.8959312,33.7639288
30000000,2012,Children,Incidence,19.76083,8.775895,16.90808745,22.61357255
40000000,2012,Children,Incidence,18.1371,10.49275,15.0065334,21.2676666
170000000,2012,Children,Incidence,39.93279,9.520837,33.6785987,46.1869813
50000000,2012,Children,Incidence,51.09412,5.482541,46.4860473,55.7021927
60000000,2012,Children,Incidence,39.89114,6.346582,35.7264606,44.0558194
70000000,2012,Children,Incidence,40.35375,7.943897,35.0804393,45.6270607
80000000,2012,Children,Incidence,56.53566,4.504843,52.3461082,60.7252118
90000000,2012,Children,Incidence,48.58471,6.63098,43.2851122,53.8843078
100000000,2012,Children,Incidence,50.5794,6.696372,45.0078179,56.1509821
110000000,2012,Children,Incidence,40.80194,7.720083,35.6202887,45.9835913
120000000,2012,Children,Incidence,54.12872,6.290118,48.5278898,59.7295502
160000000,2012,Children,Incidence,49.70134,6.40664,44.46334745,54.93933255
150000000,2012,Children,Incidence,64.14244,5.44463,58.3975736,69.8873064
130000000,2003,Senior Citizens,Incidence,0.97939,32.61102,0.453993,1.504787
140000000,2003,Senior Citizens,Incidence,12.25974,16.98711,8.833912,15.68557
10000000,2003,Senior Citizens,Incidence,9.90258,14.15775,7.596323,12.20884
20000000,2003,Senior Citizens,Incidence,8.87215,15.88651,6.553555,11.19074
30000000,2003,Senior Citizens,Incidence,6.92647,15.62462,5.146185,8.706755
40000000,2003,Senior Citizens,Incidence,7.47918,14.78462,5.660188,9.298172
170000000,2003,Senior Citizens,Incidence,22.06476,11.90692,17.74297,26.38655
50000000,2003,Senior Citizens,Incidence,23.75678,8.916091,20.27237,27.24119
60000000,2003,Senior Citizens,Incidence,14.04226,11.94758,11.28243,16.80209
70000000,2003,Senior Citizens,Incidence,27.52108,9.031186,23.43247,31.60969
80000000,2003,Senior Citizens,Incidence,20.30762,9.732944,17.05623,23.55901
90000000,2003,Senior Citizens,Incidence,35.48566,9.174218,30.13031,40.84101
100000000,2003,Senior Citizens,Incidence,24.0051,10.3992,19.89862,28.11158
110000000,2003,Senior Citizens,Incidence,20.49837,12.10523,16.4165,24.58024
120000000,2003,Senior Citizens,Incidence,20.71259,10.75128,17.04939,24.37579
160000000,2003,Senior Citizens,Incidence,18.47514,16.44613,13.47691,23.47337
150000000,2003,Senior Citizens,Incidence,27.96979,7.906554,24.33195,31.60763
130000000,2006,Senior Citizens,Incidence,1.43291,28.24182,0.7672114,2.0986086
140000000,2006,Senior Citizens,Incidence,19.87767,15.79078,14.7142782,25.0410618
10000000,2006,Senior Citizens,Incidence,14.18863,16.52132,10.33250325,18.04475675
20000000,2006,Senior Citizens,Incidence,15.17426,16.53851,11.045968,19.302552
30000000,2006,Senior Citizens,Incidence,6.80077,15.36528,5.0818108,8.5197292
40000000,2006,Senior Citizens,Incidence,4.9017,26.60829,2.7561923,7.0472077
170000000,2006,Senior Citizens,Incidence,19.65617,17.93753,13.85617965,25.45616035
50000000,2006,Senior Citizens,Incidence,23.83382,12.94883,18.757021,28.910619
60000000,2006,Senior Citizens,Incidence,14.90067,15.5527,11.0884483,18.7128917
70000000,2006,Senior Citizens,Incidence,28.28676,10.94927,23.19188245,33.38163755
80000000,2006,Senior Citizens,Incidence,26.96998,10.27352,22.41206335,31.52789665
90000000,2006,Senior Citizens,Incidence,37.53272,12.14728,30.03281955,45.03262045
100000000,2006,Senior Citizens,Incidence,24.97363,14.90663,18.84973915,31.09752085
110000000,2006,Senior Citizens,Incidence,20.40417,16.57936,14.8393324,25.9690076
120000000,2006,Senior Citizens,Incidence,24.44174,12.57791,19.3845823,29.4988977
160000000,2006,Senior Citizens,Incidence,33.18304,9.813733,27.82611395,38.53996605
150000000,2006,Senior Citizens,Incidence,35.50154,17.78114,25.1173459,45.8857341
130000000,2009,Senior Citizens,Incidence,0.94974,46.57664,0.2220578,1.6774222
140000000,2009,Senior Citizens,Incidence,14.52551,18.27002,10.15999255,18.89102745
10000000,2009,Senior Citizens,Incidence,13.06012,12.90717,10.28715995,15.83308005
20000000,2009,Senior Citizens,Incidence,16.15997,14.47265,12.3126769,20.0072631
30000000,2009,Senior Citizens,Incidence,7.32133,14.89394,5.52757265,9.11508735
40000000,2009,Senior Citizens,Incidence,6.15487,17.77403,4.35528935,7.95445065
170000000,2009,Senior Citizens,Incidence,20.25787,13.7568,15.6735182,24.8422218
50000000,2009,Senior Citizens,Incidence,23.8574,8.871252,20.37583975,27.33896025
60000000,2009,Senior Citizens,Incidence,14.00554,11.4111,11.37651745,16.63456255
70000000,2009,Senior Citizens,Incidence,23.18792,9.828314,19.4389979,26.9368421
80000000,2009,Senior Citizens,Incidence,24.4518,9.752898,20.5288698,28.3747302
90000000,2009,Senior Citizens,Incidence,33.26485,12.67486,26.32908585,40.20061415
100000000,2009,Senior Citizens,Incidence,29.47216,11.51891,23.88759885,35.05672115
110000000,2009,Senior Citizens,Incidence,20.56627,16.82667,14.8735501,26.2589899
120000000,2009,Senior Citizens,Incidence,24.43288,13.239,19.11184785,29.75391215
160000000,2009,Senior Citizens,Incidence,39.04285,7.945664,33.93971455,44.14598545
150000000,2009,Senior Citizens,Incidence,32.58045,13.24877,25.47979105,39.68110895
130000000,2012,Senior Citizens,Incidence,2.09613,22.78518,1.31046155,2.88179845
140000000,2012,Senior Citizens,Incidence,14.23324,21.49124,9.2013495,19.2651305
10000000,2012,Senior Citizens,Incidence,8.90984,12.40511,7.0916544,10.7280256
20000000,2012,Senior Citizens,Incidence,11.79443,19.56427,7.99860895,15.59025105
30000000,2012,Senior Citizens,Incidence,7.89718,15.11463,5.93365865,9.86070135
40000000,2012,Senior Citizens,Incidence,7.7498,14.25521,5.93248625,9.56711375
170000000,2012,Senior Citizens,Incidence,17.12787,18.39344,11.945462,22.310278
50000000,2012,Senior Citizens,Incidence,26.51325,10.48035,21.9423214,31.0841786
60000000,2012,Senior Citizens,Incidence,17.15868,10.04384,14.32370345,19.99365655
70000000,2012,Senior Citizens,Incidence,24.7753,8.915197,21.14187335,28.40872665
80000000,2012,Senior Citizens,Incidence,27.55478,11.01465,22.5621063,32.5474537
90000000,2012,Senior Citizens,Incidence,25.08975,11.54781,20.3236586,29.8558414
100000000,2012,Senior Citizens,Incidence,26.15537,11.36002,21.2676473,31.0430927
110000000,2012,Senior Citizens,Incidence,19.19021,15.8792,14.17748375,24.20293625
120000000,2012,Senior Citizens,Incidence,32.0649,12.09125,25.68715275,38.44264725
160000000,2012,Senior Citizens,Incidence,24.12527,11.63739,19.50685025,28.74368975
150000000,2012,Senior Citizens,Incidence,36.75618,16.78611,26.60664515,46.90571485
130000000,2003,Individuals Residing in Urban Areas,Incidence,3.14846,12.32797,2.50997,3.78695
140000000,2003,Individuals Residing in Urban Areas,Incidence,3.41616,45.20964,0.875556,5.956764
10000000,2003,Individuals Residing in Urban Areas,Incidence,18.53311,16.11559,13.61996,23.44626
20000000,2003,Individuals Residing in Urban Areas,Incidence,13.74459,20.85869,9.028474,18.46071
30000000,2003,Individuals Residing in Urban Areas,Incidence,9.53795,12.76412,7.535261,11.54064
40000000,2003,Individuals Residing in Urban Areas,Incidence,5.79892,11.2061,4.72995,6.86789
170000000,2003,Individuals Residing in Urban Areas,Incidence,26.69906,10.38598,22.13754,31.26058
50000000,2003,Individuals Residing in Urban Areas,Incidence,24.17877,11.65595,19.54272,28.81482
60000000,2003,Individuals Residing in Urban Areas,Incidence,13.44075,14.638,10.20428,16.67722
70000000,2003,Individuals Residing in Urban Areas,Incidence,18.56249,12.91182,14.61984,22.50514
80000000,2003,Individuals Residing in Urban Areas,Incidence,24.72743,13.03103,19.42685,30.02801
90000000,2003,Individuals Residing in Urban Areas,Incidence,17.26697,17.25911,12.36466,22.16928
100000000,2003,Individuals Residing in Urban Areas,Incidence,22.02755,12.88315,17.3593,26.6958
110000000,2003,Individuals Residing in Urban Areas,Incidence,15.67885,15.13684,11.7748,19.5829
120000000,2003,Individuals Residing in Urban Areas,Incidence,21.63263,15.44445,16.13662,27.12864
160000000,2003,Individuals Residing in Urban Areas,Incidence,22.29807,21.55939,14.39001,30.20613
150000000,2003,Individuals Residing in Urban Areas,Incidence,27.42086,13.70973,21.23676,33.60496
130000000,2006,Individuals Residing in Urban Areas,Incidence,4.46217,19.08531,3.0612551,5.8630849
140000000,2006,Individuals Residing in Urban Areas,Incidence,-,-,-,-
10000000,2006,Individuals Residing in Urban Areas,Incidence,18.00063,21.74462,11.56182035,24.43943965
20000000,2006,Individuals Residing in Urban Areas,Incidence,3.08132,91.43247,-1.5531714,7.7158114
30000000,2006,Individuals Residing in Urban Areas,Incidence,7.99412,13.83383,6.17493095,9.81330905
40000000,2006,Individuals Residing in Urban Areas,Incidence,5.0892,18.84325,3.51169435,6.66670565
170000000,2006,Individuals Residing in Urban Areas,Incidence,20.62702,24.01254,12.47921985,28.77482015
50000000,2006,Individuals Residing in Urban Areas,Incidence,27.33562,21.45568,17.6876292,36.9836108
60000000,2006,Individuals Residing in Urban Areas,Incidence,24.90161,14.11428,19.1199614,30.6832586
70000000,2006,Individuals Residing in Urban Areas,Incidence,20.10022,12.26354,16.045295,24.155145
80000000,2006,Individuals Residing in Urban Areas,Incidence,22.34594,18.7131,15.4671751,29.2247049
90000000,2006,Individuals Residing in Urban Areas,Incidence,17.5924,19.46767,11.95855465,23.22624535
100000000,2006,Individuals Residing in Urban Areas,Incidence,20.0221,13.96095,15.4238644,24.6203356
110000000,2006,Individuals Residing in Urban Areas,Incidence,18.85274,16.82569,13.6346355,24.0708445
120000000,2006,Individuals Residing in Urban Areas,Incidence,29.48168,10.03037,24.6172176,34.3461424
160000000,2006,Individuals Residing in Urban Areas,Incidence,36.51968,10.50426,30.2092626,42.8300974
150000000,2006,Individuals Residing in Urban Areas,Incidence,43.05515,20.78011,28.33748305,57.77281695
130000000,2009,Individuals Residing in Urban Areas,Incidence,3.60269,15.8488,2.6634279,4.5419521
140000000,2009,Individuals Residing in Urban Areas,Incidence,-,-,-,-
10000000,2009,Individuals Residing in Urban Areas,Incidence,20.22373,20.38699,13.44137855,27.00608145
20000000,2009,Individuals Residing in Urban Areas,Incidence,8.75281,42.35309,2.65464695,14.85097305
30000000,2009,Individuals Residing in Urban Areas,Incidence,7.75631,14.36167,5.92389515,9.58872485
40000000,2009,Individuals Residing in Urban Areas,Incidence,8.14519,14.42495,6.2124137,10.0779663
170000000,2009,Individuals Residing in Urban Areas,Incidence,27.09509,25.13396,15.89252485,38.29765515
50000000,2009,Individuals Residing in Urban Areas,Incidence,26.96738,19.12852,18.4817133,35.4530467
60000000,2009,Individuals Residing in Urban Areas,Incidence,25.12924,11.18461,20.50578655,29.75269345
70000000,2009,Individuals Residing in Urban Areas,Incidence,16.48164,15.10493,12.3863467,20.5769333
80000000,2009,Individuals Residing in Urban Areas,Incidence,23.3954,19.67555,15.82318535,30.96761465
90000000,2009,Individuals Residing in Urban Areas,Incidence,14.94159,16.38538,10.9142352,18.9689448
100000000,2009,Individuals Residing in Urban Areas,Incidence,18.71325,12.67284,14.8121325,22.6143675
110000000,2009,Individuals Residing in Urban Areas,Incidence,20.0348,16.21644,14.69031015,25.37928985
120000000,2009,Individuals Residing in Urban Areas,Incidence,28.50827,11.67331,23.0339403,33.9825997
160000000,2009,Individuals Residing in Urban Areas,Incidence,39.33153,6.888113,34.874896,43.788164
150000000,2009,Individuals Residing in Urban Areas,Incidence,28.49105,23.32072,17.5611436,39.4209564
130000000,2012,Individuals Residing in Urban Areas,Incidence,4.11312,14.04981,3.16249095,5.06374905
140000000,2012,Individuals Residing in Urban Areas,Incidence,-,-,-,-
10000000,2012,Individuals Residing in Urban Areas,Incidence,13.5505,18.84721,9.34935095,17.75164905
20000000,2012,Individuals Residing in Urban Areas,Incidence,22.95983,26.17458,13.0739722,32.8456878
30000000,2012,Individuals Residing in Urban Areas,Incidence,8.80926,14.17126,6.7556749,10.8628451
40000000,2012,Individuals Residing in Urban Areas,Incidence,5.57567,17.5894,3.96236915,7.18897085
170000000,2012,Individuals Residing in Urban Areas,Incidence,15.3501,30.44128,7.66339335,23.03680665
50000000,2012,Individuals Residing in Urban Areas,Incidence,22.7847,19.53413,15.46315045,30.10624955
60000000,2012,Individuals Residing in Urban Areas,Incidence,27.34483,13.94179,21.0734978,33.6161622
70000000,2012,Individuals Residing in Urban Areas,Incidence,17.21165,15.84833,12.7244848,21.6988152
80000000,2012,Individuals Residing in Urban Areas,Incidence,24.92415,17.63779,17.69261485,32.15568515
90000000,2012,Individuals Residing in Urban Areas,Incidence,16.06192,17.59862,11.4120314,20.7118086
100000000,2012,Individuals Residing in Urban Areas,Incidence,24.83232,13.73833,19.22032025,30.44431975
110000000,2012,Individuals Residing in Urban Areas,Incidence,19.6814,13.87512,15.1892011,24.1735989
120000000,2012,Individuals Residing in Urban Areas,Incidence,33.14015,14.35294,25.31555945,40.96474055
160000000,2012,Individuals Residing in Urban Areas,Incidence,29.94065,13.82925,23.12941235,36.75188765
150000000,2012,Individuals Residing in Urban Areas,Incidence,40.07428,14.98199,30.1978316,49.9507284
130000000,2003,Migrant and Formal Sector Workers,Incidence,1.62779,17.20626,1.167058,2.088522
140000000,2003,Migrant and Formal Sector Workers,Incidence,7.19787,18.53897,5.002766,9.392974
10000000,2003,Migrant and Formal Sector Workers,Incidence,13.45262,11.12134,10.99152,15.91372
20000000,2003,Migrant and Formal Sector Workers,Incidence,18.25089,11.60377,14.76713,21.73465
30000000,2003,Migrant and Formal Sector Workers,Incidence,8.86572,11.57345,7.177835,10.55361
40000000,2003,Migrant and Formal Sector Workers,Incidence,7.70099,11.12799,6.291291,9.110689
