particular,function_or_program_or_project_or_activity_1,function_or_program_or_project_or_activity_2,function_or_program_or_project_or_activity_3,code,annual_appropriation,allotments,obligation,balance_of_appropriation,balances_of_allotments
General Fund CY 2012,Administration of Justice,20% DF-Purchase of Heavy Equipments,20% DF-Purchase of Heavy Equipments,043-300,5037000,1259250,-,3777750,1259250
General Fund CY 2012,Administration of Justice,20% DF-Construction MOEDRC Dormitory,20% DF-Construction MOEDRC Dormitory,068-300,1800000,450000,-,1350000,450000
General Fund CY 2012,Administration of Justice,20% DF-PRMF Road Rehab Projects,20% DF-PRMF Road Rehab Projects,072-200,6700000,1675000,-,5025000,1675000
General Fund CY 2012,Administration of Justice,Cooperative Services,Cooperative Services,876,-,-,-,-,-
General Fund CY 2012,Economic Services,Personal Services,Personal Services,100,521000,144750,118048.99,376250,26701.01
General Fund CY 2012,Economic Services,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,200,240000,51750,5288.05,188250,46461.95
General Fund CY 2012,Economic Services,Capital Outlay,Capital Outlay,300,10000,2500,-,7500,2500
General Fund CY 2012,Economic Services,Environment and Natural Resources (ENRO),Environment and Natural Resources (ENRO),8731,-,-,-,-,-
General Fund CY 2012,Economic Services,Environment and Natural Resources (ENRO),Personal Services,100,2487000,657750,610014.54,1829250,47735.46
General Fund CY 2012,Economic Services,Environment and Natural Resources (ENRO),Maintenance and Other Operating Expenses,200,280000,95400,61099.74,184600,34300.26
General Fund CY 2012,Economic Services,Environment and Natural Resources (ENRO),Capital Outlay,300,35000,8750,-,26250,8750
General Fund CY 2012,Economic Services,Veterinary Services (veterinarian),Veterinary Services (veterinarian),8721,-,-,-,-,-
General Fund CY 2012,Economic Services,Veterinary Services (veterinarian),Personal Services,100,3131000,818750,707158.37,2312250,111591.63
General Fund CY 2012,Economic Services,Veterinary Services (veterinarian),Maintenance and Other Operating Expenses,200,400000,97650,35765.32,302350,61884.68
General Fund CY 2012,Economic Services,Veterinary Services (veterinarian),Capital Outlay,300,20000,5000,-,15000,5000
General Fund CY 2012,Economic Services,Engineering Services,Engineering Services,8751,-,-,-,-,-
General Fund CY 2012,Economic Services,Engineering Services,Personal Services,100,41453000,11859750,8977776.88,29593250,2881973.12
General Fund CY 2012,Economic Services,Engineering Services,Maintenance and Other Operating Expenses,200,10360000,3366325,2235690.4,6993675,1130634.6
General Fund CY 2012,Economic Services,Engineering Services,Capital Outlay,300,300000,75000,-,225000,75000
General Fund CY 2012,Economic Services,Agricultural Services,Agricultural Services,8711,-,-,-,-,-
General Fund CY 2012,Economic Services,Agricultural Services,Personal Services,100,16325000,4315250,2809155.88,12009750,1506094.12
General Fund CY 2012,Economic Services,Agricultural Services,Maintenance and Other Operating Expenses,200,2210000,529200,173209.88,1680800,355990.12
General Fund CY 2012,Economic Services,Agricultural Services,Capital Outlay,300,75000,18750,5000,56250,13750
General Fund CY 2012,Economic Services,DBM Sub-Depot,DBM Sub-Depot,1011-C,-,-,-,-,-
General Fund CY 2012,Economic Services,DBM Sub-Depot,Maintenance and Other Operating Expenses,200,200000,45000,9847.85,155000,35152.15
General Fund CY 2012,Economic Services,MOAP,MOAP,1011-E,-,-,-,-,-
General Fund CY 2012,Economic Services,MOAP,Maintenance and Other Operating Expenses,200,500000,387000,359342.04,113000,27657.96
General Fund CY 2012,Economic Services,MOABC,MOABC,1011-S,-,-,-,-,-
General Fund CY 2012,Economic Services,MOABC,Maintenance and Other Operating Expenses,200,500000,198000,143300,302000,54700
General Fund CY 2012,Economic Services,20% DF-RUD Projects (RUDF),20% DF-RUD Projects (RUDF),020-200,23000000,5750000,615000,17250000,5135000
General Fund CY 2012,Economic Services,20% DF-Environmental Management,20% DF-Environmental Management,044-200,2000000,500000,-,1500000,500000
General Fund CY 2012,Economic Services,20% DF-RUDP for LGU-Cities or Municipalities,20% DF-RUDP for LGU-Cities or Municipalities,067-200,25500000,6375000,-,19125000,6375000
General Fund CY 2012,Economic Services,20% DF-RUDP for LGU-Barangays,20% DF-RUDP for LGU-Barangays,069-200,10000000,2500000,-,7500000,2500000
General Fund CY 2012,Economic Services,20% DF-Community Fund for Agri Dev't,20% DF-Community Fund for Agri Dev't,073-200,2000000,500000,-,1500000,500000
General Fund CY 2012,Economic Services,20% DF-MRDP Plaridel-Bal-Calamba,20% DF-MRDP Plaridel-Bal-Calamba,074-300,2500000,625000,-,1875000,625000
General Fund CY 2012,Economic Services,20% DF-MRDP Alor-Pana-imen-Sinac,20% DF-MRDP Alor-Pana-imen-Sinac,075-300,2500000,625000,-,1875000,625000
General Fund CY 2012,Economic Services,20% DF-Productivity of Agri and Forest,20% DF-Productivity of Agri and Forest,077-200,3000000,750000,-,2250000,750000
General Fund CY 2012,Health Services,Provincial Hospital (PHO),Provincial Hospital (PHO),4421-1,-,-,-,-,-
General Fund CY 2012,Health Services,Provincial Hospital (PHO),Personal Services,100,15670000,6854250,3748244.47,8815750,3106005.53
General Fund CY 2012,Health Services,Provincial Hospital (PHO),Maintenance and Other Operating Expenses,200,1375000,331875,94103.29,1043125,237771.71
General Fund CY 2012,Health Services,Provincial Hospital (PHO),Capital Outlay,300,25000,6250,-,18750,6250
General Fund CY 2012,Health Services,20% DF-Medical Equipments,20% DF-Medical Equipments,076-300,3500000,875000,-,2625000,875000
General Fund CY 2012,Social Services,Social Welfare Services (DSWD Officer),Social Welfare Services (DSWD Officer),7611,-,-,-,-,-
General Fund CY 2012,Social Services,Social Welfare Services (DSWD Officer),Personal Services,100,6733000,1789000,1487353.56,4944000,301646.44
General Fund CY 2012,Social Services,Social Welfare Services (DSWD Officer),Maintenance and Other Operating Expenses,200,2048000,482400,252619.45,1565600,229780.55
General Fund CY 2012,Social Services,Social Welfare Services (DSWD Officer),Capital Outlay,300,162000,43000,-,119000,43000
General Fund CY 2012,Social Services,Tourism,Tourism,1011-B,-,-,-,-,-
General Fund CY 2012,Social Services,Tourism,Maintenance and Other Operating Expenses,200,1000000,238312.5,30773,761687.5,207539.5
General Fund CY 2012,Social Services,PGADC,PGADC,1011-K,-,-,-,-,-
General Fund CY 2012,Social Services,PGADC,Maintenance and Other Operating Expenses,200,300000,115575,58769.02,184425,56805.98
General Fund CY 2012,Social Services,MODTRC,MODTRC,1011-X,-,-,-,-,-
General Fund CY 2012,Social Services,MODTRC,Maintenance and Other Operating Expenses,200,500000,176000,93129.08,324000,82870.92
General Fund CY 2012,Social Services,GAD PPA's,GAD PPA's,1101-Y,-,-,-,-,-
General Fund CY 2012,Social Services,GAD PPA's,Maintenance and Other Operating Expenses,200,20849000,6407275,2724330.77,14441725,3682944.23
General Fund CY 2012,Social Services,GAD PPA's,Capital Outlay,300,10000,2500,-,7500,2500
General Fund CY 2012,Other Purposes,20% DF-DBP Loan Repayment,20% DF-DBP Loan Repayment,070-200,14000000,3500000,-,10500000,3500000
General Fund CY 2012,Other Purposes,20% DF-PVB Loan Repayment for Interest,20% DF-PVB Loan Repayment for Interest,071-200,3000000,750000,-,2250000,750000
General Fund CY 2012,Other Purposes,Subsidy to Economic Enterprise,Subsidy to Economic Enterprise,9999-200,56400000,14100000,14100000,42300000,-
General Fund CY 2012,Other Purposes,5% LDRRMF,5% LDRRMF,9998-200,8753000,-,-,8753000,-
General Fund CY 2012,Other Purposes,Other Purposes,Other Purposes,300,20000000,-,-,20000000,-
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,MOMEE-CEO,MOMEE-CEO,4422,-,-,-,-,-
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,MOMEE-CEO,Personal Services,100,976000,241750,-,725250,241750
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,MOMEE-CEO,Maintenance and Other Operating Expenses,200,210000,47250,-,162750,47250
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,MOMEE-CEO,Capital Outlay,300,130000,32500,-,97500,32500
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,General Adminitration (MOPH),General Adminitration (MOPH),4421,-,-,-,-,-
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,General Adminitration (MOPH),Personal Services,100,57400000,14350000,12821384.65,43050000,1528615.35
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,General Adminitration (MOPH),Maintenance and Other Operating Expenses,200,60522000,30261000,16409883.08,30261000,13851116.92
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,General Adminitration (MOPH),Capital Outlay,300,2460000,1230000,1144540,1230000,85460
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Calamba District Hospital,Calamba District Hospital,4421-2,-,-,-,-,-
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Calamba District Hospital,Personal Services,100,18916000,4729000,3744924.99,14187000,984075.01
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Calamba District Hospital,Maintenance and Other Operating Expenses,200,12440000,6220000,3118334.07,6220000,3101665.93
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Calamba District Hospital,Capital Outlay,300,900000,225000,47150,675000,177850
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Dona Maria D. Tan Memorial Hospital,Dona Maria D. Tan Memorial Hospital,4421-3,-,-,-,-,-
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Dona Maria D. Tan Memorial Hospital,Personal Services,100,21558000,5389500,4616613.26,16168500,772886.74
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Dona Maria D. Tan Memorial Hospital,Maintenance and Other Operating Expenses,200,12925000,3231250,2951572.63,9693750,279677.37
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Dona Maria D. Tan Memorial Hospital,Capital Outlay,300,505000,126250,-,378750,126250
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Tudela Municipal Hospital,Tudela Municipal Hospital,4421-4,-,-,-,-,-
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Tudela Municipal Hospital,Personal Services,100,7737000,1934250,1819832.47,5802750,114417.53
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Tudela Municipal Hospital,Maintenance and Other Operating Expenses,200,2107000,526750,439665.27,1580250,87084.73
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Tudela Municipal Hospital,Capital Outlay,300,400000,100000,4800,300000,95200
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Jimenez Medicare and community Hospital,Jimenez Medicare and community Hospital,4421-5,-,-,-,-,-
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Jimenez Medicare and community Hospital,Personal Services,100,5849000,1462250,1323697.2,4386750,138552.8
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Jimenez Medicare and community Hospital,Maintenance and Other Operating Expenses,200,3507000,876750,696616.37,2630250,180133.63
Misamis Occ. Medical Economic Enterprise CY 2012,Health Services,Jimenez Medicare and community Hospital,Capital Outlay,300,500000,125000,-,375000,125000
Misamis Occ. Medical Economic Enterprise CY 2012,Grand Total,Grand Total,Grand Total,-,209033000,71108500,49139013.99,137924500,21969486.01
