programs_or_projects,,appropriation,released_as_of_february_ira,to_be_released,obligations,balance_appropriation,balance_allocation,percent_of_accomplishment_financial
Social Services-Procurement of X-Ray Machine,Social Services-Procurement of X-Ray Machine,2000000,-,2000000,-,2000000,-,0
Social Services-Upgrading of Hospital Equipment,Procurement of Medical Equipments,497560,-,497560,-,497560,-,0
Social Services-Construction of OPD Building,Social Services-Construction of OPD Building,1400000,-,1400000,-,1400000,-,0
Social Services-Construction of Morgue,Social Services-Construction of Morgue,140000,-,140000,-,140000,-,0
Social Services-Construction of Day Care Centers,Social Services-Construction of Day Care Centers,3500000,-,3500000,-,3500000,-,0
Social Services-Completion of DCC,Social Services-Completion of DCC,1050000,-,1050000,-,1050000,-,0
Social Services-Rehabilitation of Child-Minding Center,Social Services-Rehabilitation of Child-Minding Center,500000,-,500000,-,500000,-,0
Social Services-Provision of Outdoor Facilities in Day Care Centers,Social Services-Provision of Outdoor Facilities in Day Care Centers,272500,-,272500,-,272500,-,0
Social Services-Construction of Community Kitchen,Social Services-Construction of Community Kitchen,300000,-,300000,-,300000,-,0
Social Services-Water System or Tubig Imnonon Natong Agusanon (TINA),Fabrication of Bio-Sand Filter,500000,-,500000,-,500000,-,0
Social Services-Water System or Tubig Imnonon Natong Agusanon (TINA),Construction  of Upgraded Iron and Manganese Removal Facilities,3000000,2019694,980306,1694226,980306,3525468,56.47
Social Services-Water System or Tubig Imnonon Natong Agusanon (TINA),Construction of Upgraded Bio-Sand Filter Facilities,400000,-,400000,-,400000,-,0
Social Services-Rehabilitation of Detention Cells,Social Services-Rehabilitation of Detention Cells,250000,-,250000,-,250000,-,0
Social Services-Rehabilitation of Jail Power Supply,Social Services-Rehabilitation of Jail Power Supply,250000,-,250000,-,250000,-,0
Social Services-Rehabilitation of Jail Water Supply,Social Services-Rehabilitation of Jail Water Supply,250000,-,250000,-,250000,-,0
Social Services-Establishment of Sports Facility,Social Services-Establishment of Sports Facility,250000,-,250000,-,250000,-,0
Social Services-Construction of Multi-Purpose Evacuation Center,Social Services-Construction of Multi-Purpose Evacuation Center,500000,-,500000,-,500000,-,0
Social Services-Ground Improvement of the Provincial Skills Training Center,Social Services-Ground Improvement of the Provincial Skills Training Center,300000,-,300000,-,300000,-,0
Social Services-Total Social Services,Social Services-Total Social Services,28200000,4310635,23889365,2494166,23889365,1816469,8.84
General Public Services-Support to Barangay Development Projects,General Public Services-Support to Barangay Development Projects,11500000,3475000,8025000,3475000,8025000,-,30.22
General Public Services-Support to Municipal Development Projects,General Public Services-Support to Municipal Development Projects,14000000,2000000,12000000,2000000,12000000,-,14.29
General Public Services-Total General Public Services,General Public Services-Total General Public Services,25500000,5475000,20025000,5475000,20025000,-,21.47
Total Project Cost,Total Project Cost,192700000,17968654,174731346,15152184.01,174731346,2816469.99,7.86
