trader_name,address,telephone_number,region,officers,e-mail_address
Butuan Golden Key Corporation,"054 Rosales St., Butuan City",(085)342-51-33,X (Northern Mindanao),Terence Uy,butuangoldenkey@gmail.com
"Capiz Sugar Central, Inc.","President Roxas, Capiz/ 21 P. Arroyo St., Iloilo City",(033)337-40-08,VI (Western Visayas),Felipe Uygongco,lafilipinauygongco@yahoo.com
Carlos Uy Corporation,"CUC Bldg., 2P. Arroyo St., Iloilo City",(033)337-38-06,VI (Western Visayas),Uy Chong Lam,-
Cebu Goldlander Commercial Corporation,"#36 Pres. Magsaysay St., Brgy. Kasambagan, Cebu City",(032)266-30-62,VII (Central Visayas),Ginalyn Ngo Go,-
Ceed Marketing Corporation,"Basak, Mandaue City, Cebu",(034)65-291-99,VII (Central Visayas),"Ernesto U. Dacay, Jr.",micsmc@dakaygroup.com
"Central Azucarera De Bais, Inc.","5/F Legaspi Tower 200, Paseo De Roxas, Makati City",(02)892-74-71/813-59-62,NCR (National Capital Region),Antonio Steven Chan,-
"Central Azucarera De La Carlota, Inc.","Brgy. RSB, La Carlota City, Negros Occidental",(034)460-28-25,VI (Western Visayas),Amelia Benitez,caci_isd@yahoo.com
"Central Azucarera De San Antonio, Inc.","5/F Legaspi Tower 200, Paseo De Roxas, Makati City",(02)893-81-82,NCR (National Capital Region),Antonio Steven Chan,casa_site@yahoo.com
"Central Azucarera Don Pedro, Inc.","6/F CG Bldg., 101 Aguirre St., Legaspi Vill., Makati City",(02)810-89-01,NCR (National Capital Region),Renato Valencia,sales@cadp.com.ph
Central Equipment Corporation.,"1040 Mc Arthur Highway, Sn. Nicolas, Tarlac City",(045)982-18-95,III (Central Luzon),Juan L. Chia,clement_chann77@yahoo.com
Charlie Ong World Commodities,"# 8 Tierra Soriano Townhouse,Urgello,Cebu City",(032)255-14-96,VII (Central Visayas),Janyt Bacus,charlieong888@yahoo.com
Chuliante Marketing Corporation,"CMC Center, Real St., Ormoc  City",(053)255-43-48,VIII (Eastern Visayas),Lloyd Lawrence Chu,-
"Coca-Cola Bottlers Philippines, Inc.","4/F King's Court Bldg., 2, 2129 Chino Roces Ave., Makati City",(02)866-23-00,NCR (National Capital Region),Ronald Asuncion,admin@ccbpi.com.ph
"Cocomart Commodities, Inc.","Brgy., Marasbaras, Tacloban City",(053)323-44-00,VIII (Eastern Visayas),Charles Uykim,cocomart@gmail.com
Commodity Carriers and Shipping Corporation,"San Pedro West,  Rosales, Pangasinan",(075)632-76-37,I (Ilocos Region),"Richard Sandoval, Jr.",richard.sandoval@yahoo.com
"Crisnap Agri-Products Supply, Inc.","39 P. Paterno St., E. Rodriguez, Quezon City",(02)711-39-78,NCR (National Capital Region),Napoleon Ilustre,-
Dcr Multisales Corporation,"Muralla Industrial Park, Perez, Meycauayan, Bulacan",-,III (Central Luzon),Danny R. Corral,-
Delmax Trading Corporation.,"Unit 508 Chinatown Steel Tower, 531 A. Asuncion St., Binondo, Manila",(02)245-33-11,NCR (National Capital Region),Rodolfo Delos Reyes,rudy@delmax.ph
"Dgl Commodities, Inc.","A.S. Fortuna St., Banilad, Mandaue, Cebu",(032)345-38-73,VII (Central Visayas),-,-
Dimagiba'S Store,"Public Market, Kabacan, Cotabato",(064)248-23-18,XII (SOCCSKSARGEN),Editha Dimagiba,-
"Dos Hermanas Multi-Purpose Coop., Inc.","Cor.Filipina & Mabini Sts., Talisay City, Negros Occ.",(034)495-03-53,VI (Western Visayas),Antonio Ortiz,dhMPCi_talisay@yahoo.com
Drn Trading Corporation,157-C Gonzaga St. Bacolod City,(034)435-0266,VI (Western Visayas),Nelson Se–oron,-
Dumaguete Industries and Marketing Corporation.,"Motong, Dumaguete City, Negros Oriental",(035)225-75-29,VII (Central Visayas),Emmanuel Gabonseng,-
"Dynamex, Inc.","Klg Bldg., Delbros Ave., cor. Venecia De Leon St., Para–aque City",(02)852-25-11,NCR (National Capital Region),Willy Cheng,hernan.rallos@yahoo.com
"E D and F Man Phils.,  Inc.","Unit 37D, 37/F Rufino Tower,  6784 Ayala Ave., Makati  City",(02)811-10-91,NCR (National Capital Region),Raul  Gamban,elaine.david@mansugarph.com
E S Marketing,"Yakal St., Capitol Shopping Center, Bacolod City",(034)433-70-23,VI (Western Visayas),Edgar Sy,-
Early Seven Marketing," Ormoc City, Region 8",(053)255-40-29,VIII (Eastern Visayas),Rosalinda Zamora,Early_7marketing@yahoo.com
Edison Lee Marketing Corporation,"628 Madrid St., Binondo, Manila",(02)242-70-40,NCR (National Capital Region),Edward Lee,edward@elmc.biz
Elaiza Jean Enterprises,"Purok 2, Sayre Highway, Valencia City",(088)828-21-96,X (Northern Mindanao),Jean Gina Tiu,-
"Etans Grp. Of Companies, Holdings and Trading, Inc.","Unit 1503-A West Tower PSEC, Exchange Rd., Ortigas Center, Pasig City",(02)687-34-16,NCR (National Capital Region),Pablo D. Tan,pablotan.etans@yahoo.com
Fa Agro-Venture Marketing Corporation.,"Syhongyao Bldg., Warehse #1 Arellano Blvd., Pier 4, North Reclamation,Cebu",(032)232-60-13,VII (Central Visayas),Francisco Ang,-
Farmers Multi-Purpose Cooperative,"Mara–on St., Sagay City, Negros Occidental",(034)488-02-66,VI (Western Visayas),Edgardo Sarrosa,-
"Federated Distributors, Inc.","FDI Bldg., Gomburza Extn., cor. Queensway Ave., Bo. Ibayo, Para–aque",(02)852-44-10,NCR (National Capital Region),Ronald Cheng,jenny@fdi.com.ph
Frank General Merchandising,"13A Escalante Shopping Mall, Escalante, Negros Occ.",(034)454-02-66,VI (Western Visayas),Frank Lim,-
G Force Sugar Trading,"Pinanowan, Salvador Benedicto, Negros Occ.",(034)433-21-17,VI (Western Visayas),-,-
G.E. San Pedro Palay Buying Station,"Sampaguita, Solana, Cagayan",0916-925-4279,II (Cagayan Valley),Eduardo San Pedro,-
Globe Commodities Corporation,"Rm. 307 I-Care Bldg., Legaspi St., Legaspi Village, Makati City",(02)818-44-43,NCR (National Capital Region),James Chua,globecomCorporation@yahoo.com
Gold Empire Trading Corporation,"2582 Tindalo Ave., Capitol Shopping Center, Bacolod City",(034)433-65-57,VI (Western Visayas),Gloria  Ynayan,-
Greater Bukidnon Multi-Purpose Cooperative,"Busco, Butong, Quezon, Bukidnon",(088)222-56-83,X (Northern Mindanao),Edgar Grino,jcg888@yahoo.com
"Harman Foods Philippines, Inc.","574 EDSA, Caloocan City",(02)364-84-21,NCR (National Capital Region),Alfredo Yao,ocleon@zesto.com.ph
Hawaiian-Philippine Company,Silay-Hawaiian Central Negros Occidental,(034)495-14-95,VI (Western Visayas),Ernesto Toledo,-
Hermano Oil Mfg. and Sugar Corporation.,"1 Piko St., Arty subd., Novaliches, Quezon City",(02)939-64-36,NCR (National Capital Region),Antonio Hermano,hermano_sugar@yahoo.com
"Herminio Teves and Co., Inc.","Unit 1 Grnd. Flr. 247 El Grande, BF INT, Las Pi–as City",(02)788-01-70,NCR (National Capital Region),Arnolfo Teves,h_teves@yahoo.com
"Hideco Sugar Milling Company, Inc.","Montebello, Kananga, Leyte",(053)553-00-58,VII (Central Visayas),Julio Sy,hisumco_mil@yahoo.com
IDD Marketing Corporation.,"707 Asuncion St., Binondo, Manila",(02)243-78-79/243-78-80,NCR (National Capital Region),William  Chua,-
Iloilo Grain Complex Corporation,"21 P. Arroyo St., Iloilo City",(033)337-71-62,VI (Western Visayas),Iris Pama,-
Inter-Asia Services Corporation. (International.),"Unit C, 17/F, Petron Mega Plaza Bldg.,358 G.Puyat, Bel-Air, Makati",(02)817-83-59,NCR (National Capital Region),Lydia Reyes,intrasia@pldtdsl.net
"Interbev Philippines, Inc.","Bo. Sala, Cabuyao, Laguna",(02)812-85-38,IV,Dewey Lu,enrique.martinez@asia.brewery.
Isidro Marketing,Iloilo Terminal Market,(033)336-50-18,VI (Western Visayas),George Factora,-
Jare Trading Corporation,"Juliana Subd., Mc Arthur Highway, San Fernando, Pampanga",(045)961-13-61,III (Central Luzon),Jose Gerardo Feliciano,yengalvarez@yahoo.com
Jast Enterprises,"Tugas, Tanjay City, Negros Oriental",0908-3387716,VII (Central Visayas),Imelda Viason,-
JDA Enterprises,"Holyname St., Mabolo, Cebu City",(032)416-75-15,VII (Central Visayas),Evelina Binondo,-
JK Salazar Corporation,"Quiros St., Poblacion Dos, Bansalan, Davao Del Sur",(082)553-92-14,XI (Davao Region),Benjamin Salazar,jk_salazar_Corporationoration@yahoo.c
"JL Diamond Star, InCorporationorated","61-A Brgy. 24 Osme–a St., Cagayan de Oro City",(088)856-12-59,X (Northern Mindanao),Jocelyn Tan,jldiamond.star@yahoo.com
JMB Traders InCorporationorated,"13 J Mabini St., Iloilo City",(033)337-08-75,VI (Western Visayas),Robert Uy,-
Joel Enterprises,"Poblacion, Quezon, Bukidnon",(088)355-16-72,X (Northern Mindanao),Ethelinda Sy,-
Jolly Worth Trading,"3 Masipag St., Veinte Reales, Valenzuela City",(02)399-19-38,NCR (National Capital Region),Deogracias Olanday,ferrer_merilna@yahoo.com
Jon Rence Trading,"Ugac Sur, Tuguegarao City, Cagayan",09175087041/304-55-43,II (Cagayan Valley),Jocelyn Calimag,sarahfortuno@ymail.com
"Jsy Countertrading, Inc.","North Poblacion, La Libertad, Negros Oriental",(034)444-22-23/(034)444-26-50,VII (Central Visayas),Michael Andrew Escaler,Elvi_Bayle@aaci.ph
Jun Marketing,"118 East Avenue, Escalante City, Negros Occ.",(034)454-0314,VI (Western Visayas),"Antonio Encarguez, Jr.",atej21@yahoo.com
Kabankalan Farmers MPC,"JYY Perez St., Kabankalan City, Negros Occ.",(034)471-32-35,VI (Western Visayas),Carlos  Vidaurrazaga,-
Kevkat Marketing,"69 San Sebastian St., Bacolod City",(034)433-69-47,VI (Western Visayas),Rosemarie Duque,-
Kimchi Resources Trading,"9 F. Cabahug St., Ayala Access Rd., Mabolo, Cebu City",(032)233-04-28,VII (Central Visayas),Victor Mendoza,-
La Carlota Mill District Multi-Purpose Corporation.,"Brgy. RSB, La carlota City, Negros Occ.",(034)460-29-60,VI (Western Visayas),-,-
La Perla Sugar Export Corporation.,"19/F Citibank Tower, 8741 Pase de Roxas, Makati City",(02)848-12-21/(02)848-12-21,-,William Chang,-
Lanao Milling Corporation,"Macapagal Ave., Tubod, Iligan City",(063)221-50-01,XII (SOCCSKSARGEN),Jim V. Sison,lanaomilling@yahoo.com
LG Marketing,"Calasga-an, Bais Central, Bais City",((035)541-50-90,VII (Central Visayas),Jose Juan Garcia,-
"Lian Hong Co., Inc","142 Quezon Ave. Extension, Pala-o, Iligan City",(063)221-31-38,XII (SOCCSKSARGEN),Robert Sy,-
Lopez Sugar Corporation,"3/F Optima Bldg., 221 Salcedo St., Legaspi Village, Makati City",(02)892-35-48,NCR (National Capital Region),Mary Ann Pernas,lscmnl@pldtdsl.net
Lyl Marketing,"686 Elcano St., Binondo, Manila",(02)242-46-48,NCR (National Capital Region),Edward Lee,edward@elmc.biz
"Macondray Philippines Co., Inc.",2263 P. Tamo Extn.  Makati City,(02)812-06-51,NCR (National Capital Region),Martin Lorenzo,gtg@macondray.com
"Mariano and Sons Marketing, Inc.","HVG I.T. Park Subang-Daku, Mandaue City",(032)346-89-43,VII (Central Visayas),-,-
Marolau General Merchandise,"Block 3 Lot 1, Madjaas St., Payatas 2, Quezon City",0917-5179779,-,Marilou Ong,marilouong12@yahoo.com
Miladyne Marketing Corporation.,"Margarito St., Eroreco St., Mandalaga, Bacolod City",(034)434-033,VI (Western Visayas),-,-
MJW Trading,"Dela Paz,  City of San Fernando, Pampanga",(045)860-07-11,III (Central Luzon),Wendy A. Paredes,www.northernsuncrest.com
MS Marketing,"825 Mabini St., Tanjay City, Negros Oriental",(035)415-91-40,VII (Central Visayas),Manuel Sagarbarria,-
Negros Consolidated Farmers Multi-Purpose Coop.,"Dr. 2 6/F A. Chan Bldg., Mandalagan, Bacolod City",(034)441-00-13,VI (Western Visayas),Sharon Rose Alovera,-
Negros Del Norte Planters Association MPC,"NDN PAI Bldg., VMC Cpd.,Victorias City, Negros Occ.",(034)399-3362,VI (Western Visayas),Armin Evangelista,-
"New Bian Yek Commercial, Inc.","Dr. V. Locsin-Real Sts., Dumaguete City",(035)225-47-10,VII (Central Visayas),Danford Sy,-
"New Hope Commercial, Inc.","#77 Rosario Araw St., Brgy. 37, Bacolod City",(034)433-95-24,VI (Western Visayas),Antonio Tan,nhc77rosario@yahoo.com
Nismo Trading,"National Highway, Tabok, Manadue City",(032)345-38-03,VII (Central Visayas),-,-
North Negros Growers MPC,"2/F, Capitol Subd. Bldg., 15th Lacson St., Bacolod City",(034)433-81-88,VI (Western Visayas),"Percival Salado , Sr.",-
"Northern Negros Planters Assn., Inc.","Brgy. Bato, Sagay City, Negros Occ.",(034)709-86-76,VI (Western Visayas),Jenilyn Perez,-
"Ong Kin King and Co., Inc.","28-30 Plaridel St., Cebu City",(032)416-98-18/(032)253-78-31,VII (Central Visayas),Frederick Ong,-
Organic Producers In The Island Of Negros MPC,"Bo. Palanas, Brgy., Poblacion 2, Sagay City",(034)476-55-30,VI (Western Visayas),Arthur Ardosa,optionMPC20@yahoo.com.ph
"Oro Allado Commodities, Inc.","Aguirre Bldg., Yunque St., La Carlota City",(034)434-76-07,VI (Western Visayas),Ma. Soledad Chua,-
Oro Azucar Trading,"Burgos-Cruz Taal St., Brgy. 7 Poblacion, Cagayan De Oro City",0930-2665865,X (Northern Mindanao),Anita Afable,annhojasafable@yahoo.com
Pagadian Ace Marketing,"Corner Sabado-Cabrera Sts., Pagadian City",(062)215-13-69,IX (Zamboanga Peninsula),Esperidion Acla,dbaoacla@yahoo.com
Pamlead Enterprises,"44 Purok 3, Juliana Subd., San Fernando, Pampanga",(045)961-10-31,III (Central Luzon),Alain Pecson,alainmp@yahoo.com
Pensumil Employees Multi-Purpose Coop.,"Pensumil Compound, Himaao, Pili, Camarines Sur",(054)473-79-15,V (Bicol Region),Elvira Multo,caroline_enrile@yahoo.com
"Philippine Leading Infinite Logistics, Inc.","21 P. Arroyo St., Iloilo City",(033)337-71-62,VI (Western Visayas),Aileen Christel Ongkanko,-
Phoenix Bacolod Enterprises,"2nd St., Brgy. 17, Bacolod City",(034)441-80-74,VI (Western Visayas),"Antonio Tan, Jr.",-
Plgt Multi- Resources Corporation,"231 Encarnacion St., Brgy., San Rafael Village, Navotas, Metro Manila",(02)242-45-86/243-78-80,NCR (National Capital Region),Ng Sim Hom,lonang@yahoo.com
Prymco Enterprises,"Rm.110 Li Seng Giap Bldg., 344 Barraca St., Binondo, Manila",(02)241-98-76,NCR (National Capital Region),Peter Co,prymco@gmail.com
R D S Commodities,"Rm. 202 San Jose Bldg., Narra Ave., Capitol Shopping Center, Bacolod City",(034)434-58-04,VI (Western Visayas),Ramona Cu,-
Reysons Food Processing,"77 Sct. Santiago cor. Sct. Ojeda, Brgy Obrero, Quezon City",(02)412-93-40,III (Central Luzon),Ismael  Reyes,eduardoestbn@yahoo.com
"Rivervalley Distribution, Inc.","181 P. Burgos St., Tacloban City",(053)523-7423,VIII (Eastern Visayas),Andrew Ng,-
S.B. Store,"Poblacion, Quezon, Bukidnon",(088)222-53-18,X (Northern Mindanao),Ismael Bacarro,kiokong2000@yahoo.com
"Sagay Central, Inc","Brgy. Bato, Sagay City",(034)433-38-74,VI (Western Visayas),Romie Cortez,-
"Sagay Central, Inc","Brgy. Bato, Sagay City",(034)433-38-74,VI (Western Visayas),Monina Peraren,sagaycentral@yahoo.com
"San Fernando Eric Commercial, Inc.","Hyatt Garden Bldg., Dolores, San Fernando, Pampanga",(045)961-66-47,III (Central Luzon),Alexander Keyeng,alex_kehyeng@yahoo.com
Saprocom Multi-Purpose Cooperative,"Lumbangan, Nasugbu, Batangas",(043)216-28-23/(043)931-26-93,IV,Emmanuel A. Afable,-
Second Consolidated Sugar Corporation,"Wack-Wack Twin Tower, Wack-Wack Road, Mandaluyong City",(02)816-06-01,NCR (National Capital Region),M.L. Santos,scsc_2007@yahoo.com
Shalom Agricultural Dev. MPC,"23 Purok Pepsi, Bata Subd., Bacolod City",(034)441-09-26,VI (Western Visayas),Teresita De Dios,-
Simeon Enterprises,"Mabini St., Ormoc City",(053)225-43-55,VIII (Eastern Visayas),Simeon Chu,-
Skz-777 Trading,"Lavi–a St., Guinoyuran, Valencia City",(088)828-40-28,X (Northern Mindanao),Carlos Keng,-
"Sucden Philippines, InCorporationorated","Rm. 2506 Orient Square Bldg.,  Don F. Ortigas Jr. Road, Pasig City",(02)910-57-00,NCR (National Capital Region),Wilfredo D. Alvarado,rariola@sucdenphilippines.com
Sweet Crystals Integrated Sugar Mill Corporation.,"Brgy. Planas, Porac, Pampanga",(045)455-18-21/(045)455-15-03,III (Central Luzon),Michael Escaler,chris.santiago@mnl.aaci.ph
Sweet Star Commercial,"Las Villas de Sto. Ni–o, Perez, Meycauayan, Bulacan",(02)291-13-29,III (Central Luzon),Armando Murillo Sy,ferrer_merlina@yahoo.com
Taaca Sugar Trader,"Purok 4B, Norte, Don Carlos, Bukidnon",0917-7109968,X (Northern Mindanao),Antonia Taaca,-
The Dynamic Triple C Marketing Corporation.,"Muralla Industrial Compound, Perez, Meycauayan, Bulacan",(02)468-55-20,III (Central Luzon),Danny Corral,ferrer_merlina@yahoo.com
Ulysses  Marketing,"J.P. Laurel St., Zone 5 Libertad,  Poblacion, Surallah, South Cotabato",(083)228-30-96/(083)228-34-56,XI (Davao Region),Carlito Quimsing,-
United Cadiz Sugar Farmers MPC,"AGMAC Bldg., Mandalagan, Bacolod City",(034)441-20-66,VI (Western Visayas),Manuel Puey,-
Universal Robina Corporation,"Rm. 2201, RET, ADB Ave., cor. Poveda Sts., Ortigas Center, Pasig City",(02)637-53-98,NCR (National Capital Region),Lance Gokongwei,Ruel.Narvaez@urc.com.ph
"Upbrofil Logistics, Inc.","Rm. 303 Lee Business Center cor. Juan Luna St., Davao City",(082)221-05-77,XI (Davao Region),Ludwig Ruyeras,upbrofil@yahoo.com
Vatfree Sugar Corporation,"Mojica St., cor. Marasigan, San Juan, Batangas",0917-5140610,IV,Ronan Sherwin Sibal,vatfreesugar@gmail.com
Victorias Foods Corporation.,"VMC Compound, Victorias City, Negros Occ.",(034)399-35-13,VI (Western Visayas),Nelson Sotomil,-
"Victorias Milling Company, Inc.","VMC Compound, Victorias City, Negros Occ.",(034)399-33-80,VI (Western Visayas),Hubert Tubio,-
Villarey Enterprises,"Villarey, Piat, Cagayan",0917-692-0281,II (Cagayan Valley),Teofilo Esguerra,-
Vi-Va Repacking,"678 G. Onano St., 6th St., Bacolod City",(032)344-36-31,VII (Central Visayas),-,-
Whale Summit Corporation,"WSC Bldg., Locsin, San Sebastian  St., Bacolod City",(034)434-89-63,VI (Western Visayas),Jenilyn Perez,-
"Wilmar Edible Oils Philippines, Inc.","28/F LKG Tower, 6801 Ayala Ave., Makati City",(02)856-19-37,NCR (National Capital Region),-,-
"Wvp Lopsons, InCorporationorated","F. Bangoy St., Sta. Ana 27-C, Davao City",(082)226-40-36,XI (Davao Region),Violeta Lopez,abcd_durian@yahoo.com
Xenostar Commercial,"Meridian Compound, Perez, Meycauayan, Bulacan",(02)292-14-85,III (Central Luzon),Edgar Tianco,ferrer_merlina@yahoo.co
