obligation_request_number,account_code,details,project_title,amount_appropriation,amount_actual_disbursement,amount_balance,in_percent,remarks
4995,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Rehab or Repair of Riprap along San Agustin to Pacita Main Canal and Ripraping of Canal at La Paz Street,1227336,1209401.35,17934.65,0.99,Continuing 2012,
4426,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Kapaligiran Program,1700000,1631405,68595,0.96,"100% Accomplished (Dec., 2012)",
4222,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Ecological Solid Waste Manangemt,2000000,1975792.67,24207.33,0.99,"100% Accomplished (Dec., 2012)",
3877,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Reforestration and Urban Greening,1100000,719509,380491,0.65,Continuing 2012,
2900,Maintenance and Other Operating Expenses - Environment Development Programs,"Unimplemented Projects - Dredging and Clearing of Existing Open and Close Canal, Excavation and Ripraping of New Canal along Canson Subdivision",1000000,983327,16673,0.98,Continuing 2012,
1639,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Ecological Solid Waste Manangemt,2000000,1867292.65,132707.35,0.93,Continuing 2012,
1621,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Rehabilitation of Ecological Center,700000,684689.5,15310.5,0.98,Continuing 2012,
1619,Maintenance and Other Operating Expenses - Environment Development Programs,Unimplemented Projects - Modular Excavation of Proposed Sanitary Landfill,500000,460533.2,39466.8,0.92,Continuing 2012,
-,Capital Outlay - Social Development Programs,Unimplemented Projects,4660767,-,4660767,-,-,
6410,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Steel Fence at Public Plaza Along San Agustin, La Carlota City",200000,157268,42732,0.79,Continuing 2012,
6010,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of La Carlota Recreational Center, Uriarte Subd., Barangay III, La Carlota City",385000,148024.15,236975.85,0.38,Continuing 2012,
5973,Capital Outlay - Social Development Programs,Unimplemented Projects - Chainsaw or VHF Radio Handset,80000,79500,500,0.99,"100% Accomplished (Dec., 2012)",
5548,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of One(2) units Shallow Well at Sto. Esperanza and Sto. Molave, Barangay Nagasi, La Carlota City",68000,23992,44008,0.35,Continuing 2012,
5269,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of One(1) unit Shallow Well at Sto. Pidad. Barangay Batuan, La Carlota City",30000,22196,7804,100,"100% Accomplished (Dec., 2012)",
5241,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of One(1) unit Shallow Well at Sto. Canman -ug Barangay Batuan, La Carlota City",30000,16416,13584,0.55,Continuing 2012,
5240,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of One(1) unit Shallow Well at Sto. Riverside Barangay Batuan, La Carlota City",30000,11996,18004,0.4,Continuing 2012,
5239,Capital Outlay - Social Development Programs,Unimplemented Projects - Construction of One(1) unit Shallow Well at Barangay Haguimit,30000,27757.55,2242.45,0.93,"100% Accomplished (Dec., 2012)",
5045,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Cubay BHS, Barangay Cubay, La Carlota City",100000,99960,40,100,"100% Accomplished (Dec., 2012)",
4716,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of City Disaster Risk Reduction Management Office, La Carlota City",1905050,1879788.2,25261.8,0.99,"100% Accomplished (Dec., 2012)",
4172,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Shallow Well Two (2) units at Sitio Paz - Jison, Barangay Batuan, La Carlota City",60000,53737.15,6262.85,0.9,"100% Accomplished (Dec., 2012)",
4171,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Shallow Well Two (2) units at Purok 4  -and 5, Sitio Bagumbayan, Barangay Balabag, La Carlota City",60000,55340.5,4659.5,0.92,"100% Accomplished (Dec., 2012)",
4170,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Shallow Well One (1) unit at Sitio  - Canman -ug, Barangay Batuan, La Carlota City",30000,27951,2049,0.93,"100% Accomplished (Dec., 2012)",
4169,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Shallow Well One (1) unit at Purok 1  -Sitio Bagumbayan, Barangay Balabag, La Carlota City",30000,27966.35,2033.65,0.93,"100% Accomplished (Dec., 2012)",
3820,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Balabag BHS, La Carlota City  -(20% Development. Fund Counterpart  - Fuel Only)",36183,34725.1,1457.9,0.96,"100% Accomplished (Dec., 2012)",
1889,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Shallow Well One (1) unit Sitio Remedios, Barangay Balabag",30000,27505.7,2494.3,0.92,"100% Accomplished (Dec., 2012)",
1890,Capital Outlay - Social Development Programs,"Unimplemented Projects - Construction of Shallow Well Two (2) units Purok 2  - and 3, Sto. Bagumbayan, Balabag",60000,56268.95,3731.05,0.94,"100% Accomplished (Dec., 2012)",
1681,Capital Outlay - Social Development Programs,Unimplemented Projects - Installation of Pedestrian Lighting and Other Structure Lighting Facilities at Plaza Parks,300000,265478,34522,0.88,Continuing 2012,
-,Capital Outlay - Economic Development Programs,Unimplemented Projects,101108,-,101108,-,-,
-,Capital Outlay - Economic Development Programs,Unimplemented Projects - Loan Amortization (Birthing Clinic or Agora Annex Building),7200000,7134093.09,65906.91,0.99,100% Accomplished (Dec. 2012),
5682,Capital Outlay - Economic Development Programs,Unimplemented Projects - Concreting of Barangay Roads at Barangay Haguimit,1113892,1092740,21152,0.98,100% Accomplished (Dec. 2012),
1841,Capital Outlay - Economic Development Programs,Unimplemented Projects - Database Application on Livelihood,200000,196100,3900,0.98,100% Accomplished (Dec. 2012),
-,Capital Outlay - Environment Development Programs,Unimplemented Projects,100000,-,100000,-,-,
4149,Capital Outlay - Environment Development Programs,Unimplemented Projects - Ecological Solid Waste Management,100000,100000,-,100,100% Accomplished (Dec. 2012),
3834,Capital Outlay - Environment Development Programs,"Unimplemented Projects - Construction of Vermi -Composting Shed at Eco -Center, Barangay Batuan, La Carlota City",100000,97362,2638,0.97,100% Accomplished Oct. 2012,
2399,Capital Outlay - Environment Development Programs,Unimplemented Projects - Heavy Duty Chipper or Shredder,300000,299000,1000,100,100% Accomplished Oct. 2012,
-, -,Total - 2012,49940568.01,36836389.62,13104178.39,73.76,-,
5617,Continuing Projects  - Previous Year (2011) - Other Maintenance and Operating Expenses,"Clearing or Dredging or Spot Repair of Covered Drainage System, La Carlota City",375029.16,360184.66,14844.5,0.96,100% Accomplished (Dec. 2012),
6803,Continuing Projects  - Previous Year (2011) - Other Maintenance and Operating Expenses,"Repair of Comfort Room for Disabled Persons at City Health Office, La Carlota City",19896,19892,4,100,100% Accomplished (Dec. 2012),
7071,Continuing Projects  - Previous Year (2011) - Other Maintenance and Operating Expenses,Repair of Heavy Equipment (Phase III),500000,498134.76,1865.24,100,"100% Accomplished (April, 2012)",
7728,Continuing Projects  - Previous Year (2011) - Other Maintenance and Operating Expenses,Improvement or Rehabilitation of Rooms and Comfort Rooms at Guintubdan Pavilion,380131.4,364553.3,15578.1,0.96,"100% Accomplished (November, 2012)",
8529,Continuing Projects  - Previous Year (2011) - Other Maintenance and Operating Expenses,"Repair or Improvement of Second Floor of City Hall Main Building, Right Wings",1551010.88,1550322.35,688.53,100,"100% Accomplished (June, 2012)",
8620,Continuing Projects  - Previous Year (2011) - Other Maintenance and Operating Expenses,"Graveling of Barangay Roads from Sitio Salvacion to Sto Pison, Barangay Ayungon",183000,182917.7,82.3,100,100% Accomplished (Dec. 2012),
5013,Continuing Projects  - Previous Year (2011) - Capital Outlay,Construction or Improvement of Sports Office and Drivers Quarter,361555,361511.15,43.85,100,100% Accomplished (Dec. 2012),
5616,Continuing Projects  - Previous Year (2011) - Capital Outlay,"Concrete of Road Overlay of Existing Concrete  - Pavement, Agora Market",344590.15,340335.7,4254.45,0.99,100% Accomplished (Feb. 2012),
7706,Continuing Projects  - Previous Year (2011) - Capital Outlay,"Construction of Two (2) units Shallow Well at Barangay  - Nagasi Proper, La Carlota City",60000,54830.6,5169.4,0.91,100% Accomplished (March 2012),
7705,Continuing Projects  - Previous Year (2011) - Capital Outlay,"Construction of One (1) unit Shallow Well at Purok  - Esperanza, Barangay Nagasi, La Carlota City",30000,27375.15,2624.85,0.91,100% Accomplished (March 2012),
8415,Continuing Projects  - Previous Year (2011) - Capital Outlay,Computers (13 units),390000,387270,2730,0.99,100% Accomplished,
8199,Continuing Projects  - Previous Year (2011) - Capital Outlay,Printer,21500,21400,100,100,100% Accomplished,
8194,Continuing Projects  - Previous Year (2011) - Capital Outlay,2VHF Radio Portable with License,30000,-,30000,0,Continuing 2012,
8339,Continuing Projects  - Previous Year (2011) - Capital Outlay,Laptop with Projector  or Scanner or Photocopier or Printer,90000,89860,140,100,100% Accomplished,
5822,Continuing Projects  - Previous Year (2011) - Capital Outlay,Manual Typewriter,15000,13000,2000,0.87,100% Accomplished,
1909,Continuing Projects  - Previous Year (2011) - Capital Outlay,Replacement and Installation of 3 units Transformers for Agora Market Power Supply,88200,-,88200,0,Continuing 2012,
7172,Continuing Projects  - Previous Year (2011) - Capital Outlay,Vacuum Cleaner,26000,-,26000,0,Continuing 2012,
-, -,Total - Continuing Projects,4465912.59,4271587.37,194325.22,0.96,-,
-, -,Grand Total (2011 and 2012),54406480.6,41107976.99,13298503.61,75.56,-,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,#REF!,
