obligation_request_number,account_code,details,project_title,amount_appropriation,amount_actual_disbursement,amount_balance,in_percent,remarks
1550,-,Capital Outlay- Environment Development Programs,"Unimplemented Projects- Construction of Eco-Center Extension at Barangay Batuan, La Carlota City (Phase I)",500000,-,500000,0,-
961,-,Capital Outlay- Environment Development Programs,"Unimplemented Projects- Proposed R.C. Pipe Drainage System, Gurrea Street, La Carlota City",1500000,36720,1 463280.00,2.45,-
-,-,Total - 2013,-,49029335,3862059.26,45167275.74,7.88,-
6081/6082,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Street Lighting During Emergency Cases and Calamities,280000,238048.5,41951.5,85.02,-
6009,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,"Fabrication of Shed-Type Roof at Guintubdan Pavilion, Sto. Guintubdan, Barangay Ara-al",100000,90185.75,9814.25,90.19,-
6008,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,"Repair of Trailway and Handrail Going to Guintubdan Falls and Viewing Deck at Camp Mulberry, Sitio Guintubdan Barangay Ara-al",400000,366938.1,33061.9,91.73,-
5997,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,"Repair of Camp Mulberry Facility, Sitio Guintubdan, Barangay Ara-al",249166,245886,3280,98.68,-
5033,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,"Renovation of Mini Pool and Installation of New Cottages, Sitio Guintudan, Barangay Ara-al",180020,177766.35,2253.65,98.75,-
4995,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Rehabilitation or Repair of Riprap Along San Agustin to Pacita Main Canal and Riprapping of Canal of La Paz Street,1227336,1211781.35,15554.65,98.73,-
4531,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,"Construction of Two (2) units Stock Room or Fabrication of Cabinet and Shelves, City Treasurer's Office ",411813.85,405623.25,6190.6,98.5,"100% Accomplished March, 2013"
3877,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Reforestration and Urban Greening,1100000,776628.95,323371.05,70.6,-
2900,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Dredging and Clearing of Existing Open and Close Canal Excavation and Riprapping of New Canal Along Canson Subdivision,1000000,989205.25,10794.75,98.92,-
2899,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Purchase or Repair of Appropriate Calamity Related Rescue Operation Equipment (Phase II),1000000,981614.05,18385.95,98.16,-
2083,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Rehabilitation of Philippine National Police Office,50000,48611,1389,97.22,"100% Accomplished March, 2013"
1639,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Ecological Solid Waste Management Program,2000000,1867292.65,132707.35,93.36,-
1622,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Rehabilitation of Water Supply System and Rehabilitation of Shallow Well of 14 Barangays ,240000,190555.4,49444.6,79.4,-
1621,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Rehabilitation of Ecological Center and Facilities,700000,684689.5,15310.5,97.81,-
1620,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Rehabilitation of Government Facilities,1320000,1282506.6,37493.4,97.16,-
1619,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,"Cell Modular Excavation, Rehabilitation of Perimeter Fence and Drainage System of the Proposed Sanitaty Landfill",500000,460533.2,39466.8,92.11,-
1227,-,Continuing Projects - Previous Year (2012) - Other Maintenance and Operating Expenses,Purchase or Repair of Appropriate Calamity Related Rescue Operation Equipment (Phase I),1000000,993434.55,6565.45,99.34,-
6410,-,Continuing Projects - Previous Year (2012) - Capital Outlay,Construction of Steel Fence at Public Plaza Along San Agustin Street,200000,183278,16722,91.64,-
6010,-,Continuing Projects - Previous Year (2012) - Capital Outlay,"Construction of La Carlota City Recreational Center, Uriarte Subd., Barangay III, La Carlota City",385000,334845.45,50154.55,86.97,-
5548,-,Continuing Projects - Previous Year (2012) - Capital Outlay,"Construction of Two (2) Units Shallow Well at Sto. Esperanza - and Sto. Molave, Barangay Nagasi, La Carlota City",68000,56220.35,11779.65,82.68,-
5241,-,Continuing Projects - Previous Year (2012) - Capital Outlay,"Construction of One (1) Unit Shallow Well at Sitio Canman-ug - Barangay Batuan, La Carlota City",30000,16416,13584,54.72,-
5240,-,Continuing Projects - Previous Year (2012) - Capital Outlay,"Construction of One (1) Unit Shallow Well at Sitio Riverside Barangay Batuan, La Carlota City",30000,11996,18004,39.99,-
1681,-,Continuing Projects - Previous Year (2012) - Capital Outlay,Installation or Construction of Pedestrian Lightings and Other - Structure Lighting Facilities at Plaza Park,300000,265478,34522,88.49,-
1909,-,Continuing Projects - Previous Year (2012) - Capital Outlay,Replacement and Installation of Transformer and Its Accessories for Agora Market Power,88200,-,88200,0,-
8194,-,Continuing Projects - Previous Year (2012) - Capital Outlay,2VHF Radio Portable with License,30000,-,30000,0,-
7172,-,Continuing Projects - Previous Year (2012) - Capital Outlay,Vacuum Cleaner,26000,-,26000,0,-
-,-,-,Total- Continuing Projects,12915535.85,1 1879534.25,1036001.6,,-
-,-,-,Grand Total (2012 and 2013),61944870.85,15741593.51,46203277.34,25.41,-
