description_of_project_1,description_of_project_2,description_of_project_3,description_of_project_4,obligations
Social Development,Establishment or rehabilitation of manpower development centers,Repair or Improvement of building ,"Cavite Computer Center, Palico IV, City of Imus",645424.15
Social Development,Establishment or rehabilitation of manpower development centers,Construction of foundation and installation of electrical accessories of K?type 2?storey 2?classroom modular school building with toilet," Indang Central ES, Indang",490499.29
Social Development,Establishment or rehabilitation of manpower development centers,Construction of 13m x 30m multipurpose hall," Asis NHS, Mendez",2578472.99
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school ,"Bucana ES, Naic",16980
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the improvement of school ,"Palague 2 ES, Naic ",298513
Social Development,Establishment or rehabilitation of manpower development centers,Construction of covered court (15m x 30m) ,"Biga I ES, Silang ",3397013.89
Social Development,Establishment or rehabilitation of manpower development centers,Concreting of pathway (L=95m; W=2m)  ,"Tanza National Trade School, Paradahan I, Tanza",122876.5
Social Development,Establishment or rehabilitation of manpower development centers,Delivery of materials for the construction of gulayan sa paaralan ,"Kanggahan ES, Trece Martires City ",25393
Social Development,Establishment or rehabilitation of manpower development centers,Construction of perimeter fence ,"TMC NHS?Conchu Annex Ciudad Adelina, Trece Martires City",1488396
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Renovation of existing multi purpose hall ,"Buho, Silang",1000000
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (18m x 30m)with," Molino 4, Camella Sprinville Subd., East II, City of Bacoor ",3066891.59
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Rehabilitation of tennis court (flooring) ,"San Antonio de Padua I, City of Dasmariñas ",465000
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Improvement of multi purpose building (Phase I) ,"Tamacan, Amadeo ",300000
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Delivery of materials for the completion of 2?storey multipurpose hall,"Halang, Amadeo ",865134.65
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Completion of 2?storey multipurpose hall ,"San Juan 2, Noveleta ",1328641.07
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Initial construction of 2?storey multipurpose hall with roof deck ,"Cabangaan, Silang ",1456963.74
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Fencing of basketball court  ,"Amuyong, Alfonso",200000
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Improvement of basketball court  ,"Banaybanay, Amadeo",1854408.74
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court (15m x 24m) ,"Fatima III, City of Dasmariñas ",3035256.78
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court ,"Paliparan II,I City of Dasmariñas",2583800
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of arc roof covered court (15m x 30m)," Bucal 4B ES, Maragondon",2537960.11
Social Development,"Construction or rehabilitation of multipurpose facilities (out of school youths,women, senior citizens, minors, displaced families, indigenous people and differently abled persons)",Construction of covered court ,"Munting Ilog, Silang ",3512973.24
Social Development,Installation and Maintenance of Streetlighting system,Improvement of 15 units streetlight," Medicion II?F, City of Imus ",68281.6
Social Development,Installation and Maintenance of Streetlighting system,Installation of 2 units streetlight and rehabilitation of existing streetlights,"Luksuhin Ilaya, Alfonso ",291620.26
Social Development,Installation and Maintenance of Streetlighting system,Installation of 21 units Amglobe?type streetlight ,"Malagasang II?G, City of Imus ",319909.6
Social Development,Installation and Maintenance of Streetlighting system,Improvement of 15 units streetlight ,"Medicion II?F, City of Imus",68281.6
Social Development,Installation and Maintenance of Streetlighting system,Delivery of materials for the installation of streetlights," San Antonio I, Noveleta",238000
Economic Development,"Construction or rehabilitation of communal irrigation or water impounding system and purchase of post harvest facilities (farm or hand tractor with trailer, threshers and mechanical dryers)",Purchase of ram pump irrigation facilities ,various municipalities ,1000000
Economic Development,Capital Expenditures related to the implementation of livelihood and enterprenuership or local economic development projects,Purchase of 203 bags (18kgs/bag) hybrid yellow corn for Seed Subsidy Program ,"OPA, Trece Martires City ",598850
Economic Development,Capital Expenditures related to the implementation of livelihood and enterprenuership or local economic development projects,Purchase of fruit?bearing tree seedlings,"OPA, Trece Martires City ",699000
Economic Development,Capital Expenditures related to the implementation of livelihood and enterprenuership or local economic development projects,Purchase of various seedlings and planting materialss ,"OPA, Trece Martires City",699000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Asphalt overlay of road ,"Tanzang Luma IV, City of Imus",2000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Concreting of Alfonso?Gen. Aguinaldo road via Narvaez," Narvaez Section, Gen. Aguinaldo ",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)","Concreting of road (L=391m, W=3.5m) ","San Francisco, Sitio Kiko Rosa, Gen. Trias",800000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Widening of road," San Francisco, Tropical Village along Arnaldo Highway, Gen. Trias ",1943995.25
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Construction or Installation of steel or metal guardrails," Urdaneta, Sitio Gulod, Magallanes",276000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Concreting of road (L=210m; W=5m) ,"Kaytitinga I, Sitio Pilipit, Alfonso",1582782.29
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Concreting of road (L=516m; W=3m) ,"Sitio Bayuyungan, Kaytitinga, Alfonso ",898284.04
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Concreting of road ,"Taywanak Ilaya, Alfonso ",971542
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Concreting of barangay road," Banaybanay, Amadeo",430000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Concreting of road ,"Minantok Kanluran, Amadeo ",970000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Rehabilitation or repair of footbridge along Int. Alonzo Badjao," Barangay 7, Dalahican, City of Dasmariñas ",771118.4
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Delivery of materials for the concreting of road shoulder ,"Mabolo II, Sgt. Gaudier St., City of Bacoor ",53698
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Asphalting of road," Toclong II?A, City of Imus ",2227600
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Widening of Monterey to Pabahay 2000 road ,"San Francisco, Gen. Trias",970000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Asphalt overlay," Kaong, Silang ",972011.07
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Concreting of road ,"Lalaan, I Silang ",300000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and payloaders)",Delivery of materials for concreting of pathway ,"Maguyam, Silang ",34650
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Rehabilitation of drainage canal," Bayanan, City of Bacoor ",485487.12
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of drainage system ,"San Nicolas 3,Latero,Green Valley, City of Bacoor ",311000
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of grouted riprap and canal lining," Bancod, Indang ",389020
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Improvement of canal lining ,"Malagasang I?F, City of Imus ",1014870.32
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining and concreting of pathway ,"Medicion I?A, City of Imus",481500
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"Toclong II?A, City of Imus ",397863.7
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of grouted riprap ,"San Juan II, Noveleta ",4721307.92
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of retaining wall ,"Malagasang II?C, City of Imus",437879.4
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Repair of canal lining ,"Poblacion IV?C, City of Imus ",144701.6
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining with cover and concrete shoulder ,"Barangay 2, Gen. Aguinaldo ",166226.09
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)","Delivery of concrete pipes (25 pcs #18, 15 pcs #24)"," Kaymisas, Gen. Aguinaldo",47320
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Delivery of materials for drainage system ,"Narvaez, Gen. Aguinaldo ",21000
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"Tabora, Gen. Aguinaldo",485700
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Delivery of materials for the construction of canal lining,"Maderan, GMA ",200940
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"Kayquit 2, Indang",94487.64
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of open canal ,"Kayquit 3, Indang ",385630
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Delivery of concrete 6pcs number 24 concrete pipes ,"Urdaneta, Magallanes",6384
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"Poblacion 2B, Maragondon",430000
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining," Tulay A, Maragondon ",230495.6
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"Palocpoc I, Mendez ",485707.29
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Riprapping," San Antonio I, Noveleta ",1000000
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"San Jose II, Noveleta ",500000
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Delivery of materials for the construction of canal lining ,"Anahaw 2, Silang ",77800
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Delivery of materials for the construction of canal lining ,"Balite I, Silang ",43684
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"Toledo, Silang ",485707.29
Environment Management,"Rehabilitation and Construction of drainage systems, de?silting of rivers, declogging of canals)",Construction of canal lining ,"Cabezas, Trece Martires City",485707
Environment Management,"Construction and rehabilitation of sanitary landfills, materials recovery facilities and purchase of garbage trucks and related equipment",Purchase of 2 units ten?wheeler dump truck ,-,15700000
Total,Total,Total,Total,101196110.2
