description_of_project_1,description_of_project_2,description_of_project_3,location,obligation
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"Langkaan II, City of Dasmarinas",9073000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Rehabilitation of Amuntay-Solar Homnes Subdivision,"Zone III, City of Dasmarinas",6682414
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Asphalting of road,"Anabu II-E, City of Imus",4637000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of farm to market road,"Kaymisas, Gen.Aguinaldo",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of pathwalk and canal lining,"Maderan, Sorsogon Avenue, Gen. M. Alvarez",1776190
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of pathway,"Tirona, Gen. M. Alvarez",233900
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Asphalt overlay,"Pasong Camachile, Gen. Trias",3000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting the Sitio Balidbid Road,"San Francisco, Gen. Trias",2500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"Sitio Kiko Rosa, Gen. Trias",9890000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Rehabilitation or General repair of hanging bridge,"Caingen, Maragondon",559493.7
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"San Juan 2, Noveleta",1051700
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Asphalt overlay of road,"Silangan I, Biak na Bato, Rosario",1812850
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Asphalt overlay,"Pulong Bunga, Silang",4029000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Delivery of materials for the concreting of road,"Sabutan, Silang",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Asphalt overlay of road,"Tubuan I (Blumentritt St.), Silang",1663500
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"Daang Amaya III, Bacoor",1201525
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"Dinglas St., Poblacion I-A, Ternate",816934
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Construction of footbridge,"San Juan I, Ternate",339206
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Asphalt overlay,"Panapaan VII, City of Bacoor",4662370
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Construction of road and construction of canal lining,"Tabing Dagat, J. Ocampo and Prof. Rubio St., City of Bacoor",1177525
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Delivery of materials for the construction of pathwalk,"Sto. Nino I, City of Dasmarinas",79200
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Construction of pathwalk(Phase 2),"Maderan, Mindanao Avenue, Gen. M. Alvarez",2240770
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Delivery of materials for the repair of bamboo bridge,"Alingaro, Gen. Trias",69600
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"Talipusngo,Sinaliw na Malaki, Alfonso",500000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"Sitio Kaytayo, Sta. Theresa, Alfonso",550000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Delivery of materials for the improvement of road,"Tabing Dagat, Maliks III, Citty of Bacoor",67645
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road and construction of concrte pathway with drainage,"Anabu II-A(near Yasaki, City of Imus",4741012
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Concreting of road,"Kabulusan, Gen. Aguinaldo",1000000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumbstruck, graders, and payloaders)",Delivery of materials for concreting and canal lining of road,"Diana St., Kua, GMA",335207
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Rehabilitation of drainage system and construction of canal,"Habay I. Palo Alto St., City of Bacoor",2000000
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Riprapping of creek,"Mambog 5, City of Bacoor",171184
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of gruoted riprap at Ilang-ilang River,"San Sebastian, Kawit",5000000
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Riprapping,"Tabon III, Kawit",1684000
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of canal lining,"Urdaneta, Magallanes",733000
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of canal lining,"Pinagsanjan B, Maragondon",1636500
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of canal lining,"Miguel Mojica, Mendez",1677000
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Riprapping,"San Jose I, Noveleta",5749000
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of canal lining and pathway,"Muzon II, Rosario",991970
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of canal lining ,"Barangay IV, Silang",1323500
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of open canal,"Calubcob, Silang",1034600
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals)",Construction of canal lining ,"Pulong Saging, Silang",539400
Environmental Management,"Construction and rehabilitation of sanitary landfills, materials recovery facilities and purchase of garbage trucks and related equipment",Construction of roofing and flooring of material recovery facility(MRF),"Molino V, City of Bacoor",575700
Environmental Management,"Rehabilitation and Construction of drainage systems, de-silting of rivers, de-clogging of canals",Construction of grouted riprap,"Dacon, Gen. M. Alvarez",700000
Total,Total,Total,Total,185304549.9
