particulars_1,particulars_2,particulars_3,particulars_4,particulars_5,2012,2011
Expenses,Maintenance and Other Operating Expenses,Communication Expenses,"Cable, Satellite, Telegraph and Radio Expenses","Cable, Satellite, Telegraph and Radio Expenses",0,-
Expenses,Maintenance and Other Operating Expenses,Membership Dues and Contributions to Organizations,Membership Dues and Contributions to Organizations,Membership Dues and Contributions to Organizations,0,-
Expenses,Maintenance and Other Operating Expenses,Awards and Indemnities Expenses,Awards and Indemnities Expenses,Awards and Indemnities Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Advertising Expense,Advertising Expense,Advertising Expense,0,-
Expenses,Maintenance and Other Operating Expenses,Printing and Binding Expenses,Printing and Binding Expenses,Printing and Binding Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Rent Expenses,Rent Expenses,Rent Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Representation Expenses,Representation Expenses,Representation Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Transportation and Delivery Expenses,Transportation and Delivery Expenses,Transportation and Delivery Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Storage Expenses,Storage Expenses,Storage Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Subscriptions Expenses,Subscriptions Expenses,Subscriptions Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Survey Expenses,Survey Expenses,Survey Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,Rewards and Other Claims ,Rewards and Other Claims ,Rewards and Other Claims ,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Professional Services,Professional Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Legal Services,Legal Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Auditing Services,Auditing Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Consultancy Services,Consultancy Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Environment/Sanitary Services,Environment/Sanitary Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,General Services,General Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Janitorial Services,Janitorial Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Security Services,Security Services,0,-
Expenses,Maintenance and Other Operating Expenses,Professional Services,Other Professional Services,Other Professional Services,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Land and Improvements,Repairs and Maintenance - Land Improvements,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Land and Improvements,"Repairs and Maintenance - Electrification, Power and Energy Structures ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Buildings,Repairs and Maintenance - Office Buildings ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Buildings,Repairs and Maintenance - School Buildings ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Buildings,Repairs and Maintenance -  Hospitals and Health Centers ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Buildings,Repairs and Maintenance - Markets and Slaughterhouses ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Buildings,Repairs and Maintenance - Other Structures ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Leasehold Improvements,"Repairs and Maintenance - Leasehold Improvements , Land",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Leasehold Improvements,"Repairs and Maintenance - Leasehold Improvements, Buildings ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Leasehold Improvements,Repairs and Maintenance - Other Leasehold Improvements ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,"Office Equipment, Furniture and Fixtures",Repairs and Maintenance - Office Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,"Office Equipment, Furniture and Fixtures",Repairs and Maintenance - Furniture and Fixtures ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,"Office Equipment, Furniture and Fixtures",Repairs and Maintenance - IT Equipment and Software ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Machineries ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,"Repairs and Maintenance - Agricultural, Fishery and Forestry Equipment ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Communication Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Construction and Heavy Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Firefighting Equipment and Accessories,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Hospital Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,"Repairs and Maintenance - Medical, Dental and Laboratory Equipment ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Military and Police Equipment  ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Sports Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Technical and Scientific Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Machineries and Equipment,Repairs and Maintenance - Other Machineries and Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Transportation Equipment ,Repairs and Maintenance - Motor Vehicles ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Transportation Equipment ,Repairs and Maintenance - Watercrafts ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Transportation Equipment ,Repairs and Maintenance - Other Transportation Equipment ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,"Other Property, Plant and Equipment","Repairs and Maintenance - Other Property, Plant and Equipment ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,"Repairs and Maintenance - Roads, Highways and Bridges",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,"Repairs and Maintenance - Plazas, Parks and Monuments ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,"Repairs and Maintenance - Ports, Lighthouses and Harbors ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,"Repairs and Maintenance - Artesian Wells, Reservoirs, Pumping Stations and Conduits ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,Repairs and Maintenance - Irrigation Canals and Laterals ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,Repairs and Maintenance - Flood Controls ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,"Repairs and Maintenance - Waterways, Aqueducts, Seawalls, River/Walls and Others ",0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Public Infrastructures,Repairs and Maintenance - Other Public Infrastructures ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Reforestation Projects,Repairs and Maintenance - Reforestation- Upland ,0,-
Expenses,Maintenance and Other Operating Expenses,Repairs and Maintenance,Reforestation Projects,Repairs and Maintenance - Reforestation - Marshland/ Swampland ,0,-
Expenses,Maintenance and Other Operating Expenses,"Confidential, Intelligence, Extraordinary and Miscellaneous Expenses",Confidential Expenses,Confidential Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,"Confidential, Intelligence, Extraordinary and Miscellaneous Expenses",Intelligence Expenses,Intelligence Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,"Confidential, Intelligence, Extraordinary and Miscellaneous Expenses",Extraordinary Expenses,Extraordinary Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,"Confidential, Intelligence, Extraordinary and Miscellaneous Expenses",Miscellaneous Expenses,Miscellaneous Expenses,0,-
Expenses,Maintenance and Other Operating Expenses,"Taxes, Insurance Premiums and Other Fees","Taxes, duties and Licenses","Taxes, duties and Licenses",0,-
Expenses,Maintenance and Other Operating Expenses,"Taxes, Insurance Premiums and Other Fees",Fidelity Bond Premiums,Fidelity Bond Premiums,0,-
Expenses,Maintenance and Other Operating Expenses,"Taxes, Insurance Premiums and Other Fees",Insurance Expenses,Insurance Expenses,0,-
Expenses,Non-Cash Expenses,Depreciation,Land Improvements,Depreciation - Land Improvements,0,-
Expenses,Non-Cash Expenses,Depreciation,Land Improvements,"Depreciation - Electrification, Power and Energy Structures ",0,-
Expenses,Non-Cash Expenses,Depreciation,Buildings,Depreciation - Office Buildings ,0,-
Expenses,Non-Cash Expenses,Depreciation,Buildings,Depreciation - School Buildings ,0,-
Expenses,Non-Cash Expenses,Depreciation,Buildings,Depreciation - Hospitals and Health Centers ,0,-
Expenses,Non-Cash Expenses,Depreciation,Buildings,Depreciation - Markets and Slaughterhouses ,0,-
Expenses,Non-Cash Expenses,Depreciation,Buildings,Depreciation -Other Structures ,0,-
Expenses,Non-Cash Expenses,Depreciation,Leasehold Improvements,"Depreciation - Leasehold Improvements, Land ",0,-
Expenses,Non-Cash Expenses,Depreciation,Leasehold Improvements,"Depreciation - Leasehold Improvements, Buildings ",0,-
Expenses,Non-Cash Expenses,Depreciation,Leasehold Improvements,Depreciation - Other Leasehold Improvements ,0,-
Expenses,Non-Cash Expenses,Depreciation,"Office Equipment, Furniture and Fixtures",Depreciation -Office Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,"Office Equipment, Furniture and Fixtures",Depreciation -Furniture and Fixtures ,0,-
Expenses,Non-Cash Expenses,Depreciation,"Office Equipment, Furniture and Fixtures",Depreciation - IT Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,"Office Equipment, Furniture and Fixtures",Depreciation -Library Books ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation - Machineries ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,"Depreciation - Agricultural, Fishery and Forestry Equipment ",0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation -Communication Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation -Construction and Heavy Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation -Firefighting Equipment and Accessories ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation - Hospital Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,"Depreciation - Medical, Dental and Laboratory Equipment ",0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation - Military and Police Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation - Sports Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation - Technical and Scientific Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipment,Depreciation -Other Machineries and Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,Transportation and Equipment,Depreciation - Motor Vehicles ,0,-
Expenses,Non-Cash Expenses,Depreciation,Transportation and Equipment,Depreciation -Watercrafts ,0,-
Expenses,Non-Cash Expenses,Depreciation,Transportation and Equipment,Depreciation -Other Transportation Equipment ,0,-
Expenses,Non-Cash Expenses,Depreciation,"Other Property, Plant and Equipment","Depreciation- Other Property, Plant and Equipment ",0,-
Expenses,Non-Cash Expenses,Other Maintenance and Operating Expenses,Loss of Assets,Loss of Assets,0,-
Expenses,Non-Cash Expenses,Other Maintenance and Operating Expenses,Loss on Guaranty,Loss on Guaranty,0,-
Expenses,Non-Cash Expenses,Other Maintenance and Operating Expenses,Other Maintenance and Operating Expenses,Other Maintenance and Operating Expenses,0,-
Income from Operations,Income from Operations,Income from Operations,Income from Operations,Income from Operations,162353197.5,-
Income from Operations,Financial Expenses,Financial Expenses,Bank Charges,Bank Charges,0,-
Income from Operations,Financial Expenses,Financial Expenses,Commitment Fees,Commitment Fees,0,-
Income from Operations,Financial Expenses,Financial Expenses,Documentary Stamps Expenses,Documentary Stamps Expenses,0,-
Income from Operations,Financial Expenses,Financial Expenses,Interest Expenses,Interest Expenses,0,-
Income from Operations,Financial Expenses,Financial Expenses,Other Financial Charges,Other Financial Charges,0,-
"Income before Subsidies, Donations and Extraordinary Items","Income before Subsidies, Donations and Extraordinary Items","Income before Subsidies, Donations and Extraordinary Items","Income before Subsidies, Donations and Extraordinary Items","Income before Subsidies, Donations and Extraordinary Items",162353197.5,-
Add-Subsidy from Other National Government Agencies,Add-Subsidy from Other National Government Agencies,Add-Subsidy from Other National Government Agencies,Subsidy from Other LGUs,Subsidy from Other LGUs,0,-
Add-Subsidy from Other National Government Agencies,Add-Subsidy from Other National Government Agencies,Add-Subsidy from Other National Government Agencies,Subsidy from Other Funds,Subsidy from Other Funds,0,-
Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Less:   Subsidy to National Government Agencies,Less:   Subsidy to National Government Agencies,0,-
Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Subsidy to Local Government Units,Subsidy to Local Government Units,0,-
Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Subsidy to Gov't Owned and Controlled Corp,Subsidy to Gov't Owned and Controlled Corp,0,-
Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Subsidy to NGOs/Pos,Subsidy to NGOs/Pos,0,-
Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Subsidy to Other Funds,Subsidy to Other Funds,0,-
Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Less-Subsidy to National Government Agencies,Donations,Donations,0,-
Income before Extraordinary Items,Income before Extraordinary Items,Income before Extraordinary Items,Income before Extraordinary Items,Income before Extraordinary Items,162353197.5,-
Add (Less) Extraordinary Items:,Add (Less) Extraordinary Items:,Add (Less) Extraordinary Items:,Gain/Loss on foreign Exchange,Gain/Loss on foreign Exchange,0,-
Add (Less) Extraordinary Items:,Add (Less) Extraordinary Items:,Add (Less) Extraordinary Items:,Gain/Loss on Sale of Disposed Assets,Gain/Loss on Sale of Disposed Assets,0,-
Add (Less) Extraordinary Items:,Add (Less) Extraordinary Items:,Add (Less) Extraordinary Items:,Gain/Loss on Sale of Securities,Gain/Loss on Sale of Securities,0,-
Net Income,Net Income,Net Income,Net Income,Net Income,162353197.5,-
